* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2023 8:16:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.131 -30.5255
20.507813 96.093 -30.5853
20.874023 95.996 -30.7422
21.240234 95.903 -30.9006
21.606445 95.822 -31.0574
21.972656 95.744 -31.2219
22.338867 95.667 -31.3831
22.705078 95.590 -31.5270
23.071289 95.512 -31.6475
23.437500 95.435 -31.7484
23.803711 95.361 -31.8380
24.169922 95.289 -31.9227
24.536133 95.221 -32.0045
24.902344 95.154 -32.0805
25.268555 95.087 -32.1441
25.634766 95.018 -32.1880
26.000977 94.947 -32.2102
26.367188 94.872 -32.2143
26.733399 94.794 -32.2083
27.099610 94.715 -32.2021
27.465821 94.637 -32.2035
27.832032 94.559 -32.2140
28.198243 94.484 -32.2300
28.564454 94.412 -32.2467
28.930665 94.343 -32.2592
29.296876 94.276 -32.2647
29.663087 94.211 -32.2625
30.029298 94.147 -32.2550
30.395509 94.083 -32.2461
30.761720 94.019 -32.2392
31.127931 93.954 -32.2362
31.494142 93.890 -32.2368
31.860353 93.827 -32.2375
32.226563 93.764 -32.2335
32.592774 93.702 -32.2205
32.958985 93.641 -32.1968
33.325196 93.581 -32.1622
33.691407 93.521 -32.1184
34.057618 93.461 -32.0687
34.423829 93.401 -32.0172
34.790040 93.340 -31.9660
35.156251 93.279 -31.9150
35.522462 93.218 -31.8625
35.888673 93.156 -31.8062
36.254884 93.095 -31.7447
36.621095 93.035 -31.6783
36.987306 92.977 -31.6086
37.353517 92.919 -31.5368
37.719728 92.862 -31.4631
38.085939 92.805 -31.3869
38.452150 92.748 -31.3073
38.818361 92.691 -31.2236
39.184572 92.637 -31.1363
39.550783 92.583 -31.0462
39.916994 92.531 -30.9541
40.283205 92.481 -30.8599
40.649416 92.431 -30.7617
41.015627 92.382 -30.6576
41.381838 92.334 -30.5467
41.748049 92.286 -30.4300
42.114260 92.238 -30.3099
42.480471 92.191 -30.1889
42.846682 92.145 -30.0680
43.212893 92.098 -29.9469
43.579103 92.052 -29.8239
43.945314 92.005 -29.6973
44.311525 91.958 -29.5662
44.677736 91.911 -29.4308
45.043947 91.864 -29.2925
45.410158 91.818 -29.1527
45.776369 91.771 -29.0131
46.142580 91.725 -28.8751
46.508791 91.679 -28.7401
46.875002 91.632 -28.6089
47.241213 91.586 -28.4813
47.607424 91.540 -28.3557
47.973635 91.495 -28.2295
48.339846 91.450 -28.1003
48.706057 91.406 -27.9667
49.072268 91.362 -27.8289
49.438479 91.320 -27.6880
49.804690 91.279 -27.5453
50.170901 91.239 -27.4016
50.537112 91.199 -27.2576
50.903323 91.158 -27.1137
51.269534 91.118 -26.9701
51.635745 91.077 -26.8272
52.001956 91.035 -26.6847
52.368167 90.994 -26.5426
52.734378 90.953 -26.4003
53.100589 90.912 -26.2575
53.466800 90.873 -26.1137
53.833011 90.834 -25.9692
54.199222 90.796 -25.8242
54.565432 90.759 -25.6794
54.931643 90.723 -25.5351
55.297854 90.688 -25.3910
55.664065 90.652 -25.2462
56.030276 90.617 -25.0999
56.396487 90.583 -24.9514
56.762698 90.548 -24.8005
57.128909 90.514 -24.6476
57.495120 90.480 -24.4929
57.861331 90.445 -24.3366
58.227542 90.411 -24.1786
58.593753 90.376 -24.0188
58.959964 90.341 -23.8573
59.326175 90.306 -23.6945
59.692386 90.272 -23.5315
60.058597 90.238 -23.3693
60.424808 90.205 -23.2086
60.791019 90.173 -23.0497
61.157230 90.141 -22.8926
61.523441 90.109 -22.7368
61.889652 90.078 -22.5817
62.255863 90.047 -22.4263
62.622074 90.016 -22.2701
62.988285 89.985 -22.1125
63.354496 89.955 -21.9539
63.720707 89.925 -21.7956
64.086918 89.895 -21.6394
64.453129 89.866 -21.4871
64.819340 89.836 -21.3392
65.185551 89.807 -21.1952
65.551762 89.777 -21.0538
65.917972 89.748 -20.9130
66.284183 89.718 -20.7714
66.650394 89.687 -20.6283
67.016605 89.657 -20.4838
67.382816 89.627 -20.3382
67.749027 89.597 -20.1919
68.115238 89.568 -20.0448
68.481449 89.539 -19.8970
68.847660 89.511 -19.7482
69.213871 89.482 -19.5985
69.580082 89.455 -19.4476
69.946293 89.427 -19.2957
70.312504 89.400 -19.1424
70.678715 89.372 -18.9876
71.044926 89.345 -18.8312
71.411137 89.317 -18.6734
71.777348 89.289 -18.5144
72.143559 89.261 -18.3546
72.509770 89.233 -18.1941
72.875981 89.206 -18.0331
73.242192 89.179 -17.8718
73.608403 89.153 -17.7103
73.974614 89.128 -17.5490
74.340825 89.103 -17.3881
74.707036 89.080 -17.2278
75.073247 89.056 -17.0680
75.439458 89.033 -16.9084
75.805669 89.010 -16.7485
76.171880 88.987 -16.5880
76.538091 88.964 -16.4264
76.904301 88.941 -16.2638
77.270512 88.918 -16.1006
77.636723 88.896 -15.9375
78.002934 88.874 -15.7750
78.369145 88.853 -15.6137
78.735356 88.831 -15.4534
79.101567 88.809 -15.2939
79.467778 88.788 -15.1345
79.833989 88.766 -14.9749
80.200200 88.744 -14.8150
80.566411 88.722 -14.6546
80.932622 88.699 -14.4937
81.298833 88.677 -14.3323
81.665044 88.656 -14.1701
82.031255 88.634 -14.0070
82.397466 88.613 -13.8429
82.763677 88.592 -13.6777
83.129888 88.572 -13.5116
83.496099 88.551 -13.3445
83.862310 88.530 -13.1767
84.228521 88.510 -13.0085
84.594732 88.489 -12.8403
84.960943 88.468 -12.6726
85.327154 88.447 -12.5057
85.693365 88.426 -12.3396
86.059576 88.406 -12.1739
86.425787 88.385 -12.0080
86.791998 88.365 -11.8412
87.158209 88.345 -11.6730
87.524420 88.325 -11.5033
87.890631 88.305 -11.3322
88.256841 88.285 -11.1600
88.623052 88.265 -10.9879
88.989263 88.245 -10.8170
89.355474 88.226 -10.6490
89.721685 88.207 -10.4853
90.087896 88.188 -10.3269
90.454107 88.170 -10.1735
90.820318 88.153 -10.0239
91.186529 88.135 -9.8761
91.552740 88.118 -9.7278
91.918951 88.100 -9.5771
92.285162 88.083 -9.4231
92.651373 88.066 -9.2658
93.017584 88.049 -9.1058
93.383795 88.032 -8.9444
93.750006 88.015 -8.7827
94.116217 87.998 -8.6216
94.482428 87.982 -8.4617
94.848639 87.965 -8.3032
95.214850 87.949 -8.1461
95.581061 87.932 -7.9900
95.947272 87.916 -7.8347
96.313483 87.900 -7.6796
96.679694 87.884 -7.5245
97.045905 87.869 -7.3689
97.412116 87.853 -7.2125
97.778327 87.838 -7.0548
98.144538 87.823 -6.8956
98.510749 87.808 -6.7348
98.876960 87.793 -6.5727
99.243170 87.777 -6.4095
99.609381 87.762 -6.2458
99.975592 87.746 -6.0822
100.341803 87.731 -5.9192
100.708014 87.715 -5.7574
101.074225 87.699 -5.5971
101.440436 87.684 -5.4387
101.806647 87.668 -5.2821
102.172858 87.653 -5.1273
102.539069 87.637 -4.9738
102.905280 87.622 -4.8215
103.271491 87.608 -4.6700
103.637702 87.593 -4.5190
104.003913 87.579 -4.3685
104.370124 87.564 -4.2182
104.736335 87.550 -4.0682
105.102546 87.536 -3.9182
105.468757 87.521 -3.7681
105.834968 87.507 -3.6182
106.201179 87.493 -3.4686
106.567390 87.478 -3.3196
106.933601 87.464 -3.1713
107.299812 87.450 -3.0238
107.666023 87.436 -2.8769
108.032234 87.423 -2.7304
108.398445 87.410 -2.5841
108.764656 87.396 -2.4378
109.130867 87.383 -2.2913
109.497078 87.370 -2.1448
109.863289 87.357 -1.9982
110.229500 87.344 -1.8515
110.595710 87.330 -1.7047
110.961921 87.317 -1.5578
111.328132 87.304 -1.4105
111.694343 87.291 -1.2627
112.060554 87.278 -1.1144
112.426765 87.265 -0.9654
112.792976 87.252 -0.8159
113.159187 87.240 -0.6659
113.525398 87.228 -0.5158
113.891609 87.217 -0.3659
114.257820 87.205 -0.2163
114.624031 87.194 -0.0673
114.990242 87.183 0.0811
115.356453 87.172 0.2291
115.722664 87.161 0.3766
116.088875 87.151 0.5238
116.455086 87.140 0.6704
116.821297 87.130 0.8163
117.187508 87.119 0.9613
117.553719 87.108 1.1051
117.919930 87.097 1.2476
118.286141 87.085 1.3889
118.652352 87.072 1.5294
119.018563 87.060 1.6693
119.384774 87.047 1.8093
119.750985 87.033 1.9496
120.117196 87.020 2.0905
120.483407 87.008 2.2320
120.849618 86.995 2.3741
121.215829 86.983 2.5165
121.582040 86.971 2.6589
121.948250 86.959 2.8014
122.314461 86.948 2.9437
122.680672 86.937 3.0860
123.046883 86.926 3.2284
123.413094 86.915 3.3712
123.779305 86.904 3.5145
124.145516 86.894 3.6585
124.511727 86.884 3.8032
124.877938 86.874 3.9487
125.244149 86.864 4.0947
125.610360 86.854 4.2411
125.976571 86.844 4.3877
126.342782 86.834 4.5342
126.708993 86.825 4.6807
127.075204 86.815 4.8271
127.441415 86.806 4.9737
127.807626 86.796 5.1207
128.173837 86.786 5.2682
128.540048 86.777 5.4165
128.906259 86.767 5.5656
129.272470 86.757 5.7152
129.638681 86.747 5.8654
130.004892 86.737 6.0157
130.371103 86.727 6.1660
130.737314 86.717 6.3162
131.103525 86.707 6.4661
131.469736 86.698 6.6159
131.835947 86.689 6.7656
132.202158 86.679 6.9154
132.568369 86.670 7.0654
132.934579 86.662 7.2159
133.300790 86.653 7.3668
133.667001 86.644 7.5183
134.033212 86.636 7.6702
134.399423 86.627 7.8226
134.765634 86.618 7.9752
135.131845 86.610 8.1279
135.498056 86.601 8.2805
135.864267 86.593 8.4330
136.230478 86.584 8.5851
136.596689 86.576 8.7369
136.962900 86.568 8.8881
137.329111 86.560 9.0389
137.695322 86.552 9.1893
138.061533 86.545 9.3393
138.427744 86.537 9.4890
138.793955 86.530 9.6384
139.160166 86.522 9.7875
139.526377 86.515 9.9364
139.892588 86.508 10.0849
140.258799 86.500 10.2331
140.625010 86.493 10.3809
140.991221 86.486 10.5282
141.357432 86.479 10.6749
141.723643 86.472 10.8208
142.089854 86.465 10.9658
142.456065 86.458 11.1099
142.822276 86.451 11.2530
143.188487 86.444 11.3950
143.554698 86.437 11.5360
143.920909 86.430 11.6760
144.287119 86.423 11.8153
144.653330 86.416 11.9540
145.019541 86.409 12.0923
145.385752 86.401 12.2303
145.751963 86.394 12.3682
146.118174 86.386 12.5062
146.484385 86.379 12.6442
146.850596 86.371 12.7823
147.216807 86.364 12.9204
147.583018 86.357 13.0585
147.949229 86.349 13.1965
148.315440 86.342 13.3343
148.681651 86.335 13.4719
149.047862 86.327 13.6091
149.414073 86.320 13.7459
149.780284 86.312 13.8821
150.146495 86.305 14.0176
150.512706 86.297 14.1524
150.878917 86.290 14.2862
151.245128 86.282 14.4192
151.611339 86.275 14.5512
151.977550 86.267 14.6822
152.343761 86.259 14.8123
152.709972 86.252 14.9416
153.076183 86.244 15.0702
153.442394 86.237 15.1982
153.808605 86.229 15.3258
154.174816 86.222 15.4530
154.541027 86.215 15.5800
154.907238 86.207 15.7068
155.273448 86.200 15.8334
155.639659 86.193 15.9599
156.005870 86.186 16.0862
156.372081 86.179 16.2122
156.738292 86.172 16.3379
157.104503 86.166 16.4632
157.470714 86.159 16.5879
157.836925 86.152 16.7122
158.203136 86.145 16.8359
158.569347 86.138 16.9589
158.935558 86.132 17.0813
159.301769 86.125 17.2031
159.667980 86.118 17.3242
160.034191 86.111 17.4446
160.400402 86.104 17.5644
160.766613 86.097 17.6835
161.132824 86.090 17.8020
161.499035 86.084 17.9200
161.865246 86.077 18.0374
162.231457 86.071 18.1546
162.597668 86.065 18.2714
162.963879 86.059 18.3881
163.330090 86.053 18.5048
163.696301 86.047 18.6216
164.062512 86.042 18.7384
164.428723 86.036 18.8555
164.794934 86.031 18.9727
165.161145 86.026 19.0901
165.527356 86.021 19.2077
165.893567 86.016 19.3254
