* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2024 7:21:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa S2 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.678 3.2565
20.507813 96.631 2.9185
20.874023 96.501 2.0768
21.240234 96.375 1.3608
21.606445 96.317 0.7309
21.972656 96.361 -0.1303
22.338867 96.487 -1.4694
22.705078 96.621 -3.2804
23.071289 96.683 -5.2215
23.437500 96.633 -6.7366
23.803711 96.486 -7.3428
24.169922 96.308 -6.9218
24.536133 96.173 -5.8358
24.902344 96.115 -4.7420
25.268555 96.107 -4.2035
25.634766 96.093 -4.3925
26.000977 96.040 -5.0900
26.367188 95.952 -5.9227
26.733399 95.865 -6.6214
27.099610 95.810 -7.1327
27.465821 95.795 -7.5549
27.832032 95.797 -7.9910
28.198243 95.789 -8.4531
28.564454 95.757 -8.8791
28.930665 95.704 -9.2170
29.296876 95.648 -9.4862
29.663087 95.601 -9.7621
30.029298 95.563 -10.1090
30.395509 95.528 -10.5255
30.761720 95.489 -10.9481
31.127931 95.445 -11.3029
31.494142 95.400 -11.5596
31.860353 95.357 -11.7450
32.226563 95.317 -11.9155
32.592774 95.277 -12.1163
32.958985 95.235 -12.3594
33.325196 95.189 -12.6295
33.691407 95.144 -12.9041
34.057618 95.102 -13.1697
34.423829 95.064 -13.4239
34.790040 95.028 -13.6689
35.156251 94.992 -13.9049
35.522462 94.953 -14.1297
35.888673 94.911 -14.3418
36.254884 94.868 -14.5432
36.621095 94.825 -14.7400
36.987306 94.785 -14.9394
37.353517 94.748 -15.1471
37.719728 94.713 -15.3634
38.085939 94.678 -15.5827
38.452150 94.642 -15.7952
38.818361 94.605 -15.9914
39.184572 94.566 -16.1678
39.550783 94.527 -16.3280
39.916994 94.488 -16.4801
40.283205 94.450 -16.6310
40.649416 94.413 -16.7824
41.015627 94.376 -16.9318
41.381838 94.340 -17.0767
41.748049 94.306 -17.2178
42.114260 94.274 -17.3571
42.480471 94.241 -17.4922
42.846682 94.207 -17.6121
43.212893 94.171 -17.7005
43.579103 94.135 -17.7463
43.945314 94.103 -17.7550
44.311525 94.075 -17.7520
44.677736 94.052 -17.7734
45.043947 94.029 -17.8475
45.410158 94.001 -17.9798
45.776369 93.966 -18.1496
46.142580 93.922 -18.3223
46.508791 93.876 -18.4698
46.875002 93.831 -18.5850
47.241213 93.792 -18.6811
47.607424 93.758 -18.7770
47.973635 93.725 -18.8796
48.339846 93.691 -18.9770
48.706057 93.654 -19.0493
49.072268 93.618 -19.0881
49.438479 93.587 -19.1094
49.804690 93.562 -19.1485
50.170901 93.542 -19.2383
50.537112 93.522 -19.3866
50.903323 93.501 -19.5700
51.269534 93.475 -19.7472
51.635745 93.449 -19.8821
52.001956 93.423 -19.9589
52.368167 93.398 -19.9812
52.734378 93.372 -19.9587
53.100589 93.341 -19.8986
53.466800 93.305 -19.8097
53.833011 93.264 -19.7142
54.199222 93.223 -19.6512
54.565432 93.183 -19.6636
54.931643 93.145 -19.7723
55.297854 93.108 -19.9583
55.664065 93.074 -20.1684
56.030276 93.046 -20.3440
56.396487 93.029 -20.4512
56.762698 93.022 -20.4931
57.128909 93.019 -20.4943
57.495120 93.010 -20.4726
57.861331 92.985 -20.4236
58.227542 92.942 -20.3289
58.593753 92.889 -20.1821
58.959964 92.836 -20.0099
59.326175 92.797 -19.8692
59.692386 92.776 -19.8210
60.058597 92.770 -19.8977
60.424808 92.772 -20.0862
60.791019 92.771 -20.3354
61.157230 92.759 -20.5797
61.523441 92.734 -20.7636
61.889652 92.694 -20.8559
62.255863 92.644 -20.8513
62.622074 92.590 -20.7671
62.988285 92.541 -20.6378
63.354496 92.504 -20.5082
63.720707 92.483 -20.4226
64.086918 92.478 -20.4102
64.453129 92.482 -20.4741
64.819340 92.488 -20.5898
65.185551 92.489 -20.7173
65.551762 92.483 -20.8200
65.917972 92.469 -20.8791
66.284183 92.448 -20.8983
66.650394 92.422 -20.8954
67.016605 92.393 -20.8897
67.382816 92.361 -20.8926
67.749027 92.330 -20.9056
68.115238 92.300 -20.9256
68.481449 92.272 -20.9499
68.847660 92.248 -20.9784
69.213871 92.226 -21.0119
69.580082 92.205 -21.0490
69.946293 92.184 -21.0852
70.312504 92.161 -21.1146
70.678715 92.139 -21.1337
71.044926 92.117 -21.1433
71.411137 92.097 -21.1474
71.777348 92.078 -21.1505
72.143559 92.059 -21.1546
72.509770 92.040 -21.1583
72.875981 92.020 -21.1588
73.242192 91.999 -21.1541
73.608403 91.978 -21.1445
73.974614 91.958 -21.1313
74.340825 91.938 -21.1157
74.707036 91.920 -21.0972
75.073247 91.903 -21.0743
75.439458 91.888 -21.0464
75.805669 91.875 -21.0153
76.171880 91.863 -20.9847
76.538091 91.851 -20.9591
76.904301 91.838 -20.9409
77.270512 91.824 -20.9301
77.636723 91.808 -20.9249
78.002934 91.790 -20.9233
78.369145 91.772 -20.9241
78.735356 91.753 -20.9267
79.101567 91.734 -20.9293
79.467778 91.714 -20.9285
79.833989 91.694 -20.9196
80.200200 91.673 -20.8990
80.566411 91.652 -20.8659
80.932622 91.633 -20.8233
81.298833 91.614 -20.7771
81.665044 91.596 -20.7337
82.031255 91.578 -20.6980
82.397466 91.561 -20.6718
82.763677 91.544 -20.6536
83.129888 91.527 -20.6400
83.496099 91.510 -20.6267
83.862310 91.493 -20.6098
84.228521 91.477 -20.5867
84.594732 91.461 -20.5572
84.960943 91.446 -20.5228
85.327154 91.431 -20.4864
85.693365 91.416 -20.4514
86.059576 91.399 -20.4197
86.425787 91.382 -20.3920
86.791998 91.363 -20.3672
87.158209 91.345 -20.3430
87.524420 91.327 -20.3175
87.890631 91.312 -20.2894
88.256841 91.298 -20.2587
88.623052 91.286 -20.2264
88.989263 91.276 -20.1941
89.355474 91.266 -20.1635
89.721685 91.256 -20.1359
90.087896 91.246 -20.1122
90.454107 91.234 -20.0928
90.820318 91.221 -20.0773
91.186529 91.206 -20.0648
91.552740 91.191 -20.0535
91.918951 91.176 -20.0412
92.285162 91.160 -20.0258
92.651373 91.144 -20.0053
93.017584 91.128 -19.9791
93.383795 91.112 -19.9479
93.750006 91.097 -19.9137
94.116217 91.082 -19.8792
94.482428 91.067 -19.8471
94.848639 91.052 -19.8191
95.214850 91.038 -19.7958
95.581061 91.024 -19.7763
95.947272 91.010 -19.7591
96.313483 90.995 -19.7426
96.679694 90.981 -19.7258
97.045905 90.967 -19.7083
97.412116 90.953 -19.6901
97.778327 90.938 -19.6716
98.144538 90.924 -19.6524
98.510749 90.909 -19.6320
98.876960 90.895 -19.6090
99.243170 90.882 -19.5817
99.609381 90.868 -19.5487
99.975592 90.856 -19.5090
100.341803 90.843 -19.4623
100.708014 90.831 -19.4095
101.074225 90.818 -19.3523
101.440436 90.805 -19.2937
101.806647 90.791 -19.2373
102.172858 90.777 -19.1869
102.539069 90.763 -19.1456
102.905280 90.750 -19.1151
103.271491 90.737 -19.0946
103.637702 90.724 -19.0817
104.003913 90.713 -19.0720
104.370124 90.701 -19.0612
104.736335 90.689 -19.0464
105.102546 90.678 -19.0269
105.468757 90.666 -19.0050
105.834968 90.654 -18.9852
106.201179 90.643 -18.9729
106.567390 90.632 -18.9724
106.933601 90.623 -18.9857
107.299812 90.616 -19.0117
107.666023 90.611 -19.0462
108.032234 90.608 -19.0831
108.398445 90.606 -19.1156
108.764656 90.605 -19.1381
109.130867 90.604 -19.1466
109.497078 90.603 -19.1391
109.863289 90.601 -19.1157
110.229500 90.597 -19.0773
110.595710 90.591 -19.0248
110.961921 90.583 -18.9592
111.328132 90.575 -18.8811
111.694343 90.565 -18.7915
112.060554 90.556 -18.6926
112.426765 90.547 -18.5880
112.792976 90.538 -18.4825
113.159187 90.529 -18.3812
113.525398 90.519 -18.2880
113.891609 90.508 -18.2046
114.257820 90.496 -18.1300
114.624031 90.482 -18.0611
114.990242 90.468 -17.9940
115.356453 90.453 -17.9261
115.722664 90.438 -17.8572
116.088875 90.423 -17.7904
116.455086 90.409 -17.7315
116.821297 90.396 -17.6878
117.187508 90.381 -17.6653
117.553719 90.366 -17.6671
117.919930 90.350 -17.6915
118.286141 90.333 -17.7323
118.652352 90.315 -17.7799
119.018563 90.297 -17.8241
119.384774 90.282 -17.8566
119.750985 90.270 -17.8735
120.117196 90.263 -17.8760
120.483407 90.260 -17.8694
120.849618 90.263 -17.8610
121.215829 90.269 -17.8569
121.582040 90.278 -17.8600
121.948250 90.287 -17.8676
122.314461 90.296 -17.8725
122.680672 90.302 -17.8642
123.046883 90.305 -17.8319
123.413094 90.304 -17.7679
123.779305 90.298 -17.6701
124.145516 90.289 -17.5437
124.511727 90.276 -17.4004
124.877938 90.262 -17.2569
125.244149 90.246 -17.1308
125.610360 90.229 -17.0371
125.976571 90.212 -16.9854
126.342782 90.194 -16.9779
126.708993 90.177 -17.0100
127.075204 90.160 -17.0723
127.441415 90.144 -17.1529
127.807626 90.129 -17.2396
128.173837 90.116 -17.3221
128.540048 90.104 -17.3919
128.906259 90.094 -17.4424
129.272470 90.087 -17.4688
129.638681 90.081 -17.4677
130.004892 90.077 -17.4375
130.371103 90.076 -17.3795
130.737314 90.077 -17.2972
131.103525 90.079 -17.1968
131.469736 90.082 -17.0858
131.835947 90.084 -16.9718
132.202158 90.086 -16.8617
132.568369 90.085 -16.7608
132.934579 90.082 -16.6726
133.300790 90.078 -16.5987
133.667001 90.071 -16.5393
134.033212 90.064 -16.4931
134.399423 90.057 -16.4577
134.765634 90.050 -16.4297
135.131845 90.043 -16.4059
135.498056 90.037 -16.3830
135.864267 90.031 -16.3587
136.230478 90.026 -16.3319
136.596689 90.020 -16.3024
136.962900 90.014 -16.2709
137.329111 90.006 -16.2382
137.695322 89.998 -16.2054
138.061533 89.989 -16.1735
138.427744 89.979 -16.1431
138.793955 89.968 -16.1146
139.160166 89.957 -16.0880
139.526377 89.946 -16.0628
139.892588 89.934 -16.0380
140.258799 89.923 -16.0125
140.625010 89.912 -15.9847
140.991221 89.901 -15.9536
141.357432 89.891 -15.9182
141.723643 89.881 -15.8782
142.089854 89.872 -15.8340
142.456065 89.864 -15.7862
142.822276 89.857 -15.7359
143.188487 89.850 -15.6842
143.554698 89.843 -15.6325
143.920909 89.837 -15.5820
144.287119 89.831 -15.5338
144.653330 89.826 -15.4893
145.019541 89.821 -15.4497
145.385752 89.816 -15.4161
145.751963 89.812 -15.3894
146.118174 89.808 -15.3698
146.484385 89.805 -15.3573
146.850596 89.803 -15.3512
147.216807 89.800 -15.3504
147.583018 89.798 -15.3535
147.949229 89.797 -15.3588
148.315440 89.794 -15.3646
148.681651 89.792 -15.3696
149.047862 89.788 -15.3728
149.414073 89.784 -15.3742
149.780284 89.779 -15.3744
150.146495 89.772 -15.3751
150.512706 89.764 -15.3789
150.878917 89.755 -15.3885
151.245128 89.745 -15.4064
151.611339 89.735 -15.4339
151.977550 89.724 -15.4709
152.343761 89.713 -15.5151
152.709972 89.704 -15.5622
153.076183 89.695 -15.6065
153.442394 89.687 -15.6413
153.808605 89.680 -15.6602
154.174816 89.675 -15.6582
154.541027 89.671 -15.6323
154.907238 89.668 -15.5817
155.273448 89.665 -15.5086
155.639659 89.663 -15.4173
156.005870 89.660 -15.3136
156.372081 89.657 -15.2043
156.738292 89.653 -15.0962
157.104503 89.649 -14.9952
157.470714 89.644 -14.9058
157.836925 89.638 -14.8305
158.203136 89.631 -14.7696
158.569347 89.624 -14.7219
158.935558 89.617 -14.6843
159.301769 89.610 -14.6533
159.667980 89.603 -14.6249
160.034191 89.596 -14.5958
160.400402 89.590 -14.5633
160.766613 89.584 -14.5257
161.132824 89.579 -14.4827
161.499035 89.574 -14.4346
161.865246 89.569 -14.3828
162.231457 89.564 -14.3289
162.597668 89.557 -14.2750
