* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 10:00:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.189 -169.6951
20.507813 92.182 -169.6937
20.874023 92.162 -169.7132
21.240234 92.138 -169.8084
21.606445 92.111 -169.9993
21.972656 92.081 -170.2601
22.338867 92.053 -170.5413
22.705078 92.035 -170.8004
23.071289 92.029 -171.0212
23.437500 92.034 -171.2092
23.803711 92.046 -171.3697
24.169922 92.055 -171.4955
24.536133 92.058 -171.5718
24.902344 92.052 -171.5908
25.268555 92.039 -171.5627
25.634766 92.024 -171.5147
26.000977 92.008 -171.4793
26.367188 91.990 -171.4756
26.733399 91.970 -171.4984
27.099610 91.948 -171.5234
27.465821 91.926 -171.5232
27.832032 91.905 -171.4830
28.198243 91.888 -171.4095
28.564454 91.872 -171.3250
28.930665 91.854 -171.2499
29.296876 91.831 -171.1888
29.663087 91.801 -171.1313
30.029298 91.770 -171.0646
30.395509 91.742 -170.9875
30.761720 91.724 -170.9129
31.127931 91.714 -170.8568
31.494142 91.710 -170.8214
31.860353 91.706 -170.7877
32.226563 91.699 -170.7247
32.592774 91.689 -170.6102
32.958985 91.677 -170.4449
33.325196 91.664 -170.2515
33.691407 91.653 -170.0605
34.057618 91.641 -169.8942
34.423829 91.627 -169.7585
34.790040 91.612 -169.6447
35.156251 91.596 -169.5378
35.522462 91.578 -169.4234
35.888673 91.558 -169.2895
36.254884 91.538 -169.1290
36.621095 91.518 -168.9431
36.987306 91.499 -168.7466
37.353517 91.485 -168.5666
37.719728 91.474 -168.4328
38.085939 91.464 -168.3631
38.452150 91.453 -168.3537
38.818361 91.439 -168.3818
39.184572 91.424 -168.4183
39.550783 91.408 -168.4427
39.916994 91.393 -168.4493
40.283205 91.378 -168.4414
40.649416 91.361 -168.4221
41.015627 91.340 -168.3893
41.381838 91.315 -168.3385
41.748049 91.288 -168.2708
42.114260 91.262 -168.1953
42.480471 91.239 -168.1251
42.846682 91.218 -168.0683
43.212893 91.198 -168.0229
43.579103 91.178 -167.9792
43.945314 91.159 -167.9268
44.311525 91.140 -167.8627
44.677736 91.122 -167.7934
45.043947 91.104 -167.7296
45.410158 91.085 -167.6803
45.776369 91.064 -167.6478
46.142580 91.040 -167.6285
46.508791 91.015 -167.6176
46.875002 90.990 -167.6123
47.241213 90.967 -167.6140
47.607424 90.946 -167.6259
47.973635 90.927 -167.6504
48.339846 90.909 -167.6864
48.706057 90.889 -167.7285
49.072268 90.868 -167.7683
49.438479 90.845 -167.7978
49.804690 90.820 -167.8129
50.170901 90.796 -167.8154
50.537112 90.772 -167.8123
50.903323 90.748 -167.8121
51.269534 90.724 -167.8194
51.635745 90.698 -167.8335
52.001956 90.671 -167.8493
52.368167 90.643 -167.8626
52.734378 90.615 -167.8729
53.100589 90.589 -167.8843
53.466800 90.566 -167.9022
53.833011 90.545 -167.9295
54.199222 90.524 -167.9636
54.565432 90.505 -167.9984
54.931643 90.486 -168.0278
55.297854 90.466 -168.0493
55.664065 90.447 -168.0653
56.030276 90.427 -168.0813
56.396487 90.406 -168.1020
56.762698 90.383 -168.1294
57.128909 90.358 -168.1624
57.495120 90.333 -168.1985
57.861331 90.309 -168.2363
58.227542 90.285 -168.2759
58.593753 90.264 -168.3178
58.959964 90.244 -168.3616
59.326175 90.225 -168.4048
59.692386 90.206 -168.4438
60.058597 90.187 -168.4756
60.424808 90.168 -168.4995
60.791019 90.149 -168.5172
61.157230 90.130 -168.5320
61.523441 90.111 -168.5474
61.889652 90.092 -168.5661
62.255863 90.071 -168.5889
62.622074 90.050 -168.6157
62.988285 90.028 -168.6456
63.354496 90.005 -168.6770
63.720707 89.982 -168.7085
64.086918 89.960 -168.7386
64.453129 89.939 -168.7671
64.819340 89.919 -168.7950
65.185551 89.903 -168.8250
65.551762 89.888 -168.8595
65.917972 89.874 -168.9002
66.284183 89.859 -168.9458
66.650394 89.841 -168.9928
67.016605 89.820 -169.0363
67.382816 89.796 -169.0727
67.749027 89.770 -169.1005
68.115238 89.743 -169.1213
68.481449 89.717 -169.1391
68.847660 89.692 -169.1586
69.213871 89.669 -169.1832
69.580082 89.647 -169.2143
69.946293 89.627 -169.2505
70.312504 89.607 -169.2891
70.678715 89.588 -169.3273
71.044926 89.569 -169.3631
71.411137 89.550 -169.3959
71.777348 89.531 -169.4262
72.143559 89.512 -169.4547
72.509770 89.493 -169.4815
72.875981 89.474 -169.5066
73.242192 89.454 -169.5300
73.608403 89.435 -169.5523
73.974614 89.415 -169.5746
74.340825 89.396 -169.5983
74.707036 89.376 -169.6238
75.073247 89.355 -169.6505
75.439458 89.335 -169.6772
75.805669 89.313 -169.7025
76.171880 89.292 -169.7255
76.538091 89.271 -169.7465
76.904301 89.251 -169.7661
77.270512 89.231 -169.7852
77.636723 89.211 -169.8043
78.002934 89.191 -169.8235
78.369145 89.172 -169.8426
78.735356 89.152 -169.8613
79.101567 89.133 -169.8792
79.467778 89.115 -169.8961
79.833989 89.096 -169.9117
80.200200 89.078 -169.9261
80.566411 89.060 -169.9395
80.932622 89.041 -169.9525
81.298833 89.022 -169.9654
81.665044 89.003 -169.9785
82.031255 88.984 -169.9918
82.397466 88.964 -170.0047
82.763677 88.945 -170.0170
83.129888 88.925 -170.0287
83.496099 88.906 -170.0404
83.862310 88.887 -170.0533
84.228521 88.869 -170.0691
84.594732 88.851 -170.0889
84.960943 88.833 -170.1137
85.327154 88.816 -170.1430
85.693365 88.799 -170.1754
86.059576 88.783 -170.2091
86.425787 88.769 -170.2420
86.791998 88.755 -170.2730
87.158209 88.743 -170.3023
87.524420 88.733 -170.3305
87.890631 88.722 -170.3581
88.256841 88.711 -170.3852
88.623052 88.698 -170.4113
88.989263 88.682 -170.4357
89.355474 88.665 -170.4581
89.721685 88.645 -170.4794
90.087896 88.624 -170.5003
90.454107 88.601 -170.5213
90.820318 88.576 -170.5416
91.186529 88.551 -170.5593
91.552740 88.526 -170.5723
91.918951 88.502 -170.5792
92.285162 88.479 -170.5801
92.651373 88.457 -170.5768
93.017584 88.437 -170.5719
93.383795 88.419 -170.5679
93.750006 88.401 -170.5665
94.116217 88.383 -170.5686
94.482428 88.366 -170.5744
94.848639 88.348 -170.5838
95.214850 88.330 -170.5968
95.581061 88.312 -170.6132
95.947272 88.293 -170.6326
96.313483 88.274 -170.6543
96.679694 88.254 -170.6776
97.045905 88.235 -170.7017
97.412116 88.216 -170.7262
97.778327 88.198 -170.7512
98.144538 88.180 -170.7765
98.510749 88.163 -170.8022
98.876960 88.147 -170.8278
99.243170 88.130 -170.8529
99.609381 88.114 -170.8768
99.975592 88.099 -170.8990
100.341803 88.083 -170.9193
100.708014 88.068 -170.9374
101.074225 88.053 -170.9534
101.440436 88.039 -170.9675
101.806647 88.025 -170.9804
102.172858 88.012 -170.9931
102.539069 87.998 -171.0074
102.905280 87.985 -171.0246
103.271491 87.973 -171.0454
103.637702 87.959 -171.0698
104.003913 87.946 -171.0966
104.370124 87.932 -171.1242
104.736335 87.918 -171.1508
105.102546 87.903 -171.1745
105.468757 87.888 -171.1940
105.834968 87.872 -171.2084
106.201179 87.856 -171.2177
106.567390 87.840 -171.2231
106.933601 87.823 -171.2262
107.299812 87.806 -171.2293
107.666023 87.789 -171.2344
108.032234 87.772 -171.2422
108.398445 87.755 -171.2530
108.764656 87.738 -171.2659
109.130867 87.722 -171.2803
109.497078 87.707 -171.2961
109.863289 87.692 -171.3138
110.229500 87.677 -171.3339
110.595710 87.663 -171.3573
110.961921 87.648 -171.3843
111.328132 87.633 -171.4153
111.694343 87.618 -171.4505
112.060554 87.602 -171.4899
112.426765 87.586 -171.5329
112.792976 87.571 -171.5784
113.159187 87.556 -171.6244
113.525398 87.541 -171.6682
113.891609 87.527 -171.7075
114.257820 87.514 -171.7405
114.624031 87.502 -171.7667
114.990242 87.490 -171.7864
115.356453 87.479 -171.8006
115.722664 87.467 -171.8102
116.088875 87.455 -171.8159
116.455086 87.441 -171.8180
116.821297 87.427 -171.8172
117.187508 87.413 -171.8149
117.553719 87.398 -171.8136
117.919930 87.384 -171.8165
118.286141 87.369 -171.8269
118.652352 87.354 -171.8470
119.018563 87.337 -171.8764
119.384774 87.319 -171.9123
119.750985 87.298 -171.9497
120.117196 87.276 -171.9834
120.483407 87.254 -172.0092
120.849618 87.232 -172.0264
121.215829 87.212 -172.0369
121.582040 87.195 -172.0454
121.948250 87.181 -172.0576
122.314461 87.170 -172.0778
122.680672 87.162 -172.1080
123.046883 87.155 -172.1469
123.413094 87.147 -172.1904
123.779305 87.139 -172.2325
124.145516 87.130 -172.2674
124.511727 87.119 -172.2911
124.877938 87.107 -172.3028
125.244149 87.094 -172.3049
125.610360 87.082 -172.3029
125.976571 87.071 -172.3037
126.342782 87.060 -172.3136
126.708993 87.050 -172.3372
127.075204 87.040 -172.3764
127.441415 87.031 -172.4303
127.807626 87.021 -172.4960
128.173837 87.011 -172.5692
128.540048 87.000 -172.6455
128.906259 86.989 -172.7211
129.272470 86.977 -172.7930
129.638681 86.965 -172.8596
130.004892 86.953 -172.9205
130.371103 86.941 -172.9758
130.737314 86.929 -173.0263
131.103525 86.916 -173.0724
131.469736 86.903 -173.1143
131.835947 86.890 -173.1515
132.202158 86.875 -173.1837
132.568369 86.861 -173.2103
132.934579 86.845 -173.2312
133.300790 86.829 -173.2467
133.667001 86.814 -173.2578
134.033212 86.798 -173.2655
134.399423 86.784 -173.2713
134.765634 86.770 -173.2766
135.131845 86.757 -173.2827
135.498056 86.745 -173.2909
135.864267 86.735 -173.3025
136.230478 86.725 -173.3188
136.596689 86.716 -173.3406
136.962900 86.708 -173.3687
137.329111 86.700 -173.4036
137.695322 86.691 -173.4451
138.061533 86.683 -173.4927
138.427744 86.674 -173.5458
138.793955 86.664 -173.6032
139.160166 86.654 -173.6636
139.526377 86.643 -173.7257
139.892588 86.632 -173.7883
140.258799 86.619 -173.8502
140.625010 86.605 -173.9105
140.991221 86.591 -173.9688
141.357432 86.575 -174.0247
141.723643 86.558 -174.0783
142.089854 86.541 -174.1298
142.456065 86.523 -174.1792
142.822276 86.505 -174.2267
143.188487 86.487 -174.2725
143.554698 86.470 -174.3170
143.920909 86.454 -174.3608
144.287119 86.438 -174.4046
144.653330 86.422 -174.4494
145.019541 86.408 -174.4960
145.385752 86.393 -174.5452
145.751963 86.380 -174.5976
146.118174 86.367 -174.6532
146.484385 86.354 -174.7121
146.850596 86.341 -174.7738
147.216807 86.329 -174.8384
147.583018 86.316 -174.9055
147.949229 86.304 -174.9752
148.315440 86.292 -175.0473
148.681651 86.280 -175.1216
149.047862 86.268 -175.1974
149.414073 86.257 -175.2738
149.780284 86.245 -175.3492
150.146495 86.235 -175.4219
150.512706 86.225 -175.4903
150.878917 86.215 -175.5527
151.245128 86.206 -175.6079
151.611339 86.197 -175.6552
151.977550 86.188 -175.6947
152.343761 86.179 -175.7271
152.709972 86.171 -175.7534
153.076183 86.161 -175.7755
153.442394 86.152 -175.7950
153.808605 86.142 -175.8139
154.174816 86.133 -175.8338
154.541027 86.123 -175.8562
154.907238 86.114 -175.8819
155.273448 86.104 -175.9116
155.639659 86.094 -175.9452
156.005870 86.084 -175.9823
156.372081 86.074 -176.0223
156.738292 86.064 -176.0641
157.104503 86.053 -176.1070
157.470714 86.042 -176.1501
157.836925 86.030 -176.1931
158.203136 86.018 -176.2360
158.569347 86.005 -176.2790
158.935558 85.993 -176.3228
159.301769 85.980 -176.3684
159.667980 85.966 -176.4168
160.034191 85.952 -176.4690
160.400402 85.938 -176.5261
160.766613 85.923 -176.5887
161.132824 85.908 -176.6572
161.499035 85.892 -176.7315
161.865246 85.877 -176.8109
162.231457 85.861 -176.8941
162.597668 85.847 -176.9796
