* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 5, 24 6:05:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7A Supernova 11-05-2024 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.299 49.8737
0.368865 53.329 49.7277
0.371538 53.374 49.5112
0.374230 53.430 49.2436
0.376942 53.492 48.9413
0.379673 53.559 48.6161
0.382424 53.628 48.2762
0.385196 53.700 47.9264
0.387987 53.772 47.5697
0.390798 53.845 47.2076
0.393630 53.919 46.8413
0.396483 53.994 46.4711
0.399356 54.069 46.0977
0.402250 54.145 45.7211
0.405165 54.222 45.3416
0.408101 54.299 44.9593
0.411058 54.376 44.5745
0.414037 54.454 44.1873
0.417037 54.533 43.7978
0.420059 54.612 43.4062
0.423103 54.692 43.0127
0.426169 54.772 42.6174
0.429257 54.853 42.2204
0.432368 54.935 41.8219
0.435501 55.017 41.4221
0.438656 55.099 41.0210
0.441835 55.183 40.6189
0.445037 55.267 40.2158
0.448262 55.351 39.8118
0.451510 55.436 39.4072
0.454782 55.522 39.0020
0.458077 55.608 38.5964
0.461397 55.695 38.1904
0.464740 55.783 37.7842
0.468108 55.871 37.3779
0.471500 55.960 36.9715
0.474917 56.050 36.5652
0.478358 56.140 36.1591
0.481825 56.231 35.7532
0.485316 56.322 35.3477
0.488833 56.415 34.9425
0.492375 56.508 34.5378
0.495943 56.601 34.1336
0.499537 56.695 33.7300
0.503157 56.790 33.3271
0.506803 56.886 32.9247
0.510475 56.982 32.5231
0.514175 57.079 32.1222
0.517900 57.177 31.7221
0.521653 57.275 31.3227
0.525434 57.374 30.9241
0.529241 57.474 30.5264
0.533076 57.575 30.1294
0.536939 57.676 29.7332
0.540830 57.778 29.3378
0.544749 57.881 28.9431
0.548696 57.984 28.5492
0.552673 58.088 28.1560
0.556677 58.193 27.7635
0.560711 58.299 27.3716
0.564774 58.406 26.9804
0.568867 58.513 26.5897
0.572989 58.621 26.1995
0.577141 58.730 25.8097
0.581324 58.840 25.4203
0.585536 58.950 25.0313
0.589779 59.061 24.6425
0.594053 59.173 24.2539
0.598358 59.286 23.8653
0.602694 59.400 23.4768
0.607061 59.514 23.0882
0.611460 59.630 22.6994
0.615891 59.746 22.3104
0.620354 59.863 21.9210
0.624849 59.981 21.5311
0.629377 60.100 21.1406
0.633938 60.219 20.7494
0.638532 60.340 20.3574
0.643159 60.461 19.9645
0.647819 60.583 19.5705
0.652514 60.706 19.1753
0.657242 60.830 18.7788
0.662005 60.955 18.3808
0.666802 61.081 17.9813
0.671634 61.208 17.5800
0.676501 61.336 17.1768
0.681403 61.464 16.7716
0.686341 61.593 16.3642
0.691314 61.724 15.9544
0.696324 61.855 15.5422
0.701370 61.987 15.1274
0.706452 62.119 14.7098
0.711571 62.251 14.2895
0.716728 62.383 13.8663
0.721921 62.514 13.4405
0.727153 62.642 13.0123
0.732422 62.768 12.5821
0.737729 62.891 12.1505
0.743075 63.010 11.7181
0.748460 63.127 11.2857
0.753883 63.243 10.8535
0.759346 63.357 10.4220
0.764849 63.471 9.9914
0.770391 63.584 9.5620
0.775974 63.696 9.1339
0.781597 63.809 8.7072
0.787261 63.921 8.2820
0.792966 64.033 7.8584
0.798712 64.145 7.4364
0.804500 64.256 7.0162
0.810329 64.368 6.5977
0.816201 64.479 6.1810
0.822116 64.590 5.7660
0.828073 64.701 5.3528
0.834074 64.812 4.9415
0.840118 64.922 4.5319
0.846206 65.032 4.1240
0.852338 65.143 3.7179
0.858514 65.252 3.3135
0.864735 65.362 2.9107
0.871001 65.472 2.5095
0.877313 65.582 2.1099
0.883670 65.691 1.7117
0.890074 65.800 1.3148
0.896524 65.909 0.9193
0.903020 66.018 0.5249
0.909564 66.127 0.1316
0.916155 66.236 -0.2606
0.922794 66.345 -0.6520
0.929481 66.454 -1.0427
0.936216 66.563 -1.4327
0.943000 66.671 -1.8222
0.949834 66.780 -2.2113
0.956717 66.889 -2.6002
0.963649 66.998 -2.9890
0.970632 67.106 -3.3779
0.977666 67.215 -3.7671
0.984750 67.324 -4.1566
0.991886 67.433 -4.5467
0.999074 67.543 -4.9376
1.006314 67.652 -5.3294
1.013606 67.762 -5.7224
1.020951 67.871 -6.1166
1.028349 67.981 -6.5124
1.035801 68.092 -6.9099
1.043307 68.202 -7.3094
1.050867 68.313 -7.7110
1.058482 68.424 -8.1149
1.066152 68.536 -8.5215
1.073878 68.648 -8.9308
1.081660 68.760 -9.3431
1.089498 68.873 -9.7585
1.097393 68.986 -10.1771
1.105345 69.099 -10.5989
1.113355 69.211 -11.0237
1.121423 69.324 -11.4515
1.129549 69.436 -11.8820
1.137734 69.548 -12.3152
1.145979 69.659 -12.7506
1.154283 69.771 -13.1882
1.162647 69.882 -13.6276
1.171072 69.992 -14.0688
1.179558 70.102 -14.5115
1.188106 70.212 -14.9555
1.196715 70.321 -15.4007
1.205387 70.430 -15.8468
1.214122 70.539 -16.2937
1.222920 70.647 -16.7412
1.231782 70.755 -17.1893
1.240708 70.863 -17.6377
1.249699 70.970 -18.0862
1.258754 71.077 -18.5349
1.267876 71.184 -18.9835
1.277063 71.291 -19.4320
1.286318 71.398 -19.8802
1.295639 71.504 -20.3280
1.305027 71.610 -20.7754
1.314484 71.716 -21.2223
1.324009 71.822 -21.6685
1.333604 71.927 -22.1141
1.343268 72.033 -22.5590
1.353002 72.139 -23.0030
1.362806 72.244 -23.4463
1.372681 72.350 -23.8887
1.382628 72.455 -24.3302
1.392647 72.561 -24.7709
1.402739 72.667 -25.2106
1.412904 72.773 -25.6495
1.423142 72.879 -26.0875
1.433455 72.985 -26.5248
1.443843 73.091 -26.9616
1.454305 73.198 -27.3979
1.464844 73.304 -27.8340
1.475459 73.410 -28.2701
1.486150 73.516 -28.7066
1.496920 73.622 -29.1435
1.507767 73.727 -29.5811
1.518693 73.832 -30.0193
1.529698 73.936 -30.4581
1.540783 74.040 -30.8976
1.551948 74.144 -31.3378
1.563194 74.247 -31.7786
1.574521 74.349 -32.2200
1.585931 74.451 -32.6620
1.597423 74.553 -33.1046
1.608999 74.655 -33.5478
1.620658 74.756 -33.9917
1.632402 74.856 -34.4361
1.644232 74.957 -34.8813
1.656146 75.057 -35.3271
1.668147 75.156 -35.7736
1.680235 75.256 -36.2210
1.692411 75.355 -36.6692
1.704675 75.454 -37.1182
1.717028 75.553 -37.5683
1.729470 75.651 -38.0194
1.742003 75.750 -38.4717
1.754626 75.848 -38.9253
1.767341 75.946 -39.3803
1.780147 76.044 -39.8368
1.793047 76.142 -40.2951
1.806040 76.240 -40.7555
1.819128 76.338 -41.2182
1.832310 76.436 -41.6837
1.845587 76.533 -42.1521
1.858961 76.630 -42.6238
1.872432 76.726 -43.0989
1.886001 76.822 -43.5773
1.899667 76.918 -44.0589
1.913433 77.013 -44.5435
1.927299 77.107 -45.0307
1.941265 77.201 -45.5203
1.955332 77.294 -46.0120
1.969501 77.387 -46.5055
1.983773 77.480 -47.0005
1.998148 77.571 -47.4968
2.012627 77.663 -47.9940
2.027212 77.754 -48.4919
2.041902 77.844 -48.9902
2.056698 77.935 -49.4888
2.071602 78.025 -49.9874
2.086614 78.114 -50.4859
2.101734 78.203 -50.9840
2.116964 78.292 -51.4816
2.132304 78.381 -51.9788
2.147756 78.470 -52.4756
2.163320 78.558 -52.9722
2.178996 78.646 -53.4688
2.194786 78.733 -53.9661
2.210690 78.820 -54.4646
2.226710 78.907 -54.9650
2.242845 78.993 -55.4676
2.259098 79.079 -55.9728
2.275468 79.164 -56.4804
2.291957 79.248 -56.9904
2.308566 79.332 -57.5025
2.325295 79.415 -58.0164
2.342145 79.497 -58.5318
2.359117 79.579 -59.0482
2.376212 79.660 -59.5655
2.393431 79.741 -60.0831
2.410775 79.822 -60.6008
2.428244 79.901 -61.1182
2.445840 79.981 -61.6351
2.463564 80.060 -62.1512
2.481416 80.138 -62.6663
2.499397 80.217 -63.1802
2.517509 80.294 -63.6930
2.535752 80.372 -64.2049
2.554127 80.449 -64.7163
2.572635 80.525 -65.2278
2.591277 80.601 -65.7401
2.610055 80.677 -66.2537
2.628968 80.751 -66.7690
2.648019 80.825 -67.2860
2.667208 80.899 -67.8047
2.686535 80.971 -68.3249
2.706003 81.043 -68.8462
2.725612 81.115 -69.3683
2.745363 81.185 -69.8908
2.765257 81.256 -70.4134
2.785295 81.325 -70.9356
2.805478 81.394 -71.4571
2.825808 81.463 -71.9775
2.846285 81.531 -72.4966
2.866910 81.599 -73.0142
2.887685 81.666 -73.5303
2.908611 81.733 -74.0451
2.929688 81.799 -74.5592
2.950917 81.865 -75.0730
2.972301 81.930 -75.5871
2.993839 81.994 -76.1020
3.015534 82.058 -76.6178
3.037386 82.121 -77.1345
3.059396 82.183 -77.6520
3.081565 82.245 -78.1697
3.103896 82.306 -78.6875
3.126388 82.367 -79.2049
3.149043 82.427 -79.7214
3.171862 82.486 -80.2366
3.194847 82.545 -80.7501
3.217998 82.603 -81.2615
3.241317 82.661 -81.7708
3.264805 82.719 -82.2778
3.288463 82.776 -82.7828
3.312293 82.833 -83.2861
3.336295 82.889 -83.7882
3.360471 82.944 -84.2896
3.384822 82.999 -84.7905
3.409350 83.053 -85.2909
3.434056 83.107 -85.7908
3.458940 83.160 -86.2901
3.484005 83.212 -86.7884
3.509252 83.264 -87.2855
3.534681 83.315 -87.7811
3.560295 83.366 -88.2750
3.586094 83.417 -88.7668
3.612081 83.467 -89.2565
3.638255 83.517 -89.7441
3.664620 83.567 -90.2297
3.691175 83.616 -90.7136
3.717923 83.664 -91.1961
3.744864 83.712 -91.6774
3.772001 83.760 -92.1577
3.799335 83.807 -92.6368
3.826866 83.853 -93.1149
3.854597 83.899 -93.5916
3.882529 83.945 -94.0667
3.910664 83.990 -94.5402
3.939002 84.035 -95.0117
3.967546 84.080 -95.4812
3.996296 84.124 -95.9485
4.025255 84.169 -96.4138
4.054423 84.212 -96.8771
4.083804 84.256 -97.3386
4.113396 84.299 -97.7984
4.143204 84.342 -98.2569
4.173227 84.384 -98.7138
4.203468 84.426 -99.1694
4.233928 84.468 -99.6236
4.264609 84.509 -100.0764
4.295512 84.550 -100.5277
4.326639 84.591 -100.9775
4.357992 84.632 -101.4258
4.389572 84.672 -101.8726
4.421380 84.712 -102.3181
4.453419 84.752 -102.7622
4.485691 84.792 -103.2051
4.518196 84.831 -103.6469
4.550936 84.870 -104.0877
4.583914 84.909 -104.5273
4.617131 84.948 -104.9659
4.650589 84.986 -105.4035
4.684289 85.025 -105.8400
4.718233 85.063 -106.2756
4.752424 85.100 -106.7102
4.786862 85.138 -107.1438
4.821549 85.175 -107.5766
4.856488 85.212 -108.0087
4.891680 85.249 -108.4400
4.927127 85.286 -108.8707
4.962831 85.322 -109.3006
4.998794 85.358 -109.7299
5.035017 85.394 -110.1585
5.071503 85.430 -110.5865
5.108253 85.465 -111.0138
5.145270 85.500 -111.4407
5.182555 85.535 -111.8670
5.220110 85.570 -112.2929
5.257937 85.604 -112.7184
5.296038 85.638 -113.1435
5.334415 85.672 -113.5681
5.373071 85.706 -113.9922
5.412006 85.739 -114.4157
5.451224 85.772 -114.8388
5.490725 85.805 -115.2613
5.530514 85.837 -115.6833
5.570590 85.869 -116.1049
5.610957 85.901 -116.5261
5.651616 85.933 -116.9469
5.692570 85.964 -117.3672
5.733821 85.995 -117.7869
5.775370 86.026 -118.2059
5.817221 86.056 -118.6241
5.859375 86.086 -119.0417
5.901834 86.116 -119.4586
5.944602 86.145 -119.8748
5.987679 86.174 -120.2903
6.031068 86.203 -120.7051
6.074771 86.231 -121.1192
6.118792 86.260 -121.5324
6.163131 86.287 -121.9446
6.207792 86.315 -122.3559
6.252776 86.342 -122.7661
6.298086 86.369 -123.1754
6.343725 86.396 -123.5838
6.389694 86.422 -123.9911
6.435996 86.448 -124.3974
