* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 29, 2023 12:59:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7A Supernova R T APB
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 88.480 159.8462
20.507813 88.511 159.5688
20.874023 88.581 158.8584
21.240234 88.622 158.2265
21.606445 88.623 157.7711
21.972656 88.597 157.4713
22.338867 88.558 157.2959
22.705078 88.519 157.1595
23.071289 88.488 156.9468
23.437500 88.465 156.5733
23.803711 88.443 156.0243
24.169922 88.418 155.3513
24.536133 88.392 154.6333
24.902344 88.370 153.9339
25.268555 88.358 153.2825
25.634766 88.355 152.6786
26.000977 88.358 152.1110
26.367188 88.362 151.5750
26.733399 88.363 151.0742
27.099610 88.357 150.6101
27.465821 88.345 150.1724
27.832032 88.329 149.7407
28.198243 88.309 149.2943
28.564454 88.286 148.8208
28.930665 88.263 148.3193
29.296876 88.240 147.7980
29.663087 88.221 147.2689
30.029298 88.205 146.7413
30.395509 88.192 146.2181
30.761720 88.182 145.6992
31.127931 88.172 145.1859
31.494142 88.161 144.6818
31.860353 88.148 144.1912
32.226563 88.133 143.7159
32.592774 88.117 143.2539
32.958985 88.100 142.8002
33.325196 88.085 142.3493
33.691407 88.069 141.8971
34.057618 88.054 141.4434
34.423829 88.039 140.9922
34.790040 88.023 140.5494
35.156251 88.007 140.1175
35.522462 87.990 139.6921
35.888673 87.974 139.2655
36.254884 87.956 138.8322
36.621095 87.938 138.3930
36.987306 87.918 137.9543
37.353517 87.897 137.5232
37.719728 87.877 137.1028
38.085939 87.857 136.6915
38.452150 87.839 136.2852
38.818361 87.822 135.8791
39.184572 87.805 135.4695
39.550783 87.787 135.0549
39.916994 87.769 134.6371
40.283205 87.750 134.2190
40.649416 87.731 133.8034
41.015627 87.711 133.3923
41.381838 87.692 132.9871
41.748049 87.673 132.5879
42.114260 87.655 132.1938
42.480471 87.637 131.8041
42.846682 87.619 131.4193
43.212893 87.601 131.0401
43.579103 87.582 130.6673
43.945314 87.564 130.3013
44.311525 87.545 129.9411
44.677736 87.525 129.5845
45.043947 87.506 129.2278
45.410158 87.485 128.8673
45.776369 87.465 128.5011
46.142580 87.443 128.1300
46.508791 87.422 127.7572
46.875002 87.400 127.3872
47.241213 87.378 127.0229
47.607424 87.359 126.6644
47.973635 87.341 126.3088
48.339846 87.324 125.9528
48.706057 87.309 125.5945
49.072268 87.293 125.2351
49.438479 87.275 124.8780
49.804690 87.256 124.5263
50.170901 87.236 124.1815
50.537112 87.215 123.8428
50.903323 87.194 123.5082
51.269534 87.172 123.1762
51.635745 87.150 122.8455
52.001956 87.130 122.5152
52.368167 87.110 122.1835
52.734378 87.092 121.8490
53.100589 87.076 121.5110
53.466800 87.060 121.1707
53.833011 87.045 120.8305
54.199222 87.028 120.4930
54.565432 87.011 120.1595
54.931643 86.992 119.8299
55.297854 86.971 119.5037
55.664065 86.950 119.1816
56.030276 86.927 118.8651
56.396487 86.904 118.5557
56.762698 86.882 118.2538
57.128909 86.861 117.9589
57.495120 86.843 117.6706
57.861331 86.826 117.3888
58.227542 86.811 117.1121
58.593753 86.797 116.8367
58.959964 86.783 116.5563
59.326175 86.768 116.2636
59.692386 86.751 115.9537
60.058597 86.733 115.6263
60.424808 86.712 115.2858
60.791019 86.691 114.9395
61.157230 86.671 114.5953
61.523441 86.653 114.2602
61.889652 86.637 113.9406
62.255863 86.620 113.6421
62.622074 86.603 113.3682
62.988285 86.584 113.1178
63.354496 86.563 112.8828
63.720707 86.540 112.6493
64.086918 86.515 112.4008
64.453129 86.490 112.1243
64.819340 86.464 111.8144
65.185551 86.438 111.4755
65.551762 86.414 111.1191
65.917972 86.393 110.7604
66.284183 86.375 110.4134
66.650394 86.361 110.0883
67.016605 86.347 109.7904
67.382816 86.334 109.5195
67.749027 86.319 109.2705
68.115238 86.301 109.0337
68.481449 86.282 108.7957
68.847660 86.261 108.5419
69.213871 86.241 108.2594
69.580082 86.223 107.9400
69.946293 86.208 107.5832
70.312504 86.196 107.1981
70.678715 86.186 106.8029
71.044926 86.176 106.4214
71.411137 86.165 106.0775
71.777348 86.152 105.7869
72.143559 86.137 105.5526
72.509770 86.120 105.3627
72.875981 86.102 105.1954
73.242192 86.084 105.0256
73.608403 86.065 104.8334
73.974614 86.045 104.6087
74.340825 86.025 104.3522
74.707036 86.005 104.0723
75.073247 85.985 103.7800
75.439458 85.967 103.4846
75.805669 85.951 103.1909
76.171880 85.936 102.8996
76.538091 85.920 102.6096
76.904301 85.903 102.3206
77.270512 85.884 102.0350
77.636723 85.863 101.7574
78.002934 85.841 101.4916
78.369145 85.820 101.2386
78.735356 85.801 100.9948
79.101567 85.784 100.7543
79.467778 85.768 100.5121
79.833989 85.752 100.2674
80.200200 85.733 100.0247
80.566411 85.712 99.7912
80.932622 85.689 99.5719
81.298833 85.666 99.3658
81.665044 85.645 99.1649
82.031255 85.627 98.9571
82.397466 85.613 98.7305
82.763677 85.603 98.4786
83.129888 85.595 98.2026
83.496099 85.588 97.9112
83.862310 85.581 97.6177
84.228521 85.574 97.3355
84.594732 85.566 97.0745
84.960943 85.558 96.8383
85.327154 85.549 96.6239
85.693365 85.540 96.4231
86.059576 85.529 96.2260
86.425787 85.516 96.0234
86.791998 85.499 95.8084
87.158209 85.479 95.5767
87.524420 85.457 95.3255
87.890631 85.433 95.0536
88.256841 85.409 94.7617
88.623052 85.385 94.4547
88.989263 85.361 94.1419
89.355474 85.337 93.8360
89.721685 85.315 93.5495
90.087896 85.294 93.2905
90.454107 85.276 93.0600
90.820318 85.260 92.8519
91.186529 85.246 92.6561
91.552740 85.232 92.4623
91.918951 85.218 92.2636
92.285162 85.203 92.0573
92.651373 85.187 91.8436
93.017584 85.170 91.6238
93.383795 85.154 91.3982
93.750006 85.139 91.1664
94.116217 85.126 90.9277
94.482428 85.114 90.6823
94.848639 85.104 90.4319
95.214850 85.093 90.1791
95.581061 85.082 89.9266
95.947272 85.071 89.6764
96.313483 85.059 89.4292
96.679694 85.046 89.1847
97.045905 85.032 88.9425
97.412116 85.018 88.7023
97.778327 85.002 88.4646
98.144538 84.987 88.2299
98.510749 84.971 87.9991
98.876960 84.954 87.7723
99.243170 84.938 87.5496
99.609381 84.923 87.3301
99.975592 84.907 87.1134
100.341803 84.892 86.8985
100.708014 84.877 86.6851
101.074225 84.863 86.4726
101.440436 84.849 86.2602
101.806647 84.835 86.0469
102.172858 84.822 85.8313
102.539069 84.808 85.6117
102.905280 84.795 85.3868
103.271491 84.781 85.1557
103.637702 84.767 84.9187
104.003913 84.752 84.6771
104.370124 84.737 84.4331
104.736335 84.721 84.1892
105.102546 84.705 83.9473
105.468757 84.689 83.7084
105.834968 84.673 83.4722
106.201179 84.657 83.2375
106.567390 84.642 83.0027
106.933601 84.629 82.7659
107.299812 84.617 82.5256
107.666023 84.607 82.2810
108.032234 84.598 82.0331
108.398445 84.589 81.7847
108.764656 84.581 81.5411
109.130867 84.572 81.3084
109.497078 84.561 81.0926
109.863289 84.549 80.8976
110.229500 84.535 80.7236
110.595710 84.520 80.5669
110.961921 84.504 80.4205
111.328132 84.487 80.2767
111.694343 84.470 80.1284
112.060554 84.453 79.9713
112.426765 84.436 79.8037
112.792976 84.419 79.6270
113.159187 84.403 79.4439
113.525398 84.388 79.2578
113.891609 84.374 79.0715
114.257820 84.360 78.8869
114.624031 84.347 78.7047
114.990242 84.334 78.5247
115.356453 84.320 78.3458
115.722664 84.307 78.1672
116.088875 84.293 77.9878
116.455086 84.279 77.8077
116.821297 84.265 77.6270
117.187508 84.252 77.4467
117.553719 84.240 77.2675
117.919930 84.229 77.0900
118.286141 84.220 76.9142
118.652352 84.211 76.7394
119.018563 84.203 76.5648
119.384774 84.196 76.3891
119.750985 84.188 76.2118
120.117196 84.180 76.0325
120.483407 84.171 75.8516
120.849618 84.161 75.6700
121.215829 84.150 75.4887
121.582040 84.139 75.3086
121.948250 84.128 75.1305
122.314461 84.116 74.9546
122.680672 84.105 74.7809
123.046883 84.093 74.6090
123.413094 84.081 74.4382
123.779305 84.070 74.2678
124.145516 84.058 74.0972
124.511727 84.046 73.9258
124.877938 84.034 73.7532
125.244149 84.021 73.5796
125.610360 84.008 73.4050
125.976571 83.995 73.2298
126.342782 83.982 73.0545
126.708993 83.969 72.8795
127.075204 83.956 72.7050
127.441415 83.943 72.5315
127.807626 83.930 72.3592
128.173837 83.918 72.1884
128.540048 83.906 72.0191
128.906259 83.895 71.8515
129.272470 83.884 71.6854
129.638681 83.873 71.5206
130.004892 83.862 71.3568
130.371103 83.851 71.1938
130.737314 83.840 71.0315
131.103525 83.830 70.8696
131.469736 83.819 70.7084
131.835947 83.808 70.5480
132.202158 83.797 70.3885
132.568369 83.785 70.2304
132.934579 83.774 70.0736
133.300790 83.762 69.9184
133.667001 83.750 69.7646
134.033212 83.738 69.6118
134.399423 83.726 69.4596
134.765634 83.713 69.3076
135.131845 83.700 69.1550
135.498056 83.687 69.0014
135.864267 83.675 68.8466
136.230478 83.663 68.6906
136.596689 83.652 68.5333
136.962900 83.641 68.3753
137.329111 83.631 68.2170
137.695322 83.622 68.0591
138.061533 83.614 67.9022
138.427744 83.606 67.7466
138.793955 83.598 67.5926
139.160166 83.591 67.4402
139.526377 83.583 67.2893
139.892588 83.575 67.1396
140.258799 83.567 66.9907
140.625010 83.559 66.8423
140.991221 83.549 66.6941
141.357432 83.540 66.5458
141.723643 83.530 66.3975
142.089854 83.520 66.2490
142.456065 83.511 66.1004
142.822276 83.501 65.9515
143.188487 83.491 65.8025
143.554698 83.481 65.6532
143.920909 83.471 65.5036
144.287119 83.461 65.3538
144.653330 83.451 65.2036
145.019541 83.441 65.0530
145.385752 83.431 64.9020
145.751963 83.421 64.7505
146.118174 83.411 64.5985
146.484385 83.401 64.4462
146.850596 83.390 64.2937
147.216807 83.380 64.1412
147.583018 83.369 63.9889
147.949229 83.358 63.8372
148.315440 83.348 63.6863
148.681651 83.337 63.5366
149.047862 83.326 63.3885
149.414073 83.316 63.2422
149.780284 83.306 63.0980
150.146495 83.296 62.9560
150.512706 83.286 62.8160
150.878917 83.277 62.6779
151.245128 83.267 62.5411
151.611339 83.258 62.4051
151.977550 83.250 62.2691
152.343761 83.241 62.1323
152.709972 83.232 61.9941
153.076183 83.222 61.8539
153.442394 83.213 61.7114
153.808605 83.203 61.5667
154.174816 83.194 61.4198
154.541027 83.184 61.2711
154.907238 83.174 61.1211
155.273448 83.164 60.9703
155.639659 83.154 60.8190
156.005870 83.144 60.6678
156.372081 83.134 60.5168
156.738292 83.124 60.3663
157.104503 83.115 60.2165
157.470714 83.105 60.0673
157.836925 83.096 59.9190
158.203136 83.086 59.7717
158.569347 83.077 59.6256
158.935558 83.068 59.4806
159.301769 83.058 59.3371
159.667980 83.049 59.1950
160.034191 83.040 59.0543
160.400402 83.031 58.9149
160.766613 83.021 58.7767
161.132824 83.012 58.6393
161.499035 83.003 58.5026
161.865246 82.994 58.3663
162.231457 82.985 58.2305
162.597668 82.976 58.0949
162.963879 82.967 57.9597
163.330090 82.958 57.8252
163.696301 82.949 57.6914
164.062512 82.940 57.5586
164.428723 82.931 57.4272
164.794934 82.923 57.2971
165.161145 82.914 57.1685
165.527356 82.905 57.0414
165.893567 82.897 56.9156
166.259778 82.888 56.7909
166.625988 82.880 56.6671
166.992199 82.872 56.5440
167.358410 82.863 56.4212
167.724621 82.855 56.2986
168.090832 82.847 56.1761
168.457043 82.839 56.0535
168.823254 82.830 55.9308
169.189465 82.822 55.8080
169.555676 82.814 55.6850
169.921887 82.806 55.5618
170.288098 82.797 55.4386
170.654309 82.789 55.3153
171.020520 82.781 55.1920
171.386731 82.773 55.0689
171.752942 82.764 54.9459
172.119153 82.756 54.8231
172.485364 82.748 54.7005
172.851575 82.740 54.5781
