* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2023 3:53:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Zero 2 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 97.938 165.4968
20.507813 97.938 165.2150
20.874023 97.933 164.4712
21.240234 97.915 163.7471
21.606445 97.881 163.1462
21.972656 97.838 162.6683
22.338867 97.798 162.2928
22.705078 97.766 161.9427
23.071289 97.741 161.5292
23.437500 97.718 161.0150
23.803711 97.692 160.4343
24.169922 97.665 159.8609
24.536133 97.644 159.3496
24.902344 97.636 158.8972
25.268555 97.640 158.4541
25.634766 97.644 157.9694
26.000977 97.635 157.4339
26.367188 97.602 156.8893
26.733399 97.548 156.3984
27.099610 97.483 155.9984
27.465821 97.423 155.6743
27.832032 97.377 155.3715
28.198243 97.345 155.0314
28.564454 97.319 154.6285
28.930665 97.291 154.1817
29.296876 97.256 153.7356
29.663087 97.216 153.3257
30.029298 97.179 152.9543
30.395509 97.149 152.5926
30.761720 97.126 152.2081
31.127931 97.106 151.7953
31.494142 97.083 151.3890
31.860353 97.054 151.0486
32.226563 97.023 150.8191
32.592774 96.998 150.6952
32.958985 96.982 150.6140
33.325196 96.975 150.4836
33.691407 96.970 150.2312
34.057618 96.955 149.8406
34.423829 96.925 149.3568
34.790040 96.880 148.8581
35.156251 96.827 148.4142
35.522462 96.777 148.0551
35.888673 96.736 147.7684
36.254884 96.704 147.5204
36.621095 96.676 147.2807
36.987306 96.648 147.0368
37.353517 96.615 146.7904
37.719728 96.579 146.5474
38.085939 96.540 146.3088
38.452150 96.502 146.0715
38.818361 96.465 145.8327
39.184572 96.432 145.5939
39.550783 96.401 145.3591
39.916994 96.372 145.1316
40.283205 96.344 144.9129
40.649416 96.316 144.7016
41.015627 96.290 144.4939
41.381838 96.264 144.2831
41.748049 96.240 144.0612
42.114260 96.217 143.8232
42.480471 96.193 143.5726
42.846682 96.168 143.3223
43.212893 96.142 143.0877
43.579103 96.115 142.8757
43.945314 96.089 142.6782
44.311525 96.063 142.4765
44.677736 96.037 142.2540
45.043947 96.008 142.0088
45.410158 95.975 141.7553
45.776369 95.940 141.5129
46.142580 95.906 141.2904
46.508791 95.876 141.0796
46.875002 95.849 140.8634
47.241213 95.823 140.6318
47.607424 95.795 140.3917
47.973635 95.763 140.1622
48.339846 95.729 139.9587
48.706057 95.699 139.7784
49.072268 95.672 139.6015
49.438479 95.649 139.4066
49.804690 95.626 139.1885
50.170901 95.599 138.9640
50.537112 95.567 138.7601
50.903323 95.533 138.5937
51.269534 95.501 138.4580
51.635745 95.473 138.3266
52.001956 95.449 138.1718
52.368167 95.425 137.9827
52.734378 95.398 137.7717
53.100589 95.367 137.5627
53.466800 95.334 137.3720
53.833011 95.302 137.1970
54.199222 95.271 137.0195
54.565432 95.238 136.8219
54.931643 95.201 136.6031
55.297854 95.159 136.3819
55.664065 95.112 136.1863
56.030276 95.067 136.0357
56.396487 95.030 135.9282
56.762698 95.005 135.8425
57.128909 94.992 135.7503
57.495120 94.985 135.6315
57.861331 94.979 135.4822
58.227542 94.968 135.3127
58.593753 94.950 135.1385
58.959964 94.924 134.9722
59.326175 94.892 134.8194
59.692386 94.856 134.6800
60.058597 94.820 134.5506
60.424808 94.787 134.4260
60.791019 94.757 134.2996
61.157230 94.733 134.1642
61.523441 94.712 134.0141
61.889652 94.691 133.8485
62.255863 94.667 133.6736
62.622074 94.639 133.5008
62.988285 94.606 133.3421
63.354496 94.571 133.2041
63.720707 94.536 133.0854
64.086918 94.505 132.9779
64.453129 94.478 132.8724
64.819340 94.455 132.7646
65.185551 94.435 132.6576
65.551762 94.415 132.5598
65.917972 94.394 132.4782
66.284183 94.372 132.4125
66.650394 94.348 132.3528
67.016605 94.323 132.2823
67.382816 94.297 132.1862
67.749027 94.267 132.0582
68.115238 94.236 131.9043
68.481449 94.204 131.7394
68.847660 94.173 131.5799
69.213871 94.145 131.4364
69.580082 94.123 131.3096
69.946293 94.106 131.1920
70.312504 94.092 131.0734
70.678715 94.077 130.9466
71.044926 94.060 130.8099
71.411137 94.038 130.6674
71.777348 94.010 130.5253
72.143559 93.979 130.3894
72.509770 93.946 130.2631
72.875981 93.914 130.1478
73.242192 93.882 130.0432
73.608403 93.852 129.9489
73.974614 93.824 129.8643
74.340825 93.798 129.7883
74.707036 93.773 129.7190
75.073247 93.749 129.6536
75.439458 93.727 129.5894
75.805669 93.705 129.5242
76.171880 93.684 129.4578
76.538091 93.663 129.3908
76.904301 93.644 129.3240
77.270512 93.625 129.2568
77.636723 93.606 129.1867
78.002934 93.588 129.1101
78.369145 93.568 129.0239
78.735356 93.546 128.9267
79.101567 93.522 128.8201
79.467778 93.495 128.7078
79.833989 93.466 128.5944
80.200200 93.435 128.4845
80.566411 93.405 128.3818
80.932622 93.375 128.2883
81.298833 93.346 128.2044
81.665044 93.320 128.1289
82.031255 93.295 128.0588
82.397466 93.273 127.9900
82.763677 93.253 127.9184
83.129888 93.234 127.8414
83.496099 93.217 127.7582
83.862310 93.200 127.6698
84.228521 93.184 127.5783
84.594732 93.168 127.4863
84.960943 93.151 127.3959
85.327154 93.133 127.3095
85.693365 93.113 127.2290
86.059576 93.093 127.1559
86.425787 93.070 127.0907
86.791998 93.048 127.0325
87.158209 93.025 126.9793
87.524420 93.001 126.9294
87.890631 92.978 126.8818
88.256841 92.955 126.8365
88.623052 92.932 126.7938
88.989263 92.909 126.7531
89.355474 92.887 126.7117
89.721685 92.864 126.6658
90.087896 92.842 126.6114
90.454107 92.820 126.5463
90.820318 92.797 126.4707
91.186529 92.774 126.3874
91.552740 92.751 126.3007
91.918951 92.728 126.2144
92.285162 92.705 126.1315
92.651373 92.683 126.0534
93.017584 92.662 125.9804
93.383795 92.640 125.9122
93.750006 92.619 125.8479
94.116217 92.598 125.7864
94.482428 92.577 125.7263
94.848639 92.556 125.6666
95.214850 92.535 125.6066
95.581061 92.515 125.5463
95.947272 92.494 125.4863
96.313483 92.473 125.4271
96.679694 92.453 125.3691
97.045905 92.432 125.3118
97.412116 92.412 125.2549
97.778327 92.391 125.1979
98.144538 92.371 125.1407
98.510749 92.351 125.0836
98.876960 92.330 125.0271
99.243170 92.311 124.9711
99.609381 92.292 124.9149
99.975592 92.273 124.8569
100.341803 92.255 124.7952
100.708014 92.237 124.7278
101.074225 92.220 124.6530
101.440436 92.202 124.5698
101.806647 92.184 124.4780
102.172858 92.165 124.3775
102.539069 92.147 124.2691
102.905280 92.129 124.1540
103.271491 92.110 124.0347
103.637702 92.091 123.9148
104.003913 92.072 123.7995
104.370124 92.051 123.6947
104.736335 92.030 123.6063
105.102546 92.009 123.5385
105.468757 91.988 123.4930
105.834968 91.969 123.4679
106.201179 91.952 123.4585
106.567390 91.938 123.4583
106.933601 91.927 123.4610
107.299812 91.917 123.4615
107.666023 91.909 123.4575
108.032234 91.900 123.4493
108.398445 91.891 123.4391
108.764656 91.880 123.4298
109.130867 91.867 123.4236
109.497078 91.852 123.4212
109.863289 91.836 123.4215
110.229500 91.818 123.4221
110.595710 91.799 123.4198
110.961921 91.779 123.4118
111.328132 91.757 123.3958
111.694343 91.735 123.3705
112.060554 91.711 123.3354
112.426765 91.687 123.2906
112.792976 91.663 123.2364
113.159187 91.639 123.1734
113.525398 91.616 123.1026
113.891609 91.594 123.0254
114.257820 91.573 122.9435
114.624031 91.554 122.8594
114.990242 91.537 122.7755
115.356453 91.523 122.6944
115.722664 91.510 122.6184
116.088875 91.499 122.5495
116.455086 91.490 122.4891
116.821297 91.481 122.4381
117.187508 91.472 122.3967
117.553719 91.463 122.3647
117.919930 91.453 122.3414
118.286141 91.441 122.3256
118.652352 91.427 122.3153
119.018563 91.412 122.3085
119.384774 91.395 122.3025
119.750985 91.376 122.2944
120.117196 91.357 122.2816
120.483407 91.336 122.2619
120.849618 91.315 122.2338
121.215829 91.295 122.1967
121.582040 91.275 122.1511
121.948250 91.256 122.0984
122.314461 91.239 122.0410
122.680672 91.223 121.9817
123.046883 91.209 121.9236
123.413094 91.196 121.8696
123.779305 91.185 121.8221
124.145516 91.174 121.7827
124.511727 91.163 121.7522
124.877938 91.151 121.7300
125.244149 91.139 121.7151
125.610360 91.125 121.7053
125.976571 91.111 121.6980
126.342782 91.094 121.6905
126.708993 91.077 121.6805
127.075204 91.059 121.6661
127.441415 91.040 121.6464
127.807626 91.022 121.6214
128.173837 91.004 121.5922
128.540048 90.987 121.5608
128.906259 90.971 121.5294
129.272470 90.955 121.5003
129.638681 90.941 121.4756
130.004892 90.927 121.4562
130.371103 90.913 121.4421
130.737314 90.900 121.4323
131.103525 90.886 121.4249
131.469736 90.871 121.4175
131.835947 90.856 121.4077
132.202158 90.841 121.3934
132.568369 90.825 121.3736
132.934579 90.810 121.3480
133.300790 90.794 121.3174
133.667001 90.779 121.2834
134.033212 90.765 121.2483
134.399423 90.751 121.2142
134.765634 90.738 121.1831
135.131845 90.725 121.1563
135.498056 90.712 121.1340
135.864267 90.699 121.1157
136.230478 90.686 121.1001
136.596689 90.672 121.0855
136.962900 90.658 121.0703
137.329111 90.643 121.0533
137.695322 90.629 121.0339
138.061533 90.615 121.0124
138.427744 90.601 120.9896
138.793955 90.587 120.9666
139.160166 90.574 120.9444
139.526377 90.561 120.9239
139.892588 90.549 120.9054
140.258799 90.536 120.8885
140.625010 90.522 120.8723
140.991221 90.509 120.8560
141.357432 90.495 120.8384
141.723643 90.482 120.8190
142.089854 90.468 120.7975
142.456065 90.454 120.7742
142.822276 90.441 120.7499
143.188487 90.429 120.7254
143.554698 90.416 120.7018
143.920909 90.404 120.6796
144.287119 90.392 120.6590
144.653330 90.380 120.6401
145.019541 90.368 120.6223
145.385752 90.356 120.6053
145.751963 90.344 120.5886
146.118174 90.331 120.5719
146.484385 90.319 120.5553
146.850596 90.306 120.5389
147.216807 90.294 120.5232
147.583018 90.281 120.5084
147.949229 90.268 120.4950
148.315440 90.256 120.4828
148.681651 90.243 120.4717
149.047862 90.229 120.4615
149.414073 90.216 120.4518
149.780284 90.202 120.4422
150.146495 90.188 120.4325
150.512706 90.174 120.4226
150.878917 90.161 120.4126
151.245128 90.147 120.4023
151.611339 90.133 120.3920
151.977550 90.120 120.3816
152.343761 90.107 120.3711
152.709972 90.094 120.3605
153.076183 90.081 120.3497
153.442394 90.068 120.3387
153.808605 90.056 120.3277
154.174816 90.043 120.3168
154.541027 90.031 120.3062
154.907238 90.018 120.2961
155.273448 90.006 120.2868
155.639659 89.993 120.2784
156.005870 89.981 120.2710
156.372081 89.968 120.2646
156.738292 89.955 120.2590
157.104503 89.943 120.2542
157.470714 89.930 120.2501
157.836925 89.917 120.2464
158.203136 89.904 120.2432
158.569347 89.891 120.2404
158.935558 89.878 120.2380
159.301769 89.866 120.2358
159.667980 89.853 120.2340
160.034191 89.841 120.2324
160.400402 89.829 120.2309
160.766613 89.817 120.2296
161.132824 89.805 120.2284
161.499035 89.794 120.2272
161.865246 89.782 120.2261
162.231457 89.772 120.2252
162.597668 89.761 120.2244
162.963879 89.750 120.2241
163.330090 89.740 120.2243
163.696301 89.729 120.2252
164.062512 89.719 120.2271
164.428723 89.709 120.2301
164.794934 89.698 120.2342
165.161145 89.688 120.2395
165.527356 89.678 120.2458
165.893567 89.668 120.2531
166.259778 89.657 120.2612
166.625988 89.647 120.2700
166.992199 89.636 120.2794
167.358410 89.626 120.2893
167.724621 89.615 120.2996
168.090832 89.605 120.3103
168.457043 89.594 120.3217
168.823254 89.583 120.3336
169.189465 89.572 120.3462
169.555676 89.561 120.3596
169.921887 89.550 120.3738
170.288098 89.539 120.3889
170.654309 89.527 120.4047
171.020520 89.516 120.4213
171.386731 89.505 120.4387
171.752942 89.494 120.4568
172.119153 89.483 120.4756
172.485364 89.471 120.4950
172.851575 89.460 120.5150
