* Measurement data measured by REW V5.31.3
* Source: Headset (3- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 1, 25 1:14:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Magic One 500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 49.207 -136.9917
0.368865 49.244 -137.1880
0.371538 49.299 -137.4783
0.374230 49.367 -137.8365
0.376942 49.443 -138.2403
0.379673 49.525 -138.6733
0.382424 49.610 -139.1246
0.385196 49.696 -139.5875
0.387987 49.785 -140.0580
0.390798 49.874 -140.5337
0.393630 49.965 -141.0134
0.396483 50.056 -141.4960
0.399356 50.147 -141.9812
0.402250 50.240 -142.4684
0.405165 50.333 -142.9573
0.408101 50.427 -143.4476
0.411058 50.521 -143.9390
0.414037 50.616 -144.4312
0.417037 50.712 -144.9241
0.420059 50.809 -145.4173
0.423103 50.906 -145.9105
0.426169 51.004 -146.4037
0.429257 51.103 -146.8965
0.432368 51.202 -147.3886
0.435501 51.302 -147.8800
0.438656 51.403 -148.3704
0.441835 51.505 -148.8596
0.445037 51.607 -149.3474
0.448262 51.710 -149.8337
0.451510 51.814 -150.3183
0.454782 51.918 -150.8009
0.458077 52.024 -151.2816
0.461397 52.130 -151.7601
0.464740 52.237 -152.2364
0.468108 52.344 -152.7103
0.471500 52.453 -153.1817
0.474917 52.562 -153.6506
0.478358 52.672 -154.1169
0.481825 52.782 -154.5804
0.485316 52.894 -155.0411
0.488833 53.006 -155.4991
0.492375 53.120 -155.9541
0.495943 53.234 -156.4063
0.499537 53.349 -156.8556
0.503157 53.464 -157.3020
0.506803 53.581 -157.7455
0.510475 53.698 -158.1860
0.514175 53.816 -158.6237
0.517900 53.936 -159.0585
0.521653 54.055 -159.4905
0.525434 54.176 -159.9196
0.529241 54.298 -160.3460
0.533076 54.421 -160.7697
0.536939 54.544 -161.1908
0.540830 54.668 -161.6093
0.544749 54.794 -162.0253
0.548696 54.920 -162.4388
0.552673 55.047 -162.8500
0.556677 55.175 -163.2590
0.560711 55.304 -163.6658
0.564774 55.434 -164.0705
0.568867 55.565 -164.4732
0.572989 55.696 -164.8741
0.577141 55.829 -165.2733
0.581324 55.963 -165.6708
0.585536 56.098 -166.0668
0.589779 56.233 -166.4614
0.594053 56.370 -166.8547
0.598358 56.508 -167.2469
0.602694 56.646 -167.6381
0.607061 56.786 -168.0284
0.611460 56.926 -168.4180
0.615891 57.068 -168.8070
0.620354 57.211 -169.1955
0.624849 57.355 -169.5838
0.629377 57.499 -169.9718
0.633938 57.645 -170.3599
0.638532 57.792 -170.7481
0.643159 57.940 -171.1366
0.647819 58.089 -171.5255
0.652514 58.239 -171.9151
0.657242 58.390 -172.3055
0.662005 58.543 -172.6967
0.666802 58.696 -173.0891
0.671634 58.851 -173.4828
0.676501 59.006 -173.8779
0.681403 59.163 -174.2746
0.686341 59.321 -174.6731
0.691314 59.479 -175.0735
0.696324 59.639 -175.4761
0.701370 59.800 -175.8809
0.706452 59.960 -176.2880
0.711571 60.121 -176.6976
0.716728 60.281 -177.1095
0.721921 60.439 -177.5236
0.727153 60.593 -177.9395
0.732422 60.744 -178.3568
0.737729 60.889 -178.7745
0.743075 61.029 -179.1921
0.748460 61.166 -179.6087
0.753883 61.301 179.9761
0.759346 61.433 179.5628
0.764849 61.564 179.1516
0.770391 61.694 178.7426
0.775974 61.823 178.3359
0.781597 61.952 177.9318
0.787261 62.079 177.5302
0.792966 62.207 177.1310
0.798712 62.333 176.7345
0.804500 62.459 176.3405
0.810329 62.585 175.9490
0.816201 62.710 175.5600
0.822116 62.834 175.1735
0.828073 62.958 174.7894
0.834074 63.081 174.4077
0.840118 63.204 174.0283
0.846206 63.326 173.6511
0.852338 63.447 173.2762
0.858514 63.569 172.9033
0.864735 63.689 172.5323
0.871001 63.809 172.1633
0.877313 63.929 171.7961
0.883670 64.048 171.4306
0.890074 64.167 171.0667
0.896524 64.286 170.7041
0.903020 64.404 170.3429
0.909564 64.521 169.9829
0.916155 64.639 169.6239
0.922794 64.756 169.2658
0.929481 64.873 168.9085
0.936216 64.989 168.5518
0.943000 65.105 168.1955
0.949834 65.221 167.8395
0.956717 65.337 167.4836
0.963649 65.453 167.1277
0.970632 65.569 166.7715
0.977666 65.685 166.4149
0.984750 65.800 166.0578
0.991886 65.916 165.6998
0.999074 66.032 165.3409
1.006314 66.148 164.9808
1.013606 66.264 164.6193
1.020951 66.380 164.2562
1.028349 66.497 163.8914
1.035801 66.614 163.5245
1.043307 66.731 163.1553
1.050867 66.849 162.7838
1.058482 66.967 162.4095
1.066152 67.086 162.0324
1.073878 67.205 161.6522
1.081660 67.325 161.2688
1.089498 67.445 160.8820
1.097393 67.566 160.4919
1.105345 67.686 160.0986
1.113355 67.806 159.7020
1.121423 67.926 159.3026
1.129549 68.046 158.9003
1.137734 68.165 158.4957
1.145979 68.283 158.0887
1.154283 68.401 157.6798
1.162647 68.518 157.2690
1.171072 68.635 156.8566
1.179558 68.751 156.4427
1.188106 68.866 156.0276
1.196715 68.981 155.6115
1.205387 69.095 155.1945
1.214122 69.209 154.7766
1.222920 69.322 154.3582
1.231782 69.434 153.9393
1.240708 69.547 153.5201
1.249699 69.658 153.1006
1.258754 69.769 152.6812
1.267876 69.880 152.2616
1.277063 69.990 151.8422
1.286318 70.100 151.4230
1.295639 70.210 151.0041
1.305027 70.319 150.5855
1.314484 70.428 150.1674
1.324009 70.537 149.7498
1.333604 70.645 149.3326
1.343268 70.754 148.9161
1.353002 70.862 148.5001
1.362806 70.970 148.0848
1.372681 71.078 147.6702
1.382628 71.186 147.2562
1.392647 71.295 146.8428
1.402739 71.403 146.4301
1.412904 71.511 146.0179
1.423142 71.620 145.6064
1.433455 71.728 145.1952
1.443843 71.837 144.7843
1.454305 71.946 144.3735
1.464844 72.055 143.9625
1.475459 72.164 143.5510
1.486150 72.272 143.1388
1.496920 72.380 142.7257
1.507767 72.487 142.3116
1.518693 72.594 141.8965
1.529698 72.700 141.4803
1.540783 72.806 141.0632
1.551948 72.911 140.6451
1.563194 73.016 140.2261
1.574521 73.119 139.8062
1.585931 73.223 139.3855
1.597423 73.326 138.9640
1.608999 73.428 138.5417
1.620658 73.529 138.1187
1.632402 73.631 137.6949
1.644232 73.732 137.2704
1.656146 73.832 136.8451
1.668147 73.932 136.4191
1.680235 74.031 135.9923
1.692411 74.131 135.5647
1.704675 74.230 135.1363
1.717028 74.328 134.7070
1.729470 74.427 134.2768
1.742003 74.525 133.8455
1.754626 74.623 133.4132
1.767341 74.721 132.9796
1.780147 74.818 132.5447
1.793047 74.916 132.1082
1.806040 75.013 131.6697
1.819128 75.110 131.2291
1.832310 75.207 130.7859
1.845587 75.304 130.3395
1.858961 75.400 129.8898
1.872432 75.496 129.4365
1.886001 75.590 128.9797
1.899667 75.685 128.5194
1.913433 75.778 128.0560
1.927299 75.871 127.5898
1.941265 75.963 127.1210
1.955332 76.055 126.6500
1.969501 76.146 126.1771
1.983773 76.236 125.7026
1.998148 76.326 125.2270
2.012627 76.416 124.7505
2.027212 76.504 124.2733
2.041902 76.593 123.7959
2.056698 76.680 123.3185
2.071602 76.768 122.8414
2.086614 76.855 122.3647
2.101734 76.941 121.8887
2.116964 77.027 121.4136
2.132304 77.113 120.9395
2.147756 77.199 120.4662
2.163320 77.284 119.9937
2.178996 77.369 119.5216
2.194786 77.453 119.0492
2.210690 77.537 118.5759
2.226710 77.620 118.1010
2.242845 77.703 117.6239
2.259098 77.785 117.1444
2.275468 77.866 116.6624
2.291957 77.947 116.1782
2.308566 78.026 115.6920
2.325295 78.105 115.2041
2.342145 78.184 114.7149
2.359117 78.261 114.2249
2.376212 78.338 113.7343
2.393431 78.415 113.2437
2.410775 78.491 112.7535
2.428244 78.566 112.2641
2.445840 78.641 111.7758
2.463564 78.715 111.2891
2.481416 78.789 110.8040
2.499397 78.862 110.3210
2.517509 78.935 109.8400
2.535752 79.008 109.3607
2.554127 79.080 108.8829
2.572635 79.151 108.4059
2.591277 79.222 107.9290
2.610055 79.292 107.4514
2.628968 79.361 106.9730
2.648019 79.430 106.4934
2.667208 79.498 106.0129
2.686535 79.565 105.5315
2.706003 79.631 105.0496
2.725612 79.697 104.5676
2.745363 79.762 104.0858
2.765257 79.826 103.6048
2.785295 79.890 103.1248
2.805478 79.953 102.6465
2.825808 80.016 102.1701
2.846285 80.078 101.6960
2.866910 80.140 101.2244
2.887685 80.202 100.7554
2.908611 80.263 100.2890
2.929688 80.323 99.8246
2.950917 80.383 99.3619
2.972301 80.443 98.9001
2.993839 80.501 98.4391
3.015534 80.559 97.9784
3.037386 80.617 97.5181
3.059396 80.673 97.0583
3.081565 80.729 96.5992
3.103896 80.785 96.1412
3.126388 80.840 95.6845
3.149043 80.894 95.2297
3.171862 80.948 94.7771
3.194847 81.002 94.3270
3.217998 81.055 93.8798
3.241317 81.108 93.4357
3.264805 81.160 92.9948
3.288463 81.213 92.5572
3.312293 81.265 92.1225
3.336295 81.316 91.6904
3.360471 81.367 91.2606
3.384822 81.418 90.8328
3.409350 81.468 90.4070
3.434056 81.518 89.9829
3.458940 81.567 89.5607
3.484005 81.616 89.1403
3.509252 81.664 88.7219
3.534681 81.713 88.3054
3.560295 81.761 87.8911
3.586094 81.808 87.4790
3.612081 81.856 87.0692
3.638255 81.904 86.6617
3.664620 81.951 86.2567
3.691175 81.999 85.8538
3.717923 82.046 85.4532
3.744864 82.093 85.0545
3.772001 82.139 84.6578
3.799335 82.186 84.2627
3.826866 82.232 83.8693
3.854597 82.278 83.4773
3.882529 82.324 83.0867
3.910664 82.370 82.6974
3.939002 82.416 82.3092
3.967546 82.461 81.9222
3.996296 82.507 81.5363
4.025255 82.553 81.1516
4.054423 82.598 80.7679
4.083804 82.644 80.3854
4.113396 82.689 80.0038
4.143204 82.735 79.6232
4.173227 82.780 79.2434
4.203468 82.825 78.8641
4.233928 82.870 78.4852
4.264609 82.915 78.1064
4.295512 82.960 77.7275
4.326639 83.005 77.3484
4.357992 83.050 76.9688
4.389572 83.094 76.5887
4.421380 83.139 76.2081
4.453419 83.183 75.8268
4.485691 83.227 75.4449
4.518196 83.271 75.0623
4.550936 83.315 74.6792
4.583914 83.358 74.2954
4.617131 83.402 73.9110
4.650589 83.445 73.5260
4.684289 83.488 73.1402
4.718233 83.530 72.7535
4.752424 83.572 72.3659
4.786862 83.614 71.9772
4.821549 83.655 71.5872
4.856488 83.696 71.1962
4.891680 83.737 70.8040
4.927127 83.777 70.4111
4.962831 83.817 70.0174
4.998794 83.856 69.6234
5.035017 83.895 69.2292
5.071503 83.933 68.8348
5.108253 83.971 68.4403
5.145270 84.008 68.0457
5.182555 84.044 67.6508
5.220110 84.080 67.2555
5.257937 84.116 66.8601
5.296038 84.150 66.4648
5.334415 84.184 66.0701
5.373071 84.218 65.6762
5.412006 84.251 65.2836
5.451224 84.283 64.8925
5.490725 84.315 64.5030
5.530514 84.346 64.1151
5.570590 84.376 63.7288
5.610957 84.406 63.3441
5.651616 84.435 62.9612
5.692570 84.464 62.5803
5.733821 84.492 62.2018
5.775370 84.520 61.8261
5.817221 84.547 61.4534
5.859375 84.573 61.0840
5.901834 84.599 60.7178
5.944602 84.625 60.3549
5.987679 84.650 59.9952
6.031068 84.675 59.6387
6.074771 84.700 59.2856
6.118792 84.724 58.9358
6.163131 84.748 58.5894
6.207792 84.772 58.2467
6.252776 84.796 57.9076
6.298086 84.819 57.5722
6.343725 84.843 57.2402
6.389694 84.866 56.9117
6.435996 84.889 56.5863
6.482634 84.912 56.2640
6.529610 84.936 55.9445
6.576926 84.959 55.6277
6.624585 84.982 55.3137
6.672590 85.006 55.0022
6.720942 85.029 54.6933
6.769645 85.053 54.3865
6.818700 85.076 54.0817
6.868111 85.100 53.7786
6.917881 85.124 53.4768
6.968010 85.148 53.1763
7.018504 85.172 52.8769
