* Measurement data measured by REW V5.31.3
* Source: Headset (3- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 1, 25 11:22:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Magic One L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.993 -82.2490
0.368865 54.015 -82.4542
0.371538 54.046 -82.7612
0.374230 54.086 -83.1461
0.376942 54.130 -83.5882
0.379673 54.177 -84.0723
0.382424 54.226 -84.5884
0.385196 54.277 -85.1302
0.387987 54.328 -85.6942
0.390798 54.380 -86.2783
0.393630 54.432 -86.8815
0.396483 54.485 -87.5033
0.399356 54.539 -88.1435
0.402250 54.592 -88.8018
0.405165 54.647 -89.4782
0.408101 54.701 -90.1727
0.411058 54.756 -90.8852
0.414037 54.811 -91.6155
0.417037 54.867 -92.3636
0.420059 54.923 -93.1292
0.423103 54.980 -93.9123
0.426169 55.037 -94.7125
0.429257 55.094 -95.5295
0.432368 55.152 -96.3631
0.435501 55.210 -97.2129
0.438656 55.269 -98.0786
0.441835 55.328 -98.9595
0.445037 55.387 -99.8554
0.448262 55.447 -100.7656
0.451510 55.507 -101.6896
0.454782 55.568 -102.6268
0.458077 55.629 -103.5766
0.461397 55.691 -104.5382
0.464740 55.753 -105.5110
0.468108 55.816 -106.4942
0.471500 55.879 -107.4870
0.474917 55.942 -108.4887
0.478358 56.006 -109.4983
0.481825 56.071 -110.5152
0.485316 56.135 -111.5384
0.488833 56.201 -112.5670
0.492375 56.267 -113.6002
0.495943 56.333 -114.6372
0.499537 56.400 -115.6769
0.503157 56.467 -116.7187
0.506803 56.535 -117.7615
0.510475 56.603 -118.8047
0.514175 56.672 -119.8473
0.517900 56.741 -120.8886
0.521653 56.810 -121.9278
0.525434 56.881 -122.9641
0.529241 56.951 -123.9969
0.533076 57.023 -125.0255
0.536939 57.094 -126.0493
0.540830 57.167 -127.0676
0.544749 57.240 -128.0799
0.548696 57.313 -129.0857
0.552673 57.387 -130.0845
0.556677 57.461 -131.0760
0.560711 57.536 -132.0597
0.564774 57.612 -133.0354
0.568867 57.688 -134.0026
0.572989 57.764 -134.9612
0.577141 57.841 -135.9110
0.581324 57.919 -136.8519
0.585536 57.997 -137.7835
0.589779 58.076 -138.7061
0.594053 58.156 -139.6193
0.598358 58.236 -140.5234
0.602694 58.316 -141.4182
0.607061 58.397 -142.3039
0.611460 58.479 -143.1805
0.615891 58.561 -144.0482
0.620354 58.644 -144.9070
0.624849 58.728 -145.7572
0.629377 58.812 -146.5990
0.633938 58.897 -147.4326
0.638532 58.982 -148.2582
0.643159 59.068 -149.0760
0.647819 59.155 -149.8864
0.652514 59.242 -150.6897
0.657242 59.330 -151.4861
0.662005 59.418 -152.2760
0.666802 59.507 -153.0597
0.671634 59.597 -153.8376
0.676501 59.688 -154.6100
0.681403 59.779 -155.3773
0.686341 59.871 -156.1398
0.691314 59.963 -156.8980
0.696324 60.056 -157.6522
0.701370 60.150 -158.4028
0.706452 60.245 -159.1503
0.711571 60.340 -159.8949
0.716728 60.437 -160.6369
0.721921 60.534 -161.3766
0.727153 60.633 -162.1140
0.732422 60.734 -162.8490
0.737729 60.836 -163.5812
0.743075 60.940 -164.3103
0.748460 61.046 -165.0357
0.753883 61.153 -165.7568
0.759346 61.262 -166.4732
0.764849 61.372 -167.1844
0.770391 61.484 -167.8901
0.775974 61.597 -168.5899
0.781597 61.712 -169.2835
0.787261 61.829 -169.9707
0.792966 61.946 -170.6513
0.798712 62.065 -171.3251
0.804500 62.186 -171.9921
0.810329 62.307 -172.6520
0.816201 62.430 -173.3048
0.822116 62.555 -173.9505
0.828073 62.680 -174.5891
0.834074 62.807 -175.2205
0.840118 62.935 -175.8448
0.846206 63.064 -176.4621
0.852338 63.194 -177.0723
0.858514 63.326 -177.6757
0.864735 63.458 -178.2723
0.871001 63.592 -178.8622
0.877313 63.726 -179.4457
0.883670 63.862 179.9772
0.890074 63.998 179.4063
0.896524 64.135 178.8414
0.903020 64.273 178.2823
0.909564 64.411 177.7287
0.916155 64.551 177.1805
0.922794 64.690 176.6374
0.929481 64.831 176.0992
0.936216 64.972 175.5656
0.943000 65.113 175.0364
0.949834 65.255 174.5114
0.956717 65.397 173.9901
0.963649 65.539 173.4725
0.970632 65.681 172.9581
0.977666 65.824 172.4467
0.984750 65.966 171.9380
0.991886 66.108 171.4316
0.999074 66.250 170.9274
1.006314 66.392 170.4249
1.013606 66.533 169.9238
1.020951 66.674 169.4239
1.028349 66.814 168.9247
1.035801 66.953 168.4260
1.043307 67.092 167.9274
1.050867 67.229 167.4284
1.058482 67.366 166.9288
1.066152 67.501 166.4282
1.073878 67.636 165.9261
1.081660 67.769 165.4221
1.089498 67.900 164.9159
1.097393 68.031 164.4069
1.105345 68.160 163.8949
1.113355 68.288 163.3796
1.121423 68.415 162.8610
1.129549 68.540 162.3392
1.137734 68.665 161.8145
1.145979 68.790 161.2870
1.154283 68.913 160.7570
1.162647 69.035 160.2250
1.171072 69.157 159.6913
1.179558 69.277 159.1561
1.188106 69.397 158.6198
1.196715 69.516 158.0828
1.205387 69.634 157.5453
1.214122 69.752 157.0076
1.222920 69.869 156.4700
1.231782 69.985 155.9329
1.240708 70.100 155.3963
1.249699 70.215 154.8606
1.258754 70.328 154.3260
1.267876 70.442 153.7928
1.277063 70.555 153.2611
1.286318 70.667 152.7312
1.295639 70.779 152.2031
1.305027 70.890 151.6772
1.314484 71.001 151.1535
1.324009 71.111 150.6322
1.333604 71.221 150.1134
1.343268 71.331 149.5973
1.353002 71.440 149.0839
1.362806 71.549 148.5734
1.372681 71.658 148.0658
1.382628 71.767 147.5612
1.392647 71.876 147.0598
1.402739 71.985 146.5613
1.412904 72.094 146.0659
1.423142 72.203 145.5734
1.433455 72.312 145.0836
1.443843 72.421 144.5963
1.454305 72.530 144.1110
1.464844 72.639 143.6269
1.475459 72.747 143.1434
1.486150 72.855 142.6599
1.496920 72.963 142.1757
1.507767 73.069 141.6906
1.518693 73.175 141.2043
1.529698 73.280 140.7171
1.540783 73.384 140.2288
1.551948 73.487 139.7396
1.563194 73.590 139.2496
1.574521 73.691 138.7589
1.585931 73.792 138.2678
1.597423 73.892 137.7763
1.608999 73.991 137.2845
1.620658 74.090 136.7927
1.632402 74.188 136.3008
1.644232 74.285 135.8090
1.656146 74.382 135.3175
1.668147 74.478 134.8263
1.680235 74.573 134.3354
1.692411 74.668 133.8450
1.704675 74.763 133.3552
1.717028 74.857 132.8658
1.729470 74.950 132.3771
1.742003 75.044 131.8891
1.754626 75.137 131.4016
1.767341 75.230 130.9146
1.780147 75.322 130.4280
1.793047 75.414 129.9416
1.806040 75.506 129.4549
1.819128 75.598 128.9673
1.832310 75.690 128.4782
1.845587 75.780 127.9868
1.858961 75.870 127.4923
1.872432 75.960 126.9943
1.886001 76.048 126.4927
1.899667 76.136 125.9875
1.913433 76.223 125.4790
1.927299 76.309 124.9676
1.941265 76.394 124.4536
1.955332 76.478 123.9375
1.969501 76.562 123.4199
1.983773 76.644 122.9011
1.998148 76.726 122.3817
2.012627 76.807 121.8621
2.027212 76.888 121.3428
2.041902 76.968 120.8243
2.056698 77.047 120.3070
2.071602 77.126 119.7914
2.086614 77.204 119.2780
2.101734 77.281 118.7669
2.116964 77.358 118.2588
2.132304 77.435 117.7536
2.147756 77.512 117.2516
2.163320 77.588 116.7525
2.178996 77.663 116.2560
2.194786 77.738 115.7612
2.210690 77.812 115.2674
2.226710 77.886 114.7733
2.242845 77.959 114.2784
2.259098 78.031 113.7820
2.275468 78.102 113.2841
2.291957 78.172 112.7847
2.308566 78.241 112.2841
2.325295 78.309 111.7827
2.342145 78.377 111.2810
2.359117 78.443 110.7793
2.376212 78.509 110.2782
2.393431 78.575 109.7782
2.410775 78.639 109.2798
2.428244 78.703 108.7837
2.445840 78.767 108.2903
2.463564 78.830 107.8000
2.481416 78.892 107.3134
2.499397 78.954 106.8308
2.517509 79.016 106.3523
2.535752 79.077 105.8780
2.554127 79.138 105.4074
2.572635 79.198 104.9399
2.591277 79.257 104.4749
2.610055 79.316 104.0115
2.628968 79.374 103.5493
2.648019 79.431 103.0879
2.667208 79.487 102.6274
2.686535 79.543 102.1678
2.706003 79.598 101.7093
2.725612 79.652 101.2521
2.745363 79.705 100.7967
2.765257 79.758 100.3434
2.785295 79.810 99.8925
2.805478 79.862 99.4445
2.825808 79.914 98.9997
2.846285 79.965 98.5585
2.866910 80.016 98.1212
2.887685 80.067 97.6880
2.908611 80.118 97.2589
2.929688 80.168 96.8338
2.950917 80.218 96.4123
2.972301 80.267 95.9941
2.993839 80.316 95.5789
3.015534 80.364 95.1662
3.037386 80.412 94.7560
3.059396 80.459 94.3482
3.081565 80.506 93.9428
3.103896 80.553 93.5399
3.126388 80.599 93.1395
3.149043 80.645 92.7418
3.171862 80.690 92.3469
3.194847 80.736 91.9550
3.217998 80.782 91.5662
3.241317 80.827 91.1808
3.264805 80.873 90.7989
3.288463 80.919 90.4207
3.312293 80.964 90.0460
3.336295 81.010 89.6750
3.360471 81.055 89.3076
3.384822 81.101 88.9434
3.409350 81.146 88.5823
3.434056 81.191 88.2238
3.458940 81.236 87.8677
3.484005 81.281 87.5136
3.509252 81.326 87.1612
3.534681 81.371 86.8102
3.560295 81.417 86.4602
3.586094 81.462 86.1111
3.612081 81.507 85.7627
3.638255 81.553 85.4150
3.664620 81.599 85.0680
3.691175 81.645 84.7219
3.717923 81.691 84.3767
3.744864 81.737 84.0326
3.772001 81.784 83.6893
3.799335 81.831 83.3468
3.826866 81.877 83.0046
3.854597 81.924 82.6624
3.882529 81.971 82.3199
3.910664 82.018 81.9768
3.939002 82.065 81.6326
3.967546 82.112 81.2870
3.996296 82.159 80.9399
4.025255 82.206 80.5912
4.054423 82.253 80.2408
4.083804 82.300 79.8888
4.113396 82.347 79.5353
4.143204 82.394 79.1802
4.173227 82.442 78.8237
4.203468 82.489 78.4655
4.233928 82.536 78.1056
4.264609 82.582 77.7437
4.295512 82.629 77.3798
4.326639 82.675 77.0135
4.357992 82.721 76.6447
4.389572 82.767 76.2731
4.421380 82.812 75.8986
4.453419 82.857 75.5212
4.485691 82.902 75.1408
4.518196 82.946 74.7577
4.550936 82.990 74.3722
4.583914 83.033 73.9846
4.617131 83.076 73.5952
4.650589 83.118 73.2043
4.684289 83.160 72.8122
4.718233 83.201 72.4189
4.752424 83.241 72.0242
4.786862 83.281 71.6281
4.821549 83.320 71.2304
4.856488 83.358 70.8311
4.891680 83.396 70.4303
4.927127 83.432 70.0287
4.962831 83.468 69.6266
4.998794 83.504 69.2247
5.035017 83.538 68.8236
5.071503 83.572 68.4236
5.108253 83.605 68.0251
5.145270 83.638 67.6279
5.182555 83.669 67.2319
5.220110 83.700 66.8372
5.257937 83.730 66.4437
5.296038 83.759 66.0519
5.334415 83.788 65.6621
5.373071 83.816 65.2749
5.412006 83.843 64.8907
5.451224 83.870 64.5101
5.490725 83.896 64.1331
5.530514 83.922 63.7599
5.570590 83.947 63.3904
5.610957 83.972 63.0246
5.651616 83.996 62.6624
5.692570 84.020 62.3039
5.733821 84.044 61.9491
5.775370 84.068 61.5982
5.817221 84.091 61.2514
5.859375 84.114 60.9088
5.901834 84.138 60.5703
5.944602 84.161 60.2360
5.987679 84.184 59.9057
6.031068 84.208 59.5790
6.074771 84.231 59.2556
6.118792 84.254 58.9352
6.163131 84.278 58.6174
6.207792 84.302 58.3021
6.252776 84.326 57.9891
6.298086 84.351 57.6785
6.343725 84.375 57.3699
6.389694 84.400 57.0631
6.435996 84.426 56.7577
6.482634 84.451 56.4532
6.529610 84.477 56.1491
6.576926 84.503 55.8452
6.624585 84.529 55.5411
6.672590 84.556 55.2369
6.720942 84.582 54.9324
6.769645 84.609 54.6276
6.818700 84.636 54.3222
6.868111 84.663 54.0160
6.917881 84.690 53.7088
6.968010 84.716 53.4005
