* Measurement data measured by REW V5.31.3
* Source: Headset (3- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 1, 25 11:20:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Magic One R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.178 -174.3475
0.368865 47.219 -174.4398
0.371538 47.280 -174.5754
0.374230 47.356 -174.7409
0.376942 47.440 -174.9251
0.379673 47.530 -175.1198
0.382424 47.624 -175.3196
0.385196 47.720 -175.5215
0.387987 47.818 -175.7234
0.390798 47.917 -175.9244
0.393630 48.017 -176.1240
0.396483 48.118 -176.3218
0.399356 48.219 -176.5178
0.402250 48.322 -176.7119
0.405165 48.425 -176.9040
0.408101 48.529 -177.0942
0.411058 48.633 -177.2825
0.414037 48.739 -177.4689
0.417037 48.845 -177.6534
0.420059 48.951 -177.8361
0.423103 49.059 -178.0170
0.426169 49.168 -178.1962
0.429257 49.277 -178.3737
0.432368 49.387 -178.5494
0.435501 49.498 -178.7236
0.438656 49.609 -178.8962
0.441835 49.722 -179.0673
0.445037 49.835 -179.2369
0.448262 49.949 -179.4051
0.451510 50.064 -179.5720
0.454782 50.180 -179.7376
0.458077 50.296 -179.9020
0.461397 50.413 179.9347
0.464740 50.532 179.7726
0.468108 50.651 179.6114
0.471500 50.771 179.4512
0.474917 50.892 179.2918
0.478358 51.013 179.1333
0.481825 51.136 178.9755
0.485316 51.260 178.8183
0.488833 51.384 178.6617
0.492375 51.509 178.5056
0.495943 51.635 178.3499
0.499537 51.763 178.1945
0.503157 51.891 178.0395
0.506803 52.020 177.8846
0.510475 52.150 177.7298
0.514175 52.280 177.5750
0.517900 52.412 177.4202
0.521653 52.545 177.2652
0.525434 52.679 177.1100
0.529241 52.813 176.9545
0.533076 52.949 176.7986
0.536939 53.086 176.6423
0.540830 53.223 176.4854
0.544749 53.362 176.3279
0.548696 53.502 176.1697
0.552673 53.642 176.0107
0.556677 53.784 175.8508
0.560711 53.927 175.6899
0.564774 54.071 175.5280
0.568867 54.215 175.3651
0.572989 54.361 175.2008
0.577141 54.508 175.0353
0.581324 54.656 174.8684
0.585536 54.805 174.7001
0.589779 54.955 174.5302
0.594053 55.107 174.3587
0.598358 55.259 174.1855
0.602694 55.412 174.0106
0.607061 55.567 173.8337
0.611460 55.723 173.6549
0.615891 55.880 173.4741
0.620354 56.037 173.2912
0.624849 56.197 173.1060
0.629377 56.357 172.9186
0.633938 56.518 172.7289
0.638532 56.681 172.5367
0.643159 56.845 172.3419
0.647819 57.010 172.1446
0.652514 57.176 171.9446
0.657242 57.343 171.7418
0.662005 57.512 171.5361
0.666802 57.681 171.3275
0.671634 57.852 171.1158
0.676501 58.025 170.9011
0.681403 58.198 170.6831
0.686341 58.373 170.4619
0.691314 58.549 170.2374
0.696324 58.725 170.0095
0.701370 58.903 169.7781
0.706452 59.080 169.5433
0.711571 59.258 169.3052
0.716728 59.434 169.0640
0.721921 59.608 168.8200
0.727153 59.778 168.5738
0.732422 59.942 168.3262
0.737729 60.101 168.0781
0.743075 60.253 167.8306
0.748460 60.401 167.5844
0.753883 60.546 167.3400
0.759346 60.688 167.0977
0.764849 60.828 166.8577
0.770391 60.967 166.6200
0.775974 61.105 166.3846
0.781597 61.242 166.1514
0.787261 61.378 165.9203
0.792966 61.513 165.6912
0.798712 61.647 165.4640
0.804500 61.780 165.2385
0.810329 61.912 165.0146
0.816201 62.043 164.7922
0.822116 62.174 164.5711
0.828073 62.304 164.3512
0.834074 62.433 164.1323
0.840118 62.561 163.9143
0.846206 62.688 163.6971
0.852338 62.815 163.4805
0.858514 62.941 163.2643
0.864735 63.066 163.0484
0.871001 63.190 162.8326
0.877313 63.314 162.6169
0.883670 63.437 162.4010
0.890074 63.560 162.1848
0.896524 63.682 161.9681
0.903020 63.803 161.7509
0.909564 63.924 161.5328
0.916155 64.045 161.3138
0.922794 64.165 161.0938
0.929481 64.284 160.8725
0.936216 64.404 160.6498
0.943000 64.523 160.4256
0.949834 64.641 160.1996
0.956717 64.760 159.9718
0.963649 64.879 159.7419
0.970632 64.997 159.5098
0.977666 65.115 159.2754
0.984750 65.234 159.0384
0.991886 65.352 158.7987
0.999074 65.471 158.5562
1.006314 65.590 158.3106
1.013606 65.709 158.0618
1.020951 65.829 157.8096
1.028349 65.949 157.5538
1.035801 66.070 157.2944
1.043307 66.191 157.0310
1.050867 66.313 156.7636
1.058482 66.436 156.4920
1.066152 66.560 156.2161
1.073878 66.685 155.9360
1.081660 66.811 155.6517
1.089498 66.937 155.3633
1.097393 67.064 155.0714
1.105345 67.191 154.7765
1.113355 67.318 154.4790
1.121423 67.445 154.1796
1.129549 67.572 153.8787
1.137734 67.698 153.5765
1.145979 67.824 153.2732
1.154283 67.949 152.9689
1.162647 68.074 152.6638
1.171072 68.199 152.3578
1.179558 68.322 152.0511
1.188106 68.446 151.7435
1.196715 68.569 151.4352
1.205387 68.691 151.1261
1.214122 68.813 150.8161
1.222920 68.934 150.5054
1.231782 69.055 150.1938
1.240708 69.176 149.8813
1.249699 69.296 149.5679
1.258754 69.416 149.2536
1.267876 69.536 148.9383
1.277063 69.655 148.6219
1.286318 69.774 148.3044
1.295639 69.892 147.9858
1.305027 70.011 147.6660
1.314484 70.129 147.3448
1.324009 70.247 147.0224
1.333604 70.365 146.6984
1.343268 70.483 146.3730
1.353002 70.601 146.0459
1.362806 70.718 145.7170
1.372681 70.836 145.3864
1.382628 70.954 145.0538
1.392647 71.072 144.7193
1.402739 71.190 144.3826
1.412904 71.308 144.0436
1.423142 71.427 143.7024
1.433455 71.545 143.3589
1.443843 71.664 143.0130
1.454305 71.783 142.6649
1.464844 71.902 142.3146
1.475459 72.021 141.9626
1.486150 72.140 141.6089
1.496920 72.258 141.2539
1.507767 72.376 140.8976
1.518693 72.494 140.5402
1.529698 72.611 140.1816
1.540783 72.727 139.8220
1.551948 72.843 139.4612
1.563194 72.959 139.0992
1.574521 73.074 138.7360
1.585931 73.189 138.3713
1.597423 73.303 138.0052
1.608999 73.416 137.6376
1.620658 73.530 137.2684
1.632402 73.642 136.8973
1.644232 73.755 136.5244
1.656146 73.867 136.1495
1.668147 73.979 135.7723
1.680235 74.090 135.3928
1.692411 74.201 135.0109
1.704675 74.312 134.6262
1.717028 74.422 134.2388
1.729470 74.533 133.8483
1.742003 74.643 133.4545
1.754626 74.753 133.0574
1.767341 74.863 132.6566
1.780147 74.972 132.2519
1.793047 75.082 131.8431
1.806040 75.191 131.4300
1.819128 75.301 131.0124
1.832310 75.410 130.5901
1.845587 75.518 130.1630
1.858961 75.626 129.7311
1.872432 75.734 129.2946
1.886001 75.841 128.8537
1.899667 75.948 128.4087
1.913433 76.053 127.9597
1.927299 76.159 127.5073
1.941265 76.263 127.0516
1.955332 76.367 126.5929
1.969501 76.470 126.1315
1.983773 76.573 125.6677
1.998148 76.675 125.2018
2.012627 76.777 124.7338
2.027212 76.878 124.2640
2.041902 76.979 123.7926
2.056698 77.079 123.3198
2.071602 77.178 122.8456
2.086614 77.277 122.3701
2.101734 77.376 121.8934
2.116964 77.474 121.4155
2.132304 77.572 120.9364
2.147756 77.669 120.4557
2.163320 77.766 119.9734
2.178996 77.862 119.4888
2.194786 77.958 119.0014
2.210690 78.053 118.5105
2.226710 78.148 118.0155
2.242845 78.242 117.5161
2.259098 78.335 117.0122
2.275468 78.427 116.5038
2.291957 78.519 115.9915
2.308566 78.609 115.4753
2.325295 78.699 114.9561
2.342145 78.788 114.4341
2.359117 78.876 113.9099
2.376212 78.963 113.3840
2.393431 79.050 112.8569
2.410775 79.136 112.3290
2.428244 79.221 111.8007
2.445840 79.305 111.2725
2.463564 79.389 110.7446
2.481416 79.472 110.2173
2.499397 79.554 109.6906
2.517509 79.635 109.1645
2.535752 79.716 108.6385
2.554127 79.796 108.1119
2.572635 79.876 107.5839
2.591277 79.954 107.0535
2.610055 80.031 106.5198
2.628968 80.108 105.9825
2.648019 80.183 105.4415
2.667208 80.257 104.8972
2.686535 80.330 104.3500
2.706003 80.402 103.8006
2.725612 80.474 103.2496
2.745363 80.544 102.6978
2.765257 80.613 102.1460
2.785295 80.681 101.5948
2.805478 80.749 101.0450
2.825808 80.815 100.4972
2.846285 80.881 99.9519
2.866910 80.945 99.4095
2.887685 81.009 98.8699
2.908611 81.072 98.3328
2.929688 81.134 97.7975
2.950917 81.195 97.2628
2.972301 81.255 96.7279
2.993839 81.314 96.1920
3.015534 81.371 95.6548
3.037386 81.428 95.1165
3.059396 81.483 94.5774
3.081565 81.537 94.0383
3.103896 81.590 93.4999
3.126388 81.642 92.9631
3.149043 81.693 92.4288
3.171862 81.743 91.8979
3.194847 81.792 91.3713
3.217998 81.840 90.8496
3.241317 81.888 90.3335
3.264805 81.934 89.8229
3.288463 81.980 89.3178
3.312293 82.025 88.8175
3.336295 82.069 88.3212
3.360471 82.112 87.8282
3.384822 82.153 87.3380
3.409350 82.194 86.8506
3.434056 82.233 86.3662
3.458940 82.272 85.8851
3.484005 82.309 85.4078
3.509252 82.346 84.9351
3.534681 82.383 84.4674
3.560295 82.418 84.0056
3.586094 82.453 83.5503
3.612081 82.488 83.1019
3.638255 82.522 82.6608
3.664620 82.556 82.2270
3.691175 82.589 81.8004
3.717923 82.622 81.3805
3.744864 82.654 80.9670
3.772001 82.685 80.5597
3.799335 82.716 80.1583
3.826866 82.746 79.7627
3.854597 82.776 79.3729
3.882529 82.806 78.9890
3.910664 82.836 78.6110
3.939002 82.865 78.2391
3.967546 82.895 77.8736
3.996296 82.925 77.5148
4.025255 82.955 77.1630
4.054423 82.985 76.8184
4.083804 83.015 76.4810
4.113396 83.046 76.1507
4.143204 83.077 75.8271
4.173227 83.107 75.5098
4.203468 83.138 75.1979
4.233928 83.169 74.8909
4.264609 83.201 74.5880
4.295512 83.233 74.2887
4.326639 83.266 73.9925
4.357992 83.299 73.6991
4.389572 83.333 73.4088
4.421380 83.368 73.1215
4.453419 83.403 72.8376
4.485691 83.439 72.5570
4.518196 83.475 72.2795
4.550936 83.512 72.0043
4.583914 83.550 71.7308
4.617131 83.588 71.4579
4.650589 83.627 71.1848
4.684289 83.666 70.9107
4.718233 83.706 70.6349
4.752424 83.746 70.3572
4.786862 83.787 70.0776
4.821549 83.828 69.7961
4.856488 83.870 69.5128
4.891680 83.913 69.2277
4.927127 83.955 68.9406
4.962831 83.998 68.6510
4.998794 84.041 68.3585
5.035017 84.085 68.0625
5.071503 84.128 67.7627
5.108253 84.171 67.4586
5.145270 84.214 67.1501
5.182555 84.257 66.8371
5.220110 84.299 66.5197
5.257937 84.342 66.1982
5.296038 84.384 65.8730
5.334415 84.426 65.5442
5.373071 84.467 65.2123
5.412006 84.508 64.8774
5.451224 84.549 64.5396
5.490725 84.588 64.1989
5.530514 84.627 63.8551
5.570590 84.665 63.5083
5.610957 84.702 63.1588
5.651616 84.739 62.8069
5.692570 84.774 62.4535
5.733821 84.809 62.0991
5.775370 84.843 61.7444
5.817221 84.877 61.3901
5.859375 84.909 61.0363
5.901834 84.940 60.6830
5.944602 84.971 60.3304
5.987679 85.000 59.9785
6.031068 85.029 59.6277
6.074771 85.057 59.2783
6.118792 85.085 58.9310
6.163131 85.111 58.5862
6.207792 85.137 58.2443
6.252776 85.163 57.9055
6.298086 85.188 57.5697
6.343725 85.212 57.2369
6.389694 85.236 56.9070
6.435996 85.260 56.5797
6.482634 85.283 56.2552
6.529610 85.306 55.9332
6.576926 85.329 55.6139
6.624585 85.351 55.2971
6.672590 85.374 54.9828
6.720942 85.396 54.6706
6.769645 85.418 54.3603
6.818700 85.440 54.0512
6.868111 85.462 53.7430
6.917881 85.483 53.4352
6.968010 85.505 53.1275
7.018504 85.527 52.8198
7.069362 85.548 52.5118
7.120590 85.569 52.2035
7.172189 85.590 51.8948
7.224161 85.610 51.5853
7.276511 85.630 51.2750
7.329239 85.649 50.9636
