* Measurement data measured by REW V5.30.4
* Source: EXCL: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), 0, volume: 0.360
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 19, 24 2:38:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary x Gizaudio Chopin R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.542 -138.1015
20.287556 91.544 -138.3300
20.434568 91.547 -138.6704
20.582645 91.547 -139.0965
20.731796 91.544 -139.5834
20.882027 91.537 -140.1092
21.033346 91.524 -140.6548
21.185762 91.508 -141.2035
21.339283 91.489 -141.7410
21.493916 91.469 -142.2562
21.649670 91.451 -142.7420
21.806553 91.438 -143.1967
21.964573 91.434 -143.6248
22.123737 91.441 -144.0367
22.284056 91.459 -144.4478
22.445536 91.491 -144.8764
22.608185 91.534 -145.3403
22.772013 91.586 -145.8540
22.937029 91.645 -146.4256
23.103241 91.705 -147.0546
23.270657 91.763 -147.7312
23.439285 91.816 -148.4366
23.609137 91.861 -149.1452
23.780218 91.898 -149.8270
23.952539 91.928 -150.4515
24.126110 91.952 -150.9919
24.300938 91.976 -151.4289
24.477032 92.003 -151.7540
24.654402 92.037 -151.9712
24.833057 92.081 -152.0973
25.013008 92.137 -152.1590
25.194263 92.205 -152.1883
25.376831 92.280 -152.2174
25.560722 92.358 -152.2725
25.745945 92.434 -152.3707
25.932510 92.502 -152.5176
26.120428 92.557 -152.7084
26.309708 92.596 -152.9305
26.500359 92.617 -153.1670
26.692390 92.621 -153.4018
26.885815 92.610 -153.6225
27.080641 92.590 -153.8246
27.276878 92.564 -154.0123
27.474539 92.537 -154.1983
27.673630 92.514 -154.4019
27.874165 92.497 -154.6445
28.076153 92.486 -154.9452
28.279604 92.483 -155.3168
28.484529 92.485 -155.7625
28.690941 92.490 -156.2753
28.898848 92.494 -156.8389
29.108261 92.497 -157.4303
29.319191 92.497 -158.0239
29.531651 92.493 -158.5946
29.745649 92.485 -159.1220
29.961199 92.475 -159.5926
30.178310 92.463 -160.0018
30.396996 92.452 -160.3540
30.617264 92.442 -160.6614
30.839128 92.435 -160.9422
31.062601 92.430 -161.2167
31.287693 92.428 -161.5042
31.514416 92.428 -161.8194
31.742783 92.429 -162.1697
31.972803 92.429 -162.5543
32.204491 92.429 -162.9644
32.437859 92.428 -163.3857
32.672916 92.426 -163.8015
32.909679 92.427 -164.1970
33.148155 92.430 -164.5625
33.388359 92.439 -164.8960
33.630306 92.454 -165.2034
33.874004 92.474 -165.4967
34.119469 92.499 -165.7909
34.366711 92.527 -166.0993
34.615746 92.554 -166.4309
34.866585 92.578 -166.7883
35.119244 92.597 -167.1680
35.373734 92.612 -167.5622
35.630066 92.622 -167.9624
35.888256 92.629 -168.3619
36.148315 92.637 -168.7581
36.410259 92.646 -169.1530
36.674103 92.657 -169.5519
36.939857 92.671 -169.9611
37.207539 92.685 -170.3847
37.477161 92.698 -170.8228
37.748737 92.708 -171.2701
38.022282 92.713 -171.7166
38.297806 92.711 -172.1506
38.575329 92.704 -172.5618
38.854862 92.693 -172.9453
39.136421 92.681 -173.3037
39.420021 92.670 -173.6483
39.705673 92.663 -173.9961
39.993397 92.659 -174.3654
40.283207 92.657 -174.7700
40.575115 92.655 -175.2143
40.869141 92.650 -175.6916
41.165295 92.642 -176.1851
41.463596 92.631 -176.6740
41.764057 92.616 -177.1389
42.066696 92.602 -177.5688
42.371529 92.590 -177.9635
42.678570 92.583 -178.3334
42.987835 92.580 -178.6945
43.299343 92.580 -179.0623
43.613110 92.580 -179.4466
43.929150 92.578 -179.8485
44.247478 92.572 179.7380
44.568115 92.561 179.3228
44.891075 92.546 178.9149
45.216373 92.528 178.5189
45.544029 92.509 178.1339
45.874062 92.491 177.7542
46.206486 92.474 177.3732
46.541317 92.458 176.9855
46.878574 92.442 176.5903
47.218277 92.426 176.1908
47.560440 92.409 175.7932
47.905083 92.392 175.4040
48.252224 92.374 175.0273
48.601879 92.358 174.6638
48.954067 92.342 174.3112
49.308807 92.326 173.9659
49.666119 92.310 173.6246
50.026020 92.293 173.2845
50.388531 92.275 172.9433
50.753666 92.256 172.5979
51.121449 92.235 172.2442
51.491894 92.213 171.8782
51.865025 92.190 171.4972
52.240860 92.167 171.1010
52.619419 92.145 170.6924
53.000721 92.125 170.2761
53.384785 92.106 169.8577
53.771633 92.090 169.4429
54.161285 92.075 169.0375
54.553761 92.060 168.6467
54.949081 92.045 168.2746
55.347263 92.028 167.9225
55.748333 92.008 167.5872
56.152309 91.987 167.2614
56.559212 91.963 166.9347
56.969063 91.938 166.5978
57.381886 91.911 166.2461
57.797699 91.883 165.8813
58.216526 91.854 165.5114
58.638386 91.825 165.1459
59.063305 91.796 164.7922
59.491302 91.768 164.4517
59.922401 91.742 164.1199
60.356625 91.715 163.7898
60.793995 91.689 163.4556
61.234531 91.661 163.1149
61.678261 91.632 162.7688
62.125206 91.602 162.4196
62.575390 91.573 162.0698
63.028835 91.543 161.7227
63.485569 91.513 161.3821
63.945610 91.483 161.0511
64.408989 91.452 160.7300
64.875725 91.422 160.4156
65.345840 91.391 160.1029
65.819366 91.360 159.7886
66.296318 91.329 159.4719
66.776726 91.298 159.1536
67.260620 91.266 158.8334
67.748016 91.234 158.5095
68.238945 91.201 158.1809
68.733429 91.168 157.8494
69.231499 91.133 157.5190
69.733177 91.097 157.1946
70.238495 91.061 156.8790
70.747475 91.024 156.5728
71.260139 90.987 156.2742
71.776520 90.950 155.9796
72.296638 90.913 155.6843
72.820526 90.877 155.3845
73.348213 90.840 155.0795
73.879723 90.803 154.7712
74.415085 90.765 154.4620
74.954330 90.727 154.1538
75.497482 90.686 153.8478
76.044571 90.645 153.5459
76.595619 90.602 153.2498
77.150665 90.559 152.9599
77.709732 90.516 152.6746
78.272850 90.474 152.3918
78.840050 90.432 152.1105
79.411354 90.390 151.8303
79.986801 90.347 151.5512
80.566422 90.305 151.2733
81.150238 90.261 150.9974
81.738289 90.218 150.7251
82.330597 90.173 150.4580
82.927200 90.129 150.1966
83.528122 90.084 149.9389
84.133400 90.039 149.6818
84.743065 89.994 149.4222
85.357147 89.949 149.1594
85.975677 89.902 148.8952
86.598694 89.855 148.6324
87.226227 89.808 148.3728
87.858307 89.760 148.1172
88.494965 89.713 147.8668
89.136238 89.665 147.6229
89.782158 89.616 147.3860
90.432755 89.567 147.1555
91.088066 89.517 146.9294
91.748131 89.466 146.7053
92.412979 89.413 146.4811
93.082642 89.360 146.2563
93.757156 89.307 146.0317
94.436562 89.254 145.8080
95.120888 89.201 145.5850
95.810173 89.149 145.3623
96.504456 89.097 145.1413
97.203766 89.044 144.9250
97.908142 88.991 144.7156
98.617622 88.937 144.5125
99.332245 88.882 144.3147
100.052048 88.827 144.1218
100.777069 88.773 143.9335
101.507339 88.718 143.7491
102.242905 88.664 143.5688
102.983795 88.610 143.3947
103.730057 88.555 143.2283
104.481728 88.499 143.0692
105.238846 88.443 142.9158
106.001450 88.385 142.7653
106.769577 88.325 142.6132
107.543274 88.266 142.4550
108.322578 88.205 142.2905
109.107529 88.144 142.1250
109.898170 88.084 141.9647
110.694534 88.023 141.8139
111.496674 87.961 141.6755
112.304626 87.899 141.5521
113.118431 87.837 141.4428
113.938133 87.775 141.3412
114.763779 87.713 141.2396
115.595406 87.652 141.1315
116.433060 87.590 141.0131
117.276779 87.528 140.8834
118.126617 87.464 140.7465
118.982613 87.400 140.6143
119.844810 87.334 140.5031
120.713257 87.268 140.4221
121.587997 87.203 140.3649
122.469070 87.140 140.3121
123.356529 87.079 140.2435
124.250420 87.020 140.1506
125.150787 86.961 140.0400
126.057678 86.902 139.9254
126.971146 86.841 139.8184
127.891228 86.778 139.7249
128.817978 86.714 139.6464
129.751450 86.650 139.5835
130.691681 86.585 139.5342
131.638733 86.519 139.4943
132.592636 86.452 139.4590
133.553452 86.384 139.4268
134.521240 86.314 139.3981
135.496033 86.244 139.3729
136.477890 86.173 139.3508
137.466858 86.102 139.3326
138.462997 86.030 139.3205
139.466354 85.958 139.3165
140.476990 85.886 139.3218
141.494949 85.813 139.3369
142.520279 85.740 139.3610
143.553040 85.667 139.3920
144.593277 85.593 139.4276
145.641052 85.519 139.4668
146.696426 85.444 139.5120
147.759445 85.368 139.5678
148.830170 85.291 139.6389
149.908661 85.212 139.7287
150.994965 85.132 139.8387
152.089142 85.050 139.9699
153.191238 84.966 140.1237
154.301331 84.880 140.3026
155.419464 84.794 140.5093
156.545700 84.707 140.7472
157.680099 84.620 141.0214
158.822708 84.533 141.3378
159.973602 84.447 141.7018
161.132843 84.363 142.1169
162.300476 84.284 142.5860
163.476578 84.214 143.1104
164.661194 84.159 143.6851
165.854401 84.120 144.2923
167.056244 84.101 144.9015
168.266800 84.100 145.4774
169.486130 84.115 145.9904
170.714294 84.143 146.4178
171.951355 84.179 146.7405
173.197388 84.216 146.9445
174.452454 84.250 147.0277
175.716614 84.275 147.0010
176.989929 84.288 146.8840
178.272476 84.288 146.7032
179.564316 84.275 146.4908
180.865509 84.250 146.2801
182.176132 84.217 146.0990
183.496262 84.176 145.9632
184.825958 84.128 145.8755
186.165283 84.077 145.8310
187.514313 84.022 145.8232
188.873123 83.967 145.8475
190.241776 83.911 145.9012
191.620346 83.855 145.9807
193.008911 83.799 146.0818
194.407532 83.743 146.2007
195.816284 83.688 146.3355
197.235245 83.634 146.4846
198.664490 83.581 146.6462
200.104095 83.529 146.8177
201.554138 83.478 146.9962
203.014679 83.427 147.1798
204.485809 83.378 147.3672
205.967590 83.331 147.5568
207.460114 83.285 147.7478
208.963455 83.240 147.9413
210.477692 83.197 148.1385
212.002899 83.154 148.3405
213.539154 83.112 148.5494
215.086548 83.073 148.7672
216.645157 83.034 148.9946
218.215057 82.997 149.2318
219.796341 82.959 149.4784
221.389069 82.922 149.7338
222.993347 82.886 149.9962
224.609253 82.850 150.2639
226.236862 82.815 150.5346
227.876266 82.781 150.8066
229.527557 82.748 151.0786
231.190811 82.716 151.3491
232.866119 82.685 151.6150
234.553558 82.655 151.8737
236.253235 82.627 152.1248
237.965225 82.600 152.3708
239.689621 82.575 152.6160
241.426514 82.552 152.8644
243.175995 82.529 153.1180
244.938141 82.506 153.3764
246.713058 82.483 153.6382
248.500839 82.461 153.9011
250.301575 82.439 154.1631
252.115356 82.417 154.4237
253.942291 82.397 154.6844
255.782455 82.378 154.9471
257.635956 82.361 155.2119
259.502899 82.343 155.4779
261.383362 82.327 155.7433
263.277466 82.310 156.0066
265.185272 82.293 156.2662
267.106903 82.277 156.5212
269.042480 82.261 156.7711
270.992065 82.246 157.0164
272.955780 82.233 157.2581
274.933716 82.221 157.4978
276.925995 82.210 157.7367
278.932709 82.201 157.9752
280.953979 82.192 158.2128
282.989899 82.183 158.4492
285.040558 82.175 158.6846
287.106079 82.167 158.9192
289.186554 82.160 159.1529
291.282104 82.153 159.3846
293.392853 82.147 159.6136
295.518890 82.141 159.8395
297.660339 82.136 160.0625
299.817322 82.132 160.2825
301.989929 82.129 160.4995
304.178284 82.127 160.7139
306.382477 82.125 160.9261
308.602661 82.123 161.1363
310.838928 82.121 161.3440
313.091400 82.121 161.5488
315.360199 82.120 161.7507
317.645416 82.121 161.9499
319.947205 82.121 162.1465
322.265686 82.122 162.3402
324.600952 82.123 162.5306
326.953156 82.124 162.7180
329.322388 82.125 162.9019
331.708801 82.127 163.0812
334.112488 82.128 163.2561
336.533600 82.130 163.4270
338.972260 82.132 163.5944
341.428589 82.135 163.7594
343.902710 82.137 163.9235
346.394775 82.139 164.0864
348.904907 82.141 164.2478
351.433228 82.143 164.4074
353.979858 82.145 164.5649
356.544952 82.147 164.7195
359.128632 82.150 164.8710
361.731018 82.152 165.0204
364.352264 82.155 165.1689
366.992523 82.158 165.3167
369.651917 82.161 165.4631
372.330566 82.164 165.6074
375.028625 82.167 165.7502
377.746246 82.170 165.8939
380.483551 82.173 166.0407
383.240692 82.177 166.1905
