* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 10 21, 25 11:11:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA Phoenix Deep R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 13.993 -38.9717
0.368865 14.021 -39.0661
0.371538 14.063 -39.2054
0.374230 14.114 -39.3764
0.376942 14.172 -39.5678
0.379673 14.234 -39.7715
0.382424 14.299 -39.9819
0.385196 14.365 -40.1959
0.387987 14.432 -40.4115
0.390798 14.500 -40.6276
0.393630 14.569 -40.8436
0.396483 14.639 -41.0591
0.399356 14.708 -41.2741
0.402250 14.779 -41.4883
0.405165 14.850 -41.7019
0.408101 14.921 -41.9146
0.411058 14.993 -42.1266
0.414037 15.066 -42.3378
0.417037 15.139 -42.5481
0.420059 15.212 -42.7578
0.423103 15.287 -42.9666
0.426169 15.361 -43.1747
0.429257 15.436 -43.3821
0.432368 15.512 -43.5888
0.435501 15.588 -43.7948
0.438656 15.665 -44.0002
0.441835 15.743 -44.2051
0.445037 15.821 -44.4094
0.448262 15.899 -44.6132
0.451510 15.978 -44.8166
0.454782 16.058 -45.0197
0.458077 16.138 -45.2225
0.461397 16.219 -45.4251
0.464740 16.301 -45.6275
0.468108 16.383 -45.8298
0.471500 16.465 -46.0322
0.474917 16.548 -46.2347
0.478358 16.632 -46.4374
0.481825 16.717 -46.6404
0.485316 16.802 -46.8438
0.488833 16.887 -47.0477
0.492375 16.973 -47.2523
0.495943 17.060 -47.4575
0.499537 17.148 -47.6635
0.503157 17.236 -47.8705
0.506803 17.325 -48.0786
0.510475 17.414 -48.2879
0.514175 17.504 -48.4985
0.517900 17.595 -48.7106
0.521653 17.687 -48.9242
0.525434 17.779 -49.1396
0.529241 17.871 -49.3569
0.533076 17.965 -49.5762
0.536939 18.059 -49.7976
0.540830 18.154 -50.0214
0.544749 18.249 -50.2477
0.548696 18.345 -50.4766
0.552673 18.442 -50.7083
0.556677 18.540 -50.9430
0.560711 18.638 -51.1809
0.564774 18.737 -51.4220
0.568867 18.837 -51.6667
0.572989 18.937 -51.9151
0.577141 19.038 -52.1674
0.581324 19.140 -52.4237
0.585536 19.243 -52.6844
0.589779 19.346 -52.9495
0.594053 19.450 -53.2193
0.598358 19.555 -53.4941
0.602694 19.661 -53.7739
0.607061 19.767 -54.0592
0.611460 19.874 -54.3500
0.615891 19.982 -54.6467
0.620354 20.091 -54.9495
0.624849 20.200 -55.2586
0.629377 20.311 -55.5744
0.633938 20.422 -55.8969
0.638532 20.534 -56.2267
0.643159 20.646 -56.5639
0.647819 20.760 -56.9088
0.652514 20.874 -57.2617
0.657242 20.989 -57.6230
0.662005 21.106 -57.9930
0.666802 21.222 -58.3720
0.671634 21.340 -58.7603
0.676501 21.459 -59.1582
0.681403 21.578 -59.5662
0.686341 21.698 -59.9847
0.691314 21.819 -60.4138
0.696324 21.941 -60.8541
0.701370 22.063 -61.3058
0.706452 22.186 -61.7692
0.711571 22.309 -62.2444
0.716728 22.432 -62.7312
0.721921 22.553 -63.2294
0.727153 22.672 -63.7379
0.732422 22.789 -64.2555
0.737729 22.903 -64.7804
0.743075 23.013 -65.3106
0.748460 23.121 -65.8445
0.753883 23.227 -66.3808
0.759346 23.333 -66.9185
0.764849 23.437 -67.4569
0.770391 23.540 -67.9956
0.775974 23.643 -68.5343
0.781597 23.746 -69.0729
0.787261 23.848 -69.6111
0.792966 23.949 -70.1491
0.798712 24.051 -70.6866
0.804500 24.152 -71.2239
0.810329 24.252 -71.7609
0.816201 24.352 -72.2978
0.822116 24.452 -72.8347
0.828073 24.552 -73.3716
0.834074 24.652 -73.9089
0.840118 24.751 -74.4468
0.846206 24.850 -74.9854
0.852338 24.949 -75.5251
0.858514 25.047 -76.0662
0.864735 25.146 -76.6089
0.871001 25.244 -77.1536
0.877313 25.342 -77.7008
0.883670 25.441 -78.2507
0.890074 25.539 -78.8039
0.896524 25.637 -79.3607
0.903020 25.735 -79.9217
0.909564 25.833 -80.4873
0.916155 25.932 -81.0580
0.922794 26.030 -81.6344
0.929481 26.129 -82.2171
0.936216 26.228 -82.8066
0.943000 26.327 -83.4035
0.949834 26.427 -84.0086
0.956717 26.527 -84.6224
0.963649 26.627 -85.2456
0.970632 26.728 -85.8790
0.977666 26.829 -86.5233
0.984750 26.931 -87.1792
0.991886 27.033 -87.8476
0.999074 27.137 -88.5293
1.006314 27.241 -89.2251
1.013606 27.346 -89.9360
1.020951 27.452 -90.6628
1.028349 27.558 -91.4064
1.035801 27.666 -92.1679
1.043307 27.775 -92.9482
1.050867 27.886 -93.7482
1.058482 27.997 -94.5688
1.066152 28.110 -95.4107
1.073878 28.224 -96.2744
1.081660 28.340 -97.1599
1.089498 28.457 -98.0667
1.097393 28.574 -98.9935
1.105345 28.693 -99.9381
1.113355 28.813 -100.8980
1.121423 28.933 -101.8708
1.129549 29.054 -102.8542
1.137734 29.175 -103.8463
1.145979 29.296 -104.8457
1.154283 29.418 -105.8512
1.162647 29.540 -106.8619
1.171072 29.663 -107.8769
1.179558 29.786 -108.8958
1.188106 29.909 -109.9179
1.196715 30.033 -110.9430
1.205387 30.158 -111.9706
1.214122 30.283 -113.0007
1.222920 30.409 -114.0331
1.231782 30.535 -115.0678
1.240708 30.662 -116.1049
1.249699 30.790 -117.1445
1.258754 30.919 -118.1869
1.267876 31.049 -119.2323
1.277063 31.179 -120.2812
1.286318 31.311 -121.3340
1.295639 31.443 -122.3911
1.305027 31.577 -123.4532
1.314484 31.711 -124.5209
1.324009 31.847 -125.5948
1.333604 31.985 -126.6756
1.343268 32.123 -127.7642
1.353002 32.263 -128.8613
1.362806 32.405 -129.9677
1.372681 32.548 -131.0843
1.382628 32.693 -132.2119
1.392647 32.839 -133.3514
1.402739 32.987 -134.5035
1.412904 33.138 -135.6687
1.423142 33.290 -136.8475
1.433455 33.444 -138.0395
1.443843 33.600 -139.2440
1.454305 33.759 -140.4589
1.464844 33.920 -141.6814
1.475459 34.083 -142.9074
1.486150 34.248 -144.1328
1.496920 34.415 -145.3542
1.507767 34.585 -146.5687
1.518693 34.757 -147.7747
1.529698 34.931 -148.9712
1.540783 35.107 -150.1579
1.551948 35.285 -151.3349
1.563194 35.465 -152.5027
1.574521 35.647 -153.6620
1.585931 35.830 -154.8137
1.597423 36.016 -155.9587
1.608999 36.204 -157.0982
1.620658 36.393 -158.2334
1.632402 36.584 -159.3656
1.644232 36.776 -160.4961
1.656146 36.970 -161.6263
1.668147 37.166 -162.7577
1.680235 37.363 -163.8916
1.692411 37.561 -165.0294
1.704675 37.760 -166.1727
1.717028 37.961 -167.3228
1.729470 38.162 -168.4811
1.742003 38.365 -169.6488
1.754626 38.569 -170.8270
1.767341 38.773 -172.0167
1.780147 38.978 -173.2183
1.793047 39.184 -174.4316
1.806040 39.391 -175.6556
1.819128 39.599 -176.8881
1.832310 39.807 -178.1256
1.845587 40.017 -179.3638
1.858961 40.228 179.4019
1.872432 40.440 178.1752
1.886001 40.654 176.9587
1.899667 40.870 175.7541
1.913433 41.087 174.5623
1.927299 41.305 173.3832
1.941265 41.524 172.2166
1.955332 41.745 171.0618
1.969501 41.967 169.9180
1.983773 42.190 168.7839
1.998148 42.414 167.6583
2.012627 42.639 166.5400
2.027212 42.865 165.4276
2.041902 43.091 164.3196
2.056698 43.318 163.2144
2.071602 43.545 162.1107
2.086614 43.773 161.0070
2.101734 44.000 159.9018
2.116964 44.228 158.7939
2.132304 44.456 157.6824
2.147756 44.684 156.5667
2.163320 44.912 155.4467
2.178996 45.139 154.3235
2.194786 45.366 153.1989
2.210690 45.594 152.0757
2.226710 45.821 150.9568
2.242845 46.048 149.8449
2.259098 46.275 148.7418
2.275468 46.502 147.6485
2.291957 46.729 146.5653
2.308566 46.957 145.4921
2.325295 47.184 144.4283
2.342145 47.411 143.3730
2.359117 47.639 142.3252
2.376212 47.866 141.2836
2.393431 48.093 140.2471
2.410775 48.320 139.2143
2.428244 48.547 138.1839
2.445840 48.774 137.1544
2.463564 49.000 136.1246
2.481416 49.226 135.0934
2.499397 49.452 134.0596
2.517509 49.677 133.0229
2.535752 49.902 131.9831
2.554127 50.127 130.9409
2.572635 50.351 129.8978
2.591277 50.574 128.8556
2.610055 50.797 127.8161
2.628968 51.019 126.7809
2.648019 51.241 125.7509
2.667208 51.462 124.7266
2.686535 51.682 123.7080
2.706003 51.902 122.6949
2.725612 52.121 121.6868
2.745363 52.339 120.6830
2.765257 52.557 119.6826
2.785295 52.775 118.6848
2.805478 52.991 117.6886
2.825808 53.208 116.6931
2.846285 53.423 115.6971
2.866910 53.639 114.7001
2.887685 53.853 113.7014
2.908611 54.067 112.7007
2.929688 54.280 111.6985
2.950917 54.493 110.6954
2.972301 54.705 109.6926
2.993839 54.915 108.6910
3.015534 55.125 107.6915
3.037386 55.334 106.6948
3.059396 55.542 105.7011
3.081565 55.749 104.7106
3.103896 55.955 103.7231
3.126388 56.160 102.7385
3.149043 56.365 101.7563
3.171862 56.569 100.7759
3.194847 56.772 99.7968
3.217998 56.974 98.8182
3.241317 57.175 97.8396
3.264805 57.376 96.8605
3.288463 57.576 95.8806
3.312293 57.776 94.9000
3.336295 57.974 93.9188
3.360471 58.171 92.9377
3.384822 58.367 91.9573
3.409350 58.562 90.9780
3.434056 58.756 90.0005
3.458940 58.949 89.0249
3.484005 59.141 88.0515
3.509252 59.332 87.0804
3.534681 59.522 86.1115
3.560295 59.712 85.1445
3.586094 59.900 84.1791
3.612081 60.088 83.2148
3.638255 60.275 82.2513
3.664620 60.461 81.2881
3.691175 60.646 80.3250
3.717923 60.830 79.3620
3.744864 61.013 78.3993
3.772001 61.195 77.4373
3.799335 61.376 76.4765
3.826866 61.556 75.5172
3.854597 61.734 74.5599
3.882529 61.912 73.6047
3.910664 62.089 72.6518
3.939002 62.266 71.7011
3.967546 62.441 70.7525
3.996296 62.616 69.8056
4.025255 62.789 68.8600
4.054423 62.962 67.9155
4.083804 63.134 66.9717
4.113396 63.305 66.0286
4.143204 63.475 65.0864
4.173227 63.644 64.1454
4.203468 63.812 63.2059
4.233928 63.979 62.2682
4.264609 64.146 61.3327
4.295512 64.311 60.3993
4.326639 64.476 59.4680
4.357992 64.640 58.5388
4.389572 64.803 57.6111
4.421380 64.966 56.6849
4.453419 65.128 55.7597
4.485691 65.289 54.8354
4.518196 65.448 53.9122
4.550936 65.608 52.9901
4.583914 65.766 52.0694
4.617131 65.924 51.1502
4.650589 66.080 50.2326
4.684289 66.237 49.3166
4.718233 66.392 48.4021
4.752424 66.547 47.4888
4.786862 66.701 46.5765
4.821549 66.855 45.6650
4.856488 67.007 44.7541
4.891680 67.159 43.8438
4.927127 67.311 42.9341
4.962831 67.461 42.0253
4.998794 67.611 41.1172
5.035017 67.760 40.2100
5.071503 67.908 39.3034
5.108253 68.056 38.3973
5.145270 68.203 37.4914
5.182555 68.350 36.5855
5.220110 68.496 35.6794
5.257937 68.640 34.7732
5.296038 68.785 33.8669
5.334415 68.928 32.9608
5.373071 69.071 32.0548
5.412006 69.213 31.1489
5.451224 69.354 30.2430
5.490725 69.494 29.3368
5.530514 69.634 28.4300
5.570590 69.773 27.5224
5.610957 69.911 26.6141
5.651616 70.048 25.7053
5.692570 70.184 24.7962
5.733821 70.320 23.8871
5.775370 70.454 22.9779
5.817221 70.588 22.0688
5.859375 70.721 21.1595
5.901834 70.852 20.2496
5.944602 70.983 19.3392
5.987679 71.113 18.4282
6.031068 71.242 17.5170
6.074771 71.369 16.6060
6.118792 71.496 15.6956
6.163131 71.622 14.7860
6.207792 71.746 13.8773
6.252776 71.870 12.9691
6.298086 71.992 12.0614
6.343725 72.114 11.1542
6.389694 72.234 10.2476
6.435996 72.353 9.3422
6.482634 72.471 8.4385
6.529610 72.589 7.5369
6.576926 72.705 6.6375
6.624585 72.820 5.7401
