* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 10 21, 25 11:07:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA Phoenix L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 27.392 -31.6717
0.368865 27.399 -31.7279
0.371538 27.411 -31.8116
0.374230 27.424 -31.9158
0.376942 27.440 -32.0346
0.379673 27.457 -32.1636
0.382424 27.474 -32.2998
0.385196 27.492 -32.4416
0.387987 27.511 -32.5878
0.390798 27.529 -32.7380
0.393630 27.548 -32.8917
0.396483 27.566 -33.0490
0.399356 27.585 -33.2096
0.402250 27.605 -33.3736
0.405165 27.624 -33.5409
0.408101 27.643 -33.7116
0.411058 27.663 -33.8857
0.414037 27.682 -34.0632
0.417037 27.702 -34.2440
0.420059 27.722 -34.4282
0.423103 27.742 -34.6159
0.426169 27.762 -34.8069
0.429257 27.783 -35.0014
0.432368 27.803 -35.1993
0.435501 27.824 -35.4007
0.438656 27.845 -35.6054
0.441835 27.866 -35.8137
0.445037 27.887 -36.0253
0.448262 27.908 -36.2405
0.451510 27.930 -36.4590
0.454782 27.951 -36.6810
0.458077 27.973 -36.9065
0.461397 27.995 -37.1355
0.464740 28.017 -37.3679
0.468108 28.039 -37.6037
0.471500 28.062 -37.8430
0.474917 28.084 -38.0858
0.478358 28.107 -38.3320
0.481825 28.130 -38.5817
0.485316 28.153 -38.8348
0.488833 28.176 -39.0914
0.492375 28.200 -39.3514
0.495943 28.223 -39.6149
0.499537 28.247 -39.8818
0.503157 28.271 -40.1521
0.506803 28.295 -40.4259
0.510475 28.319 -40.7031
0.514175 28.344 -40.9838
0.517900 28.368 -41.2679
0.521653 28.393 -41.5555
0.525434 28.418 -41.8464
0.529241 28.443 -42.1409
0.533076 28.469 -42.4387
0.536939 28.494 -42.7400
0.540830 28.520 -43.0448
0.544749 28.546 -43.3531
0.548696 28.572 -43.6648
0.552673 28.598 -43.9799
0.556677 28.624 -44.2986
0.560711 28.651 -44.6208
0.564774 28.678 -44.9465
0.568867 28.705 -45.2757
0.572989 28.732 -45.6085
0.577141 28.760 -45.9449
0.581324 28.787 -46.2849
0.585536 28.815 -46.6285
0.589779 28.843 -46.9757
0.594053 28.871 -47.3267
0.598358 28.900 -47.6814
0.602694 28.928 -48.0399
0.607061 28.957 -48.4021
0.611460 28.986 -48.7683
0.615891 29.016 -49.1383
0.620354 29.045 -49.5124
0.624849 29.075 -49.8904
0.629377 29.105 -50.2726
0.633938 29.135 -50.6589
0.638532 29.165 -51.0495
0.643159 29.196 -51.4444
0.647819 29.226 -51.8437
0.652514 29.257 -52.2475
0.657242 29.289 -52.6560
0.662005 29.320 -53.0691
0.666802 29.352 -53.4871
0.671634 29.384 -53.9100
0.676501 29.416 -54.3380
0.681403 29.448 -54.7713
0.686341 29.481 -55.2099
0.691314 29.514 -55.6540
0.696324 29.547 -56.1037
0.701370 29.580 -56.5594
0.706452 29.614 -57.0211
0.711571 29.648 -57.4890
0.716728 29.682 -57.9633
0.721921 29.717 -58.4443
0.727153 29.753 -58.9321
0.732422 29.788 -59.4268
0.737729 29.825 -59.9285
0.743075 29.862 -60.4372
0.748460 29.900 -60.9529
0.753883 29.939 -61.4753
0.759346 29.977 -62.0043
0.764849 30.016 -62.5398
0.770391 30.056 -63.0814
0.775974 30.096 -63.6292
0.781597 30.136 -64.1827
0.787261 30.176 -64.7419
0.792966 30.217 -65.3066
0.798712 30.258 -65.8765
0.804500 30.300 -66.4515
0.810329 30.342 -67.0315
0.816201 30.384 -67.6163
0.822116 30.427 -68.2057
0.828073 30.470 -68.7996
0.834074 30.513 -69.3979
0.840118 30.557 -70.0005
0.846206 30.601 -70.6073
0.852338 30.646 -71.2181
0.858514 30.691 -71.8330
0.864735 30.737 -72.4519
0.871001 30.783 -73.0746
0.877313 30.829 -73.7013
0.883670 30.876 -74.3320
0.890074 30.923 -74.9665
0.896524 30.971 -75.6051
0.903020 31.020 -76.2477
0.909564 31.068 -76.8943
0.916155 31.118 -77.5452
0.922794 31.168 -78.2004
0.929481 31.218 -78.8601
0.936216 31.269 -79.5244
0.943000 31.321 -80.1935
0.949834 31.373 -80.8677
0.956717 31.426 -81.5471
0.963649 31.479 -82.2320
0.970632 31.533 -82.9228
0.977666 31.588 -83.6196
0.984750 31.643 -84.3230
0.991886 31.699 -85.0331
0.999074 31.755 -85.7506
1.006314 31.813 -86.4756
1.013606 31.871 -87.2088
1.020951 31.929 -87.9506
1.028349 31.989 -88.7015
1.035801 32.049 -89.4620
1.043307 32.110 -90.2329
1.050867 32.172 -91.0145
1.058482 32.235 -91.8077
1.066152 32.298 -92.6129
1.073878 32.363 -93.4309
1.081660 32.428 -94.2620
1.089498 32.494 -95.1067
1.097393 32.561 -95.9650
1.105345 32.628 -96.8369
1.113355 32.697 -97.7220
1.121423 32.766 -98.6197
1.129549 32.836 -99.5293
1.137734 32.906 -100.4503
1.145979 32.978 -101.3820
1.154283 33.050 -102.3238
1.162647 33.123 -103.2751
1.171072 33.197 -104.2354
1.179558 33.272 -105.2043
1.188106 33.347 -106.1812
1.196715 33.424 -107.1657
1.205387 33.501 -108.1574
1.214122 33.579 -109.1559
1.222920 33.658 -110.1610
1.231782 33.738 -111.1723
1.240708 33.820 -112.1897
1.249699 33.902 -113.2127
1.258754 33.985 -114.2414
1.267876 34.069 -115.2756
1.277063 34.155 -116.3152
1.286318 34.241 -117.3602
1.295639 34.329 -118.4105
1.305027 34.418 -119.4663
1.314484 34.508 -120.5277
1.324009 34.600 -121.5947
1.333604 34.693 -122.6677
1.343268 34.787 -123.7467
1.353002 34.883 -124.8322
1.362806 34.980 -125.9243
1.372681 35.078 -127.0236
1.382628 35.178 -128.1302
1.392647 35.280 -129.2448
1.402739 35.383 -130.3677
1.412904 35.488 -131.4992
1.423142 35.594 -132.6397
1.433455 35.702 -133.7894
1.443843 35.813 -134.9481
1.454305 35.925 -136.1153
1.464844 36.038 -137.2900
1.475459 36.154 -138.4705
1.486150 36.272 -139.6553
1.496920 36.393 -140.8424
1.507767 36.515 -142.0304
1.518693 36.639 -143.2180
1.529698 36.766 -144.4045
1.540783 36.895 -145.5890
1.551948 37.026 -146.7712
1.563194 37.158 -147.9509
1.574521 37.293 -149.1280
1.585931 37.430 -150.3025
1.597423 37.569 -151.4745
1.608999 37.710 -152.6445
1.620658 37.852 -153.8127
1.632402 37.997 -154.9797
1.644232 38.143 -156.1460
1.656146 38.291 -157.3123
1.668147 38.440 -158.4792
1.680235 38.591 -159.6476
1.692411 38.744 -160.8183
1.704675 38.898 -161.9922
1.717028 39.053 -163.1702
1.729470 39.210 -164.3532
1.742003 39.368 -165.5422
1.754626 39.528 -166.7380
1.767341 39.688 -167.9416
1.780147 39.849 -169.1534
1.793047 40.012 -170.3739
1.806040 40.176 -171.6028
1.819128 40.341 -172.8392
1.832310 40.507 -174.0815
1.845587 40.675 -175.3274
1.858961 40.844 -176.5742
1.872432 41.016 -177.8194
1.886001 41.189 -179.0610
1.899667 41.365 179.7026
1.913433 41.542 178.4726
1.927299 41.721 177.2496
1.941265 41.902 176.0342
1.955332 42.085 174.8264
1.969501 42.269 173.6263
1.983773 42.455 172.4336
1.998148 42.642 171.2480
2.012627 42.830 170.0690
2.027212 43.020 168.8961
2.041902 43.210 167.7283
2.056698 43.402 166.5651
2.071602 43.594 165.4056
2.086614 43.787 164.2488
2.101734 43.981 163.0938
2.116964 44.175 161.9397
2.132304 44.369 160.7857
2.147756 44.564 159.6313
2.163320 44.759 158.4761
2.178996 44.953 157.3204
2.194786 45.149 156.1652
2.210690 45.344 155.0118
2.226710 45.540 153.8620
2.242845 45.737 152.7175
2.259098 45.934 151.5796
2.275468 46.131 150.4492
2.291957 46.330 149.3267
2.308566 46.529 148.2125
2.325295 46.728 147.1062
2.342145 46.928 146.0078
2.359117 47.129 144.9165
2.376212 47.330 143.8319
2.393431 47.531 142.7532
2.410775 47.733 141.6797
2.428244 47.935 140.6104
2.445840 48.137 139.5444
2.463564 48.339 138.4809
2.481416 48.541 137.4189
2.499397 48.742 136.3577
2.517509 48.944 135.2968
2.535752 49.146 134.2358
2.554127 49.348 133.1752
2.572635 49.549 132.1157
2.591277 49.750 131.0583
2.610055 49.951 130.0044
2.628968 50.152 128.9548
2.648019 50.352 127.9103
2.667208 50.553 126.8713
2.686535 50.753 125.8379
2.706003 50.953 124.8099
2.725612 51.153 123.7871
2.745363 51.353 122.7691
2.765257 51.552 121.7552
2.785295 51.752 120.7450
2.805478 51.951 119.7376
2.825808 52.150 118.7324
2.846285 52.348 117.7287
2.866910 52.547 116.7258
2.887685 52.745 115.7234
2.908611 52.943 114.7211
2.929688 53.140 113.7192
2.950917 53.337 112.7182
2.972301 53.534 111.7188
2.993839 53.730 110.7218
3.015534 53.925 109.7276
3.037386 54.120 108.7368
3.059396 54.315 107.7495
3.081565 54.509 106.7657
3.103896 54.702 105.7853
3.126388 54.895 104.8080
3.149043 55.088 103.8335
3.171862 55.280 102.8613
3.194847 55.471 101.8908
3.217998 55.663 100.9215
3.241317 55.854 99.9531
3.264805 56.044 98.9850
3.288463 56.234 98.0173
3.312293 56.424 97.0499
3.336295 56.612 96.0831
3.360471 56.801 95.1174
3.384822 56.988 94.1532
3.409350 57.175 93.1909
3.434056 57.361 92.2307
3.458940 57.547 91.2726
3.484005 57.732 90.3167
3.509252 57.916 89.3629
3.534681 58.100 88.4108
3.560295 58.283 87.4603
3.586094 58.466 86.5109
3.612081 58.648 85.5622
3.638255 58.830 84.6140
3.664620 59.011 83.6660
3.691175 59.191 82.7181
3.717923 59.371 81.7705
3.744864 59.550 80.8235
3.772001 59.728 79.8774
3.799335 59.905 78.9324
3.826866 60.082 77.9887
3.854597 60.258 77.0466
3.882529 60.434 76.1059
3.910664 60.608 75.1667
3.939002 60.782 74.2287
3.967546 60.956 73.2916
3.996296 61.129 72.3551
4.025255 61.301 71.4189
4.054423 61.472 70.4829
4.083804 61.643 69.5469
4.113396 61.813 68.6110
4.143204 61.982 67.6754
4.173227 62.151 66.7405
4.203468 62.318 65.8066
4.233928 62.485 64.8737
4.264609 62.651 63.9421
4.295512 62.817 63.0117
4.326639 62.982 62.0823
4.357992 63.146 61.1538
4.389572 63.309 60.2257
4.421380 63.472 59.2979
4.453419 63.633 58.3700
4.485691 63.794 57.4422
4.518196 63.955 56.5146
4.550936 64.114 55.5875
4.583914 64.272 54.6612
4.617131 64.430 53.7360
4.650589 64.587 52.8120
4.684289 64.743 51.8893
4.718233 64.899 50.9676
4.752424 65.053 50.0468
4.786862 65.207 49.1264
4.821549 65.360 48.2063
4.856488 65.513 47.2863
4.891680 65.664 46.3666
4.927127 65.815 45.4476
4.962831 65.964 44.5295
4.998794 66.113 43.6127
5.035017 66.261 42.6972
5.071503 66.409 41.7832
5.108253 66.555 40.8705
5.145270 66.701 39.9586
5.182555 66.846 39.0475
5.220110 66.990 38.1368
5.257937 67.133 37.2267
5.296038 67.276 36.3174
5.334415 67.417 35.4093
5.373071 67.558 34.5027
5.412006 67.698 33.5976
5.451224 67.837 32.6942
5.490725 67.976 31.7922
5.530514 68.113 30.8915
5.570590 68.250 29.9917
5.610957 68.386 29.0927
5.651616 68.522 28.1948
5.692570 68.656 27.2981
5.733821 68.790 26.4030
5.775370 68.923 25.5095
5.817221 69.055 24.6177
5.859375 69.186 23.7276
5.901834 69.317 22.8389
5.944602 69.447 21.9512
5.987679 69.576 21.0647
6.031068 69.705 20.1794
6.074771 69.833 19.2954
6.118792 69.960 18.4130
6.163131 70.086 17.5322
6.207792 70.212 16.6530
6.252776 70.337 15.7751
6.298086 70.461 14.8985
6.343725 70.584 14.0229
6.389694 70.707 13.1484
6.435996 70.829 12.2752
6.482634 70.951 11.4033
6.529610 71.072 10.5327
6.576926 71.192 9.6634
6.624585 71.311 8.7953
