* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 10 21, 25 11:08:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA Phoenix R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 20.502 -50.8647
0.368865 20.518 -50.9459
0.371538 20.542 -51.0665
0.374230 20.572 -51.2159
0.376942 20.606 -51.3850
0.379673 20.642 -51.5672
0.382424 20.680 -51.7581
0.385196 20.718 -51.9549
0.387987 20.757 -52.1562
0.390798 20.797 -52.3611
0.393630 20.837 -52.5690
0.396483 20.878 -52.7798
0.399356 20.918 -52.9932
0.402250 20.960 -53.2093
0.405165 21.001 -53.4279
0.408101 21.043 -53.6490
0.411058 21.084 -53.8727
0.414037 21.127 -54.0989
0.417037 21.169 -54.3276
0.420059 21.212 -54.5588
0.423103 21.255 -54.7924
0.426169 21.299 -55.0286
0.429257 21.343 -55.2672
0.432368 21.387 -55.5082
0.435501 21.431 -55.7517
0.438656 21.476 -55.9977
0.441835 21.521 -56.2461
0.445037 21.567 -56.4969
0.448262 21.612 -56.7501
0.451510 21.659 -57.0058
0.454782 21.705 -57.2639
0.458077 21.752 -57.5244
0.461397 21.799 -57.7873
0.464740 21.846 -58.0527
0.468108 21.894 -58.3204
0.471500 21.942 -58.5906
0.474917 21.991 -58.8633
0.478358 22.040 -59.1384
0.481825 22.089 -59.4159
0.485316 22.138 -59.6960
0.488833 22.188 -59.9785
0.492375 22.239 -60.2635
0.495943 22.289 -60.5511
0.499537 22.340 -60.8412
0.503157 22.392 -61.1338
0.506803 22.443 -61.4291
0.510475 22.495 -61.7270
0.514175 22.548 -62.0276
0.517900 22.601 -62.3308
0.521653 22.654 -62.6368
0.525434 22.708 -62.9456
0.529241 22.762 -63.2572
0.533076 22.816 -63.5717
0.536939 22.871 -63.8891
0.540830 22.926 -64.2095
0.544749 22.982 -64.5330
0.548696 23.038 -64.8595
0.552673 23.094 -65.1892
0.556677 23.151 -65.5222
0.560711 23.209 -65.8585
0.564774 23.266 -66.1982
0.568867 23.324 -66.5414
0.572989 23.383 -66.8881
0.577141 23.442 -67.2386
0.581324 23.501 -67.5928
0.585536 23.561 -67.9508
0.589779 23.621 -68.3129
0.594053 23.682 -68.6790
0.598358 23.743 -69.0494
0.602694 23.804 -69.4240
0.607061 23.866 -69.8032
0.611460 23.929 -70.1869
0.615891 23.992 -70.5754
0.620354 24.055 -70.9687
0.624849 24.119 -71.3671
0.629377 24.183 -71.7707
0.633938 24.248 -72.1796
0.638532 24.313 -72.5940
0.643159 24.379 -73.0142
0.647819 24.445 -73.4402
0.652514 24.512 -73.8723
0.657242 24.579 -74.3106
0.662005 24.646 -74.7554
0.666802 24.715 -75.2069
0.671634 24.783 -75.6653
0.676501 24.852 -76.1309
0.681403 24.922 -76.6037
0.686341 24.992 -77.0842
0.691314 25.063 -77.5724
0.696324 25.134 -78.0687
0.701370 25.205 -78.5732
0.706452 25.277 -79.0861
0.711571 25.350 -79.6074
0.716728 25.423 -80.1370
0.721921 25.497 -80.6746
0.727153 25.571 -81.2197
0.732422 25.646 -81.7710
0.737729 25.721 -82.3275
0.743075 25.796 -82.8877
0.748460 25.872 -83.4504
0.753883 25.949 -84.0146
0.759346 26.026 -84.5797
0.764849 26.103 -85.1453
0.770391 26.181 -85.7109
0.775974 26.260 -86.2765
0.781597 26.339 -86.8419
0.787261 26.419 -87.4071
0.792966 26.499 -87.9719
0.798712 26.579 -88.5365
0.804500 26.661 -89.1008
0.810329 26.742 -89.6649
0.816201 26.825 -90.2289
0.822116 26.907 -90.7928
0.828073 26.991 -91.3569
0.834074 27.075 -91.9212
0.840118 27.160 -92.4859
0.846206 27.245 -93.0512
0.852338 27.331 -93.6173
0.858514 27.417 -94.1845
0.864735 27.504 -94.7529
0.871001 27.592 -95.3228
0.877313 27.680 -95.8945
0.883670 27.769 -96.4683
0.890074 27.859 -97.0446
0.896524 27.949 -97.6235
0.903020 28.040 -98.2056
0.909564 28.132 -98.7911
0.916155 28.224 -99.3804
0.922794 28.317 -99.9740
0.929481 28.411 -100.5722
0.936216 28.505 -101.1754
0.943000 28.600 -101.7841
0.949834 28.696 -102.3987
0.956717 28.793 -103.0198
0.963649 28.890 -103.6478
0.970632 28.989 -104.2831
0.977666 29.088 -104.9263
0.984750 29.188 -105.5779
0.991886 29.288 -106.2384
0.999074 29.390 -106.9085
1.006314 29.492 -107.5886
1.013606 29.595 -108.2793
1.020951 29.699 -108.9811
1.028349 29.804 -109.6947
1.035801 29.910 -110.4207
1.043307 30.017 -111.1595
1.050867 30.125 -111.9118
1.058482 30.233 -112.6778
1.066152 30.343 -113.4579
1.073878 30.454 -114.2522
1.081660 30.565 -115.0601
1.089498 30.678 -115.8808
1.097393 30.792 -116.7126
1.105345 30.906 -117.5534
1.113355 31.022 -118.4009
1.121423 31.139 -119.2529
1.129549 31.256 -120.1075
1.137734 31.375 -120.9637
1.145979 31.495 -121.8204
1.154283 31.616 -122.6773
1.162647 31.738 -123.5339
1.171072 31.860 -124.3899
1.179558 31.984 -125.2455
1.188106 32.109 -126.1005
1.196715 32.235 -126.9549
1.205387 32.362 -127.8090
1.214122 32.490 -128.6629
1.222920 32.620 -129.5167
1.231782 32.750 -130.3707
1.240708 32.881 -131.2253
1.249699 33.014 -132.0806
1.258754 33.147 -132.9371
1.267876 33.282 -133.7951
1.277063 33.417 -134.6551
1.286318 33.554 -135.5174
1.295639 33.692 -136.3826
1.305027 33.831 -137.2511
1.314484 33.971 -138.1234
1.324009 34.112 -139.0000
1.333604 34.254 -139.8814
1.343268 34.397 -140.7683
1.353002 34.542 -141.6611
1.362806 34.687 -142.5603
1.372681 34.833 -143.4666
1.382628 34.981 -144.3805
1.392647 35.130 -145.3024
1.402739 35.280 -146.2327
1.412904 35.430 -147.1718
1.423142 35.582 -148.1195
1.433455 35.736 -149.0756
1.443843 35.890 -150.0389
1.454305 36.045 -151.0078
1.464844 36.202 -151.9796
1.475459 36.360 -152.9512
1.486150 36.520 -153.9194
1.496920 36.681 -154.8817
1.507767 36.843 -155.8364
1.518693 37.007 -156.7827
1.529698 37.172 -157.7205
1.540783 37.339 -158.6500
1.551948 37.507 -159.5719
1.563194 37.676 -160.4869
1.574521 37.847 -161.3960
1.585931 38.020 -162.3002
1.597423 38.193 -163.2007
1.608999 38.368 -164.0984
1.620658 38.544 -164.9948
1.632402 38.721 -165.8907
1.644232 38.900 -166.7876
1.656146 39.079 -167.6865
1.668147 39.260 -168.5886
1.680235 39.441 -169.4952
1.692411 39.624 -170.4073
1.704675 39.807 -171.3262
1.717028 39.992 -172.2529
1.729470 40.177 -173.1885
1.742003 40.363 -174.1340
1.754626 40.550 -175.0902
1.767341 40.737 -176.0578
1.780147 40.925 -177.0370
1.793047 41.114 -178.0277
1.806040 41.303 -179.0290
1.819128 41.493 179.9611
1.832310 41.683 178.9454
1.845587 41.874 177.9274
1.858961 42.067 176.9106
1.872432 42.260 175.8979
1.886001 42.454 174.8912
1.899667 42.649 173.8916
1.913433 42.844 172.8994
1.927299 43.041 171.9145
1.941265 43.239 170.9365
1.955332 43.438 169.9647
1.969501 43.637 168.9983
1.983773 43.837 168.0363
1.998148 44.038 167.0775
2.012627 44.240 166.1212
2.027212 44.442 165.1659
2.041902 44.645 164.2106
2.056698 44.848 163.2541
2.071602 45.052 162.2953
2.086614 45.256 161.3329
2.101734 45.460 160.3661
2.116964 45.665 159.3937
2.132304 45.870 158.4151
2.147756 46.076 157.4299
2.163320 46.281 156.4383
2.178996 46.487 155.4412
2.194786 46.693 154.4405
2.210690 46.899 153.4385
2.226710 47.105 152.4380
2.242845 47.311 151.4413
2.259098 47.518 150.4498
2.275468 47.725 149.4644
2.291957 47.932 148.4852
2.308566 48.140 147.5121
2.325295 48.347 146.5444
2.342145 48.555 145.5815
2.359117 48.763 144.6223
2.376212 48.971 143.6656
2.393431 49.179 142.7106
2.410775 49.387 141.7560
2.428244 49.596 140.8005
2.445840 49.804 139.8431
2.463564 50.013 138.8826
2.481416 50.221 137.9179
2.499397 50.429 136.9484
2.517509 50.637 135.9736
2.535752 50.846 134.9936
2.554127 51.054 134.0092
2.572635 51.261 133.0220
2.591277 51.469 132.0338
2.610055 51.676 131.0464
2.628968 51.883 130.0612
2.648019 52.090 129.0790
2.667208 52.297 128.1004
2.686535 52.503 127.1253
2.706003 52.709 126.1532
2.725612 52.915 125.1838
2.745363 53.120 124.2162
2.765257 53.325 123.2496
2.785295 53.530 122.2831
2.805478 53.735 121.3158
2.825808 53.939 120.3467
2.846285 54.143 119.3748
2.866910 54.347 118.3995
2.887685 54.550 117.4202
2.908611 54.753 116.4369
2.929688 54.956 115.4500
2.950917 55.158 114.4605
2.972301 55.359 113.4696
2.993839 55.560 112.4783
3.015534 55.760 111.4877
3.037386 55.960 110.4983
3.059396 56.159 109.5104
3.081565 56.358 108.5240
3.103896 56.555 107.5391
3.126388 56.753 106.5551
3.149043 56.950 105.5716
3.171862 57.146 104.5880
3.194847 57.341 103.6035
3.217998 57.536 102.6176
3.241317 57.731 101.6295
3.264805 57.925 100.6388
3.288463 58.118 99.6452
3.312293 58.311 98.6490
3.336295 58.503 97.6505
3.360471 58.694 96.6504
3.384822 58.884 95.6494
3.409350 59.073 94.6483
3.434056 59.262 93.6474
3.458940 59.450 92.6472
3.484005 59.636 91.6478
3.509252 59.822 90.6492
3.534681 60.008 89.6512
3.560295 60.192 88.6534
3.586094 60.376 87.6555
3.612081 60.559 86.6569
3.638255 60.742 85.6571
3.664620 60.923 84.6555
3.691175 61.104 83.6521
3.717923 61.283 82.6469
3.744864 61.462 81.6402
3.772001 61.639 80.6326
3.799335 61.816 79.6247
3.826866 61.992 78.6172
3.854597 62.166 77.6105
3.882529 62.340 76.6049
3.910664 62.513 75.6006
3.939002 62.685 74.5976
3.967546 62.856 73.5955
3.996296 63.026 72.5939
4.025255 63.195 71.5923
4.054423 63.363 70.5899
4.083804 63.530 69.5867
4.113396 63.696 68.5825
4.143204 63.861 67.5778
4.173227 64.025 66.5732
4.203468 64.188 65.5693
4.233928 64.350 64.5668
4.264609 64.511 63.5661
4.295512 64.671 62.5676
4.326639 64.830 61.5713
4.357992 64.988 60.5768
4.389572 65.145 59.5838
4.421380 65.301 58.5916
4.453419 65.456 57.5996
4.485691 65.610 56.6079
4.518196 65.763 55.6165
4.550936 65.914 54.6261
4.583914 66.065 53.6373
4.617131 66.215 52.6506
4.650589 66.364 51.6666
4.684289 66.512 50.6856
4.718233 66.659 49.7074
4.752424 66.805 48.7319
4.786862 66.950 47.7584
4.821549 67.094 46.7864
4.856488 67.237 45.8158
4.891680 67.380 44.8465
4.927127 67.521 43.8791
4.962831 67.661 42.9139
4.998794 67.801 41.9515
5.035017 67.939 40.9923
5.071503 68.077 40.0364
5.108253 68.214 39.0837
5.145270 68.350 38.1339
5.182555 68.486 37.1865
5.220110 68.620 36.2412
5.257937 68.754 35.2979
5.296038 68.887 34.3569
5.334415 69.019 33.4184
5.373071 69.150 32.4828
5.412006 69.281 31.5504
5.451224 69.411 30.6211
5.490725 69.540 29.6948
5.530514 69.669 28.7712
5.570590 69.797 27.8500
5.610957 69.924 26.9310
5.651616 70.051 26.0142
5.692570 70.177 25.0997
5.733821 70.302 24.1876
5.775370 70.427 23.2782
5.817221 70.551 22.3713
5.859375 70.675 21.4669
5.901834 70.798 20.5646
5.944602 70.921 19.6643
5.987679 71.043 18.7657
6.031068 71.164 17.8690
6.074771 71.285 16.9741
6.118792 71.405 16.0810
6.163131 71.525 15.1898
6.207792 71.644 14.3003
6.252776 71.763 13.4124
6.298086 71.881 12.5259
6.343725 71.998 11.6405
6.389694 72.115 10.7563
6.435996 72.232 9.8733
6.482634 72.348 8.9915
6.529610 72.463 8.1110
6.576926 72.578 7.2316
6.624585 72.692 6.3533
