* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 19, 2023 6:06:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chu II Front Vent Poked R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 84.609 -158.5982
20.507813 84.603 -158.7654
20.874023 84.591 -159.2388
21.240234 84.593 -159.7932
21.606445 84.613 -160.3655
21.972656 84.650 -160.8975
22.338867 84.704 -161.3180
22.705078 84.768 -161.5968
23.071289 84.835 -161.7556
23.437500 84.893 -161.8470
23.803711 84.931 -161.9250
24.169922 84.944 -162.0255
24.536133 84.935 -162.1650
24.902344 84.911 -162.3479
25.268555 84.884 -162.5717
25.634766 84.866 -162.8260
26.000977 84.863 -163.0916
26.367188 84.875 -163.3407
26.733399 84.900 -163.5448
27.099610 84.933 -163.6881
27.465821 84.967 -163.7752
27.832032 84.997 -163.8271
28.198243 85.019 -163.8734
28.564454 85.032 -163.9401
28.930665 85.036 -164.0405
29.296876 85.034 -164.1726
29.663087 85.030 -164.3235
30.029298 85.030 -164.4781
30.395509 85.037 -164.6252
30.761720 85.050 -164.7603
31.127931 85.067 -164.8836
31.494142 85.084 -164.9968
31.860353 85.099 -165.0985
32.226563 85.109 -165.1850
32.592774 85.115 -165.2537
32.958985 85.120 -165.3061
33.325196 85.126 -165.3484
33.691407 85.134 -165.3886
34.057618 85.143 -165.4343
34.423829 85.153 -165.4889
34.790040 85.162 -165.5506
35.156251 85.169 -165.6149
35.522462 85.175 -165.6790
35.888673 85.181 -165.7436
36.254884 85.187 -165.8136
36.621095 85.196 -165.8944
36.987306 85.206 -165.9868
37.353517 85.214 -166.0836
37.719728 85.221 -166.1715
38.085939 85.224 -166.2375
38.452150 85.226 -166.2780
38.818361 85.228 -166.3021
39.184572 85.233 -166.3273
39.550783 85.238 -166.3687
39.916994 85.244 -166.4284
40.283205 85.249 -166.4949
40.649416 85.252 -166.5527
41.015627 85.254 -166.5948
41.381838 85.254 -166.6283
41.748049 85.253 -166.6669
42.114260 85.249 -166.7188
42.480471 85.243 -166.7789
42.846682 85.238 -166.8358
43.212893 85.239 -166.8823
43.579103 85.248 -166.9207
43.945314 85.264 -166.9532
44.311525 85.280 -166.9687
44.677736 85.291 -166.9434
45.043947 85.296 -166.8622
45.410158 85.295 -166.7486
45.776369 85.293 -166.6750
46.142580 85.288 -166.7346
46.508791 85.273 -166.9842
46.875002 85.239 -167.3941
47.241213 85.186 -167.8444
47.607424 85.125 -168.1769
47.973635 85.076 -168.2762
48.339846 85.063 -168.1293
48.706057 85.095 -167.8248
49.072268 85.161 -167.4943
49.438479 85.240 -167.2386
49.804690 85.309 -167.0856
50.170901 85.351 -167.0022
50.537112 85.368 -166.9386
50.903323 85.368 -166.8693
51.269534 85.362 -166.8035
51.635745 85.358 -166.7663
52.001956 85.361 -166.7722
52.368167 85.368 -166.8119
52.734378 85.377 -166.8594
53.100589 85.385 -166.8897
53.466800 85.393 -166.8926
53.833011 85.399 -166.8733
54.199222 85.402 -166.8450
54.565432 85.401 -166.8196
54.931643 85.399 -166.8038
55.297854 85.396 -166.8001
55.664065 85.395 -166.8090
56.030276 85.396 -166.8287
56.396487 85.399 -166.8553
56.762698 85.404 -166.8825
57.128909 85.409 -166.9046
57.495120 85.413 -166.9189
57.861331 85.417 -166.9276
58.227542 85.420 -166.9347
58.593753 85.423 -166.9437
58.959964 85.424 -166.9543
59.326175 85.426 -166.9634
59.692386 85.427 -166.9673
60.058597 85.429 -166.9646
60.424808 85.432 -166.9568
60.791019 85.435 -166.9474
61.157230 85.438 -166.9396
61.523441 85.440 -166.9349
61.889652 85.442 -166.9327
62.255863 85.443 -166.9314
62.622074 85.444 -166.9291
62.988285 85.446 -166.9248
63.354496 85.448 -166.9187
63.720707 85.451 -166.9116
64.086918 85.453 -166.9048
64.453129 85.456 -166.8998
64.819340 85.459 -166.8978
65.185551 85.461 -166.8999
65.551762 85.463 -166.9063
65.917972 85.465 -166.9166
66.284183 85.467 -166.9291
66.650394 85.468 -166.9419
67.016605 85.470 -166.9534
67.382816 85.471 -166.9629
67.749027 85.474 -166.9714
68.115238 85.477 -166.9801
68.481449 85.480 -166.9900
68.847660 85.483 -167.0008
69.213871 85.486 -167.0109
69.580082 85.489 -167.0182
69.946293 85.492 -167.0212
70.312504 85.495 -167.0200
70.678715 85.499 -167.0165
71.044926 85.503 -167.0133
71.411137 85.507 -167.0128
71.777348 85.511 -167.0159
72.143559 85.515 -167.0223
72.509770 85.517 -167.0302
72.875981 85.519 -167.0380
73.242192 85.520 -167.0443
73.608403 85.521 -167.0487
73.974614 85.522 -167.0515
74.340825 85.523 -167.0531
74.707036 85.525 -167.0540
75.073247 85.526 -167.0548
75.439458 85.528 -167.0562
75.805669 85.529 -167.0587
76.171880 85.531 -167.0626
76.538091 85.532 -167.0680
76.904301 85.534 -167.0747
77.270512 85.535 -167.0825
77.636723 85.536 -167.0910
78.002934 85.538 -167.1002
78.369145 85.539 -167.1101
78.735356 85.540 -167.1210
79.101567 85.541 -167.1330
79.467778 85.542 -167.1462
79.833989 85.543 -167.1605
80.200200 85.544 -167.1752
80.566411 85.544 -167.1891
80.932622 85.544 -167.2003
81.298833 85.544 -167.2073
81.665044 85.545 -167.2093
82.031255 85.546 -167.2064
82.397466 85.548 -167.2000
82.763677 85.550 -167.1925
83.129888 85.554 -167.1862
83.496099 85.558 -167.1830
83.862310 85.562 -167.1839
84.228521 85.566 -167.1883
84.594732 85.569 -167.1950
84.960943 85.572 -167.2019
85.327154 85.575 -167.2073
85.693365 85.578 -167.2098
86.059576 85.580 -167.2090
86.425787 85.583 -167.2054
86.791998 85.585 -167.2002
87.158209 85.587 -167.1947
87.524420 85.588 -167.1903
87.890631 85.590 -167.1876
88.256841 85.591 -167.1865
88.623052 85.591 -167.1867
88.989263 85.592 -167.1872
89.355474 85.593 -167.1872
89.721685 85.594 -167.1862
90.087896 85.596 -167.1842
90.454107 85.598 -167.1814
90.820318 85.601 -167.1785
91.186529 85.604 -167.1764
91.552740 85.607 -167.1758
91.918951 85.609 -167.1771
92.285162 85.611 -167.1803
92.651373 85.612 -167.1849
93.017584 85.614 -167.1901
93.383795 85.614 -167.1949
93.750006 85.615 -167.1983
94.116217 85.617 -167.1996
94.482428 85.618 -167.1986
94.848639 85.619 -167.1954
95.214850 85.620 -167.1907
95.581061 85.621 -167.1851
95.947272 85.621 -167.1797
96.313483 85.621 -167.1752
96.679694 85.621 -167.1724
97.045905 85.622 -167.1719
97.412116 85.622 -167.1737
97.778327 85.623 -167.1775
98.144538 85.624 -167.1821
98.510749 85.626 -167.1863
98.876960 85.628 -167.1889
99.243170 85.630 -167.1890
99.609381 85.632 -167.1867
99.975592 85.634 -167.1824
100.341803 85.637 -167.1773
100.708014 85.639 -167.1723
101.074225 85.641 -167.1682
101.440436 85.643 -167.1650
101.806647 85.645 -167.1625
102.172858 85.647 -167.1605
102.539069 85.648 -167.1584
102.905280 85.649 -167.1560
103.271491 85.651 -167.1533
103.637702 85.652 -167.1502
104.003913 85.653 -167.1468
104.370124 85.654 -167.1428
104.736335 85.655 -167.1380
105.102546 85.656 -167.1319
105.468757 85.657 -167.1245
105.834968 85.658 -167.1160
106.201179 85.660 -167.1071
106.567390 85.662 -167.0985
106.933601 85.664 -167.0913
107.299812 85.665 -167.0862
107.666023 85.667 -167.0834
108.032234 85.668 -167.0829
108.398445 85.669 -167.0843
108.764656 85.670 -167.0868
109.130867 85.670 -167.0898
109.497078 85.670 -167.0924
109.863289 85.670 -167.0940
110.229500 85.671 -167.0942
110.595710 85.672 -167.0925
110.961921 85.673 -167.0891
111.328132 85.674 -167.0843
111.694343 85.675 -167.0792
112.060554 85.676 -167.0749
112.426765 85.678 -167.0724
112.792976 85.680 -167.0723
113.159187 85.682 -167.0746
113.525398 85.684 -167.0788
113.891609 85.688 -167.0837
114.257820 85.691 -167.0884
114.624031 85.695 -167.0919
114.990242 85.699 -167.0941
115.356453 85.703 -167.0953
115.722664 85.707 -167.0961
116.088875 85.711 -167.0972
116.455086 85.715 -167.0992
116.821297 85.719 -167.1020
117.187508 85.723 -167.1056
117.553719 85.728 -167.1093
117.919930 85.734 -167.1122
118.286141 85.739 -167.1131
118.652352 85.745 -167.1109
119.018563 85.750 -167.1047
119.384774 85.754 -167.0938
119.750985 85.756 -167.0780
120.117196 85.756 -167.0581
120.483407 85.754 -167.0350
120.849618 85.751 -167.0104
121.215829 85.747 -166.9857
121.582040 85.742 -166.9620
121.948250 85.738 -166.9401
122.314461 85.735 -166.9198
122.680672 85.733 -166.9006
123.046883 85.732 -166.8817
123.413094 85.733 -166.8623
123.779305 85.735 -166.8423
124.145516 85.737 -166.8220
124.511727 85.740 -166.8023
124.877938 85.743 -166.7842
125.244149 85.746 -166.7688
125.610360 85.748 -166.7567
125.976571 85.750 -166.7482
126.342782 85.751 -166.7429
126.708993 85.752 -166.7398
127.075204 85.751 -166.7380
127.441415 85.751 -166.7364
127.807626 85.750 -166.7342
128.173837 85.749 -166.7310
128.540048 85.748 -166.7265
128.906259 85.747 -166.7210
129.272470 85.747 -166.7146
129.638681 85.747 -166.7073
130.004892 85.747 -166.6996
130.371103 85.748 -166.6914
130.737314 85.748 -166.6831
131.103525 85.749 -166.6749
131.469736 85.751 -166.6670
131.835947 85.752 -166.6595
132.202158 85.753 -166.6521
132.568369 85.755 -166.6445
132.934579 85.756 -166.6358
133.300790 85.757 -166.6256
133.667001 85.758 -166.6133
134.033212 85.758 -166.5988
134.399423 85.758 -166.5824
134.765634 85.758 -166.5647
135.131845 85.758 -166.5464
135.498056 85.758 -166.5282
135.864267 85.758 -166.5106
136.230478 85.758 -166.4940
136.596689 85.758 -166.4785
136.962900 85.759 -166.4639
137.329111 85.761 -166.4500
137.695322 85.763 -166.4364
138.061533 85.765 -166.4230
138.427744 85.767 -166.4096
138.793955 85.770 -166.3964
139.160166 85.773 -166.3837
139.526377 85.776 -166.3720
139.892588 85.778 -166.3618
140.258799 85.780 -166.3536
140.625010 85.782 -166.3476
140.991221 85.784 -166.3439
141.357432 85.786 -166.3424
141.723643 85.787 -166.3427
142.089854 85.789 -166.3444
142.456065 85.790 -166.3467
142.822276 85.792 -166.3490
143.188487 85.793 -166.3505
143.554698 85.794 -166.3504
143.920909 85.795 -166.3480
144.287119 85.796 -166.3430
144.653330 85.798 -166.3350
145.019541 85.799 -166.3242
145.385752 85.801 -166.3108
145.751963 85.803 -166.2954
146.118174 85.806 -166.2787
146.484385 85.808 -166.2612
146.850596 85.810 -166.2437
147.216807 85.813 -166.2267
147.583018 85.815 -166.2104
147.949229 85.817 -166.1952
148.315440 85.819 -166.1809
148.681651 85.820 -166.1673
149.047862 85.822 -166.1541
149.414073 85.823 -166.1407
149.780284 85.824 -166.1268
150.146495 85.825 -166.1117
150.512706 85.826 -166.0950
150.878917 85.828 -166.0766
151.245128 85.829 -166.0564
151.611339 85.831 -166.0345
151.977550 85.832 -166.0114
152.343761 85.834 -165.9877
152.709972 85.836 -165.9641
153.076183 85.837 -165.9411
153.442394 85.839 -165.9195
153.808605 85.840 -165.8999
154.174816 85.841 -165.8824
154.541027 85.841 -165.8673
154.907238 85.842 -165.8545
155.273448 85.843 -165.8437
155.639659 85.843 -165.8341
156.005870 85.844 -165.8252
156.372081 85.844 -165.8162
156.738292 85.845 -165.8063
157.104503 85.846 -165.7950
157.470714 85.847 -165.7819
157.836925 85.848 -165.7671
158.203136 85.848 -165.7508
158.569347 85.849 -165.7336
158.935558 85.850 -165.7160
159.301769 85.850 -165.6990
159.667980 85.851 -165.6832
160.034191 85.851 -165.6691
160.400402 85.851 -165.6572
160.766613 85.852 -165.6475
161.132824 85.852 -165.6399
161.499035 85.853 -165.6341
161.865246 85.854 -165.6295
162.231457 85.855 -165.6257
162.597668 85.856 -165.6223
