* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 08 4, 25 6:17:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Daybreak L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 45.101 -29.8656
0.368865 45.106 -29.9191
0.371538 45.115 -29.9988
0.374230 45.126 -30.0981
0.376942 45.138 -30.2115
0.379673 45.151 -30.3347
0.382424 45.164 -30.4650
0.385196 45.178 -30.6008
0.387987 45.192 -30.7410
0.390798 45.207 -30.8852
0.393630 45.221 -31.0330
0.396483 45.236 -31.1844
0.399356 45.250 -31.3393
0.402250 45.265 -31.4975
0.405165 45.280 -31.6593
0.408101 45.295 -31.8244
0.411058 45.310 -31.9930
0.414037 45.325 -32.1651
0.417037 45.340 -32.3407
0.420059 45.356 -32.5198
0.423103 45.371 -32.7024
0.426169 45.387 -32.8885
0.429257 45.403 -33.0782
0.432368 45.419 -33.2714
0.435501 45.435 -33.4681
0.438656 45.451 -33.6685
0.441835 45.467 -33.8724
0.445037 45.483 -34.0799
0.448262 45.500 -34.2910
0.451510 45.516 -34.5056
0.454782 45.533 -34.7239
0.458077 45.550 -34.9458
0.461397 45.567 -35.1714
0.464740 45.584 -35.4005
0.468108 45.601 -35.6333
0.471500 45.619 -35.8697
0.474917 45.636 -36.1097
0.478358 45.654 -36.3534
0.481825 45.671 -36.6007
0.485316 45.689 -36.8516
0.488833 45.707 -37.1062
0.492375 45.725 -37.3644
0.495943 45.743 -37.6263
0.499537 45.762 -37.8918
0.503157 45.780 -38.1610
0.506803 45.799 -38.4338
0.510475 45.818 -38.7103
0.514175 45.836 -38.9904
0.517900 45.855 -39.2742
0.521653 45.875 -39.5617
0.525434 45.894 -39.8528
0.529241 45.913 -40.1476
0.533076 45.933 -40.4461
0.536939 45.953 -40.7483
0.540830 45.973 -41.0541
0.544749 45.993 -41.3637
0.548696 46.013 -41.6770
0.552673 46.033 -41.9940
0.556677 46.053 -42.3147
0.560711 46.074 -42.6392
0.564774 46.095 -42.9675
0.568867 46.116 -43.2996
0.572989 46.137 -43.6354
0.577141 46.158 -43.9752
0.581324 46.179 -44.3187
0.585536 46.201 -44.6662
0.589779 46.222 -45.0176
0.594053 46.244 -45.3730
0.598358 46.266 -45.7324
0.602694 46.288 -46.0958
0.607061 46.311 -46.4633
0.611460 46.333 -46.8349
0.615891 46.356 -47.2108
0.620354 46.379 -47.5909
0.624849 46.401 -47.9753
0.629377 46.425 -48.3641
0.633938 46.448 -48.7573
0.638532 46.471 -49.1551
0.643159 46.495 -49.5576
0.647819 46.519 -49.9647
0.652514 46.543 -50.3767
0.657242 46.567 -50.7936
0.662005 46.591 -51.2156
0.666802 46.616 -51.6427
0.671634 46.640 -52.0751
0.676501 46.665 -52.5129
0.681403 46.690 -52.9563
0.686341 46.715 -53.4055
0.691314 46.741 -53.8605
0.696324 46.767 -54.3217
0.701370 46.792 -54.7891
0.706452 46.818 -55.2630
0.711571 46.845 -55.7437
0.716728 46.871 -56.2313
0.721921 46.899 -56.7262
0.727153 46.926 -57.2286
0.732422 46.955 -57.7389
0.737729 46.984 -58.2572
0.743075 47.013 -58.7836
0.748460 47.043 -59.3183
0.753883 47.074 -59.8612
0.759346 47.105 -60.4122
0.764849 47.136 -60.9711
0.770391 47.168 -61.5377
0.775974 47.199 -62.1118
0.781597 47.231 -62.6933
0.787261 47.263 -63.2820
0.792966 47.296 -63.8775
0.798712 47.328 -64.4798
0.804500 47.361 -65.0887
0.810329 47.395 -65.7039
0.816201 47.428 -66.3253
0.822116 47.462 -66.9528
0.828073 47.496 -67.5861
0.834074 47.531 -68.2251
0.840118 47.565 -68.8697
0.846206 47.600 -69.5198
0.852338 47.636 -70.1753
0.858514 47.672 -70.8361
0.864735 47.708 -71.5020
0.871001 47.745 -72.1731
0.877313 47.782 -72.8494
0.883670 47.820 -73.5307
0.890074 47.858 -74.2172
0.896524 47.896 -74.9088
0.903020 47.936 -75.6057
0.909564 47.975 -76.3078
0.916155 48.015 -77.0153
0.922794 48.056 -77.7282
0.929481 48.098 -78.4469
0.936216 48.140 -79.1713
0.943000 48.182 -79.9018
0.949834 48.226 -80.6386
0.956717 48.270 -81.3819
0.963649 48.314 -82.1321
0.970632 48.360 -82.8894
0.977666 48.406 -83.6542
0.984750 48.453 -84.4270
0.991886 48.501 -85.2081
0.999074 48.550 -85.9980
1.006314 48.600 -86.7973
1.013606 48.650 -87.6064
1.020951 48.702 -88.4260
1.028349 48.755 -89.2566
1.035801 48.808 -90.0989
1.043307 48.863 -90.9537
1.050867 48.919 -91.8216
1.058482 48.976 -92.7035
1.066152 49.034 -93.6000
1.073878 49.093 -94.5119
1.081660 49.154 -95.4399
1.089498 49.216 -96.3845
1.097393 49.279 -97.3457
1.105345 49.343 -98.3237
1.113355 49.408 -99.3178
1.121423 49.474 -100.3274
1.129549 49.542 -101.3517
1.137734 49.610 -102.3900
1.145979 49.680 -103.4412
1.154283 49.751 -104.5048
1.162647 49.822 -105.5798
1.171072 49.895 -106.6654
1.179558 49.969 -107.7611
1.188106 50.045 -108.8662
1.196715 50.121 -109.9800
1.205387 50.199 -111.1021
1.214122 50.278 -112.2317
1.222920 50.358 -113.3686
1.231782 50.439 -114.5122
1.240708 50.522 -115.6623
1.249699 50.607 -116.8185
1.258754 50.692 -117.9805
1.267876 50.779 -119.1482
1.277063 50.868 -120.3215
1.286318 50.958 -121.5003
1.295639 51.050 -122.6845
1.305027 51.143 -123.8744
1.314484 51.238 -125.0698
1.324009 51.335 -126.2712
1.333604 51.433 -127.4786
1.343268 51.533 -128.6924
1.353002 51.635 -129.9129
1.362806 51.738 -131.1406
1.372681 51.844 -132.3758
1.382628 51.951 -133.6191
1.392647 52.061 -134.8709
1.402739 52.172 -136.1317
1.412904 52.285 -137.4020
1.423142 52.401 -138.6820
1.433455 52.519 -139.9719
1.443843 52.639 -141.2712
1.454305 52.762 -142.5789
1.464844 52.887 -143.8935
1.475459 53.015 -145.2124
1.486150 53.145 -146.5331
1.496920 53.279 -147.8528
1.507767 53.416 -149.1694
1.518693 53.555 -150.4811
1.529698 53.698 -151.7868
1.540783 53.843 -153.0857
1.551948 53.992 -154.3772
1.563194 54.143 -155.6611
1.574521 54.297 -156.9375
1.585931 54.453 -158.2066
1.597423 54.612 -159.4689
1.608999 54.774 -160.7248
1.620658 54.938 -161.9751
1.632402 55.104 -163.2207
1.644232 55.272 -164.4623
1.656146 55.442 -165.7011
1.668147 55.615 -166.9381
1.680235 55.789 -168.1745
1.692411 55.964 -169.4115
1.704675 56.142 -170.6503
1.717028 56.321 -171.8923
1.729470 56.501 -173.1386
1.742003 56.682 -174.3906
1.754626 56.864 -175.6495
1.767341 57.047 -176.9162
1.780147 57.231 -178.1914
1.793047 57.415 -179.4755
1.806040 57.600 179.2319
1.819128 57.787 177.9323
1.832310 57.974 176.6281
1.845587 58.163 175.3224
1.858961 58.353 174.0190
1.872432 58.545 172.7211
1.886001 58.739 171.4311
1.899667 58.935 170.1508
1.913433 59.132 168.8814
1.927299 59.332 167.6235
1.941265 59.533 166.3770
1.955332 59.737 165.1419
1.969501 59.941 163.9177
1.983773 60.147 162.7037
1.998148 60.355 161.4990
2.012627 60.563 160.3027
2.027212 60.773 159.1136
2.041902 60.983 157.9305
2.056698 61.194 156.7522
2.071602 61.406 155.5772
2.086614 61.619 154.4042
2.101734 61.831 153.2319
2.116964 62.044 152.0590
2.132304 62.257 150.8842
2.147756 62.469 149.7070
2.163320 62.682 148.5269
2.178996 62.894 147.3444
2.194786 63.106 146.1607
2.210690 63.318 144.9779
2.226710 63.530 143.7985
2.242845 63.742 142.6247
2.259098 63.955 141.4583
2.275468 64.167 140.3004
2.291957 64.380 139.1515
2.308566 64.593 138.0117
2.325295 64.807 136.8808
2.342145 65.021 135.7581
2.359117 65.234 134.6430
2.376212 65.448 133.5344
2.393431 65.662 132.4312
2.410775 65.876 131.3323
2.428244 66.090 130.2364
2.445840 66.304 129.1422
2.463564 66.517 128.0483
2.481416 66.730 126.9536
2.499397 66.943 125.8569
2.517509 67.156 124.7575
2.535752 67.368 123.6551
2.554127 67.580 122.5498
2.572635 67.792 121.4428
2.591277 68.003 120.3356
2.610055 68.213 119.2298
2.628968 68.423 118.1268
2.648019 68.633 117.0277
2.667208 68.842 115.9332
2.686535 69.050 114.8435
2.706003 69.258 113.7587
2.725612 69.466 112.6783
2.745363 69.673 111.6019
2.765257 69.879 110.5288
2.785295 70.085 109.4583
2.805478 70.291 108.3893
2.825808 70.496 107.3208
2.846285 70.700 106.2518
2.866910 70.904 105.1815
2.887685 71.107 104.1089
2.908611 71.310 103.0336
2.929688 71.512 101.9555
2.950917 71.714 100.8752
2.972301 71.915 99.7935
2.993839 72.114 98.7113
3.015534 72.313 97.6297
3.037386 72.511 96.5494
3.059396 72.709 95.4711
3.081565 72.905 94.3951
3.103896 73.101 93.3215
3.126388 73.295 92.2502
3.149043 73.489 91.1810
3.171862 73.682 90.1133
3.194847 73.875 89.0465
3.217998 74.067 87.9800
3.241317 74.258 86.9128
3.264805 74.448 85.8442
3.288463 74.637 84.7736
3.312293 74.826 83.7006
3.336295 75.013 82.6252
3.360471 75.200 81.5480
3.384822 75.385 80.4695
3.409350 75.569 79.3905
3.434056 75.752 78.3119
3.458940 75.934 77.2342
3.484005 76.116 76.1581
3.509252 76.296 75.0836
3.534681 76.475 74.0110
3.560295 76.653 72.9401
3.586094 76.830 71.8704
3.612081 77.007 70.8013
3.638255 77.182 69.7320
3.664620 77.357 68.6618
3.691175 77.530 67.5898
3.717923 77.702 66.5160
3.744864 77.873 65.4403
3.772001 78.043 64.3634
3.799335 78.211 63.2862
3.826866 78.379 62.2094
3.854597 78.545 61.1339
3.882529 78.710 60.0603
3.910664 78.874 58.9890
3.939002 79.037 57.9201
3.967546 79.199 56.8534
3.996296 79.360 55.7882
4.025255 79.520 54.7239
4.054423 79.678 53.6593
4.083804 79.836 52.5939
4.113396 79.992 51.5276
4.143204 80.147 50.4605
4.173227 80.300 49.3935
4.203468 80.453 48.3274
4.233928 80.604 47.2632
4.264609 80.754 46.2015
4.295512 80.903 45.1429
4.326639 81.051 44.0875
4.357992 81.198 43.0352
4.389572 81.344 41.9851
4.421380 81.489 40.9364
4.453419 81.632 39.8884
4.485691 81.774 38.8408
4.518196 81.916 37.7936
4.550936 82.055 36.7475
4.583914 82.194 35.7033
4.617131 82.332 34.6618
4.650589 82.468 33.6237
4.684289 82.604 32.5893
4.718233 82.739 31.5588
4.752424 82.872 30.5317
4.786862 83.005 29.5074
4.821549 83.136 28.4850
4.856488 83.267 27.4642
4.891680 83.396 26.4452
4.927127 83.524 25.4281
4.962831 83.652 24.4137
4.998794 83.778 23.4025
5.035017 83.903 22.3951
5.071503 84.028 21.3917
5.108253 84.152 20.3922
5.145270 84.275 19.3962
5.182555 84.397 18.4030
5.220110 84.518 17.4122
5.257937 84.638 16.4236
5.296038 84.758 15.4376
5.334415 84.876 14.4545
5.373071 84.994 13.4745
5.412006 85.111 12.4980
5.451224 85.227 11.5251
5.490725 85.343 10.5557
5.530514 85.458 9.5892
5.570590 85.572 8.6254
5.610957 85.686 7.6639
5.651616 85.799 6.7048
5.692570 85.911 5.7480
5.733821 86.023 4.7939
5.775370 86.133 3.8427
5.817221 86.244 2.8942
5.859375 86.353 1.9482
5.901834 86.463 1.0046
5.944602 86.571 0.0630
5.987679 86.679 -0.8768
6.031068 86.786 -1.8148
6.074771 86.893 -2.7510
6.118792 86.999 -3.6853
6.163131 87.105 -4.6176
6.207792 87.210 -5.5480
6.252776 87.314 -6.4768
6.298086 87.418 -7.4043
6.343725 87.521 -8.3306
6.389694 87.624 -9.2557
6.435996 87.725 -10.1797
6.482634 87.827 -11.1022
6.529610 87.928 -12.0234
6.576926 88.028 -12.9434
