* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 08 4, 25 6:16:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Daybreak R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.596 -36.0542
0.368865 44.598 -36.1160
0.371538 44.602 -36.2083
0.374230 44.608 -36.3236
0.376942 44.613 -36.4555
0.379673 44.620 -36.5992
0.382424 44.626 -36.7517
0.385196 44.633 -36.9111
0.387987 44.640 -37.0762
0.390798 44.647 -37.2465
0.393630 44.654 -37.4216
0.396483 44.661 -37.6015
0.399356 44.668 -37.7861
0.402250 44.675 -37.9754
0.405165 44.682 -38.1693
0.408101 44.689 -38.3679
0.411058 44.696 -38.5713
0.414037 44.704 -38.7795
0.417037 44.711 -38.9925
0.420059 44.719 -39.2104
0.423103 44.726 -39.4331
0.426169 44.734 -39.6608
0.429257 44.741 -39.8934
0.432368 44.749 -40.1310
0.435501 44.757 -40.3736
0.438656 44.764 -40.6213
0.441835 44.772 -40.8741
0.445037 44.780 -41.1319
0.448262 44.788 -41.3949
0.451510 44.796 -41.6631
0.454782 44.804 -41.9365
0.458077 44.812 -42.2151
0.461397 44.820 -42.4989
0.464740 44.828 -42.7880
0.468108 44.837 -43.0823
0.471500 44.845 -43.3820
0.474917 44.853 -43.6870
0.478358 44.862 -43.9974
0.481825 44.870 -44.3131
0.485316 44.879 -44.6342
0.488833 44.888 -44.9607
0.492375 44.896 -45.2926
0.495943 44.905 -45.6299
0.499537 44.914 -45.9727
0.503157 44.923 -46.3209
0.506803 44.932 -46.6746
0.510475 44.941 -47.0337
0.514175 44.950 -47.3984
0.517900 44.959 -47.7686
0.521653 44.968 -48.1442
0.525434 44.978 -48.5254
0.529241 44.987 -48.9121
0.533076 44.997 -49.3044
0.536939 45.006 -49.7022
0.540830 45.016 -50.1056
0.544749 45.025 -50.5145
0.548696 45.035 -50.9291
0.552673 45.045 -51.3492
0.556677 45.055 -51.7750
0.560711 45.065 -52.2063
0.564774 45.075 -52.6433
0.568867 45.085 -53.0860
0.572989 45.095 -53.5343
0.577141 45.105 -53.9883
0.581324 45.115 -54.4480
0.585536 45.126 -54.9134
0.589779 45.136 -55.3846
0.594053 45.147 -55.8616
0.598358 45.157 -56.3444
0.602694 45.168 -56.8330
0.607061 45.179 -57.3275
0.611460 45.189 -57.8280
0.615891 45.200 -58.3343
0.620354 45.211 -58.8468
0.624849 45.222 -59.3652
0.629377 45.234 -59.8898
0.633938 45.245 -60.4206
0.638532 45.256 -60.9576
0.643159 45.267 -61.5009
0.647819 45.279 -62.0507
0.652514 45.290 -62.6070
0.657242 45.302 -63.1698
0.662005 45.314 -63.7393
0.666802 45.326 -64.3157
0.671634 45.337 -64.8989
0.676501 45.349 -65.4893
0.681403 45.362 -66.0868
0.686341 45.374 -66.6916
0.691314 45.386 -67.3040
0.696324 45.399 -67.9240
0.701370 45.411 -68.5519
0.706452 45.424 -69.1879
0.711571 45.438 -69.8322
0.716728 45.453 -70.4852
0.721921 45.468 -71.1471
0.727153 45.486 -71.8182
0.732422 45.507 -72.4989
0.737729 45.530 -73.1894
0.743075 45.555 -73.8899
0.748460 45.583 -74.6004
0.753883 45.613 -75.3209
0.759346 45.644 -76.0512
0.764849 45.676 -76.7910
0.770391 45.709 -77.5400
0.775974 45.743 -78.2980
0.781597 45.778 -79.0645
0.787261 45.814 -79.8394
0.792966 45.850 -80.6222
0.798712 45.887 -81.4127
0.804500 45.926 -82.2104
0.810329 45.965 -83.0151
0.816201 46.005 -83.8265
0.822116 46.045 -84.6442
0.828073 46.087 -85.4680
0.834074 46.129 -86.2976
0.840118 46.173 -87.1326
0.846206 46.217 -87.9729
0.852338 46.262 -88.8181
0.858514 46.309 -89.6681
0.864735 46.356 -90.5226
0.871001 46.404 -91.3814
0.877313 46.453 -92.2445
0.883670 46.503 -93.1115
0.890074 46.554 -93.9825
0.896524 46.606 -94.8572
0.903020 46.660 -95.7357
0.909564 46.714 -96.6178
0.916155 46.769 -97.5035
0.922794 46.826 -98.3928
0.929481 46.883 -99.2858
0.936216 46.942 -100.1825
0.943000 47.001 -101.0829
0.949834 47.062 -101.9873
0.956717 47.124 -102.8956
0.963649 47.188 -103.8081
0.970632 47.252 -104.7249
0.977666 47.318 -105.6463
0.984750 47.385 -106.5725
0.991886 47.453 -107.5037
0.999074 47.522 -108.4404
1.006314 47.593 -109.3826
1.013606 47.665 -110.3310
1.020951 47.738 -111.2857
1.028349 47.813 -112.2471
1.035801 47.888 -113.2158
1.043307 47.966 -114.1920
1.050867 48.044 -115.1763
1.058482 48.125 -116.1689
1.066152 48.206 -117.1703
1.073878 48.289 -118.1806
1.081660 48.374 -119.1998
1.089498 48.460 -120.2276
1.097393 48.548 -121.2633
1.105345 48.639 -122.3059
1.113355 48.731 -123.3538
1.121423 48.825 -124.4058
1.129549 48.922 -125.4606
1.137734 49.020 -126.5171
1.145979 49.121 -127.5744
1.154283 49.225 -128.6318
1.162647 49.331 -129.6886
1.171072 49.438 -130.7444
1.179558 49.549 -131.7986
1.188106 49.661 -132.8508
1.196715 49.776 -133.9009
1.205387 49.892 -134.9485
1.214122 50.011 -135.9934
1.222920 50.132 -137.0355
1.231782 50.255 -138.0746
1.240708 50.380 -139.1108
1.249699 50.506 -140.1440
1.258754 50.635 -141.1742
1.267876 50.765 -142.2016
1.277063 50.897 -143.2263
1.286318 51.031 -144.2484
1.295639 51.166 -145.2681
1.305027 51.303 -146.2858
1.314484 51.442 -147.3016
1.324009 51.581 -148.3158
1.333604 51.723 -149.3289
1.343268 51.865 -150.3410
1.353002 52.008 -151.3526
1.362806 52.153 -152.3641
1.372681 52.298 -153.3759
1.382628 52.444 -154.3883
1.392647 52.591 -155.4018
1.402739 52.739 -156.4166
1.412904 52.887 -157.4330
1.423142 53.036 -158.4511
1.433455 53.185 -159.4705
1.443843 53.335 -160.4908
1.454305 53.485 -161.5107
1.464844 53.636 -162.5284
1.475459 53.788 -163.5416
1.486150 53.942 -164.5482
1.496920 54.096 -165.5464
1.507767 54.253 -166.5349
1.518693 54.411 -167.5132
1.529698 54.570 -168.4812
1.540783 54.731 -169.4392
1.551948 54.894 -170.3877
1.563194 55.058 -171.3273
1.574521 55.224 -172.2590
1.585931 55.391 -173.1834
1.597423 55.559 -174.1017
1.608999 55.729 -175.0148
1.620658 55.900 -175.9236
1.632402 56.073 -176.8293
1.644232 56.246 -177.7329
1.656146 56.421 -178.6355
1.668147 56.596 -179.5381
1.680235 56.773 179.5581
1.692411 56.950 178.6522
1.704675 57.128 177.7429
1.717028 57.306 176.8294
1.729470 57.485 175.9105
1.742003 57.665 174.9853
1.754626 57.845 174.0529
1.767341 58.025 173.1126
1.780147 58.206 172.1640
1.793047 58.386 171.2070
1.806040 58.567 170.2421
1.819128 58.748 169.2705
1.832310 58.929 168.2944
1.845587 59.111 167.3164
1.858961 59.293 166.3392
1.872432 59.475 165.3649
1.886001 59.658 164.3952
1.899667 59.842 163.4310
1.913433 60.026 162.4726
1.927299 60.210 161.5201
1.941265 60.395 160.5732
1.955332 60.581 159.6313
1.969501 60.767 158.6940
1.983773 60.954 157.7603
1.998148 61.141 156.8297
2.012627 61.328 155.9010
2.027212 61.516 154.9735
2.041902 61.704 154.0462
2.056698 61.893 153.1181
2.071602 62.082 152.1882
2.086614 62.271 151.2554
2.101734 62.460 150.3188
2.116964 62.650 149.3776
2.132304 62.840 148.4309
2.147756 63.030 147.4783
2.163320 63.220 146.5197
2.178996 63.410 145.5558
2.194786 63.600 144.5876
2.210690 63.791 143.6169
2.226710 63.981 142.6459
2.242845 64.171 141.6764
2.259098 64.362 140.7096
2.275468 64.552 139.7462
2.291957 64.743 138.7867
2.308566 64.933 137.8309
2.325295 65.124 136.8785
2.342145 65.315 135.9291
2.359117 65.505 134.9818
2.376212 65.696 134.0359
2.393431 65.887 133.0906
2.410775 66.077 132.1448
2.428244 66.268 131.1977
2.445840 66.459 130.2481
2.463564 66.649 129.2951
2.481416 66.840 128.3378
2.499397 67.031 127.3754
2.517509 67.221 126.4073
2.535752 67.412 125.4334
2.554127 67.602 124.4542
2.572635 67.793 123.4707
2.591277 67.983 122.4843
2.610055 68.173 121.4964
2.628968 68.362 120.5082
2.648019 68.551 119.5207
2.667208 68.741 118.5343
2.686535 68.929 117.5492
2.706003 69.118 116.5654
2.725612 69.306 115.5825
2.745363 69.494 114.6000
2.765257 69.682 113.6175
2.785295 69.869 112.6342
2.805478 70.056 111.6493
2.825808 70.243 110.6619
2.846285 70.430 109.6713
2.866910 70.617 108.6767
2.887685 70.803 107.6775
2.908611 70.989 106.6734
2.929688 71.174 105.6646
2.950917 71.359 104.6515
2.972301 71.544 103.6351
2.993839 71.728 102.6162
3.015534 71.912 101.5959
3.037386 72.095 100.5747
3.059396 72.278 99.5533
3.081565 72.460 98.5318
3.103896 72.641 97.5104
3.126388 72.822 96.4890
3.149043 73.003 95.4672
3.171862 73.183 94.4447
3.194847 73.363 93.4210
3.217998 73.542 92.3954
3.241317 73.720 91.3672
3.264805 73.898 90.3359
3.288463 74.076 89.3009
3.312293 74.253 88.2621
3.336295 74.429 87.2197
3.360471 74.605 86.1740
3.384822 74.780 85.1258
3.409350 74.954 84.0759
3.434056 75.128 83.0248
3.458940 75.300 81.9732
3.484005 75.472 80.9216
3.509252 75.643 79.8700
3.534681 75.814 78.8185
3.560295 75.984 77.7671
3.586094 76.153 76.7152
3.612081 76.322 75.6624
3.638255 76.490 74.6080
3.664620 76.657 73.5513
3.691175 76.823 72.4919
3.717923 76.988 71.4295
3.744864 77.153 70.3644
3.772001 77.317 69.2972
3.799335 77.479 68.2287
3.826866 77.641 67.1596
3.854597 77.802 66.0908
3.882529 77.962 65.0226
3.910664 78.122 63.9556
3.939002 78.280 62.8897
3.967546 78.438 61.8248
3.996296 78.595 60.7604
4.025255 78.751 59.6956
4.054423 78.906 58.6298
4.083804 79.060 57.5624
4.113396 79.213 56.4933
4.143204 79.365 55.4228
4.173227 79.516 54.3518
4.203468 79.667 53.2809
4.233928 79.816 52.2112
4.264609 79.964 51.1431
4.295512 80.112 50.0773
4.326639 80.258 49.0137
4.357992 80.404 47.9523
4.389572 80.549 46.8923
4.421380 80.693 45.8330
4.453419 80.836 44.7737
4.485691 80.978 43.7141
4.518196 81.118 42.6546
4.550936 81.258 41.5956
4.583914 81.397 40.5380
4.617131 81.535 39.4825
4.650589 81.672 38.4298
4.684289 81.809 37.3803
4.718233 81.944 36.3339
4.752424 82.079 35.2903
4.786862 82.213 34.2489
4.821549 82.346 33.2089
4.856488 82.478 32.1702
4.891680 82.609 31.1326
4.927127 82.739 30.0968
4.962831 82.868 29.0632
4.998794 82.996 28.0325
5.035017 83.124 27.0051
5.071503 83.251 25.9814
5.108253 83.377 24.9611
5.145270 83.503 23.9438
5.182555 83.627 22.9291
5.220110 83.751 21.9164
5.257937 83.874 20.9056
5.296038 83.997 19.8972
5.334415 84.118 18.8914
5.373071 84.239 17.8886
5.412006 84.359 16.8892
5.451224 84.479 15.8931
5.490725 84.598 14.9001
5.530514 84.716 13.9102
5.570590 84.834 12.9225
5.610957 84.951 11.9371
5.651616 85.067 10.9539
5.692570 85.183 9.9731
5.733821 85.298 8.9950
5.775370 85.412 8.0197
5.817221 85.526 7.0471
5.859375 85.640 6.0773
5.901834 85.752 5.1097
5.944602 85.864 4.1442
5.987679 85.976 3.1806
6.031068 86.087 2.2189
6.074771 86.197 1.2593
6.118792 86.307 0.3018
6.163131 86.416 -0.6534
6.207792 86.524 -1.6064
6.252776 86.632 -2.5575
6.298086 86.739 -3.5070
6.343725 86.846 -4.4550
6.389694 86.952 -5.4014
6.435996 87.057 -6.3462
6.482634 87.162 -7.2891
6.529610 87.265 -8.2300
6.576926 87.369 -9.1692
6.624585 87.471 -10.1066
