* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 27, 25 12:16:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Elysian Pilgrim L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.475 -27.5789
0.368865 46.477 -27.6346
0.371538 46.479 -27.7179
0.374230 46.482 -27.8219
0.376942 46.485 -27.9411
0.379673 46.488 -28.0711
0.382424 46.492 -28.2093
0.385196 46.495 -28.3538
0.387987 46.499 -28.5038
0.390798 46.502 -28.6586
0.393630 46.506 -28.8181
0.396483 46.510 -28.9820
0.399356 46.514 -29.1503
0.402250 46.517 -29.3231
0.405165 46.521 -29.5004
0.408101 46.525 -29.6820
0.411058 46.529 -29.8682
0.414037 46.533 -30.0589
0.417037 46.536 -30.2541
0.420059 46.540 -30.4538
0.423103 46.544 -30.6582
0.426169 46.548 -30.8672
0.429257 46.552 -31.0808
0.432368 46.556 -31.2990
0.435501 46.560 -31.5220
0.438656 46.565 -31.7497
0.441835 46.569 -31.9821
0.445037 46.573 -32.2193
0.448262 46.577 -32.4613
0.451510 46.581 -32.7080
0.454782 46.586 -32.9596
0.458077 46.590 -33.2160
0.461397 46.594 -33.4772
0.464740 46.598 -33.7433
0.468108 46.603 -34.0143
0.471500 46.607 -34.2902
0.474917 46.612 -34.5710
0.478358 46.616 -34.8567
0.481825 46.621 -35.1473
0.485316 46.625 -35.4429
0.488833 46.630 -35.7435
0.492375 46.634 -36.0490
0.495943 46.639 -36.3595
0.499537 46.644 -36.6750
0.503157 46.648 -36.9955
0.506803 46.653 -37.3210
0.510475 46.658 -37.6516
0.514175 46.663 -37.9871
0.517900 46.667 -38.3278
0.521653 46.672 -38.6735
0.525434 46.677 -39.0243
0.529241 46.682 -39.3801
0.533076 46.687 -39.7411
0.536939 46.692 -40.1073
0.540830 46.697 -40.4785
0.544749 46.702 -40.8549
0.548696 46.707 -41.2366
0.552673 46.713 -41.6234
0.556677 46.718 -42.0155
0.560711 46.723 -42.4128
0.564774 46.728 -42.8154
0.568867 46.734 -43.2234
0.572989 46.739 -43.6368
0.577141 46.744 -44.0555
0.581324 46.750 -44.4797
0.585536 46.755 -44.9095
0.589779 46.761 -45.3448
0.594053 46.766 -45.7857
0.598358 46.772 -46.2323
0.602694 46.778 -46.6846
0.607061 46.783 -47.1428
0.611460 46.789 -47.6070
0.615891 46.795 -48.0771
0.620354 46.801 -48.5534
0.624849 46.806 -49.0358
0.629377 46.812 -49.5246
0.633938 46.818 -50.0199
0.638532 46.824 -50.5217
0.643159 46.830 -51.0303
0.647819 46.836 -51.5458
0.652514 46.842 -52.0683
0.657242 46.848 -52.5981
0.662005 46.855 -53.1353
0.666802 46.861 -53.6802
0.671634 46.867 -54.2330
0.676501 46.874 -54.7939
0.681403 46.880 -55.3632
0.686341 46.886 -55.9411
0.691314 46.893 -56.5280
0.696324 46.899 -57.1243
0.701370 46.906 -57.7302
0.706452 46.913 -58.3462
0.711571 46.921 -58.9729
0.716728 46.929 -59.6109
0.721921 46.938 -60.2607
0.727153 46.948 -60.9234
0.732422 46.960 -61.5997
0.737729 46.973 -62.2908
0.743075 46.989 -62.9973
0.748460 47.005 -63.7198
0.753883 47.023 -64.4588
0.759346 47.041 -65.2141
0.764849 47.060 -65.9857
0.770391 47.080 -66.7734
0.775974 47.099 -67.5769
0.781597 47.119 -68.3958
0.787261 47.139 -69.2298
0.792966 47.160 -70.0785
0.798712 47.180 -70.9414
0.804500 47.201 -71.8182
0.810329 47.223 -72.7084
0.816201 47.245 -73.6115
0.822116 47.267 -74.5271
0.828073 47.290 -75.4548
0.834074 47.313 -76.3941
0.840118 47.337 -77.3445
0.846206 47.361 -78.3058
0.852338 47.386 -79.2773
0.858514 47.412 -80.2588
0.864735 47.438 -81.2499
0.871001 47.465 -82.2501
0.877313 47.493 -83.2593
0.883670 47.521 -84.2770
0.890074 47.551 -85.3030
0.896524 47.581 -86.3371
0.903020 47.612 -87.3791
0.909564 47.644 -88.4288
0.916155 47.677 -89.4860
0.922794 47.712 -90.5508
0.929481 47.747 -91.6231
0.936216 47.784 -92.7029
0.943000 47.822 -93.7903
0.949834 47.861 -94.8854
0.956717 47.902 -95.9884
0.963649 47.944 -97.0995
0.970632 47.987 -98.2190
0.977666 48.032 -99.3472
0.984750 48.079 -100.4845
0.991886 48.128 -101.6314
0.999074 48.178 -102.7884
1.006314 48.230 -103.9561
1.013606 48.285 -105.1351
1.020951 48.341 -106.3260
1.028349 48.399 -107.5297
1.035801 48.460 -108.7469
1.043307 48.523 -109.9784
1.050867 48.588 -111.2252
1.058482 48.656 -112.4882
1.066152 48.726 -113.7683
1.073878 48.800 -115.0664
1.081660 48.876 -116.3831
1.089498 48.955 -117.7189
1.097393 49.037 -119.0738
1.105345 49.122 -120.4469
1.113355 49.211 -121.8371
1.121423 49.303 -123.2424
1.129549 49.399 -124.6608
1.137734 49.498 -126.0901
1.145979 49.601 -127.5279
1.154283 49.707 -128.9721
1.162647 49.817 -130.4205
1.171072 49.930 -131.8712
1.179558 50.046 -133.3223
1.188106 50.165 -134.7722
1.196715 50.288 -136.2192
1.205387 50.414 -137.6619
1.214122 50.543 -139.0992
1.222920 50.675 -140.5300
1.231782 50.810 -141.9534
1.240708 50.948 -143.3686
1.249699 51.088 -144.7750
1.258754 51.231 -146.1723
1.267876 51.377 -147.5602
1.277063 51.525 -148.9386
1.286318 51.676 -150.3074
1.295639 51.829 -151.6668
1.305027 51.984 -153.0171
1.314484 52.141 -154.3586
1.324009 52.300 -155.6919
1.333604 52.460 -157.0174
1.343268 52.623 -158.3358
1.353002 52.786 -159.6479
1.362806 52.951 -160.9544
1.372681 53.117 -162.2561
1.382628 53.284 -163.5540
1.392647 53.452 -164.8489
1.402739 53.620 -166.1416
1.412904 53.789 -167.4329
1.423142 53.958 -168.7235
1.433455 54.128 -170.0135
1.443843 54.298 -171.3029
1.454305 54.468 -172.5905
1.464844 54.640 -173.8748
1.475459 54.813 -175.1531
1.486150 54.987 -176.4228
1.496920 55.163 -177.6814
1.507767 55.342 -178.9268
1.518693 55.523 179.8420
1.529698 55.706 178.6259
1.540783 55.892 177.4251
1.551948 56.079 176.2395
1.563194 56.269 175.0686
1.574521 56.461 173.9118
1.585931 56.655 172.7683
1.597423 56.850 171.6372
1.608999 57.047 170.5174
1.620658 57.246 169.4078
1.632402 57.447 168.3071
1.644232 57.648 167.2140
1.656146 57.851 166.1272
1.668147 58.055 165.0454
1.680235 58.259 163.9670
1.692411 58.465 162.8908
1.704675 58.671 161.8152
1.717028 58.877 160.7387
1.729470 59.083 159.6600
1.742003 59.290 158.5777
1.754626 59.496 157.4905
1.767341 59.702 156.3971
1.780147 59.907 155.2967
1.793047 60.112 154.1887
1.806040 60.316 153.0732
1.819128 60.519 151.9510
1.832310 60.722 150.8240
1.845587 60.925 149.6945
1.858961 61.127 148.5654
1.872432 61.329 147.4393
1.886001 61.531 146.3181
1.899667 61.733 145.2035
1.913433 61.935 144.0963
1.927299 62.137 142.9969
1.941265 62.339 141.9057
1.955332 62.541 140.8224
1.969501 62.743 139.7468
1.983773 62.945 138.6783
1.998148 63.147 137.6162
2.012627 63.349 136.5598
2.027212 63.551 135.5082
2.041902 63.753 134.4604
2.056698 63.955 133.4153
2.071602 64.157 132.3718
2.086614 64.358 131.3286
2.101734 64.560 130.2845
2.116964 64.761 129.2383
2.132304 64.962 128.1891
2.147756 65.163 127.1357
2.163320 65.363 126.0776
2.178996 65.563 125.0146
2.194786 65.763 123.9474
2.210690 65.962 122.8769
2.226710 66.161 121.8047
2.242845 66.359 120.7327
2.259098 66.557 119.6620
2.275468 66.754 118.5941
2.291957 66.950 117.5295
2.308566 67.146 116.4688
2.325295 67.341 115.4122
2.342145 67.536 114.3597
2.359117 67.730 113.3110
2.376212 67.924 112.2658
2.393431 68.117 111.2235
2.410775 68.310 110.1834
2.428244 68.502 109.1448
2.445840 68.694 108.1066
2.463564 68.886 107.0680
2.481416 69.077 106.0280
2.499397 69.268 104.9854
2.517509 69.458 103.9394
2.535752 69.648 102.8894
2.554127 69.838 101.8348
2.572635 70.027 100.7759
2.591277 70.215 99.7132
2.610055 70.403 98.6476
2.628968 70.590 97.5802
2.648019 70.776 96.5120
2.667208 70.961 95.4439
2.686535 71.146 94.3766
2.706003 71.330 93.3107
2.725612 71.513 92.2464
2.745363 71.695 91.1840
2.765257 71.876 90.1233
2.785295 72.057 89.0640
2.805478 72.238 88.0059
2.825808 72.417 86.9483
2.846285 72.596 85.8906
2.866910 72.775 84.8318
2.887685 72.953 83.7713
2.908611 73.130 82.7081
2.929688 73.307 81.6414
2.950917 73.483 80.5710
2.972301 73.658 79.4968
2.993839 73.832 78.4194
3.015534 74.006 77.3394
3.037386 74.178 76.2577
3.059396 74.349 75.1753
3.081565 74.520 74.0930
3.103896 74.689 73.0114
3.126388 74.858 71.9309
3.149043 75.026 70.8519
3.171862 75.193 69.7745
3.194847 75.359 68.6985
3.217998 75.525 67.6234
3.241317 75.690 66.5487
3.264805 75.854 65.4735
3.288463 76.018 64.3967
3.312293 76.180 63.3175
3.336295 76.342 62.2351
3.360471 76.502 61.1495
3.384822 76.662 60.0610
3.409350 76.820 58.9704
3.434056 76.978 57.8785
3.458940 77.134 56.7864
3.484005 77.290 55.6949
3.509252 77.444 54.6047
3.534681 77.598 53.5165
3.560295 77.750 52.4304
3.586094 77.902 51.3463
3.612081 78.054 50.2639
3.638255 78.204 49.1823
3.664620 78.353 48.1005
3.691175 78.501 47.0174
3.717923 78.649 45.9322
3.744864 78.795 44.8448
3.772001 78.940 43.7554
3.799335 79.084 42.6650
3.826866 79.227 41.5744
3.854597 79.369 40.4846
3.882529 79.510 39.3965
3.910664 79.650 38.3109
3.939002 79.790 37.2280
3.967546 79.928 36.1479
3.996296 80.065 35.0701
4.025255 80.202 33.9938
4.054423 80.337 32.9179
4.083804 80.472 31.8414
4.113396 80.605 30.7640
4.143204 80.738 29.6857
4.173227 80.869 28.6072
4.203468 81.000 27.5292
4.233928 81.129 26.4528
4.264609 81.257 25.3787
4.295512 81.385 24.3076
4.326639 81.512 23.2397
4.357992 81.637 22.1750
4.389572 81.762 21.1128
4.421380 81.886 20.0521
4.453419 82.010 18.9921
4.485691 82.132 17.9324
4.518196 82.253 16.8729
4.550936 82.373 15.8142
4.583914 82.492 14.7569
4.617131 82.611 13.7018
4.650589 82.728 12.6494
4.684289 82.845 11.6004
4.718233 82.961 10.5546
4.752424 83.076 9.5118
4.786862 83.190 8.4712
4.821549 83.304 7.4321
4.856488 83.416 6.3940
4.891680 83.528 5.3569
4.927127 83.639 4.3212
4.962831 83.749 3.2874
4.998794 83.858 2.2559
5.035017 83.966 1.2274
5.071503 84.074 0.2020
5.108253 84.181 -0.8206
5.145270 84.287 -1.8406
5.182555 84.393 -2.8589
5.220110 84.498 -3.8757
5.257937 84.601 -4.8912
5.296038 84.705 -5.9052
5.334415 84.807 -6.9172
5.373071 84.909 -7.9270
5.412006 85.009 -8.9341
5.451224 85.110 -9.9384
5.490725 85.209 -10.9403
5.530514 85.308 -11.9401
5.570590 85.406 -12.9384
5.610957 85.503 -13.9352
5.651616 85.600 -14.9306
5.692570 85.696 -15.9243
5.733821 85.791 -16.9158
5.775370 85.885 -17.9050
5.817221 85.979 -18.8917
5.859375 86.072 -19.8762
5.901834 86.164 -20.8588
5.944602 86.255 -21.8397
5.987679 86.346 -22.8192
6.031068 86.436 -23.7972
6.074771 86.525 -24.7734
6.118792 86.614 -25.7473
6.163131 86.702 -26.7190
6.207792 86.789 -27.6882
6.252776 86.875 -28.6554
6.298086 86.961 -29.6207
6.343725 87.046 -30.5845
6.389694 87.130 -31.5466
6.435996 87.213 -32.5067
6.482634 87.296 -33.4648
6.529610 87.378 -34.4204
6.576926 87.459 -35.3737
