* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 27, 25 12:14:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Elysian Pilgrim R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.212 -24.5179
0.368865 43.215 -24.5767
0.371538 43.220 -24.6645
0.374230 43.225 -24.7740
0.376942 43.232 -24.8992
0.379673 43.239 -25.0356
0.382424 43.247 -25.1802
0.385196 43.254 -25.3313
0.387987 43.262 -25.4877
0.390798 43.270 -25.6488
0.393630 43.278 -25.8145
0.396483 43.286 -25.9844
0.399356 43.294 -26.1587
0.402250 43.302 -26.3371
0.405165 43.310 -26.5199
0.408101 43.318 -26.7068
0.411058 43.326 -26.8981
0.414037 43.335 -27.0937
0.417037 43.343 -27.2936
0.420059 43.352 -27.4978
0.423103 43.360 -27.7064
0.426169 43.369 -27.9194
0.429257 43.377 -28.1368
0.432368 43.386 -28.3586
0.435501 43.395 -28.5848
0.438656 43.404 -28.8155
0.441835 43.412 -29.0506
0.445037 43.421 -29.2902
0.448262 43.430 -29.5343
0.451510 43.440 -29.7829
0.454782 43.449 -30.0360
0.458077 43.458 -30.2936
0.461397 43.467 -30.5558
0.464740 43.477 -30.8225
0.468108 43.486 -31.0938
0.471500 43.495 -31.3696
0.474917 43.505 -31.6501
0.478358 43.515 -31.9351
0.481825 43.524 -32.2247
0.485316 43.534 -32.5189
0.488833 43.544 -32.8177
0.492375 43.554 -33.1212
0.495943 43.564 -33.4293
0.499537 43.574 -33.7420
0.503157 43.584 -34.0594
0.506803 43.594 -34.3815
0.510475 43.604 -34.7083
0.514175 43.615 -35.0398
0.517900 43.625 -35.3760
0.521653 43.636 -35.7170
0.525434 43.646 -36.0627
0.529241 43.657 -36.4133
0.533076 43.668 -36.7686
0.536939 43.679 -37.1288
0.540830 43.689 -37.4938
0.544749 43.700 -37.8638
0.548696 43.711 -38.2387
0.552673 43.723 -38.6185
0.556677 43.734 -39.0034
0.560711 43.745 -39.3934
0.564774 43.756 -39.7885
0.568867 43.768 -40.1887
0.572989 43.779 -40.5942
0.577141 43.791 -41.0051
0.581324 43.803 -41.4212
0.585536 43.814 -41.8429
0.589779 43.826 -42.2700
0.594053 43.838 -42.7028
0.598358 43.850 -43.1414
0.602694 43.862 -43.5857
0.607061 43.875 -44.0360
0.611460 43.887 -44.4924
0.615891 43.899 -44.9550
0.620354 43.912 -45.4239
0.624849 43.924 -45.8993
0.629377 43.937 -46.3814
0.633938 43.950 -46.8703
0.638532 43.963 -47.3662
0.643159 43.976 -47.8693
0.647819 43.989 -48.3799
0.652514 44.002 -48.8981
0.657242 44.015 -49.4242
0.662005 44.028 -49.9585
0.666802 44.042 -50.5012
0.671634 44.055 -51.0527
0.676501 44.069 -51.6132
0.681403 44.083 -52.1831
0.686341 44.097 -52.7627
0.691314 44.111 -53.3524
0.696324 44.125 -53.9527
0.701370 44.139 -54.5640
0.706452 44.154 -55.1868
0.711571 44.169 -55.8216
0.716728 44.185 -56.4691
0.721921 44.201 -57.1298
0.727153 44.220 -57.8046
0.732422 44.240 -58.4941
0.737729 44.262 -59.1990
0.743075 44.285 -59.9199
0.748460 44.311 -60.6568
0.753883 44.337 -61.4100
0.759346 44.364 -62.1792
0.764849 44.392 -62.9641
0.770391 44.420 -63.7644
0.775974 44.449 -64.5797
0.781597 44.478 -65.4095
0.787261 44.508 -66.2533
0.792966 44.538 -67.1108
0.798712 44.568 -67.9812
0.804500 44.599 -68.8643
0.810329 44.630 -69.7594
0.816201 44.662 -70.6661
0.822116 44.695 -71.5839
0.828073 44.727 -72.5124
0.834074 44.761 -73.4509
0.840118 44.795 -74.3992
0.846206 44.830 -75.3568
0.852338 44.866 -76.3232
0.858514 44.902 -77.2981
0.864735 44.939 -78.2812
0.871001 44.977 -79.2722
0.877313 45.015 -80.2707
0.883670 45.055 -81.2766
0.890074 45.095 -82.2896
0.896524 45.137 -83.3095
0.903020 45.179 -84.3364
0.909564 45.222 -85.3701
0.916155 45.267 -86.4107
0.922794 45.313 -87.4581
0.929481 45.359 -88.5124
0.936216 45.408 -89.5739
0.943000 45.457 -90.6426
0.949834 45.508 -91.7189
0.956717 45.560 -92.8031
0.963649 45.614 -93.8955
0.970632 45.669 -94.9966
0.977666 45.726 -96.1069
0.984750 45.784 -97.2268
0.991886 45.844 -98.3570
0.999074 45.906 -99.4981
1.006314 45.970 -100.6508
1.013606 46.036 -101.8160
1.020951 46.103 -102.9943
1.028349 46.173 -104.1868
1.035801 46.245 -105.3942
1.043307 46.319 -106.6175
1.050867 46.396 -107.8578
1.058482 46.475 -109.1160
1.066152 46.557 -110.3929
1.073878 46.641 -111.6895
1.081660 46.728 -113.0062
1.089498 46.818 -114.3430
1.097393 46.911 -115.6994
1.105345 47.007 -117.0741
1.113355 47.106 -118.4650
1.121423 47.209 -119.8698
1.129549 47.315 -121.2857
1.137734 47.424 -122.7101
1.145979 47.537 -124.1405
1.154283 47.653 -125.5746
1.162647 47.773 -127.0102
1.171072 47.896 -128.4454
1.179558 48.022 -129.8782
1.188106 48.152 -131.3072
1.196715 48.284 -132.7309
1.205387 48.420 -134.1481
1.214122 48.559 -135.5578
1.222920 48.701 -136.9590
1.231782 48.845 -138.3512
1.240708 48.993 -139.7338
1.249699 49.143 -141.1066
1.258754 49.295 -142.4693
1.267876 49.450 -143.8219
1.277063 49.608 -145.1647
1.286318 49.768 -146.4978
1.295639 49.930 -147.8216
1.305027 50.094 -149.1366
1.314484 50.260 -150.4435
1.324009 50.428 -151.7428
1.333604 50.598 -153.0354
1.343268 50.769 -154.3221
1.353002 50.941 -155.6038
1.362806 51.115 -156.8814
1.372681 51.290 -158.1559
1.382628 51.465 -159.4283
1.392647 51.642 -160.6996
1.402739 51.819 -161.9707
1.412904 51.996 -163.2424
1.423142 52.174 -164.5153
1.433455 52.352 -165.7896
1.443843 52.530 -167.0647
1.454305 52.709 -168.3393
1.464844 52.889 -169.6113
1.475459 53.070 -170.8776
1.486150 53.252 -172.1348
1.496920 53.436 -173.3800
1.507767 53.623 -174.6112
1.518693 53.811 -175.8269
1.529698 54.001 -177.0266
1.540783 54.194 -178.2100
1.551948 54.389 -179.3776
1.563194 54.585 179.4700
1.574521 54.784 178.3321
1.585931 54.984 177.2076
1.597423 55.187 176.0953
1.608999 55.390 174.9941
1.620658 55.595 173.9026
1.632402 55.802 172.8193
1.644232 56.010 171.7430
1.656146 56.219 170.6721
1.668147 56.428 169.6050
1.680235 56.639 168.5403
1.692411 56.850 167.4765
1.704675 57.062 166.4120
1.717028 57.275 165.3452
1.729470 57.487 164.2748
1.742003 57.699 163.1993
1.754626 57.912 162.1173
1.767341 58.124 161.0278
1.780147 58.335 159.9299
1.793047 58.547 158.8231
1.806040 58.757 157.7079
1.819128 58.967 156.5854
1.832310 59.176 155.4578
1.845587 59.385 154.3282
1.858961 59.594 153.1999
1.872432 59.803 152.0757
1.886001 60.012 150.9577
1.899667 60.220 149.8475
1.913433 60.429 148.7458
1.927299 60.638 147.6531
1.941265 60.846 146.5693
1.955332 61.055 145.4940
1.969501 61.264 144.4266
1.983773 61.473 143.3665
1.998148 61.681 142.3128
2.012627 61.890 141.2645
2.027212 62.099 140.2204
2.041902 62.307 139.1795
2.056698 62.516 138.1404
2.071602 62.724 137.1020
2.086614 62.933 136.0628
2.101734 63.141 135.0216
2.116964 63.349 133.9772
2.132304 63.557 132.9283
2.147756 63.765 131.8741
2.163320 63.972 130.8142
2.178996 64.179 129.7487
2.194786 64.386 128.6785
2.210690 64.593 127.6052
2.226710 64.798 126.5308
2.242845 65.004 125.4572
2.259098 65.209 124.3862
2.275468 65.413 123.3188
2.291957 65.617 122.2559
2.308566 65.820 121.1975
2.325295 66.023 120.1439
2.342145 66.225 119.0948
2.359117 66.427 118.0496
2.376212 66.628 117.0078
2.393431 66.829 115.9685
2.410775 67.029 114.9311
2.428244 67.229 113.8943
2.445840 67.429 112.8571
2.463564 67.628 111.8186
2.481416 67.827 110.7774
2.499397 68.025 109.7327
2.517509 68.224 108.6834
2.535752 68.422 107.6291
2.554127 68.619 106.5696
2.572635 68.816 105.5056
2.591277 69.012 104.4379
2.610055 69.208 103.3678
2.628968 69.403 102.2965
2.648019 69.597 101.2253
2.667208 69.791 100.1548
2.686535 69.983 99.0858
2.706003 70.175 98.0185
2.725612 70.366 96.9531
2.745363 70.557 95.8895
2.765257 70.747 94.8274
2.785295 70.936 93.7663
2.805478 71.124 92.7056
2.825808 71.313 91.6445
2.846285 71.500 90.5823
2.866910 71.687 89.5181
2.887685 71.874 88.4509
2.908611 72.060 87.3801
2.929688 72.245 86.3051
2.950917 72.430 85.2260
2.972301 72.613 84.1432
2.993839 72.796 83.0573
3.015534 72.978 81.9692
3.037386 73.159 80.8799
3.059396 73.339 79.7901
3.081565 73.519 78.7006
3.103896 73.697 77.6119
3.126388 73.875 76.5241
3.149043 74.051 75.4374
3.171862 74.227 74.3517
3.194847 74.403 73.2665
3.217998 74.577 72.1813
3.241317 74.751 71.0955
3.264805 74.924 70.0079
3.288463 75.097 68.9179
3.312293 75.268 67.8247
3.336295 75.439 66.7278
3.360471 75.608 65.6274
3.384822 75.777 64.5241
3.409350 75.944 63.4186
3.434056 76.111 62.3119
3.458940 76.276 61.2049
3.484005 76.441 60.0983
3.509252 76.604 58.9928
3.534681 76.767 57.8886
3.560295 76.929 56.7860
3.586094 77.090 55.6846
3.612081 77.250 54.5839
3.638255 77.409 53.4830
3.664620 77.567 52.3810
3.691175 77.724 51.2767
3.717923 77.881 50.1697
3.744864 78.036 49.0599
3.772001 78.190 47.9478
3.799335 78.342 46.8344
3.826866 78.494 45.7205
3.854597 78.645 44.6071
3.882529 78.794 43.4952
3.910664 78.943 42.3853
3.939002 79.091 41.2776
3.967546 79.237 40.1722
3.996296 79.383 39.0683
4.025255 79.528 37.9651
4.054423 79.672 36.8615
4.083804 79.814 35.7564
4.113396 79.956 34.6498
4.143204 80.096 33.5417
4.173227 80.235 32.4330
4.203468 80.373 31.3245
4.233928 80.510 30.2173
4.264609 80.646 29.1124
4.295512 80.781 28.0103
4.326639 80.915 26.9111
4.357992 81.048 25.8149
4.389572 81.180 24.7207
4.421380 81.310 23.6276
4.453419 81.440 22.5347
4.485691 81.569 21.4414
4.518196 81.696 20.3481
4.550936 81.823 19.2552
4.583914 81.948 18.1636
4.617131 82.072 17.0743
4.650589 82.196 15.9880
4.684289 82.318 14.9052
4.718233 82.440 13.8259
4.752424 82.560 12.7498
4.786862 82.680 11.6758
4.821549 82.798 10.6034
4.856488 82.915 9.5319
4.891680 83.032 8.4614
4.927127 83.147 7.3925
4.962831 83.261 6.3256
4.998794 83.375 5.2617
5.035017 83.487 4.2012
5.071503 83.599 3.1445
5.108253 83.710 2.0913
5.145270 83.820 1.0413
5.182555 83.929 -0.0065
5.220110 84.037 -1.0524
5.257937 84.144 -2.0964
5.296038 84.250 -3.1385
5.334415 84.355 -4.1781
5.373071 84.460 -5.2146
5.412006 84.564 -6.2476
5.451224 84.666 -7.2771
5.490725 84.769 -8.3032
5.530514 84.870 -9.3264
5.570590 84.970 -10.3473
5.610957 85.070 -11.3660
5.651616 85.169 -12.3826
5.692570 85.267 -13.3967
5.733821 85.364 -14.4081
5.775370 85.460 -15.4163
5.817221 85.556 -16.4213
5.859375 85.651 -17.4232
5.901834 85.745 -18.4225
5.944602 85.839 -19.4196
5.987679 85.931 -20.4146
6.031068 86.023 -21.4073
6.074771 86.114 -22.3977
6.118792 86.205 -23.3854
6.163131 86.294 -24.3701
6.207792 86.383 -25.3522
6.252776 86.471 -26.3315
6.298086 86.559 -27.3087
6.343725 86.645 -28.2839
6.389694 86.731 -29.2570
6.435996 86.816 -30.2278
6.482634 86.900 -31.1962
6.529610 86.984 -32.1618
6.576926 87.067 -33.1248
