* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 17, 2024 12:07:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FatFreq x HBB Deuce R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.005 -174.5311
20.287556 103.000 -174.7464
20.434568 102.992 -175.0553
20.582645 102.982 -175.4033
20.731796 102.972 -175.7680
20.882027 102.962 -176.1440
21.033346 102.952 -176.5318
21.185763 102.943 -176.9328
21.339284 102.935 -177.3482
21.493917 102.927 -177.7778
21.649671 102.919 -178.2196
21.806553 102.912 -178.6709
21.964572 102.904 -179.1268
22.123737 102.896 -179.5822
22.284054 102.887 179.9684
22.445534 102.878 179.5307
22.608183 102.868 179.1088
22.772012 102.857 178.7065
22.937027 102.846 178.3257
23.103238 102.835 177.9660
23.270654 102.824 177.6260
23.439282 102.813 177.3015
23.609133 102.802 176.9870
23.780215 102.792 176.6759
23.952536 102.782 176.3605
24.126106 102.772 176.0335
24.300934 102.763 175.6879
24.477028 102.753 175.3190
24.654399 102.742 174.9238
24.833055 102.730 174.5026
25.013005 102.717 174.0590
25.194260 102.703 173.5993
25.376828 102.688 173.1334
25.560719 102.671 172.6718
25.745942 102.655 172.2265
25.932508 102.640 171.8075
26.120426 102.627 171.4225
26.309705 102.617 171.0749
26.500356 102.612 170.7631
26.692388 102.610 170.4812
26.885812 102.611 170.2191
27.080638 102.614 169.9652
27.276876 102.616 169.7076
27.474535 102.616 169.4374
27.673627 102.609 169.1487
27.874161 102.595 168.8407
28.076149 102.572 168.5157
28.279600 102.540 168.1791
28.484526 102.500 167.8360
28.690937 102.455 167.4901
28.898843 102.409 167.1413
29.108256 102.364 166.7856
29.319186 102.324 166.4159
29.531645 102.291 166.0236
29.745644 102.265 165.6022
29.961193 102.246 165.1496
30.178304 102.232 164.6703
30.396989 102.221 164.1750
30.617258 102.210 163.6792
30.839123 102.199 163.2002
31.062596 102.185 162.7523
31.287688 102.170 162.3449
31.514412 102.153 161.9789
31.742778 102.135 161.6478
31.972800 102.117 161.3383
32.204488 102.098 161.0354
32.437855 102.077 160.7242
32.672913 102.055 160.3946
32.909674 102.030 160.0422
33.148151 102.003 159.6682
33.388356 101.975 159.2775
33.630302 101.946 158.8766
33.874001 101.918 158.4719
34.119466 101.892 158.0682
34.366710 101.867 157.6689
34.615745 101.844 157.2766
34.866585 101.821 156.8937
35.119243 101.797 156.5228
35.373731 101.771 156.1657
35.630064 101.744 155.8228
35.888254 101.714 155.4919
36.148315 101.682 155.1681
36.410261 101.650 154.8452
36.674104 101.617 154.5171
36.939860 101.584 154.1797
37.207542 101.552 153.8324
37.477163 101.520 153.4770
37.748738 101.490 153.1168
38.022281 101.461 152.7551
38.297806 101.434 152.3931
38.575327 101.408 152.0303
38.854860 101.383 151.6655
39.136419 101.356 151.2977
39.420017 101.327 150.9279
39.705671 101.294 150.5585
39.993395 101.259 150.1924
40.283203 101.221 149.8318
40.575112 101.183 149.4768
40.869136 101.145 149.1254
41.165290 101.108 148.7747
41.463591 101.073 148.4225
41.764053 101.039 148.0682
42.066693 101.006 147.7132
42.371525 100.972 147.3603
42.678567 100.936 147.0124
42.987834 100.899 146.6713
43.299341 100.861 146.3370
43.613106 100.820 146.0072
43.929145 100.780 145.6773
44.247473 100.739 145.3413
44.568109 100.698 144.9940
44.891068 100.659 144.6332
45.216367 100.620 144.2614
45.544023 100.581 143.8856
45.874054 100.543 143.5151
46.206476 100.505 143.1574
46.541307 100.467 142.8151
46.878565 100.428 142.4850
47.218266 100.388 142.1616
47.560429 100.346 141.8419
47.905072 100.300 141.5273
48.252212 100.251 141.2218
48.601867 100.202 140.9261
48.954056 100.156 140.6337
49.308798 100.113 140.3325
49.666109 100.072 140.0127
50.026010 100.032 139.6757
50.388520 99.989 139.3353
50.753656 99.941 139.0106
51.121437 99.891 138.7116
51.491884 99.841 138.4306
51.865016 99.793 138.1442
52.240851 99.745 137.8288
52.619410 99.697 137.4766
53.000712 99.645 137.1007
53.384777 99.592 136.7263
53.771625 99.540 136.3730
54.161276 99.491 136.0452
54.553751 99.446 135.7337
54.949070 99.402 135.4280
55.347254 99.355 135.1239
55.748323 99.305 134.8221
56.152298 99.252 134.5203
56.559201 99.197 134.2102
56.969052 99.141 133.8850
57.381873 99.084 133.5500
57.797686 99.025 133.2236
58.216512 98.967 132.9253
58.638373 98.913 132.6586
59.063291 98.864 132.4061
59.491288 98.817 132.1409
59.922386 98.769 131.8458
60.356608 98.716 131.5239
60.793977 98.657 131.1934
61.234515 98.594 130.8734
61.678246 98.531 130.5725
62.125192 98.471 130.2877
62.575377 98.413 130.0104
63.028824 98.356 129.7350
63.485557 98.297 129.4643
63.945599 98.235 129.2071
64.408975 98.171 128.9671
64.875709 98.110 128.7329
65.345825 98.053 128.4806
65.819348 97.998 128.1937
66.296302 97.938 127.8853
66.776713 97.870 127.5970
67.260604 97.794 127.3695
67.748002 97.717 127.2070
68.238932 97.643 127.0671
68.733420 97.574 126.8855
69.231490 97.509 126.6150
69.733170 97.442 126.2537
70.238485 97.372 125.8461
70.747463 97.299 125.4593
71.260128 97.227 125.1432
71.776508 97.160 124.9020
72.296630 97.097 124.6996
72.820521 97.033 124.4970
73.348209 96.964 124.2808
73.879720 96.891 124.0544
74.415083 96.816 123.8145
74.954326 96.743 123.5543
75.497475 96.671 123.2859
76.044561 96.598 123.0389
76.595612 96.526 122.8295
77.150655 96.454 122.6436
77.709720 96.379 122.4590
78.272837 96.300 122.2693
78.840034 96.218 122.0757
79.411342 96.138 121.8708
79.986789 96.060 121.6486
80.566406 95.984 121.4230
81.150224 95.907 121.2185
81.738272 95.830 121.0435
82.330581 95.752 120.8842
82.927182 95.672 120.7225
83.528107 95.591 120.5535
84.133386 95.508 120.3824
84.743051 95.425 120.2118
85.357134 95.342 120.0364
85.975667 95.258 119.8509
86.598682 95.171 119.6620
87.226212 95.083 119.4864
87.858289 94.996 119.3324
88.494946 94.911 119.1889
89.136217 94.826 119.0392
89.782135 94.739 118.8830
90.432733 94.649 118.7396
91.088046 94.558 118.6251
91.748108 94.471 118.5284
92.412952 94.386 118.4237
93.082615 94.299 118.3060
93.757130 94.208 118.1978
94.436533 94.115 118.1107
95.120859 94.025 118.0268
95.810144 93.933 117.9323
96.504423 93.840 117.8404
97.203734 93.746 117.7675
97.908112 93.649 117.7205
98.617595 93.552 117.7077
99.332219 93.457 117.7114
100.052021 93.364 117.6682
100.777039 93.265 117.5513
101.507311 93.154 117.4438
102.242875 93.040 117.4500
102.983769 92.942 117.5561
103.730032 92.865 117.6115
104.481702 92.787 117.4900
105.238820 92.672 117.3430
106.001424 92.530 117.5246
106.769554 92.427 117.9977
107.543250 92.385 118.1562
108.322553 92.329 117.7237
109.107503 92.195 117.2838
109.898141 92.029 117.5133
110.694508 91.933 118.2834
111.496646 91.935 118.8319
112.304596 91.958 118.6992
113.118402 91.899 118.1744
113.938104 91.723 118.0312
114.763747 91.520 118.8323
115.595372 91.430 120.0028
116.433024 91.454 120.2179
117.276746 91.434 119.3129
118.126581 91.282 118.4437
118.982575 91.069 118.4515
119.844772 90.897 119.1411
120.713217 90.806 119.9731
121.587954 90.791 120.4545
122.469031 90.785 120.2499
123.356492 90.704 119.6684
124.250384 90.544 119.4167
125.150753 90.370 119.7588
126.057647 90.235 120.3780
126.971113 90.142 120.8776
127.891198 90.067 121.1301
128.817950 89.991 121.2505
129.751418 89.907 121.3738
130.691651 89.816 121.5312
131.638696 89.720 121.6831
132.592604 89.620 121.7971
133.553425 89.516 121.9242
134.521208 89.410 122.1693
135.496004 89.310 122.5562
136.477864 89.215 123.0156
137.466839 89.127 123.4493
138.462981 89.042 123.7813
139.466340 88.954 124.0217
140.476971 88.863 124.2169
141.494925 88.767 124.4162
142.520256 88.669 124.6748
143.553016 88.573 125.0066
144.593260 88.478 125.3949
145.641043 88.382 125.8206
146.696418 88.283 126.2665
147.759441 88.184 126.7149
148.830166 88.088 127.1466
149.908651 87.995 127.5462
150.994951 87.901 127.9032
152.089123 87.804 128.2502
153.191223 87.703 128.6875
154.301310 87.602 129.2769
155.419441 87.506 129.9780
156.545674 87.419 130.7441
157.680069 87.347 131.5355
158.822683 87.291 132.2737
159.973578 87.240 132.9189
161.132813 87.188 133.5506
162.300447 87.137 134.2801
163.476543 87.097 135.1094
164.661162 87.074 135.9277
165.854364 87.063 136.6176
167.056213 87.053 137.1494
168.266772 87.034 137.5617
169.486102 87.003 137.9302
170.714268 86.961 138.3553
171.951334 86.916 138.8792
173.197364 86.873 139.4471
174.452424 86.835 139.9709
175.716578 86.799 140.3998
176.989893 86.763 140.7510
178.272434 86.727 141.0765
179.564270 86.692 141.4181
180.865467 86.657 141.7913
182.176092 86.621 142.1962
183.496216 86.583 142.6210
184.825905 86.543 143.0463
186.165229 86.502 143.4678
187.514259 86.462 143.8942
188.873065 86.424 144.3377
190.241717 86.387 144.8049
191.620287 86.350 145.2908
193.008847 86.314 145.7902
194.407468 86.277 146.3007
195.816225 86.241 146.8032
197.235190 86.211 147.2628
198.664438 86.188 147.6844
200.104042 86.168 148.1218
201.554078 86.147 148.5970
203.014622 86.126 149.0938
204.485750 86.104 149.6017
205.967538 86.080 150.1151
207.460064 86.056 150.6151
208.963405 86.032 151.0903
210.477640 86.011 151.5440
212.002848 85.990 151.9892
213.539108 85.970 152.4450
215.086500 85.952 152.9175
216.645105 85.938 153.3973
218.215005 85.927 153.8765
219.796281 85.919 154.3569
221.389015 85.912 154.8436
222.993292 85.905 155.3238
224.609193 85.900 155.7756
226.236804 85.895 156.1948
227.876209 85.890 156.6025
229.527494 85.885 157.0222
231.190745 85.879 157.4487
232.866048 85.872 157.8615
234.553491 85.864 158.2605
236.253163 85.855 158.6610
237.965150 85.844 159.0727
239.689544 85.833 159.4855
241.426433 85.828 159.8795
243.175909 85.830 160.2569
244.938062 85.835 160.6348
246.712984 85.840 161.0268
248.500768 85.845 161.4364
250.301507 85.851 161.8513
252.115295 85.859 162.2596
253.942226 85.866 162.6646
255.782396 85.873 163.0486
257.635901 85.880 163.3857
259.502837 85.886 163.6941
261.383301 85.891 163.9999
263.277392 85.894 164.3118
265.185209 85.896 164.6261
267.106850 85.897 164.9371
269.042417 85.899 165.2468
270.992009 85.901 165.5607
272.955729 85.902 165.8791
274.933678 85.901 166.1936
276.925961 85.899 166.4901
278.932681 85.897 166.7817
280.953942 85.896 167.0800
282.989850 85.897 167.3790
285.040511 85.898 167.6754
287.106032 85.898 167.9693
289.186521 85.898 168.2639
291.282086 85.898 168.5626
293.392836 85.899 168.8640
295.518881 85.902 169.1708
297.660333 85.903 169.4773
299.817302 85.903 169.7716
301.989902 85.903 170.0602
304.178245 85.903 170.3571
306.382446 85.904 170.6608
308.602620 85.905 170.9597
310.838882 85.908 171.2531
313.091348 85.911 171.5514
315.360137 85.913 171.8564
317.645367 85.914 172.1668
319.947156 85.914 172.4847
322.265625 85.914 172.8158
324.600895 85.915 173.1602
326.953086 85.918 173.5159
329.322323 85.922 173.8866
331.708729 85.929 174.2808
334.112427 85.941 174.6985
336.533543 85.958 175.1285
338.972204 85.982 175.5545
341.428536 86.014 175.9620
343.902668 86.051 176.3315
346.394729 86.085 176.6340
348.904848 86.118 176.8632
351.433156 86.150 177.0336
353.979786 86.181 177.1588
356.544869 86.209 177.2568
359.128540 86.231 177.3495
361.730934 86.247 177.4465
364.352185 86.258 177.5448
366.992431 86.266 177.6479
369.651810 86.272 177.7610
372.330459 86.278 177.8881
375.028519 86.281 178.0303
377.746130 86.282 178.1846
380.483434 86.282 178.3454
383.240574 86.282 178.5109
386.017693 86.282 178.6842
388.814937 86.283 178.8669
391.632450 86.283 179.0536
394.470380 86.285 179.2415
397.328875 86.286 179.4334
400.208084 86.288 179.6299
403.108157 86.290 179.8273
406.029245 86.292 -179.9759
