* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 23, 24 2:09:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fengru MY88 Red R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.883 -1.4064
20.287556 91.880 -1.4350
20.434568 91.874 -1.5270
20.582645 91.868 -1.6643
20.731796 91.863 -1.8324
20.882027 91.859 -2.0221
21.033346 91.857 -2.2309
21.185762 91.858 -2.4627
21.339283 91.861 -2.7103
21.493916 91.865 -2.9739
21.649670 91.871 -3.2530
21.806553 91.877 -3.5459
21.964573 91.883 -3.8487
22.123737 91.886 -4.1628
22.284056 91.886 -4.4765
22.445536 91.883 -4.7799
22.608185 91.876 -5.0649
22.772013 91.866 -5.3239
22.937029 91.852 -5.5509
23.103241 91.835 -5.7469
23.270657 91.818 -5.9091
23.439285 91.800 -6.0370
23.609137 91.784 -6.1361
23.780218 91.770 -6.2149
23.952539 91.760 -6.2839
24.126110 91.753 -6.3598
24.300938 91.749 -6.4498
24.477032 91.748 -6.5602
24.654402 91.748 -6.6966
24.833057 91.748 -6.8606
25.013008 91.748 -7.0504
25.194263 91.746 -7.2664
25.376831 91.740 -7.4935
25.560722 91.732 -7.7218
25.745945 91.721 -7.9416
25.932510 91.707 -8.1447
26.120428 91.692 -8.3305
26.309708 91.676 -8.4953
26.500359 91.661 -8.6389
26.692390 91.648 -8.7672
26.885815 91.637 -8.8892
27.080641 91.628 -9.0176
27.276878 91.620 -9.1634
27.474539 91.613 -9.3306
27.673630 91.606 -9.5242
27.874165 91.598 -9.7454
28.076153 91.588 -9.9936
28.279604 91.576 -10.2647
28.484529 91.561 -10.5475
28.690941 91.546 -10.8336
28.898848 91.530 -11.1151
29.108261 91.514 -11.3884
29.319191 91.499 -11.6490
29.531651 91.486 -11.8929
29.745649 91.475 -12.1203
29.961199 91.466 -12.3327
30.178310 91.458 -12.5367
30.396996 91.450 -12.7314
30.617264 91.443 -12.9179
30.839128 91.434 -13.0979
31.062601 91.424 -13.2741
31.287693 91.413 -13.4503
31.514416 91.400 -13.6253
31.742783 91.386 -13.8015
31.972803 91.372 -13.9818
32.204491 91.358 -14.1716
32.437859 91.344 -14.3695
32.672916 91.331 -14.5748
32.909679 91.318 -14.7857
33.148155 91.305 -15.0018
33.388359 91.292 -15.2180
33.630306 91.279 -15.4285
33.874004 91.267 -15.6304
34.119469 91.254 -15.8243
34.366711 91.240 -16.0109
34.615746 91.225 -16.1906
34.866585 91.210 -16.3667
35.119244 91.192 -16.5448
35.373734 91.173 -16.7288
35.630066 91.153 -16.9195
35.888256 91.130 -17.1187
36.148315 91.107 -17.3293
36.410259 91.083 -17.5499
36.674103 91.058 -17.7762
36.939857 91.035 -18.0050
37.207539 91.013 -18.2339
37.477161 90.993 -18.4578
37.748737 90.976 -18.6729
38.022282 90.961 -18.8780
38.297806 90.949 -19.0769
38.575329 90.939 -19.2678
38.854862 90.930 -19.4530
39.136421 90.920 -19.6353
39.420021 90.908 -19.8151
39.705673 90.893 -19.9907
39.993397 90.876 -20.1608
40.283207 90.855 -20.3279
40.575115 90.833 -20.4916
40.869141 90.810 -20.6565
41.165295 90.786 -20.8303
41.463596 90.762 -21.0170
41.764057 90.738 -21.2166
42.066696 90.715 -21.4268
42.371529 90.692 -21.6426
42.678570 90.669 -21.8554
42.987835 90.648 -22.0592
43.299343 90.628 -22.2531
43.613110 90.609 -22.4337
43.929150 90.590 -22.6014
44.247478 90.570 -22.7598
44.568115 90.548 -22.9077
44.891075 90.524 -23.0456
45.216373 90.498 -23.1775
45.544029 90.470 -23.3085
45.874062 90.442 -23.4458
46.206486 90.413 -23.5980
46.541317 90.386 -23.7688
46.878574 90.360 -23.9568
47.218277 90.336 -24.1585
47.560440 90.314 -24.3659
47.905083 90.293 -24.5711
48.252224 90.274 -24.7711
48.601879 90.255 -24.9644
48.954067 90.235 -25.1532
49.308807 90.212 -25.3429
49.666119 90.185 -25.5381
50.026020 90.153 -25.7425
50.388531 90.116 -25.9586
50.753666 90.076 -26.1805
51.121449 90.035 -26.4015
51.491894 89.996 -26.6141
51.865025 89.961 -26.8107
52.240860 89.933 -26.9908
52.619419 89.911 -27.1568
53.000721 89.894 -27.3135
53.384785 89.880 -27.4676
53.771633 89.866 -27.6194
54.161285 89.849 -27.7694
54.553761 89.828 -27.9170
54.949081 89.803 -28.0615
55.347263 89.776 -28.2054
55.748333 89.747 -28.3495
56.152309 89.717 -28.4962
56.559212 89.689 -28.6480
56.969063 89.660 -28.8064
57.381886 89.633 -28.9746
57.797699 89.605 -29.1476
58.216526 89.577 -29.3195
58.638386 89.549 -29.4830
59.063305 89.522 -29.6337
59.491302 89.495 -29.7737
59.922401 89.470 -29.9084
60.356625 89.444 -30.0488
60.793995 89.416 -30.2016
61.234531 89.385 -30.3700
61.678261 89.352 -30.5512
62.125206 89.317 -30.7385
62.575390 89.281 -30.9243
63.028835 89.246 -31.1017
63.485569 89.213 -31.2675
63.945610 89.180 -31.4180
64.408989 89.146 -31.5554
64.875725 89.112 -31.6814
65.345840 89.079 -31.7996
65.819366 89.048 -31.9118
66.296318 89.019 -32.0171
66.776726 88.994 -32.1072
67.260620 88.972 -32.1705
67.748016 88.952 -32.2044
68.238945 88.934 -32.2260
68.733429 88.919 -32.2694
69.231499 88.905 -32.3724
69.733177 88.891 -32.5595
70.238495 88.876 -32.8292
70.747475 88.857 -33.1548
71.260139 88.832 -33.4956
71.776520 88.797 -33.8072
72.296638 88.750 -34.0538
72.820526 88.692 -34.2233
73.348213 88.627 -34.3329
73.879723 88.562 -34.4186
74.415085 88.501 -34.5162
74.954330 88.446 -34.6384
75.497482 88.398 -34.7779
76.044571 88.356 -34.9211
76.595619 88.320 -35.0592
77.150665 88.287 -35.1911
77.709732 88.252 -35.3189
78.272850 88.216 -35.4430
78.840050 88.177 -35.5601
79.411354 88.137 -35.6641
79.986801 88.098 -35.7529
80.566422 88.062 -35.8299
81.150238 88.027 -35.8997
81.738289 87.994 -35.9649
82.330597 87.961 -36.0287
82.927200 87.926 -36.0933
83.528122 87.890 -36.1619
84.133400 87.851 -36.2421
84.743065 87.810 -36.3377
85.357147 87.767 -36.4474
85.975677 87.723 -36.5690
86.598694 87.679 -36.6974
87.226227 87.637 -36.8317
87.858307 87.597 -36.9684
88.494965 87.559 -37.1010
89.136238 87.522 -37.2275
89.782158 87.484 -37.3493
90.432755 87.446 -37.4721
91.088066 87.406 -37.5983
91.748131 87.364 -37.7238
92.412979 87.321 -37.8415
93.082642 87.278 -37.9428
93.757156 87.236 -38.0270
94.436562 87.196 -38.0992
95.120888 87.159 -38.1681
95.810173 87.123 -38.2352
96.504456 87.085 -38.2904
97.203766 87.046 -38.3256
97.908142 87.004 -38.3420
98.617622 86.961 -38.3459
99.332245 86.917 -38.3555
100.052048 86.874 -38.3868
100.777069 86.832 -38.4492
101.507339 86.791 -38.5382
102.242905 86.750 -38.6450
102.983795 86.709 -38.7604
103.730057 86.666 -38.8799
104.481728 86.623 -38.9932
105.238846 86.578 -39.0948
106.001450 86.533 -39.1843
106.769577 86.487 -39.2710
107.543274 86.442 -39.3603
108.322578 86.399 -39.4534
109.107529 86.356 -39.5424
109.898170 86.314 -39.6185
110.694534 86.273 -39.6720
111.496674 86.231 -39.7000
112.304626 86.188 -39.7097
113.118431 86.144 -39.7140
113.938133 86.100 -39.7230
114.763779 86.055 -39.7402
115.595406 86.008 -39.7550
116.433060 85.957 -39.7515
117.276779 85.901 -39.7095
118.126617 85.840 -39.6235
118.982613 85.775 -39.5268
119.844810 85.711 -39.4648
120.713257 85.654 -39.4777
121.587997 85.607 -39.5694
122.469070 85.572 -39.7073
123.356529 85.549 -39.8510
124.250420 85.531 -39.9785
125.150787 85.514 -40.0875
126.057678 85.490 -40.1781
126.971146 85.456 -40.2505
127.891228 85.411 -40.3113
128.817978 85.360 -40.3648
129.751450 85.308 -40.4207
130.691681 85.256 -40.4791
131.638733 85.207 -40.5316
132.592636 85.162 -40.5716
133.553452 85.123 -40.5974
134.521240 85.093 -40.5981
135.496033 85.074 -40.5547
136.477890 85.062 -40.4678
137.466858 85.054 -40.3749
138.462997 85.040 -40.3352
139.466354 85.015 -40.3812
140.476990 84.973 -40.4954
141.494949 84.914 -40.6347
142.520279 84.840 -40.7461
143.553040 84.754 -40.7979
144.593277 84.665 -40.7990
145.641052 84.579 -40.7768
146.696426 84.498 -40.7523
147.759445 84.424 -40.7293
148.830170 84.357 -40.7054
149.908661 84.294 -40.6708
150.994965 84.235 -40.6168
152.089142 84.176 -40.5472
153.191238 84.116 -40.4631
154.301331 84.054 -40.3698
155.419464 83.988 -40.2753
156.545700 83.919 -40.1853
157.680099 83.848 -40.1068
158.822708 83.774 -40.0406
159.973602 83.701 -39.9816
161.132843 83.630 -39.9405
162.300476 83.563 -39.9171
163.476578 83.500 -39.8859
164.661194 83.439 -39.8081
165.854401 83.380 -39.6532
167.056244 83.324 -39.4013
168.266800 83.272 -39.0550
169.486130 83.226 -38.6400
170.714294 83.189 -38.2000
171.951355 83.167 -37.7673
173.197388 83.162 -37.3561
174.452454 83.174 -36.9956
175.716614 83.200 -36.7401
176.989929 83.228 -36.6304
178.272476 83.251 -36.6475
179.564316 83.265 -36.6955
180.865509 83.270 -36.6828
182.176132 83.272 -36.5965
183.496262 83.273 -36.4630
184.825958 83.274 -36.3177
186.165283 83.275 -36.1823
187.514313 83.277 -36.1008
188.873123 83.282 -36.1373
190.241776 83.290 -36.3052
191.620346 83.300 -36.5800
193.008911 83.312 -36.8845
194.407532 83.320 -37.1618
195.816284 83.320 -37.3424
197.235245 83.301 -37.4152
198.664490 83.260 -37.4056
200.104095 83.197 -37.3715
201.554138 83.121 -37.3612
203.014679 83.042 -37.3854
204.485809 82.963 -37.4284
205.967590 82.886 -37.4645
207.460114 82.809 -37.4733
208.963455 82.729 -37.4419
210.477692 82.649 -37.3879
212.002899 82.569 -37.3325
213.539154 82.494 -37.2846
215.086548 82.426 -37.2432
216.645157 82.368 -37.1971
218.215057 82.320 -37.1449
219.796341 82.278 -37.0765
221.389069 82.238 -36.9874
222.993347 82.198 -36.8881
224.609253 82.156 -36.7893
226.236862 82.113 -36.6998
227.876266 82.068 -36.6193
229.527557 82.023 -36.5396
231.190811 81.976 -36.4539
232.866119 81.929 -36.3607
234.553558 81.881 -36.2701
236.253235 81.834 -36.1789
237.965225 81.786 -36.0865
239.689621 81.739 -35.9910
241.426514 81.690 -35.8796
243.175995 81.641 -35.7517
244.938141 81.591 -35.6125
246.713058 81.542 -35.4709
248.500839 81.495 -35.3311
250.301575 81.449 -35.2048
252.115356 81.404 -35.0867
253.942291 81.359 -34.9661
255.782455 81.312 -34.8368
257.635956 81.266 -34.6894
259.502899 81.219 -34.5325
261.383362 81.173 -34.3695
263.277466 81.127 -34.1977
265.185272 81.081 -34.0295
267.106903 81.037 -33.8645
269.042480 80.993 -33.7050
270.992065 80.950 -33.5435
272.955780 80.906 -33.3829
274.933716 80.862 -33.2225
276.925995 80.818 -33.0591
278.932709 80.776 -32.9004
280.953979 80.735 -32.7348
282.989899 80.697 -32.5552
285.040558 80.663 -32.3690
287.106079 80.630 -32.1732
289.186554 80.597 -31.9755
291.282104 80.564 -31.7854
293.392853 80.529 -31.6092
295.518890 80.493 -31.4408
297.660339 80.456 -31.2765
299.817322 80.418 -31.1121
301.989929 80.378 -30.9443
304.178284 80.337 -30.7804
306.382477 80.296 -30.6189
308.602661 80.256 -30.4493
310.838928 80.218 -30.2637
313.091400 80.181 -30.0591
315.360199 80.144 -29.8382
317.645416 80.106 -29.6173
319.947205 80.067 -29.4077
322.265686 80.027 -29.2231
324.600952 79.986 -29.0597
326.953156 79.946 -28.9047
329.322388 79.907 -28.7527
331.708801 79.870 -28.5988
334.112488 79.834 -28.4361
