* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 10:04:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH3 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.976 168.4601
20.507813 102.966 168.3670
20.874023 102.942 168.0976
21.240234 102.926 167.7589
21.606445 102.915 167.3697
21.972656 102.899 166.9731
22.338867 102.878 166.6484
22.705078 102.856 166.4507
23.071289 102.841 166.3650
23.437500 102.838 166.3094
23.803711 102.842 166.1858
24.169922 102.838 165.9447
24.536133 102.816 165.6139
24.902344 102.770 165.2754
25.268555 102.710 165.0086
25.634766 102.649 164.8398
26.000977 102.598 164.7338
26.367188 102.560 164.6313
26.733399 102.530 164.4974
27.099610 102.500 164.3400
27.465821 102.470 164.1907
27.832032 102.440 164.0696
28.198243 102.413 163.9642
28.564454 102.389 163.8437
28.930665 102.362 163.6922
29.296876 102.327 163.5303
29.663087 102.286 163.4009
30.029298 102.244 163.3327
30.395509 102.211 163.3112
30.761720 102.192 163.2821
31.127931 102.182 163.1864
31.494142 102.173 163.0018
31.860353 102.155 162.7582
32.226563 102.126 162.5170
32.592774 102.088 162.3300
32.958985 102.051 162.2085
33.325196 102.021 162.1211
33.691407 101.999 162.0202
34.057618 101.978 161.8748
34.423829 101.954 161.6898
34.790040 101.920 161.5011
35.156251 101.880 161.3506
35.522462 101.837 161.2603
35.888673 101.797 161.2213
36.254884 101.763 161.2019
36.621095 101.737 161.1676
36.987306 101.714 161.1005
37.353517 101.690 161.0051
37.719728 101.665 160.9009
38.085939 101.638 160.8074
38.452150 101.609 160.7327
38.818361 101.581 160.6714
39.184572 101.552 160.6116
39.550783 101.521 160.5433
39.916994 101.486 160.4647
40.283205 101.448 160.3811
40.649416 101.408 160.3001
41.015627 101.368 160.2267
41.381838 101.333 160.1611
41.748049 101.303 160.1006
42.114260 101.279 160.0417
42.480471 101.260 159.9816
42.846682 101.244 159.9187
43.212893 101.228 159.8513
43.579103 101.209 159.7781
43.945314 101.186 159.6997
44.311525 101.158 159.6190
44.677736 101.124 159.5406
45.043947 101.086 159.4689
45.410158 101.045 159.4076
45.776369 101.003 159.3604
46.142580 100.961 159.3312
46.508791 100.921 159.3243
46.875002 100.883 159.3410
47.241213 100.851 159.3760
47.607424 100.826 159.4154
47.973635 100.807 159.4405
48.339846 100.793 159.4351
48.706057 100.779 159.3943
49.072268 100.763 159.3278
49.438479 100.741 159.2568
49.804690 100.713 159.2032
50.170901 100.682 159.1789
50.537112 100.651 159.1800
50.903323 100.621 159.1906
51.269534 100.594 159.1918
51.635745 100.568 159.1719
52.001956 100.543 159.1299
52.368167 100.518 159.0732
52.734378 100.493 159.0115
53.100589 100.468 158.9516
53.466800 100.441 158.8959
53.833011 100.414 158.8454
54.199222 100.383 158.8026
54.565432 100.350 158.7719
54.931643 100.315 158.7576
55.297854 100.280 158.7595
55.664065 100.246 158.7713
56.030276 100.217 158.7832
56.396487 100.190 158.7867
56.762698 100.166 158.7798
57.128909 100.142 158.7676
57.495120 100.117 158.7586
57.861331 100.091 158.7591
58.227542 100.066 158.7675
58.593753 100.041 158.7757
58.959964 100.016 158.7734
59.326175 99.991 158.7554
59.692386 99.964 158.7257
60.058597 99.935 158.6965
60.424808 99.905 158.6825
60.791019 99.877 158.6933
61.157230 99.852 158.7300
61.523441 99.831 158.7852
61.889652 99.813 158.8478
62.255863 99.796 158.9080
62.622074 99.778 158.9596
62.988285 99.757 158.9983
63.354496 99.732 159.0197
63.720707 99.704 159.0180
64.086918 99.673 158.9884
64.453129 99.640 158.9319
64.819340 99.604 158.8590
65.185551 99.568 158.7890
65.551762 99.534 158.7442
65.917972 99.504 158.7410
66.284183 99.481 158.7831
66.650394 99.465 158.8596
67.016605 99.455 158.9502
67.382816 99.448 159.0344
67.749027 99.439 159.1003
68.115238 99.426 159.1478
68.481449 99.407 159.1858
68.847660 99.382 159.2254
69.213871 99.354 159.2731
69.580082 99.326 159.3280
69.946293 99.298 159.3844
70.312504 99.273 159.4353
70.678715 99.248 159.4766
71.044926 99.224 159.5077
71.411137 99.199 159.5296
71.777348 99.173 159.5435
72.143559 99.147 159.5498
72.509770 99.121 159.5501
72.875981 99.095 159.5484
73.242192 99.070 159.5509
73.608403 99.047 159.5640
73.974614 99.026 159.5913
74.340825 99.007 159.6327
74.707036 98.989 159.6844
75.073247 98.972 159.7418
75.439458 98.953 159.8010
75.805669 98.933 159.8595
76.171880 98.911 159.9150
76.538091 98.887 159.9647
76.904301 98.864 160.0043
77.270512 98.842 160.0308
77.636723 98.820 160.0436
78.002934 98.800 160.0466
78.369145 98.780 160.0464
78.735356 98.762 160.0503
79.101567 98.743 160.0622
79.467778 98.726 160.0816
79.833989 98.708 160.1036
80.200200 98.691 160.1222
80.566411 98.672 160.1342
80.932622 98.651 160.1414
81.298833 98.627 160.1508
81.665044 98.602 160.1719
82.031255 98.577 160.2124
82.397466 98.553 160.2750
82.763677 98.532 160.3566
83.129888 98.513 160.4496
83.496099 98.496 160.5459
83.862310 98.480 160.6398
84.228521 98.463 160.7291
84.594732 98.446 160.8139
84.960943 98.427 160.8943
85.327154 98.408 160.9689
85.693365 98.388 161.0347
86.059576 98.369 161.0891
86.425787 98.348 161.1316
86.791998 98.327 161.1652
87.158209 98.305 161.1953
87.524420 98.282 161.2274
87.890631 98.260 161.2648
88.256841 98.238 161.3076
88.623052 98.219 161.3525
88.989263 98.201 161.3955
89.355474 98.185 161.4340
89.721685 98.170 161.4686
90.087896 98.155 161.5029
90.454107 98.140 161.5432
90.820318 98.124 161.5948
91.186529 98.107 161.6607
91.552740 98.089 161.7396
91.918951 98.072 161.8260
92.285162 98.055 161.9119
92.651373 98.038 161.9892
93.017584 98.021 162.0526
93.383795 98.004 162.1010
93.750006 97.986 162.1385
94.116217 97.968 162.1721
94.482428 97.949 162.2101
94.848639 97.930 162.2595
95.214850 97.913 162.3235
95.581061 97.896 162.4016
95.947272 97.880 162.4892
96.313483 97.865 162.5798
96.679694 97.851 162.6660
97.045905 97.837 162.7412
97.412116 97.824 162.8011
97.778327 97.810 162.8443
98.144538 97.796 162.8724
98.510749 97.781 162.8902
98.876960 97.767 162.9041
99.243170 97.751 162.9209
99.609381 97.736 162.9456
99.975592 97.721 162.9806
100.341803 97.706 163.0253
100.708014 97.690 163.0773
101.074225 97.675 163.1332
101.440436 97.660 163.1903
101.806647 97.645 163.2471
102.172858 97.629 163.3036
102.539069 97.613 163.3607
102.905280 97.598 163.4201
103.271491 97.583 163.4832
103.637702 97.568 163.5511
104.003913 97.554 163.6244
104.370124 97.540 163.7028
104.736335 97.526 163.7849
105.102546 97.512 163.8688
105.468757 97.498 163.9520
105.834968 97.483 164.0319
106.201179 97.469 164.1064
106.567390 97.455 164.1744
106.933601 97.440 164.2357
107.299812 97.426 164.2914
107.666023 97.410 164.3428
108.032234 97.394 164.3917
108.398445 97.378 164.4395
108.764656 97.362 164.4875
109.130867 97.347 164.5364
109.497078 97.332 164.5870
109.863289 97.318 164.6397
110.229500 97.305 164.6950
110.595710 97.293 164.7531
110.961921 97.283 164.8143
111.328132 97.273 164.8791
111.694343 97.264 164.9481
112.060554 97.254 165.0216
112.426765 97.243 165.0998
112.792976 97.232 165.1820
113.159187 97.219 165.2672
113.525398 97.205 165.3535
113.891609 97.189 165.4394
114.257820 97.173 165.5236
114.624031 97.156 165.6053
114.990242 97.139 165.6844
115.356453 97.123 165.7613
115.722664 97.109 165.8368
116.088875 97.095 165.9116
116.455086 97.083 165.9866
116.821297 97.072 166.0623
117.187508 97.063 166.1385
117.553719 97.054 166.2153
117.919930 97.045 166.2921
118.286141 97.037 166.3688
118.652352 97.028 166.4455
119.018563 97.018 166.5226
119.384774 97.008 166.6001
119.750985 96.996 166.6781
120.117196 96.984 166.7562
120.483407 96.972 166.8336
120.849618 96.959 166.9095
121.215829 96.946 166.9831
121.582040 96.935 167.0541
121.948250 96.924 167.1225
122.314461 96.914 167.1887
122.680672 96.906 167.2533
123.046883 96.899 167.3171
123.413094 96.894 167.3808
123.779305 96.889 167.4451
124.145516 96.884 167.5105
124.511727 96.879 167.5773
124.877938 96.873 167.6456
125.244149 96.865 167.7151
125.610360 96.855 167.7853
125.976571 96.842 167.8555
126.342782 96.828 167.9255
126.708993 96.812 167.9949
127.075204 96.794 168.0643
127.441415 96.775 168.1347
127.807626 96.755 168.2073
128.173837 96.734 168.2836
128.540048 96.713 168.3647
128.906259 96.691 168.4511
129.272470 96.670 168.5427
129.638681 96.648 168.6384
130.004892 96.627 168.7365
130.371103 96.606 168.8346
130.737314 96.586 168.9298
131.103525 96.568 169.0190
131.469736 96.551 169.0997
131.835947 96.536 169.1705
132.202158 96.523 169.2312
132.568369 96.510 169.2833
132.934579 96.499 169.3294
133.300790 96.488 169.3725
133.667001 96.478 169.4156
134.033212 96.466 169.4610
134.399423 96.454 169.5098
134.765634 96.442 169.5622
135.131845 96.428 169.6178
135.498056 96.414 169.6759
135.864267 96.399 169.7352
136.230478 96.384 169.7952
136.596689 96.369 169.8549
136.962900 96.354 169.9140
137.329111 96.340 169.9724
137.695322 96.326 170.0298
138.061533 96.312 170.0863
138.427744 96.300 170.1417
138.793955 96.288 170.1956
139.160166 96.276 170.2475
139.526377 96.266 170.2971
139.892588 96.256 170.3441
140.258799 96.246 170.3887
140.625010 96.237 170.4314
140.991221 96.229 170.4729
141.357432 96.220 170.5142
141.723643 96.212 170.5565
142.089854 96.204 170.6005
142.456065 96.195 170.6471
142.822276 96.186 170.6967
143.188487 96.177 170.7495
143.554698 96.168 170.8057
143.920909 96.159 170.8649
144.287119 96.150 170.9266
144.653330 96.141 170.9904
145.019541 96.132 171.0556
145.385752 96.124 171.1221
145.751963 96.116 171.1897
146.118174 96.108 171.2588
146.484385 96.100 171.3299
146.850596 96.092 171.4034
147.216807 96.084 171.4798
147.583018 96.076 171.5591
147.949229 96.069 171.6411
148.315440 96.061 171.7252
148.681651 96.054 171.8105
149.047862 96.046 171.8962
149.414073 96.038 171.9815
149.780284 96.030 172.0656
150.146495 96.022 172.1481
150.512706 96.013 172.2284
150.878917 96.005 172.3065
151.245128 95.995 172.3821
151.611339 95.986 172.4555
151.977550 95.976 172.5269
152.343761 95.965 172.5969
152.709972 95.954 172.6659
153.076183 95.943 172.7343
153.442394 95.931 172.8024
153.808605 95.919 172.8699
154.174816 95.906 172.9368
154.541027 95.894 173.0026
154.907238 95.881 173.0671
155.273448 95.869 173.1301
155.639659 95.858 173.1918
156.005870 95.847 173.2529
156.372081 95.837 173.3140
156.738292 95.828 173.3763
157.104503 95.819 173.4404
157.470714 95.811 173.5071
157.836925 95.804 173.5766
158.203136 95.797 173.6488
158.569347 95.790 173.7235
158.935558 95.784 173.8002
159.301769 95.777 173.8786
159.667980 95.771 173.9583
160.034191 95.764 174.0390
160.400402 95.757 174.1207
160.766613 95.750 174.2032
161.132824 95.743 174.2864
161.499035 95.735 174.3703
161.865246 95.727 174.4544
162.231457 95.718 174.5383
162.597668 95.709 174.6215
162.963879 95.698 174.7032
163.330090 95.687 174.7825
163.696301 95.674 174.8585
164.062512 95.661 174.9304
164.428723 95.646 174.9972
164.794934 95.632 175.0582
165.161145 95.617 175.1128
165.527356 95.603 175.1609
165.893567 95.589 175.2027
166.259778 95.577 175.2386
166.625988 95.565 175.2698
166.992199 95.555 175.2975
167.358410 95.546 175.3233
167.724621 95.538 175.3486
168.090832 95.530 175.3750
168.457043 95.524 175.4036
168.823254 95.518 175.4355
169.189465 95.512 175.4716
169.555676 95.507 175.5126
169.921887 95.501 175.5594
170.288098 95.495 175.6127
170.654309 95.489 175.6735
171.020520 95.482 175.7426
171.386731 95.475 175.8207
171.752942 95.467 175.9085
172.119153 95.459 176.0059
172.485364 95.450 176.1125
172.851575 95.442 176.2270
