* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 6:02:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.384 -44.6936
0.368865 34.384 -44.6285
0.371538 34.383 -44.5327
0.374230 34.381 -44.4152
0.376942 34.380 -44.2838
0.379673 34.379 -44.1445
0.382424 34.377 -44.0009
0.385196 34.376 -43.8554
0.387987 34.374 -43.7093
0.390798 34.373 -43.5632
0.393630 34.371 -43.4174
0.396483 34.369 -43.2721
0.399356 34.368 -43.1272
0.402250 34.366 -42.9827
0.405165 34.365 -42.8384
0.408101 34.363 -42.6941
0.411058 34.361 -42.5498
0.414037 34.360 -42.4052
0.417037 34.358 -42.2602
0.420059 34.356 -42.1145
0.423103 34.355 -41.9680
0.426169 34.353 -41.8205
0.429257 34.351 -41.6717
0.432368 34.350 -41.5214
0.435501 34.348 -41.3693
0.438656 34.346 -41.2153
0.441835 34.344 -41.0589
0.445037 34.342 -40.9001
0.448262 34.341 -40.7384
0.451510 34.339 -40.5735
0.454782 34.337 -40.4052
0.458077 34.335 -40.2331
0.461397 34.333 -40.0568
0.464740 34.331 -39.8760
0.468108 34.330 -39.6903
0.471500 34.328 -39.4992
0.474917 34.326 -39.3024
0.478358 34.324 -39.0994
0.481825 34.322 -38.8898
0.485316 34.320 -38.6731
0.488833 34.318 -38.4487
0.492375 34.316 -38.2162
0.495943 34.314 -37.9750
0.499537 34.312 -37.7246
0.503157 34.310 -37.4643
0.506803 34.308 -37.1935
0.510475 34.306 -36.9117
0.514175 34.304 -36.6182
0.517900 34.302 -36.3122
0.521653 34.300 -35.9931
0.525434 34.298 -35.6601
0.529241 34.296 -35.3126
0.533076 34.293 -34.9497
0.536939 34.291 -34.5706
0.540830 34.289 -34.1746
0.544749 34.287 -33.7608
0.548696 34.285 -33.3284
0.552673 34.283 -32.8765
0.556677 34.280 -32.4043
0.560711 34.278 -31.9109
0.564774 34.276 -31.3954
0.568867 34.274 -30.8571
0.572989 34.271 -30.2950
0.577141 34.269 -29.7084
0.581324 34.267 -29.0964
0.585536 34.264 -28.4583
0.589779 34.262 -27.7933
0.594053 34.260 -27.1008
0.598358 34.257 -26.3802
0.602694 34.255 -25.6309
0.607061 34.252 -24.8526
0.611460 34.250 -24.0449
0.615891 34.247 -23.2076
0.620354 34.245 -22.3406
0.624849 34.242 -21.4440
0.629377 34.240 -20.5180
0.633938 34.237 -19.5631
0.638532 34.235 -18.5798
0.643159 34.232 -17.5689
0.647819 34.230 -16.5315
0.652514 34.227 -15.4687
0.657242 34.224 -14.3819
0.662005 34.222 -13.2729
0.666802 34.219 -12.1435
0.671634 34.216 -10.9957
0.676501 34.214 -9.8318
0.681403 34.211 -8.6543
0.686341 34.209 -7.4657
0.691314 34.206 -6.2687
0.696324 34.205 -5.0662
0.701370 34.204 -3.8611
0.706452 34.205 -2.6561
0.711571 34.209 -1.4543
0.716728 34.218 -0.2581
0.721921 34.235 0.9298
0.727153 34.263 2.1074
0.732422 34.307 3.2732
0.737729 34.369 4.4261
0.743075 34.448 5.5652
0.748460 34.542 6.6899
0.753883 34.648 7.7997
0.759346 34.765 8.8936
0.764849 34.890 9.9709
0.770391 35.023 11.0307
0.775974 35.164 12.0719
0.781597 35.312 13.0937
0.787261 35.466 14.0951
0.792966 35.627 15.0752
0.798712 35.794 16.0332
0.804500 35.968 16.9684
0.810329 36.148 17.8800
0.816201 36.334 18.7673
0.822116 36.526 19.6299
0.828073 36.723 20.4672
0.834074 36.927 21.2788
0.840118 37.137 22.0643
0.846206 37.352 22.8233
0.852338 37.572 23.5557
0.858514 37.797 24.2613
0.864735 38.028 24.9399
0.871001 38.263 25.5913
0.877313 38.504 26.2157
0.883670 38.748 26.8130
0.890074 38.997 27.3832
0.896524 39.250 27.9264
0.903020 39.507 28.4427
0.909564 39.768 28.9324
0.916155 40.032 29.3955
0.922794 40.299 29.8323
0.929481 40.569 30.2430
0.936216 40.841 30.6278
0.943000 41.116 30.9870
0.949834 41.392 31.3210
0.956717 41.670 31.6299
0.963649 41.950 31.9141
0.970632 42.230 32.1740
0.977666 42.511 32.4097
0.984750 42.792 32.6218
0.991886 43.073 32.8104
0.999074 43.353 32.9759
1.006314 43.632 33.1188
1.013606 43.909 33.2393
1.020951 44.184 33.3378
1.028349 44.457 33.4147
1.035801 44.727 33.4704
1.043307 44.994 33.5053
1.050867 45.256 33.5199
1.058482 45.514 33.5149
1.066152 45.768 33.4912
1.073878 46.017 33.4498
1.081660 46.260 33.3925
1.089498 46.499 33.3215
1.097393 46.734 33.2395
1.105345 46.964 33.1499
1.113355 47.193 33.0555
1.121423 47.418 32.9589
1.129549 47.643 32.8615
1.137734 47.865 32.7640
1.145979 48.087 32.6666
1.154283 48.308 32.5692
1.162647 48.527 32.4714
1.171072 48.746 32.3726
1.179558 48.963 32.2724
1.188106 49.180 32.1702
1.196715 49.396 32.0655
1.205387 49.611 31.9578
1.214122 49.825 31.8467
1.222920 50.038 31.7315
1.231782 50.250 31.6120
1.240708 50.462 31.4876
1.249699 50.673 31.3581
1.258754 50.883 31.2229
1.267876 51.092 31.0817
1.277063 51.300 30.9342
1.286318 51.508 30.7801
1.295639 51.715 30.6190
1.305027 51.922 30.4506
1.314484 52.128 30.2745
1.324009 52.333 30.0906
1.333604 52.538 29.8986
1.343268 52.742 29.6980
1.353002 52.946 29.4888
1.362806 53.150 29.2705
1.372681 53.353 29.0431
1.382628 53.556 28.8062
1.392647 53.758 28.5596
1.402739 53.961 28.3033
1.412904 54.163 28.0371
1.423142 54.365 27.7613
1.433455 54.567 27.4760
1.443843 54.769 27.1820
1.454305 54.970 26.8804
1.464844 55.171 26.5727
1.475459 55.370 26.2608
1.486150 55.569 25.9463
1.496920 55.766 25.6306
1.507767 55.961 25.3146
1.518693 56.156 24.9987
1.529698 56.348 24.6829
1.540783 56.539 24.3670
1.551948 56.729 24.0509
1.563194 56.917 23.7341
1.574521 57.103 23.4163
1.585931 57.288 23.0970
1.597423 57.472 22.7758
1.608999 57.655 22.4523
1.620658 57.836 22.1261
1.632402 58.016 21.7968
1.644232 58.195 21.4639
1.656146 58.373 21.1271
1.668147 58.551 20.7859
1.680235 58.727 20.4400
1.692411 58.903 20.0889
1.704675 59.078 19.7324
1.717028 59.253 19.3700
1.729470 59.428 19.0013
1.742003 59.602 18.6260
1.754626 59.776 18.2438
1.767341 59.949 17.8544
1.780147 60.123 17.4576
1.793047 60.297 17.0535
1.806040 60.471 16.6421
1.819128 60.644 16.2238
1.832310 60.817 15.7994
1.845587 60.990 15.3697
1.858961 61.162 14.9357
1.872432 61.333 14.4984
1.886001 61.503 14.0583
1.899667 61.671 13.6159
1.913433 61.839 13.1716
1.927299 62.005 12.7256
1.941265 62.170 12.2779
1.955332 62.334 11.8287
1.969501 62.496 11.3780
1.983773 62.658 10.9258
1.998148 62.819 10.4720
2.012627 62.979 10.0165
2.027212 63.138 9.5592
2.041902 63.296 9.1000
2.056698 63.454 8.6387
2.071602 63.611 8.1752
2.086614 63.767 7.7092
2.101734 63.923 7.2406
2.116964 64.078 6.7690
2.132304 64.233 6.2942
2.147756 64.388 5.8161
2.163320 64.542 5.3343
2.178996 64.696 4.8487
2.194786 64.849 4.3591
2.210690 65.002 3.8657
2.226710 65.153 3.3684
2.242845 65.304 2.8676
2.259098 65.454 2.3636
2.275468 65.602 1.8568
2.291957 65.750 1.3475
2.308566 65.896 0.8361
2.325295 66.041 0.3228
2.342145 66.186 -0.1919
2.359117 66.329 -0.7079
2.376212 66.471 -1.2250
2.393431 66.613 -1.7428
2.410775 66.753 -2.2614
2.428244 66.893 -2.7805
2.445840 67.032 -3.3001
2.463564 67.171 -3.8202
2.481416 67.309 -4.3409
2.499397 67.446 -4.8622
2.517509 67.583 -5.3843
2.535752 67.719 -5.9077
2.554127 67.855 -6.4326
2.572635 67.990 -6.9597
2.591277 68.124 -7.4892
2.610055 68.257 -8.0214
2.628968 68.388 -8.5564
2.648019 68.519 -9.0940
2.667208 68.649 -9.6337
2.686535 68.778 -10.1752
2.706003 68.905 -10.7181
2.725612 69.032 -11.2618
2.745363 69.158 -11.8059
2.765257 69.283 -12.3499
2.785295 69.407 -12.8935
2.805478 69.530 -13.4363
2.825808 69.653 -13.9779
2.846285 69.775 -14.5183
2.866910 69.896 -15.0572
2.887685 70.017 -15.5949
2.908611 70.137 -16.1317
2.929688 70.257 -16.6679
2.950917 70.375 -17.2043
2.972301 70.493 -17.7414
2.993839 70.610 -18.2795
3.015534 70.726 -18.8187
3.037386 70.840 -19.3588
3.059396 70.954 -19.8996
3.081565 71.067 -20.4405
3.103896 71.179 -20.9811
3.126388 71.290 -21.5210
3.149043 71.401 -22.0597
3.171862 71.511 -22.5967
3.194847 71.620 -23.1316
3.217998 71.729 -23.6643
3.241317 71.837 -24.1944
3.264805 71.945 -24.7221
3.288463 72.052 -25.2477
3.312293 72.159 -25.7715
3.336295 72.264 -26.2941
3.360471 72.370 -26.8159
3.384822 72.474 -27.3371
3.409350 72.577 -27.8577
3.434056 72.680 -28.3777
3.458940 72.782 -28.8967
3.484005 72.884 -29.4146
3.509252 72.985 -29.9310
3.534681 73.085 -30.4455
3.560295 73.185 -30.9580
3.586094 73.285 -31.4682
3.612081 73.384 -31.9759
3.638255 73.484 -32.4811
3.664620 73.582 -32.9840
3.691175 73.681 -33.4848
3.717923 73.779 -33.9838
3.744864 73.876 -34.4812
3.772001 73.974 -34.9773
3.799335 74.070 -35.4721
3.826866 74.166 -35.9659
3.854597 74.262 -36.4585
3.882529 74.358 -36.9501
3.910664 74.453 -37.4406
3.939002 74.548 -37.9300
3.967546 74.643 -38.4183
3.996296 74.738 -38.9056
4.025255 74.833 -39.3917
4.054423 74.928 -39.8768
4.083804 75.023 -40.3610
4.113396 75.117 -40.8445
4.143204 75.211 -41.3273
4.173227 75.305 -41.8098
4.203468 75.399 -42.2921
4.233928 75.493 -42.7746
4.264609 75.586 -43.2574
4.295512 75.679 -43.7409
4.326639 75.773 -44.2251
4.357992 75.866 -44.7103
4.389572 75.959 -45.1965
4.421380 76.052 -45.6838
4.453419 76.145 -46.1723
4.485691 76.237 -46.6618
4.518196 76.330 -47.1526
4.550936 76.422 -47.6447
4.583914 76.514 -48.1383
4.617131 76.606 -48.6336
4.650589 76.698 -49.1308
4.684289 76.789 -49.6301
4.718233 76.880 -50.1318
4.752424 76.971 -50.6360
4.786862 77.061 -51.1429
4.821549 77.151 -51.6526
4.856488 77.241 -52.1649
4.891680 77.330 -52.6798
4.927127 77.419 -53.1972
4.962831 77.508 -53.7169
4.998794 77.596 -54.2388
5.035017 77.683 -54.7628
5.071503 77.770 -55.2891
5.108253 77.856 -55.8177
5.145270 77.941 -56.3489
5.182555 78.026 -56.8828
5.220110 78.110 -57.4194
5.257937 78.194 -57.9584
5.296038 78.276 -58.4995
5.334415 78.358 -59.0423
5.373071 78.440 -59.5861
5.412006 78.520 -60.1308
5.451224 78.600 -60.6761
5.490725 78.678 -61.2221
5.530514 78.756 -61.7689
5.570590 78.833 -62.3165
5.610957 78.909 -62.8650
5.651616 78.984 -63.4138
5.692570 79.059 -63.9626
5.733821 79.132 -64.5106
5.775370 79.205 -65.0573
5.817221 79.277 -65.6024
5.859375 79.348 -66.1457
5.901834 79.418 -66.6872
5.944602 79.488 -67.2270
5.987679 79.556 -67.7651
6.031068 79.624 -68.3012
6.074771 79.691 -68.8350
6.118792 79.758 -69.3660
6.163131 79.824 -69.8938
6.207792 79.889 -70.4181
6.252776 79.954 -70.9388
6.298086 80.019 -71.4561
6.343725 80.083 -71.9700
6.389694 80.147 -72.4807
6.435996 80.210 -72.9881
6.482634 80.273 -73.4922
6.529610 80.336 -73.9930
6.576926 80.399 -74.4903
