* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 6:00:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 nofilter R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.861 161.4379
0.368865 37.861 161.3490
0.371538 37.862 161.2164
0.374230 37.864 161.0512
0.376942 37.865 160.8628
0.379673 37.867 160.6583
0.382424 37.868 160.4421
0.385196 37.870 160.2171
0.387987 37.872 159.9849
0.390798 37.873 159.7462
0.393630 37.875 159.5016
0.396483 37.877 159.2512
0.399356 37.878 158.9950
0.402250 37.880 158.7329
0.405165 37.882 158.4649
0.408101 37.884 158.1908
0.411058 37.886 157.9105
0.414037 37.887 157.6239
0.417037 37.889 157.3309
0.420059 37.891 157.0313
0.423103 37.893 156.7249
0.426169 37.895 156.4116
0.429257 37.897 156.0913
0.432368 37.898 155.7638
0.435501 37.900 155.4289
0.438656 37.902 155.0865
0.441835 37.904 154.7363
0.445037 37.906 154.3783
0.448262 37.908 154.0122
0.451510 37.910 153.6379
0.454782 37.912 153.2551
0.458077 37.914 152.8638
0.461397 37.916 152.4635
0.464740 37.918 152.0543
0.468108 37.920 151.6358
0.471500 37.922 151.2079
0.474917 37.924 150.7703
0.478358 37.926 150.3228
0.481825 37.928 149.8652
0.485316 37.931 149.3973
0.488833 37.933 148.9188
0.492375 37.935 148.4294
0.495943 37.937 147.9290
0.499537 37.939 147.4173
0.503157 37.941 146.8940
0.506803 37.944 146.3589
0.510475 37.946 145.8116
0.514175 37.948 145.2520
0.517900 37.950 144.6798
0.521653 37.953 144.0946
0.525434 37.955 143.4963
0.529241 37.957 142.8844
0.533076 37.960 142.2588
0.536939 37.962 141.6192
0.540830 37.964 140.9652
0.544749 37.967 140.2966
0.548696 37.969 139.6132
0.552673 37.971 138.9145
0.556677 37.974 138.2004
0.560711 37.976 137.4705
0.564774 37.979 136.7246
0.568867 37.981 135.9624
0.572989 37.984 135.1836
0.577141 37.986 134.3881
0.581324 37.989 133.5755
0.585536 37.991 132.7457
0.589779 37.994 131.8983
0.594053 37.997 131.0333
0.598358 37.999 130.1504
0.602694 38.002 129.2495
0.607061 38.004 128.3304
0.611460 38.007 127.3930
0.615891 38.010 126.4373
0.620354 38.013 125.4631
0.624849 38.015 124.4706
0.629377 38.018 123.4596
0.633938 38.021 122.4303
0.638532 38.024 121.3827
0.643159 38.026 120.3170
0.647819 38.029 119.2334
0.652514 38.032 118.1321
0.657242 38.035 117.0134
0.662005 38.038 115.8776
0.666802 38.041 114.7252
0.671634 38.044 113.5567
0.676501 38.047 112.3725
0.681403 38.050 111.1732
0.686341 38.053 109.9594
0.691314 38.056 108.7320
0.696324 38.060 107.4917
0.701370 38.065 106.2394
0.706452 38.071 104.9762
0.711571 38.079 103.7033
0.716728 38.090 102.4222
0.721921 38.108 101.1349
0.727153 38.134 99.8438
0.732422 38.172 98.5518
0.737729 38.222 97.2624
0.743075 38.285 95.9789
0.748460 38.359 94.7043
0.753883 38.442 93.4413
0.759346 38.532 92.1919
0.764849 38.629 90.9579
0.770391 38.732 89.7404
0.775974 38.839 88.5406
0.781597 38.952 87.3593
0.787261 39.070 86.1970
0.792966 39.192 85.0544
0.798712 39.319 83.9318
0.804500 39.451 82.8295
0.810329 39.587 81.7475
0.816201 39.728 80.6859
0.822116 39.873 79.6447
0.828073 40.022 78.6238
0.834074 40.176 77.6228
0.840118 40.334 76.6416
0.846206 40.496 75.6798
0.852338 40.662 74.7370
0.858514 40.832 73.8128
0.864735 41.005 72.9066
0.871001 41.182 72.0181
0.877313 41.363 71.1466
0.883670 41.547 70.2915
0.890074 41.735 69.4524
0.896524 41.926 68.6286
0.903020 42.119 67.8195
0.909564 42.316 67.0246
0.916155 42.515 66.2431
0.922794 42.717 65.4746
0.929481 42.921 64.7184
0.936216 43.127 63.9738
0.943000 43.335 63.2404
0.949834 43.545 62.5176
0.956717 43.756 61.8047
0.963649 43.969 61.1011
0.970632 44.182 60.4065
0.977666 44.397 59.7201
0.984750 44.612 59.0415
0.991886 44.827 58.3702
0.999074 45.042 57.7057
1.006314 45.257 57.0475
1.013606 45.472 56.3951
1.020951 45.685 55.7481
1.028349 45.897 55.1060
1.035801 46.108 54.4685
1.043307 46.317 53.8353
1.050867 46.524 53.2059
1.058482 46.728 52.5803
1.066152 46.929 51.9583
1.073878 47.128 51.3401
1.081660 47.324 50.7261
1.089498 47.517 50.1173
1.097393 47.707 49.5148
1.105345 47.896 48.9201
1.113355 48.084 48.3349
1.121423 48.271 47.7603
1.129549 48.457 47.1970
1.137734 48.644 46.6453
1.145979 48.830 46.1050
1.154283 49.017 45.5759
1.162647 49.203 45.0575
1.171072 49.390 44.5493
1.179558 49.577 44.0508
1.188106 49.764 43.5613
1.196715 49.952 43.0802
1.205387 50.139 42.6071
1.214122 50.326 42.1413
1.222920 50.514 41.6822
1.231782 50.701 41.2293
1.240708 50.889 40.7821
1.249699 51.077 40.3400
1.258754 51.265 39.9025
1.267876 51.453 39.4691
1.277063 51.640 39.0393
1.286318 51.828 38.6127
1.295639 52.016 38.1887
1.305027 52.204 37.7669
1.314484 52.392 37.3469
1.324009 52.579 36.9282
1.333604 52.767 36.5104
1.343268 52.955 36.0931
1.353002 53.142 35.6759
1.362806 53.329 35.2584
1.372681 53.517 34.8402
1.382628 53.704 34.4210
1.392647 53.891 34.0005
1.402739 54.077 33.5784
1.412904 54.264 33.1546
1.423142 54.450 32.7289
1.433455 54.636 32.3016
1.443843 54.822 31.8730
1.454305 55.007 31.4439
1.464844 55.191 31.0155
1.475459 55.375 30.5890
1.486150 55.559 30.1658
1.496920 55.741 29.7468
1.507767 55.923 29.3325
1.518693 56.103 28.9229
1.529698 56.283 28.5178
1.540783 56.462 28.1169
1.551948 56.640 27.7197
1.563194 56.817 27.3257
1.574521 56.994 26.9343
1.585931 57.169 26.5449
1.597423 57.344 26.1570
1.608999 57.518 25.7699
1.620658 57.692 25.3832
1.632402 57.865 24.9963
1.644232 58.037 24.6086
1.656146 58.209 24.2196
1.668147 58.381 23.8289
1.680235 58.552 23.4359
1.692411 58.722 23.0401
1.704675 58.893 22.6410
1.717028 59.063 22.2383
1.729470 59.233 21.8314
1.742003 59.403 21.4199
1.754626 59.573 21.0035
1.767341 59.742 20.5818
1.780147 59.912 20.1548
1.793047 60.082 19.7223
1.806040 60.252 19.2846
1.819128 60.422 18.8422
1.832310 60.591 18.3960
1.845587 60.761 17.9470
1.858961 60.929 17.4964
1.872432 61.097 17.0450
1.886001 61.265 16.5933
1.899667 61.431 16.1418
1.913433 61.597 15.6905
1.927299 61.762 15.2394
1.941265 61.927 14.7884
1.955332 62.090 14.3373
1.969501 62.253 13.8859
1.983773 62.415 13.4339
1.998148 62.576 12.9811
2.012627 62.737 12.5272
2.027212 62.898 12.0718
2.041902 63.057 11.6147
2.056698 63.217 11.1556
2.071602 63.376 10.6940
2.086614 63.534 10.2296
2.101734 63.692 9.7621
2.116964 63.850 9.2912
2.132304 64.008 8.8166
2.147756 64.165 8.3380
2.163320 64.323 7.8552
2.178996 64.479 7.3685
2.194786 64.636 6.8778
2.210690 64.792 6.3837
2.226710 64.947 5.8866
2.242845 65.102 5.3870
2.259098 65.256 4.8854
2.275468 65.409 4.3820
2.291957 65.561 3.8772
2.308566 65.712 3.3709
2.325295 65.863 2.8633
2.342145 66.013 2.3545
2.359117 66.162 1.8444
2.376212 66.310 1.3330
2.393431 66.458 0.8201
2.410775 66.605 0.3057
2.428244 66.751 -0.2104
2.445840 66.897 -0.7284
2.463564 67.042 -1.2485
2.481416 67.187 -1.7709
2.499397 67.331 -2.2959
2.517509 67.475 -2.8237
2.535752 67.618 -3.3547
2.554127 67.761 -3.8891
2.572635 67.903 -4.4270
2.591277 68.044 -4.9685
2.610055 68.185 -5.5136
2.628968 68.324 -6.0619
2.648019 68.463 -6.6132
2.667208 68.600 -7.1671
2.686535 68.737 -7.7233
2.706003 68.872 -8.2815
2.725612 69.007 -8.8412
2.745363 69.141 -9.4022
2.765257 69.274 -9.9643
2.785295 69.407 -10.5273
2.805478 69.538 -11.0910
2.825808 69.669 -11.6555
2.846285 69.799 -12.2206
2.866910 69.928 -12.7866
2.887685 70.057 -13.3538
2.908611 70.185 -13.9226
2.929688 70.312 -14.4934
2.950917 70.438 -15.0669
2.972301 70.563 -15.6435
2.993839 70.687 -16.2232
3.015534 70.810 -16.8060
3.037386 70.932 -17.3915
3.059396 71.053 -17.9791
3.081565 71.173 -18.5682
3.103896 71.292 -19.1583
3.126388 71.409 -19.7487
3.149043 71.526 -20.3389
3.171862 71.642 -20.9284
3.194847 71.757 -21.5168
3.217998 71.871 -22.1039
3.241317 71.985 -22.6897
3.264805 72.097 -23.2745
3.288463 72.208 -23.8589
3.312293 72.319 -24.4435
3.336295 72.428 -25.0292
3.360471 72.536 -25.6164
3.384822 72.643 -26.2051
3.409350 72.749 -26.7950
3.434056 72.854 -27.3857
3.458940 72.958 -27.9765
3.484005 73.060 -28.5664
3.509252 73.162 -29.1548
3.534681 73.262 -29.7409
3.560295 73.362 -30.3240
3.586094 73.461 -30.9036
3.612081 73.559 -31.4796
3.638255 73.656 -32.0521
3.664620 73.752 -32.6217
3.691175 73.847 -33.1889
3.717923 73.941 -33.7546
3.744864 74.034 -34.3191
3.772001 74.126 -34.8824
3.799335 74.216 -35.4442
3.826866 74.306 -36.0039
3.854597 74.395 -36.5609
3.882529 74.483 -37.1144
3.910664 74.570 -37.6635
3.939002 74.657 -38.2077
3.967546 74.743 -38.7464
3.996296 74.829 -39.2795
4.025255 74.914 -39.8069
4.054423 74.998 -40.3292
4.083804 75.082 -40.8467
4.113396 75.164 -41.3600
4.143204 75.246 -41.8692
4.173227 75.328 -42.3744
4.203468 75.409 -42.8754
4.233928 75.489 -43.3721
4.264609 75.569 -43.8639
4.295512 75.649 -44.3506
4.326639 75.729 -44.8319
4.357992 75.809 -45.3073
4.389572 75.889 -45.7768
4.421380 75.969 -46.2403
4.453419 76.049 -46.6981
4.485691 76.129 -47.1506
4.518196 76.208 -47.5981
4.550936 76.288 -48.0412
4.583914 76.368 -48.4804
4.617131 76.448 -48.9161
4.650589 76.528 -49.3487
4.684289 76.609 -49.7784
4.718233 76.691 -50.2053
4.752424 76.773 -50.6292
4.786862 76.856 -51.0501
4.821549 76.939 -51.4680
4.856488 77.023 -51.8831
4.891680 77.108 -52.2960
4.927127 77.193 -52.7077
4.962831 77.279 -53.1192
4.998794 77.365 -53.5315
5.035017 77.452 -53.9455
5.071503 77.540 -54.3619
5.108253 77.629 -54.7812
5.145270 77.718 -55.2033
5.182555 77.808 -55.6282
5.220110 77.899 -56.0559
5.257937 77.991 -56.4868
5.296038 78.083 -56.9217
5.334415 78.175 -57.3613
5.373071 78.268 -57.8069
5.412006 78.362 -58.2593
5.451224 78.456 -58.7193
5.490725 78.549 -59.1873
5.530514 78.644 -59.6634
5.570590 78.738 -60.1476
5.610957 78.832 -60.6396
5.651616 78.927 -61.1395
5.692570 79.021 -61.6473
5.733821 79.115 -62.1633
5.775370 79.208 -62.6879
5.817221 79.301 -63.2214
5.859375 79.392 -63.7642
5.901834 79.484 -64.3164
5.944602 79.574 -64.8778
5.987679 79.663 -65.4479
6.031068 79.752 -66.0259
6.074771 79.839 -66.6111
6.118792 79.924 -67.2027
6.163131 80.009 -67.8001
6.207792 80.092 -68.4034
6.252776 80.173 -69.0123
6.298086 80.252 -69.6269
6.343725 80.330 -70.2466
6.389694 80.406 -70.8704
6.435996 80.480 -71.4968
6.482634 80.552 -72.1244
6.529610 80.622 -72.7519
6.576926 80.691 -73.3785
6.624585 80.757 -74.0039
6.672590 80.822 -74.6279
6.720942 80.884 -75.2500
6.769645 80.945 -75.8690
6.818700 81.004 -76.4836
6.868111 81.061 -77.0922
