* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 28, 24 5:30:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Heartfield Blanc L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.320 6.8031
20.287556 96.316 6.7263
20.434568 96.312 6.6141
20.582645 96.308 6.4754
20.731796 96.305 6.3167
20.882027 96.303 6.1412
21.033346 96.304 5.9493
21.185762 96.308 5.7406
21.339283 96.313 5.5143
21.493916 96.319 5.2715
21.649670 96.325 5.0152
21.806553 96.329 4.7508
21.964573 96.330 4.4863
22.123737 96.327 4.2311
22.284056 96.319 3.9952
22.445536 96.307 3.7879
22.608185 96.292 3.6164
22.772013 96.274 3.4848
22.937029 96.254 3.3930
23.103241 96.234 3.3362
23.270657 96.216 3.3056
23.439285 96.201 3.2890
23.609137 96.188 3.2720
23.780218 96.178 3.2407
23.952539 96.170 3.1828
24.126110 96.163 3.0896
24.300938 96.157 2.9572
24.477032 96.150 2.7864
24.654402 96.141 2.5828
24.833057 96.130 2.3551
25.013008 96.118 2.1140
25.194263 96.104 1.8704
25.376831 96.091 1.6337
25.560722 96.078 1.4106
25.745945 96.068 1.2045
25.932510 96.062 1.0156
26.120428 96.058 0.8411
26.309708 96.058 0.6768
26.500359 96.060 0.5180
26.692390 96.063 0.3612
26.885815 96.066 0.2039
27.080641 96.067 0.0460
27.276878 96.066 -0.1114
27.474539 96.062 -0.2663
27.673630 96.055 -0.4168
27.874165 96.046 -0.5619
28.076153 96.036 -0.7019
28.279604 96.025 -0.8390
28.484529 96.015 -0.9764
28.690941 96.005 -1.1178
28.898848 95.997 -1.2666
29.108261 95.990 -1.4245
29.319191 95.985 -1.5918
29.531651 95.979 -1.7666
29.745649 95.974 -1.9454
29.961199 95.969 -2.1240
30.178310 95.963 -2.2985
30.396996 95.958 -2.4657
30.617264 95.952 -2.6241
30.839128 95.945 -2.7742
31.062601 95.939 -2.9175
31.287693 95.933 -3.0568
31.514416 95.927 -3.1948
31.742783 95.920 -3.3340
31.972803 95.914 -3.4756
32.204491 95.906 -3.6198
32.437859 95.899 -3.7662
32.672916 95.891 -3.9133
32.909679 95.883 -4.0599
33.148155 95.875 -4.2047
33.388359 95.868 -4.3472
33.630306 95.861 -4.4873
33.874004 95.855 -4.6251
34.119469 95.848 -4.7614
34.366711 95.842 -4.8966
34.615746 95.836 -5.0313
34.866585 95.829 -5.1661
35.119244 95.823 -5.3012
35.373734 95.815 -5.4370
35.630066 95.808 -5.5739
35.888256 95.800 -5.7122
36.148315 95.792 -5.8521
36.410259 95.784 -5.9939
36.674103 95.777 -6.1375
36.939857 95.769 -6.2823
37.207539 95.762 -6.4279
37.477161 95.754 -6.5732
37.748737 95.747 -6.7174
38.022282 95.740 -6.8596
38.297806 95.733 -6.9992
38.575329 95.726 -7.1357
38.854862 95.719 -7.2694
39.136421 95.713 -7.4005
39.420021 95.706 -7.5300
39.705673 95.700 -7.6587
39.993397 95.694 -7.7875
40.283207 95.688 -7.9173
40.575115 95.682 -8.0483
40.869141 95.676 -8.1807
41.165295 95.670 -8.3141
41.463596 95.664 -8.4482
41.764057 95.657 -8.5827
42.066696 95.651 -8.7173
42.371529 95.644 -8.8522
42.678570 95.637 -8.9876
42.987835 95.631 -9.1234
43.299343 95.624 -9.2595
43.613110 95.617 -9.3955
43.929150 95.610 -9.5309
44.247478 95.604 -9.6653
44.568115 95.597 -9.7990
44.891075 95.590 -9.9323
45.216373 95.584 -10.0655
45.544029 95.577 -10.1989
45.874062 95.571 -10.3321
46.206486 95.564 -10.4643
46.541317 95.557 -10.5947
46.878574 95.550 -10.7230
47.218277 95.543 -10.8497
47.560440 95.537 -10.9758
47.905083 95.530 -11.1028
48.252224 95.524 -11.2321
48.601879 95.518 -11.3641
48.954067 95.513 -11.4987
49.308807 95.507 -11.6350
49.666119 95.501 -11.7714
50.026020 95.495 -11.9065
50.388531 95.489 -12.0392
50.753666 95.483 -12.1693
51.121449 95.477 -12.2976
51.491894 95.471 -12.4261
51.865025 95.464 -12.5568
52.240860 95.458 -12.6911
52.619419 95.451 -12.8290
53.000721 95.445 -12.9694
53.384785 95.438 -13.1100
53.771633 95.432 -13.2491
54.161285 95.427 -13.3859
54.553761 95.421 -13.5207
54.949081 95.416 -13.6548
55.347263 95.411 -13.7892
55.748333 95.405 -13.9247
56.152309 95.398 -14.0615
56.559212 95.391 -14.1998
56.969063 95.383 -14.3397
57.381886 95.376 -14.4807
57.797699 95.368 -14.6222
58.216526 95.361 -14.7630
58.638386 95.355 -14.9021
59.063305 95.349 -15.0392
59.491302 95.343 -15.1750
59.922401 95.337 -15.3108
60.356625 95.331 -15.4479
60.793995 95.324 -15.5869
61.234531 95.318 -15.7281
61.678261 95.312 -15.8712
62.125206 95.305 -16.0159
62.575390 95.299 -16.1614
63.028835 95.292 -16.3074
63.485569 95.285 -16.4533
63.945610 95.279 -16.5993
64.408989 95.272 -16.7453
64.875725 95.265 -16.8913
65.345840 95.258 -17.0368
65.819366 95.251 -17.1813
66.296318 95.244 -17.3243
66.776726 95.237 -17.4661
67.260620 95.230 -17.6073
67.748016 95.223 -17.7481
68.238945 95.216 -17.8885
68.733429 95.209 -18.0278
69.231499 95.202 -18.1653
69.733177 95.194 -18.3003
70.238495 95.187 -18.4335
70.747475 95.180 -18.5669
71.260139 95.173 -18.7046
71.776520 95.167 -18.8506
72.296638 95.161 -19.0069
72.820526 95.154 -19.1719
73.348213 95.148 -19.3416
73.879723 95.141 -19.5112
74.415085 95.134 -19.6778
74.954330 95.127 -19.8407
75.497482 95.120 -20.0009
76.044571 95.112 -20.1598
76.595619 95.105 -20.3181
77.150665 95.096 -20.4765
77.709732 95.088 -20.6350
78.272850 95.080 -20.7942
78.840050 95.073 -20.9548
79.411354 95.065 -21.1172
79.986801 95.057 -21.2811
80.566422 95.050 -21.4458
81.150238 95.042 -21.6104
81.738289 95.034 -21.7746
82.330597 95.027 -21.9387
82.927200 95.019 -22.1031
83.528122 95.011 -22.2676
84.133400 95.003 -22.4321
84.743065 94.995 -22.5958
85.357147 94.987 -22.7581
85.975677 94.979 -22.9193
86.598694 94.970 -23.0805
87.226227 94.962 -23.2433
87.858307 94.954 -23.4089
88.494965 94.945 -23.5773
89.136238 94.937 -23.7483
89.782158 94.927 -23.9211
90.432755 94.917 -24.0945
91.088066 94.907 -24.2675
91.748131 94.896 -24.4390
92.412979 94.885 -24.6087
93.082642 94.874 -24.7779
93.757156 94.864 -24.9489
94.436562 94.854 -25.1235
95.120888 94.844 -25.3011
95.810173 94.835 -25.4802
96.504456 94.826 -25.6588
97.203766 94.817 -25.8359
97.908142 94.807 -26.0120
98.617622 94.797 -26.1883
99.332245 94.787 -26.3653
100.052048 94.776 -26.5432
100.777069 94.764 -26.7216
101.507339 94.750 -26.9001
102.242905 94.735 -27.0793
102.983795 94.720 -27.2614
103.730057 94.705 -27.4491
104.481728 94.692 -27.6423
105.238846 94.679 -27.8379
106.001450 94.667 -28.0319
106.769577 94.654 -28.2227
107.543274 94.641 -28.4107
108.322578 94.627 -28.5977
109.107529 94.612 -28.7853
109.898170 94.596 -28.9752
110.694534 94.579 -29.1684
111.496674 94.562 -29.3643
112.304626 94.545 -29.5603
113.118431 94.527 -29.7546
113.938133 94.510 -29.9471
114.763779 94.493 -30.1394
115.595406 94.476 -30.3355
116.433060 94.459 -30.5422
117.276779 94.440 -30.7645
118.126617 94.420 -30.9983
118.982613 94.399 -31.2254
119.844810 94.378 -31.4213
120.713257 94.359 -31.5743
121.587997 94.341 -31.6985
122.469070 94.324 -31.8220
123.356529 94.307 -31.9636
124.250420 94.290 -32.1216
125.150787 94.271 -32.2804
126.057678 94.251 -32.4262
126.971146 94.230 -32.5558
127.891228 94.207 -32.6706
128.817978 94.181 -32.7671
129.751450 94.152 -32.8390
130.691681 94.118 -32.8843
131.638733 94.081 -32.9040
132.592636 94.041 -32.8969
133.553452 94.001 -32.8563
134.521240 93.962 -32.7723
135.496033 93.927 -32.6331
136.477890 93.898 -32.4290
137.466858 93.879 -32.1546
138.462997 93.874 -31.8122
139.466354 93.887 -31.4167
140.476990 93.923 -31.0019
141.494949 93.985 -30.6192
142.520279 94.072 -30.3300
143.553040 94.179 -30.1925
144.593277 94.298 -30.2487
145.641052 94.418 -30.5151
146.696426 94.529 -30.9805
147.759445 94.623 -31.6096
148.830170 94.695 -32.3519
149.908661 94.743 -33.1535
150.994965 94.770 -33.9681
152.089142 94.779 -34.7633
153.191238 94.773 -35.5201
154.301331 94.758 -36.2296
155.419464 94.736 -36.8893
156.545700 94.711 -37.4993
157.680099 94.684 -38.0604
158.822708 94.656 -38.5724
159.973602 94.627 -39.0359
161.132843 94.598 -39.4532
162.300476 94.567 -39.8299
163.476578 94.536 -40.1742
164.661194 94.504 -40.4969
165.854401 94.471 -40.8087
167.056244 94.438 -41.1176
168.266800 94.406 -41.4270
169.486130 94.375 -41.7360
170.714294 94.346 -42.0416
171.951355 94.317 -42.3422
173.197388 94.290 -42.6388
174.452454 94.264 -42.9332
175.716614 94.238 -43.2263
176.989929 94.213 -43.5181
178.272476 94.189 -43.8095
179.564316 94.165 -44.1012
180.865509 94.141 -44.3924
182.176132 94.117 -44.6815
183.496262 94.093 -44.9674
184.825958 94.069 -45.2502
186.165283 94.046 -45.5303
187.514313 94.023 -45.8087
188.873123 93.999 -46.0872
190.241776 93.976 -46.3674
191.620346 93.954 -46.6497
193.008911 93.931 -46.9336
194.407532 93.908 -47.2182
195.816284 93.884 -47.5028
197.235245 93.861 -47.7869
198.664490 93.838 -48.0703
200.104095 93.814 -48.3530
201.554138 93.791 -48.6345
203.014679 93.767 -48.9141
204.485809 93.744 -49.1916
205.967590 93.720 -49.4674
207.460114 93.696 -49.7426
208.963455 93.673 -50.0182
210.477692 93.649 -50.2954
212.002899 93.626 -50.5746
213.539154 93.604 -50.8560
215.086548 93.581 -51.1392
216.645157 93.558 -51.4241
218.215057 93.536 -51.7105
219.796341 93.512 -51.9983
221.389069 93.489 -52.2870
222.993347 93.465 -52.5764
224.609253 93.440 -52.8664
226.236862 93.415 -53.1570
227.876266 93.390 -53.4482
229.527557 93.364 -53.7394
231.190811 93.339 -54.0305
232.866119 93.313 -54.3207
234.553558 93.286 -54.6097
236.253235 93.260 -54.8975
237.965225 93.233 -55.1844
239.689621 93.206 -55.4711
241.426514 93.179 -55.7581
243.175995 93.151 -56.0449
244.938141 93.123 -56.3303
246.713058 93.094 -56.6127
248.500839 93.064 -56.8907
250.301575 93.034 -57.1636
252.115356 93.003 -57.4312
253.942291 92.970 -57.6934
255.782455 92.938 -57.9497
257.635956 92.905 -58.1992
259.502899 92.872 -58.4402
261.383362 92.838 -58.6701
263.277466 92.805 -58.8861
265.185272 92.772 -59.0854
267.106903 92.739 -59.2649
269.042480 92.708 -59.4215
270.992065 92.681 -59.5538
272.955780 92.658 -59.6638
274.933716 92.641 -59.7583
276.925995 92.633 -59.8494
278.932709 92.632 -59.9556
280.953979 92.640 -60.0991
282.989899 92.654 -60.2994
285.040558 92.671 -60.5660
287.106079 92.691 -60.8949
289.186554 92.708 -61.2749
291.282104 92.719 -61.6962
293.392853 92.724 -62.1486
295.518890 92.720 -62.6192
297.660339 92.708 -63.0944
299.817322 92.690 -63.5632
301.989929 92.666 -64.0182
304.178284 92.638 -64.4560
306.382477 92.608 -64.8755
308.602661 92.577 -65.2776
310.838928 92.544 -65.6646
313.091400 92.512 -66.0391
315.360199 92.480 -66.4037
317.645416 92.448 -66.7607
319.947205 92.417 -67.1112
322.265686 92.386 -67.4564
324.600952 92.355 -67.7969
326.953156 92.325 -68.1329
329.322388 92.294 -68.4646
331.708801 92.263 -68.7925
334.112488 92.233 -69.1170
336.533600 92.203 -69.4391
338.972260 92.172 -69.7595
341.428589 92.142 -70.0787
