* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 19, 25 10:39:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Juzear x Z Defiant L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.149 -48.6929
0.368865 62.147 -48.7574
0.371538 62.144 -48.8542
0.374230 62.140 -48.9758
0.376942 62.136 -49.1161
0.379673 62.131 -49.2704
0.382424 62.126 -49.4357
0.385196 62.122 -49.6102
0.387987 62.117 -49.7928
0.390798 62.112 -49.9828
0.393630 62.107 -50.1802
0.396483 62.101 -50.3847
0.399356 62.096 -50.5963
0.402250 62.091 -50.8152
0.405165 62.086 -51.0412
0.408101 62.081 -51.2745
0.411058 62.075 -51.5151
0.414037 62.070 -51.7632
0.417037 62.065 -52.0187
0.420059 62.059 -52.2817
0.423103 62.054 -52.5524
0.426169 62.048 -52.8307
0.429257 62.043 -53.1167
0.432368 62.037 -53.4105
0.435501 62.031 -53.7122
0.438656 62.026 -54.0217
0.441835 62.020 -54.3392
0.445037 62.014 -54.6646
0.448262 62.009 -54.9981
0.451510 62.003 -55.3397
0.454782 61.997 -55.6894
0.458077 61.991 -56.0473
0.461397 61.985 -56.4133
0.464740 61.979 -56.7876
0.468108 61.973 -57.1701
0.471500 61.967 -57.5609
0.474917 61.961 -57.9600
0.478358 61.955 -58.3673
0.481825 61.948 -58.7830
0.485316 61.942 -59.2070
0.488833 61.936 -59.6394
0.492375 61.930 -60.0800
0.495943 61.923 -60.5290
0.499537 61.917 -60.9863
0.503157 61.910 -61.4518
0.506803 61.904 -61.9256
0.510475 61.897 -62.4077
0.514175 61.890 -62.8980
0.517900 61.884 -63.3964
0.521653 61.877 -63.9030
0.525434 61.870 -64.4176
0.529241 61.863 -64.9403
0.533076 61.857 -65.4710
0.536939 61.850 -66.0097
0.540830 61.843 -66.5561
0.544749 61.836 -67.1104
0.548696 61.829 -67.6724
0.552673 61.821 -68.2421
0.556677 61.814 -68.8193
0.560711 61.807 -69.4041
0.564774 61.800 -69.9962
0.568867 61.792 -70.5957
0.572989 61.785 -71.2024
0.577141 61.778 -71.8162
0.581324 61.770 -72.4371
0.585536 61.763 -73.0649
0.589779 61.755 -73.6997
0.594053 61.747 -74.3412
0.598358 61.740 -74.9894
0.602694 61.732 -75.6442
0.607061 61.724 -76.3056
0.611460 61.716 -76.9733
0.615891 61.708 -77.6475
0.620354 61.700 -78.3279
0.624849 61.692 -79.0146
0.629377 61.684 -79.7074
0.633938 61.676 -80.4064
0.638532 61.668 -81.1115
0.643159 61.659 -81.8226
0.647819 61.651 -82.5398
0.652514 61.643 -83.2630
0.657242 61.634 -83.9923
0.662005 61.625 -84.7277
0.666802 61.617 -85.4692
0.671634 61.608 -86.2170
0.676501 61.600 -86.9710
0.681403 61.591 -87.7315
0.686341 61.582 -88.4985
0.691314 61.573 -89.2723
0.696324 61.564 -90.0532
0.701370 61.556 -90.8414
0.706452 61.547 -91.6374
0.711571 61.539 -92.4419
0.716728 61.531 -93.2559
0.721921 61.525 -94.0804
0.727153 61.521 -94.9174
0.732422 61.518 -95.7689
0.737729 61.519 -96.6374
0.743075 61.521 -97.5252
0.748460 61.526 -98.4342
0.753883 61.531 -99.3656
0.759346 61.538 -100.3202
0.764849 61.546 -101.2981
0.770391 61.553 -102.2997
0.775974 61.562 -103.3245
0.781597 61.570 -104.3723
0.787261 61.580 -105.4428
0.792966 61.589 -106.5353
0.798712 61.599 -107.6494
0.804500 61.609 -108.7845
0.810329 61.620 -109.9398
0.816201 61.631 -111.1146
0.822116 61.643 -112.3083
0.828073 61.655 -113.5199
0.834074 61.668 -114.7487
0.840118 61.681 -115.9937
0.846206 61.695 -117.2541
0.852338 61.710 -118.5289
0.858514 61.726 -119.8172
0.864735 61.742 -121.1180
0.871001 61.759 -122.4305
0.877313 61.777 -123.7536
0.883670 61.796 -125.0864
0.890074 61.816 -126.4281
0.896524 61.837 -127.7777
0.903020 61.859 -129.1344
0.909564 61.883 -130.4974
0.916155 61.907 -131.8660
0.922794 61.933 -133.2395
0.929481 61.960 -134.6173
0.936216 61.989 -135.9988
0.943000 62.019 -137.3835
0.949834 62.050 -138.7710
0.956717 62.083 -140.1609
0.963649 62.118 -141.5532
0.970632 62.154 -142.9475
0.977666 62.193 -144.3438
0.984750 62.233 -145.7421
0.991886 62.275 -147.1426
0.999074 62.319 -148.5454
1.006314 62.366 -149.9509
1.013606 62.414 -151.3594
1.020951 62.465 -152.7714
1.028349 62.519 -154.1875
1.035801 62.575 -155.6084
1.043307 62.634 -157.0347
1.050867 62.695 -158.4675
1.058482 62.759 -159.9077
1.066152 62.827 -161.3563
1.073878 62.897 -162.8146
1.081660 62.971 -164.2838
1.089498 63.048 -165.7652
1.097393 63.129 -167.2600
1.105345 63.214 -168.7687
1.113355 63.303 -170.2916
1.121423 63.397 -171.8279
1.129549 63.494 -173.3764
1.137734 63.596 -174.9354
1.145979 63.703 -176.5026
1.154283 63.813 -178.0759
1.162647 63.928 -179.6531
1.171072 64.047 178.7682
1.179558 64.170 177.1900
1.188106 64.298 175.6145
1.196715 64.429 174.0437
1.205387 64.564 172.4795
1.214122 64.702 170.9235
1.222920 64.844 169.3773
1.231782 64.990 167.8423
1.240708 65.139 166.3197
1.249699 65.291 164.8107
1.258754 65.446 163.3160
1.267876 65.603 161.8365
1.277063 65.764 160.3727
1.286318 65.927 158.9252
1.295639 66.092 157.4940
1.305027 66.260 156.0795
1.314484 66.429 154.6816
1.324009 66.600 153.3001
1.333604 66.773 151.9350
1.343268 66.947 150.5858
1.353002 67.122 149.2520
1.362806 67.298 147.9333
1.372681 67.474 146.6290
1.382628 67.650 145.3385
1.392647 67.827 144.0610
1.402739 68.003 142.7957
1.412904 68.179 141.5421
1.423142 68.354 140.2991
1.433455 68.529 139.0664
1.443843 68.703 137.8434
1.454305 68.876 136.6301
1.464844 69.049 135.4265
1.475459 69.222 134.2334
1.486150 69.396 133.0516
1.496920 69.570 131.8820
1.507767 69.747 130.7252
1.518693 69.924 129.5816
1.529698 70.103 128.4515
1.540783 70.284 127.3347
1.551948 70.466 126.2311
1.563194 70.649 125.1404
1.574521 70.834 124.0619
1.585931 71.020 122.9952
1.597423 71.207 121.9396
1.608999 71.395 120.8943
1.620658 71.585 119.8586
1.632402 71.775 118.8315
1.644232 71.966 117.8123
1.656146 72.158 116.8000
1.668147 72.350 115.7936
1.680235 72.542 114.7921
1.692411 72.736 113.7946
1.704675 72.929 112.8000
1.717028 73.122 111.8074
1.729470 73.315 110.8156
1.742003 73.508 109.8237
1.754626 73.701 108.8307
1.767341 73.893 107.8358
1.780147 74.085 106.8380
1.793047 74.276 105.8369
1.806040 74.466 104.8322
1.819128 74.656 103.8241
1.832310 74.845 102.8132
1.845587 75.033 101.8010
1.858961 75.220 100.7887
1.872432 75.407 99.7780
1.886001 75.594 98.7700
1.899667 75.780 97.7658
1.913433 75.965 96.7662
1.927299 76.151 95.7717
1.941265 76.336 94.7826
1.955332 76.520 93.7991
1.969501 76.704 92.8211
1.983773 76.888 91.8486
1.998148 77.072 90.8813
2.012627 77.255 89.9190
2.027212 77.438 88.9612
2.041902 77.620 88.0073
2.056698 77.803 87.0569
2.071602 77.985 86.1092
2.086614 78.166 85.1636
2.101734 78.348 84.2192
2.116964 78.529 83.2755
2.132304 78.710 82.3314
2.147756 78.891 81.3863
2.163320 79.071 80.4396
2.178996 79.251 79.4908
2.194786 79.431 78.5399
2.210690 79.610 77.5869
2.226710 79.789 76.6326
2.242845 79.967 75.6777
2.259098 80.144 74.7229
2.275468 80.320 73.7690
2.291957 80.496 72.8166
2.308566 80.671 71.8662
2.325295 80.845 70.9182
2.342145 81.019 69.9727
2.359117 81.192 69.0298
2.376212 81.365 68.0896
2.393431 81.536 67.1519
2.410775 81.708 66.2164
2.428244 81.878 65.2828
2.445840 82.049 64.3506
2.463564 82.218 63.4194
2.481416 82.388 62.4884
2.499397 82.557 61.5571
2.517509 82.725 60.6247
2.535752 82.893 59.6904
2.554127 83.061 58.7537
2.572635 83.228 57.8141
2.591277 83.394 56.8715
2.610055 83.559 55.9261
2.628968 83.724 54.9783
2.648019 83.888 54.0288
2.667208 84.051 53.0782
2.686535 84.213 52.1273
2.706003 84.374 51.1766
2.725612 84.534 50.2266
2.745363 84.694 49.2778
2.765257 84.852 48.3303
2.785295 85.010 47.3843
2.805478 85.168 46.4398
2.825808 85.324 45.4966
2.846285 85.481 44.5545
2.866910 85.636 43.6129
2.887685 85.791 42.6711
2.908611 85.945 41.7285
2.929688 86.098 40.7840
2.950917 86.251 39.8369
2.972301 86.403 38.8866
2.993839 86.553 37.9332
3.015534 86.703 36.9771
3.037386 86.852 36.0188
3.059396 86.999 35.0591
3.081565 87.146 34.0989
3.103896 87.292 33.1389
3.126388 87.437 32.1799
3.149043 87.581 31.2223
3.171862 87.724 30.2665
3.194847 87.866 29.3128
3.217998 88.008 28.3610
3.241317 88.149 27.4109
3.264805 88.288 26.4617
3.288463 88.428 25.5123
3.312293 88.566 24.5618
3.336295 88.703 23.6091
3.360471 88.839 22.6539
3.384822 88.974 21.6960
3.409350 89.108 20.7360
3.434056 89.240 19.7747
3.458940 89.372 18.8129
3.484005 89.503 17.8517
3.509252 89.632 16.8920
3.534681 89.761 15.9346
3.560295 89.889 14.9798
3.586094 90.016 14.0281
3.612081 90.142 13.0792
3.638255 90.267 12.1326
3.664620 90.391 11.1874
3.691175 90.514 10.2422
3.717923 90.636 9.2962
3.744864 90.757 8.3490
3.772001 90.877 7.4007
3.799335 90.996 6.4518
3.826866 91.113 5.5031
3.854597 91.230 4.5557
3.882529 91.345 3.6104
3.910664 91.460 2.6680
3.939002 91.574 1.7293
3.967546 91.687 0.7944
3.996296 91.799 -0.1370
4.025255 91.910 -1.0653
4.054423 92.020 -1.9916
4.083804 92.129 -2.9170
4.113396 92.237 -3.8419
4.143204 92.344 -4.7664
4.173227 92.449 -5.6902
4.203468 92.554 -6.6125
4.233928 92.658 -7.5327
4.264609 92.761 -8.4498
4.295512 92.864 -9.3631
4.326639 92.965 -10.2723
4.357992 93.066 -11.1772
4.389572 93.166 -12.0782
4.421380 93.265 -12.9762
4.453419 93.363 -13.8717
4.485691 93.460 -14.7653
4.518196 93.557 -15.6571
4.550936 93.652 -16.5471
4.583914 93.747 -17.4346
4.617131 93.841 -18.3192
4.650589 93.934 -19.2004
4.684289 94.027 -20.0777
4.718233 94.119 -20.9510
4.752424 94.210 -21.8204
4.786862 94.301 -22.6864
4.821549 94.391 -23.5496
4.856488 94.480 -24.4103
4.891680 94.569 -25.2688
4.927127 94.657 -26.1249
4.962831 94.744 -26.9785
4.998794 94.831 -27.8293
5.035017 94.917 -28.6771
5.071503 95.003 -29.5215
5.108253 95.088 -30.3629
5.145270 95.172 -31.2014
5.182555 95.257 -32.0374
5.220110 95.340 -32.8712
5.257937 95.423 -33.7031
5.296038 95.506 -34.5330
5.334415 95.588 -35.3608
5.373071 95.669 -36.1865
5.412006 95.750 -37.0098
5.451224 95.830 -37.8309
5.490725 95.910 -38.6499
5.530514 95.990 -39.4671
5.570590 96.068 -40.2827
5.610957 96.147 -41.0970
5.651616 96.225 -41.9100
5.692570 96.302 -42.7214
5.733821 96.379 -43.5313
5.775370 96.455 -44.3395
5.817221 96.530 -45.1460
5.859375 96.605 -45.9510
5.901834 96.680 -46.7548
5.944602 96.753 -47.5574
5.987679 96.826 -48.3591
6.031068 96.899 -49.1596
6.074771 96.971 -49.9588
6.118792 97.042 -50.7563
6.163131 97.113 -51.5522
6.207792 97.182 -52.3463
6.252776 97.252 -53.1388
6.298086 97.320 -53.9298
6.343725 97.388 -54.7195
6.389694 97.455 -55.5078
6.435996 97.521 -56.2943
6.482634 97.587 -57.0786
6.529610 97.651 -57.8607
6.576926 97.716 -58.6403
