* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 19, 25 10:40:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Juzear x Z Defiant R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.413 173.2634
0.368865 31.411 173.2701
0.371538 31.407 173.2802
0.374230 31.402 173.2926
0.376942 31.397 173.3069
0.379673 31.391 173.3223
0.382424 31.386 173.3385
0.385196 31.380 173.3554
0.387987 31.374 173.3727
0.390798 31.368 173.3906
0.393630 31.361 173.4088
0.396483 31.355 173.4274
0.399356 31.349 173.4464
0.402250 31.342 173.4658
0.405165 31.336 173.4856
0.408101 31.330 173.5058
0.411058 31.323 173.5265
0.414037 31.317 173.5475
0.417037 31.310 173.5690
0.420059 31.303 173.5910
0.423103 31.297 173.6134
0.426169 31.290 173.6362
0.429257 31.283 173.6596
0.432368 31.276 173.6834
0.435501 31.270 173.7077
0.438656 31.263 173.7326
0.441835 31.256 173.7579
0.445037 31.249 173.7838
0.448262 31.242 173.8103
0.451510 31.234 173.8373
0.454782 31.227 173.8648
0.458077 31.220 173.8930
0.461397 31.213 173.9217
0.464740 31.205 173.9510
0.468108 31.198 173.9810
0.471500 31.191 174.0116
0.474917 31.183 174.0428
0.478358 31.175 174.0748
0.481825 31.168 174.1073
0.485316 31.160 174.1406
0.488833 31.153 174.1746
0.492375 31.145 174.2092
0.495943 31.137 174.2447
0.499537 31.129 174.2808
0.503157 31.121 174.3178
0.506803 31.113 174.3555
0.510475 31.105 174.3940
0.514175 31.097 174.4333
0.517900 31.089 174.4735
0.521653 31.081 174.5145
0.525434 31.072 174.5564
0.529241 31.064 174.5992
0.533076 31.055 174.6428
0.536939 31.047 174.6874
0.540830 31.038 174.7329
0.544749 31.030 174.7793
0.548696 31.021 174.8268
0.552673 31.012 174.8752
0.556677 31.004 174.9246
0.560711 30.995 174.9750
0.564774 30.986 175.0265
0.568867 30.977 175.0790
0.572989 30.968 175.1327
0.577141 30.959 175.1874
0.581324 30.950 175.2432
0.585536 30.940 175.3002
0.589779 30.931 175.3583
0.594053 30.922 175.4176
0.598358 30.912 175.4781
0.602694 30.903 175.5397
0.607061 30.893 175.6026
0.611460 30.884 175.6668
0.615891 30.874 175.7322
0.620354 30.864 175.7988
0.624849 30.854 175.8668
0.629377 30.844 175.9360
0.633938 30.834 176.0066
0.638532 30.824 176.0785
0.643159 30.814 176.1517
0.647819 30.804 176.2263
0.652514 30.793 176.3022
0.657242 30.783 176.3796
0.662005 30.773 176.4583
0.666802 30.762 176.5384
0.671634 30.752 176.6199
0.676501 30.741 176.7027
0.681403 30.730 176.7870
0.686341 30.719 176.8728
0.691314 30.709 176.9599
0.696324 30.698 177.0485
0.701370 30.687 177.1385
0.706452 30.676 177.2301
0.711571 30.666 177.3232
0.716728 30.657 177.4180
0.721921 30.649 177.5147
0.727153 30.642 177.6137
0.732422 30.638 177.7153
0.737729 30.637 177.8201
0.743075 30.638 177.9285
0.748460 30.642 178.0410
0.753883 30.647 178.1578
0.759346 30.653 178.2790
0.764849 30.661 178.4047
0.770391 30.670 178.5349
0.775974 30.679 178.6693
0.781597 30.689 178.8081
0.787261 30.700 178.9509
0.792966 30.712 179.0977
0.798712 30.725 179.2484
0.804500 30.738 179.4026
0.810329 30.752 179.5603
0.816201 30.766 179.7212
0.822116 30.782 179.8852
0.828073 30.798 -179.9480
0.834074 30.815 -179.7786
0.840118 30.833 -179.6068
0.846206 30.851 -179.4329
0.852338 30.870 -179.2571
0.858514 30.890 -179.0797
0.864735 30.911 -178.9010
0.871001 30.933 -178.7213
0.877313 30.955 -178.5408
0.883670 30.978 -178.3599
0.890074 31.002 -178.1790
0.896524 31.027 -177.9982
0.903020 31.053 -177.8181
0.909564 31.079 -177.6389
0.916155 31.106 -177.4609
0.922794 31.134 -177.2847
0.929481 31.162 -177.1105
0.936216 31.192 -176.9388
0.943000 31.222 -176.7700
0.949834 31.253 -176.6044
0.956717 31.285 -176.4425
0.963649 31.318 -176.2848
0.970632 31.351 -176.1317
0.977666 31.385 -175.9836
0.984750 31.420 -175.8409
0.991886 31.456 -175.7043
0.999074 31.492 -175.5741
1.006314 31.530 -175.4508
1.013606 31.568 -175.3349
1.020951 31.606 -175.2269
1.028349 31.646 -175.1273
1.035801 31.686 -175.0366
1.043307 31.727 -174.9552
1.050867 31.769 -174.8836
1.058482 31.811 -174.8221
1.066152 31.855 -174.7711
1.073878 31.899 -174.7307
1.081660 31.944 -174.7006
1.089498 31.989 -174.6803
1.097393 32.036 -174.6690
1.105345 32.085 -174.6655
1.113355 32.134 -174.6683
1.121423 32.186 -174.6765
1.129549 32.239 -174.6893
1.137734 32.293 -174.7062
1.145979 32.350 -174.7272
1.154283 32.408 -174.7522
1.162647 32.468 -174.7814
1.171072 32.530 -174.8151
1.179558 32.594 -174.8534
1.188106 32.659 -174.8967
1.196715 32.725 -174.9452
1.205387 32.793 -174.9993
1.214122 32.863 -175.0593
1.222920 32.934 -175.1254
1.231782 33.006 -175.1981
1.240708 33.079 -175.2775
1.249699 33.154 -175.3640
1.258754 33.230 -175.4580
1.267876 33.306 -175.5598
1.277063 33.384 -175.6696
1.286318 33.462 -175.7879
1.295639 33.541 -175.9151
1.305027 33.621 -176.0514
1.314484 33.701 -176.1972
1.324009 33.782 -176.3530
1.333604 33.863 -176.5191
1.343268 33.944 -176.6960
1.353002 34.025 -176.8840
1.362806 34.106 -177.0837
1.372681 34.187 -177.2955
1.382628 34.267 -177.5199
1.392647 34.347 -177.7574
1.402739 34.426 -178.0086
1.412904 34.505 -178.2740
1.423142 34.582 -178.5541
1.433455 34.659 -178.8495
1.443843 34.735 -179.1606
1.454305 34.810 -179.4877
1.464844 34.884 -179.8310
1.475459 34.957 179.8095
1.486150 35.030 179.4342
1.496920 35.103 179.0434
1.507767 35.176 178.6376
1.518693 35.249 178.2176
1.529698 35.322 177.7838
1.540783 35.395 177.3368
1.551948 35.468 176.8773
1.563194 35.541 176.4058
1.574521 35.614 175.9227
1.585931 35.687 175.4286
1.597423 35.759 174.9239
1.608999 35.831 174.4090
1.620658 35.903 173.8844
1.632402 35.975 173.3502
1.644232 36.046 172.8067
1.656146 36.117 172.2543
1.668147 36.187 171.6929
1.680235 36.257 171.1228
1.692411 36.325 170.5440
1.704675 36.393 169.9564
1.717028 36.460 169.3600
1.729470 36.527 168.7544
1.742003 36.592 168.1395
1.754626 36.656 167.5148
1.767341 36.719 166.8796
1.780147 36.780 166.2331
1.793047 36.840 165.5739
1.806040 36.899 164.9004
1.819128 36.957 164.2104
1.832310 37.013 163.5013
1.845587 37.067 162.7703
1.858961 37.121 162.0155
1.872432 37.173 161.2354
1.886001 37.224 160.4299
1.899667 37.273 159.5994
1.913433 37.321 158.7451
1.927299 37.368 157.8683
1.941265 37.413 156.9709
1.955332 37.457 156.0544
1.969501 37.499 155.1208
1.983773 37.540 154.1717
1.998148 37.580 153.2089
2.012627 37.617 152.2340
2.027212 37.653 151.2487
2.041902 37.688 150.2545
2.056698 37.720 149.2526
2.071602 37.751 148.2443
2.086614 37.780 147.2307
2.101734 37.807 146.2124
2.116964 37.832 145.1897
2.132304 37.856 144.1626
2.147756 37.877 143.1298
2.163320 37.896 142.0892
2.178996 37.912 141.0372
2.194786 37.927 139.9686
2.210690 37.939 138.8773
2.226710 37.949 137.7573
2.242845 37.957 136.6042
2.259098 37.962 135.4152
2.275468 37.965 134.1897
2.291957 37.965 132.9282
2.308566 37.963 131.6326
2.325295 37.958 130.3052
2.342145 37.951 128.9488
2.359117 37.940 127.5665
2.376212 37.928 126.1617
2.393431 37.912 124.7376
2.410775 37.893 123.2977
2.428244 37.872 121.8453
2.445840 37.848 120.3834
2.463564 37.821 118.9147
2.481416 37.790 117.4410
2.499397 37.757 115.9631
2.517509 37.720 114.4797
2.535752 37.680 112.9871
2.554127 37.637 111.4785
2.572635 37.589 109.9441
2.591277 37.538 108.3729
2.610055 37.483 106.7547
2.628968 37.423 105.0822
2.648019 37.360 103.3511
2.667208 37.292 101.5599
2.686535 37.220 99.7094
2.706003 37.145 97.8019
2.725612 37.066 95.8413
2.745363 36.983 93.8325
2.765257 36.897 91.7810
2.785295 36.808 89.6931
2.805478 36.717 87.5749
2.825808 36.622 85.4324
2.846285 36.525 83.2704
2.866910 36.426 81.0914
2.887685 36.323 78.8941
2.908611 36.218 76.6722
2.929688 36.109 74.4130
2.950917 35.996 72.0986
2.972301 35.877 69.7092
2.993839 35.754 67.2276
3.015534 35.626 64.6406
3.037386 35.493 61.9407
3.059396 35.357 59.1250
3.081565 35.218 56.1954
3.103896 35.079 53.1576
3.126388 34.939 50.0208
3.149043 34.801 46.7969
3.171862 34.667 43.4996
3.194847 34.537 40.1428
3.217998 34.414 36.7381
3.241317 34.298 33.2923
3.264805 34.190 29.8038
3.288463 34.091 26.2598
3.312293 34.002 22.6373
3.336295 33.920 18.9077
3.360471 33.847 15.0461
3.384822 33.781 11.0371
3.409350 33.723 6.8785
3.434056 33.673 2.5812
3.458940 33.630 -1.8319
3.484005 33.596 -6.3285
3.509252 33.570 -10.8702
3.534681 33.554 -15.4170
3.560295 33.547 -19.9322
3.586094 33.551 -24.3884
3.612081 33.567 -28.7715
3.638255 33.595 -33.0846
3.664620 33.637 -37.3471
3.691175 33.693 -41.5885
3.717923 33.764 -45.8360
3.744864 33.849 -50.1044
3.772001 33.947 -54.3920
3.799335 34.055 -58.6824
3.826866 34.172 -62.9490
3.854597 34.296 -67.1608
3.882529 34.422 -71.2871
3.910664 34.549 -75.3034
3.939002 34.675 -79.1947
3.967546 34.797 -82.9594
3.996296 34.915 -86.6108
4.025255 35.027 -90.1768
4.054423 35.135 -93.6937
4.083804 35.239 -97.1965
4.113396 35.339 -100.7083
4.143204 35.435 -104.2367
4.173227 35.528 -107.7750
4.203468 35.615 -111.3068
4.233928 35.696 -114.8104
4.264609 35.770 -118.2642
4.295512 35.836 -121.6519
4.326639 35.892 -124.9664
4.357992 35.937 -128.2138
4.389572 35.971 -131.4150
4.421380 35.994 -134.6021
4.453419 36.006 -137.8095
4.485691 36.006 -141.0633
4.518196 35.995 -144.3752
4.550936 35.973 -147.7428
4.583914 35.939 -151.1523
4.617131 35.893 -154.5833
4.650589 35.834 -158.0147
4.684289 35.762 -161.4305
4.718233 35.676 -164.8271
4.752424 35.576 -168.2175
4.786862 35.462 -171.6315
4.821549 35.332 -175.1083
4.856488 35.186 -178.6839
4.891680 35.027 177.6184
4.927127 34.853 173.7906
4.962831 34.667 169.8393
4.998794 34.468 165.7814
5.035017 34.259 161.6367
5.071503 34.038 157.4178
5.108253 33.806 153.1193
5.145270 33.563 148.7114
5.182555 33.306 144.1409
5.220110 33.039 139.3481
5.257937 32.762 134.2820
5.296038 32.482 128.9128
5.334415 32.205 123.2372
5.373071 31.938 117.2775
5.412006 31.690 111.0715
5.451224 31.468 104.6550
5.490725 31.276 98.0434
5.530514 31.119 91.2236
5.570590 30.997 84.1710
5.610957 30.910 76.8831
5.651616 30.856 69.4067
5.692570 30.835 61.8439
5.733821 30.844 54.3334
5.775370 30.884 47.0139
5.817221 30.954 39.9860
5.859375 31.054 33.2902
5.901834 31.185 26.9142
5.944602 31.343 20.8245
5.987679 31.524 14.9991
6.031068 31.721 9.4414
6.074771 31.926 4.1740
6.118792 32.130 -0.7762
6.163131 32.327 -5.3942
6.207792 32.511 -9.6880
6.252776 32.680 -13.6895
6.298086 32.834 -17.4432
6.343725 32.972 -20.9873
6.389694 33.096 -24.3420
6.435996 33.207 -27.5078
6.482634 33.303 -30.4712
6.529610 33.386 -33.2148
6.576926 33.455 -35.7272
6.624585 33.510 -38.0093
6.672590 33.553 -40.0745
6.720942 33.586 -41.9413
6.769645 33.612 -43.6263
6.818700 33.637 -45.1387
6.868111 33.666 -46.4807
