* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:08:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ D-fi DDDU R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.982 -159.5048
20.507813 94.986 -159.6164
20.874023 94.993 -160.0096
21.240234 94.992 -160.6503
21.606445 94.985 -161.4335
21.972656 94.984 -162.1951
22.338867 95.002 -162.8346
22.705078 95.039 -163.3413
23.071289 95.082 -163.7437
23.437500 95.108 -164.0401
23.803711 95.105 -164.1751
24.169922 95.079 -164.0942
24.536133 95.053 -163.8322
24.902344 95.053 -163.5488
25.268555 95.084 -163.4650
25.634766 95.131 -163.7399
26.000977 95.166 -164.3779
26.367188 95.168 -165.2278
26.733399 95.135 -166.0703
27.099610 95.083 -166.7339
27.465821 95.036 -167.1673
27.832032 95.015 -167.4345
28.198243 95.023 -167.6516
28.564454 95.052 -167.9098
28.930665 95.087 -168.2330
29.296876 95.115 -168.5864
29.663087 95.129 -168.9145
30.029298 95.131 -169.1761
30.395509 95.124 -169.3593
30.761720 95.111 -169.4786
31.127931 95.097 -169.5669
31.494142 95.087 -169.6676
31.860353 95.083 -169.8248
32.226563 95.083 -170.0722
32.592774 95.083 -170.4197
32.958985 95.079 -170.8442
33.325196 95.066 -171.2908
33.691407 95.046 -171.6884
34.057618 95.022 -171.9742
34.423829 95.003 -172.1197
34.790040 94.997 -172.1431
35.156251 95.008 -172.1052
35.522462 95.031 -172.0827
35.888673 95.054 -172.1322
36.254884 95.066 -172.2629
36.621095 95.058 -172.4353
36.987306 95.031 -172.5916
37.353517 94.997 -172.6968
37.719728 94.969 -172.7658
38.085939 94.956 -172.8519
38.452150 94.959 -173.0043
38.818361 94.969 -173.2243
39.184572 94.979 -173.4568
39.550783 94.990 -173.6258
39.916994 95.006 -173.6908
40.283205 95.032 -173.6807
40.649416 95.068 -173.6785
41.015627 95.104 -173.7663
41.381838 95.123 -173.9693
41.748049 95.116 -174.2394
42.114260 95.082 -174.4876
42.480471 95.033 -174.6419
42.846682 94.984 -174.6919
43.212893 94.950 -174.6902
43.579103 94.933 -174.7128
43.945314 94.927 -174.8074
44.311525 94.923 -174.9650
44.677736 94.914 -175.1309
45.043947 94.902 -175.2444
45.410158 94.892 -175.2788
45.776369 94.889 -175.2559
46.142580 94.893 -175.2294
46.508791 94.897 -175.2496
46.875002 94.894 -175.3325
47.241213 94.876 -175.4541
47.607424 94.847 -175.5677
47.973635 94.813 -175.6351
48.339846 94.787 -175.6480
48.706057 94.774 -175.6300
49.072268 94.777 -175.6190
49.438479 94.788 -175.6440
49.804690 94.799 -175.7116
50.170901 94.800 -175.8087
50.537112 94.790 -175.9176
50.903323 94.770 -176.0302
51.269534 94.747 -176.1526
51.635745 94.727 -176.2971
52.001956 94.716 -176.4680
52.368167 94.715 -176.6498
52.734378 94.722 -176.8078
53.100589 94.732 -176.9015
53.466800 94.742 -176.9061
53.833011 94.748 -176.8303
54.199222 94.747 -176.7176
54.565432 94.737 -176.6286
54.931643 94.719 -176.6115
55.297854 94.699 -176.6810
55.664065 94.689 -176.8178
56.030276 94.706 -176.9898
56.396487 94.760 -177.1791
56.762698 94.851 -177.3921
57.128909 94.962 -177.6432
57.495120 95.067 -177.9245
57.861331 95.135 -178.1867
58.227542 95.149 -178.3499
58.593753 95.106 -178.3443
58.959964 95.020 -178.1550
59.326175 94.913 -177.8412
59.692386 94.811 -177.5148
60.058597 94.730 -177.2867
60.424808 94.677 -177.2155
60.791019 94.648 -177.2848
61.157230 94.635 -177.4218
61.523441 94.631 -177.5392
61.889652 94.630 -177.5772
62.255863 94.626 -177.5230
62.622074 94.617 -177.4075
62.988285 94.602 -177.2858
63.354496 94.580 -177.2141
63.720707 94.553 -177.2316
64.086918 94.526 -177.3486
64.453129 94.499 -177.5438
64.819340 94.476 -177.7712
65.185551 94.457 -177.9764
65.551762 94.444 -178.1152
65.917972 94.436 -178.1688
66.284183 94.433 -178.1473
66.650394 94.433 -178.0809
67.016605 94.435 -178.0056
67.382816 94.437 -177.9494
67.749027 94.440 -177.9265
68.115238 94.445 -177.9379
68.481449 94.452 -177.9763
68.847660 94.462 -178.0298
69.213871 94.472 -178.0846
69.580082 94.480 -178.1267
69.946293 94.482 -178.1452
70.312504 94.478 -178.1358
70.678715 94.469 -178.1034
71.044926 94.455 -178.0613
71.411137 94.441 -178.0262
71.777348 94.426 -178.0105
72.143559 94.414 -178.0176
72.509770 94.404 -178.0407
72.875981 94.397 -178.0668
73.242192 94.392 -178.0835
73.608403 94.391 -178.0844
73.974614 94.391 -178.0713
74.340825 94.392 -178.0515
74.707036 94.394 -178.0336
75.073247 94.395 -178.0237
75.439458 94.395 -178.0240
75.805669 94.395 -178.0337
76.171880 94.394 -178.0513
76.538091 94.393 -178.0754
76.904301 94.390 -178.1049
77.270512 94.384 -178.1387
77.636723 94.374 -178.1756
78.002934 94.360 -178.2150
78.369145 94.342 -178.2578
78.735356 94.324 -178.3066
79.101567 94.309 -178.3639
79.467778 94.299 -178.4298
79.833989 94.295 -178.4996
80.200200 94.297 -178.5627
80.566411 94.303 -178.6049
80.932622 94.310 -178.6129
81.298833 94.316 -178.5791
81.665044 94.319 -178.5059
82.031255 94.319 -178.4059
82.397466 94.314 -178.2991
82.763677 94.306 -178.2071
83.129888 94.295 -178.1470
83.496099 94.282 -178.1282
83.862310 94.269 -178.1509
84.228521 94.256 -178.2078
84.594732 94.242 -178.2867
84.960943 94.229 -178.3737
85.327154 94.216 -178.4556
85.693365 94.202 -178.5220
86.059576 94.188 -178.5664
86.425787 94.176 -178.5861
86.791998 94.168 -178.5799
87.158209 94.163 -178.5460
87.524420 94.164 -178.4801
87.890631 94.169 -178.3783
88.256841 94.180 -178.2410
88.623052 94.196 -178.0785
88.989263 94.214 -177.9120
89.355474 94.231 -177.7700
89.721685 94.243 -177.6787
90.087896 94.247 -177.6537
90.454107 94.240 -177.6941
90.820318 94.223 -177.7845
91.186529 94.200 -177.9020
91.552740 94.173 -178.0243
91.918951 94.150 -178.1355
92.285162 94.132 -178.2274
92.651373 94.121 -178.2973
93.017584 94.116 -178.3442
93.383795 94.114 -178.3675
93.750006 94.113 -178.3665
94.116217 94.110 -178.3427
94.482428 94.105 -178.3004
94.848639 94.097 -178.2467
95.214850 94.088 -178.1907
95.581061 94.077 -178.1414
95.947272 94.068 -178.1055
96.313483 94.058 -178.0866
96.679694 94.050 -178.0848
97.045905 94.043 -178.0970
97.412116 94.035 -178.1194
97.778327 94.028 -178.1482
98.144538 94.021 -178.1823
98.510749 94.013 -178.2234
98.876960 94.005 -178.2747
99.243170 93.996 -178.3391
99.609381 93.986 -178.4162
99.975592 93.974 -178.5003
100.341803 93.962 -178.5809
100.708014 93.949 -178.6445
101.074225 93.939 -178.6789
101.440436 93.932 -178.6767
101.806647 93.930 -178.6381
102.172858 93.933 -178.5706
102.539069 93.940 -178.4866
102.905280 93.950 -178.3994
103.271491 93.959 -178.3198
103.637702 93.966 -178.2544
104.003913 93.968 -178.2051
104.370124 93.966 -178.1707
104.736335 93.960 -178.1480
105.102546 93.950 -178.1337
105.468757 93.938 -178.1247
105.834968 93.926 -178.1192
106.201179 93.915 -178.1170
106.567390 93.906 -178.1195
106.933601 93.899 -178.1290
107.299812 93.894 -178.1473
107.666023 93.891 -178.1748
108.032234 93.887 -178.2103
108.398445 93.882 -178.2510
108.764656 93.874 -178.2945
109.130867 93.864 -178.3391
109.497078 93.851 -178.3840
109.863289 93.837 -178.4285
110.229500 93.822 -178.4701
110.595710 93.808 -178.5045
110.961921 93.795 -178.5259
111.328132 93.787 -178.5294
111.694343 93.782 -178.5126
112.060554 93.782 -178.4773
112.426765 93.786 -178.4296
112.792976 93.791 -178.3786
113.159187 93.797 -178.3340
113.525398 93.801 -178.3037
113.891609 93.801 -178.2914
114.257820 93.798 -178.2954
114.624031 93.791 -178.3086
114.990242 93.782 -178.3200
115.356453 93.773 -178.3185
115.722664 93.765 -178.2966
116.088875 93.760 -178.2541
116.455086 93.758 -178.1985
116.821297 93.760 -178.1429
117.187508 93.764 -178.1014
117.553719 93.767 -178.0834
117.919930 93.768 -178.0888
118.286141 93.764 -178.1063
118.652352 93.756 -178.1145
119.018563 93.741 -178.0862
119.384774 93.722 -177.9946
119.750985 93.697 -177.8200
120.117196 93.669 -177.5556
120.483407 93.640 -177.2123
120.849618 93.611 -176.8188
121.215829 93.585 -176.4189
121.582040 93.562 -176.0638
121.948250 93.545 -175.8021
122.314461 93.532 -175.6688
122.680672 93.523 -175.6773
123.046883 93.515 -175.8164
123.413094 93.508 -176.0537
123.779305 93.501 -176.3438
124.145516 93.494 -176.6399
124.511727 93.488 -176.9038
124.877938 93.485 -177.1136
125.244149 93.485 -177.2647
125.610360 93.489 -177.3683
125.976571 93.498 -177.4446
126.342782 93.510 -177.5165
126.708993 93.523 -177.6037
127.075204 93.536 -177.7181
127.441415 93.546 -177.8616
127.807626 93.552 -178.0267
128.173837 93.552 -178.1982
128.540048 93.546 -178.3565
128.906259 93.533 -178.4819
129.272470 93.516 -178.5591
129.638681 93.496 -178.5797
130.004892 93.476 -178.5443
130.371103 93.459 -178.4611
130.737314 93.445 -178.3442
131.103525 93.436 -178.2101
131.469736 93.431 -178.0750
131.835947 93.430 -177.9521
132.202158 93.431 -177.8512
132.568369 93.432 -177.7777
132.934579 93.433 -177.7333
133.300790 93.433 -177.7165
133.667001 93.431 -177.7236
134.033212 93.429 -177.7490
134.399423 93.427 -177.7865
134.765634 93.427 -177.8299
135.131845 93.430 -177.8742
135.498056 93.435 -177.9153
135.864267 93.444 -177.9506
136.230478 93.455 -177.9789
136.596689 93.466 -177.9998
136.962900 93.478 -178.0133
137.329111 93.487 -178.0198
137.695322 93.492 -178.0197
138.061533 93.492 -178.0137
138.427744 93.488 -178.0027
138.793955 93.479 -177.9880
139.160166 93.466 -177.9713
139.526377 93.452 -177.9550
139.892588 93.437 -177.9414
140.258799 93.423 -177.9327
140.625010 93.411 -177.9298
140.991221 93.403 -177.9326
141.357432 93.398 -177.9395
141.723643 93.396 -177.9475
142.089854 93.397 -177.9532
142.456065 93.399 -177.9531
142.822276 93.401 -177.9443
143.188487 93.401 -177.9249
143.554698 93.399 -177.8945
143.920909 93.394 -177.8547
144.287119 93.384 -177.8087
144.653330 93.371 -177.7614
145.019541 93.354 -177.7185
145.385752 93.335 -177.6852
145.751963 93.314 -177.6656
146.118174 93.292 -177.6611
146.484385 93.271 -177.6710
146.850596 93.251 -177.6921
147.216807 93.234 -177.7198
147.583018 93.219 -177.7489
147.949229 93.208 -177.7750
148.315440 93.201 -177.7943
148.681651 93.196 -177.8048
149.047862 93.193 -177.8055
149.414073 93.193 -177.7966
149.780284 93.194 -177.7793
150.146495 93.197 -177.7549
150.512706 93.199 -177.7256
150.878917 93.202 -177.6934
151.245128 93.203 -177.6604
151.611339 93.204 -177.6285
151.977550 93.203 -177.5998
152.343761 93.201 -177.5759
152.709972 93.198 -177.5585
153.076183 93.192 -177.5488
153.442394 93.186 -177.5478
153.808605 93.179 -177.5553
154.174816 93.172 -177.5705
154.541027 93.166 -177.5911
154.907238 93.159 -177.6142
155.273448 93.154 -177.6362
155.639659 93.149 -177.6535
156.005870 93.144 -177.6631
156.372081 93.140 -177.6627
156.738292 93.135 -177.6516
157.104503 93.130 -177.6300
157.470714 93.123 -177.5992
157.836925 93.115 -177.5608
158.203136 93.105 -177.5168
158.569347 93.092 -177.4687
158.935558 93.078 -177.4176
159.301769 93.063 -177.3640
159.667980 93.047 -177.3076
160.034191 93.031 -177.2480
160.400402 93.016 -177.1840
160.766613 93.001 -177.1145
161.132824 92.988 -177.0379
161.499035 92.977 -176.9530
161.865246 92.967 -176.8590
162.231457 92.960 -176.7553
162.597668 92.955 -176.6428
