* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 15, 2023 3:17:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Idun Golden R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 70.583 161.6296
20.507813 69.914 162.2570
20.874023 67.695 167.3524
21.240234 64.979 176.7453
21.606445 62.926 174.9965
21.972656 62.734 149.4811
22.338867 64.869 109.1202
22.705078 67.138 72.8040
23.071289 68.116 48.4055
23.437500 67.498 29.6072
23.803711 65.180 1.0107
24.169922 61.037 -46.8463
24.536133 55.836 -93.2095
24.902344 57.265 -104.3314
25.268555 62.617 -82.8288
25.634766 66.439 -62.3358
26.000977 68.626 -60.0059
26.367188 69.366 -68.6873
26.733399 68.780 -79.9104
27.099610 66.906 -89.8354
27.465821 63.717 -93.1966
27.832032 59.224 -86.8786
28.198243 54.380 -77.8790
28.564454 52.678 -77.5697
28.930665 53.196 -87.4237
29.296876 53.017 -98.7508
29.663087 51.849 -106.2269
30.029298 51.181 -114.8765
30.395509 53.855 -132.3968
30.761720 57.828 -158.6888
31.127931 60.929 173.1848
31.494142 62.859 147.8553
31.860353 63.690 124.0098
32.226563 63.540 98.6204
32.592774 62.554 72.2664
32.958985 60.996 51.4336
33.325196 59.816 44.6351
33.691407 60.904 53.2226
34.057618 63.570 67.9138
34.423829 65.862 77.6122
34.790040 67.212 79.2718
35.156251 67.625 77.2010
35.522462 67.269 76.3118
35.888673 66.478 78.0980
36.254884 65.795 80.6443
36.621095 65.667 80.8330
36.987306 65.966 77.2430
37.353517 66.242 71.6506
37.719728 66.216 68.0398
38.085939 65.891 70.1309
38.452150 65.528 79.0822
38.818361 65.457 92.8156
39.184572 65.696 107.6636
39.550783 65.921 120.9850
39.916994 65.839 132.2013
40.283205 65.350 141.5455
40.649416 64.487 148.3276
41.015627 63.352 150.6437
41.381838 62.134 146.8250
41.748049 61.247 137.3710
42.114260 61.267 125.4788
42.480471 62.270 115.2924
42.846682 63.669 109.3074
43.212893 64.920 107.3194
43.579103 65.762 107.4965
43.945314 66.088 108.0285
44.311525 65.862 107.8550
44.677736 65.088 106.3812
45.043947 63.838 102.9847
45.410158 62.322 97.0644
45.776369 61.032 88.7172
46.142580 60.611 79.3171
46.508791 61.136 71.1821
46.875002 62.060 66.4439
47.241213 62.948 66.0556
47.607424 63.654 69.5978
47.973635 64.158 75.7654
48.339846 64.461 83.0742
48.706057 64.564 90.3967
49.072268 64.488 97.0896
49.438479 64.303 102.7374
49.804690 64.128 106.8458
50.170901 64.078 108.8552
50.537112 64.195 108.4997
50.903323 64.428 106.1539
51.269534 64.689 102.8098
51.635745 64.905 99.6649
52.001956 65.032 97.6278
52.368167 65.044 97.0652
52.734378 64.921 97.8809
53.100589 64.659 99.7585
53.466800 64.287 102.3113
53.833011 63.907 105.0349
54.199222 63.689 107.2145
54.565432 63.800 108.0446
54.931643 64.272 107.0128
55.297854 64.983 104.2792
55.664065 65.775 100.7127
56.030276 66.548 97.5061
56.396487 67.266 95.6140
56.762698 67.923 95.3514
57.128909 68.501 96.3560
57.495120 68.959 97.8863
57.861331 69.239 99.2563
58.227542 69.291 100.1597
58.593753 69.092 100.7278
58.959964 68.663 101.3261
59.326175 68.080 102.2231
59.692386 67.481 103.3340
60.058597 67.032 104.2109
60.424808 66.836 104.3011
60.791019 66.867 103.3047
61.157230 67.010 101.3794
61.523441 67.154 99.0555
61.889652 67.252 96.9345
62.255863 67.305 95.3773
62.622074 67.340 94.3711
62.988285 67.366 93.6313
63.354496 67.368 92.8448
63.720707 67.313 91.8818
64.086918 67.175 90.8420
64.453129 66.952 89.9342
64.819340 66.667 89.3096
65.185551 66.353 88.9907
65.551762 66.043 88.9460
65.917972 65.764 89.2220
66.284183 65.554 89.9849
66.650394 65.474 91.3964
67.016605 65.593 93.4097
67.382816 65.928 95.6677
67.749027 66.411 97.6238
68.115238 66.919 98.8230
68.481449 67.339 99.1419
68.847660 67.605 98.8289
69.213871 67.704 98.3332
69.580082 67.662 98.0513
69.946293 67.534 98.1365
70.312504 67.381 98.4585
70.678715 67.249 98.7065
71.044926 67.155 98.5614
71.411137 67.086 97.8475
71.777348 67.015 96.6029
72.143559 66.925 95.0596
72.509770 66.819 93.5593
72.875981 66.724 92.4363
73.242192 66.690 91.9041
73.608403 66.766 91.9792
73.974614 66.970 92.4775
74.340825 67.279 93.0935
74.707036 67.631 93.5325
75.073247 67.958 93.6335
75.439458 68.210 93.4260
75.805669 68.363 93.0969
76.171880 68.425 92.8951
76.538091 68.425 93.0208
76.904301 68.405 93.5489
77.270512 68.407 94.4103
77.636723 68.452 95.4293
78.002934 68.537 96.3909
78.369145 68.638 97.1105
78.735356 68.720 97.4824
79.101567 68.752 97.4986
79.467778 68.718 97.2412
79.833989 68.618 96.8507
80.200200 68.475 96.4787
80.566411 68.329 96.2364
80.932622 68.227 96.1569
81.298833 68.210 96.1892
81.665044 68.291 96.2298
82.031255 68.451 96.1772
82.397466 68.652 95.9821
82.763677 68.851 95.6677
83.129888 69.021 95.3127
83.496099 69.145 95.0139
83.862310 69.225 94.8489
84.228521 69.269 94.8561
84.594732 69.288 95.0354
84.960943 69.295 95.3557
85.327154 69.303 95.7622
85.693365 69.321 96.1774
86.059576 69.354 96.5035
86.425787 69.404 96.6351
86.791998 69.464 96.4854
87.158209 69.525 96.0181
87.524420 69.576 95.2709
87.890631 69.608 94.3564
88.256841 69.617 93.4373
88.623052 69.609 92.6824
88.989263 69.591 92.2168
89.355474 69.577 92.0851
89.721685 69.580 92.2403
90.087896 69.608 92.5633
90.454107 69.662 92.9066
90.820318 69.738 93.1451
91.186529 69.831 93.2151
91.552740 69.934 93.1257
91.918951 70.046 92.9429
92.285162 70.163 92.7554
92.651373 70.282 92.6400
93.017584 70.394 92.6403
93.383795 70.488 92.7624
93.750006 70.553 92.9825
94.116217 70.579 93.2577
94.482428 70.565 93.5328
94.848639 70.515 93.7458
95.214850 70.443 93.8365
95.581061 70.366 93.7616
95.947272 70.301 93.5118
96.313483 70.266 93.1218
96.679694 70.270 92.6655
97.045905 70.318 92.2356
97.412116 70.407 91.9153
97.778327 70.527 91.7547
98.144538 70.664 91.7619
98.510749 70.802 91.9079
98.876960 70.926 92.1414
99.243170 71.025 92.4057
99.609381 71.096 92.6494
99.975592 71.138 92.8339
100.341803 71.154 92.9354
100.708014 71.152 92.9460
101.074225 71.140 92.8711
101.440436 71.123 92.7257
101.806647 71.109 92.5280
102.172858 71.102 92.2937
102.539069 71.102 92.0348
102.905280 71.107 91.7605
103.271491 71.113 91.4811
103.637702 71.116 91.2096
104.003913 71.111 90.9612
104.370124 71.099 90.7481
104.736335 71.081 90.5757
105.102546 71.060 90.4405
105.468757 71.042 90.3325
105.834968 71.033 90.2404
106.201179 71.037 90.1572
106.567390 71.058 90.0837
106.933601 71.094 90.0284
107.299812 71.144 90.0041
107.666023 71.202 90.0229
108.032234 71.263 90.0912
108.398445 71.319 90.2060
108.764656 71.367 90.3543
109.130867 71.402 90.5158
109.497078 71.425 90.6674
109.863289 71.439 90.7891
110.229500 71.448 90.8698
110.595710 71.458 90.9090
110.961921 71.475 90.9166
111.328132 71.506 90.9084
111.694343 71.553 90.9005
112.060554 71.617 90.9039
112.426765 71.698 90.9216
112.792976 71.791 90.9488
113.159187 71.892 90.9762
113.525398 71.995 90.9947
113.891609 72.095 90.9995
114.257820 72.189 90.9911
114.624031 72.273 90.9731
114.990242 72.347 90.9485
115.356453 72.409 90.9159
115.722664 72.459 90.8693
116.088875 72.498 90.8002
116.455086 72.525 90.7025
116.821297 72.541 90.5764
117.187508 72.548 90.4298
117.553719 72.552 90.2763
117.919930 72.555 90.1295
118.286141 72.564 89.9981
118.652352 72.579 89.8821
119.018563 72.602 89.7737
119.384774 72.630 89.6611
119.750985 72.657 89.5346
120.117196 72.681 89.3919
120.483407 72.697 89.2405
120.849618 72.704 89.0966
121.215829 72.704 88.9818
121.582040 72.701 88.9173
121.948250 72.698 88.9203
122.314461 72.698 89.0010
122.680672 72.703 89.1611
123.046883 72.712 89.3936
123.413094 72.724 89.6825
123.779305 72.735 90.0038
124.145516 72.744 90.3266
124.511727 72.748 90.6162
124.877938 72.748 90.8393
125.244149 72.744 90.9688
125.610360 72.736 90.9891
125.976571 72.727 90.8983
126.342782 72.719 90.7079
126.708993 72.714 90.4407
127.075204 72.713 90.1263
127.441415 72.719 89.7961
127.807626 72.731 89.4794
128.173837 72.750 89.1996
128.540048 72.775 88.9716
128.906259 72.804 88.8010
129.272470 72.835 88.6836
129.638681 72.864 88.6067
130.004892 72.890 88.5512
130.371103 72.910 88.4940
130.737314 72.923 88.4111
131.103525 72.929 88.2805
131.469736 72.930 88.0852
131.835947 72.928 87.8166
132.202158 72.926 87.4772
132.568369 72.928 87.0833
132.934579 72.935 86.6653
133.300790 72.948 86.2654
133.667001 72.968 85.9325
134.033212 72.993 85.7145
134.399423 73.023 85.6496
134.765634 73.056 85.7590
135.131845 73.094 86.0423
135.498056 73.136 86.4778
135.864267 73.182 87.0262
136.230478 73.233 87.6385
136.596689 73.289 88.2646
136.962900 73.351 88.8605
137.329111 73.417 89.3949
137.695322 73.487 89.8500
138.061533 73.559 90.2204
138.427744 73.632 90.5093
138.793955 73.704 90.7234
139.160166 73.773 90.8691
139.526377 73.837 90.9508
139.892588 73.894 90.9709
140.258799 73.942 90.9317
140.625010 73.978 90.8376
140.991221 74.002 90.6966
141.357432 74.013 90.5201
141.723643 74.014 90.3216
142.089854 74.005 90.1149
142.456065 73.990 89.9118
142.822276 73.971 89.7213
143.188487 73.953 89.5490
143.554698 73.937 89.3982
143.920909 73.925 89.2697
144.287119 73.920 89.1633
144.653330 73.921 89.0775
145.019541 73.929 89.0107
145.385752 73.943 88.9604
145.751963 73.962 88.9247
146.118174 73.985 88.9020
146.484385 74.011 88.8922
146.850596 74.039 88.8965
147.216807 74.068 88.9182
147.583018 74.096 88.9619
147.949229 74.123 89.0328
148.315440 74.149 89.1363
148.681651 74.173 89.2762
149.047862 74.195 89.4547
149.414073 74.215 89.6717
149.780284 74.235 89.9251
150.146495 74.257 90.2116
150.512706 74.282 90.5273
150.878917 74.313 90.8676
151.245128 74.352 91.2278
151.611339 74.400 91.6022
151.977550 74.456 91.9828
152.343761 74.520 92.3587
152.709972 74.589 92.7146
153.076183 74.659 93.0314
153.442394 74.726 93.2881
153.808605 74.786 93.4648
154.174816 74.836 93.5466
154.541027 74.873 93.5272
154.907238 74.898 93.4109
155.273448 74.910 93.2123
155.639659 74.912 92.9537
156.005870 74.907 92.6615
156.372081 74.899 92.3612
156.738292 74.890 92.0739
157.104503 74.883 91.8133
157.470714 74.880 91.5851
157.836925 74.881 91.3879
158.203136 74.885 91.2157
158.569347 74.892 91.0598
158.935558 74.901 90.9118
159.301769 74.912 90.7653
159.667980 74.923 90.6169
160.034191 74.936 90.4668
160.400402 74.950 90.3171
160.766613 74.965 90.1719
161.132824 74.982 90.0354
161.499035 75.000 89.9114
161.865246 75.019 89.8029
162.231457 75.038 89.7124
162.597668 75.056 89.6418
162.963879 75.073 89.5931
163.330090 75.086 89.5683
163.696301 75.097 89.5692
164.062512 75.104 89.5972
164.428723 75.107 89.6531
164.794934 75.106 89.7369
165.161145 75.101 89.8481
165.527356 75.093 89.9857
165.893567 75.081 90.1488
166.259778 75.065 90.3361
166.625988 75.046 90.5461
166.992199 75.022 90.7756
167.358410 74.994 91.0192
167.724621 74.962 91.2676
168.090832 74.927 91.5076
168.457043 74.889 91.7215
168.823254 74.852 91.8884
169.189465 74.818 91.9861
169.555676 74.789 91.9941
169.921887 74.769 91.8966
170.288098 74.761 91.6867
170.654309 74.766 91.3685
171.020520 74.787 90.9592
171.386731 74.823 90.4891
171.752942 74.874 89.9994
172.119153 74.941 89.5385
