* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 2, 25 3:45:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD Blessing2 A2 DD L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.768 -33.7826
0.368865 34.707 -33.7865
0.371538 34.616 -33.7932
0.374230 34.502 -33.8028
0.376942 34.374 -33.8156
0.379673 34.235 -33.8320
0.382424 34.090 -33.8519
0.385196 33.941 -33.8756
0.387987 33.788 -33.9032
0.390798 33.634 -33.9347
0.393630 33.478 -33.9703
0.396483 33.320 -34.0098
0.399356 33.161 -34.0535
0.402250 33.001 -34.1015
0.405165 32.840 -34.1536
0.408101 32.678 -34.2101
0.411058 32.514 -34.2711
0.414037 32.349 -34.3365
0.417037 32.183 -34.4064
0.420059 32.016 -34.4810
0.423103 31.848 -34.5603
0.426169 31.678 -34.6445
0.429257 31.507 -34.7335
0.432368 31.335 -34.8276
0.435501 31.162 -34.9267
0.438656 30.987 -35.0311
0.441835 30.812 -35.1407
0.445037 30.635 -35.2558
0.448262 30.456 -35.3765
0.451510 30.277 -35.5028
0.454782 30.096 -35.6348
0.458077 29.913 -35.7729
0.461397 29.730 -35.9169
0.464740 29.545 -36.0672
0.468108 29.359 -36.2238
0.471500 29.171 -36.3870
0.474917 28.982 -36.5568
0.478358 28.792 -36.7334
0.481825 28.600 -36.9171
0.485316 28.407 -37.1080
0.488833 28.213 -37.3063
0.492375 28.017 -37.5121
0.495943 27.819 -37.7258
0.499537 27.621 -37.9475
0.503157 27.421 -38.1775
0.506803 27.219 -38.4159
0.510475 27.016 -38.6631
0.514175 26.811 -38.9193
0.517900 26.605 -39.1848
0.521653 26.398 -39.4599
0.525434 26.189 -39.7448
0.529241 25.979 -40.0400
0.533076 25.767 -40.3456
0.536939 25.553 -40.6621
0.540830 25.338 -40.9898
0.544749 25.121 -41.3292
0.548696 24.903 -41.6806
0.552673 24.683 -42.0444
0.556677 24.462 -42.4211
0.560711 24.239 -42.8112
0.564774 24.014 -43.2152
0.568867 23.788 -43.6336
0.572989 23.560 -44.0670
0.577141 23.331 -44.5159
0.581324 23.100 -44.9811
0.585536 22.867 -45.4633
0.589779 22.633 -45.9631
0.594053 22.396 -46.4814
0.598358 22.159 -47.0191
0.602694 21.919 -47.5770
0.607061 21.678 -48.1564
0.611460 21.435 -48.7582
0.615891 21.190 -49.3838
0.620354 20.943 -50.0346
0.624849 20.695 -50.7122
0.629377 20.445 -51.4186
0.633938 20.193 -52.1557
0.638532 19.939 -52.9262
0.643159 19.683 -53.7331
0.647819 19.426 -54.5799
0.652514 19.167 -55.4712
0.657242 18.905 -56.4126
0.662005 18.642 -57.4114
0.666802 18.377 -58.4772
0.671634 18.110 -59.6232
0.676501 17.842 -60.8678
0.681403 17.571 -62.2383
0.686341 17.299 -63.7762
0.691314 17.025 -65.5495
0.696324 16.751 -67.6766
0.701370 16.476 -70.3853
0.706452 16.204 -74.1725
0.711571 15.938 -80.3476
0.716728 15.683 -93.5465
0.721921 15.450 -136.1876
0.727153 15.252 157.6802
0.732422 15.102 135.9459
0.737729 15.010 127.7412
0.743075 14.978 123.4210
0.748460 14.998 120.7020
0.753883 15.061 118.8033
0.759346 15.159 117.3840
0.764849 15.288 116.2693
0.770391 15.442 115.3592
0.775974 15.621 114.5920
0.781597 15.821 113.9277
0.787261 16.043 113.3391
0.792966 16.285 112.8068
0.798712 16.548 112.3171
0.804500 16.830 111.8597
0.810329 17.132 111.4269
0.816201 17.453 111.0127
0.822116 17.792 110.6122
0.828073 18.150 110.2219
0.834074 18.524 109.8384
0.840118 18.916 109.4594
0.846206 19.325 109.0826
0.852338 19.749 108.7061
0.858514 20.189 108.3285
0.864735 20.643 107.9481
0.871001 21.111 107.5638
0.877313 21.593 107.1744
0.883670 22.087 106.7787
0.890074 22.592 106.3759
0.896524 23.109 105.9650
0.903020 23.635 105.5449
0.909564 24.171 105.1149
0.916155 24.714 104.6740
0.922794 25.265 104.2213
0.929481 25.822 103.7560
0.936216 26.384 103.2773
0.943000 26.950 102.7841
0.949834 27.519 102.2755
0.956717 28.089 101.7506
0.963649 28.660 101.2085
0.970632 29.230 100.6481
0.977666 29.797 100.0684
0.984750 30.361 99.4682
0.991886 30.920 98.8465
0.999074 31.473 98.2019
1.006314 32.017 97.5334
1.013606 32.552 96.8395
1.020951 33.076 96.1190
1.028349 33.588 95.3703
1.035801 34.085 94.5920
1.043307 34.567 93.7827
1.050867 35.031 92.9409
1.058482 35.477 92.0650
1.066152 35.903 91.1539
1.073878 36.308 90.2066
1.081660 36.692 89.2229
1.089498 37.056 88.2034
1.097393 37.400 87.1499
1.105345 37.727 86.0658
1.113355 38.039 84.9552
1.121423 38.336 83.8225
1.129549 38.622 82.6722
1.137734 38.895 81.5082
1.145979 39.158 80.3338
1.154283 39.411 79.1520
1.162647 39.654 77.9654
1.171072 39.887 76.7760
1.179558 40.111 75.5857
1.188106 40.326 74.3961
1.196715 40.532 73.2082
1.205387 40.730 72.0230
1.214122 40.921 70.8413
1.222920 41.103 69.6635
1.231782 41.279 68.4897
1.240708 41.448 67.3202
1.249699 41.611 66.1547
1.258754 41.768 64.9929
1.267876 41.919 63.8342
1.277063 42.067 62.6782
1.286318 42.209 61.5239
1.295639 42.349 60.3705
1.305027 42.485 59.2170
1.314484 42.619 58.0623
1.324009 42.752 56.9052
1.333604 42.884 55.7444
1.343268 43.015 54.5784
1.353002 43.148 53.4059
1.362806 43.281 52.2254
1.372681 43.417 51.0353
1.382628 43.557 49.8339
1.392647 43.700 48.6198
1.402739 43.849 47.3912
1.412904 44.003 46.1469
1.423142 44.163 44.8856
1.433455 44.331 43.6066
1.443843 44.506 42.3100
1.454305 44.687 40.9971
1.464844 44.875 39.6704
1.475459 45.067 38.3337
1.486150 45.262 36.9915
1.496920 45.460 35.6478
1.507767 45.660 34.3063
1.518693 45.861 32.9696
1.529698 46.062 31.6396
1.540783 46.264 30.3175
1.551948 46.467 29.0040
1.563194 46.670 27.6993
1.574521 46.874 26.4034
1.585931 47.078 25.1158
1.597423 47.283 23.8361
1.608999 47.488 22.5634
1.620658 47.694 21.2966
1.632402 47.901 20.0348
1.644232 48.108 18.7766
1.656146 48.316 17.5209
1.668147 48.525 16.2661
1.680235 48.734 15.0107
1.692411 48.945 13.7534
1.704675 49.156 12.4924
1.717028 49.368 11.2263
1.729470 49.581 9.9534
1.742003 49.795 8.6722
1.754626 50.010 7.3815
1.767341 50.226 6.0798
1.780147 50.443 4.7665
1.793047 50.661 3.4412
1.806040 50.881 2.1044
1.819128 51.101 0.7581
1.832310 51.323 -0.5948
1.845587 51.546 -1.9503
1.858961 51.771 -3.3036
1.872432 51.996 -4.6509
1.886001 52.223 -5.9889
1.899667 52.451 -7.3152
1.913433 52.679 -8.6284
1.927299 52.909 -9.9278
1.941265 53.140 -11.2130
1.955332 53.371 -12.4841
1.969501 53.604 -13.7418
1.983773 53.836 -14.9866
1.998148 54.070 -16.2196
2.012627 54.304 -17.4418
2.027212 54.539 -18.6545
2.041902 54.773 -19.8591
2.056698 55.009 -21.0569
2.071602 55.244 -22.2496
2.086614 55.479 -23.4385
2.101734 55.715 -24.6254
2.116964 55.950 -25.8114
2.132304 56.185 -26.9979
2.147756 56.420 -28.1858
2.163320 56.655 -29.3754
2.178996 56.889 -30.5664
2.194786 57.123 -31.7574
2.210690 57.356 -32.9465
2.226710 57.589 -34.1310
2.242845 57.822 -35.3085
2.259098 58.055 -36.4772
2.275468 58.287 -37.6359
2.291957 58.519 -38.7839
2.308566 58.750 -39.9211
2.325295 58.982 -41.0475
2.342145 59.213 -42.1638
2.359117 59.443 -43.2704
2.376212 59.674 -44.3684
2.393431 59.904 -45.4586
2.410775 60.133 -46.5421
2.428244 60.363 -47.6201
2.445840 60.591 -48.6938
2.463564 60.820 -49.7643
2.481416 61.048 -50.8328
2.499397 61.275 -51.9003
2.517509 61.502 -52.9674
2.535752 61.728 -54.0345
2.554127 61.954 -55.1014
2.572635 62.179 -56.1674
2.591277 62.403 -57.2311
2.610055 62.626 -58.2911
2.628968 62.849 -59.3463
2.648019 63.070 -60.3957
2.667208 63.291 -61.4388
2.686535 63.511 -62.4753
2.706003 63.729 -63.5053
2.725612 63.947 -64.5289
2.745363 64.164 -65.5466
2.765257 64.381 -66.5588
2.785295 64.597 -67.5663
2.805478 64.812 -68.5695
2.825808 65.026 -69.5695
2.846285 65.240 -70.5667
2.866910 65.453 -71.5620
2.887685 65.666 -72.5560
2.908611 65.878 -73.5489
2.929688 66.089 -74.5407
2.950917 66.299 -75.5311
2.972301 66.509 -76.5193
2.993839 66.717 -77.5049
3.015534 66.924 -78.4871
3.037386 67.130 -79.4655
3.059396 67.336 -80.4398
3.081565 67.540 -81.4100
3.103896 67.743 -82.3760
3.126388 67.945 -83.3380
3.149043 68.147 -84.2964
3.171862 68.347 -85.2515
3.194847 68.548 -86.2037
3.217998 68.747 -87.1536
3.241317 68.946 -88.1016
3.264805 69.144 -89.0480
3.288463 69.341 -89.9932
3.312293 69.538 -90.9372
3.336295 69.733 -91.8798
3.360471 69.928 -92.8207
3.384822 70.121 -93.7596
3.409350 70.314 -94.6962
3.434056 70.505 -95.6301
3.458940 70.696 -96.5613
3.484005 70.885 -97.4896
3.509252 71.074 -98.4152
3.534681 71.262 -99.3381
3.560295 71.450 -100.2587
3.586094 71.636 -101.1771
3.612081 71.822 -102.0936
3.638255 72.008 -103.0087
3.664620 72.192 -103.9225
3.691175 72.376 -104.8351
3.717923 72.559 -105.7466
3.744864 72.741 -106.6566
3.772001 72.922 -107.5651
3.799335 73.102 -108.4719
3.826866 73.281 -109.3770
3.854597 73.459 -110.2800
3.882529 73.637 -111.1813
3.910664 73.814 -112.0808
3.939002 73.990 -112.9788
3.967546 74.166 -113.8754
3.996296 74.341 -114.7709
4.025255 74.515 -115.6656
4.054423 74.688 -116.5596
4.083804 74.861 -117.4530
4.113396 75.033 -118.3457
4.143204 75.204 -119.2377
4.173227 75.374 -120.1288
4.203468 75.543 -121.0188
4.233928 75.712 -121.9078
4.264609 75.879 -122.7959
4.295512 76.046 -123.6831
4.326639 76.213 -124.5696
4.357992 76.379 -125.4557
4.389572 76.544 -126.3416
4.421380 76.708 -127.2275
4.453419 76.871 -128.1135
4.485691 77.034 -128.9997
4.518196 77.196 -129.8859
4.550936 77.357 -130.7720
4.583914 77.517 -131.6577
4.617131 77.677 -132.5432
4.650589 77.835 -133.4283
4.684289 77.993 -134.3133
4.718233 78.150 -135.1983
4.752424 78.307 -136.0837
4.786862 78.462 -136.9697
4.821549 78.617 -137.8564
4.856488 78.771 -138.7439
4.891680 78.924 -139.6320
4.927127 79.076 -140.5205
4.962831 79.227 -141.4092
4.998794 79.377 -142.2978
5.035017 79.527 -143.1863
5.071503 79.675 -144.0749
5.108253 79.823 -144.9638
5.145270 79.970 -145.8533
5.182555 80.116 -146.7436
5.220110 80.261 -147.6348
5.257937 80.405 -148.5269
5.296038 80.547 -149.4193
5.334415 80.689 -150.3118
5.373071 80.830 -151.2040
5.412006 80.970 -152.0958
5.451224 81.109 -152.9873
5.490725 81.247 -153.8786
5.530514 81.384 -154.7701
5.570590 81.520 -155.6619
5.610957 81.655 -156.5541
5.651616 81.789 -157.4463
5.692570 81.922 -158.3382
5.733821 82.053 -159.2292
5.775370 82.184 -160.1192
5.817221 82.314 -161.0079
5.859375 82.443 -161.8956
5.901834 82.570 -162.7823
5.944602 82.697 -163.6686
5.987679 82.823 -164.5541
6.031068 82.947 -165.4388
6.074771 83.071 -166.3221
6.118792 83.193 -167.2037
6.163131 83.315 -168.0834
6.207792 83.435 -168.9611
6.252776 83.555 -169.8368
6.298086 83.674 -170.7109
6.343725 83.792 -171.5835
6.389694 83.908 -172.4544
6.435996 84.024 -173.3234
