* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 2, 25 3:47:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD Blessing2 A2 LDF L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.735 -11.1267
0.368865 53.731 -11.1357
0.371538 53.725 -11.1491
0.374230 53.718 -11.1660
0.376942 53.710 -11.1854
0.379673 53.701 -11.2068
0.382424 53.692 -11.2298
0.385196 53.682 -11.2540
0.387987 53.672 -11.2794
0.390798 53.663 -11.3058
0.393630 53.653 -11.3333
0.396483 53.643 -11.3617
0.399356 53.633 -11.3912
0.402250 53.623 -11.4217
0.405165 53.612 -11.4531
0.408101 53.602 -11.4856
0.411058 53.592 -11.5191
0.414037 53.581 -11.5537
0.417037 53.571 -11.5892
0.420059 53.560 -11.6258
0.423103 53.549 -11.6635
0.426169 53.539 -11.7022
0.429257 53.528 -11.7419
0.432368 53.517 -11.7827
0.435501 53.506 -11.8246
0.438656 53.495 -11.8676
0.441835 53.484 -11.9116
0.445037 53.473 -11.9567
0.448262 53.461 -12.0029
0.451510 53.450 -12.0502
0.454782 53.438 -12.0986
0.458077 53.427 -12.1481
0.461397 53.415 -12.1987
0.464740 53.404 -12.2504
0.468108 53.392 -12.3031
0.471500 53.380 -12.3570
0.474917 53.368 -12.4120
0.478358 53.356 -12.4681
0.481825 53.344 -12.5252
0.485316 53.331 -12.5835
0.488833 53.319 -12.6429
0.492375 53.307 -12.7033
0.495943 53.294 -12.7649
0.499537 53.282 -12.8275
0.503157 53.269 -12.8912
0.506803 53.256 -12.9559
0.510475 53.243 -13.0217
0.514175 53.230 -13.0886
0.517900 53.217 -13.1565
0.521653 53.204 -13.2254
0.525434 53.191 -13.2954
0.529241 53.178 -13.3663
0.533076 53.164 -13.4383
0.536939 53.151 -13.5111
0.540830 53.137 -13.5850
0.544749 53.123 -13.6598
0.548696 53.109 -13.7355
0.552673 53.095 -13.8120
0.556677 53.081 -13.8895
0.560711 53.067 -13.9678
0.564774 53.053 -14.0469
0.568867 53.039 -14.1267
0.572989 53.024 -14.2074
0.577141 53.010 -14.2887
0.581324 52.995 -14.3707
0.585536 52.980 -14.4533
0.589779 52.965 -14.5366
0.594053 52.950 -14.6204
0.598358 52.935 -14.7047
0.602694 52.920 -14.7895
0.607061 52.905 -14.8746
0.611460 52.889 -14.9602
0.615891 52.874 -15.0460
0.620354 52.858 -15.1320
0.624849 52.843 -15.2183
0.629377 52.827 -15.3046
0.633938 52.811 -15.3910
0.638532 52.795 -15.4773
0.643159 52.778 -15.5635
0.647819 52.762 -15.6495
0.652514 52.746 -15.7352
0.657242 52.729 -15.8205
0.662005 52.712 -15.9053
0.666802 52.696 -15.9896
0.671634 52.679 -16.0732
0.676501 52.662 -16.1560
0.681403 52.644 -16.2378
0.686341 52.627 -16.3187
0.691314 52.610 -16.3984
0.696324 52.592 -16.4769
0.701370 52.574 -16.5539
0.706452 52.556 -16.6295
0.711571 52.538 -16.7035
0.716728 52.520 -16.7758
0.721921 52.502 -16.8465
0.727153 52.483 -16.9157
0.732422 52.464 -16.9834
0.737729 52.444 -17.0500
0.743075 52.424 -17.1157
0.748460 52.403 -17.1808
0.753883 52.381 -17.2453
0.759346 52.359 -17.3096
0.764849 52.337 -17.3735
0.770391 52.314 -17.4372
0.775974 52.291 -17.5006
0.781597 52.267 -17.5639
0.787261 52.243 -17.6268
0.792966 52.218 -17.6895
0.798712 52.193 -17.7519
0.804500 52.167 -17.8141
0.810329 52.141 -17.8759
0.816201 52.115 -17.9374
0.822116 52.088 -17.9985
0.828073 52.061 -18.0592
0.834074 52.034 -18.1196
0.840118 52.006 -18.1795
0.846206 51.978 -18.2389
0.852338 51.949 -18.2978
0.858514 51.921 -18.3562
0.864735 51.892 -18.4140
0.871001 51.863 -18.4713
0.877313 51.834 -18.5278
0.883670 51.804 -18.5837
0.890074 51.775 -18.6389
0.896524 51.745 -18.6932
0.903020 51.716 -18.7468
0.909564 51.686 -18.7994
0.916155 51.656 -18.8512
0.922794 51.627 -18.9019
0.929481 51.597 -18.9516
0.936216 51.568 -19.0001
0.943000 51.538 -19.0475
0.949834 51.509 -19.0936
0.956717 51.480 -19.1384
0.963649 51.452 -19.1818
0.970632 51.423 -19.2237
0.977666 51.395 -19.2640
0.984750 51.368 -19.3027
0.991886 51.341 -19.3397
0.999074 51.314 -19.3748
1.006314 51.288 -19.4081
1.013606 51.263 -19.4393
1.020951 51.238 -19.4684
1.028349 51.215 -19.4952
1.035801 51.192 -19.5197
1.043307 51.169 -19.5417
1.050867 51.148 -19.5611
1.058482 51.128 -19.5777
1.066152 51.109 -19.5913
1.073878 51.090 -19.6015
1.081660 51.073 -19.6079
1.089498 51.057 -19.6099
1.097393 51.042 -19.6067
1.105345 51.028 -19.5975
1.113355 51.015 -19.5812
1.121423 51.002 -19.5574
1.129549 50.989 -19.5254
1.137734 50.978 -19.4852
1.145979 50.966 -19.4368
1.154283 50.956 -19.3803
1.162647 50.946 -19.3159
1.171072 50.936 -19.2440
1.179558 50.927 -19.1649
1.188106 50.919 -19.0790
1.196715 50.911 -18.9869
1.205387 50.904 -18.8889
1.214122 50.898 -18.7856
1.222920 50.893 -18.6775
1.231782 50.889 -18.5653
1.240708 50.886 -18.4495
1.249699 50.884 -18.3308
1.258754 50.883 -18.2099
1.267876 50.883 -18.0876
1.277063 50.884 -17.9645
1.286318 50.887 -17.8415
1.295639 50.891 -17.7193
1.305027 50.897 -17.5990
1.314484 50.904 -17.4813
1.324009 50.913 -17.3672
1.333604 50.923 -17.2577
1.343268 50.935 -17.1537
1.353002 50.949 -17.0563
1.362806 50.965 -16.9665
1.372681 50.983 -16.8853
1.382628 51.003 -16.8137
1.392647 51.026 -16.7529
1.402739 51.050 -16.7037
1.412904 51.077 -16.6668
1.423142 51.107 -16.6429
1.433455 51.139 -16.6321
1.443843 51.175 -16.6338
1.454305 51.213 -16.6468
1.464844 51.254 -16.6690
1.475459 51.298 -16.6977
1.486150 51.345 -16.7301
1.496920 51.396 -16.7644
1.507767 51.450 -16.7993
1.518693 51.507 -16.8347
1.529698 51.567 -16.8708
1.540783 51.631 -16.9085
1.551948 51.698 -16.9488
1.563194 51.768 -16.9928
1.574521 51.841 -17.0420
1.585931 51.917 -17.0977
1.597423 51.996 -17.1613
1.608999 52.078 -17.2342
1.620658 52.163 -17.3179
1.632402 52.251 -17.4136
1.644232 52.341 -17.5229
1.656146 52.434 -17.6472
1.668147 52.530 -17.7878
1.680235 52.628 -17.9461
1.692411 52.728 -18.1234
1.704675 52.831 -18.3211
1.717028 52.936 -18.5403
1.729470 53.042 -18.7824
1.742003 53.151 -19.0482
1.754626 53.261 -19.3389
1.767341 53.373 -19.6550
1.780147 53.487 -19.9968
1.793047 53.602 -20.3640
1.806040 53.720 -20.7554
1.819128 53.839 -21.1688
1.832310 53.960 -21.6010
1.845587 54.083 -22.0479
1.858961 54.210 -22.5058
1.872432 54.339 -22.9720
1.886001 54.471 -23.4447
1.899667 54.607 -23.9232
1.913433 54.745 -24.4076
1.927299 54.887 -24.8986
1.941265 55.032 -25.3971
1.955332 55.179 -25.9040
1.969501 55.330 -26.4207
1.983773 55.483 -26.9484
1.998148 55.638 -27.4882
2.012627 55.796 -28.0416
2.027212 55.956 -28.6096
2.041902 56.118 -29.1935
2.056698 56.282 -29.7946
2.071602 56.448 -30.4140
2.086614 56.615 -31.0527
2.101734 56.783 -31.7118
2.116964 56.953 -32.3919
2.132304 57.124 -33.0935
2.147756 57.296 -33.8165
2.163320 57.468 -34.5602
2.178996 57.642 -35.3227
2.194786 57.817 -36.1014
2.210690 57.993 -36.8924
2.226710 58.170 -37.6921
2.242845 58.350 -38.4972
2.259098 58.531 -39.3056
2.275468 58.714 -40.1162
2.291957 58.900 -40.9286
2.308566 59.087 -41.7430
2.325295 59.275 -42.5599
2.342145 59.466 -43.3802
2.359117 59.658 -44.2048
2.376212 59.851 -45.0349
2.393431 60.046 -45.8715
2.410775 60.242 -46.7157
2.428244 60.439 -47.5687
2.445840 60.637 -48.4317
2.463564 60.835 -49.3055
2.481416 61.035 -50.1912
2.499397 61.234 -51.0891
2.517509 61.435 -51.9993
2.535752 61.635 -52.9211
2.554127 61.836 -53.8530
2.572635 62.038 -54.7926
2.591277 62.240 -55.7372
2.610055 62.443 -56.6841
2.628968 62.647 -57.6313
2.648019 62.851 -58.5777
2.667208 63.057 -59.5226
2.686535 63.263 -60.4662
2.706003 63.470 -61.4088
2.725612 63.678 -62.3509
2.745363 63.886 -63.2933
2.765257 64.094 -64.2371
2.785295 64.303 -65.1832
2.805478 64.512 -66.1326
2.825808 64.721 -67.0864
2.846285 64.930 -68.0454
2.866910 65.139 -69.0102
2.887685 65.348 -69.9812
2.908611 65.557 -70.9578
2.929688 65.766 -71.9393
2.950917 65.975 -72.9241
2.972301 66.183 -73.9103
2.993839 66.392 -74.8966
3.015534 66.600 -75.8817
3.037386 66.808 -76.8651
3.059396 67.017 -77.8466
3.081565 67.225 -78.8262
3.103896 67.433 -79.8045
3.126388 67.640 -80.7819
3.149043 67.848 -81.7593
3.171862 68.055 -82.7374
3.194847 68.261 -83.7169
3.217998 68.468 -84.6989
3.241317 68.673 -85.6837
3.264805 68.879 -86.6719
3.288463 69.084 -87.6631
3.312293 69.288 -88.6570
3.336295 69.491 -89.6527
3.360471 69.694 -90.6490
3.384822 69.897 -91.6452
3.409350 70.098 -92.6407
3.434056 70.299 -93.6349
3.458940 70.499 -94.6278
3.484005 70.699 -95.6195
3.509252 70.898 -96.6102
3.534681 71.096 -97.6002
3.560295 71.294 -98.5902
3.586094 71.490 -99.5807
3.612081 71.687 -100.5723
3.638255 71.882 -101.5654
3.664620 72.076 -102.5602
3.691175 72.270 -103.5566
3.717923 72.462 -104.5543
3.744864 72.654 -105.5528
3.772001 72.845 -106.5513
3.799335 73.034 -107.5496
3.826866 73.223 -108.5470
3.854597 73.410 -109.5435
3.882529 73.597 -110.5389
3.910664 73.783 -111.5333
3.939002 73.968 -112.5271
3.967546 74.152 -113.5206
3.996296 74.335 -114.5144
4.025255 74.517 -115.5089
4.054423 74.698 -116.5045
4.083804 74.877 -117.5012
4.113396 75.056 -118.4989
4.143204 75.233 -119.4971
4.173227 75.410 -120.4952
4.203468 75.585 -121.4927
4.233928 75.759 -122.4893
4.264609 75.931 -123.4846
4.295512 76.103 -124.4786
4.326639 76.274 -125.4715
4.357992 76.444 -126.4636
4.389572 76.612 -127.4555
4.421380 76.779 -128.4477
4.453419 76.946 -129.4406
4.485691 77.110 -130.4341
4.518196 77.274 -131.4280
4.550936 77.436 -132.4217
4.583914 77.597 -133.4145
4.617131 77.757 -134.4060
4.650589 77.916 -135.3958
4.684289 78.073 -136.3838
4.718233 78.230 -137.3702
4.752424 78.385 -138.3554
4.786862 78.539 -139.3400
4.821549 78.691 -140.3246
4.856488 78.842 -141.3091
4.891680 78.992 -142.2935
4.927127 79.141 -143.2771
4.962831 79.289 -144.2594
4.998794 79.435 -145.2397
5.035017 79.580 -146.2177
5.071503 79.724 -147.1932
5.108253 79.866 -148.1665
5.145270 80.007 -149.1381
5.182555 80.147 -150.1086
5.220110 80.286 -151.0782
5.257937 80.424 -152.0468
5.296038 80.560 -153.0139
5.334415 80.695 -153.9790
5.373071 80.829 -154.9415
5.412006 80.961 -155.9009
5.451224 81.092 -156.8571
5.490725 81.223 -157.8103
5.530514 81.352 -158.7611
5.570590 81.479 -159.7098
5.610957 81.606 -160.6565
5.651616 81.731 -161.6011
5.692570 81.856 -162.5430
5.733821 81.979 -163.4817
5.775370 82.101 -164.4167
5.817221 82.222 -165.3479
5.859375 82.341 -166.2753
5.901834 82.460 -167.1994
5.944602 82.578 -168.1205
5.987679 82.695 -169.0386
6.031068 82.810 -169.9536
6.074771 82.925 -170.8652
