* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 2, 25 3:36:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD Blessing2 LDF DD L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 50.526 -0.9268
0.368865 50.519 -0.9172
0.371538 50.508 -0.9031
0.374230 50.495 -0.8855
0.376942 50.480 -0.8655
0.379673 50.464 -0.8439
0.382424 50.447 -0.8212
0.385196 50.429 -0.7977
0.387987 50.412 -0.7736
0.390798 50.394 -0.7490
0.393630 50.376 -0.7238
0.396483 50.358 -0.6982
0.399356 50.339 -0.6721
0.402250 50.321 -0.6455
0.405165 50.302 -0.6184
0.408101 50.283 -0.5909
0.411058 50.264 -0.5627
0.414037 50.245 -0.5341
0.417037 50.226 -0.5049
0.420059 50.207 -0.4751
0.423103 50.187 -0.4447
0.426169 50.168 -0.4137
0.429257 50.148 -0.3821
0.432368 50.128 -0.3498
0.435501 50.108 -0.3168
0.438656 50.088 -0.2832
0.441835 50.067 -0.2488
0.445037 50.047 -0.2136
0.448262 50.026 -0.1777
0.451510 50.006 -0.1410
0.454782 49.985 -0.1035
0.458077 49.964 -0.0651
0.461397 49.942 -0.0259
0.464740 49.921 0.0143
0.468108 49.899 0.0554
0.471500 49.878 0.0974
0.474917 49.856 0.1405
0.478358 49.834 0.1846
0.481825 49.812 0.2298
0.485316 49.789 0.2760
0.488833 49.767 0.3234
0.492375 49.744 0.3720
0.495943 49.721 0.4217
0.499537 49.698 0.4728
0.503157 49.675 0.5251
0.506803 49.652 0.5787
0.510475 49.629 0.6338
0.514175 49.605 0.6902
0.517900 49.581 0.7482
0.521653 49.557 0.8076
0.525434 49.533 0.8686
0.529241 49.509 0.9313
0.533076 49.484 0.9956
0.536939 49.459 1.0616
0.540830 49.434 1.1294
0.544749 49.409 1.1991
0.548696 49.384 1.2706
0.552673 49.359 1.3442
0.556677 49.333 1.4197
0.560711 49.307 1.4974
0.564774 49.281 1.5772
0.568867 49.255 1.6592
0.572989 49.229 1.7436
0.577141 49.202 1.8303
0.581324 49.175 1.9195
0.585536 49.149 2.0112
0.589779 49.121 2.1056
0.594053 49.094 2.2026
0.598358 49.067 2.3025
0.602694 49.039 2.4052
0.607061 49.011 2.5108
0.611460 48.983 2.6196
0.615891 48.954 2.7315
0.620354 48.926 2.8466
0.624849 48.897 2.9652
0.629377 48.868 3.0871
0.633938 48.839 3.2127
0.638532 48.810 3.3419
0.643159 48.780 3.4750
0.647819 48.750 3.6119
0.652514 48.720 3.7529
0.657242 48.690 3.8981
0.662005 48.660 4.0475
0.666802 48.629 4.2013
0.671634 48.598 4.3597
0.676501 48.567 4.5227
0.681403 48.536 4.6905
0.686341 48.504 4.8633
0.691314 48.472 5.0411
0.696324 48.440 5.2242
0.701370 48.408 5.4126
0.706452 48.376 5.6066
0.711571 48.343 5.8063
0.716728 48.311 6.0119
0.721921 48.278 6.2236
0.727153 48.246 6.4417
0.732422 48.214 6.6664
0.737729 48.183 6.8982
0.743075 48.152 7.1373
0.748460 48.121 7.3841
0.753883 48.089 7.6388
0.759346 48.058 7.9018
0.764849 48.025 8.1731
0.770391 47.993 8.4531
0.775974 47.960 8.7419
0.781597 47.926 9.0396
0.787261 47.892 9.3466
0.792966 47.857 9.6628
0.798712 47.822 9.9886
0.804500 47.787 10.3241
0.810329 47.751 10.6693
0.816201 47.715 11.0246
0.822116 47.678 11.3900
0.828073 47.642 11.7657
0.834074 47.605 12.1519
0.840118 47.567 12.5486
0.846206 47.530 12.9560
0.852338 47.492 13.3742
0.858514 47.455 13.8033
0.864735 47.417 14.2433
0.871001 47.380 14.6945
0.877313 47.342 15.1567
0.883670 47.305 15.6301
0.890074 47.268 16.1146
0.896524 47.231 16.6103
0.903020 47.194 17.1171
0.909564 47.158 17.6349
0.916155 47.122 18.1637
0.922794 47.087 18.7033
0.929481 47.052 19.2537
0.936216 47.018 19.8145
0.943000 46.985 20.3856
0.949834 46.952 20.9666
0.956717 46.921 21.5574
0.963649 46.890 22.1575
0.970632 46.861 22.7665
0.977666 46.833 23.3839
0.984750 46.806 24.0093
0.991886 46.780 24.6421
0.999074 46.756 25.2817
1.006314 46.734 25.9275
1.013606 46.713 26.5786
1.020951 46.694 27.2344
1.028349 46.677 27.8941
1.035801 46.662 28.5567
1.043307 46.650 29.2215
1.050867 46.639 29.8874
1.058482 46.632 30.5538
1.066152 46.626 31.2197
1.073878 46.624 31.8847
1.081660 46.624 32.5485
1.089498 46.628 33.2112
1.097393 46.635 33.8734
1.105345 46.645 34.5363
1.113355 46.658 35.2009
1.121423 46.675 35.8682
1.129549 46.696 36.5384
1.137734 46.720 37.2114
1.145979 46.747 37.8869
1.154283 46.778 38.5640
1.162647 46.812 39.2419
1.171072 46.850 39.9195
1.179558 46.891 40.5960
1.188106 46.935 41.2701
1.196715 46.981 41.9408
1.205387 47.031 42.6070
1.214122 47.084 43.2678
1.222920 47.139 43.9219
1.231782 47.197 44.5685
1.240708 47.258 45.2065
1.249699 47.321 45.8350
1.258754 47.386 46.4530
1.267876 47.454 47.0597
1.277063 47.523 47.6541
1.286318 47.594 48.2355
1.295639 47.667 48.8031
1.305027 47.741 49.3561
1.314484 47.817 49.8938
1.324009 47.893 50.4155
1.333604 47.971 50.9206
1.343268 48.050 51.4085
1.353002 48.129 51.8786
1.362806 48.208 52.3304
1.372681 48.287 52.7634
1.382628 48.366 53.1770
1.392647 48.445 53.5709
1.402739 48.524 53.9447
1.412904 48.601 54.2981
1.423142 48.678 54.6308
1.433455 48.753 54.9430
1.443843 48.828 55.2349
1.454305 48.902 55.5070
1.464844 48.975 55.7601
1.475459 49.048 55.9955
1.486150 49.122 56.2143
1.496920 49.196 56.4174
1.507767 49.272 56.6053
1.518693 49.348 56.7784
1.529698 49.426 56.9369
1.540783 49.505 57.0807
1.551948 49.586 57.2097
1.563194 49.667 57.3239
1.574521 49.749 57.4231
1.585931 49.832 57.5071
1.597423 49.916 57.5759
1.608999 50.000 57.6293
1.620658 50.084 57.6670
1.632402 50.168 57.6891
1.644232 50.253 57.6953
1.656146 50.337 57.6854
1.668147 50.421 57.6592
1.680235 50.504 57.6166
1.692411 50.586 57.5572
1.704675 50.668 57.4809
1.717028 50.748 57.3874
1.729470 50.826 57.2762
1.742003 50.903 57.1471
1.754626 50.978 56.9996
1.767341 51.051 56.8333
1.780147 51.121 56.6475
1.793047 51.189 56.4417
1.806040 51.254 56.2150
1.819128 51.317 55.9667
1.832310 51.376 55.6960
1.845587 51.433 55.4022
1.858961 51.488 55.0848
1.872432 51.540 54.7435
1.886001 51.590 54.3785
1.899667 51.638 53.9901
1.913433 51.684 53.5787
1.927299 51.728 53.1448
1.941265 51.769 52.6890
1.955332 51.809 52.2116
1.969501 51.846 51.7132
1.983773 51.881 51.1942
1.998148 51.914 50.6549
2.012627 51.945 50.0957
2.027212 51.973 49.5166
2.041902 52.000 48.9178
2.056698 52.024 48.2993
2.071602 52.046 47.6608
2.086614 52.065 47.0022
2.101734 52.083 46.3228
2.116964 52.098 45.6219
2.132304 52.111 44.8983
2.147756 52.121 44.1506
2.163320 52.128 43.3764
2.178996 52.132 42.5728
2.194786 52.133 41.7364
2.210690 52.130 40.8632
2.226710 52.122 39.9493
2.242845 52.109 38.9919
2.259098 52.091 37.9890
2.275468 52.069 36.9394
2.291957 52.042 35.8426
2.308566 52.012 34.6985
2.325295 51.978 33.5073
2.342145 51.941 32.2690
2.359117 51.902 30.9836
2.376212 51.861 29.6512
2.393431 51.819 28.2714
2.410775 51.778 26.8439
2.428244 51.737 25.3678
2.445840 51.698 23.8420
2.463564 51.661 22.2647
2.481416 51.628 20.6334
2.499397 51.599 18.9449
2.517509 51.575 17.1947
2.535752 51.557 15.3769
2.554127 51.545 13.4841
2.572635 51.540 11.5085
2.591277 51.542 9.4422
2.610055 51.549 7.2792
2.628968 51.562 5.0162
2.648019 51.580 2.6525
2.667208 51.602 0.1895
2.686535 51.626 -2.3692
2.706003 51.654 -5.0189
2.725612 51.683 -7.7534
2.745363 51.713 -10.5659
2.765257 51.744 -13.4490
2.785295 51.775 -16.3947
2.805478 51.806 -19.3952
2.825808 51.838 -22.4427
2.846285 51.873 -25.5301
2.866910 51.913 -28.6509
2.887685 51.962 -31.7991
2.908611 52.029 -34.9696
2.929688 52.119 -38.1567
2.950917 52.238 -41.3534
2.972301 52.387 -44.5501
2.993839 52.564 -47.7347
3.015534 52.765 -50.8933
3.037386 52.987 -54.0120
3.059396 53.226 -57.0777
3.081565 53.481 -60.0796
3.103896 53.747 -63.0091
3.126388 54.023 -65.8605
3.149043 54.306 -68.6304
3.171862 54.594 -71.3179
3.194847 54.886 -73.9241
3.217998 55.179 -76.4517
3.241317 55.472 -78.9045
3.264805 55.766 -81.2870
3.288463 56.060 -83.6035
3.312293 56.355 -85.8577
3.336295 56.653 -88.0518
3.360471 56.953 -90.1870
3.384822 57.257 -92.2636
3.409350 57.564 -94.2816
3.434056 57.874 -96.2416
3.458940 58.185 -98.1443
3.484005 58.497 -99.9917
3.509252 58.808 -101.7859
3.534681 59.118 -103.5298
3.560295 59.425 -105.2270
3.586094 59.729 -106.8811
3.612081 60.028 -108.4963
3.638255 60.322 -110.0765
3.664620 60.612 -111.6255
3.691175 60.896 -113.1463
3.717923 61.176 -114.6409
3.744864 61.452 -116.1103
3.772001 61.724 -117.5548
3.799335 61.993 -118.9743
3.826866 62.257 -120.3688
3.854597 62.518 -121.7385
3.882529 62.776 -123.0839
3.910664 63.031 -124.4059
3.939002 63.282 -125.7060
3.967546 63.530 -126.9860
3.996296 63.774 -128.2483
4.025255 64.014 -129.4952
4.054423 64.251 -130.7291
4.083804 64.484 -131.9517
4.113396 64.713 -133.1637
4.143204 64.938 -134.3651
4.173227 65.159 -135.5553
4.203468 65.376 -136.7333
4.233928 65.590 -137.8985
4.264609 65.800 -139.0503
4.295512 66.008 -140.1887
4.326639 66.212 -141.3142
4.357992 66.413 -142.4279
4.389572 66.611 -143.5317
4.421380 66.805 -144.6273
4.453419 66.996 -145.7163
4.485691 67.184 -146.7996
4.518196 67.368 -147.8769
4.550936 67.548 -148.9475
4.583914 67.726 -150.0103
4.617131 67.900 -151.0641
4.650589 68.071 -152.1080
4.684289 68.239 -153.1417
4.718233 68.404 -154.1655
4.752424 68.567 -155.1805
4.786862 68.726 -156.1880
4.821549 68.883 -157.1897
4.856488 69.036 -158.1861
4.891680 69.186 -159.1773
4.927127 69.334 -160.1625
4.962831 69.478 -161.1406
4.998794 69.620 -162.1104
5.035017 69.759 -163.0710
5.071503 69.895 -164.0219
5.108253 70.029 -164.9634
5.145270 70.160 -165.8964
5.182555 70.289 -166.8220
5.220110 70.415 -167.7412
5.257937 70.539 -168.6541
5.296038 70.660 -169.5603
5.334415 70.778 -170.4590
5.373071 70.894 -171.3491
5.412006 71.009 -172.2299
5.451224 71.121 -173.1010
5.490725 71.231 -173.9625
5.530514 71.339 -174.8150
5.570590 71.445 -175.6594
5.610957 71.549 -176.4962
5.651616 71.651 -177.3254
5.692570 71.752 -178.1470
5.733821 71.850 -178.9603
5.775370 71.947 -179.7650
5.817221 72.043 179.4393
5.859375 72.137 178.6526
5.901834 72.230 177.8743
5.944602 72.322 177.1041
5.987679 72.412 176.3414
6.031068 72.501 175.5857
6.074771 72.589 174.8369
6.118792 72.676 174.0948
6.163131 72.762 173.3595
6.207792 72.847 172.6307
6.252776 72.931 171.9082
6.298086 73.015 171.1916
6.343725 73.098 170.4805
6.389694 73.180 169.7742
6.435996 73.261 169.0724
6.482634 73.342 168.3745
6.529610 73.422 167.6801
6.576926 73.502 166.9888
6.624585 73.581 166.3003
6.672590 73.659 165.6142
6.720942 73.737 164.9303
6.769645 73.814 164.2483
6.818700 73.891 163.5679
6.868111 73.966 162.8888
