* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 2, 25 3:33:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD Blessing2 LDF big L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.002 -79.8098
0.368865 37.007 -79.8813
0.371538 37.014 -79.9884
0.374230 37.023 -80.1233
0.376942 37.033 -80.2789
0.379673 37.043 -80.4502
0.382424 37.054 -80.6340
0.385196 37.066 -80.8282
0.387987 37.077 -81.0317
0.390798 37.089 -81.2438
0.393630 37.101 -81.4643
0.396483 37.113 -81.6930
0.399356 37.125 -81.9300
0.402250 37.137 -82.1751
0.405165 37.149 -82.4286
0.408101 37.161 -82.6904
0.411058 37.174 -82.9606
0.414037 37.186 -83.2392
0.417037 37.199 -83.5263
0.420059 37.211 -83.8220
0.423103 37.224 -84.1263
0.426169 37.237 -84.4393
0.429257 37.250 -84.7610
0.432368 37.263 -85.0914
0.435501 37.276 -85.4307
0.438656 37.289 -85.7787
0.441835 37.302 -86.1355
0.445037 37.316 -86.5012
0.448262 37.329 -86.8757
0.451510 37.343 -87.2591
0.454782 37.357 -87.6513
0.458077 37.370 -88.0523
0.461397 37.384 -88.4621
0.464740 37.398 -88.8806
0.468108 37.412 -89.3078
0.471500 37.426 -89.7437
0.474917 37.441 -90.1881
0.478358 37.455 -90.6410
0.481825 37.470 -91.1023
0.485316 37.484 -91.5718
0.488833 37.499 -92.0495
0.492375 37.514 -92.5352
0.495943 37.529 -93.0287
0.499537 37.544 -93.5299
0.503157 37.559 -94.0386
0.506803 37.574 -94.5545
0.510475 37.589 -95.0776
0.514175 37.605 -95.6074
0.517900 37.620 -96.1438
0.521653 37.636 -96.6866
0.525434 37.652 -97.2353
0.529241 37.668 -97.7897
0.533076 37.684 -98.3495
0.536939 37.700 -98.9144
0.540830 37.716 -99.4838
0.544749 37.733 -100.0576
0.548696 37.749 -100.6353
0.552673 37.766 -101.2164
0.556677 37.783 -101.8006
0.560711 37.799 -102.3874
0.564774 37.816 -102.9762
0.568867 37.834 -103.5668
0.572989 37.851 -104.1584
0.577141 37.868 -104.7507
0.581324 37.886 -105.3431
0.585536 37.903 -105.9350
0.589779 37.921 -106.5260
0.594053 37.939 -107.1154
0.598358 37.957 -107.7027
0.602694 37.975 -108.2872
0.607061 37.993 -108.8685
0.611460 38.012 -109.4458
0.615891 38.030 -110.0186
0.620354 38.049 -110.5863
0.624849 38.068 -111.1482
0.629377 38.087 -111.7038
0.633938 38.106 -112.2523
0.638532 38.125 -112.7931
0.643159 38.144 -113.3256
0.647819 38.164 -113.8492
0.652514 38.183 -114.3631
0.657242 38.203 -114.8668
0.662005 38.223 -115.3595
0.666802 38.243 -115.8407
0.671634 38.263 -116.3097
0.676501 38.284 -116.7658
0.681403 38.304 -117.2084
0.686341 38.324 -117.6369
0.691314 38.345 -118.0511
0.696324 38.365 -118.4505
0.701370 38.385 -118.8356
0.706452 38.405 -119.2071
0.711571 38.423 -119.5672
0.716728 38.438 -119.9197
0.721921 38.450 -120.2706
0.727153 38.455 -120.6280
0.732422 38.453 -121.0016
0.737729 38.441 -121.3993
0.743075 38.420 -121.8244
0.748460 38.390 -122.2767
0.753883 38.353 -122.7544
0.759346 38.310 -123.2554
0.764849 38.260 -123.7781
0.770391 38.206 -124.3211
0.775974 38.146 -124.8836
0.781597 38.082 -125.4651
0.787261 38.013 -126.0650
0.792966 37.940 -126.6830
0.798712 37.863 -127.3188
0.804500 37.782 -127.9722
0.810329 37.697 -128.6428
0.816201 37.608 -129.3304
0.822116 37.515 -130.0345
0.828073 37.419 -130.7548
0.834074 37.319 -131.4910
0.840118 37.216 -132.2426
0.846206 37.110 -133.0092
0.852338 37.001 -133.7902
0.858514 36.890 -134.5852
0.864735 36.776 -135.3935
0.871001 36.659 -136.2146
0.877313 36.541 -137.0480
0.883670 36.421 -137.8928
0.890074 36.299 -138.7485
0.896524 36.176 -139.6143
0.903020 36.051 -140.4895
0.909564 35.926 -141.3733
0.916155 35.801 -142.2650
0.922794 35.675 -143.1636
0.929481 35.549 -144.0684
0.936216 35.423 -144.9786
0.943000 35.299 -145.8932
0.949834 35.175 -146.8115
0.956717 35.053 -147.7324
0.963649 34.933 -148.6552
0.970632 34.815 -149.5788
0.977666 34.700 -150.5025
0.984750 34.588 -151.4254
0.991886 34.480 -152.3466
0.999074 34.375 -153.2651
1.006314 34.276 -154.1801
1.013606 34.181 -155.0909
1.020951 34.092 -155.9965
1.028349 34.010 -156.8963
1.035801 33.934 -157.7895
1.043307 33.866 -158.6757
1.050867 33.805 -159.5549
1.058482 33.754 -160.4274
1.066152 33.711 -161.2949
1.073878 33.678 -162.1610
1.081660 33.655 -163.0321
1.089498 33.642 -163.9192
1.097393 33.639 -164.8390
1.105345 33.645 -165.8142
1.113355 33.660 -166.8726
1.121423 33.684 -168.0450
1.129549 33.716 -169.3645
1.137734 33.755 -170.8684
1.145979 33.802 -172.6004
1.154283 33.856 -174.6149
1.162647 33.918 -176.9821
1.171072 33.987 -179.7949
1.179558 34.063 176.8209
1.188106 34.146 172.6938
1.196715 34.237 167.5919
1.205387 34.335 161.2101
1.214122 34.440 153.1819
1.222920 34.551 143.1638
1.231782 34.670 131.0658
1.240708 34.796 117.4033
1.249699 34.929 103.4049
1.258754 35.068 90.4717
1.267876 35.214 79.4436
1.277063 35.367 70.4459
1.286318 35.526 63.2046
1.295639 35.692 57.3450
1.305027 35.864 52.5320
1.314484 36.042 48.5028
1.324009 36.227 45.0622
1.333604 36.417 42.0667
1.343268 36.613 39.4109
1.353002 36.815 37.0167
1.362806 37.022 34.8256
1.372681 37.235 32.7931
1.382628 37.453 30.8849
1.392647 37.675 29.0746
1.402739 37.903 27.3418
1.412904 38.136 25.6708
1.423142 38.374 24.0504
1.433455 38.618 22.4731
1.443843 38.868 20.9362
1.454305 39.125 19.4404
1.464844 39.391 17.9906
1.475459 39.667 16.5938
1.486150 39.954 15.2561
1.496920 40.254 13.9812
1.507767 40.567 12.7688
1.518693 40.893 11.6161
1.529698 41.231 10.5183
1.540783 41.581 9.4698
1.551948 41.943 8.4647
1.563194 42.315 7.4967
1.574521 42.698 6.5605
1.585931 43.089 5.6507
1.597423 43.488 4.7625
1.608999 43.895 3.8912
1.620658 44.307 3.0331
1.632402 44.725 2.1843
1.644232 45.147 1.3416
1.656146 45.571 0.5017
1.668147 45.997 -0.3381
1.680235 46.424 -1.1805
1.692411 46.850 -2.0278
1.704675 47.275 -2.8821
1.717028 47.695 -3.7455
1.729470 48.112 -4.6195
1.742003 48.522 -5.5059
1.754626 48.925 -6.4058
1.767341 49.320 -7.3199
1.780147 49.705 -8.2486
1.793047 50.080 -9.1910
1.806040 50.444 -10.1454
1.819128 50.797 -11.1085
1.832310 51.139 -12.0755
1.845587 51.472 -13.0409
1.858961 51.795 -13.9995
1.872432 52.111 -14.9473
1.886001 52.419 -15.8818
1.899667 52.720 -16.8025
1.913433 53.015 -17.7092
1.927299 53.304 -18.6029
1.941265 53.588 -19.4849
1.955332 53.866 -20.3568
1.969501 54.140 -21.2203
1.983773 54.409 -22.0773
1.998148 54.674 -22.9293
2.012627 54.935 -23.7783
2.027212 55.194 -24.6260
2.041902 55.450 -25.4742
2.056698 55.703 -26.3246
2.071602 55.956 -27.1787
2.086614 56.207 -28.0381
2.101734 56.457 -28.9044
2.116964 56.707 -29.7786
2.132304 56.958 -30.6619
2.147756 57.209 -31.5544
2.163320 57.460 -32.4563
2.178996 57.713 -33.3663
2.194786 57.965 -34.2825
2.210690 58.217 -35.2018
2.226710 58.468 -36.1213
2.242845 58.718 -37.0382
2.259098 58.965 -37.9509
2.275468 59.210 -38.8583
2.291957 59.453 -39.7601
2.308566 59.694 -40.6567
2.325295 59.933 -41.5485
2.342145 60.170 -42.4364
2.359117 60.405 -43.3214
2.376212 60.638 -44.2045
2.393431 60.870 -45.0868
2.410775 61.101 -45.9696
2.428244 61.331 -46.8541
2.445840 61.560 -47.7414
2.463564 61.788 -48.6327
2.481416 62.015 -49.5289
2.499397 62.242 -50.4310
2.517509 62.469 -51.3394
2.535752 62.695 -52.2540
2.554127 62.921 -53.1741
2.572635 63.146 -54.0986
2.591277 63.370 -55.0255
2.610055 63.593 -55.9532
2.628968 63.815 -56.8802
2.648019 64.035 -57.8058
2.667208 64.254 -58.7293
2.686535 64.471 -59.6507
2.706003 64.687 -60.5701
2.725612 64.902 -61.4878
2.745363 65.116 -62.4045
2.765257 65.328 -63.3207
2.785295 65.540 -64.2371
2.805478 65.751 -65.1546
2.825808 65.961 -66.0740
2.846285 66.171 -66.9960
2.866910 66.380 -67.9211
2.887685 66.589 -68.8501
2.908611 66.797 -69.7828
2.929688 67.004 -70.7191
2.950917 67.211 -71.6581
2.972301 67.416 -72.5989
2.993839 67.621 -73.5405
3.015534 67.824 -74.4822
3.037386 68.026 -75.4234
3.059396 68.227 -76.3639
3.081565 68.427 -77.3036
3.103896 68.626 -78.2426
3.126388 68.825 -79.1811
3.149043 69.022 -80.1196
3.171862 69.219 -81.0585
3.194847 69.414 -81.9984
3.217998 69.610 -82.9398
3.241317 69.804 -83.8832
3.264805 69.998 -84.8291
3.288463 70.192 -85.7775
3.312293 70.384 -86.7285
3.336295 70.576 -87.6815
3.360471 70.767 -88.6361
3.384822 70.956 -89.5917
3.409350 71.145 -90.5477
3.434056 71.333 -91.5037
3.458940 71.520 -92.4595
3.484005 71.706 -93.4150
3.509252 71.891 -94.3701
3.534681 72.075 -95.3251
3.560295 72.259 -96.2803
3.586094 72.442 -97.2360
3.612081 72.624 -98.1924
3.638255 72.805 -99.1503
3.664620 72.986 -100.1097
3.691175 73.166 -101.0709
3.717923 73.345 -102.0338
3.744864 73.523 -102.9979
3.772001 73.700 -103.9629
3.799335 73.876 -104.9283
3.826866 74.052 -105.8937
3.854597 74.226 -106.8589
3.882529 74.399 -107.8236
3.910664 74.572 -108.7878
3.939002 74.744 -109.7517
3.967546 74.915 -110.7155
3.996296 75.085 -111.6796
4.025255 75.255 -112.6445
4.054423 75.424 -113.6105
4.083804 75.592 -114.5777
4.113396 75.759 -115.5461
4.143204 75.924 -116.5153
4.173227 76.089 -117.4849
4.203468 76.253 -118.4542
4.233928 76.416 -119.4231
4.264609 76.579 -120.3910
4.295512 76.740 -121.3578
4.326639 76.900 -122.3238
4.357992 77.060 -123.2891
4.389572 77.219 -124.2540
4.421380 77.377 -125.2192
4.453419 77.534 -126.1851
4.485691 77.690 -127.1514
4.518196 77.845 -128.1181
4.550936 77.999 -129.0846
4.583914 78.152 -130.0504
4.617131 78.304 -131.0148
4.650589 78.455 -131.9776
4.684289 78.605 -132.9386
4.718233 78.754 -133.8978
4.752424 78.903 -134.8557
4.786862 79.050 -135.8126
4.821549 79.197 -136.7690
4.856488 79.342 -137.7252
4.891680 79.487 -138.6807
4.927127 79.631 -139.6351
4.962831 79.773 -140.5880
4.998794 79.915 -141.5387
5.035017 80.055 -142.4868
5.071503 80.195 -143.4321
5.108253 80.334 -144.3749
5.145270 80.472 -145.3154
5.182555 80.610 -146.2542
5.220110 80.746 -147.1913
5.257937 80.881 -148.1270
5.296038 81.015 -149.0606
5.334415 81.149 -149.9918
5.373071 81.281 -150.9200
5.412006 81.413 -151.8450
5.451224 81.544 -152.7665
5.490725 81.674 -153.6847
5.530514 81.804 -154.5999
5.570590 81.932 -155.5124
5.610957 82.060 -156.4224
5.651616 82.187 -157.3298
5.692570 82.313 -158.2344
5.733821 82.439 -159.1357
5.775370 82.564 -160.0336
5.817221 82.688 -160.9279
5.859375 82.811 -161.8187
5.901834 82.934 -162.7062
5.944602 83.057 -163.5907
5.987679 83.178 -164.4724
6.031068 83.299 -165.3513
6.074771 83.420 -166.2274
6.118792 83.540 -167.1005
6.163131 83.660 -167.9706
6.207792 83.779 -168.8379
