* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:20:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria (basslet) R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 84.843 -141.9728
20.507813 84.813 -142.4852
20.874023 84.749 -143.6794
21.240234 84.745 -144.4964
21.606445 84.834 -145.0386
21.972656 84.991 -145.7065
22.338867 85.153 -146.6057
22.705078 85.257 -147.5813
23.071289 85.277 -148.3704
23.437500 85.235 -148.8067
23.803711 85.178 -148.9850
24.169922 85.146 -149.2313
24.536133 85.149 -149.8966
24.902344 85.167 -151.1181
25.268555 85.171 -152.7157
25.634766 85.148 -154.2814
26.000977 85.105 -155.3811
26.367188 85.068 -155.7481
26.733399 85.070 -155.3851
27.099610 85.135 -154.5500
27.465821 85.266 -153.6461
27.832032 85.448 -153.0727
28.198243 85.650 -153.0922
28.564454 85.836 -153.7459
28.930665 85.975 -154.8401
29.296876 86.055 -156.0157
29.663087 86.085 -156.8976
30.029298 86.092 -157.2753
30.395509 86.106 -157.2214
30.761720 86.138 -157.0513
31.127931 86.165 -157.1217
31.494142 86.147 -157.5871
31.860353 86.061 -158.2819
32.226563 85.929 -158.8226
32.592774 85.819 -158.8788
32.958985 85.822 -158.4313
33.325196 85.980 -157.8143
33.691407 86.251 -157.4874
34.057618 86.533 -157.7183
34.423829 86.729 -158.4289
34.790040 86.794 -159.3023
35.156251 86.738 -160.0347
35.522462 86.613 -160.5387
35.888673 86.476 -160.9601
36.254884 86.363 -161.5067
36.621095 86.277 -162.2278
36.987306 86.207 -162.9322
37.353517 86.153 -163.3223
37.719728 86.132 -163.2389
38.085939 86.152 -162.8085
38.452150 86.192 -162.3575
38.818361 86.202 -162.1573
39.184572 86.133 -162.2105
39.550783 85.977 -162.2588
39.916994 85.784 -162.0144
40.283205 85.654 -161.4385
40.649416 85.674 -160.8357
41.015627 85.857 -160.6662
41.381838 86.129 -161.2197
41.748049 86.386 -162.4073
42.114260 86.560 -163.8213
42.480471 86.636 -164.9890
42.846682 86.642 -165.6366
43.212893 86.625 -165.8042
43.579103 86.622 -165.7650
43.945314 86.641 -165.8220
44.311525 86.669 -166.1246
44.677736 86.691 -166.6193
45.043947 86.706 -167.1416
45.410158 86.724 -167.5598
45.776369 86.756 -167.8609
46.142580 86.798 -168.1325
46.508791 86.835 -168.4727
46.875002 86.848 -168.9086
47.241213 86.831 -169.3825
47.607424 86.797 -169.8083
47.973635 86.774 -170.1472
48.339846 86.788 -170.4424
48.706057 86.849 -170.7868
49.072268 86.940 -171.2462
49.438479 87.029 -171.7972
49.804690 87.087 -172.3258
50.170901 87.099 -172.6913
50.537112 87.070 -172.8172
50.903323 87.016 -172.7492
51.269534 86.955 -172.6396
51.635745 86.895 -172.6597
52.001956 86.836 -172.8915
52.368167 86.773 -173.2703
52.734378 86.709 -173.6218
53.100589 86.661 -173.7760
53.466800 86.648 -173.6832
53.833011 86.676 -173.4494
54.199222 86.728 -173.2608
54.565432 86.772 -173.2518
54.931643 86.785 -173.4198
55.297854 86.772 -173.6590
55.664065 86.774 -173.8944
56.030276 86.846 -174.2089
56.396487 87.017 -174.8468
56.762698 87.262 -176.0634
57.128909 87.505 -177.9120
57.495120 87.667 179.8831
57.861331 87.697 177.8700
58.227542 87.589 176.6453
58.593753 87.382 176.5735
58.959964 87.145 177.6057
59.326175 86.948 179.3082
59.692386 86.820 -178.9061
60.058597 86.747 -177.4879
60.424808 86.693 -176.5847
60.791019 86.633 -176.0829
61.157230 86.571 -175.7838
61.523441 86.524 -175.5692
61.889652 86.508 -175.4469
62.255863 86.520 -175.4842
62.622074 86.546 -175.7139
62.988285 86.573 -176.0979
63.354496 86.598 -176.5624
63.720707 86.629 -177.0575
64.086918 86.674 -177.5802
64.453129 86.728 -178.1419
64.819340 86.779 -178.7179
65.185551 86.813 -179.2275
65.551762 86.823 -179.5686
65.917972 86.816 -179.6825
66.284183 86.802 -179.5992
66.650394 86.794 -179.4294
67.016605 86.795 -179.3055
67.382816 86.804 -179.3134
67.749027 86.815 -179.4561
68.115238 86.829 -179.6694
68.481449 86.848 -179.8713
68.847660 86.879 179.9894
69.213871 86.921 179.9132
69.580082 86.969 179.8632
69.946293 87.011 179.7959
70.312504 87.037 179.6860
70.678715 87.040 179.5323
71.044926 87.023 179.3467
71.411137 86.993 179.1390
71.777348 86.958 178.9106
72.143559 86.925 178.6584
72.509770 86.897 178.3864
72.875981 86.874 178.1122
73.242192 86.854 177.8623
73.608403 86.835 177.6612
73.974614 86.818 177.5185
74.340825 86.803 177.4262
74.707036 86.793 177.3664
75.073247 86.784 177.3243
75.439458 86.776 177.2986
75.805669 86.767 177.2998
76.171880 86.756 177.3410
76.538091 86.746 177.4247
76.904301 86.738 177.5357
77.270512 86.733 177.6434
77.636723 86.733 177.7106
78.002934 86.739 177.7051
78.369145 86.751 177.6088
78.735356 86.769 177.4223
79.101567 86.789 177.1671
79.467778 86.807 176.8834
79.833989 86.820 176.6242
80.200200 86.824 176.4435
80.566411 86.816 176.3804
80.932622 86.798 176.4447
81.298833 86.774 176.6107
81.665044 86.749 176.8221
82.031255 86.726 177.0092
82.397466 86.709 177.1087
82.763677 86.697 177.0816
83.129888 86.690 176.9214
83.496099 86.687 176.6519
83.862310 86.686 176.3167
84.228521 86.685 175.9650
84.594732 86.685 175.6375
84.960943 86.685 175.3558
85.327154 86.688 175.1189
85.693365 86.694 174.9074
86.059576 86.702 174.6950
86.425787 86.712 174.4625
86.791998 86.719 174.2086
87.158209 86.722 173.9516
87.524420 86.718 173.7220
87.890631 86.709 173.5493
88.256841 86.694 173.4482
88.623052 86.678 173.4136
88.989263 86.661 173.4223
89.355474 86.646 173.4416
89.721685 86.635 173.4401
90.087896 86.628 173.3967
90.454107 86.626 173.3058
90.820318 86.629 173.1793
91.186529 86.634 173.0450
91.552740 86.638 172.9404
91.918951 86.638 172.9026
92.285162 86.631 172.9557
92.651373 86.614 173.1000
93.017584 86.587 173.3096
93.383795 86.548 173.5397
93.750006 86.496 173.7415
94.116217 86.433 173.8778
94.482428 86.360 173.9321
94.848639 86.287 173.9079
95.214850 86.223 173.8198
95.581061 86.179 173.6842
95.947272 86.165 173.5139
96.313483 86.185 173.3195
96.679694 86.233 173.1137
97.045905 86.302 172.9152
97.412116 86.379 172.7472
97.778327 86.452 172.6321
98.144538 86.511 172.5860
98.510749 86.551 172.6140
98.876960 86.570 172.7096
99.243170 86.570 172.8555
99.609381 86.556 173.0254
99.975592 86.538 173.1861
100.341803 86.521 173.3012
100.708014 86.512 173.3372
101.074225 86.512 173.2703
101.440436 86.520 173.0920
101.806647 86.529 172.8105
102.172858 86.535 172.4463
102.539069 86.533 172.0244
102.905280 86.522 171.5676
103.271491 86.504 171.0923
103.637702 86.482 170.6099
104.003913 86.460 170.1305
104.370124 86.445 169.6671
104.736335 86.442 169.2363
105.102546 86.451 168.8567
105.468757 86.473 168.5446
105.834968 86.503 168.3105
106.201179 86.534 168.1581
106.567390 86.559 168.0844
106.933601 86.571 168.0816
107.299812 86.567 168.1380
107.666023 86.546 168.2393
108.032234 86.512 168.3699
108.398445 86.471 168.5161
108.764656 86.430 168.6685
109.130867 86.392 168.8250
109.497078 86.362 168.9907
109.863289 86.338 169.1744
110.229500 86.316 169.3844
110.595710 86.291 169.6239
110.961921 86.257 169.8904
111.328132 86.210 170.1761
111.694343 86.149 170.4713
112.060554 86.076 170.7644
112.426765 86.001 171.0427
112.792976 85.932 171.2915
113.159187 85.882 171.4950
113.525398 85.859 171.6401
113.891609 85.866 171.7207
114.257820 85.902 171.7402
114.624031 85.962 171.7106
114.990242 86.038 171.6477
115.356453 86.124 171.5652
115.722664 86.212 171.4713
116.088875 86.299 171.3685
116.455086 86.381 171.2573
116.821297 86.455 171.1407
117.187508 86.518 171.0290
117.553719 86.567 170.9414
117.919930 86.599 170.9071
118.286141 86.609 170.9636
118.652352 86.597 171.1528
119.018563 86.562 171.5156
119.384774 86.510 172.0831
119.750985 86.450 172.8684
120.117196 86.395 173.8578
120.483407 86.359 175.0052
120.849618 86.358 176.2311
121.215829 86.398 177.4290
121.582040 86.478 178.4783
121.948250 86.588 179.2660
122.314461 86.707 179.7092
122.680672 86.814 179.7738
123.046883 86.889 179.4818
123.413094 86.917 178.9029
123.779305 86.893 178.1325
124.145516 86.818 177.2652
124.511727 86.704 176.3711
124.877938 86.565 175.4856
125.244149 86.418 174.6130
125.610360 86.280 173.7410
125.976571 86.161 172.8581
126.342782 86.068 171.9667
126.708993 86.002 171.0883
127.075204 85.960 170.2603
127.441415 85.935 169.5272
127.807626 85.920 168.9292
128.173837 85.909 168.4930
128.540048 85.898 168.2238
128.906259 85.887 168.1026
129.272470 85.875 168.0895
129.638681 85.864 168.1312
130.004892 85.856 168.1730
130.371103 85.854 168.1712
130.737314 85.860 168.1005
131.103525 85.876 167.9573
131.469736 85.904 167.7549
131.835947 85.946 167.5165
132.202158 86.004 167.2670
132.568369 86.075 167.0275
132.934579 86.155 166.8132
133.300790 86.240 166.6352
133.667001 86.321 166.5027
134.033212 86.393 166.4252
134.399423 86.450 166.4120
134.765634 86.488 166.4702
135.131845 86.507 166.6007
135.498056 86.508 166.7952
135.864267 86.494 167.0337
136.230478 86.470 167.2862
136.596689 86.440 167.5159
136.962900 86.409 167.6846
137.329111 86.380 167.7594
137.695322 86.355 167.7175
138.061533 86.335 167.5500
138.427744 86.319 167.2635
138.793955 86.305 166.8782
139.160166 86.293 166.4258
139.526377 86.280 165.9448
139.892588 86.266 165.4744
140.258799 86.251 165.0500
140.625010 86.237 164.6977
140.991221 86.224 164.4308
141.357432 86.216 164.2494
141.723643 86.215 164.1409
142.089854 86.224 164.0837
142.456065 86.244 164.0514
142.822276 86.275 164.0176
143.188487 86.316 163.9601
143.554698 86.365 163.8640
143.920909 86.417 163.7236
144.287119 86.469 163.5425
144.653330 86.516 163.3319
145.019541 86.556 163.1081
145.385752 86.585 162.8893
145.751963 86.603 162.6929
146.118174 86.609 162.5333
146.484385 86.603 162.4214
146.850596 86.587 162.3647
147.216807 86.563 162.3675
147.583018 86.532 162.4322
147.949229 86.498 162.5591
148.315440 86.461 162.7458
148.681651 86.425 162.9871
149.047862 86.389 163.2739
149.414073 86.357 163.5940
149.780284 86.329 163.9326
150.146495 86.306 164.2733
150.512706 86.289 164.6005
150.878917 86.280 164.8995
151.245128 86.280 165.1582
151.611339 86.288 165.3660
151.977550 86.306 165.5140
152.343761 86.332 165.5941
152.709972 86.365 165.5998
153.076183 86.402 165.5267
153.442394 86.441 165.3742
153.808605 86.478 165.1476
154.174816 86.510 164.8585
154.541027 86.535 164.5258
154.907238 86.551 164.1739
155.273448 86.557 163.8312
155.639659 86.553 163.5265
156.005870 86.540 163.2859
156.372081 86.519 163.1298
156.738292 86.489 163.0698
157.104503 86.454 163.1077
157.470714 86.412 163.2360
157.836925 86.365 163.4382
158.203136 86.314 163.6923
158.569347 86.258 163.9734
158.935558 86.200 164.2569
159.301769 86.138 164.5213
159.667980 86.076 164.7501
160.034191 86.014 164.9327
160.400402 85.954 165.0649
160.766613 85.898 165.1483
161.132824 85.847 165.1892
161.499035 85.801 165.1979
161.865246 85.761 165.1869
162.231457 85.726 165.1698
162.597668 85.697 165.1596
162.963879 85.673 165.1678
163.330090 85.654 165.2027
163.696301 85.642 165.2687
164.062512 85.638 165.3661
164.428723 85.641 165.4913
164.794934 85.653 165.6376
165.161145 85.673 165.7965
165.527356 85.701 165.9589
165.893567 85.733 166.1158
166.259778 85.768 166.2597
166.625988 85.802 166.3837
166.992199 85.832 166.4823
167.358410 85.854 166.5504
167.724621 85.868 166.5831
168.090832 85.871 166.5761
168.457043 85.862 166.5248
168.823254 85.844 166.4257
169.189465 85.816 166.2764
