* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:09:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria nobass L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 25.438 -110.2548
0.368865 25.433 -110.3039
0.371538 25.424 -110.3778
0.374230 25.414 -110.4716
0.376942 25.403 -110.5808
0.379673 25.391 -110.7022
0.382424 25.378 -110.8337
0.385196 25.365 -110.9740
0.387987 25.352 -111.1223
0.390798 25.339 -111.2782
0.393630 25.325 -111.4415
0.396483 25.311 -111.6121
0.399356 25.298 -111.7899
0.402250 25.284 -111.9750
0.405165 25.270 -112.1673
0.408101 25.256 -112.3668
0.411058 25.241 -112.5736
0.414037 25.227 -112.7876
0.417037 25.213 -113.0088
0.420059 25.198 -113.2372
0.423103 25.184 -113.4727
0.426169 25.169 -113.7155
0.429257 25.154 -113.9654
0.432368 25.139 -114.2225
0.435501 25.124 -114.4866
0.438656 25.109 -114.7578
0.441835 25.094 -115.0360
0.445037 25.078 -115.3212
0.448262 25.063 -115.6133
0.451510 25.047 -115.9123
0.454782 25.032 -116.2181
0.458077 25.016 -116.5307
0.461397 25.000 -116.8499
0.464740 24.984 -117.1759
0.468108 24.968 -117.5084
0.471500 24.951 -117.8474
0.474917 24.935 -118.1928
0.478358 24.918 -118.5446
0.481825 24.902 -118.9026
0.485316 24.885 -119.2669
0.488833 24.868 -119.6373
0.492375 24.851 -120.0138
0.495943 24.834 -120.3962
0.499537 24.817 -120.7845
0.503157 24.799 -121.1787
0.506803 24.782 -121.5786
0.510475 24.764 -121.9842
0.514175 24.747 -122.3954
0.517900 24.729 -122.8121
0.521653 24.711 -123.2343
0.525434 24.692 -123.6619
0.529241 24.674 -124.0949
0.533076 24.656 -124.5332
0.536939 24.637 -124.9768
0.540830 24.619 -125.4257
0.544749 24.600 -125.8798
0.548696 24.581 -126.3391
0.552673 24.562 -126.8036
0.556677 24.543 -127.2733
0.560711 24.523 -127.7484
0.564774 24.504 -128.2287
0.568867 24.484 -128.7143
0.572989 24.464 -129.2054
0.577141 24.444 -129.7021
0.581324 24.424 -130.2043
0.585536 24.404 -130.7123
0.589779 24.384 -131.2263
0.594053 24.363 -131.7464
0.598358 24.343 -132.2729
0.602694 24.322 -132.8060
0.607061 24.301 -133.3460
0.611460 24.280 -133.8932
0.615891 24.258 -134.4481
0.620354 24.237 -135.0110
0.624849 24.215 -135.5825
0.629377 24.194 -136.1630
0.633938 24.172 -136.7533
0.638532 24.150 -137.3539
0.643159 24.128 -137.9658
0.647819 24.105 -138.5896
0.652514 24.083 -139.2265
0.657242 24.060 -139.8774
0.662005 24.037 -140.5437
0.666802 24.014 -141.2266
0.671634 23.991 -141.9278
0.676501 23.968 -142.6490
0.681403 23.944 -143.3922
0.686341 23.921 -144.1596
0.691314 23.897 -144.9537
0.696324 23.874 -145.7777
0.701370 23.851 -146.6348
0.706452 23.829 -147.5292
0.711571 23.809 -148.4657
0.716728 23.793 -149.4503
0.721921 23.782 -150.4902
0.727153 23.779 -151.5941
0.732422 23.786 -152.7723
0.737729 23.806 -154.0366
0.743075 23.838 -155.3993
0.748460 23.880 -156.8725
0.753883 23.930 -158.4681
0.759346 23.986 -160.1977
0.764849 24.048 -162.0726
0.770391 24.115 -164.1041
0.775974 24.186 -166.3034
0.781597 24.260 -168.6812
0.787261 24.339 -171.2475
0.792966 24.421 -174.0109
0.798712 24.508 -176.9778
0.804500 24.598 179.8484
0.810329 24.691 176.4686
0.816201 24.789 172.8889
0.822116 24.890 169.1218
0.828073 24.995 165.1868
0.834074 25.103 161.1103
0.840118 25.215 156.9256
0.846206 25.331 152.6714
0.852338 25.451 148.3896
0.858514 25.574 144.1230
0.864735 25.700 139.9128
0.871001 25.830 135.7958
0.877313 25.964 131.8032
0.883670 26.101 127.9591
0.890074 26.242 124.2806
0.896524 26.386 120.7780
0.903020 26.533 117.4552
0.909564 26.683 114.3118
0.916155 26.837 111.3431
0.922794 26.994 108.5421
0.929481 27.154 105.8994
0.936216 27.317 103.4050
0.943000 27.483 101.0482
0.949834 27.652 98.8181
0.956717 27.823 96.7043
0.963649 27.997 94.6966
0.970632 28.174 92.7855
0.977666 28.354 90.9621
0.984750 28.536 89.2180
0.991886 28.720 87.5458
0.999074 28.906 85.9384
1.006314 29.095 84.3896
1.013606 29.285 82.8935
1.020951 29.477 81.4448
1.028349 29.671 80.0390
1.035801 29.867 78.6717
1.043307 30.064 77.3391
1.050867 30.262 76.0381
1.058482 30.462 74.7657
1.066152 30.662 73.5199
1.073878 30.865 72.2993
1.081660 31.069 71.1034
1.089498 31.275 69.9330
1.097393 31.484 68.7900
1.105345 31.696 67.6771
1.113355 31.913 66.5972
1.121423 32.135 65.5524
1.129549 32.362 64.5438
1.137734 32.595 63.5714
1.145979 32.833 62.6344
1.154283 33.078 61.7317
1.162647 33.327 60.8614
1.171072 33.582 60.0219
1.179558 33.842 59.2114
1.188106 34.107 58.4278
1.196715 34.377 57.6695
1.205387 34.651 56.9345
1.214122 34.930 56.2212
1.222920 35.212 55.5278
1.231782 35.498 54.8527
1.240708 35.787 54.1945
1.249699 36.079 53.5515
1.258754 36.374 52.9225
1.267876 36.671 52.3059
1.277063 36.970 51.7007
1.286318 37.270 51.1054
1.295639 37.572 50.5190
1.305027 37.875 49.9403
1.314484 38.178 49.3683
1.324009 38.481 48.8018
1.333604 38.783 48.2400
1.343268 39.084 47.6819
1.353002 39.384 47.1265
1.362806 39.682 46.5730
1.372681 39.977 46.0206
1.382628 40.270 45.4684
1.392647 40.558 44.9158
1.402739 40.843 44.3620
1.412904 41.123 43.8065
1.423142 41.397 43.2489
1.433455 41.667 42.6889
1.443843 41.930 42.1268
1.454305 42.188 41.5632
1.464844 42.440 40.9990
1.475459 42.687 40.4358
1.486150 42.929 39.8748
1.496920 43.166 39.3174
1.507767 43.399 38.7642
1.518693 43.627 38.2157
1.529698 43.852 37.6719
1.540783 44.074 37.1328
1.551948 44.291 36.5982
1.563194 44.506 36.0676
1.574521 44.717 35.5408
1.585931 44.925 35.0173
1.597423 45.129 34.4968
1.608999 45.332 33.9789
1.620658 45.531 33.4630
1.632402 45.728 32.9489
1.644232 45.923 32.4360
1.656146 46.115 31.9239
1.668147 46.306 31.4122
1.680235 46.495 30.9004
1.692411 46.683 30.3881
1.704675 46.870 29.8748
1.717028 47.055 29.3602
1.729470 47.240 28.8437
1.742003 47.425 28.3250
1.754626 47.609 27.8035
1.767341 47.794 27.2789
1.780147 47.978 26.7509
1.793047 48.164 26.2191
1.806040 48.349 25.6834
1.819128 48.534 25.1438
1.832310 48.720 24.6005
1.845587 48.904 24.0540
1.858961 49.088 23.5046
1.872432 49.270 22.9532
1.886001 49.451 22.4003
1.899667 49.629 21.8464
1.913433 49.806 21.2921
1.927299 49.981 20.7376
1.941265 50.154 20.1834
1.955332 50.325 19.6298
1.969501 50.495 19.0768
1.983773 50.662 18.5249
1.998148 50.829 17.9741
2.012627 50.994 17.4244
2.027212 51.158 16.8761
2.041902 51.320 16.3291
2.056698 51.482 15.7833
2.071602 51.642 15.2387
2.086614 51.802 14.6952
2.101734 51.961 14.1527
2.116964 52.120 13.6111
2.132304 52.278 13.0699
2.147756 52.435 12.5289
2.163320 52.592 11.9879
2.178996 52.749 11.4462
2.194786 52.905 10.9034
2.210690 53.060 10.3589
2.226710 53.214 9.8126
2.242845 53.367 9.2642
2.259098 53.518 8.7137
2.275468 53.668 8.1616
2.291957 53.816 7.6083
2.308566 53.963 7.0541
2.325295 54.108 6.4996
2.342145 54.252 5.9453
2.359117 54.395 5.3915
2.376212 54.537 4.8386
2.393431 54.677 4.2871
2.410775 54.817 3.7374
2.428244 54.955 3.1896
2.445840 55.093 2.6442
2.463564 55.230 2.1011
2.481416 55.366 1.5605
2.499397 55.502 1.0226
2.517509 55.637 0.4871
2.535752 55.772 -0.0465
2.554127 55.906 -0.5787
2.572635 56.039 -1.1101
2.591277 56.171 -1.6415
2.610055 56.302 -2.1735
2.628968 56.431 -2.7063
2.648019 56.560 -3.2399
2.667208 56.687 -3.7740
2.686535 56.813 -4.3082
2.706003 56.937 -4.8420
2.725612 57.061 -5.3751
2.745363 57.184 -5.9066
2.765257 57.305 -6.4362
2.785295 57.426 -6.9634
2.805478 57.546 -7.4876
2.825808 57.666 -8.0085
2.846285 57.785 -8.5258
2.866910 57.903 -9.0391
2.887685 58.021 -9.5486
2.908611 58.138 -10.0545
2.929688 58.255 -10.5572
2.950917 58.371 -11.0573
2.972301 58.486 -11.5555
2.993839 58.600 -12.0522
3.015534 58.713 -12.5478
3.037386 58.826 -13.0421
3.059396 58.937 -13.5350
3.081565 59.047 -14.0262
3.103896 59.157 -14.5156
3.126388 59.266 -15.0027
3.149043 59.374 -15.4871
3.171862 59.482 -15.9684
3.194847 59.589 -16.4464
3.217998 59.696 -16.9208
3.241317 59.803 -17.3914
3.264805 59.910 -17.8582
3.288463 60.016 -18.3212
3.312293 60.122 -18.7808
3.336295 60.227 -19.2373
3.360471 60.332 -19.6911
3.384822 60.436 -20.1424
3.409350 60.540 -20.5914
3.434056 60.643 -21.0382
3.458940 60.746 -21.4830
3.484005 60.848 -21.9255
3.509252 60.950 -22.3660
3.534681 61.051 -22.8042
3.560295 61.153 -23.2402
3.586094 61.254 -23.6738
3.612081 61.356 -24.1051
3.638255 61.457 -24.5339
3.664620 61.559 -24.9603
3.691175 61.660 -25.3842
3.717923 61.761 -25.8058
3.744864 61.862 -26.2253
3.772001 61.963 -26.6429
3.799335 62.063 -27.0588
3.826866 62.164 -27.4736
3.854597 62.264 -27.8872
3.882529 62.364 -28.3003
3.910664 62.465 -28.7129
3.939002 62.565 -29.1253
3.967546 62.665 -29.5377
3.996296 62.765 -29.9502
4.025255 62.866 -30.3628
4.054423 62.966 -30.7754
4.083804 63.067 -31.1880
4.113396 63.167 -31.6006
4.143204 63.267 -32.0132
4.173227 63.368 -32.4263
4.203468 63.468 -32.8399
4.233928 63.568 -33.2546
4.264609 63.669 -33.6706
4.295512 63.769 -34.0883
4.326639 63.869 -34.5079
4.357992 63.969 -34.9298
4.389572 64.068 -35.3540
4.421380 64.168 -35.7804
4.453419 64.268 -36.2092
4.485691 64.367 -36.6401
4.518196 64.466 -37.0732
4.550936 64.566 -37.5085
4.583914 64.664 -37.9460
4.617131 64.763 -38.3860
4.650589 64.861 -38.8286
4.684289 64.959 -39.2739
4.718233 65.057 -39.7220
4.752424 65.154 -40.1734
4.786862 65.250 -40.6279
4.821549 65.347 -41.0857
4.856488 65.442 -41.5466
4.891680 65.538 -42.0106
4.927127 65.632 -42.4773
4.962831 65.727 -42.9465
4.998794 65.820 -43.4180
5.035017 65.913 -43.8916
5.071503 66.006 -44.3674
5.108253 66.097 -44.8453
5.145270 66.188 -45.3257
5.182555 66.278 -45.8085
5.220110 66.368 -46.2938
5.257937 66.456 -46.7813
5.296038 66.544 -47.2706
5.334415 66.631 -47.7611
5.373071 66.717 -48.2524
5.412006 66.802 -48.7442
5.451224 66.887 -49.2361
5.490725 66.970 -49.7281
5.530514 67.053 -50.2205
5.570590 67.135 -50.7131
5.610957 67.215 -51.2059
5.651616 67.295 -51.6985
5.692570 67.374 -52.1903
5.733821 67.452 -52.6807
5.775370 67.529 -53.1691
5.817221 67.606 -53.6550
5.859375 67.681 -54.1384
5.901834 67.756 -54.6191
5.944602 67.830 -55.0974
5.987679 67.903 -55.5729
6.031068 67.975 -56.0454
6.074771 68.046 -56.5142
6.118792 68.117 -56.9789
6.163131 68.187 -57.4388
6.207792 68.257 -57.8937
6.252776 68.326 -58.3433
6.298086 68.394 -58.7877
6.343725 68.462 -59.2268
6.389694 68.530 -59.6606
6.435996 68.597 -60.0890
6.482634 68.664 -60.5115
6.529610 68.731 -60.9279
