* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:10:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria nobass R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 30.177 56.9479
0.368865 30.201 56.8912
0.371538 30.238 56.8073
0.374230 30.282 56.7037
0.376942 30.332 56.5869
0.379673 30.386 56.4616
0.382424 30.442 56.3308
0.385196 30.499 56.1966
0.387987 30.558 56.0599
0.390798 30.617 55.9215
0.393630 30.676 55.7816
0.396483 30.737 55.6404
0.399356 30.797 55.4981
0.402250 30.858 55.3547
0.405165 30.920 55.2102
0.408101 30.982 55.0647
0.411058 31.044 54.9182
0.414037 31.107 54.7706
0.417037 31.170 54.6221
0.420059 31.234 54.4725
0.423103 31.298 54.3220
0.426169 31.363 54.1706
0.429257 31.428 54.0182
0.432368 31.494 53.8649
0.435501 31.560 53.7106
0.438656 31.627 53.5555
0.441835 31.694 53.3995
0.445037 31.761 53.2425
0.448262 31.829 53.0847
0.451510 31.898 52.9261
0.454782 31.967 52.7666
0.458077 32.037 52.6062
0.461397 32.107 52.4450
0.464740 32.177 52.2830
0.468108 32.248 52.1201
0.471500 32.320 51.9564
0.474917 32.392 51.7920
0.478358 32.465 51.6267
0.481825 32.538 51.4606
0.485316 32.612 51.2937
0.488833 32.686 51.1260
0.492375 32.761 50.9575
0.495943 32.836 50.7882
0.499537 32.912 50.6182
0.503157 32.988 50.4473
0.506803 33.065 50.2757
0.510475 33.143 50.1032
0.514175 33.221 49.9299
0.517900 33.300 49.7559
0.521653 33.379 49.5810
0.525434 33.459 49.4053
0.529241 33.539 49.2287
0.533076 33.620 49.0514
0.536939 33.701 48.8731
0.540830 33.784 48.6941
0.544749 33.866 48.5141
0.548696 33.950 48.3333
0.552673 34.034 48.1515
0.556677 34.118 47.9689
0.560711 34.203 47.7853
0.564774 34.289 47.6008
0.568867 34.376 47.4153
0.572989 34.463 47.2288
0.577141 34.550 47.0413
0.581324 34.639 46.8527
0.585536 34.728 46.6631
0.589779 34.817 46.4724
0.594053 34.907 46.2806
0.598358 34.998 46.0877
0.602694 35.090 45.8936
0.607061 35.182 45.6983
0.611460 35.275 45.5018
0.615891 35.369 45.3039
0.620354 35.463 45.1048
0.624849 35.558 44.9044
0.629377 35.653 44.7026
0.633938 35.750 44.4993
0.638532 35.847 44.2946
0.643159 35.944 44.0885
0.647819 36.043 43.8807
0.652514 36.142 43.6714
0.657242 36.242 43.4605
0.662005 36.342 43.2478
0.666802 36.444 43.0335
0.671634 36.546 42.8174
0.676501 36.648 42.5994
0.681403 36.752 42.3796
0.686341 36.856 42.1578
0.691314 36.961 41.9340
0.696324 37.067 41.7082
0.701370 37.173 41.4803
0.706452 37.279 41.2503
0.711571 37.386 41.0182
0.716728 37.493 40.7841
0.721921 37.599 40.5480
0.727153 37.704 40.3102
0.732422 37.807 40.0708
0.737729 37.907 39.8304
0.743075 38.006 39.5893
0.748460 38.103 39.3477
0.753883 38.199 39.1059
0.759346 38.295 38.8642
0.764849 38.390 38.6226
0.770391 38.485 38.3811
0.775974 38.579 38.1399
0.781597 38.674 37.8990
0.787261 38.768 37.6583
0.792966 38.862 37.4179
0.798712 38.957 37.1777
0.804500 39.051 36.9379
0.810329 39.146 36.6983
0.816201 39.240 36.4590
0.822116 39.334 36.2200
0.828073 39.428 35.9813
0.834074 39.523 35.7428
0.840118 39.617 35.5046
0.846206 39.711 35.2666
0.852338 39.806 35.0288
0.858514 39.900 34.7912
0.864735 39.994 34.5538
0.871001 40.089 34.3165
0.877313 40.183 34.0794
0.883670 40.278 33.8424
0.890074 40.372 33.6054
0.896524 40.467 33.3685
0.903020 40.562 33.1316
0.909564 40.657 32.8948
0.916155 40.752 32.6578
0.922794 40.847 32.4208
0.929481 40.942 32.1836
0.936216 41.038 31.9463
0.943000 41.133 31.7088
0.949834 41.229 31.4710
0.956717 41.325 31.2329
0.963649 41.421 30.9945
0.970632 41.518 30.7556
0.977666 41.615 30.5164
0.984750 41.712 30.2766
0.991886 41.809 30.0363
0.999074 41.907 29.7954
1.006314 42.005 29.5538
1.013606 42.104 29.3115
1.020951 42.203 29.0684
1.028349 42.302 28.8245
1.035801 42.402 28.5796
1.043307 42.503 28.3338
1.050867 42.604 28.0870
1.058482 42.705 27.8392
1.066152 42.807 27.5902
1.073878 42.910 27.3400
1.081660 43.013 27.0888
1.089498 43.117 26.8365
1.097393 43.221 26.5832
1.105345 43.326 26.3292
1.113355 43.430 26.0745
1.121423 43.535 25.8193
1.129549 43.641 25.5637
1.137734 43.746 25.3078
1.145979 43.851 25.0517
1.154283 43.957 24.7954
1.162647 44.062 24.5390
1.171072 44.168 24.2824
1.179558 44.273 24.0257
1.188106 44.379 23.7689
1.196715 44.485 23.5119
1.205387 44.591 23.2550
1.214122 44.697 22.9979
1.222920 44.803 22.7408
1.231782 44.910 22.4837
1.240708 45.016 22.2266
1.249699 45.123 21.9695
1.258754 45.229 21.7124
1.267876 45.336 21.4553
1.277063 45.443 21.1983
1.286318 45.551 20.9414
1.295639 45.658 20.6846
1.305027 45.766 20.4278
1.314484 45.874 20.1713
1.324009 45.982 19.9148
1.333604 46.091 19.6586
1.343268 46.200 19.4025
1.353002 46.309 19.1467
1.362806 46.419 18.8910
1.372681 46.528 18.6357
1.382628 46.639 18.3806
1.392647 46.749 18.1259
1.402739 46.860 17.8715
1.412904 46.972 17.6175
1.423142 47.084 17.3639
1.433455 47.196 17.1110
1.443843 47.309 16.8589
1.454305 47.423 16.6077
1.464844 47.536 16.3577
1.475459 47.650 16.1093
1.486150 47.764 15.8626
1.496920 47.879 15.6178
1.507767 47.993 15.3750
1.518693 48.108 15.1340
1.529698 48.223 14.8947
1.540783 48.338 14.6569
1.551948 48.453 14.4204
1.563194 48.569 14.1850
1.574521 48.684 13.9503
1.585931 48.800 13.7162
1.597423 48.915 13.4825
1.608999 49.031 13.2488
1.620658 49.148 13.0150
1.632402 49.264 12.7808
1.644232 49.381 12.5460
1.656146 49.497 12.3104
1.668147 49.615 12.0738
1.680235 49.732 11.8358
1.692411 49.850 11.5964
1.704675 49.968 11.3553
1.717028 50.086 11.1123
1.729470 50.205 10.8673
1.742003 50.324 10.6199
1.754626 50.443 10.3702
1.767341 50.563 10.1180
1.780147 50.683 9.8633
1.793047 50.804 9.6061
1.806040 50.925 9.3465
1.819128 51.047 9.0850
1.832310 51.168 8.8220
1.845587 51.291 8.5582
1.858961 51.413 8.2940
1.872432 51.536 8.0301
1.886001 51.659 7.7664
1.899667 51.782 7.5031
1.913433 51.905 7.2400
1.927299 52.029 6.9770
1.941265 52.153 6.7139
1.955332 52.277 6.4503
1.969501 52.401 6.1861
1.983773 52.525 5.9209
1.998148 52.650 5.6544
2.012627 52.775 5.3864
2.027212 52.900 5.1166
2.041902 53.025 4.8447
2.056698 53.151 4.5704
2.071602 53.277 4.2935
2.086614 53.403 4.0137
2.101734 53.530 3.7308
2.116964 53.657 3.4445
2.132304 53.784 3.1549
2.147756 53.911 2.8617
2.163320 54.039 2.5651
2.178996 54.167 2.2655
2.194786 54.295 1.9633
2.210690 54.424 1.6590
2.226710 54.553 1.3535
2.242845 54.682 1.0470
2.259098 54.811 0.7399
2.275468 54.941 0.4322
2.291957 55.070 0.1237
2.308566 55.200 -0.1858
2.325295 55.330 -0.4966
2.342145 55.460 -0.8090
2.359117 55.590 -1.1235
2.376212 55.721 -1.4404
2.393431 55.851 -1.7601
2.410775 55.982 -2.0830
2.428244 56.113 -2.4095
2.445840 56.244 -2.7400
2.463564 56.375 -3.0748
2.481416 56.506 -3.4143
2.499397 56.637 -3.7586
2.517509 56.768 -4.1078
2.535752 56.900 -4.4619
2.554127 57.031 -4.8207
2.572635 57.162 -5.1835
2.591277 57.294 -5.5500
2.610055 57.425 -5.9194
2.628968 57.557 -6.2916
2.648019 57.688 -6.6662
2.667208 57.819 -7.0433
2.686535 57.951 -7.4230
2.706003 58.082 -7.8055
2.725612 58.213 -8.1909
2.745363 58.344 -8.5796
2.765257 58.475 -8.9718
2.785295 58.606 -9.3679
2.805478 58.736 -9.7682
2.825808 58.867 -10.1730
2.846285 58.997 -10.5825
2.866910 59.127 -10.9972
2.887685 59.256 -11.4171
2.908611 59.385 -11.8425
2.929688 59.514 -12.2732
2.950917 59.643 -12.7091
2.972301 59.771 -13.1499
2.993839 59.899 -13.5954
3.015534 60.026 -14.0451
3.037386 60.153 -14.4987
3.059396 60.280 -14.9560
3.081565 60.406 -15.4169
3.103896 60.532 -15.8810
3.126388 60.657 -16.3483
3.149043 60.781 -16.8187
3.171862 60.905 -17.2922
3.194847 61.029 -17.7688
3.217998 61.151 -18.2487
3.241317 61.274 -18.7321
3.264805 61.395 -19.2191
3.288463 61.516 -19.7103
3.312293 61.635 -20.2058
3.336295 61.755 -20.7060
3.360471 61.873 -21.2107
3.384822 61.990 -21.7199
3.409350 62.107 -22.2329
3.434056 62.223 -22.7493
3.458940 62.337 -23.2683
3.484005 62.451 -23.7894
3.509252 62.564 -24.3120
3.534681 62.676 -24.8355
3.560295 62.787 -25.3596
3.586094 62.897 -25.8841
3.612081 63.007 -26.4090
3.638255 63.115 -26.9347
3.664620 63.222 -27.4617
3.691175 63.328 -27.9907
3.717923 63.432 -28.5221
3.744864 63.536 -29.0561
3.772001 63.638 -29.5923
3.799335 63.739 -30.1300
3.826866 63.839 -30.6683
3.854597 63.938 -31.2060
3.882529 64.035 -31.7423
3.910664 64.132 -32.2760
3.939002 64.227 -32.8064
3.967546 64.322 -33.3330
3.996296 64.415 -33.8557
4.025255 64.507 -34.3749
4.054423 64.598 -34.8913
4.083804 64.687 -35.4054
4.113396 64.776 -35.9176
4.143204 64.863 -36.4278
4.173227 64.949 -36.9355
4.203468 65.033 -37.4397
4.233928 65.117 -37.9395
4.264609 65.200 -38.4336
4.295512 65.282 -38.9212
4.326639 65.363 -39.4013
4.357992 65.443 -39.8735
4.389572 65.523 -40.3376
4.421380 65.602 -40.7940
4.453419 65.680 -41.2431
4.485691 65.757 -41.6854
4.518196 65.833 -42.1209
4.550936 65.909 -42.5496
4.583914 65.984 -42.9711
4.617131 66.059 -43.3849
4.650589 66.134 -43.7905
4.684289 66.209 -44.1873
4.718233 66.284 -44.5747
4.752424 66.359 -44.9524
4.786862 66.434 -45.3203
4.821549 66.510 -45.6785
4.856488 66.585 -46.0276
4.891680 66.661 -46.3681
4.927127 66.737 -46.7008
4.962831 66.814 -47.0264
4.998794 66.891 -47.3454
5.035017 66.970 -47.6585
5.071503 67.049 -47.9658
5.108253 67.130 -48.2673
5.145270 67.212 -48.5630
5.182555 67.295 -48.8529
5.220110 67.379 -49.1373
5.257937 67.465 -49.4172
5.296038 67.552 -49.6939
5.334415 67.640 -49.9690
5.373071 67.729 -50.2441
5.412006 67.820 -50.5206
5.451224 67.912 -50.7995
5.490725 68.006 -51.0812
5.530514 68.101 -51.3659
5.570590 68.198 -51.6535
5.610957 68.296 -51.9447
5.651616 68.396 -52.2402
5.692570 68.496 -52.5415
5.733821 68.598 -52.8501
5.775370 68.700 -53.1673
5.817221 68.803 -53.4943
5.859375 68.907 -53.8317
5.901834 69.012 -54.1797
5.944602 69.117 -54.5380
5.987679 69.222 -54.9066
6.031068 69.328 -55.2856
6.074771 69.434 -55.6751
6.118792 69.539 -56.0756
6.163131 69.644 -56.4875
6.207792 69.749 -56.9111
6.252776 69.852 -57.3466
6.298086 69.955 -57.7938
6.343725 70.057 -58.2520
6.389694 70.158 -58.7203
6.435996 70.258 -59.1977
6.482634 70.356 -59.6833
6.529610 70.453 -60.1763
6.576926 70.548 -60.6763
6.624585 70.641 -61.1830
6.672590 70.732 -61.6960
6.720942 70.822 -62.2145
6.769645 70.909 -62.7372
6.818700 70.995 -63.2623
6.868111 71.079 -63.7882
