* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 15, 2023 4:08:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria2 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.566 -162.0496
20.507813 89.598 -162.1344
20.874023 89.673 -162.3781
21.240234 89.715 -162.6802
21.606445 89.713 -163.0222
21.972656 89.679 -163.3787
22.338867 89.631 -163.7263
22.705078 89.588 -164.0966
23.071289 89.569 -164.5713
23.437500 89.575 -165.2227
23.803711 89.594 -166.0444
24.169922 89.616 -166.9299
24.536133 89.632 -167.7189
24.902344 89.650 -168.2824
25.268555 89.677 -168.5898
25.634766 89.720 -168.7169
26.000977 89.773 -168.7935
26.367188 89.821 -168.9251
26.733399 89.850 -169.1468
27.099610 89.855 -169.4332
27.465821 89.843 -169.7425
27.832032 89.828 -170.0552
28.198243 89.821 -170.3834
28.564454 89.827 -170.7493
28.930665 89.841 -171.1561
29.296876 89.857 -171.5789
29.663087 89.870 -171.9804
30.029298 89.876 -172.3364
30.395509 89.877 -172.6479
30.761720 89.874 -172.9344
31.127931 89.867 -173.2175
31.494142 89.861 -173.5079
31.860353 89.857 -173.8027
32.226563 89.859 -174.0901
32.592774 89.867 -174.3559
32.958985 89.879 -174.5867
33.325196 89.892 -174.7730
33.691407 89.904 -174.9200
34.057618 89.914 -175.0555
34.423829 89.921 -175.2271
34.790040 89.922 -175.4813
35.156251 89.915 -175.8350
35.522462 89.897 -176.2583
35.888673 89.872 -176.6832
36.254884 89.848 -177.0358
36.621095 89.834 -177.2761
36.987306 89.840 -177.4173
37.353517 89.863 -177.5141
37.719728 89.895 -177.6280
38.085939 89.923 -177.7924
38.452150 89.939 -178.0015
38.818361 89.939 -178.2243
39.184572 89.929 -178.4324
39.550783 89.919 -178.6194
39.916994 89.915 -178.8009
40.283205 89.921 -178.9990
40.649416 89.932 -179.2229
41.015627 89.944 -179.4623
41.381838 89.953 -179.6954
41.748049 89.956 -179.9034
42.114260 89.954 179.9186
42.480471 89.949 179.7621
42.846682 89.941 179.6127
43.212893 89.933 179.4582
43.579103 89.925 179.2934
43.945314 89.917 179.1188
44.311525 89.910 178.9380
44.677736 89.903 178.7549
45.043947 89.898 178.5732
45.410158 89.894 178.3947
45.776369 89.891 178.2191
46.142580 89.891 178.0440
46.508791 89.891 177.8682
46.875002 89.891 177.6937
47.241213 89.889 177.5261
47.607424 89.884 177.3684
47.973635 89.878 177.2150
48.339846 89.871 177.0502
48.706057 89.865 176.8573
49.072268 89.858 176.6336
49.438479 89.850 176.3992
49.804690 89.847 176.1902
50.170901 89.851 176.0372
50.537112 89.870 175.9426
50.903323 89.902 175.8751
51.269534 89.941 175.7867
51.635745 89.975 175.6427
52.001956 89.991 175.4427
52.368167 89.981 175.2200
52.734378 89.947 175.0177
53.100589 89.897 174.8603
53.466800 89.846 174.7397
53.833011 89.803 174.6235
54.199222 89.773 174.4788
54.565432 89.756 174.2943
54.931643 89.747 174.0854
55.297854 89.742 173.8819
55.664065 89.740 173.7091
56.030276 89.738 173.5747
56.396487 89.736 173.4685
56.762698 89.732 173.3719
57.128909 89.726 173.2682
57.495120 89.717 173.1492
57.861331 89.706 173.0144
58.227542 89.695 172.8684
58.593753 89.685 172.7179
58.959964 89.677 172.5695
59.326175 89.670 172.4291
59.692386 89.665 172.2998
60.058597 89.661 172.1811
60.424808 89.657 172.0694
60.791019 89.652 171.9597
61.157230 89.646 171.8477
61.523441 89.637 171.7318
61.889652 89.627 171.6116
62.255863 89.615 171.4880
62.622074 89.602 171.3611
62.988285 89.589 171.2314
63.354496 89.577 171.0997
63.720707 89.565 170.9678
64.086918 89.555 170.8374
64.453129 89.546 170.7087
64.819340 89.540 170.5794
65.185551 89.536 170.4445
65.551762 89.533 170.2991
65.917972 89.529 170.1401
66.284183 89.525 169.9684
66.650394 89.518 169.7886
67.016605 89.509 169.6075
67.382816 89.498 169.4322
67.749027 89.486 169.2680
68.115238 89.473 169.1182
68.481449 89.461 168.9840
68.847660 89.449 168.8644
69.213871 89.438 168.7564
69.580082 89.428 168.6554
69.946293 89.419 168.5553
70.312504 89.411 168.4510
70.678715 89.403 168.3396
71.044926 89.395 168.2221
71.411137 89.385 168.1025
71.777348 89.373 167.9863
72.143559 89.361 167.8771
72.509770 89.348 167.7750
72.875981 89.335 167.6770
73.242192 89.324 167.5780
73.608403 89.313 167.4744
73.974614 89.302 167.3654
74.340825 89.292 167.2539
74.707036 89.282 167.1450
75.073247 89.272 167.0428
75.439458 89.261 166.9487
75.805669 89.250 166.8603
76.171880 89.239 166.7727
76.538091 89.226 166.6810
76.904301 89.214 166.5820
77.270512 89.201 166.4759
77.636723 89.188 166.3654
78.002934 89.177 166.2545
78.369145 89.170 166.1464
78.735356 89.165 166.0431
79.101567 89.162 165.9452
79.467778 89.161 165.8525
79.833989 89.159 165.7646
80.200200 89.155 165.6801
80.566411 89.149 165.5964
80.932622 89.140 165.5092
81.298833 89.130 165.4138
81.665044 89.118 165.3070
82.031255 89.105 165.1885
82.397466 89.093 165.0620
82.763677 89.082 164.9337
83.129888 89.072 164.8099
83.496099 89.064 164.6950
83.862310 89.057 164.5896
84.228521 89.052 164.4915
84.594732 89.048 164.3972
84.960943 89.043 164.3038
85.327154 89.037 164.2104
85.693365 89.029 164.1179
86.059576 89.020 164.0275
86.425787 89.010 163.9401
86.791998 88.998 163.8546
87.158209 88.986 163.7684
87.524420 88.973 163.6782
87.890631 88.958 163.5815
88.256841 88.941 163.4779
88.623052 88.923 163.3695
88.989263 88.905 163.2606
89.355474 88.886 163.1561
89.721685 88.868 163.0602
90.087896 88.853 162.9747
90.454107 88.841 162.8995
90.820318 88.831 162.8322
91.186529 88.824 162.7698
91.552740 88.818 162.7097
91.918951 88.811 162.6494
92.285162 88.804 162.5875
92.651373 88.796 162.5228
93.017584 88.786 162.4545
93.383795 88.775 162.3821
93.750006 88.764 162.3058
94.116217 88.753 162.2266
94.482428 88.742 162.1461
94.848639 88.732 162.0662
95.214850 88.722 161.9887
95.581061 88.712 161.9149
95.947272 88.703 161.8450
96.313483 88.693 161.7786
96.679694 88.683 161.7147
97.045905 88.673 161.6523
97.412116 88.663 161.5911
97.778327 88.653 161.5314
98.144538 88.642 161.4742
98.510749 88.631 161.4200
98.876960 88.619 161.3688
99.243170 88.608 161.3194
99.609381 88.595 161.2699
99.975592 88.583 161.2182
100.341803 88.570 161.1631
100.708014 88.556 161.1051
101.074225 88.542 161.0461
101.440436 88.529 160.9893
101.806647 88.516 160.9378
102.172858 88.503 160.8940
102.539069 88.492 160.8586
102.905280 88.481 160.8303
103.271491 88.471 160.8066
103.637702 88.461 160.7840
104.003913 88.449 160.7593
104.370124 88.436 160.7303
104.736335 88.421 160.6959
105.102546 88.404 160.6561
105.468757 88.386 160.6118
105.834968 88.366 160.5640
106.201179 88.346 160.5133
106.567390 88.326 160.4602
106.933601 88.307 160.4053
107.299812 88.288 160.3498
107.666023 88.271 160.2961
108.032234 88.254 160.2477
108.398445 88.237 160.2087
108.764656 88.221 160.1826
109.130867 88.206 160.1710
109.497078 88.193 160.1729
109.863289 88.181 160.1849
110.229500 88.171 160.2021
110.595710 88.162 160.2201
110.961921 88.155 160.2359
111.328132 88.148 160.2492
111.694343 88.142 160.2618
112.060554 88.137 160.2770
112.426765 88.132 160.2981
112.792976 88.127 160.3274
113.159187 88.123 160.3658
113.525398 88.118 160.4126
113.891609 88.114 160.4654
114.257820 88.111 160.5203
114.624031 88.107 160.5721
114.990242 88.105 160.6141
115.356453 88.105 160.6401
115.722664 88.105 160.6443
116.088875 88.108 160.6241
116.455086 88.110 160.5800
116.821297 88.113 160.5159
117.187508 88.114 160.4384
117.553719 88.114 160.3549
117.919930 88.112 160.2721
118.286141 88.108 160.1942
118.652352 88.103 160.1224
119.018563 88.098 160.0558
119.384774 88.092 159.9916
119.750985 88.087 159.9266
120.117196 88.081 159.8586
120.483407 88.076 159.7862
120.849618 88.070 159.7095
121.215829 88.064 159.6290
121.582040 88.057 159.5454
121.948250 88.049 159.4589
122.314461 88.040 159.3693
122.680672 88.032 159.2759
123.046883 88.023 159.1787
123.413094 88.015 159.0783
123.779305 88.008 158.9766
124.145516 88.002 158.8768
124.511727 87.996 158.7827
124.877938 87.992 158.6980
125.244149 87.989 158.6257
125.610360 87.985 158.5668
125.976571 87.982 158.5207
126.342782 87.979 158.4842
126.708993 87.975 158.4530
127.075204 87.970 158.4222
127.441415 87.963 158.3870
127.807626 87.955 158.3443
128.173837 87.945 158.2923
128.540048 87.933 158.2312
128.906259 87.920 158.1627
129.272470 87.906 158.0894
129.638681 87.891 158.0143
130.004892 87.876 157.9403
130.371103 87.861 157.8699
130.737314 87.846 157.8050
131.103525 87.831 157.7465
131.469736 87.817 157.6949
131.835947 87.802 157.6501
132.202158 87.787 157.6112
132.568369 87.772 157.5771
132.934579 87.756 157.5464
133.300790 87.741 157.5179
133.667001 87.725 157.4901
134.033212 87.710 157.4619
134.399423 87.695 157.4325
134.765634 87.681 157.4014
135.131845 87.667 157.3685
135.498056 87.655 157.3344
135.864267 87.642 157.3000
136.230478 87.630 157.2664
136.596689 87.617 157.2347
136.962900 87.605 157.2061
137.329111 87.592 157.1808
137.695322 87.579 157.1591
138.061533 87.566 157.1403
138.427744 87.554 157.1238
138.793955 87.541 157.1089
139.160166 87.528 157.0952
139.526377 87.516 157.0828
139.892588 87.503 157.0717
140.258799 87.491 157.0624
140.625010 87.478 157.0552
140.991221 87.465 157.0499
141.357432 87.453 157.0465
141.723643 87.440 157.0443
142.089854 87.428 157.0429
142.456065 87.415 157.0416
142.822276 87.403 157.0399
143.188487 87.391 157.0377
143.554698 87.380 157.0350
143.920909 87.369 157.0321
144.287119 87.358 157.0298
144.653330 87.348 157.0292
145.019541 87.338 157.0316
145.385752 87.329 157.0381
145.751963 87.319 157.0499
146.118174 87.311 157.0677
146.484385 87.302 157.0916
146.850596 87.294 157.1209
147.216807 87.286 157.1548
147.583018 87.279 157.1916
147.949229 87.272 157.2294
148.315440 87.266 157.2661
148.681651 87.260 157.3000
149.047862 87.255 157.3293
149.414073 87.250 157.3528
149.780284 87.245 157.3699
150.146495 87.240 157.3804
150.512706 87.236 157.3846
150.878917 87.232 157.3834
151.245128 87.229 157.3777
151.611339 87.227 157.3688
151.977550 87.225 157.3576
152.343761 87.224 157.3451
152.709972 87.223 157.3320
153.076183 87.223 157.3186
153.442394 87.223 157.3052
153.808605 87.224 157.2917
154.174816 87.224 157.2780
154.541027 87.223 157.2636
154.907238 87.222 157.2482
155.273448 87.220 157.2310
155.639659 87.218 157.2116
156.005870 87.214 157.1891
156.372081 87.210 157.1632
156.738292 87.206 157.1334
157.104503 87.201 157.0996
157.470714 87.196 157.0622
157.836925 87.191 157.0218
158.203136 87.187 156.9792
158.569347 87.182 156.9353
158.935558 87.177 156.8910
159.301769 87.172 156.8467
159.667980 87.167 156.8028
160.034191 87.162 156.7596
160.400402 87.157 156.7168
160.766613 87.152 156.6745
161.132824 87.146 156.6325
161.499035 87.140 156.5906
161.865246 87.134 156.5490
162.231457 87.127 156.5073
162.597668 87.121 156.4655
162.963879 87.114 156.4236
163.330090 87.107 156.3813
163.696301 87.099 156.3387
164.062512 87.092 156.2953
164.428723 87.084 156.2515
164.794934 87.075 156.2070
165.161145 87.067 156.1621
165.527356 87.058 156.1171
165.893567 87.049 156.0726
166.259778 87.039 156.0289
166.625988 87.029 155.9867
166.992199 87.019 155.9467
167.358410 87.009 155.9091
167.724621 86.998 155.8745
168.090832 86.988 155.8430
168.457043 86.977 155.8145
168.823254 86.967 155.7888
169.189465 86.956 155.7653
169.555676 86.946 155.7437
169.921887 86.935 155.7231
170.288098 86.925 155.7030
170.654309 86.915 155.6829
171.020520 86.905 155.6623
