* Measurement data measured by REW V5.31.3
* Source: AUDIO [plughw:1,0], Headset (Headset), 0, volume: 0.797
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 31, 26 11:11:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu 3 L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.612 42.2836
0.368865 37.652 42.2734
0.371538 37.709 42.2599
0.374230 37.774 42.2465
0.376942 37.841 42.2346
0.379673 37.909 42.2247
0.382424 37.979 42.2170
0.385196 38.048 42.2114
0.387987 38.119 42.2079
0.390798 38.189 42.2065
0.393630 38.261 42.2071
0.396483 38.332 42.2096
0.399356 38.405 42.2140
0.402250 38.478 42.2202
0.405165 38.551 42.2281
0.408101 38.625 42.2377
0.411058 38.699 42.2489
0.414037 38.774 42.2616
0.417037 38.850 42.2757
0.420059 38.926 42.2912
0.423103 39.003 42.3080
0.426169 39.080 42.3260
0.429257 39.158 42.3451
0.432368 39.236 42.3652
0.435501 39.315 42.3863
0.438656 39.394 42.4082
0.441835 39.474 42.4309
0.445037 39.555 42.4543
0.448262 39.636 42.4783
0.451510 39.718 42.5028
0.454782 39.800 42.5276
0.458077 39.883 42.5528
0.461397 39.967 42.5782
0.464740 40.051 42.6036
0.468108 40.136 42.6291
0.471500 40.221 42.6545
0.474917 40.307 42.6797
0.478358 40.394 42.7045
0.481825 40.481 42.7290
0.485316 40.569 42.7530
0.488833 40.657 42.7763
0.492375 40.747 42.7990
0.495943 40.837 42.8208
0.499537 40.927 42.8417
0.503157 41.018 42.8615
0.506803 41.110 42.8803
0.510475 41.202 42.8977
0.514175 41.296 42.9139
0.517900 41.389 42.9285
0.521653 41.484 42.9416
0.525434 41.579 42.9530
0.529241 41.675 42.9627
0.533076 41.771 42.9705
0.536939 41.869 42.9763
0.540830 41.967 42.9800
0.544749 42.065 42.9815
0.548696 42.165 42.9807
0.552673 42.265 42.9775
0.556677 42.366 42.9719
0.560711 42.467 42.9636
0.564774 42.569 42.9526
0.568867 42.673 42.9389
0.572989 42.776 42.9222
0.577141 42.881 42.9025
0.581324 42.986 42.8798
0.585536 43.092 42.8539
0.589779 43.199 42.8247
0.594053 43.307 42.7922
0.598358 43.415 42.7562
0.602694 43.524 42.7166
0.607061 43.634 42.6735
0.611460 43.745 42.6266
0.615891 43.857 42.5760
0.620354 43.969 42.5214
0.624849 44.082 42.4629
0.629377 44.196 42.4004
0.633938 44.311 42.3338
0.638532 44.427 42.2630
0.643159 44.543 42.1879
0.647819 44.660 42.1085
0.652514 44.779 42.0248
0.657242 44.898 41.9365
0.662005 45.018 41.8438
0.666802 45.138 41.7464
0.671634 45.260 41.6445
0.676501 45.383 41.5378
0.681403 45.506 41.4264
0.686341 45.630 41.3102
0.691314 45.756 41.1891
0.696324 45.882 41.0631
0.701370 46.009 40.9322
0.706452 46.137 40.7963
0.711571 46.266 40.6554
0.716728 46.395 40.5096
0.721921 46.525 40.3589
0.727153 46.655 40.2040
0.732422 46.782 40.0463
0.737729 46.906 39.8881
0.743075 47.027 39.7318
0.748460 47.148 39.5787
0.753883 47.268 39.4290
0.759346 47.389 39.2826
0.764849 47.510 39.1394
0.770391 47.631 38.9990
0.775974 47.753 38.8613
0.781597 47.875 38.7259
0.787261 47.998 38.5926
0.792966 48.121 38.4611
0.798712 48.244 38.3312
0.804500 48.368 38.2025
0.810329 48.492 38.0749
0.816201 48.616 37.9482
0.822116 48.741 37.8219
0.828073 48.866 37.6960
0.834074 48.992 37.5701
0.840118 49.118 37.4440
0.846206 49.244 37.3176
0.852338 49.370 37.1904
0.858514 49.497 37.0624
0.864735 49.625 36.9332
0.871001 49.752 36.8027
0.877313 49.880 36.6706
0.883670 50.009 36.5368
0.890074 50.137 36.4009
0.896524 50.267 36.2629
0.903020 50.396 36.1224
0.909564 50.526 35.9792
0.916155 50.656 35.8333
0.922794 50.787 35.6843
0.929481 50.918 35.5321
0.936216 51.049 35.3765
0.943000 51.180 35.2172
0.949834 51.312 35.0542
0.956717 51.445 34.8872
0.963649 51.577 34.7160
0.970632 51.711 34.5405
0.977666 51.844 34.3604
0.984750 51.978 34.1757
0.991886 52.112 33.9861
0.999074 52.247 33.7915
1.006314 52.381 33.5917
1.013606 52.517 33.3865
1.020951 52.652 33.1758
1.028349 52.789 32.9594
1.035801 52.925 32.7373
1.043307 53.062 32.5091
1.050867 53.199 32.2748
1.058482 53.337 32.0343
1.066152 53.475 31.7874
1.073878 53.613 31.5340
1.081660 53.752 31.2741
1.089498 53.891 31.0082
1.097393 54.030 30.7373
1.105345 54.170 30.4635
1.113355 54.310 30.1894
1.121423 54.450 29.9162
1.129549 54.590 29.6444
1.137734 54.730 29.3740
1.145979 54.870 29.1048
1.154283 55.011 28.8368
1.162647 55.151 28.5697
1.171072 55.292 28.3032
1.179558 55.432 28.0372
1.188106 55.573 27.7715
1.196715 55.713 27.5058
1.205387 55.854 27.2400
1.214122 55.995 26.9738
1.222920 56.136 26.7071
1.231782 56.277 26.4395
1.240708 56.418 26.1710
1.249699 56.559 25.9013
1.258754 56.700 25.6301
1.267876 56.842 25.3573
1.277063 56.983 25.0827
1.286318 57.125 24.8060
1.295639 57.267 24.5271
1.305027 57.408 24.2457
1.314484 57.550 23.9616
1.324009 57.692 23.6746
1.333604 57.835 23.3846
1.343268 57.977 23.0912
1.353002 58.120 22.7944
1.362806 58.262 22.4938
1.372681 58.405 22.1893
1.382628 58.548 21.8806
1.392647 58.692 21.5676
1.402739 58.835 21.2501
1.412904 58.979 20.9278
1.423142 59.123 20.6006
1.433455 59.268 20.2682
1.443843 59.412 19.9307
1.454305 59.557 19.5884
1.464844 59.702 19.2424
1.475459 59.847 18.8946
1.486150 59.992 18.5470
1.496920 60.137 18.2005
1.507767 60.281 17.8554
1.518693 60.426 17.5115
1.529698 60.570 17.1685
1.540783 60.714 16.8261
1.551948 60.858 16.4839
1.563194 61.001 16.1417
1.574521 61.145 15.7991
1.585931 61.288 15.4557
1.597423 61.431 15.1112
1.608999 61.574 14.7654
1.620658 61.716 14.4177
1.632402 61.859 14.0680
1.644232 62.001 13.7158
1.656146 62.144 13.3609
1.668147 62.286 13.0028
1.680235 62.428 12.6412
1.692411 62.570 12.2758
1.704675 62.712 11.9063
1.717028 62.854 11.5323
1.729470 62.996 11.1535
1.742003 63.138 10.7694
1.754626 63.280 10.3798
1.767341 63.421 9.9844
1.780147 63.563 9.5828
1.793047 63.705 9.1746
1.806040 63.847 8.7597
1.819128 63.990 8.3382
1.832310 64.132 7.9106
1.845587 64.274 7.4783
1.858961 64.415 7.0426
1.872432 64.556 6.6045
1.886001 64.697 6.1642
1.899667 64.837 5.7220
1.913433 64.977 5.2780
1.927299 65.116 4.8323
1.941265 65.255 4.3849
1.955332 65.394 3.9358
1.969501 65.532 3.4849
1.983773 65.670 3.0324
1.998148 65.807 2.5780
2.012627 65.944 2.1218
2.027212 66.081 1.6636
2.041902 66.218 1.2034
2.056698 66.354 0.7409
2.071602 66.490 0.2761
2.086614 66.625 -0.1913
2.101734 66.761 -0.6614
2.116964 66.896 -1.1344
2.132304 67.031 -1.6106
2.147756 67.166 -2.0902
2.163320 67.300 -2.5734
2.178996 67.435 -3.0606
2.194786 67.569 -3.5518
2.210690 67.703 -4.0471
2.226710 67.837 -4.5463
2.242845 67.970 -5.0490
2.259098 68.102 -5.5548
2.275468 68.234 -6.0635
2.291957 68.364 -6.5747
2.308566 68.495 -7.0881
2.325295 68.624 -7.6036
2.342145 68.754 -8.1209
2.359117 68.882 -8.6398
2.376212 69.010 -9.1601
2.393431 69.138 -9.6818
2.410775 69.265 -10.2047
2.428244 69.391 -10.7288
2.445840 69.517 -11.2540
2.463564 69.643 -11.7804
2.481416 69.768 -12.3078
2.499397 69.893 -12.8365
2.517509 70.018 -13.3665
2.535752 70.142 -13.8979
2.554127 70.266 -14.4314
2.572635 70.390 -14.9675
2.591277 70.512 -15.5072
2.610055 70.634 -16.0508
2.628968 70.756 -16.5981
2.648019 70.876 -17.1487
2.667208 70.996 -17.7022
2.686535 71.115 -18.2580
2.706003 71.233 -18.8157
2.725612 71.350 -19.3749
2.745363 71.467 -19.9350
2.765257 71.583 -20.4959
2.785295 71.698 -21.0569
2.805478 71.813 -21.6180
2.825808 71.927 -22.1787
2.846285 72.041 -22.7387
2.866910 72.154 -23.2980
2.887685 72.267 -23.8564
2.908611 72.380 -24.4141
2.929688 72.492 -24.9719
2.950917 72.603 -25.5313
2.972301 72.714 -26.0934
2.993839 72.823 -26.6587
3.015534 72.932 -27.2269
3.037386 73.040 -27.7974
3.059396 73.146 -28.3697
3.081565 73.253 -28.9432
3.103896 73.358 -29.5172
3.126388 73.462 -30.0911
3.149043 73.566 -30.6644
3.171862 73.669 -31.2364
3.194847 73.772 -31.8067
3.217998 73.874 -32.3748
3.241317 73.976 -32.9403
3.264805 74.077 -33.5030
3.288463 74.178 -34.0633
3.312293 74.279 -34.6224
3.336295 74.378 -35.1821
3.360471 74.477 -35.7432
3.384822 74.574 -36.3056
3.409350 74.671 -36.8689
3.434056 74.767 -37.4327
3.458940 74.862 -37.9964
3.484005 74.956 -38.5593
3.509252 75.050 -39.1209
3.534681 75.143 -39.6807
3.560295 75.236 -40.2379
3.586094 75.329 -40.7921
3.612081 75.421 -41.3428
3.638255 75.512 -41.8899
3.664620 75.604 -42.4338
3.691175 75.694 -42.9757
3.717923 75.784 -43.5168
3.744864 75.874 -44.0575
3.772001 75.962 -44.5978
3.799335 76.050 -45.1374
3.826866 76.137 -45.6758
3.854597 76.224 -46.2128
3.882529 76.310 -46.7479
3.910664 76.396 -47.2806
3.939002 76.481 -47.8106
3.967546 76.567 -48.3374
3.996296 76.652 -48.8608
4.025255 76.737 -49.3808
4.054423 76.822 -49.8980
4.083804 76.906 -50.4132
4.113396 76.990 -50.9267
4.143204 77.073 -51.4387
4.173227 77.156 -51.9492
4.203468 77.238 -52.4582
4.233928 77.321 -52.9655
4.264609 77.402 -53.4711
4.295512 77.484 -53.9749
4.326639 77.566 -54.4768
4.357992 77.648 -54.9767
4.389572 77.729 -55.4745
4.421380 77.811 -55.9705
4.453419 77.892 -56.4649
4.485691 77.973 -56.9578
4.518196 78.054 -57.4495
4.550936 78.134 -57.9401
4.583914 78.215 -58.4298
4.617131 78.295 -58.9187
4.650589 78.375 -59.4069
4.684289 78.455 -59.8946
4.718233 78.534 -60.3819
4.752424 78.614 -60.8688
4.786862 78.694 -61.3555
4.821549 78.774 -61.8420
4.856488 78.853 -62.3284
4.891680 78.932 -62.8147
4.927127 79.011 -63.3010
4.962831 79.090 -63.7874
4.998794 79.169 -64.2740
5.035017 79.247 -64.7610
5.071503 79.325 -65.2484
5.108253 79.403 -65.7365
5.145270 79.481 -66.2255
5.182555 79.558 -66.7157
5.220110 79.635 -67.2071
5.257937 79.712 -67.6996
5.296038 79.788 -68.1930
5.334415 79.864 -68.6871
5.373071 79.940 -69.1816
5.412006 80.015 -69.6764
5.451224 80.090 -70.1714
5.490725 80.164 -70.6670
5.530514 80.238 -71.1637
5.570590 80.311 -71.6618
5.610957 80.384 -72.1613
5.651616 80.456 -72.6619
5.692570 80.528 -73.1629
5.733821 80.599 -73.6638
5.775370 80.669 -74.1641
5.817221 80.739 -74.6634
5.859375 80.808 -75.1618
5.901834 80.877 -75.6601
5.944602 80.945 -76.1587
5.987679 81.012 -76.6577
6.031068 81.079 -77.1566
6.074771 81.145 -77.6547
6.118792 81.210 -78.1514
6.163131 81.275 -78.6460
6.207792 81.339 -79.1382
6.252776 81.403 -79.6282
6.298086 81.466 -80.1168
6.343725 81.528 -80.6041
6.389694 81.590 -81.0902
6.435996 81.651 -81.5745
6.482634 81.712 -82.0567
6.529610 81.773 -82.5364
6.576926 81.833 -83.0131
6.624585 81.892 -83.4871
6.672590 81.952 -83.9585
6.720942 82.011 -84.4278
6.769645 82.069 -84.8952
6.818700 82.127 -85.3606
6.868111 82.185 -85.8241
