* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 9, 24 11:52:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Kadenz KATO B
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.894 -4.8315
0.368865 33.933 -4.6315
0.371538 33.991 -4.3360
0.374230 34.063 -3.9721
0.376942 34.143 -3.5626
0.379673 34.229 -3.1244
0.382424 34.318 -2.6681
0.385196 34.409 -2.2005
0.387987 34.502 -1.7252
0.390798 34.597 -1.2443
0.393630 34.692 -0.7591
0.396483 34.787 -0.2701
0.399356 34.884 0.2224
0.402250 34.981 0.7182
0.405165 35.079 1.2172
0.408101 35.178 1.7192
0.411058 35.277 2.2242
0.414037 35.378 2.7320
0.417037 35.478 3.2425
0.420059 35.580 3.7557
0.423103 35.682 4.2713
0.426169 35.786 4.7893
0.429257 35.889 5.3095
0.432368 35.994 5.8317
0.435501 36.099 6.3557
0.438656 36.205 6.8813
0.441835 36.312 7.4083
0.445037 36.420 7.9365
0.448262 36.528 8.4656
0.451510 36.638 8.9954
0.454782 36.748 9.5257
0.458077 36.859 10.0561
0.461397 36.970 10.5863
0.464740 37.083 11.1161
0.468108 37.196 11.6452
0.471500 37.310 12.1732
0.474917 37.425 12.6998
0.478358 37.541 13.2247
0.481825 37.657 13.7476
0.485316 37.775 14.2680
0.488833 37.893 14.7856
0.492375 38.012 15.3001
0.495943 38.132 15.8110
0.499537 38.253 16.3182
0.503157 38.375 16.8210
0.506803 38.497 17.3193
0.510475 38.621 17.8126
0.514175 38.745 18.3005
0.517900 38.871 18.7827
0.521653 38.997 19.2589
0.525434 39.124 19.7286
0.529241 39.252 20.1915
0.533076 39.381 20.6472
0.536939 39.511 21.0955
0.540830 39.642 21.5359
0.544749 39.774 21.9682
0.548696 39.907 22.3920
0.552673 40.041 22.8071
0.556677 40.175 23.2131
0.560711 40.311 23.6097
0.564774 40.448 23.9968
0.568867 40.585 24.3740
0.572989 40.724 24.7411
0.577141 40.864 25.0979
0.581324 41.005 25.4441
0.585536 41.146 25.7796
0.589779 41.289 26.1041
0.594053 41.433 26.4176
0.598358 41.578 26.7198
0.602694 41.724 27.0107
0.607061 41.871 27.2900
0.611460 42.019 27.5577
0.615891 42.168 27.8138
0.620354 42.318 28.0581
0.624849 42.469 28.2905
0.629377 42.622 28.5111
0.633938 42.775 28.7198
0.638532 42.930 28.9165
0.643159 43.085 29.1013
0.647819 43.242 29.2743
0.652514 43.400 29.4353
0.657242 43.559 29.5846
0.662005 43.720 29.7220
0.666802 43.881 29.8477
0.671634 44.044 29.9618
0.676501 44.208 30.0643
0.681403 44.372 30.1554
0.686341 44.539 30.2353
0.691314 44.706 30.3039
0.696324 44.874 30.3617
0.701370 45.044 30.4088
0.706452 45.214 30.4457
0.711571 45.386 30.4729
0.716728 45.557 30.4913
0.721921 45.729 30.5023
0.727153 45.901 30.5076
0.732422 46.072 30.5094
0.737729 46.243 30.5104
0.743075 46.413 30.5127
0.748460 46.583 30.5181
0.753883 46.753 30.5275
0.759346 46.924 30.5413
0.764849 47.095 30.5594
0.770391 47.268 30.5813
0.775974 47.441 30.6067
0.781597 47.616 30.6347
0.787261 47.792 30.6649
0.792966 47.968 30.6966
0.798712 48.146 30.7291
0.804500 48.325 30.7619
0.810329 48.505 30.7943
0.816201 48.686 30.8258
0.822116 48.868 30.8559
0.828073 49.050 30.8841
0.834074 49.234 30.9098
0.840118 49.419 30.9326
0.846206 49.604 30.9520
0.852338 49.790 30.9677
0.858514 49.978 30.9791
0.864735 50.166 30.9860
0.871001 50.354 30.9880
0.877313 50.544 30.9846
0.883670 50.734 30.9756
0.890074 50.925 30.9606
0.896524 51.117 30.9394
0.903020 51.309 30.9116
0.909564 51.502 30.8770
0.916155 51.695 30.8352
0.922794 51.889 30.7861
0.929481 52.083 30.7294
0.936216 52.278 30.6648
0.943000 52.473 30.5922
0.949834 52.669 30.5114
0.956717 52.864 30.4220
0.963649 53.060 30.3241
0.970632 53.257 30.2172
0.977666 53.453 30.1014
0.984750 53.649 29.9765
0.991886 53.846 29.8422
0.999074 54.042 29.6984
1.006314 54.238 29.5451
1.013606 54.435 29.3820
1.020951 54.631 29.2091
1.028349 54.826 29.0262
1.035801 55.022 28.8334
1.043307 55.216 28.6305
1.050867 55.411 28.4175
1.058482 55.604 28.1946
1.066152 55.798 27.9621
1.073878 55.990 27.7204
1.081660 56.182 27.4704
1.089498 56.372 27.2134
1.097393 56.562 26.9511
1.105345 56.751 26.6857
1.113355 56.939 26.4191
1.121423 57.126 26.1531
1.129549 57.313 25.8887
1.137734 57.498 25.6265
1.145979 57.682 25.3666
1.154283 57.866 25.1091
1.162647 58.048 24.8536
1.171072 58.230 24.6000
1.179558 58.411 24.3477
1.188106 58.591 24.0964
1.196715 58.770 23.8458
1.205387 58.948 23.5953
1.214122 59.126 23.3447
1.222920 59.302 23.0936
1.231782 59.478 22.8415
1.240708 59.654 22.5881
1.249699 59.829 22.3330
1.258754 60.003 22.0759
1.267876 60.176 21.8165
1.277063 60.349 21.5542
1.286318 60.522 21.2889
1.295639 60.694 21.0201
1.305027 60.865 20.7476
1.314484 61.036 20.4710
1.324009 61.207 20.1900
1.333604 61.378 19.9042
1.343268 61.548 19.6133
1.353002 61.719 19.3171
1.362806 61.889 19.0152
1.372681 62.059 18.7073
1.382628 62.229 18.3931
1.392647 62.400 18.0724
1.402739 62.570 17.7449
1.412904 62.741 17.4105
1.423142 62.912 17.0692
1.433455 63.083 16.7210
1.443843 63.254 16.3664
1.454305 63.426 16.0061
1.464844 63.597 15.6413
1.475459 63.769 15.2733
1.486150 63.939 14.9034
1.496920 64.110 14.5326
1.507767 64.279 14.1617
1.518693 64.447 13.7911
1.529698 64.615 13.4206
1.540783 64.782 13.0504
1.551948 64.948 12.6801
1.563194 65.113 12.3096
1.574521 65.277 11.9384
1.585931 65.441 11.5664
1.597423 65.603 11.1930
1.608999 65.765 10.8180
1.620658 65.926 10.4411
1.632402 66.087 10.0618
1.644232 66.247 9.6798
1.656146 66.406 9.2948
1.668147 66.565 8.9063
1.680235 66.723 8.5140
1.692411 66.881 8.1175
1.704675 67.039 7.7165
1.717028 67.196 7.3106
1.729470 67.352 6.8993
1.742003 67.509 6.4824
1.754626 67.665 6.0594
1.767341 67.822 5.6302
1.780147 67.978 5.1943
1.793047 68.134 4.7518
1.806040 68.290 4.3024
1.819128 68.445 3.8465
1.832310 68.601 3.3846
1.845587 68.756 2.9171
1.858961 68.910 2.4449
1.872432 69.063 1.9687
1.886001 69.216 1.4890
1.899667 69.367 1.0064
1.913433 69.518 0.5212
1.927299 69.668 0.0338
1.941265 69.817 -0.4557
1.955332 69.965 -0.9471
1.969501 70.112 -1.4402
1.983773 70.259 -1.9350
1.998148 70.404 -2.4315
2.012627 70.549 -2.9295
2.027212 70.694 -3.4292
2.041902 70.837 -3.9305
2.056698 70.980 -4.4336
2.071602 71.122 -4.9386
2.086614 71.264 -5.4456
2.101734 71.406 -5.9548
2.116964 71.547 -6.4664
2.132304 71.687 -6.9806
2.147756 71.828 -7.4978
2.163320 71.967 -8.0182
2.178996 72.107 -8.5421
2.194786 72.246 -9.0700
2.210690 72.384 -9.6019
2.226710 72.521 -10.1380
2.242845 72.658 -10.6782
2.259098 72.793 -11.2222
2.275468 72.928 -11.7698
2.291957 73.061 -12.3205
2.308566 73.194 -12.8739
2.325295 73.325 -13.4296
2.342145 73.456 -13.9871
2.359117 73.586 -14.5462
2.376212 73.714 -15.1064
2.393431 73.842 -15.6675
2.410775 73.970 -16.2292
2.428244 74.096 -16.7913
2.445840 74.222 -17.3537
2.463564 74.347 -17.9162
2.481416 74.472 -18.4789
2.499397 74.596 -19.0418
2.517509 74.719 -19.6052
2.535752 74.842 -20.1695
2.554127 74.964 -20.7352
2.572635 75.086 -21.3031
2.591277 75.206 -21.8736
2.610055 75.326 -22.4474
2.628968 75.445 -23.0245
2.648019 75.562 -23.6047
2.667208 75.678 -24.1877
2.686535 75.794 -24.7729
2.706003 75.908 -25.3600
2.725612 76.022 -25.9481
2.745363 76.134 -26.5369
2.765257 76.246 -27.1257
2.785295 76.356 -27.7139
2.805478 76.466 -28.3012
2.825808 76.576 -28.8871
2.846285 76.684 -29.4713
2.866910 76.792 -30.0538
2.887685 76.899 -30.6346
2.908611 77.006 -31.2141
2.929688 77.112 -31.7930
2.950917 77.217 -32.3720
2.972301 77.321 -32.9519
2.993839 77.424 -33.5332
3.015534 77.526 -34.1161
3.037386 77.627 -34.7002
3.059396 77.727 -35.2853
3.081565 77.826 -35.8708
3.103896 77.924 -36.4563
3.126388 78.022 -37.0409
3.149043 78.118 -37.6242
3.171862 78.214 -38.2056
3.194847 78.309 -38.7845
3.217998 78.404 -39.3605
3.241317 78.497 -39.9335
3.264805 78.591 -40.5035
3.288463 78.684 -41.0708
3.312293 78.776 -41.6361
3.336295 78.867 -42.2000
3.360471 78.958 -42.7629
3.384822 79.047 -43.3253
3.409350 79.136 -43.8872
3.434056 79.224 -44.4484
3.458940 79.311 -45.0085
3.484005 79.397 -45.5673
3.509252 79.483 -46.1242
3.534681 79.569 -46.6789
3.560295 79.654 -47.2309
3.586094 79.738 -47.7800
3.612081 79.822 -48.3258
3.638255 79.906 -48.8684
3.664620 79.989 -49.4080
3.691175 80.072 -49.9450
3.717923 80.154 -50.4797
3.744864 80.236 -51.0124
3.772001 80.317 -51.5435
3.799335 80.398 -52.0729
3.826866 80.478 -52.6007
3.854597 80.558 -53.1270
3.882529 80.637 -53.6514
3.910664 80.717 -54.1740
3.939002 80.796 -54.6946
3.967546 80.874 -55.2132
3.996296 80.953 -55.7296
4.025255 81.031 -56.2440
4.054423 81.110 -56.7564
4.083804 81.188 -57.2670
4.113396 81.265 -57.7761
4.143204 81.343 -58.2838
4.173227 81.420 -58.7904
4.203468 81.497 -59.2961
4.233928 81.574 -59.8010
4.264609 81.650 -60.3053
4.295512 81.727 -60.8092
4.326639 81.803 -61.3128
4.357992 81.880 -61.8162
4.389572 81.956 -62.3196
4.421380 82.032 -62.8230
4.453419 82.108 -63.3265
4.485691 82.183 -63.8301
4.518196 82.259 -64.3341
4.550936 82.334 -64.8384
4.583914 82.410 -65.3434
4.617131 82.484 -65.8490
4.650589 82.559 -66.3556
4.684289 82.634 -66.8634
4.718233 82.708 -67.3725
4.752424 82.782 -67.8831
4.786862 82.855 -68.3954
4.821549 82.929 -68.9095
4.856488 83.002 -69.4254
4.891680 83.074 -69.9430
4.927127 83.147 -70.4622
4.962831 83.219 -70.9830
4.998794 83.290 -71.5053
5.035017 83.361 -72.0291
5.071503 83.431 -72.5545
5.108253 83.501 -73.0816
5.145270 83.571 -73.6106
5.182555 83.639 -74.1416
5.220110 83.707 -74.6748
5.257937 83.775 -75.2098
5.296038 83.842 -75.7465
5.334415 83.908 -76.2844
5.373071 83.973 -76.8232
5.412006 84.038 -77.3626
5.451224 84.101 -77.9025
5.490725 84.164 -78.4428
5.530514 84.227 -78.9838
5.570590 84.288 -79.5256
5.610957 84.349 -80.0680
5.651616 84.408 -80.6108
5.692570 84.467 -81.1535
5.733821 84.525 -81.6955
5.775370 84.582 -82.2364
5.817221 84.639 -82.7758
5.859375 84.694 -83.3137
5.901834 84.749 -83.8500
5.944602 84.802 -84.3848
5.987679 84.855 -84.9182
6.031068 84.907 -85.4497
6.074771 84.958 -85.9790
6.118792 85.009 -86.5056
6.163131 85.059 -87.0292
6.207792 85.108 -87.5493
6.252776 85.156 -88.0661
6.298086 85.204 -88.5794
6.343725 85.251 -89.0893
6.389694 85.297 -89.5959
6.435996 85.343 -90.0988
6.482634 85.389 -90.5980
6.529610 85.434 -91.0932
6.576926 85.479 -91.5843
6.624585 85.523 -92.0711
6.672590 85.567 -92.5539
6.720942 85.610 -93.0326
