* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 29, 25 2:40:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan 500 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.618 -32.5365
0.368865 46.620 -32.5953
0.371538 46.623 -32.6831
0.374230 46.626 -32.7929
0.376942 46.629 -32.9186
0.379673 46.633 -33.0558
0.382424 46.637 -33.2016
0.385196 46.641 -33.3543
0.387987 46.646 -33.5126
0.390798 46.650 -33.6762
0.393630 46.654 -33.8448
0.396483 46.658 -34.0181
0.399356 46.663 -34.1961
0.402250 46.667 -34.3789
0.405165 46.671 -34.5664
0.408101 46.676 -34.7586
0.411058 46.680 -34.9557
0.414037 46.685 -35.1576
0.417037 46.689 -35.3643
0.420059 46.694 -35.5759
0.423103 46.698 -35.7925
0.426169 46.703 -36.0139
0.429257 46.708 -36.2404
0.432368 46.712 -36.4718
0.435501 46.717 -36.7083
0.438656 46.722 -36.9498
0.441835 46.727 -37.1964
0.445037 46.732 -37.4481
0.448262 46.736 -37.7049
0.451510 46.741 -37.9669
0.454782 46.746 -38.2340
0.458077 46.751 -38.5062
0.461397 46.756 -38.7837
0.464740 46.761 -39.0663
0.468108 46.766 -39.3542
0.471500 46.771 -39.6474
0.474917 46.777 -39.9457
0.478358 46.782 -40.2494
0.481825 46.787 -40.5583
0.485316 46.792 -40.8725
0.488833 46.798 -41.1920
0.492375 46.803 -41.5167
0.495943 46.808 -41.8468
0.499537 46.814 -42.1823
0.503157 46.819 -42.5230
0.506803 46.825 -42.8691
0.510475 46.830 -43.2205
0.514175 46.836 -43.5773
0.517900 46.841 -43.9394
0.521653 46.847 -44.3069
0.525434 46.853 -44.6798
0.529241 46.859 -45.0580
0.533076 46.864 -45.4416
0.536939 46.870 -45.8307
0.540830 46.876 -46.2251
0.544749 46.882 -46.6249
0.548696 46.888 -47.0302
0.552673 46.894 -47.4409
0.556677 46.900 -47.8571
0.560711 46.906 -48.2787
0.564774 46.912 -48.7059
0.568867 46.918 -49.1385
0.572989 46.925 -49.5767
0.577141 46.931 -50.0205
0.581324 46.937 -50.4698
0.585536 46.943 -50.9248
0.589779 46.950 -51.3855
0.594053 46.956 -51.8518
0.598358 46.963 -52.3240
0.602694 46.969 -52.8019
0.607061 46.976 -53.2857
0.611460 46.983 -53.7755
0.615891 46.989 -54.2712
0.620354 46.996 -54.7731
0.624849 47.003 -55.2811
0.629377 47.010 -55.7953
0.633938 47.017 -56.3159
0.638532 47.023 -56.8430
0.643159 47.030 -57.3767
0.647819 47.037 -57.9171
0.652514 47.045 -58.4643
0.657242 47.052 -59.0185
0.662005 47.059 -59.5800
0.666802 47.066 -60.1487
0.671634 47.073 -60.7250
0.676501 47.081 -61.3090
0.681403 47.088 -61.9010
0.686341 47.096 -62.5012
0.691314 47.103 -63.1099
0.696324 47.111 -63.7273
0.701370 47.119 -64.3538
0.706452 47.127 -64.9898
0.711571 47.135 -65.6357
0.716728 47.145 -66.2920
0.721921 47.155 -66.9593
0.727153 47.167 -67.6384
0.732422 47.181 -68.3301
0.737729 47.196 -69.0350
0.743075 47.214 -69.7540
0.748460 47.234 -70.4875
0.753883 47.254 -71.2356
0.759346 47.276 -71.9983
0.764849 47.298 -72.7756
0.770391 47.321 -73.5670
0.775974 47.344 -74.3724
0.781597 47.368 -75.1914
0.787261 47.392 -76.0235
0.792966 47.417 -76.8685
0.798712 47.442 -77.7258
0.804500 47.468 -78.5951
0.810329 47.494 -79.4759
0.816201 47.520 -80.3678
0.822116 47.548 -81.2704
0.828073 47.575 -82.1833
0.834074 47.604 -83.1060
0.840118 47.633 -84.0381
0.846206 47.663 -84.9794
0.852338 47.693 -85.9293
0.858514 47.724 -86.8875
0.864735 47.756 -87.8537
0.871001 47.789 -88.8275
0.877313 47.822 -89.8088
0.883670 47.857 -90.7971
0.890074 47.892 -91.7924
0.896524 47.928 -92.7943
0.903020 47.966 -93.8027
0.909564 48.004 -94.8175
0.916155 48.043 -95.8387
0.922794 48.083 -96.8660
0.929481 48.125 -97.8997
0.936216 48.168 -98.9396
0.943000 48.211 -99.9858
0.949834 48.257 -101.0385
0.956717 48.303 -102.0979
0.963649 48.351 -103.1641
0.970632 48.400 -104.2374
0.977666 48.451 -105.3182
0.984750 48.504 -106.4068
0.991886 48.557 -107.5035
0.999074 48.613 -108.6089
1.006314 48.670 -109.7234
1.013606 48.729 -110.8476
1.020951 48.790 -111.9821
1.028349 48.853 -113.1275
1.035801 48.918 -114.2846
1.043307 48.985 -115.4539
1.050867 49.054 -116.6364
1.058482 49.125 -117.8327
1.066152 49.199 -119.0436
1.073878 49.274 -120.2697
1.081660 49.353 -121.5114
1.089498 49.434 -122.7690
1.097393 49.517 -124.0421
1.105345 49.604 -125.3299
1.113355 49.694 -126.6310
1.121423 49.786 -127.9436
1.129549 49.882 -129.2660
1.137734 49.981 -130.5963
1.145979 50.083 -131.9327
1.154283 50.188 -133.2735
1.162647 50.296 -134.6171
1.171072 50.407 -135.9620
1.179558 50.522 -137.3070
1.188106 50.639 -138.6507
1.196715 50.759 -139.9920
1.205387 50.882 -141.3300
1.214122 51.008 -142.6638
1.222920 51.136 -143.9926
1.231782 51.268 -145.3158
1.240708 51.402 -146.6329
1.249699 51.538 -147.9435
1.258754 51.677 -149.2473
1.267876 51.818 -150.5441
1.277063 51.962 -151.8338
1.286318 52.107 -153.1166
1.295639 52.255 -154.3925
1.305027 52.405 -155.6617
1.314484 52.556 -156.9245
1.324009 52.710 -158.1813
1.333604 52.865 -159.4326
1.343268 53.021 -160.6787
1.353002 53.179 -161.9204
1.362806 53.338 -163.1582
1.372681 53.499 -164.3927
1.382628 53.660 -165.6246
1.392647 53.822 -166.8546
1.402739 53.985 -168.0833
1.412904 54.148 -169.3112
1.423142 54.312 -170.5387
1.433455 54.476 -171.7659
1.443843 54.641 -172.9924
1.454305 54.806 -174.2170
1.464844 54.973 -175.4380
1.475459 55.141 -176.6530
1.486150 55.310 -177.8592
1.496920 55.481 -179.0544
1.507767 55.654 179.7630
1.518693 55.830 178.5941
1.529698 56.007 177.4393
1.540783 56.187 176.2987
1.551948 56.369 175.1720
1.563194 56.553 174.0587
1.574521 56.739 172.9580
1.585931 56.926 171.8691
1.597423 57.116 170.7910
1.608999 57.307 169.7227
1.620658 57.500 168.6630
1.632402 57.694 167.6108
1.644232 57.889 166.5648
1.656146 58.086 165.5238
1.668147 58.283 164.4865
1.680235 58.482 163.4516
1.692411 58.681 162.4178
1.704675 58.881 161.3837
1.717028 59.081 160.3481
1.729470 59.282 159.3097
1.742003 59.483 158.2672
1.754626 59.684 157.2195
1.767341 59.884 156.1656
1.780147 60.084 155.1047
1.793047 60.284 154.0365
1.806040 60.484 152.9613
1.819128 60.683 151.8800
1.832310 60.882 150.7946
1.845587 61.080 149.7076
1.858961 61.279 148.6219
1.872432 61.477 147.5398
1.886001 61.676 146.4633
1.899667 61.875 145.3936
1.913433 62.074 144.3315
1.927299 62.273 143.2772
1.941265 62.472 142.2308
1.955332 62.672 141.1920
1.969501 62.872 140.1603
1.983773 63.072 139.1352
1.998148 63.272 138.1159
2.012627 63.472 137.1017
2.027212 63.673 136.0916
2.041902 63.873 135.0845
2.056698 64.073 134.0796
2.071602 64.274 133.0757
2.086614 64.474 132.0716
2.101734 64.674 131.0663
2.116964 64.875 130.0587
2.132304 65.075 129.0477
2.147756 65.274 128.0327
2.163320 65.474 127.0132
2.178996 65.673 125.9894
2.194786 65.873 124.9619
2.210690 66.071 123.9321
2.226710 66.270 122.9017
2.242845 66.467 121.8724
2.259098 66.665 120.8455
2.275468 66.862 119.8220
2.291957 67.059 118.8025
2.308566 67.255 117.7872
2.325295 67.451 116.7763
2.342145 67.646 115.7694
2.359117 67.841 114.7663
2.376212 68.035 113.7663
2.393431 68.230 112.7689
2.410775 68.423 111.7733
2.428244 68.617 110.7786
2.445840 68.810 109.7839
2.463564 69.003 108.7883
2.481416 69.196 107.7908
2.499397 69.388 106.7906
2.517509 69.580 105.7868
2.535752 69.771 104.7789
2.554127 69.963 103.7669
2.572635 70.153 102.7511
2.591277 70.343 101.7323
2.610055 70.533 100.7115
2.628968 70.722 99.6898
2.648019 70.910 98.6682
2.667208 71.097 97.6473
2.686535 71.284 96.6277
2.706003 71.470 95.6098
2.725612 71.656 94.5936
2.745363 71.840 93.5791
2.765257 72.024 92.5660
2.785295 72.208 91.5541
2.805478 72.391 90.5427
2.825808 72.573 89.5314
2.846285 72.755 88.5194
2.866910 72.937 87.5059
2.887685 73.118 86.4902
2.908611 73.298 85.4717
2.929688 73.478 84.4498
2.950917 73.657 83.4245
2.972301 73.835 82.3960
2.993839 74.013 81.3649
3.015534 74.189 80.3319
3.037386 74.365 79.2979
3.059396 74.540 78.2635
3.081565 74.714 77.2294
3.103896 74.887 76.1961
3.126388 75.059 75.1638
3.149043 75.230 74.1328
3.171862 75.401 73.1029
3.194847 75.571 72.0740
3.217998 75.741 71.0455
3.241317 75.909 70.0169
3.264805 76.077 68.9874
3.288463 76.245 67.9561
3.312293 76.411 66.9225
3.336295 76.576 65.8860
3.360471 76.741 64.8466
3.384822 76.904 63.8048
3.409350 77.067 62.7612
3.434056 77.228 61.7168
3.458940 77.389 60.6722
3.484005 77.548 59.6284
3.509252 77.707 58.5858
3.534681 77.865 57.5447
3.560295 78.021 56.5056
3.586094 78.177 55.4680
3.612081 78.333 54.4318
3.638255 78.487 53.3960
3.664620 78.641 52.3599
3.691175 78.793 51.3224
3.717923 78.944 50.2830
3.744864 79.095 49.2417
3.772001 79.244 48.1987
3.799335 79.392 47.1549
3.826866 79.539 46.1111
3.854597 79.685 45.0682
3.882529 79.831 44.0270
3.910664 79.975 42.9881
3.939002 80.118 41.9519
3.967546 80.261 40.9183
3.996296 80.402 39.8868
4.025255 80.543 38.8568
4.054423 80.682 37.8272
4.083804 80.821 36.7972
4.113396 80.958 35.7665
4.143204 81.094 34.7352
4.173227 81.230 33.7039
4.203468 81.364 32.6735
4.233928 81.497 31.6447
4.264609 81.629 30.6185
4.295512 81.761 29.5953
4.326639 81.891 28.5756
4.357992 82.021 27.5590
4.389572 82.150 26.5452
4.421380 82.277 25.5331
4.453419 82.404 24.5221
4.485691 82.530 23.5117
4.518196 82.654 22.5020
4.550936 82.778 21.4934
4.583914 82.901 20.4866
4.617131 83.023 19.4823
4.650589 83.144 18.4812
4.684289 83.264 17.4838
4.718233 83.383 16.4899
4.752424 83.502 15.4994
4.786862 83.620 14.5115
4.821549 83.736 13.5258
4.856488 83.852 12.5416
4.891680 83.967 11.5591
4.927127 84.082 10.5784
4.962831 84.195 9.6000
4.998794 84.308 8.6245
5.035017 84.419 7.6524
5.071503 84.531 6.6837
5.108253 84.641 5.7184
5.145270 84.751 4.7562
5.182555 84.860 3.7963
5.220110 84.968 2.8385
5.257937 85.075 1.8826
5.296038 85.182 0.9288
5.334415 85.288 -0.0226
5.373071 85.393 -0.9714
5.412006 85.498 -1.9172
5.451224 85.602 -2.8601
5.490725 85.705 -3.8002
5.530514 85.808 -4.7378
5.570590 85.910 -5.6735
5.610957 86.011 -6.6073
5.651616 86.112 -7.5393
5.692570 86.212 -8.4692
5.733821 86.311 -9.3970
5.775370 86.410 -10.3224
5.817221 86.508 -11.2454
5.859375 86.605 -12.1660
5.901834 86.702 -13.0848
5.944602 86.798 -14.0020
5.987679 86.893 -14.9176
6.031068 86.987 -15.8316
6.074771 87.081 -16.7438
6.118792 87.174 -17.6541
6.163131 87.267 -18.5621
6.207792 87.359 -19.4681
6.252776 87.450 -20.3722
6.298086 87.540 -21.2747
6.343725 87.630 -22.1757
6.389694 87.718 -23.0752
6.435996 87.807 -23.9729
6.482634 87.894 -24.8685
6.529610 87.980 -25.7618
6.576926 88.066 -26.6530
