* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 29, 25 2:44:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan 500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.561 -31.8101
0.368865 47.562 -31.8666
0.371538 47.565 -31.9511
0.374230 47.568 -32.0566
0.376942 47.571 -32.1775
0.379673 47.574 -32.3094
0.382424 47.578 -32.4495
0.385196 47.582 -32.5962
0.387987 47.586 -32.7484
0.390798 47.590 -32.9056
0.393630 47.594 -33.0675
0.396483 47.598 -33.2339
0.399356 47.602 -33.4049
0.402250 47.606 -33.5805
0.405165 47.610 -33.7606
0.408101 47.614 -33.9452
0.411058 47.618 -34.1344
0.414037 47.622 -34.3283
0.417037 47.626 -34.5268
0.420059 47.630 -34.7300
0.423103 47.634 -34.9380
0.426169 47.639 -35.1506
0.429257 47.643 -35.3681
0.432368 47.647 -35.5903
0.435501 47.652 -35.8174
0.438656 47.656 -36.0493
0.441835 47.660 -36.2861
0.445037 47.665 -36.5278
0.448262 47.669 -36.7744
0.451510 47.674 -37.0260
0.454782 47.678 -37.2826
0.458077 47.683 -37.5441
0.461397 47.688 -37.8106
0.464740 47.692 -38.0821
0.468108 47.697 -38.3587
0.471500 47.702 -38.6403
0.474917 47.706 -38.9270
0.478358 47.711 -39.2188
0.481825 47.716 -39.5157
0.485316 47.721 -39.8177
0.488833 47.726 -40.1248
0.492375 47.731 -40.4370
0.495943 47.736 -40.7543
0.499537 47.741 -41.0768
0.503157 47.746 -41.4045
0.506803 47.751 -41.7373
0.510475 47.756 -42.0753
0.514175 47.761 -42.4185
0.517900 47.766 -42.7668
0.521653 47.771 -43.1204
0.525434 47.777 -43.4792
0.529241 47.782 -43.8431
0.533076 47.787 -44.2123
0.536939 47.792 -44.5868
0.540830 47.798 -44.9664
0.544749 47.803 -45.3514
0.548696 47.809 -45.7415
0.552673 47.814 -46.1370
0.556677 47.820 -46.5377
0.560711 47.826 -46.9438
0.564774 47.831 -47.3552
0.568867 47.837 -47.7719
0.572989 47.843 -48.1939
0.577141 47.848 -48.6214
0.581324 47.854 -49.0542
0.585536 47.860 -49.4925
0.589779 47.866 -49.9363
0.594053 47.872 -50.3856
0.598358 47.878 -50.8404
0.602694 47.884 -51.3009
0.607061 47.890 -51.7669
0.611460 47.896 -52.2387
0.615891 47.902 -52.7162
0.620354 47.908 -53.1996
0.624849 47.915 -53.6888
0.629377 47.921 -54.1841
0.633938 47.927 -54.6853
0.638532 47.934 -55.1928
0.643159 47.940 -55.7065
0.647819 47.946 -56.2265
0.652514 47.953 -56.7531
0.657242 47.960 -57.2862
0.662005 47.966 -57.8262
0.666802 47.973 -58.3730
0.671634 47.979 -58.9269
0.676501 47.986 -59.4881
0.681403 47.993 -60.0567
0.686341 48.000 -60.6329
0.691314 48.007 -61.2171
0.696324 48.014 -61.8094
0.701370 48.021 -62.4102
0.706452 48.029 -63.0197
0.711571 48.037 -63.6384
0.716728 48.045 -64.2667
0.721921 48.054 -64.9053
0.727153 48.065 -65.5548
0.732422 48.077 -66.2160
0.737729 48.092 -66.8897
0.743075 48.107 -67.5766
0.748460 48.125 -68.2771
0.753883 48.143 -68.9916
0.759346 48.162 -69.7200
0.764849 48.182 -70.4623
0.770391 48.202 -71.2182
0.775974 48.222 -71.9875
0.781597 48.243 -72.7699
0.787261 48.264 -73.5652
0.792966 48.286 -74.3728
0.798712 48.308 -75.1926
0.804500 48.330 -76.0241
0.810329 48.353 -76.8669
0.816201 48.376 -77.7208
0.822116 48.400 -78.5853
0.828073 48.424 -79.4601
0.834074 48.448 -80.3448
0.840118 48.474 -81.2390
0.846206 48.499 -82.1425
0.852338 48.526 -83.0549
0.858514 48.553 -83.9759
0.864735 48.581 -84.9051
0.871001 48.609 -85.8423
0.877313 48.638 -86.7873
0.883670 48.668 -87.7398
0.890074 48.699 -88.6996
0.896524 48.730 -89.6665
0.903020 48.763 -90.6403
0.909564 48.796 -91.6210
0.916155 48.831 -92.6084
0.922794 48.866 -93.6026
0.929481 48.902 -94.6034
0.936216 48.940 -95.6110
0.943000 48.979 -96.6253
0.949834 49.019 -97.6465
0.956717 49.060 -98.6748
0.963649 49.102 -99.7103
0.970632 49.146 -100.7532
0.977666 49.191 -101.8038
0.984750 49.238 -102.8625
0.991886 49.286 -103.9296
0.999074 49.336 -105.0056
1.006314 49.387 -106.0909
1.013606 49.441 -107.1860
1.020951 49.495 -108.2915
1.028349 49.552 -109.4079
1.035801 49.611 -110.5360
1.043307 49.672 -111.6764
1.050867 49.735 -112.8298
1.058482 49.800 -113.9971
1.066152 49.867 -115.1788
1.073878 49.936 -116.3758
1.081660 50.008 -117.5885
1.089498 50.083 -118.8172
1.097393 50.160 -120.0619
1.105345 50.240 -121.3218
1.113355 50.323 -122.5960
1.121423 50.408 -123.8830
1.129549 50.497 -125.1813
1.137734 50.588 -126.4892
1.145979 50.683 -127.8050
1.154283 50.780 -129.1273
1.162647 50.881 -130.4545
1.171072 50.984 -131.7852
1.179558 51.090 -133.1181
1.188106 51.199 -134.4520
1.196715 51.311 -135.7858
1.205387 51.425 -137.1184
1.214122 51.542 -138.4489
1.222920 51.662 -139.7766
1.231782 51.784 -141.1007
1.240708 51.909 -142.4206
1.249699 52.036 -143.7359
1.258754 52.166 -145.0461
1.267876 52.298 -146.3510
1.277063 52.432 -147.6505
1.286318 52.569 -148.9444
1.295639 52.707 -150.2327
1.305027 52.848 -151.5157
1.314484 52.990 -152.7933
1.324009 53.134 -154.0659
1.333604 53.280 -155.3339
1.343268 53.428 -156.5976
1.353002 53.577 -157.8575
1.362806 53.727 -159.1141
1.372681 53.879 -160.3680
1.382628 54.032 -161.6196
1.392647 54.185 -162.8697
1.402739 54.340 -164.1188
1.412904 54.495 -165.3674
1.423142 54.652 -166.6158
1.433455 54.809 -167.8640
1.443843 54.966 -169.1117
1.454305 55.125 -170.3578
1.464844 55.285 -171.6006
1.475459 55.446 -172.8376
1.486150 55.610 -174.0665
1.496920 55.775 -175.2848
1.507767 55.943 -176.4910
1.518693 56.113 -177.6839
1.529698 56.286 -178.8631
1.540783 56.461 179.9716
1.551948 56.638 178.8201
1.563194 56.818 177.6817
1.574521 56.999 176.5559
1.585931 57.183 175.4419
1.597423 57.369 174.3387
1.608999 57.556 173.2454
1.620658 57.745 172.1609
1.632402 57.936 171.0841
1.644232 58.128 170.0138
1.656146 58.322 168.9486
1.668147 58.517 167.8875
1.680235 58.713 166.8289
1.692411 58.909 165.7718
1.704675 59.107 164.7147
1.717028 59.305 163.6564
1.729470 59.503 162.5955
1.742003 59.701 161.5309
1.754626 59.900 160.4613
1.767341 60.098 159.3858
1.780147 60.297 158.3036
1.793047 60.494 157.2145
1.806040 60.692 156.1185
1.819128 60.889 155.0167
1.832310 61.086 153.9111
1.845587 61.282 152.8041
1.858961 61.479 151.6987
1.872432 61.676 150.5972
1.886001 61.873 149.5016
1.899667 62.071 148.4131
1.913433 62.269 147.3326
1.927299 62.467 146.2601
1.941265 62.666 145.1959
1.955332 62.865 144.1395
1.969501 63.064 143.0906
1.983773 63.264 142.0485
1.998148 63.463 141.0126
2.012627 63.664 139.9819
2.027212 63.864 138.9556
2.041902 64.064 137.9327
2.056698 64.264 136.9120
2.071602 64.465 135.8926
2.086614 64.665 134.8732
2.101734 64.866 133.8528
2.116964 65.066 132.8301
2.132304 65.267 131.8044
2.147756 65.467 130.7747
2.163320 65.667 129.7408
2.178996 65.866 128.7026
2.194786 66.066 127.6611
2.210690 66.265 126.6176
2.226710 66.464 125.5739
2.242845 66.662 124.5317
2.259098 66.860 123.4923
2.275468 67.058 122.4567
2.291957 67.255 121.4255
2.308566 67.452 120.3990
2.325295 67.648 119.3770
2.342145 67.845 118.3595
2.359117 68.041 117.3458
2.376212 68.236 116.3355
2.393431 68.431 115.3279
2.410775 68.626 114.3221
2.428244 68.821 113.3173
2.445840 69.015 112.3125
2.463564 69.210 111.3067
2.481416 69.403 110.2990
2.499397 69.597 109.2884
2.517509 69.790 108.2742
2.535752 69.983 107.2559
2.554127 70.176 106.2335
2.572635 70.368 105.2073
2.591277 70.560 104.1784
2.610055 70.751 103.1478
2.628968 70.941 102.1167
2.648019 71.131 101.0859
2.667208 71.320 100.0562
2.686535 71.509 99.0281
2.706003 71.697 98.0018
2.725612 71.884 96.9774
2.745363 72.071 95.9548
2.765257 72.257 94.9336
2.785295 72.442 93.9135
2.805478 72.627 92.8938
2.825808 72.812 91.8739
2.846285 72.996 90.8531
2.866910 73.179 89.8306
2.887685 73.363 88.8057
2.908611 73.545 87.7776
2.929688 73.727 86.7461
2.950917 73.908 85.7111
2.972301 74.089 84.6730
2.993839 74.269 83.6325
3.015534 74.448 82.5902
3.037386 74.626 81.5471
3.059396 74.803 80.5038
3.081565 74.979 79.4608
3.103896 75.155 78.4187
3.126388 75.330 77.3776
3.149043 75.504 76.3375
3.171862 75.678 75.2985
3.194847 75.850 74.2600
3.217998 76.022 73.2217
3.241317 76.194 72.1829
3.264805 76.365 71.1428
3.288463 76.535 70.1006
3.312293 76.704 69.0558
3.336295 76.872 68.0079
3.360471 77.039 66.9571
3.384822 77.206 65.9039
3.409350 77.371 64.8489
3.434056 77.536 63.7930
3.458940 77.699 62.7370
3.484005 77.862 61.6815
3.509252 78.023 60.6272
3.534681 78.184 59.5742
3.560295 78.344 58.5227
3.586094 78.503 57.4725
3.612081 78.662 56.4231
3.638255 78.819 55.3738
3.664620 78.976 54.3236
3.691175 79.131 53.2717
3.717923 79.286 52.2176
3.744864 79.439 51.1613
3.772001 79.592 50.1031
3.799335 79.743 49.0439
3.826866 79.893 47.9846
3.854597 80.043 46.9259
3.882529 80.191 45.8688
3.910664 80.338 44.8137
3.939002 80.485 43.7610
3.967546 80.630 42.7105
3.996296 80.775 41.6617
4.025255 80.918 40.6139
4.054423 81.061 39.5660
4.083804 81.203 38.5173
4.113396 81.343 37.4675
4.143204 81.482 36.4167
4.173227 81.620 35.3656
4.203468 81.758 34.3151
4.233928 81.894 33.2661
4.264609 82.029 32.2195
4.295512 82.163 31.1757
4.326639 82.296 30.1351
4.357992 82.428 29.0975
4.389572 82.559 28.0622
4.421380 82.690 27.0283
4.453419 82.819 25.9951
4.485691 82.947 24.9621
4.518196 83.074 23.9294
4.550936 83.200 22.8976
4.583914 83.325 21.8676
4.617131 83.449 20.8398
4.650589 83.572 19.8154
4.684289 83.694 18.7946
4.718233 83.815 17.7773
4.752424 83.935 16.7635
4.786862 84.054 15.7523
4.821549 84.173 14.7430
4.856488 84.290 13.7351
4.891680 84.406 12.7288
4.927127 84.522 11.7242
4.962831 84.636 10.7223
4.998794 84.750 9.7234
5.035017 84.862 8.7282
5.071503 84.974 7.7369
5.108253 85.085 6.7495
5.145270 85.195 5.7653
5.182555 85.305 4.7839
5.220110 85.413 3.8049
5.257937 85.521 2.8281
5.296038 85.628 1.8538
5.334415 85.734 0.8822
5.373071 85.839 -0.0859
5.412006 85.943 -1.0505
5.451224 86.047 -2.0114
5.490725 86.150 -2.9685
5.530514 86.252 -3.9225
5.570590 86.353 -4.8737
5.610957 86.454 -5.8223
5.651616 86.554 -6.7684
5.692570 86.653 -7.7119
5.733821 86.752 -8.6522
5.775370 86.850 -9.5892
5.817221 86.947 -10.5228
5.859375 87.043 -11.4532
5.901834 87.139 -12.3807
5.944602 87.234 -13.3057
5.987679 87.329 -14.2281
6.031068 87.423 -15.1483
6.074771 87.516 -16.0657
6.118792 87.608 -16.9803
6.163131 87.700 -17.8921
6.207792 87.791 -18.8010
6.252776 87.882 -19.7072
6.298086 87.972 -20.6110
6.343725 88.061 -21.5126
6.389694 88.150 -22.4120
6.435996 88.237 -23.3092
6.482634 88.325 -24.2039
6.529610 88.411 -25.0959
6.576926 88.497 -25.9855
