* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 24, 25 1:46:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan2 Pop L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.673 -60.7989
0.368865 31.688 -60.8839
0.371538 31.711 -61.0104
0.374230 31.740 -61.1673
0.376942 31.772 -61.3455
0.379673 31.806 -61.5381
0.382424 31.842 -61.7407
0.385196 31.878 -61.9504
0.387987 31.915 -62.1656
0.390798 31.953 -62.3854
0.393630 31.991 -62.6094
0.396483 32.030 -62.8372
0.399356 32.068 -63.0687
0.402250 32.108 -63.3038
0.405165 32.147 -63.5425
0.408101 32.186 -63.7846
0.411058 32.226 -64.0303
0.414037 32.266 -64.2793
0.417037 32.307 -64.5318
0.420059 32.348 -64.7877
0.423103 32.389 -65.0469
0.426169 32.430 -65.3095
0.429257 32.472 -65.5753
0.432368 32.514 -65.8444
0.435501 32.556 -66.1167
0.438656 32.599 -66.3923
0.441835 32.641 -66.6709
0.445037 32.685 -66.9528
0.448262 32.728 -67.2377
0.451510 32.772 -67.5256
0.454782 32.816 -67.8166
0.458077 32.861 -68.1106
0.461397 32.905 -68.4076
0.464740 32.950 -68.7075
0.468108 32.996 -69.0103
0.471500 33.042 -69.3160
0.474917 33.088 -69.6246
0.478358 33.134 -69.9359
0.481825 33.181 -70.2501
0.485316 33.228 -70.5671
0.488833 33.275 -70.8868
0.492375 33.323 -71.2092
0.495943 33.371 -71.5344
0.499537 33.420 -71.8623
0.503157 33.469 -72.1928
0.506803 33.518 -72.5261
0.510475 33.567 -72.8620
0.514175 33.617 -73.2006
0.517900 33.668 -73.5419
0.521653 33.718 -73.8858
0.525434 33.769 -74.2325
0.529241 33.821 -74.5818
0.533076 33.872 -74.9338
0.536939 33.924 -75.2885
0.540830 33.977 -75.6460
0.544749 34.030 -76.0062
0.548696 34.083 -76.3693
0.552673 34.137 -76.7352
0.556677 34.191 -77.1039
0.560711 34.245 -77.4755
0.564774 34.300 -77.8501
0.568867 34.355 -78.2277
0.572989 34.411 -78.6084
0.577141 34.467 -78.9921
0.581324 34.523 -79.3791
0.585536 34.580 -79.7694
0.589779 34.637 -80.1630
0.594053 34.695 -80.5601
0.598358 34.753 -80.9606
0.602694 34.812 -81.3649
0.607061 34.870 -81.7728
0.611460 34.930 -82.1846
0.615891 34.990 -82.6004
0.620354 35.050 -83.0202
0.624849 35.110 -83.4443
0.629377 35.172 -83.8728
0.633938 35.233 -84.3057
0.638532 35.295 -84.7434
0.643159 35.358 -85.1859
0.647819 35.420 -85.6333
0.652514 35.484 -86.0860
0.657242 35.548 -86.5441
0.662005 35.612 -87.0078
0.666802 35.677 -87.4772
0.671634 35.742 -87.9527
0.676501 35.807 -88.4344
0.681403 35.874 -88.9226
0.686341 35.940 -89.4176
0.691314 36.007 -89.9195
0.696324 36.075 -90.4286
0.701370 36.143 -90.9452
0.706452 36.211 -91.4695
0.711571 36.280 -92.0017
0.716728 36.349 -92.5417
0.721921 36.419 -93.0896
0.727153 36.489 -93.6451
0.732422 36.558 -94.2075
0.737729 36.628 -94.7760
0.743075 36.698 -95.3499
0.748460 36.768 -95.9281
0.753883 36.838 -96.5101
0.759346 36.908 -97.0951
0.764849 36.978 -97.6829
0.770391 37.049 -98.2731
0.775974 37.120 -98.8654
0.781597 37.191 -99.4595
0.787261 37.263 -100.0554
0.792966 37.335 -100.6528
0.798712 37.407 -101.2517
0.804500 37.480 -101.8519
0.810329 37.553 -102.4534
0.816201 37.626 -103.0561
0.822116 37.700 -103.6601
0.828073 37.774 -104.2652
0.834074 37.849 -104.8715
0.840118 37.924 -105.4791
0.846206 37.999 -106.0881
0.852338 38.075 -106.6984
0.858514 38.152 -107.3102
0.864735 38.229 -107.9236
0.871001 38.306 -108.5389
0.877313 38.384 -109.1561
0.883670 38.462 -109.7754
0.890074 38.541 -110.3971
0.896524 38.620 -111.0214
0.903020 38.700 -111.6485
0.909564 38.780 -112.2788
0.916155 38.861 -112.9125
0.922794 38.943 -113.5500
0.929481 39.025 -114.1915
0.936216 39.108 -114.8375
0.943000 39.191 -115.4884
0.949834 39.275 -116.1444
0.956717 39.360 -116.8062
0.963649 39.445 -117.4740
0.970632 39.531 -118.1484
0.977666 39.618 -118.8298
0.984750 39.706 -119.5187
0.991886 39.794 -120.2158
0.999074 39.883 -120.9214
1.006314 39.974 -121.6362
1.013606 40.064 -122.3608
1.020951 40.156 -123.0957
1.028349 40.249 -123.8417
1.035801 40.343 -124.5992
1.043307 40.437 -125.3689
1.050867 40.533 -126.1514
1.058482 40.629 -126.9474
1.066152 40.727 -127.7572
1.073878 40.826 -128.5813
1.081660 40.925 -129.4194
1.089498 41.026 -130.2714
1.097393 41.128 -131.1362
1.105345 41.231 -132.0126
1.113355 41.335 -132.8988
1.121423 41.440 -133.7933
1.129549 41.545 -134.6946
1.137734 41.652 -135.6015
1.145979 41.760 -136.5132
1.154283 41.869 -137.4289
1.162647 41.979 -138.3480
1.171072 42.089 -139.2701
1.179558 42.201 -140.1947
1.188106 42.314 -141.1217
1.196715 42.427 -142.0506
1.205387 42.542 -142.9813
1.214122 42.658 -143.9137
1.222920 42.775 -144.8477
1.231782 42.893 -145.7831
1.240708 43.011 -146.7200
1.249699 43.131 -147.6585
1.258754 43.252 -148.5986
1.267876 43.374 -149.5405
1.277063 43.497 -150.4843
1.286318 43.622 -151.4301
1.295639 43.747 -152.3784
1.305027 43.873 -153.3293
1.314484 44.001 -154.2832
1.324009 44.129 -155.2404
1.333604 44.259 -156.2013
1.343268 44.390 -157.1662
1.353002 44.522 -158.1358
1.362806 44.655 -159.1103
1.372681 44.789 -160.0902
1.382628 44.925 -161.0761
1.392647 45.061 -162.0683
1.402739 45.199 -163.0673
1.412904 45.338 -164.0735
1.423142 45.478 -165.0868
1.433455 45.620 -166.1073
1.443843 45.763 -167.1343
1.454305 45.907 -168.1667
1.464844 46.052 -169.2025
1.475459 46.199 -170.2394
1.486150 46.348 -171.2749
1.496920 46.498 -172.3069
1.507767 46.649 -173.3339
1.518693 46.803 -174.3548
1.529698 46.958 -175.3694
1.540783 47.114 -176.3774
1.551948 47.272 -177.3790
1.563194 47.432 -178.3748
1.574521 47.593 -179.3651
1.585931 47.755 179.6494
1.597423 47.919 178.6679
1.608999 48.085 177.6898
1.620658 48.251 176.7141
1.632402 48.419 175.7401
1.644232 48.588 174.7666
1.656146 48.759 173.7929
1.668147 48.930 172.8180
1.680235 49.103 171.8408
1.692411 49.276 170.8603
1.704675 49.451 169.8756
1.717028 49.626 168.8856
1.729470 49.803 167.8892
1.742003 49.979 166.8857
1.754626 50.157 165.8741
1.767341 50.335 164.8536
1.780147 50.514 163.8239
1.793047 50.694 162.7847
1.806040 50.873 161.7366
1.819128 51.054 160.6809
1.832310 51.235 159.6196
1.845587 51.417 158.5553
1.858961 51.600 157.4910
1.872432 51.784 156.4291
1.886001 51.969 155.3714
1.899667 52.154 154.3192
1.913433 52.341 153.2730
1.927299 52.529 152.2333
1.941265 52.718 151.2000
1.955332 52.907 150.1728
1.969501 53.098 149.1514
1.983773 53.289 148.1353
1.998148 53.481 147.1237
2.012627 53.673 146.1161
2.027212 53.867 145.1115
2.041902 54.060 144.1092
2.056698 54.255 143.1082
2.071602 54.449 142.1075
2.086614 54.644 141.1063
2.101734 54.840 140.1035
2.116964 55.035 139.0984
2.132304 55.231 138.0901
2.147756 55.427 137.0782
2.163320 55.623 136.0626
2.178996 55.819 135.0436
2.194786 56.015 134.0224
2.210690 56.211 133.0005
2.226710 56.407 131.9800
2.242845 56.604 130.9625
2.259098 56.800 129.9493
2.275468 56.997 128.9413
2.291957 57.194 127.9388
2.308566 57.391 126.9420
2.325295 57.588 125.9504
2.342145 57.785 124.9640
2.359117 57.983 123.9818
2.376212 58.180 123.0035
2.393431 58.378 122.0281
2.410775 58.575 121.0549
2.428244 58.773 120.0830
2.445840 58.971 119.1115
2.463564 59.168 118.1394
2.481416 59.365 117.1660
2.499397 59.563 116.1904
2.517509 59.760 115.2122
2.535752 59.957 114.2314
2.554127 60.154 113.2480
2.572635 60.350 112.2632
2.591277 60.547 111.2780
2.610055 60.743 110.2937
2.628968 60.939 109.3113
2.648019 61.134 108.3317
2.667208 61.329 107.3552
2.686535 61.524 106.3819
2.706003 61.718 105.4118
2.725612 61.912 104.4446
2.745363 62.106 103.4800
2.765257 62.299 102.5173
2.785295 62.492 101.5561
2.805478 62.685 100.5956
2.825808 62.877 99.6350
2.846285 63.070 98.6738
2.866910 63.261 97.7113
2.887685 63.453 96.7470
2.908611 63.644 95.7807
2.929688 63.835 94.8125
2.950917 64.025 93.8430
2.972301 64.215 92.8728
2.993839 64.404 91.9027
3.015534 64.593 90.9335
3.037386 64.781 89.9655
3.059396 64.968 88.9990
3.081565 65.155 88.0342
3.103896 65.341 87.0710
3.126388 65.527 86.1093
3.149043 65.712 85.1487
3.171862 65.897 84.1889
3.194847 66.081 83.2292
3.217998 66.265 82.2693
3.241317 66.448 81.3085
3.264805 66.631 80.3464
3.288463 66.813 79.3829
3.312293 66.995 78.4178
3.336295 67.176 77.4514
3.360471 67.356 76.4840
3.384822 67.535 75.5163
3.409350 67.714 74.5486
3.434056 67.892 73.5812
3.458940 68.069 72.6146
3.484005 68.246 71.6488
3.509252 68.421 70.6838
3.534681 68.597 69.7194
3.560295 68.771 68.7555
3.586094 68.945 67.7916
3.612081 69.118 66.8273
3.638255 69.291 65.8622
3.664620 69.463 64.8959
3.691175 69.634 63.9281
3.717923 69.805 62.9590
3.744864 69.974 61.9886
3.772001 70.143 61.0176
3.799335 70.311 60.0461
3.826866 70.478 59.0747
3.854597 70.644 58.1037
3.882529 70.810 57.1333
3.910664 70.974 56.1635
3.939002 71.138 55.1942
3.967546 71.301 54.2251
3.996296 71.464 53.2559
4.025255 71.625 52.2859
4.054423 71.786 51.3148
4.083804 71.946 50.3424
4.113396 72.105 49.3687
4.143204 72.263 48.3939
4.173227 72.420 47.4185
4.203468 72.576 46.4430
4.233928 72.732 45.4678
4.264609 72.886 44.4933
4.295512 73.039 43.5196
4.326639 73.192 42.5466
4.357992 73.344 41.5740
4.389572 73.495 40.6013
4.421380 73.645 39.6279
4.453419 73.794 38.6535
4.485691 73.942 37.6780
4.518196 74.089 36.7017
4.550936 74.235 35.7249
4.583914 74.380 34.7483
4.617131 74.524 33.7724
4.650589 74.667 32.7976
4.684289 74.809 31.8240
4.718233 74.950 30.8514
4.752424 75.090 29.8795
4.786862 75.229 28.9077
4.821549 75.367 27.9354
4.856488 75.504 26.9626
4.891680 75.640 25.9895
4.927127 75.775 25.0166
4.962831 75.909 24.0443
4.998794 76.042 23.0734
5.035017 76.174 22.1041
5.071503 76.304 21.1367
5.108253 76.434 20.1709
5.145270 76.563 19.2062
5.182555 76.691 18.2421
5.220110 76.817 17.2783
5.257937 76.943 16.3149
5.296038 77.067 15.3525
5.334415 77.190 14.3914
5.373071 77.313 13.4324
5.412006 77.434 12.4757
5.451224 77.554 11.5215
5.490725 77.673 10.5697
5.530514 77.792 9.6198
5.570590 77.909 8.6714
5.610957 78.025 7.7242
5.651616 78.140 6.7788
5.692570 78.254 5.8353
5.733821 78.367 4.8943
5.775370 78.479 3.9563
5.817221 78.590 3.0215
5.859375 78.700 2.0897
5.901834 78.810 1.1605
5.944602 78.918 0.2338
5.987679 79.025 -0.6907
6.031068 79.131 -1.6128
6.074771 79.237 -2.5321
6.118792 79.341 -3.4484
6.163131 79.445 -4.3611
6.207792 79.548 -5.2705
6.252776 79.650 -6.1766
6.298086 79.751 -7.0798
6.343725 79.852 -7.9802
6.389694 79.951 -8.8779
6.435996 80.050 -9.7726
6.482634 80.148 -10.6643
6.529610 80.246 -11.5526
6.576926 80.343 -12.4377
6.624585 80.439 -13.3198
