* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 24, 25 1:45:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan2 Pop R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 26.780 32.1497
0.368865 26.794 32.0487
0.371538 26.815 31.8977
0.374230 26.841 31.7086
0.376942 26.871 31.4915
0.379673 26.902 31.2540
0.382424 26.935 31.0011
0.385196 26.969 30.7359
0.387987 27.004 30.4603
0.390798 27.038 30.1752
0.393630 27.073 29.8813
0.396483 27.109 29.5790
0.399356 27.145 29.2685
0.402250 27.181 28.9501
0.405165 27.217 28.6238
0.408101 27.253 28.2897
0.411058 27.290 27.9482
0.414037 27.327 27.5991
0.417037 27.364 27.2428
0.420059 27.402 26.8794
0.423103 27.440 26.5089
0.426169 27.478 26.1317
0.429257 27.516 25.7478
0.432368 27.555 25.3575
0.435501 27.594 24.9609
0.438656 27.633 24.5582
0.441835 27.673 24.1496
0.445037 27.713 23.7353
0.448262 27.753 23.3155
0.451510 27.793 22.8904
0.454782 27.834 22.4602
0.458077 27.875 22.0252
0.461397 27.916 21.5854
0.464740 27.958 21.1412
0.468108 27.999 20.6928
0.471500 28.042 20.2403
0.474917 28.084 19.7840
0.478358 28.127 19.3240
0.481825 28.170 18.8607
0.485316 28.213 18.3941
0.488833 28.257 17.9244
0.492375 28.301 17.4520
0.495943 28.346 16.9769
0.499537 28.390 16.4993
0.503157 28.435 16.0194
0.506803 28.481 15.5375
0.510475 28.526 15.0535
0.514175 28.572 14.5678
0.517900 28.619 14.0804
0.521653 28.665 13.5915
0.525434 28.712 13.1012
0.529241 28.760 12.6096
0.533076 28.807 12.1168
0.536939 28.855 11.6230
0.540830 28.904 11.1282
0.544749 28.952 10.6325
0.548696 29.002 10.1359
0.552673 29.051 9.6385
0.556677 29.101 9.1404
0.560711 29.151 8.6415
0.564774 29.201 8.1419
0.568867 29.252 7.6415
0.572989 29.304 7.1404
0.577141 29.355 6.6386
0.581324 29.407 6.1359
0.585536 29.460 5.6323
0.589779 29.512 5.1277
0.594053 29.566 4.6220
0.598358 29.619 4.1152
0.602694 29.673 3.6070
0.607061 29.727 3.0974
0.611460 29.782 2.5862
0.615891 29.837 2.0731
0.620354 29.893 1.5580
0.624849 29.949 1.0407
0.629377 30.005 0.5208
0.633938 30.062 -0.0018
0.638532 30.119 -0.5276
0.643159 30.176 -1.0567
0.647819 30.234 -1.5895
0.652514 30.293 -2.1266
0.657242 30.351 -2.6681
0.662005 30.411 -3.2147
0.666802 30.470 -3.7667
0.671634 30.530 -4.3247
0.676501 30.591 -4.8893
0.681403 30.652 -5.4610
0.686341 30.713 -6.0405
0.691314 30.775 -6.6285
0.696324 30.837 -7.2259
0.701370 30.899 -7.8335
0.706452 30.962 -8.4523
0.711571 31.024 -9.0836
0.716728 31.085 -9.7288
0.721921 31.146 -10.3898
0.727153 31.204 -11.0686
0.732422 31.259 -11.7676
0.737729 31.310 -12.4894
0.743075 31.359 -13.2360
0.748460 31.404 -14.0090
0.753883 31.446 -14.8093
0.759346 31.486 -15.6371
0.764849 31.523 -16.4921
0.770391 31.559 -17.3741
0.775974 31.594 -18.2822
0.781597 31.626 -19.2157
0.787261 31.657 -20.1737
0.792966 31.687 -21.1551
0.798712 31.715 -22.1592
0.804500 31.742 -23.1847
0.810329 31.767 -24.2307
0.816201 31.792 -25.2962
0.822116 31.815 -26.3800
0.828073 31.837 -27.4812
0.834074 31.858 -28.5986
0.840118 31.878 -29.7315
0.846206 31.898 -30.8787
0.852338 31.917 -32.0393
0.858514 31.935 -33.2125
0.864735 31.952 -34.3976
0.871001 31.970 -35.5937
0.877313 31.987 -36.8003
0.883670 32.003 -38.0167
0.890074 32.020 -39.2426
0.896524 32.037 -40.4776
0.903020 32.054 -41.7214
0.909564 32.072 -42.9738
0.916155 32.090 -44.2350
0.922794 32.108 -45.5049
0.929481 32.128 -46.7839
0.936216 32.148 -48.0723
0.943000 32.170 -49.3706
0.949834 32.193 -50.6796
0.956717 32.217 -52.0000
0.963649 32.243 -53.3329
0.970632 32.271 -54.6793
0.977666 32.302 -56.0407
0.984750 32.334 -57.4184
0.991886 32.370 -58.8141
0.999074 32.408 -60.2297
1.006314 32.449 -61.6672
1.013606 32.494 -63.1288
1.020951 32.542 -64.6171
1.028349 32.594 -66.1346
1.035801 32.650 -67.6843
1.043307 32.711 -69.2693
1.050867 32.777 -70.8929
1.058482 32.847 -72.5588
1.066152 32.923 -74.2708
1.073878 33.005 -76.0329
1.081660 33.092 -77.8489
1.089498 33.186 -79.7223
1.097393 33.285 -81.6557
1.105345 33.391 -83.6496
1.113355 33.502 -85.7027
1.121423 33.619 -87.8109
1.129549 33.742 -89.9682
1.137734 33.871 -92.1671
1.145979 34.004 -94.3991
1.154283 34.144 -96.6555
1.162647 34.288 -98.9274
1.171072 34.438 -101.2061
1.179558 34.593 -103.4834
1.188106 34.753 -105.7519
1.196715 34.918 -108.0045
1.205387 35.088 -110.2355
1.214122 35.262 -112.4397
1.222920 35.441 -114.6129
1.231782 35.624 -116.7519
1.240708 35.812 -118.8544
1.249699 36.004 -120.9187
1.258754 36.200 -122.9441
1.267876 36.399 -124.9305
1.277063 36.603 -126.8785
1.286318 36.809 -128.7888
1.295639 37.019 -130.6632
1.305027 37.232 -132.5034
1.314484 37.448 -134.3114
1.324009 37.667 -136.0897
1.333604 37.887 -137.8407
1.343268 38.110 -139.5671
1.353002 38.335 -141.2717
1.362806 38.562 -142.9572
1.372681 38.790 -144.6263
1.382628 39.018 -146.2819
1.392647 39.248 -147.9265
1.402739 39.478 -149.5625
1.412904 39.709 -151.1921
1.423142 39.939 -152.8167
1.433455 40.170 -154.4371
1.443843 40.401 -156.0526
1.454305 40.633 -157.6610
1.464844 40.866 -159.2581
1.475459 41.100 -160.8383
1.486150 41.337 -162.3955
1.496920 41.577 -163.9247
1.507767 41.820 -165.4223
1.518693 42.066 -166.8862
1.529698 42.315 -168.3157
1.540783 42.568 -169.7114
1.551948 42.824 -171.0743
1.563194 43.082 -172.4061
1.574521 43.344 -173.7088
1.585931 43.608 -174.9848
1.597423 43.875 -176.2363
1.608999 44.143 -177.4661
1.620658 44.414 -178.6765
1.632402 44.686 -179.8703
1.644232 44.960 178.9501
1.656146 45.235 177.7821
1.668147 45.510 176.6232
1.680235 45.787 175.4709
1.692411 46.064 174.3228
1.704675 46.340 173.1767
1.717028 46.617 172.0304
1.729470 46.893 170.8817
1.742003 47.167 169.7286
1.754626 47.441 168.5695
1.767341 47.713 167.4030
1.780147 47.983 166.2280
1.793047 48.251 165.0445
1.806040 48.517 163.8530
1.819128 48.780 162.6559
1.832310 49.042 161.4564
1.845587 49.301 160.2592
1.858961 49.559 159.0687
1.872432 49.815 157.8889
1.886001 50.069 156.7224
1.899667 50.322 155.5709
1.913433 50.574 154.4348
1.927299 50.825 153.3141
1.941265 51.075 152.2083
1.955332 51.323 151.1162
1.969501 51.571 150.0369
1.983773 51.818 148.9688
1.998148 52.063 147.9104
2.012627 52.308 146.8602
2.027212 52.552 145.8165
2.041902 52.795 144.7775
2.056698 53.038 143.7415
2.071602 53.279 142.7068
2.086614 53.521 141.6716
2.101734 53.761 140.6343
2.116964 54.001 139.5933
2.132304 54.241 138.5473
2.147756 54.480 137.4954
2.163320 54.719 136.4373
2.178996 54.957 135.3732
2.194786 55.195 134.3048
2.210690 55.431 133.2343
2.226710 55.667 132.1643
2.242845 55.901 131.0974
2.259098 56.134 130.0355
2.275468 56.366 128.9798
2.291957 56.596 127.9310
2.308566 56.825 126.8893
2.325295 57.052 125.8543
2.342145 57.279 124.8257
2.359117 57.504 123.8026
2.376212 57.728 122.7841
2.393431 57.951 121.7693
2.410775 58.174 120.7570
2.428244 58.395 119.7459
2.445840 58.616 118.7348
2.463564 58.836 117.7224
2.481416 59.055 116.7073
2.499397 59.274 115.6885
2.517509 59.492 114.6651
2.535752 59.710 113.6367
2.554127 59.927 112.6031
2.572635 60.143 111.5654
2.591277 60.358 110.5247
2.610055 60.572 109.4824
2.628968 60.785 108.4402
2.648019 60.997 107.3990
2.667208 61.207 106.3600
2.686535 61.416 105.3234
2.706003 61.624 104.2897
2.725612 61.830 103.2588
2.745363 62.036 102.2305
2.765257 62.240 101.2045
2.785295 62.444 100.1801
2.805478 62.646 99.1568
2.825808 62.848 98.1335
2.846285 63.049 97.1096
2.866910 63.249 96.0840
2.887685 63.449 95.0559
2.908611 63.647 94.0247
2.929688 63.845 92.9898
2.950917 64.042 91.9514
2.972301 64.237 90.9099
2.993839 64.431 89.8661
3.015534 64.625 88.8208
3.037386 64.816 87.7751
3.059396 65.007 86.7297
3.081565 65.196 85.6852
3.103896 65.384 84.6422
3.126388 65.571 83.6006
3.149043 65.757 82.5609
3.171862 65.942 81.5225
3.194847 66.126 80.4853
3.217998 66.309 79.4487
3.241317 66.491 78.4119
3.264805 66.672 77.3741
3.288463 66.852 76.3345
3.312293 67.031 75.2922
3.336295 67.209 74.2471
3.360471 67.385 73.1990
3.384822 67.561 72.1487
3.409350 67.734 71.0970
3.434056 67.907 70.0446
3.458940 68.078 68.9924
3.484005 68.249 67.9414
3.509252 68.418 66.8919
3.534681 68.585 65.8445
3.560295 68.752 64.7993
3.586094 68.918 63.7559
3.612081 69.083 62.7140
3.638255 69.246 61.6727
3.664620 69.409 60.6311
3.691175 69.571 59.5882
3.717923 69.731 58.5433
3.744864 69.890 57.4966
3.772001 70.047 56.4483
3.799335 70.203 55.3993
3.826866 70.358 54.3505
3.854597 70.512 53.3028
3.882529 70.664 52.2572
3.910664 70.816 51.2142
3.939002 70.966 50.1741
3.967546 71.115 49.1369
3.996296 71.263 48.1021
4.025255 71.410 47.0689
4.054423 71.556 46.0362
4.083804 71.701 45.0031
4.113396 71.844 43.9694
4.143204 71.986 42.9352
4.173227 72.127 41.9011
4.203468 72.267 40.8680
4.233928 72.405 39.8368
4.264609 72.542 38.8083
4.295512 72.679 37.7833
4.326639 72.814 36.7620
4.357992 72.948 35.7441
4.389572 73.081 34.7291
4.421380 73.214 33.7162
4.453419 73.345 32.7044
4.485691 73.474 31.6933
4.518196 73.603 30.6831
4.550936 73.731 29.6741
4.583914 73.857 28.6671
4.617131 73.982 27.6628
4.650589 74.107 26.6620
4.684289 74.230 25.6650
4.718233 74.353 24.6719
4.752424 74.475 23.6825
4.786862 74.596 22.6961
4.821549 74.715 21.7119
4.856488 74.834 20.7296
4.891680 74.952 19.7490
4.927127 75.069 18.7705
4.962831 75.185 17.7945
4.998794 75.300 16.8217
5.035017 75.415 15.8523
5.071503 75.528 14.8867
5.108253 75.641 13.9247
5.145270 75.753 12.9660
5.182555 75.865 12.0100
5.220110 75.975 11.0563
5.257937 76.085 10.1047
5.296038 76.194 9.1553
5.334415 76.303 8.2085
5.373071 76.410 7.2644
5.412006 76.517 6.3234
5.451224 76.624 5.3854
5.490725 76.729 4.4503
5.530514 76.835 3.5178
5.570590 76.939 2.5874
5.610957 77.043 1.6589
5.651616 77.146 0.7323
5.692570 77.249 -0.1924
5.733821 77.351 -1.1149
5.775370 77.452 -2.0352
5.817221 77.553 -2.9534
5.859375 77.653 -3.8694
5.901834 77.753 -4.7838
5.944602 77.852 -5.6968
5.987679 77.951 -6.6084
6.031068 78.049 -7.5188
6.074771 78.146 -8.4278
6.118792 78.243 -9.3353
6.163131 78.339 -10.2413
6.207792 78.435 -11.1459
6.252776 78.530 -12.0493
6.298086 78.624 -12.9517
6.343725 78.718 -13.8534
6.389694 78.811 -14.7543
6.435996 78.903 -15.6542
6.482634 78.995 -16.5529
6.529610 79.086 -17.4503
6.576926 79.177 -18.3466
6.624585 79.266 -19.2418
6.672590 79.355 -20.1362
6.720942 79.444 -21.0298
6.769645 79.531 -21.9225
6.818700 79.618 -22.8140
