* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.300
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 09 24, 25 1:42:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan2 Ref R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 29.654 -6.5818
0.368865 29.658 -6.6306
0.371538 29.663 -6.7035
0.374230 29.670 -6.7948
0.376942 29.678 -6.8995
0.379673 29.686 -7.0141
0.382424 29.695 -7.1361
0.385196 29.703 -7.2642
0.387987 29.712 -7.3974
0.390798 29.721 -7.5354
0.393630 29.731 -7.6778
0.396483 29.740 -7.8247
0.399356 29.749 -7.9760
0.402250 29.758 -8.1317
0.405165 29.768 -8.2917
0.408101 29.777 -8.4562
0.411058 29.787 -8.6252
0.414037 29.797 -8.7986
0.417037 29.806 -8.9766
0.420059 29.816 -9.1591
0.423103 29.826 -9.3462
0.426169 29.836 -9.5380
0.429257 29.846 -9.7344
0.432368 29.856 -9.9354
0.435501 29.866 -10.1412
0.438656 29.876 -10.3517
0.441835 29.886 -10.5670
0.445037 29.897 -10.7870
0.448262 29.907 -11.0118
0.451510 29.918 -11.2414
0.454782 29.928 -11.4758
0.458077 29.939 -11.7151
0.461397 29.950 -11.9591
0.464740 29.961 -12.2081
0.468108 29.971 -12.4618
0.471500 29.982 -12.7204
0.474917 29.993 -12.9839
0.478358 30.005 -13.2522
0.481825 30.016 -13.5252
0.485316 30.027 -13.8031
0.488833 30.038 -14.0858
0.492375 30.050 -14.3732
0.495943 30.061 -14.6654
0.499537 30.073 -14.9622
0.503157 30.085 -15.2637
0.506803 30.097 -15.5698
0.510475 30.108 -15.8805
0.514175 30.120 -16.1957
0.517900 30.132 -16.5153
0.521653 30.145 -16.8393
0.525434 30.157 -17.1676
0.529241 30.169 -17.5001
0.533076 30.182 -17.8368
0.536939 30.194 -18.1776
0.540830 30.207 -18.5222
0.544749 30.219 -18.8708
0.548696 30.232 -19.2231
0.552673 30.245 -19.5790
0.556677 30.258 -19.9383
0.560711 30.271 -20.3011
0.564774 30.284 -20.6670
0.568867 30.297 -21.0360
0.572989 30.311 -21.4079
0.577141 30.324 -21.7825
0.581324 30.338 -22.1597
0.585536 30.351 -22.5392
0.589779 30.365 -22.9209
0.594053 30.379 -23.3046
0.598358 30.393 -23.6901
0.602694 30.407 -24.0771
0.607061 30.421 -24.4654
0.611460 30.435 -24.8548
0.615891 30.449 -25.2451
0.620354 30.464 -25.6359
0.624849 30.478 -26.0271
0.629377 30.493 -26.4184
0.633938 30.508 -26.8094
0.638532 30.523 -27.2000
0.643159 30.538 -27.5898
0.647819 30.553 -27.9784
0.652514 30.568 -28.3657
0.657242 30.583 -28.7513
0.662005 30.599 -29.1349
0.666802 30.614 -29.5161
0.671634 30.630 -29.8947
0.676501 30.645 -30.2704
0.681403 30.661 -30.6428
0.686341 30.677 -31.0119
0.691314 30.693 -31.3777
0.696324 30.709 -31.7403
0.701370 30.726 -32.1007
0.706452 30.742 -32.4608
0.711571 30.758 -32.8237
0.716728 30.773 -33.1949
0.721921 30.788 -33.5825
0.727153 30.802 -33.9973
0.732422 30.815 -34.4509
0.737729 30.826 -34.9516
0.743075 30.835 -35.5005
0.748460 30.842 -36.0934
0.753883 30.847 -36.7250
0.759346 30.851 -37.3901
0.764849 30.853 -38.0849
0.770391 30.853 -38.8066
0.775974 30.852 -39.5536
0.781597 30.849 -40.3247
0.787261 30.845 -41.1190
0.792966 30.840 -41.9360
0.798712 30.833 -42.7753
0.804500 30.825 -43.6365
0.810329 30.817 -44.5191
0.816201 30.807 -45.4229
0.822116 30.796 -46.3476
0.828073 30.784 -47.2926
0.834074 30.772 -48.2578
0.840118 30.758 -49.2428
0.846206 30.745 -50.2472
0.852338 30.730 -51.2708
0.858514 30.716 -52.3132
0.864735 30.701 -53.3742
0.871001 30.686 -54.4536
0.877313 30.671 -55.5511
0.883670 30.656 -56.6666
0.890074 30.641 -57.8000
0.896524 30.627 -58.9512
0.903020 30.613 -60.1202
0.909564 30.600 -61.3071
0.916155 30.588 -62.5121
0.922794 30.577 -63.7354
0.929481 30.567 -64.9773
0.936216 30.558 -66.2382
0.943000 30.551 -67.5186
0.949834 30.546 -68.8191
0.956717 30.543 -70.1404
0.963649 30.541 -71.4835
0.970632 30.543 -72.8491
0.977666 30.547 -74.2385
0.984750 30.553 -75.6529
0.991886 30.563 -77.0936
0.999074 30.576 -78.5621
1.006314 30.593 -80.0601
1.013606 30.614 -81.5894
1.020951 30.639 -83.1520
1.028349 30.668 -84.7499
1.035801 30.702 -86.3855
1.043307 30.742 -88.0611
1.050867 30.786 -89.7794
1.058482 30.837 -91.5429
1.066152 30.894 -93.3544
1.073878 30.957 -95.2164
1.081660 31.026 -97.1311
1.089498 31.103 -99.1002
1.097393 31.187 -101.1239
1.105345 31.278 -103.2006
1.113355 31.376 -105.3269
1.121423 31.481 -107.4973
1.129549 31.594 -109.7048
1.137734 31.714 -111.9415
1.145979 31.841 -114.1992
1.154283 31.975 -116.4693
1.162647 32.115 -118.7439
1.171072 32.262 -121.0148
1.179558 32.416 -123.2749
1.188106 32.576 -125.5177
1.196715 32.743 -127.7372
1.205387 32.915 -129.9284
1.214122 33.094 -132.0873
1.222920 33.278 -134.2103
1.231782 33.467 -136.2951
1.240708 33.662 -138.3399
1.249699 33.862 -140.3437
1.258754 34.066 -142.3061
1.267876 34.276 -144.2273
1.277063 34.489 -146.1081
1.286318 34.707 -147.9494
1.295639 34.928 -149.7529
1.305027 35.152 -151.5203
1.314484 35.380 -153.2535
1.324009 35.611 -154.9548
1.333604 35.844 -156.6264
1.343268 36.079 -158.2708
1.353002 36.315 -159.8902
1.362806 36.553 -161.4872
1.372681 36.792 -163.0641
1.382628 37.031 -164.6232
1.392647 37.271 -166.1668
1.402739 37.510 -167.6968
1.412904 37.749 -169.2149
1.423142 37.986 -170.7223
1.433455 38.223 -172.2192
1.443843 38.459 -173.7050
1.454305 38.694 -175.1774
1.464844 38.929 -176.6327
1.475459 39.165 -178.0659
1.486150 39.403 -179.4722
1.496920 39.643 179.1523
1.507767 39.885 177.8100
1.518693 40.131 176.5018
1.529698 40.379 175.2273
1.540783 40.631 173.9854
1.551948 40.885 172.7744
1.563194 41.142 171.5922
1.574521 41.401 170.4366
1.585931 41.662 169.3051
1.597423 41.926 168.1955
1.608999 42.192 167.1051
1.620658 42.459 166.0316
1.632402 42.727 164.9725
1.644232 42.997 163.9256
1.656146 43.268 162.8885
1.668147 43.540 161.8592
1.680235 43.812 160.8353
1.692411 44.084 159.8150
1.704675 44.356 158.7961
1.717028 44.627 157.7769
1.729470 44.898 156.7556
1.742003 45.168 155.7306
1.754626 45.436 154.7004
1.767341 45.703 153.6639
1.780147 45.967 152.6205
1.793047 46.230 151.5701
1.806040 46.490 150.5134
1.819128 46.748 149.4523
1.832310 47.003 148.3900
1.845587 47.257 147.3302
1.858961 47.508 146.2769
1.872432 47.758 145.2332
1.886001 48.005 144.2011
1.899667 48.252 143.1818
1.913433 48.496 142.1755
1.927299 48.740 141.1819
1.941265 48.982 140.2004
1.955332 49.222 139.2302
1.969501 49.462 138.2700
1.983773 49.700 137.3187
1.998148 49.937 136.3749
2.012627 50.174 135.4374
2.027212 50.409 134.5047
2.041902 50.643 133.5754
2.056698 50.877 132.6482
2.071602 51.110 131.7215
2.086614 51.342 130.7940
2.101734 51.574 129.8644
2.116964 51.806 128.9315
2.132304 52.037 127.9942
2.147756 52.268 127.0519
2.163320 52.498 126.1044
2.178996 52.728 125.1523
2.194786 52.957 124.1967
2.210690 53.186 123.2396
2.226710 53.413 122.2833
2.242845 53.639 121.3298
2.259098 53.864 120.3807
2.275468 54.088 119.4368
2.291957 54.310 118.4985
2.308566 54.531 117.5658
2.325295 54.751 116.6385
2.342145 54.970 115.7160
2.359117 55.187 114.7978
2.376212 55.404 113.8829
2.393431 55.619 112.9706
2.410775 55.834 112.0600
2.428244 56.048 111.1500
2.445840 56.261 110.2396
2.463564 56.473 109.3278
2.481416 56.685 108.4137
2.499397 56.897 107.4964
2.517509 57.108 106.5753
2.535752 57.319 105.6503
2.554127 57.529 104.7213
2.572635 57.738 103.7892
2.591277 57.946 102.8552
2.610055 58.154 101.9204
2.628968 58.360 100.9860
2.648019 58.565 100.0529
2.667208 58.769 99.1215
2.686535 58.971 98.1922
2.706003 59.173 97.2651
2.725612 59.373 96.3401
2.745363 59.573 95.4170
2.765257 59.771 94.4954
2.785295 59.969 93.5749
2.805478 60.166 92.6548
2.825808 60.363 91.7345
2.846285 60.558 90.8135
2.866910 60.753 89.8910
2.887685 60.948 88.9665
2.908611 61.142 88.0397
2.929688 61.335 87.1104
2.950917 61.527 86.1788
2.972301 61.718 85.2454
2.993839 61.908 84.3109
3.015534 62.097 83.3758
3.037386 62.285 82.4409
3.059396 62.472 81.5064
3.081565 62.658 80.5729
3.103896 62.843 79.6404
3.126388 63.027 78.7090
3.149043 63.210 77.7787
3.171862 63.392 76.8492
3.194847 63.574 75.9202
3.217998 63.754 74.9914
3.241317 63.935 74.0622
3.264805 64.114 73.1322
3.288463 64.293 72.2010
3.312293 64.471 71.2682
3.336295 64.647 70.3337
3.360471 64.823 69.3979
3.384822 64.998 68.4610
3.409350 65.172 67.5236
3.434056 65.345 66.5860
3.458940 65.516 65.6489
3.484005 65.687 64.7124
3.509252 65.857 63.7769
3.534681 66.026 62.8424
3.560295 66.194 61.9089
3.586094 66.362 60.9763
3.612081 66.529 60.0441
3.638255 66.695 59.1120
3.664620 66.860 58.1795
3.691175 67.025 57.2461
3.717923 67.188 56.3116
3.744864 67.351 55.3761
3.772001 67.512 54.4399
3.799335 67.673 53.5034
3.826866 67.833 52.5671
3.854597 67.991 51.6313
3.882529 68.149 50.6964
3.910664 68.306 49.7625
3.939002 68.462 48.8298
3.967546 68.618 47.8980
3.996296 68.773 46.9670
4.025255 68.927 46.0361
4.054423 69.080 45.1050
4.083804 69.232 44.1732
4.113396 69.384 43.2407
4.143204 69.534 42.3076
4.173227 69.684 41.3742
4.203468 69.833 40.4410
4.233928 69.980 39.5083
4.264609 70.127 38.5765
4.295512 70.274 37.6458
4.326639 70.419 36.7161
4.357992 70.564 35.7872
4.389572 70.708 34.8588
4.421380 70.851 33.9303
4.453419 70.993 33.0013
4.485691 71.135 32.0717
4.518196 71.275 31.1417
4.550936 71.415 30.2115
4.583914 71.553 29.2815
4.617131 71.691 28.3520
4.650589 71.828 27.4235
4.684289 71.965 26.4958
4.718233 72.100 25.5690
4.752424 72.235 24.6426
4.786862 72.369 23.7164
4.821549 72.502 22.7897
4.856488 72.634 21.8625
4.891680 72.766 20.9349
4.927127 72.896 20.0072
4.962831 73.025 19.0798
4.998794 73.154 18.1530
5.035017 73.282 17.2271
5.071503 73.409 16.3020
5.108253 73.535 15.3777
5.145270 73.660 14.4537
5.182555 73.785 13.5295
5.220110 73.908 12.6050
5.257937 74.031 11.6802
5.296038 74.152 10.7555
5.334415 74.273 9.8312
5.373071 74.393 8.9077
5.412006 74.512 7.9853
5.451224 74.630 7.0640
5.490725 74.747 6.1436
5.530514 74.863 5.2238
5.570590 74.978 4.3040
5.610957 75.093 3.3844
5.651616 75.206 2.4651
5.692570 75.318 1.5464
5.733821 75.430 0.6289
5.775370 75.540 -0.2871
5.817221 75.650 -1.2015
5.859375 75.758 -2.1146
5.901834 75.866 -3.0265
5.944602 75.973 -3.9376
5.987679 76.078 -4.8479
6.031068 76.183 -5.7572
6.074771 76.287 -6.6652
6.118792 76.389 -7.5712
6.163131 76.491 -8.4753
6.207792 76.592 -9.3772
6.252776 76.692 -10.2772
6.298086 76.792 -11.1756
6.343725 76.890 -12.0724
6.389694 76.987 -12.9677
6.435996 77.083 -13.8610
6.482634 77.179 -14.7521
6.529610 77.273 -15.6406
6.576926 77.367 -16.5266
6.624585 77.460 -17.4102
