* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 7, 24 4:05:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Quarks2 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 101.773 143.1693
20.287556 101.757 143.0570
20.434568 101.733 142.9373
20.582645 101.704 142.8128
20.731796 101.670 142.6856
20.882027 101.634 142.5568
21.033346 101.596 142.4268
21.185762 101.558 142.2959
21.339283 101.519 142.1638
21.493916 101.481 142.0306
21.649670 101.443 141.8964
21.806553 101.405 141.7615
21.964573 101.367 141.6265
22.123737 101.330 141.4924
22.284056 101.293 141.3599
22.445536 101.256 141.2298
22.608185 101.219 141.1029
22.772013 101.182 140.9797
22.937029 101.145 140.8601
23.103241 101.108 140.7441
23.270657 101.071 140.6312
23.439285 101.034 140.5205
23.609137 100.997 140.4113
23.780218 100.960 140.3028
23.952539 100.922 140.1942
24.126110 100.885 140.0853
24.300938 100.848 139.9760
24.477032 100.810 139.8665
24.654402 100.772 139.7574
24.833057 100.735 139.6494
25.013008 100.697 139.5435
25.194263 100.659 139.4402
25.376831 100.622 139.3403
25.560722 100.585 139.2441
25.745945 100.549 139.1516
25.932510 100.513 139.0626
26.120428 100.478 138.9768
26.309708 100.443 138.8938
26.500359 100.408 138.8131
26.692390 100.373 138.7343
26.885815 100.339 138.6573
27.080641 100.304 138.5819
27.276878 100.269 138.5081
27.474539 100.234 138.4359
27.673630 100.199 138.3651
27.874165 100.163 138.2957
28.076153 100.128 138.2274
28.279604 100.093 138.1598
28.484529 100.058 138.0927
28.690941 100.023 138.0258
28.898848 99.989 137.9590
29.108261 99.955 137.8923
29.319191 99.921 137.8260
29.531651 99.887 137.7604
29.745649 99.853 137.6960
29.961199 99.820 137.6331
30.178310 99.787 137.5719
30.396996 99.754 137.5125
30.617264 99.721 137.4549
30.839128 99.688 137.3986
31.062601 99.655 137.3435
31.287693 99.622 137.2890
31.514416 99.589 137.2351
31.742783 99.557 137.1815
31.972803 99.524 137.1283
32.204491 99.491 137.0756
32.437859 99.459 137.0235
32.672916 99.426 136.9724
32.909679 99.394 136.9221
33.148155 99.362 136.8729
33.388359 99.330 136.8246
33.630306 99.299 136.7771
33.874004 99.267 136.7304
34.119469 99.236 136.6844
34.366711 99.204 136.6393
34.615746 99.173 136.5951
34.866585 99.142 136.5521
35.119244 99.111 136.5104
35.373734 99.080 136.4702
35.630066 99.049 136.4314
35.888256 99.019 136.3940
36.148315 98.988 136.3576
36.410259 98.958 136.3221
36.674103 98.928 136.2873
36.939857 98.899 136.2530
37.207539 98.869 136.2194
37.477161 98.839 136.1863
37.748737 98.810 136.1540
38.022282 98.781 136.1224
38.297806 98.751 136.0913
38.575329 98.722 136.0604
38.854862 98.693 136.0296
39.136421 98.664 135.9986
39.420021 98.636 135.9675
39.705673 98.607 135.9363
39.993397 98.578 135.9056
40.283207 98.550 135.8756
40.575115 98.521 135.8467
40.869141 98.493 135.8190
41.165295 98.465 135.7924
41.463596 98.437 135.7666
41.764057 98.409 135.7415
42.066696 98.381 135.7169
42.371529 98.354 135.6927
42.678570 98.326 135.6688
42.987835 98.299 135.6456
43.299343 98.271 135.6230
43.613110 98.244 135.6010
43.929150 98.216 135.5794
44.247478 98.189 135.5581
44.568115 98.162 135.5371
44.891075 98.135 135.5164
45.216373 98.108 135.4963
45.544029 98.081 135.4771
45.874062 98.054 135.4590
46.206486 98.028 135.4420
46.541317 98.002 135.4256
46.878574 97.975 135.4093
47.218277 97.949 135.3928
47.560440 97.923 135.3757
47.905083 97.897 135.3581
48.252224 97.870 135.3402
48.601879 97.844 135.3224
48.954067 97.818 135.3050
49.308807 97.792 135.2884
49.666119 97.766 135.2724
50.026020 97.740 135.2572
50.388531 97.714 135.2425
50.753666 97.688 135.2282
51.121449 97.663 135.2144
51.491894 97.637 135.2009
51.865025 97.612 135.1878
52.240860 97.586 135.1754
52.619419 97.561 135.1638
53.000721 97.535 135.1532
53.384785 97.510 135.1438
53.771633 97.485 135.1355
54.161285 97.460 135.1279
54.553761 97.435 135.1207
54.949081 97.410 135.1133
55.347263 97.385 135.1055
55.748333 97.360 135.0973
56.152309 97.335 135.0890
56.559212 97.311 135.0806
56.969063 97.286 135.0723
57.381886 97.262 135.0637
57.797699 97.237 135.0551
58.216526 97.213 135.0468
58.638386 97.188 135.0397
59.063305 97.163 135.0342
59.491302 97.137 135.0307
59.922401 97.112 135.0284
60.356625 97.087 135.0265
60.793995 97.062 135.0244
61.234531 97.038 135.0220
61.678261 97.013 135.0197
62.125206 96.988 135.0181
62.575390 96.963 135.0177
63.028835 96.939 135.0184
63.485569 96.914 135.0201
63.945610 96.890 135.0224
64.408989 96.865 135.0249
64.875725 96.840 135.0276
65.345840 96.815 135.0306
65.819366 96.791 135.0343
66.296318 96.766 135.0389
66.776726 96.741 135.0439
67.260620 96.716 135.0483
67.748016 96.691 135.0507
68.238945 96.666 135.0494
68.733429 96.640 135.0432
69.231499 96.615 135.0322
69.733177 96.590 135.0186
70.238495 96.565 135.0077
70.747475 96.540 135.0059
71.260139 96.515 135.0174
71.776520 96.490 135.0418
72.296638 96.466 135.0743
72.820526 96.441 135.1085
73.348213 96.417 135.1401
73.879723 96.391 135.1677
74.415085 96.366 135.1917
74.954330 96.341 135.2136
75.497482 96.315 135.2348
76.044571 96.290 135.2563
76.595619 96.264 135.2785
77.150665 96.239 135.3013
77.709732 96.213 135.3244
78.272850 96.188 135.3477
78.840050 96.162 135.3715
79.411354 96.136 135.3961
79.986801 96.110 135.4219
80.566422 96.084 135.4492
81.150238 96.057 135.4778
81.738289 96.031 135.5076
82.330597 96.005 135.5384
82.927200 95.978 135.5701
83.528122 95.952 135.6031
84.133400 95.925 135.6378
84.743065 95.898 135.6745
85.357147 95.872 135.7132
85.975677 95.845 135.7535
86.598694 95.818 135.7955
87.226227 95.791 135.8391
87.858307 95.764 135.8844
88.494965 95.737 135.9314
89.136238 95.710 135.9801
89.782158 95.683 136.0307
90.432755 95.656 136.0830
91.088066 95.628 136.1367
91.748131 95.601 136.1918
92.412979 95.574 136.2488
93.082642 95.547 136.3083
93.757156 95.519 136.3707
94.436562 95.492 136.4357
95.120888 95.464 136.5029
95.810173 95.435 136.5713
96.504456 95.406 136.6399
97.203766 95.376 136.7080
97.908142 95.346 136.7764
98.617622 95.317 136.8465
99.332245 95.287 136.9196
100.052048 95.258 136.9965
100.777069 95.228 137.0769
101.507339 95.199 137.1604
102.242905 95.169 137.2466
102.983795 95.139 137.3350
103.730057 95.109 137.4254
104.481728 95.078 137.5180
105.238846 95.048 137.6132
106.001450 95.017 137.7114
106.769577 94.986 137.8128
107.543274 94.956 137.9178
108.322578 94.925 138.0263
109.107529 94.894 138.1386
109.898170 94.863 138.2544
110.694534 94.832 138.3731
111.496674 94.801 138.4943
112.304626 94.769 138.6177
113.118431 94.737 138.7435
113.938133 94.705 138.8713
114.763779 94.672 139.0009
115.595406 94.637 139.1321
116.433060 94.602 139.2648
117.276779 94.566 139.3986
118.126617 94.529 139.5339
118.982613 94.492 139.6745
119.844810 94.458 139.8261
120.713257 94.427 139.9918
121.587997 94.398 140.1688
122.469070 94.370 140.3518
123.356529 94.342 140.5368
124.250420 94.312 140.7220
125.150787 94.282 140.9080
126.057678 94.250 141.0963
126.971146 94.217 141.2878
127.891228 94.183 141.4834
128.817978 94.150 141.6839
129.751450 94.116 141.8897
130.691681 94.082 142.1009
131.638733 94.047 142.3171
132.592636 94.013 142.5382
133.553452 93.979 142.7642
134.521240 93.944 142.9956
135.496033 93.910 143.2325
136.477890 93.876 143.4753
137.466858 93.842 143.7242
138.462997 93.807 143.9790
139.466354 93.773 144.2398
140.476990 93.738 144.5064
141.494949 93.703 144.7789
142.520279 93.669 145.0572
143.553040 93.635 145.3412
144.593277 93.601 145.6312
145.641052 93.567 145.9273
146.696426 93.533 146.2299
147.759445 93.500 146.5392
148.830170 93.467 146.8551
149.908661 93.433 147.1777
150.994965 93.401 147.5070
152.089142 93.368 147.8430
153.191238 93.335 148.1855
154.301331 93.303 148.5343
155.419464 93.271 148.8895
156.545700 93.239 149.2511
157.680099 93.208 149.6194
158.822708 93.177 149.9946
159.973602 93.146 150.3766
161.132843 93.116 150.7652
162.300476 93.086 151.1607
163.476578 93.056 151.5631
164.661194 93.027 151.9726
165.854401 92.998 152.3892
167.056244 92.970 152.8128
168.266800 92.942 153.2433
169.486130 92.915 153.6808
170.714294 92.888 154.1249
171.951355 92.862 154.5757
173.197388 92.836 155.0331
174.452454 92.811 155.4970
175.716614 92.787 155.9673
176.989929 92.763 156.4440
178.272476 92.739 156.9271
179.564316 92.717 157.4166
180.865509 92.695 157.9125
182.176132 92.673 158.4145
183.496262 92.653 158.9222
184.825958 92.633 159.4354
186.165283 92.614 159.9539
187.514313 92.595 160.4773
188.873123 92.578 161.0057
190.241776 92.561 161.5391
191.620346 92.545 162.0775
193.008911 92.530 162.6212
194.407532 92.515 163.1699
195.816284 92.502 163.7235
197.235245 92.489 164.2818
198.664490 92.477 164.8448
200.104095 92.465 165.4124
201.554138 92.455 165.9842
203.014679 92.445 166.5602
204.485809 92.436 167.1400
205.967590 92.427 167.7237
207.460114 92.419 168.3113
208.963455 92.412 168.9028
210.477692 92.406 169.4980
212.002899 92.400 170.0969
213.539154 92.395 170.6992
215.086548 92.391 171.3047
216.645157 92.387 171.9132
218.215057 92.384 172.5246
219.796341 92.381 173.1388
221.389069 92.379 173.7560
222.993347 92.378 174.3764
224.609253 92.377 175.0000
226.236862 92.377 175.6269
227.876266 92.377 176.2573
229.527557 92.378 176.8913
231.190811 92.379 177.5291
232.866119 92.381 178.1710
234.553558 92.383 178.8169
236.253235 92.386 179.4664
237.965225 92.389 -179.8821
239.689621 92.392 -179.2307
241.426514 92.395 -178.5806
243.175995 92.399 -177.9309
244.938141 92.403 -177.2793
246.713058 92.408 -176.6240
248.500839 92.412 -175.9641
250.301575 92.417 -175.2995
252.115356 92.422 -174.6305
253.942291 92.428 -173.9574
255.782455 92.434 -173.2802
257.635956 92.439 -172.5989
259.502899 92.445 -171.9136
261.383362 92.451 -171.2245
263.277466 92.458 -170.5314
265.185272 92.464 -169.8346
267.106903 92.470 -169.1341
269.042480 92.477 -168.4297
270.992065 92.483 -167.7210
272.955780 92.490 -167.0081
274.933716 92.496 -166.2906
276.925995 92.503 -165.5682
278.932709 92.510 -164.8405
280.953979 92.516 -164.1082
282.989899 92.523 -163.3715
285.040558 92.530 -162.6301
287.106079 92.537 -161.8829
289.186554 92.544 -161.1300
291.282104 92.551 -160.3723
293.392853 92.557 -159.6098
295.518890 92.564 -158.8409
297.660339 92.570 -158.0638
299.817322 92.577 -157.2793
301.989929 92.584 -156.4909
304.178284 92.590 -155.7014
306.382477 92.596 -154.9098
308.602661 92.601 -154.1098
310.838928 92.605 -153.2921
313.091400 92.609 -152.4493
315.360199 92.614 -151.5803
317.645416 92.624 -150.6927
319.947205 92.637 -149.8015
322.265686 92.656 -148.9261
324.600952 92.678 -148.0872
326.953156 92.703 -147.3034
329.322388 92.728 -146.5889
331.708801 92.751 -145.9528
334.112488 92.770 -145.3997
336.533600 92.782 -144.9310
338.972260 92.788 -144.5467
341.428589 92.786 -144.2466
343.902710 92.777 -144.0301
346.394775 92.763 -143.8966
348.904907 92.745 -143.8440
351.433228 92.726 -143.8673
353.979858 92.709 -143.9569
356.544952 92.695 -144.0980
359.128632 92.687 -144.2706
361.731018 92.685 -144.4539
364.352264 92.688 -144.6319
366.992523 92.695 -144.7969
369.651917 92.705 -144.9500
372.330566 92.717 -145.0997
375.028625 92.731 -145.2578
377.746246 92.747 -145.4347
380.483551 92.764 -145.6364
383.240692 92.781 -145.8649
386.017822 92.800 -146.1223
388.815063 92.819 -146.4115
391.632568 92.838 -146.7331
394.470490 92.855 -147.0833
