* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 08 4, 25 6:29:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SpaceTravel 2 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.687 -55.1915
0.368865 59.692 -55.2770
0.371538 59.701 -55.4047
0.374230 59.711 -55.5647
0.376942 59.722 -55.7480
0.379673 59.735 -55.9485
0.382424 59.747 -56.1618
0.385196 59.761 -56.3853
0.387987 59.774 -56.6177
0.390798 59.787 -56.8581
0.393630 59.801 -57.1061
0.396483 59.815 -57.3614
0.399356 59.829 -57.6241
0.402250 59.843 -57.8942
0.405165 59.857 -58.1716
0.408101 59.871 -58.4564
0.411058 59.886 -58.7487
0.414037 59.900 -59.0485
0.417037 59.915 -59.3558
0.420059 59.929 -59.6707
0.423103 59.944 -59.9932
0.426169 59.959 -60.3234
0.429257 59.974 -60.6614
0.432368 59.989 -61.0070
0.435501 60.004 -61.3605
0.438656 60.019 -61.7217
0.441835 60.035 -62.0908
0.445037 60.050 -62.4678
0.448262 60.066 -62.8525
0.451510 60.081 -63.2452
0.454782 60.097 -63.6457
0.458077 60.113 -64.0541
0.461397 60.129 -64.4704
0.464740 60.146 -64.8945
0.468108 60.162 -65.3264
0.471500 60.178 -65.7662
0.474917 60.195 -66.2138
0.478358 60.212 -66.6692
0.481825 60.228 -67.1323
0.485316 60.245 -67.6031
0.488833 60.262 -68.0815
0.492375 60.279 -68.5676
0.495943 60.297 -69.0611
0.499537 60.314 -69.5621
0.503157 60.332 -70.0706
0.506803 60.349 -70.5863
0.510475 60.367 -71.1093
0.514175 60.385 -71.6395
0.517900 60.403 -72.1767
0.521653 60.421 -72.7209
0.525434 60.440 -73.2719
0.529241 60.458 -73.8297
0.533076 60.477 -74.3941
0.536939 60.495 -74.9651
0.540830 60.514 -75.5424
0.544749 60.533 -76.1260
0.548696 60.552 -76.7158
0.552673 60.571 -77.3115
0.556677 60.591 -77.9131
0.560711 60.610 -78.5205
0.564774 60.630 -79.1334
0.568867 60.650 -79.7518
0.572989 60.670 -80.3754
0.577141 60.690 -81.0042
0.581324 60.710 -81.6380
0.585536 60.731 -82.2766
0.589779 60.751 -82.9198
0.594053 60.772 -83.5676
0.598358 60.793 -84.2199
0.602694 60.814 -84.8763
0.607061 60.835 -85.5368
0.611460 60.856 -86.2013
0.615891 60.878 -86.8696
0.620354 60.899 -87.5416
0.624849 60.921 -88.2171
0.629377 60.943 -88.8961
0.633938 60.965 -89.5784
0.638532 60.987 -90.2638
0.643159 61.010 -90.9524
0.647819 61.032 -91.6439
0.652514 61.055 -92.3383
0.657242 61.078 -93.0356
0.662005 61.101 -93.7356
0.666802 61.124 -94.4383
0.671634 61.148 -95.1437
0.676501 61.171 -95.8516
0.681403 61.195 -96.5621
0.686341 61.219 -97.2752
0.691314 61.243 -97.9909
0.696324 61.268 -98.7092
0.701370 61.292 -99.4302
0.706452 61.318 -100.1541
0.711571 61.344 -100.8809
0.716728 61.371 -101.6110
0.721921 61.399 -102.3447
0.727153 61.429 -103.0828
0.732422 61.463 -103.8257
0.737729 61.499 -104.5742
0.743075 61.538 -105.3290
0.748460 61.580 -106.0904
0.753883 61.623 -106.8586
0.759346 61.669 -107.6334
0.764849 61.716 -108.4146
0.770391 61.765 -109.2019
0.775974 61.815 -109.9949
0.781597 61.866 -110.7930
0.787261 61.918 -111.5960
0.792966 61.971 -112.4031
0.798712 62.026 -113.2141
0.804500 62.082 -114.0284
0.810329 62.139 -114.8456
0.816201 62.197 -115.6651
0.822116 62.256 -116.4866
0.828073 62.317 -117.3096
0.834074 62.379 -118.1336
0.840118 62.441 -118.9582
0.846206 62.505 -119.7830
0.852338 62.570 -120.6076
0.858514 62.636 -121.4317
0.864735 62.703 -122.2549
0.871001 62.771 -123.0768
0.877313 62.840 -123.8971
0.883670 62.910 -124.7156
0.890074 62.981 -125.5319
0.896524 63.054 -126.3458
0.903020 63.127 -127.1571
0.909564 63.201 -127.9655
0.916155 63.275 -128.7710
0.922794 63.351 -129.5732
0.929481 63.428 -130.3721
0.936216 63.505 -131.1676
0.943000 63.583 -131.9596
0.949834 63.662 -132.7480
0.956717 63.742 -133.5327
0.963649 63.822 -134.3138
0.970632 63.903 -135.0913
0.977666 63.985 -135.8652
0.984750 64.067 -136.6356
0.991886 64.150 -137.4025
0.999074 64.233 -138.1659
1.006314 64.317 -138.9262
1.013606 64.401 -139.6833
1.020951 64.485 -140.4375
1.028349 64.570 -141.1890
1.035801 64.655 -141.9379
1.043307 64.740 -142.6845
1.050867 64.825 -143.4291
1.058482 64.910 -144.1720
1.066152 64.995 -144.9135
1.073878 65.080 -145.6542
1.081660 65.166 -146.3945
1.089498 65.251 -147.1350
1.097393 65.336 -147.8764
1.105345 65.422 -148.6195
1.113355 65.509 -149.3648
1.121423 65.596 -150.1126
1.129549 65.684 -150.8633
1.137734 65.772 -151.6167
1.145979 65.862 -152.3727
1.154283 65.952 -153.1310
1.162647 66.043 -153.8914
1.171072 66.135 -154.6536
1.179558 66.227 -155.4173
1.188106 66.321 -156.1820
1.196715 66.415 -156.9475
1.205387 66.510 -157.7134
1.214122 66.606 -158.4794
1.222920 66.702 -159.2451
1.231782 66.799 -160.0103
1.240708 66.897 -160.7746
1.249699 66.995 -161.5376
1.258754 67.094 -162.2992
1.267876 67.194 -163.0590
1.277063 67.294 -163.8167
1.286318 67.394 -164.5719
1.295639 67.495 -165.3246
1.305027 67.596 -166.0743
1.314484 67.698 -166.8209
1.324009 67.800 -167.5641
1.333604 67.903 -168.3036
1.343268 68.005 -169.0394
1.353002 68.108 -169.7711
1.362806 68.211 -170.4986
1.372681 68.314 -171.2217
1.382628 68.418 -171.9402
1.392647 68.521 -172.6541
1.402739 68.624 -173.3632
1.412904 68.727 -174.0674
1.423142 68.830 -174.7668
1.433455 68.933 -175.4615
1.443843 69.036 -176.1517
1.454305 69.138 -176.8378
1.464844 69.240 -177.5203
1.475459 69.343 -178.1999
1.486150 69.445 -178.8771
1.496920 69.547 -179.5524
1.507767 69.649 179.7737
1.518693 69.751 179.1014
1.529698 69.853 178.4303
1.540783 69.956 177.7605
1.551948 70.058 177.0921
1.563194 70.160 176.4250
1.574521 70.263 175.7593
1.585931 70.365 175.0950
1.597423 70.467 174.4322
1.608999 70.570 173.7708
1.620658 70.672 173.1109
1.632402 70.775 172.4523
1.644232 70.877 171.7952
1.656146 70.980 171.1393
1.668147 71.082 170.4847
1.680235 71.185 169.8314
1.692411 71.287 169.1790
1.704675 71.389 168.5277
1.717028 71.492 167.8773
1.729470 71.594 167.2276
1.742003 71.696 166.5784
1.754626 71.798 165.9297
1.767341 71.900 165.2811
1.780147 72.002 164.6324
1.793047 72.104 163.9834
1.806040 72.206 163.3335
1.819128 72.307 162.6823
1.832310 72.408 162.0292
1.845587 72.510 161.3737
1.858961 72.610 160.7155
1.872432 72.711 160.0543
1.886001 72.811 159.3901
1.899667 72.911 158.7233
1.913433 73.011 158.0541
1.927299 73.110 157.3829
1.941265 73.209 156.7100
1.955332 73.308 156.0359
1.969501 73.406 155.3611
1.983773 73.504 154.6859
1.998148 73.602 154.0106
2.012627 73.700 153.3358
2.027212 73.797 152.6616
2.041902 73.894 151.9885
2.056698 73.991 151.3168
2.071602 74.087 150.6466
2.086614 74.183 149.9783
2.101734 74.279 149.3121
2.116964 74.375 148.6480
2.132304 74.471 147.9861
2.147756 74.566 147.3263
2.163320 74.661 146.6683
2.178996 74.756 146.0117
2.194786 74.851 145.3556
2.210690 74.945 144.6993
2.226710 75.039 144.0418
2.242845 75.132 143.3827
2.259098 75.225 142.7216
2.275468 75.317 142.0585
2.291957 75.409 141.3936
2.308566 75.500 140.7273
2.325295 75.591 140.0599
2.342145 75.681 139.3919
2.359117 75.771 138.7237
2.376212 75.860 138.0558
2.393431 75.949 137.3887
2.410775 76.038 136.7227
2.428244 76.126 136.0583
2.445840 76.213 135.3958
2.463564 76.301 134.7355
2.481416 76.387 134.0777
2.499397 76.474 133.4225
2.517509 76.560 132.7697
2.535752 76.646 132.1191
2.554127 76.731 131.4700
2.572635 76.816 130.8217
2.591277 76.900 130.1733
2.610055 76.984 129.5239
2.628968 77.067 128.8733
2.648019 77.150 128.2213
2.667208 77.231 127.5680
2.686535 77.313 126.9136
2.706003 77.393 126.2587
2.725612 77.473 125.6037
2.745363 77.552 124.9491
2.765257 77.631 124.2954
2.785295 77.709 123.6431
2.805478 77.787 122.9926
2.825808 77.864 122.3445
2.846285 77.941 121.6990
2.866910 78.018 121.0563
2.887685 78.093 120.4163
2.908611 78.169 119.7787
2.929688 78.244 119.1429
2.950917 78.318 118.5081
2.972301 78.391 117.8735
2.993839 78.464 117.2385
3.015534 78.537 116.6028
3.037386 78.608 115.9667
3.059396 78.679 115.3304
3.081565 78.749 114.6943
3.103896 78.818 114.0590
3.126388 78.887 113.4251
3.149043 78.956 112.7933
3.171862 79.023 112.1641
3.194847 79.091 111.5381
3.217998 79.157 110.9158
3.241317 79.224 110.2974
3.264805 79.290 109.6829
3.288463 79.355 109.0721
3.312293 79.420 108.4644
3.336295 79.484 107.8590
3.360471 79.547 107.2556
3.384822 79.610 106.6535
3.409350 79.673 106.0529
3.434056 79.734 105.4537
3.458940 79.795 104.8562
3.484005 79.856 104.2608
3.509252 79.916 103.6679
3.534681 79.975 103.0778
3.560295 80.034 102.4910
3.586094 80.093 101.9078
3.612081 80.151 101.3284
3.638255 80.209 100.7528
3.664620 80.267 100.1809
3.691175 80.324 99.6122
3.717923 80.380 99.0464
3.744864 80.437 98.4832
3.772001 80.492 97.9224
3.799335 80.548 97.3639
3.826866 80.602 96.8078
3.854597 80.657 96.2543
3.882529 80.711 95.7036
3.910664 80.765 95.1560
3.939002 80.818 94.6116
3.967546 80.871 94.0707
3.996296 80.924 93.5333
4.025255 80.977 92.9995
4.054423 81.030 92.4690
4.083804 81.082 91.9417
4.113396 81.135 91.4174
4.143204 81.186 90.8958
4.173227 81.238 90.3768
4.203468 81.289 89.8603
4.233928 81.340 89.3460
4.264609 81.391 88.8340
4.295512 81.442 88.3242
4.326639 81.492 87.8165
4.357992 81.543 87.3109
4.389572 81.593 86.8073
4.421380 81.643 86.3055
4.453419 81.693 85.8055
4.485691 81.743 85.3073
4.518196 81.792 84.8107
4.550936 81.842 84.3156
4.583914 81.891 83.8220
4.617131 81.940 83.3298
4.650589 81.988 82.8388
4.684289 82.037 82.3490
4.718233 82.085 81.8602
4.752424 82.132 81.3723
4.786862 82.180 80.8851
4.821549 82.227 80.3986
4.856488 82.273 79.9126
4.891680 82.320 79.4274
4.927127 82.366 78.9430
4.962831 82.411 78.4596
4.998794 82.456 77.9774
5.035017 82.501 77.4964
5.071503 82.545 77.0168
5.108253 82.588 76.5383
5.145270 82.631 76.0610
5.182555 82.673 75.5846
5.220110 82.714 75.1092
5.257937 82.755 74.6350
5.296038 82.795 74.1624
5.334415 82.834 73.6919
5.373071 82.873 73.2241
5.412006 82.911 72.7593
5.451224 82.948 72.2980
5.490725 82.985 71.8403
5.530514 83.020 71.3861
5.570590 83.055 70.9355
5.610957 83.089 70.4884
5.651616 83.122 70.0454
5.692570 83.154 69.6069
5.733821 83.186 69.1737
5.775370 83.217 68.7464
5.817221 83.248 68.3256
5.859375 83.278 67.9116
5.901834 83.307 67.5045
5.944602 83.336 67.1044
5.987679 83.365 66.7112
6.031068 83.393 66.3250
6.074771 83.420 65.9460
6.118792 83.448 65.5743
6.163131 83.476 65.2104
6.207792 83.504 64.8544
6.252776 83.532 64.5065
6.298086 83.560 64.1667
6.343725 83.588 63.8347
6.389694 83.617 63.5099
6.435996 83.647 63.1915
6.482634 83.677 62.8788
6.529610 83.708 62.5714
6.576926 83.739 62.2688
6.624585 83.772 61.9706
6.672590 83.806 61.6765
