* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 3, 25 11:59:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.020 -17.9864
0.368865 44.019 -17.9594
0.371538 44.019 -17.9194
0.374230 44.018 -17.8697
0.376942 44.017 -17.8132
0.379673 44.016 -17.7522
0.382424 44.015 -17.6880
0.385196 44.014 -17.6215
0.387987 44.013 -17.5533
0.390798 44.012 -17.4835
0.393630 44.011 -17.4123
0.396483 44.010 -17.3398
0.399356 44.008 -17.2659
0.402250 44.007 -17.1907
0.405165 44.006 -17.1141
0.408101 44.005 -17.0362
0.411058 44.004 -16.9568
0.414037 44.003 -16.8760
0.417037 44.002 -16.7937
0.420059 44.001 -16.7099
0.423103 43.999 -16.6245
0.426169 43.998 -16.5375
0.429257 43.997 -16.4489
0.432368 43.996 -16.3586
0.435501 43.995 -16.2666
0.438656 43.993 -16.1729
0.441835 43.992 -16.0773
0.445037 43.991 -15.9799
0.448262 43.990 -15.8806
0.451510 43.988 -15.7794
0.454782 43.987 -15.6762
0.458077 43.986 -15.5709
0.461397 43.985 -15.4636
0.464740 43.983 -15.3541
0.468108 43.982 -15.2424
0.471500 43.981 -15.1285
0.474917 43.979 -15.0122
0.478358 43.978 -14.8936
0.481825 43.977 -14.7725
0.485316 43.975 -14.6490
0.488833 43.974 -14.5229
0.492375 43.973 -14.3942
0.495943 43.971 -14.2628
0.499537 43.970 -14.1286
0.503157 43.969 -13.9916
0.506803 43.967 -13.8517
0.510475 43.966 -13.7089
0.514175 43.964 -13.5629
0.517900 43.963 -13.4138
0.521653 43.962 -13.2615
0.525434 43.960 -13.1059
0.529241 43.959 -12.9468
0.533076 43.957 -12.7843
0.536939 43.956 -12.6182
0.540830 43.954 -12.4483
0.544749 43.953 -12.2747
0.548696 43.951 -12.0972
0.552673 43.950 -11.9157
0.556677 43.948 -11.7301
0.560711 43.947 -11.5403
0.564774 43.945 -11.3461
0.568867 43.943 -11.1475
0.572989 43.942 -10.9442
0.577141 43.940 -10.7363
0.581324 43.939 -10.5234
0.585536 43.937 -10.3056
0.589779 43.935 -10.0827
0.594053 43.934 -9.8544
0.598358 43.932 -9.6208
0.602694 43.930 -9.3815
0.607061 43.929 -9.1364
0.611460 43.927 -8.8854
0.615891 43.925 -8.6283
0.620354 43.924 -8.3650
0.624849 43.922 -8.0951
0.629377 43.920 -7.8186
0.633938 43.918 -7.5351
0.638532 43.917 -7.2446
0.643159 43.915 -6.9469
0.647819 43.913 -6.6415
0.652514 43.911 -6.3285
0.657242 43.910 -6.0074
0.662005 43.908 -5.6781
0.666802 43.906 -5.3403
0.671634 43.904 -4.9938
0.676501 43.902 -4.6382
0.681403 43.900 -4.2732
0.686341 43.899 -3.8987
0.691314 43.897 -3.5141
0.696324 43.896 -3.1192
0.701370 43.895 -2.7136
0.706452 43.895 -2.2969
0.711571 43.896 -1.8686
0.716728 43.900 -1.4284
0.721921 43.908 -0.9760
0.727153 43.922 -0.5115
0.732422 43.944 -0.0352
0.737729 43.975 0.4518
0.743075 44.014 0.9486
0.748460 44.061 1.4542
0.753883 44.113 1.9680
0.759346 44.171 2.4893
0.764849 44.233 3.0177
0.770391 44.299 3.5528
0.775974 44.368 4.0941
0.781597 44.441 4.6409
0.787261 44.516 5.1928
0.792966 44.595 5.7491
0.798712 44.677 6.3091
0.804500 44.761 6.8721
0.810329 44.849 7.4376
0.816201 44.940 8.0046
0.822116 45.033 8.5724
0.828073 45.129 9.1404
0.834074 45.229 9.7077
0.840118 45.331 10.2734
0.846206 45.435 10.8370
0.852338 45.543 11.3974
0.858514 45.653 11.9539
0.864735 45.766 12.5058
0.871001 45.881 13.0521
0.877313 46.000 13.5922
0.883670 46.120 14.1253
0.890074 46.243 14.6504
0.896524 46.368 15.1670
0.903020 46.496 15.6742
0.909564 46.626 16.1714
0.916155 46.758 16.6578
0.922794 46.892 17.1326
0.929481 47.028 17.5954
0.936216 47.166 18.0454
0.943000 47.306 18.4820
0.949834 47.447 18.9046
0.956717 47.590 19.3127
0.963649 47.735 19.7057
0.970632 47.881 20.0832
0.977666 48.028 20.4447
0.984750 48.177 20.7897
0.991886 48.326 21.1179
0.999074 48.476 21.4288
1.006314 48.627 21.7222
1.013606 48.779 21.9977
1.020951 48.931 22.2551
1.028349 49.083 22.4941
1.035801 49.235 22.7145
1.043307 49.388 22.9163
1.050867 49.540 23.0993
1.058482 49.692 23.2638
1.066152 49.843 23.4099
1.073878 49.994 23.5384
1.081660 50.144 23.6502
1.089498 50.295 23.7470
1.097393 50.445 23.8310
1.105345 50.596 23.9046
1.113355 50.748 23.9704
1.121423 50.902 24.0304
1.129549 51.057 24.0859
1.137734 51.214 24.1374
1.145979 51.373 24.1852
1.154283 51.534 24.2292
1.162647 51.697 24.2690
1.171072 51.862 24.3043
1.179558 52.029 24.3346
1.188106 52.197 24.3595
1.196715 52.368 24.3786
1.205387 52.540 24.3913
1.214122 52.713 24.3974
1.222920 52.888 24.3963
1.231782 53.065 24.3878
1.240708 53.243 24.3715
1.249699 53.422 24.3470
1.258754 53.602 24.3140
1.267876 53.784 24.2722
1.277063 53.966 24.2213
1.286318 54.149 24.1610
1.295639 54.333 24.0910
1.305027 54.517 24.0110
1.314484 54.702 23.9209
1.324009 54.888 23.8202
1.333604 55.073 23.7089
1.343268 55.259 23.5865
1.353002 55.444 23.4530
1.362806 55.630 23.3080
1.372681 55.815 23.1513
1.382628 55.999 22.9827
1.392647 56.183 22.8021
1.402739 56.366 22.6092
1.412904 56.547 22.4041
1.423142 56.728 22.1868
1.433455 56.908 21.9576
1.443843 57.086 21.7170
1.454305 57.262 21.4662
1.464844 57.438 21.2064
1.475459 57.612 20.9394
1.486150 57.785 20.6668
1.496920 57.958 20.3900
1.507767 58.129 20.1098
1.518693 58.300 19.8268
1.529698 58.469 19.5411
1.540783 58.638 19.2529
1.551948 58.807 18.9618
1.563194 58.974 18.6678
1.574521 59.141 18.3706
1.585931 59.308 18.0699
1.597423 59.474 17.7655
1.608999 59.639 17.4571
1.620658 59.803 17.1443
1.632402 59.967 16.8269
1.644232 60.131 16.5046
1.656146 60.293 16.1770
1.668147 60.456 15.8439
1.680235 60.618 15.5050
1.692411 60.779 15.1598
1.704675 60.940 14.8082
1.717028 61.101 14.4497
1.729470 61.261 14.0841
1.742003 61.421 13.7110
1.754626 61.581 13.3301
1.767341 61.740 12.9412
1.780147 61.899 12.5441
1.793047 62.058 12.1385
1.806040 62.217 11.7246
1.819128 62.375 11.3025
1.832310 62.532 10.8727
1.845587 62.689 10.4358
1.858961 62.846 9.9927
1.872432 63.001 9.5440
1.886001 63.155 9.0905
1.899667 63.309 8.6327
1.913433 63.461 8.1710
1.927299 63.613 7.7059
1.941265 63.763 7.2376
1.955332 63.913 6.7664
1.969501 64.061 6.2926
1.983773 64.209 5.8162
1.998148 64.356 5.3375
2.012627 64.502 4.8565
2.027212 64.647 4.3732
2.041902 64.792 3.8877
2.056698 64.936 3.4000
2.071602 65.079 2.9100
2.086614 65.222 2.4176
2.101734 65.364 1.9227
2.116964 65.506 1.4251
2.132304 65.647 0.9246
2.147756 65.788 0.4210
2.163320 65.928 -0.0861
2.178996 66.068 -0.5972
2.194786 66.207 -1.1125
2.210690 66.346 -1.6325
2.226710 66.483 -2.1573
2.242845 66.620 -2.6869
2.259098 66.756 -3.2211
2.275468 66.890 -3.7594
2.291957 67.023 -4.3015
2.308566 67.156 -4.8468
2.325295 67.287 -5.3947
2.342145 67.417 -5.9447
2.359117 67.547 -6.4963
2.376212 67.675 -7.0490
2.393431 67.802 -7.6025
2.410775 67.929 -8.1563
2.428244 68.055 -8.7101
2.445840 68.180 -9.2636
2.463564 68.304 -9.8167
2.481416 68.428 -10.3692
2.499397 68.551 -10.9211
2.517509 68.673 -11.4727
2.535752 68.795 -12.0244
2.554127 68.916 -12.5768
2.572635 69.036 -13.1307
2.591277 69.155 -13.6871
2.610055 69.274 -14.2463
2.628968 69.391 -14.8087
2.648019 69.507 -15.3740
2.667208 69.621 -15.9419
2.686535 69.735 -16.5119
2.706003 69.848 -17.0831
2.725612 69.959 -17.6550
2.745363 70.070 -18.2268
2.765257 70.180 -18.7978
2.785295 70.288 -19.3672
2.805478 70.396 -19.9345
2.825808 70.504 -20.4991
2.846285 70.610 -21.0606
2.866910 70.716 -21.6188
2.887685 70.822 -22.1735
2.908611 70.926 -22.7253
2.929688 71.030 -23.2748
2.950917 71.133 -23.8227
2.972301 71.236 -24.3701
2.993839 71.337 -24.9175
3.015534 71.437 -25.4650
3.037386 71.536 -26.0126
3.059396 71.633 -26.5599
3.081565 71.730 -27.1063
3.103896 71.827 -27.6513
3.126388 71.922 -28.1941
3.149043 72.016 -28.7341
3.171862 72.111 -29.2705
3.194847 72.204 -29.8029
3.217998 72.297 -30.3305
3.241317 72.390 -30.8532
3.264805 72.482 -31.3708
3.288463 72.574 -31.8836
3.312293 72.665 -32.3919
3.336295 72.755 -32.8966
3.360471 72.845 -33.3980
3.384822 72.934 -33.8967
3.409350 73.023 -34.3926
3.434056 73.110 -34.8859
3.458940 73.198 -35.3763
3.484005 73.284 -35.8637
3.509252 73.371 -36.3476
3.534681 73.457 -36.8277
3.560295 73.543 -37.3037
3.586094 73.629 -37.7753
3.612081 73.715 -38.2421
3.638255 73.801 -38.7040
3.664620 73.887 -39.1610
3.691175 73.973 -39.6132
3.717923 74.059 -40.0607
3.744864 74.144 -40.5041
3.772001 74.230 -40.9436
3.799335 74.315 -41.3796
3.826866 74.401 -41.8125
3.854597 74.486 -42.2427
3.882529 74.571 -42.6705
3.910664 74.657 -43.0960
3.939002 74.743 -43.5195
3.967546 74.830 -43.9411
3.996296 74.916 -44.3607
4.025255 75.004 -44.7782
4.054423 75.091 -45.1935
4.083804 75.179 -45.6064
4.113396 75.267 -46.0171
4.143204 75.356 -46.4259
4.173227 75.445 -46.8334
4.203468 75.534 -47.2402
4.233928 75.624 -47.6471
4.264609 75.714 -48.0547
4.295512 75.804 -48.4637
4.326639 75.895 -48.8747
4.357992 75.986 -49.2878
4.389572 76.078 -49.7032
4.421380 76.170 -50.1208
4.453419 76.262 -50.5404
4.485691 76.355 -50.9618
4.518196 76.448 -51.3854
4.550936 76.541 -51.8113
4.583914 76.635 -52.2401
4.617131 76.729 -52.6724
4.650589 76.822 -53.1088
4.684289 76.916 -53.5498
4.718233 77.010 -53.9958
4.752424 77.104 -54.4472
4.786862 77.197 -54.9039
4.821549 77.291 -55.3660
4.856488 77.384 -55.8332
4.891680 77.478 -56.3053
4.927127 77.571 -56.7822
4.962831 77.664 -57.2638
4.998794 77.756 -57.7501
5.035017 77.848 -58.2413
5.071503 77.939 -58.7374
5.108253 78.030 -59.2387
5.145270 78.120 -59.7455
5.182555 78.209 -60.2578
5.220110 78.297 -60.7755
5.257937 78.385 -61.2981
5.296038 78.472 -61.8251
5.334415 78.557 -62.3559
5.373071 78.642 -62.8898
5.412006 78.726 -63.4264
5.451224 78.809 -63.9655
5.490725 78.891 -64.5070
5.530514 78.972 -65.0511
5.570590 79.051 -65.5979
5.610957 79.129 -66.1472
5.651616 79.206 -66.6984
5.692570 79.282 -67.2506
5.733821 79.357 -67.8030
5.775370 79.430 -68.3547
5.817221 79.503 -68.9052
5.859375 79.574 -69.4542
5.901834 79.644 -70.0018
5.944602 79.713 -70.5481
5.987679 79.781 -71.0929
6.031068 79.847 -71.6358
6.074771 79.913 -72.1762
6.118792 79.977 -72.7134
6.163131 80.041 -73.2467
6.207792 80.104 -73.7757
6.252776 80.166 -74.3003
6.298086 80.228 -74.8205
6.343725 80.289 -75.3364
6.389694 80.349 -75.8481
6.435996 80.408 -76.3555
6.482634 80.467 -76.8584
6.529610 80.526 -77.3568
