* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 1, 2024 5:48:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield2 LDF L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.494 -158.1185
20.287556 94.490 -158.1093
20.434568 94.486 -158.0583
20.582645 94.482 -157.9535
20.731796 94.480 -157.8097
20.882027 94.482 -157.6719
21.033346 94.488 -157.5881
21.185763 94.493 -157.6110
21.339284 94.494 -157.7937
21.493917 94.484 -158.1663
21.649671 94.456 -158.7481
21.806553 94.402 -159.5406
21.964572 94.317 -160.5145
22.123737 94.197 -161.6290
22.284054 94.042 -162.8216
22.445534 93.855 -164.0077
22.608183 93.644 -165.1080
22.772012 93.423 -166.0249
22.937027 93.207 -166.6820
23.103238 93.021 -167.0255
23.270654 92.885 -167.0357
23.439282 92.821 -166.7583
23.609133 92.843 -166.2789
23.780215 92.949 -165.7218
23.952536 93.130 -165.2182
24.126106 93.364 -164.8612
24.300934 93.624 -164.7107
24.477028 93.884 -164.7666
24.654399 94.121 -164.9927
24.833055 94.321 -165.3288
25.013005 94.472 -165.6958
25.194260 94.573 -166.0267
25.376828 94.626 -166.2561
25.560719 94.639 -166.3487
25.745942 94.625 -166.2918
25.932508 94.594 -166.1051
26.120426 94.560 -165.8407
26.309705 94.531 -165.5652
26.500356 94.513 -165.3604
26.692388 94.504 -165.2907
26.885812 94.503 -165.4049
27.080638 94.504 -165.7157
27.276876 94.501 -166.2081
27.474535 94.491 -166.8403
27.673627 94.471 -167.5551
27.874161 94.441 -168.2885
28.076149 94.404 -168.9816
28.279600 94.363 -169.5854
28.484526 94.321 -170.0680
28.690937 94.284 -170.4152
28.898843 94.253 -170.6288
29.108256 94.231 -170.7251
29.319186 94.219 -170.7288
29.531645 94.218 -170.6701
29.745644 94.227 -170.5821
29.961193 94.246 -170.4955
30.178304 94.274 -170.4396
30.396989 94.308 -170.4354
30.617258 94.345 -170.4965
30.839123 94.382 -170.6251
31.062596 94.415 -170.8135
31.287688 94.443 -171.0441
31.514412 94.462 -171.2959
31.742778 94.474 -171.5471
31.972800 94.478 -171.7812
32.204488 94.477 -171.9910
32.437855 94.474 -172.1782
32.672913 94.469 -172.3530
32.909674 94.464 -172.5278
33.148151 94.459 -172.7144
33.388356 94.453 -172.9175
33.630302 94.447 -173.1354
33.874001 94.440 -173.3593
34.119466 94.433 -173.5786
34.366710 94.427 -173.7839
34.615745 94.422 -173.9695
34.866585 94.419 -174.1358
35.119243 94.418 -174.2870
35.373731 94.415 -174.4305
35.630064 94.411 -174.5741
35.888254 94.405 -174.7251
36.148315 94.395 -174.8899
36.410261 94.383 -175.0743
36.674104 94.371 -175.2825
36.939860 94.360 -175.5162
37.207542 94.351 -175.7738
37.477163 94.345 -176.0489
37.748738 94.340 -176.3310
38.022281 94.337 -176.6059
38.297806 94.331 -176.8571
38.575327 94.321 -177.0682
38.854860 94.306 -177.2256
39.136419 94.286 -177.3219
39.420017 94.264 -177.3624
39.705671 94.245 -177.3703
39.993395 94.235 -177.3863
40.283203 94.238 -177.4612
40.575112 94.254 -177.6409
40.869136 94.277 -177.9420
41.165290 94.299 -178.3380
41.463591 94.312 -178.7643
41.764053 94.313 -179.1376
42.066693 94.303 -179.3869
42.371525 94.287 -179.4902
42.678567 94.272 -179.4863
42.987834 94.257 -179.4543
43.299341 94.238 -179.4726
43.613106 94.209 -179.5800
43.929145 94.170 -179.7571
44.247473 94.129 -179.9451
44.568109 94.105 179.9055
44.891068 94.116 179.7968
45.216367 94.167 179.6907
45.544023 94.243 179.5589
45.874054 94.313 179.4385
46.206476 94.349 179.4493
46.541307 94.340 179.7479
46.878565 94.298 -179.5756
47.218266 94.257 -178.6112
47.560429 94.247 -177.6639
47.905072 94.276 -177.1391
48.252212 94.320 -177.3338
48.601867 94.344 -178.2871
48.954056 94.324 -179.7786
49.308798 94.257 178.5607
49.666109 94.169 177.0978
50.026010 94.091 176.0663
50.388520 94.047 175.5068
50.753656 94.038 175.3109
51.121437 94.044 175.3309
51.491884 94.044 175.4638
51.865016 94.029 175.6575
52.240851 94.007 175.8636
52.619410 93.989 176.0051
53.000712 93.984 175.9985
53.384777 93.987 175.8112
53.771625 93.987 175.4932
54.161276 93.977 175.1502
54.553751 93.958 174.8776
54.949070 93.933 174.7069
55.347254 93.911 174.6025
55.748323 93.892 174.5059
56.152298 93.876 174.3885
56.559201 93.867 174.2665
56.969052 93.870 174.1697
57.381873 93.887 174.0979
57.797686 93.914 174.0100
58.216512 93.933 173.8622
58.638373 93.923 173.6570
59.063291 93.875 173.4527
59.491288 93.799 173.3163
59.922386 93.720 173.2510
60.356608 93.667 173.1650
60.793977 93.651 172.9293
61.234515 93.662 172.4847
61.678246 93.675 171.8996
62.125192 93.675 171.3284
62.575377 93.662 170.9125
63.028824 93.642 170.7054
63.485557 93.626 170.6681
63.945599 93.619 170.7131
64.408975 93.621 170.7549
64.875709 93.625 170.7391
65.345825 93.625 170.6537
65.819348 93.614 170.5264
66.296302 93.593 170.3977
66.776713 93.571 170.2803
67.260604 93.556 170.1429
67.748002 93.553 169.9420
68.238932 93.556 169.6721
68.733420 93.555 169.3822
69.231490 93.543 169.1451
69.733170 93.519 169.0162
70.238485 93.483 169.0108
70.747463 93.445 169.0929
71.260128 93.416 169.1762
71.776508 93.401 169.1571
72.296630 93.397 168.9781
72.820521 93.394 168.6644
73.348209 93.385 168.2984
73.879720 93.363 167.9678
74.415083 93.329 167.7409
74.954326 93.285 167.6605
75.497475 93.241 167.7215
76.044561 93.209 167.8494
76.595612 93.190 167.9326
77.150655 93.175 167.8981
77.709720 93.158 167.7471
78.272837 93.139 167.5214
78.840034 93.120 167.2610
79.411342 93.102 166.9947
79.986789 93.083 166.7480
80.566406 93.059 166.5430
81.150224 93.033 166.3955
81.738272 93.008 166.3051
82.330581 92.993 166.2402
82.927182 92.987 166.1554
83.528107 92.977 166.0535
84.133386 92.956 165.9962
84.743051 92.931 166.0120
85.357134 92.915 166.0233
85.975667 92.910 165.9293
86.598682 92.902 165.7294
87.226212 92.881 165.4916
87.858289 92.839 165.2619
88.494946 92.773 165.0975
89.136217 92.699 165.1050
89.782135 92.648 165.2944
90.432733 92.631 165.4967
91.088046 92.605 165.6138
91.748108 92.533 165.8059
92.412952 92.441 166.1675
93.082615 92.391 166.3907
93.757130 92.398 166.0861
94.436533 92.428 165.3498
95.120859 92.457 164.6476
95.810144 92.481 164.2530
96.504423 92.496 164.0732
97.203734 92.493 163.9186
97.908112 92.473 163.7227
98.617595 92.448 163.5220
99.332219 92.427 163.3626
100.052021 92.410 163.2574
100.777039 92.395 163.1956
101.507311 92.379 163.1599
102.242875 92.362 163.1332
102.983769 92.343 163.1088
103.730032 92.320 163.0804
104.481702 92.301 163.0110
105.238820 92.287 162.8609
106.001424 92.271 162.6528
106.769554 92.246 162.4600
107.543250 92.209 162.3379
108.322553 92.162 162.2884
109.107503 92.111 162.2740
109.898141 92.064 162.2510
110.694508 92.027 162.1861
111.496646 92.005 162.0626
112.304596 91.991 161.8661
113.118402 91.971 161.5703
113.938104 91.923 161.2247
114.763747 91.849 160.9987
115.595372 91.788 160.9981
116.433024 91.772 161.1586
117.276746 91.800 161.3763
118.126581 91.841 161.5610
118.982575 91.857 161.6332
119.844772 91.838 161.5768
120.713217 91.802 161.4055
121.587954 91.781 161.1255
122.469031 91.777 160.7825
123.356492 91.773 160.4604
124.250384 91.746 160.2277
125.150753 91.697 160.1193
126.057647 91.641 160.1241
126.971113 91.593 160.1827
127.891198 91.549 160.2534
128.817950 91.506 160.3302
129.751418 91.470 160.4011
130.691651 91.440 160.4734
131.638696 91.411 160.5556
132.592604 91.373 160.6022
133.553425 91.328 160.5741
134.521208 91.289 160.5041
135.496004 91.259 160.4525
136.477864 91.233 160.4288
137.466839 91.202 160.3855
138.462981 91.165 160.2952
139.466340 91.125 160.1912
140.476971 91.083 160.1230
141.494925 91.041 160.1199
142.520256 91.002 160.1618
143.553016 90.962 160.1730
144.593260 90.912 160.1337
145.641043 90.855 160.1199
146.696418 90.803 160.1794
147.759441 90.763 160.2907
148.830166 90.727 160.4166
149.908651 90.688 160.5686
150.994951 90.656 160.7716
152.089123 90.643 160.9497
153.191223 90.639 161.0505
154.301310 90.620 161.1889
155.419441 90.572 161.4847
156.545674 90.506 161.8446
157.680069 90.446 162.1190
158.822683 90.413 162.2959
159.973578 90.411 162.4378
161.132813 90.425 162.6029
162.300447 90.446 162.7596
163.476543 90.466 162.8267
164.661162 90.477 162.7859
165.854364 90.476 162.6835
167.056213 90.470 162.5504
168.266772 90.467 162.3840
169.486102 90.468 162.2017
170.714268 90.468 162.0641
171.951334 90.460 162.0074
173.197364 90.442 161.9807
174.452424 90.416 161.8755
175.716578 90.390 161.6750
176.989893 90.367 161.4575
178.272434 90.342 161.2665
179.564270 90.311 161.0659
180.865467 90.273 160.8670
182.176092 90.226 160.7622
183.496216 90.168 160.7738
184.825905 90.111 160.8093
186.165229 90.070 160.7590
187.514259 90.046 160.6345
188.873065 90.020 160.5331
190.241717 89.978 160.5503
191.620287 89.929 160.6725
193.008847 89.882 160.6976
194.407468 89.840 160.4057
195.816225 89.797 159.9708
197.235190 89.745 159.8837
198.664438 89.684 160.2991
200.104042 89.640 160.8511
201.554078 89.641 161.1431
203.014622 89.672 161.0980
204.485750 89.693 160.8635
205.967538 89.673 160.6523
207.460064 89.617 160.6429
208.963405 89.540 160.8666
210.477640 89.472 161.2197
212.002848 89.437 161.6110
213.539108 89.432 161.9848
215.086500 89.440 162.2007
216.645105 89.445 162.1377
218.215005 89.436 161.8954
219.796281 89.410 161.6631
221.389015 89.371 161.5475
222.993292 89.326 161.5528
224.609193 89.278 161.6187
226.236804 89.234 161.7185
227.876209 89.198 161.8095
229.527494 89.168 161.8533
231.190745 89.130 161.8847
232.866048 89.084 161.9716
234.553491 89.044 162.1286
236.253163 89.013 162.2245
237.965150 88.982 162.2237
239.689544 88.953 162.2206
241.426433 88.932 162.2693
243.175909 88.915 162.3989
244.938062 88.898 162.5724
246.712984 88.877 162.7508
248.500768 88.855 162.9550
250.301507 88.834 163.2278
252.115295 88.811 163.5301
253.942226 88.786 163.7878
255.782396 88.758 163.9888
257.635901 88.729 164.1389
259.502837 88.697 164.2289
261.383301 88.667 164.2514
263.277392 88.640 164.2265
265.185209 88.617 164.2039
267.106850 88.595 164.2421
269.042417 88.569 164.3489
270.992009 88.538 164.4879
272.955729 88.505 164.6185
274.933678 88.476 164.7159
276.925961 88.452 164.7986
278.932681 88.429 164.9121
280.953942 88.402 165.0645
282.989850 88.372 165.2160
285.040511 88.343 165.3346
287.106032 88.316 165.4383
289.186521 88.290 165.5501
291.282086 88.264 165.6589
293.392836 88.239 165.7530
295.518881 88.213 165.8479
297.660333 88.185 165.9624
299.817302 88.155 166.1020
301.989902 88.124 166.2589
304.178245 88.093 166.4236
306.382446 88.064 166.5839
308.602620 88.039 166.7381
310.838882 88.015 166.8952
313.091348 87.992 167.0606
315.360137 87.967 167.2239
317.645367 87.940 167.3717
319.947156 87.909 167.4983
322.265625 87.876 167.6119
324.600895 87.843 167.7341
326.953086 87.814 167.8762
329.322323 87.789 168.0356
331.708729 87.766 168.1967
334.112427 87.743 168.3537
336.533543 87.720 168.5155
338.972204 87.695 168.6915
341.428536 87.669 168.8755
343.902668 87.642 169.0556
346.394729 87.617 169.2270
348.904848 87.593 169.4098
351.433156 87.571 169.5886
353.979786 87.548 169.7599
356.544869 87.525 169.9509
359.128540 87.500 170.1461
361.730934 87.472 170.3457
364.352185 87.444 170.5771
366.992431 87.423 170.7697
369.651810 87.397 170.8614
372.330459 87.363 171.0135
375.028519 87.339 171.3628
377.746130 87.338 171.6969
380.483434 87.346 171.7904
383.240574 87.338 171.7354
