* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07 1, 24 7:46:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Stellaris L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.148 -172.7600
20.287556 92.114 -172.7979
20.434568 92.062 -172.9118
20.582645 91.996 -173.0922
20.731796 91.921 -173.3316
20.882027 91.843 -173.6253
21.033346 91.768 -173.9725
21.185762 91.702 -174.3768
21.339283 91.650 -174.8285
21.493916 91.618 -175.3235
21.649670 91.607 -175.8543
21.806553 91.620 -176.4099
21.964573 91.655 -176.9751
22.123737 91.710 -177.5385
22.284056 91.780 -178.0745
22.445536 91.861 -178.5598
22.608185 91.946 -178.9742
22.772013 92.030 -179.2997
22.937029 92.106 -179.5222
23.103241 92.169 -179.6370
23.270657 92.216 -179.6383
23.439285 92.242 -179.5245
23.609137 92.245 -179.3029
23.780218 92.225 -178.9862
23.952539 92.182 -178.5926
24.126110 92.115 -178.1509
24.300938 92.029 -177.6852
24.477032 91.925 -177.2250
24.654402 91.808 -176.8050
24.833057 91.685 -176.4617
25.013008 91.561 -176.2323
25.194263 91.443 -176.1573
25.376831 91.338 -176.2592
25.560722 91.254 -176.5578
25.745945 91.194 -177.0606
25.932510 91.162 -177.7595
26.120428 91.160 -178.6355
26.309708 91.184 -179.6480
26.500359 91.231 179.2552
26.692390 91.295 178.1295
26.885815 91.369 177.0293
27.080641 91.447 176.0005
27.276878 91.524 175.0798
27.474539 91.595 174.2944
27.673630 91.658 173.6523
27.874165 91.711 173.1462
28.076153 91.754 172.7532
28.279604 91.788 172.4413
28.484529 91.813 172.1787
28.690941 91.829 171.9313
28.898848 91.836 171.6727
29.108261 91.834 171.3859
29.319191 91.822 171.0713
29.531651 91.802 170.7460
29.745649 91.774 170.4356
29.961199 91.740 170.1711
30.178310 91.703 169.9776
30.396996 91.666 169.8784
30.617264 91.633 169.8799
30.839128 91.605 169.9711
31.062601 91.582 170.1239
31.287693 91.564 170.2991
31.514416 91.546 170.4595
31.742783 91.526 170.5690
31.972803 91.500 170.6012
32.204491 91.465 170.5396
32.437859 91.421 170.3864
32.672916 91.370 170.1523
32.909679 91.317 169.8543
33.148155 91.265 169.5092
33.388359 91.221 169.1380
33.630306 91.188 168.7595
33.874004 91.168 168.3880
34.119469 91.161 168.0330
34.366711 91.163 167.7047
34.615746 91.168 167.4146
34.866585 91.172 167.1718
35.119244 91.169 166.9821
35.373734 91.157 166.8492
35.630066 91.135 166.7733
35.888256 91.104 166.7452
36.148315 91.068 166.7463
36.410259 91.029 166.7551
36.674103 90.992 166.7503
36.939857 90.959 166.7124
37.207539 90.931 166.6281
37.477161 90.907 166.4979
37.748737 90.886 166.3323
38.022282 90.867 166.1474
38.297806 90.848 165.9573
38.575329 90.828 165.7783
38.854862 90.807 165.6147
39.136421 90.786 165.4608
39.420021 90.763 165.3055
39.705673 90.740 165.1373
39.993397 90.717 164.9477
40.283207 90.692 164.7329
40.575115 90.666 164.5023
40.869141 90.641 164.2689
41.165295 90.616 164.0450
41.463596 90.592 163.8433
41.764057 90.571 163.6726
42.066696 90.550 163.5332
42.371529 90.530 163.4187
42.678570 90.508 163.3208
42.987835 90.486 163.2277
43.299343 90.461 163.1248
43.613110 90.435 163.0052
43.929150 90.408 162.8640
44.247478 90.380 162.6996
44.568115 90.352 162.5209
44.891075 90.324 162.3407
45.216373 90.297 162.1710
45.544029 90.270 162.0233
45.874062 90.244 161.9044
46.206486 90.217 161.8129
46.541317 90.189 161.7440
46.878574 90.159 161.6888
47.218277 90.128 161.6329
47.560440 90.096 161.5625
47.905083 90.065 161.4641
48.252224 90.035 161.3257
48.601879 90.007 161.1444
48.954067 89.981 160.9267
49.308807 89.956 160.6866
49.666119 89.932 160.4440
50.026020 89.908 160.2172
50.388531 89.885 160.0161
50.753666 89.863 159.8474
51.121449 89.840 159.7079
51.491894 89.815 159.5912
51.865025 89.788 159.4922
52.240860 89.758 159.4031
52.619419 89.726 159.3167
53.000721 89.693 159.2255
53.384785 89.659 159.1205
53.771633 89.626 159.0002
54.161285 89.593 158.8654
54.553761 89.561 158.7214
54.949081 89.531 158.5754
55.347263 89.503 158.4321
55.748333 89.477 158.2972
56.152309 89.452 158.1740
56.559212 89.426 158.0646
56.969063 89.399 157.9696
57.381886 89.370 157.8821
57.797699 89.340 157.7962
58.216526 89.308 157.7029
58.638386 89.275 157.5963
59.063305 89.241 157.4771
59.491302 89.207 157.3512
59.922401 89.176 157.2299
60.356625 89.147 157.1204
60.793995 89.120 157.0287
61.234531 89.094 156.9564
61.678261 89.066 156.9017
62.125206 89.037 156.8590
62.575390 89.006 156.8168
63.028835 88.972 156.7601
63.485569 88.938 156.6758
63.945610 88.904 156.5630
64.408989 88.872 156.4296
64.875725 88.841 156.2935
65.345840 88.812 156.1707
65.819366 88.784 156.0706
66.296318 88.757 155.9903
66.776726 88.728 155.9225
67.260620 88.696 155.8607
67.748016 88.660 155.8040
68.238945 88.622 155.7587
68.733429 88.579 155.7361
69.231499 88.532 155.7462
69.733177 88.478 155.7909
70.238495 88.418 155.8683
70.747475 88.352 155.9722
71.260139 88.289 156.0816
71.776520 88.239 156.1558
72.296638 88.209 156.1454
72.820526 88.198 156.0216
73.348213 88.198 155.8016
73.879723 88.200 155.5428
74.415085 88.196 155.3063
74.954330 88.183 155.1284
75.497482 88.160 155.0098
76.044571 88.130 154.9315
76.595619 88.094 154.8740
77.150665 88.056 154.8265
77.709732 88.016 154.7878
78.272850 87.979 154.7617
78.840050 87.944 154.7516
79.411354 87.912 154.7578
79.986801 87.883 154.7740
80.566422 87.855 154.7900
81.150238 87.827 154.7968
81.738289 87.800 154.7874
82.330597 87.772 154.7563
82.927200 87.745 154.7064
83.528122 87.718 154.6475
84.133400 87.691 154.5884
84.743065 87.663 154.5357
85.357147 87.634 154.4929
85.975677 87.603 154.4583
86.598694 87.570 154.4319
87.226227 87.536 154.4115
87.858307 87.500 154.3999
88.494965 87.464 154.4031
89.136238 87.428 154.4191
89.782158 87.392 154.4389
90.432755 87.357 154.4493
91.088066 87.323 154.4441
91.748131 87.291 154.4255
92.412979 87.260 154.3982
93.082642 87.228 154.3666
93.757156 87.196 154.3304
94.436562 87.162 154.2904
95.120888 87.127 154.2491
95.810173 87.093 154.2144
96.504456 87.060 154.1969
97.203766 87.029 154.1977
97.908142 87.000 154.2096
98.617622 86.970 154.2293
99.332245 86.940 154.2519
100.052048 86.909 154.2776
100.777069 86.877 154.3083
101.507339 86.844 154.3503
102.242905 86.811 154.4033
102.983795 86.778 154.4616
103.730057 86.747 154.5118
104.481728 86.718 154.5482
105.238846 86.690 154.5665
106.001450 86.662 154.5701
106.769577 86.633 154.5641
107.543274 86.605 154.5612
108.322578 86.577 154.5701
109.107529 86.550 154.5941
109.898170 86.522 154.6266
110.694534 86.494 154.6610
111.496674 86.464 154.6928
112.304626 86.433 154.7198
113.118431 86.402 154.7430
113.938133 86.371 154.7644
114.763779 86.338 154.7847
115.595406 86.303 154.8102
116.433060 86.263 154.8461
117.276779 86.219 154.9030
118.126617 86.171 154.9872
118.982613 86.122 155.0839
119.844810 86.077 155.1774
120.713257 86.038 155.2490
121.587997 86.002 155.2939
122.469070 85.966 155.3224
123.356529 85.927 155.3439
124.250420 85.890 155.3618
125.150787 85.858 155.3799
126.057678 85.834 155.4044
126.971146 85.819 155.4364
127.891228 85.810 155.4764
128.817978 85.803 155.5364
129.751450 85.796 155.6156
130.691681 85.787 155.7062
131.638733 85.770 155.8099
132.592636 85.745 155.9357
133.553452 85.713 156.0795
134.521240 85.677 156.2215
135.496033 85.639 156.3348
136.477890 85.600 156.3966
137.466858 85.560 156.4016
138.462997 85.519 156.3630
139.466354 85.476 156.3081
140.476990 85.430 156.2708
141.494949 85.381 156.2661
142.520279 85.332 156.2895
143.553040 85.286 156.3386
144.593277 85.246 156.4365
145.641052 85.215 156.6171
146.696426 85.195 156.8893
147.759445 85.181 157.2290
148.830170 85.168 157.5921
149.908661 85.152 157.9492
150.994965 85.134 158.2946
152.089142 85.115 158.6273
153.191238 85.101 158.9483
154.301331 85.093 159.2398
155.419464 85.094 159.4789
156.545700 85.104 159.6656
157.680099 85.123 159.8171
158.822708 85.149 159.9448
159.973602 85.175 160.0480
161.132843 85.197 160.1097
162.300476 85.209 160.1216
163.476578 85.211 160.0858
164.661194 85.202 160.0166
165.854401 85.183 159.9321
167.056244 85.157 159.8461
168.266800 85.126 159.7607
169.486130 85.094 159.6780
170.714294 85.066 159.5988
171.951355 85.041 159.5225
173.197388 85.018 159.4504
174.452454 84.997 159.3829
175.716614 84.976 159.3247
176.989929 84.952 159.2866
178.272476 84.927 159.2696
179.564316 84.900 159.2782
180.865509 84.872 159.3123
182.176132 84.843 159.3579
183.496262 84.815 159.4158
184.825958 84.788 159.4763
186.165283 84.761 159.5370
187.514313 84.735 159.5987
188.873123 84.710 159.6576
190.241776 84.685 159.7234
191.620346 84.659 159.7855
193.008911 84.633 159.8546
194.407532 84.606 159.9177
195.816284 84.578 159.9908
197.235245 84.551 160.0690
198.664490 84.524 160.1547
200.104095 84.498 160.2478
201.554138 84.473 160.3465
203.014679 84.449 160.4491
204.485809 84.425 160.5530
205.967590 84.401 160.6566
207.460114 84.376 160.7567
208.963455 84.351 160.8575
210.477692 84.324 160.9532
212.002899 84.297 161.0415
213.539154 84.269 161.1255
215.086548 84.241 161.2117
216.645157 84.215 161.3113
218.215057 84.191 161.4194
219.796341 84.169 161.5359
221.389069 84.147 161.6586
222.993347 84.126 161.7791
224.609253 84.105 161.8958
226.236862 84.083 162.0084
227.876266 84.062 162.1205
229.527557 84.041 162.2361
231.190811 84.021 162.3550
232.866119 84.001 162.4775
234.553558 83.981 162.5959
236.253235 83.961 162.7151
237.965225 83.942 162.8339
239.689621 83.922 162.9476
241.426514 83.902 163.0623
243.175995 83.882 163.1793
244.938141 83.861 163.3002
246.713058 83.841 163.4243
248.500839 83.821 163.5535
250.301575 83.801 163.6778
252.115356 83.781 163.7990
253.942291 83.762 163.9207
255.782455 83.743 164.0424
257.635956 83.724 164.1714
259.502899 83.705 164.3012
261.383362 83.686 164.4321
263.277466 83.668 164.5703
265.185272 83.649 164.7059
267.106903 83.630 164.8406
269.042480 83.610 164.9725
270.992065 83.591 165.1107
272.955780 83.573 165.2527
274.933716 83.555 165.3978
276.925995 83.538 165.5470
278.932709 83.522 165.6893
280.953979 83.506 165.8311
282.989899 83.489 165.9763
285.040558 83.471 166.1178
287.106079 83.454 166.2594
289.186554 83.437 166.3977
291.282104 83.421 166.5327
293.392853 83.404 166.6668
295.518890 83.388 166.8033
297.660339 83.371 166.9380
299.817322 83.355 167.0710
301.989929 83.338 167.2072
304.178284 83.321 167.3426
306.382477 83.304 167.4787
308.602661 83.288 167.6188
310.838928 83.272 167.7614
313.091400 83.257 167.9050
315.360199 83.242 168.0513
317.645416 83.227 168.1967
319.947205 83.212 168.3464
322.265686 83.198 168.4968
324.600952 83.183 168.6494
326.953156 83.169 168.8064
329.322388 83.154 168.9636
331.708801 83.140 169.1207
334.112488 83.126 169.2783
336.533600 83.112 169.4375
338.972260 83.098 169.5962
341.428589 83.085 169.7552
343.902710 83.071 169.9128
346.394775 83.057 170.0716
348.904907 83.044 170.2302
351.433228 83.030 170.3923
353.979858 83.017 170.5527
356.544952 83.003 170.7150
359.128632 82.990 170.8793
361.731018 82.977 171.0441
364.352264 82.965 171.2119
366.992523 82.952 171.3797
369.651917 82.941 171.5528
372.330566 82.929 171.7188
375.028625 82.917 171.8925
377.746246 82.906 172.0626
380.483551 82.894 172.2353
383.240692 82.882 172.4067
386.017822 82.871 172.5805
388.815063 82.860 172.7590
391.632568 82.849 172.9334
394.470490 82.838 173.1107
397.328979 82.827 173.2894
400.208191 82.817 173.4669
