* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2024 11:29:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop x Crinicle DUSK L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 100.598 15.2972
20.507813 100.633 14.2327
20.874023 100.652 11.3212
21.240234 100.498 8.5353
21.606445 100.260 7.0620
21.972656 100.169 7.2804
22.338867 100.389 8.4444
22.705078 100.861 9.2157
23.071289 101.361 8.7319
23.437500 101.690 7.1029
23.803711 101.761 5.0723
24.169922 101.596 3.4169
24.536133 101.296 2.5311
24.902344 100.991 2.3069
25.268555 100.781 2.3102
25.634766 100.694 2.1398
26.000977 100.699 1.6992
26.367188 100.753 1.1853
26.733399 100.827 0.8578
27.099610 100.913 0.8172
27.465821 101.001 0.9462
27.832032 101.071 1.0035
28.198243 101.099 0.7660
28.564454 101.066 0.1200
28.930665 100.969 -0.9223
29.296876 100.820 -2.2518
29.663087 100.643 -3.6984
30.029298 100.467 -5.0613
30.395509 100.316 -6.1406
30.761720 100.210 -6.7796
31.127931 100.157 -6.9121
31.494142 100.154 -6.5906
31.860353 100.185 -5.9684
32.226563 100.221 -5.2308
32.592774 100.232 -4.5115
32.958985 100.197 -3.8524
33.325196 100.121 -3.2409
33.691407 100.030 -2.6996
34.057618 99.961 -2.3473
34.423829 99.937 -2.3614
34.790040 99.954 -2.8472
35.156251 99.986 -3.7156
35.522462 100.010 -4.6824
35.888673 100.023 -5.4167
36.254884 100.044 -5.7470
36.621095 100.092 -5.7723
36.987306 100.159 -5.7850
37.353517 100.214 -6.0525
37.719728 100.215 -6.6263
38.085939 100.150 -7.3262
38.452150 100.043 -7.9090
38.818361 99.949 -8.2843
39.184572 99.912 -8.5962
39.550783 99.932 -9.0926
39.916994 99.960 -9.8837
40.283205 99.939 -10.7942
40.649416 99.841 -11.4453
41.015627 99.694 -11.5249
41.381838 99.561 -11.0481
41.748049 99.495 -10.3954
42.114260 99.499 -10.0702
42.480471 99.522 -10.3484
42.846682 99.502 -11.0888
43.212893 99.415 -11.8465
43.579103 99.289 -12.1993
43.945314 99.186 -12.0447
44.311525 99.156 -11.6567
44.677736 99.197 -11.4704
45.043947 99.264 -11.7696
45.410158 99.302 -12.5154
45.776369 99.289 -13.4228
46.142580 99.238 -14.1882
46.508791 99.184 -14.6782
46.875002 99.152 -14.9509
47.241213 99.140 -15.1293
47.607424 99.131 -15.2635
47.973635 99.113 -15.3071
48.339846 99.097 -15.2177
48.706057 99.106 -15.0676
49.072268 99.148 -15.0395
49.438479 99.207 -15.2908
49.804690 99.246 -15.7966
50.170901 99.234 -16.3139
50.537112 99.169 -16.5207
50.903323 99.084 -16.2435
51.269534 99.018 -15.6087
51.635745 98.995 -14.9968
52.001956 98.996 -14.8200
52.368167 98.979 -15.2711
52.734378 98.903 -16.2135
53.100589 98.765 -17.2704
53.466800 98.595 -18.0428
53.833011 98.452 -18.3156
54.199222 98.386 -18.1339
54.565432 98.411 -17.7253
54.931643 98.495 -17.3405
55.297854 98.590 -17.1264
55.664065 98.656 -17.0992
56.030276 98.677 -17.2043
56.396487 98.658 -17.3944
56.762698 98.618 -17.6660
57.128909 98.574 -18.0416
57.495120 98.537 -18.5249
57.861331 98.506 -19.0704
58.227542 98.477 -19.5887
58.593753 98.444 -19.9812
58.959964 98.405 -20.1794
59.326175 98.359 -20.1698
59.692386 98.313 -19.9930
60.058597 98.270 -19.7250
60.424808 98.237 -19.4520
60.791019 98.217 -19.2472
61.157230 98.208 -19.1561
61.523441 98.207 -19.1906
61.889652 98.206 -19.3310
62.255863 98.196 -19.5353
62.622074 98.173 -19.7520
62.988285 98.135 -19.9349
63.354496 98.086 -20.0547
63.720707 98.037 -20.1056
64.086918 97.998 -20.1066
64.453129 97.980 -20.0959
64.819340 97.986 -20.1212
65.185551 98.011 -20.2246
65.551762 98.043 -20.4269
65.917972 98.065 -20.7165
66.284183 98.062 -21.0467
66.650394 98.026 -21.3468
67.016605 97.957 -21.5427
67.382816 97.866 -21.5826
67.749027 97.772 -21.4550
68.115238 97.691 -21.1938
68.481449 97.638 -20.8666
68.847660 97.618 -20.5525
69.213871 97.626 -20.3190
69.580082 97.650 -20.2066
69.946293 97.675 -20.2241
70.312504 97.688 -20.3532
70.678715 97.683 -20.5573
71.044926 97.657 -20.7912
71.411137 97.612 -21.0088
71.777348 97.553 -21.1698
72.143559 97.488 -21.2445
72.509770 97.423 -21.2178
72.875981 97.364 -21.0923
73.242192 97.316 -20.8897
73.608403 97.281 -20.6483
73.974614 97.258 -20.4168
74.340825 97.246 -20.2422
74.707036 97.240 -20.1559
75.073247 97.235 -20.1640
75.439458 97.228 -20.2453
75.805669 97.217 -20.3614
76.171880 97.203 -20.4725
76.538091 97.189 -20.5528
76.904301 97.175 -20.5984
77.270512 97.164 -20.6235
77.636723 97.153 -20.6502
78.002934 97.142 -20.6972
78.369145 97.129 -20.7735
78.735356 97.114 -20.8776
79.101567 97.097 -20.9994
79.467778 97.077 -21.1240
79.833989 97.055 -21.2332
80.200200 97.032 -21.3101
80.566411 97.009 -21.3441
80.932622 96.986 -21.3378
81.298833 96.966 -21.3091
81.665044 96.950 -21.2867
82.031255 96.936 -21.2998
82.397466 96.923 -21.3655
82.763677 96.909 -21.4814
83.129888 96.891 -21.6283
83.496099 96.870 -21.7794
83.862310 96.848 -21.9135
84.228521 96.827 -22.0217
84.594732 96.809 -22.1084
84.960943 96.793 -22.1848
85.327154 96.780 -22.2615
85.693365 96.767 -22.3437
86.059576 96.754 -22.4304
86.425787 96.740 -22.5163
86.791998 96.724 -22.5949
87.158209 96.706 -22.6597
87.524420 96.684 -22.7056
87.890631 96.660 -22.7298
88.256841 96.631 -22.7327
88.623052 96.598 -22.7186
88.989263 96.563 -22.6937
89.355474 96.526 -22.6644
89.721685 96.491 -22.6346
90.087896 96.458 -22.6046
90.454107 96.431 -22.5728
90.820318 96.411 -22.5367
91.186529 96.397 -22.4946
91.552740 96.390 -22.4461
91.918951 96.386 -22.3907
92.285162 96.383 -22.3285
92.651373 96.377 -22.2601
93.017584 96.366 -22.1881
93.383795 96.349 -22.1167
93.750006 96.327 -22.0503
94.116217 96.299 -21.9912
94.482428 96.267 -21.9377
94.848639 96.234 -21.8851
95.214850 96.202 -21.8281
95.581061 96.174 -21.7653
95.947272 96.153 -21.7003
96.313483 96.138 -21.6414
96.679694 96.129 -21.5978
97.045905 96.123 -21.5763
97.412116 96.118 -21.5785
97.778327 96.112 -21.6024
98.144538 96.104 -21.6443
98.510749 96.094 -21.7012
98.876960 96.084 -21.7710
99.243170 96.072 -21.8512
99.609381 96.059 -21.9366
99.975592 96.045 -22.0193
100.341803 96.028 -22.0904
100.708014 96.009 -22.1440
101.074225 95.987 -22.1803
101.440436 95.963 -22.2056
101.806647 95.938 -22.2301
102.172858 95.912 -22.2625
102.539069 95.887 -22.3067
102.905280 95.864 -22.3602
103.271491 95.844 -22.4153
103.637702 95.830 -22.4621
104.003913 95.822 -22.4913
104.370124 95.820 -22.4951
104.736335 95.820 -22.4679
105.102546 95.821 -22.4072
105.468757 95.818 -22.3144
105.834968 95.810 -22.1963
106.201179 95.796 -22.0652
106.567390 95.776 -21.9378
106.933601 95.753 -21.8314
107.299812 95.728 -21.7604
107.666023 95.704 -21.7334
108.032234 95.682 -21.7511
108.398445 95.665 -21.8066
108.764656 95.652 -21.8869
109.130867 95.642 -21.9752
109.497078 95.634 -22.0538
109.863289 95.628 -22.1076
110.229500 95.623 -22.1278
110.595710 95.617 -22.1138
110.961921 95.612 -22.0733
111.328132 95.607 -22.0196
111.694343 95.602 -21.9669
112.060554 95.595 -21.9256
112.426765 95.585 -21.8988
112.792976 95.572 -21.8820
113.159187 95.553 -21.8646
113.525398 95.530 -21.8337
113.891609 95.502 -21.7782
114.257820 95.472 -21.6920
114.624031 95.439 -21.5756
114.990242 95.407 -21.4368
115.356453 95.377 -21.2892
115.722664 95.350 -21.1493
116.088875 95.328 -21.0332
116.455086 95.310 -20.9532
116.821297 95.298 -20.9146
117.187508 95.290 -20.9146
117.553719 95.288 -20.9430
117.919930 95.289 -20.9841
118.286141 95.293 -21.0205
118.652352 95.299 -21.0367
119.018563 95.306 -21.0222
119.384774 95.312 -20.9735
119.750985 95.315 -20.8942
120.117196 95.314 -20.7934
120.483407 95.307 -20.6840
120.849618 95.293 -20.5788
121.215829 95.273 -20.4889
121.582040 95.245 -20.4216
121.948250 95.212 -20.3796
122.314461 95.176 -20.3619
122.680672 95.140 -20.3648
123.046883 95.104 -20.3836
123.413094 95.073 -20.4136
123.779305 95.047 -20.4507
124.145516 95.028 -20.4913
124.511727 95.013 -20.5321
124.877938 95.003 -20.5695
125.244149 94.996 -20.5998
125.610360 94.991 -20.6196
125.976571 94.986 -20.6266
126.342782 94.980 -20.6200
126.708993 94.972 -20.6007
127.075204 94.964 -20.5705
127.441415 94.954 -20.5319
127.807626 94.944 -20.4865
128.173837 94.934 -20.4355
128.540048 94.924 -20.3788
128.906259 94.915 -20.3163
129.272470 94.907 -20.2478
129.638681 94.901 -20.1740
130.004892 94.895 -20.0955
130.371103 94.889 -20.0136
130.737314 94.881 -19.9285
131.103525 94.872 -19.8400
131.469736 94.860 -19.7474
131.835947 94.845 -19.6497
132.202158 94.828 -19.5470
132.568369 94.809 -19.4406
132.934579 94.788 -19.3340
133.300790 94.767 -19.2322
133.667001 94.747 -19.1412
134.033212 94.727 -19.0670
134.399423 94.710 -19.0146
134.765634 94.696 -18.9866
135.131845 94.685 -18.9832
135.498056 94.677 -19.0016
135.864267 94.671 -19.0370
136.230478 94.668 -19.0830
136.596689 94.665 -19.1334
136.962900 94.662 -19.1823
137.329111 94.658 -19.2255
137.695322 94.650 -19.2608
138.061533 94.639 -19.2871
138.427744 94.622 -19.3044
138.793955 94.601 -19.3131
139.160166 94.575 -19.3131
139.526377 94.546 -19.3039
139.892588 94.516 -19.2849
140.258799 94.487 -19.2555
140.625010 94.460 -19.2155
140.991221 94.437 -19.1657
141.357432 94.417 -19.1075
141.723643 94.403 -19.0429
142.089854 94.392 -18.9743
142.456065 94.384 -18.9040
142.822276 94.378 -18.8347
143.188487 94.373 -18.7688
143.554698 94.368 -18.7087
143.920909 94.363 -18.6566
144.287119 94.358 -18.6142
144.653330 94.353 -18.5821
145.019541 94.348 -18.5599
145.385752 94.342 -18.5462
145.751963 94.336 -18.5382
146.118174 94.329 -18.5326
146.484385 94.321 -18.5258
146.850596 94.312 -18.5143
147.216807 94.300 -18.4953
147.583018 94.287 -18.4665
147.949229 94.271 -18.4265
148.315440 94.254 -18.3742
148.681651 94.234 -18.3088
149.047862 94.214 -18.2298
149.414073 94.192 -18.1368
149.780284 94.170 -18.0298
150.146495 94.148 -17.9092
150.512706 94.128 -17.7762
150.878917 94.111 -17.6323
151.245128 94.095 -17.4797
151.611339 94.084 -17.3212
151.977550 94.075 -17.1598
152.343761 94.071 -16.9987
152.709972 94.069 -16.8411
153.076183 94.071 -16.6900
153.442394 94.075 -16.5481
153.808605 94.080 -16.4174
154.174816 94.085 -16.2989
154.541027 94.089 -16.1927
154.907238 94.090 -16.0979
155.273448 94.088 -16.0127
155.639659 94.083 -15.9347
156.005870 94.073 -15.8611
156.372081 94.059 -15.7890
156.738292 94.040 -15.7161
157.104503 94.018 -15.6401
157.470714 93.992 -15.5599
157.836925 93.963 -15.4748
158.203136 93.933 -15.3852
158.569347 93.902 -15.2924
158.935558 93.871 -15.1985
159.301769 93.841 -15.1059
159.667980 93.813 -15.0175
160.034191 93.786 -14.9359
160.400402 93.761 -14.8626
160.766613 93.738 -14.7980
161.132824 93.717 -14.7407
161.499035 93.698 -14.6873
161.865246 93.679 -14.6330
162.231457 93.662 -14.5715
162.597668 93.647 -14.4962
162.963879 93.633 -14.4012
