* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2023 9:02:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ X HBB NOBASS R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.642 -146.7031
20.507813 93.672 -146.8311
20.874023 93.745 -147.1668
21.240234 93.799 -147.5121
21.606445 93.836 -147.8842
21.972656 93.870 -148.3296
22.338867 93.912 -148.8333
22.705078 93.962 -149.3516
23.071289 94.024 -149.8442
23.437500 94.093 -150.2899
23.803711 94.162 -150.6863
24.169922 94.221 -151.0422
24.536133 94.266 -151.3733
24.902344 94.296 -151.6984
25.268555 94.317 -152.0370
25.634766 94.337 -152.4077
26.000977 94.364 -152.8227
26.367188 94.403 -153.2781
26.733399 94.452 -153.7491
27.099610 94.508 -154.1970
27.465821 94.565 -154.5846
27.832032 94.618 -154.8918
28.198243 94.664 -155.1243
28.564454 94.702 -155.3115
28.930665 94.733 -155.4951
29.296876 94.758 -155.7101
29.663087 94.780 -155.9710
30.029298 94.799 -156.2713
30.395509 94.819 -156.5929
30.761720 94.842 -156.9162
31.127931 94.869 -157.2264
31.494142 94.899 -157.5158
31.860353 94.928 -157.7821
32.226563 94.954 -158.0261
32.592774 94.975 -158.2509
32.958985 94.992 -158.4625
33.325196 95.007 -158.6693
33.691407 95.023 -158.8818
34.057618 95.039 -159.1072
34.423829 95.057 -159.3451
34.790040 95.076 -159.5867
35.156251 95.095 -159.8213
35.522462 95.113 -160.0419
35.888673 95.131 -160.2477
36.254884 95.146 -160.4407
36.621095 95.160 -160.6224
36.987306 95.173 -160.7932
37.353517 95.185 -160.9548
37.719728 95.199 -161.1122
38.085939 95.215 -161.2722
38.452150 95.232 -161.4396
38.818361 95.249 -161.6148
39.184572 95.265 -161.7932
39.550783 95.280 -161.9669
39.916994 95.294 -162.1283
40.283205 95.307 -162.2745
40.649416 95.320 -162.4085
41.015627 95.333 -162.5362
41.381838 95.346 -162.6632
41.748049 95.359 -162.7923
42.114260 95.370 -162.9232
42.480471 95.380 -163.0543
42.846682 95.390 -163.1830
43.212893 95.399 -163.3078
43.579103 95.409 -163.4281
43.945314 95.419 -163.5441
44.311525 95.430 -163.6569
44.677736 95.443 -163.7691
45.043947 95.455 -163.8836
45.410158 95.466 -164.0020
45.776369 95.475 -164.1232
46.142580 95.481 -164.2426
46.508791 95.485 -164.3552
46.875002 95.488 -164.4582
47.241213 95.490 -164.5533
47.607424 95.493 -164.6459
47.973635 95.497 -164.7431
48.339846 95.503 -164.8493
48.706057 95.509 -164.9645
49.072268 95.515 -165.0848
49.438479 95.521 -165.2049
49.804690 95.527 -165.3197
50.170901 95.533 -165.4262
50.537112 95.540 -165.5240
50.903323 95.548 -165.6144
51.269534 95.557 -165.6997
51.635745 95.565 -165.7823
52.001956 95.573 -165.8646
52.368167 95.580 -165.9480
52.734378 95.586 -166.0331
53.100589 95.592 -166.1197
53.466800 95.598 -166.2072
53.833011 95.603 -166.2950
54.199222 95.608 -166.3818
54.565432 95.613 -166.4656
54.931643 95.618 -166.5445
55.297854 95.623 -166.6176
55.664065 95.628 -166.6854
56.030276 95.632 -166.7498
56.396487 95.634 -166.8133
56.762698 95.635 -166.8772
57.128909 95.634 -166.9404
57.495120 95.633 -167.0003
57.861331 95.634 -167.0550
58.227542 95.637 -167.1055
58.593753 95.643 -167.1552
58.959964 95.652 -167.2078
59.326175 95.661 -167.2650
59.692386 95.670 -167.3249
60.058597 95.677 -167.3839
60.424808 95.682 -167.4385
60.791019 95.684 -167.4874
61.157230 95.686 -167.5313
61.523441 95.686 -167.5718
61.889652 95.687 -167.6102
62.255863 95.688 -167.6473
62.622074 95.690 -167.6837
62.988285 95.692 -167.7202
63.354496 95.696 -167.7574
63.720707 95.699 -167.7951
64.086918 95.703 -167.8322
64.453129 95.707 -167.8668
64.819340 95.712 -167.8978
65.185551 95.716 -167.9254
65.551762 95.721 -167.9506
65.917972 95.726 -167.9750
66.284183 95.732 -167.9996
66.650394 95.737 -168.0248
67.016605 95.742 -168.0500
67.382816 95.746 -168.0743
67.749027 95.749 -168.0966
68.115238 95.751 -168.1167
68.481449 95.753 -168.1347
68.847660 95.754 -168.1510
69.213871 95.756 -168.1660
69.580082 95.757 -168.1799
69.946293 95.759 -168.1929
70.312504 95.761 -168.2049
70.678715 95.764 -168.2162
71.044926 95.767 -168.2270
71.411137 95.770 -168.2377
71.777348 95.774 -168.2484
72.143559 95.777 -168.2593
72.509770 95.780 -168.2701
72.875981 95.782 -168.2801
73.242192 95.784 -168.2885
73.608403 95.786 -168.2946
73.974614 95.788 -168.2983
74.340825 95.790 -168.3002
74.707036 95.793 -168.3017
75.073247 95.796 -168.3040
75.439458 95.799 -168.3080
75.805669 95.802 -168.3136
76.171880 95.805 -168.3201
76.538091 95.807 -168.3265
76.904301 95.809 -168.3320
77.270512 95.811 -168.3363
77.636723 95.811 -168.3395
78.002934 95.812 -168.3418
78.369145 95.813 -168.3430
78.735356 95.813 -168.3422
79.101567 95.813 -168.3388
79.467778 95.813 -168.3322
79.833989 95.814 -168.3225
80.200200 95.814 -168.3108
80.566411 95.814 -168.2984
80.932622 95.814 -168.2863
81.298833 95.814 -168.2753
81.665044 95.814 -168.2655
82.031255 95.815 -168.2563
82.397466 95.815 -168.2473
82.763677 95.816 -168.2380
83.129888 95.817 -168.2285
83.496099 95.819 -168.2186
83.862310 95.821 -168.2085
84.228521 95.824 -168.1974
84.594732 95.826 -168.1846
84.960943 95.828 -168.1694
85.327154 95.830 -168.1520
85.693365 95.832 -168.1329
86.059576 95.833 -168.1133
86.425787 95.835 -168.0938
86.791998 95.836 -168.0744
87.158209 95.837 -168.0543
87.524420 95.838 -168.0321
87.890631 95.838 -168.0071
88.256841 95.840 -167.9792
88.623052 95.841 -167.9494
88.989263 95.844 -167.9190
89.355474 95.846 -167.8890
89.721685 95.849 -167.8598
90.087896 95.851 -167.8309
90.454107 95.853 -167.8014
90.820318 95.855 -167.7704
91.186529 95.857 -167.7377
91.552740 95.858 -167.7035
91.918951 95.860 -167.6690
92.285162 95.862 -167.6354
92.651373 95.864 -167.6035
93.017584 95.866 -167.5740
93.383795 95.869 -167.5464
93.750006 95.871 -167.5202
94.116217 95.873 -167.4943
94.482428 95.874 -167.4676
94.848639 95.875 -167.4392
95.214850 95.876 -167.4084
95.581061 95.876 -167.3752
95.947272 95.876 -167.3394
96.313483 95.877 -167.3012
96.679694 95.877 -167.2609
97.045905 95.877 -167.2188
97.412116 95.878 -167.1753
97.778327 95.879 -167.1310
98.144538 95.880 -167.0863
98.510749 95.881 -167.0423
98.876960 95.881 -166.9995
99.243170 95.882 -166.9585
99.609381 95.883 -166.9192
99.975592 95.883 -166.8812
100.341803 95.884 -166.8437
100.708014 95.885 -166.8058
101.074225 95.886 -166.7666
101.440436 95.887 -166.7256
101.806647 95.888 -166.6824
102.172858 95.889 -166.6371
102.539069 95.890 -166.5902
102.905280 95.891 -166.5426
103.271491 95.892 -166.4951
103.637702 95.893 -166.4487
104.003913 95.894 -166.4040
104.370124 95.895 -166.3611
104.736335 95.896 -166.3199
105.102546 95.898 -166.2796
105.468757 95.899 -166.2396
105.834968 95.901 -166.1990
106.201179 95.902 -166.1572
106.567390 95.904 -166.1134
106.933601 95.905 -166.0672
107.299812 95.906 -166.0186
107.666023 95.907 -165.9675
108.032234 95.907 -165.9143
108.398445 95.907 -165.8594
108.764656 95.906 -165.8033
109.130867 95.905 -165.7464
109.497078 95.904 -165.6893
109.863289 95.902 -165.6327
110.229500 95.901 -165.5774
110.595710 95.900 -165.5237
110.961921 95.900 -165.4722
111.328132 95.901 -165.4225
111.694343 95.903 -165.3746
112.060554 95.904 -165.3277
112.426765 95.907 -165.2816
112.792976 95.908 -165.2362
113.159187 95.910 -165.1915
113.525398 95.911 -165.1478
113.891609 95.912 -165.1049
114.257820 95.911 -165.0627
114.624031 95.910 -165.0200
114.990242 95.908 -164.9756
115.356453 95.906 -164.9279
115.722664 95.902 -164.8755
116.088875 95.899 -164.8175
116.455086 95.895 -164.7533
116.821297 95.892 -164.6832
117.187508 95.889 -164.6077
117.553719 95.886 -164.5276
117.919930 95.886 -164.4439
118.286141 95.886 -164.3572
118.652352 95.889 -164.2684
119.018563 95.893 -164.1780
119.384774 95.898 -164.0866
119.750985 95.905 -163.9951
120.117196 95.911 -163.9043
120.483407 95.917 -163.8154
120.849618 95.922 -163.7300
121.215829 95.926 -163.6496
121.582040 95.929 -163.5757
121.948250 95.931 -163.5097
122.314461 95.931 -163.4522
122.680672 95.931 -163.4034
123.046883 95.930 -163.3629
123.413094 95.930 -163.3294
123.779305 95.929 -163.3013
124.145516 95.929 -163.2764
124.511727 95.929 -163.2521
124.877938 95.929 -163.2259
125.244149 95.930 -163.1957
125.610360 95.930 -163.1598
125.976571 95.930 -163.1175
126.342782 95.930 -163.0690
126.708993 95.930 -163.0150
127.075204 95.930 -162.9570
127.441415 95.930 -162.8963
127.807626 95.930 -162.8341
128.173837 95.930 -162.7712
128.540048 95.930 -162.7079
128.906259 95.930 -162.6441
129.272470 95.930 -162.5794
129.638681 95.930 -162.5136
130.004892 95.929 -162.4465
130.371103 95.929 -162.3781
130.737314 95.928 -162.3086
131.103525 95.928 -162.2384
131.469736 95.927 -162.1678
131.835947 95.927 -162.0969
132.202158 95.928 -162.0258
132.568369 95.929 -161.9542
132.934579 95.931 -161.8818
133.300790 95.933 -161.8083
133.667001 95.935 -161.7334
134.033212 95.937 -161.6573
134.399423 95.940 -161.5801
134.765634 95.942 -161.5026
135.131845 95.944 -161.4251
135.498056 95.946 -161.3483
135.864267 95.947 -161.2724
136.230478 95.948 -161.1976
136.596689 95.948 -161.1237
136.962900 95.948 -161.0503
137.329111 95.948 -160.9770
137.695322 95.948 -160.9034
138.061533 95.949 -160.8291
138.427744 95.949 -160.7541
138.793955 95.949 -160.6785
139.160166 95.950 -160.6023
139.526377 95.951 -160.5261
139.892588 95.951 -160.4500
140.258799 95.952 -160.3745
140.625010 95.953 -160.2997
140.991221 95.953 -160.2256
141.357432 95.954 -160.1522
141.723643 95.955 -160.0793
142.089854 95.956 -160.0067
142.456065 95.956 -159.9341
142.822276 95.957 -159.8616
143.188487 95.958 -159.7892
143.554698 95.959 -159.7168
143.920909 95.960 -159.6447
144.287119 95.961 -159.5729
144.653330 95.962 -159.5014
145.019541 95.962 -159.4303
145.385752 95.963 -159.3593
145.751963 95.963 -159.2881
146.118174 95.963 -159.2164
146.484385 95.963 -159.1439
146.850596 95.963 -159.0703
147.216807 95.963 -158.9956
147.583018 95.962 -158.9195
147.949229 95.962 -158.8421
148.315440 95.961 -158.7636
148.681651 95.961 -158.6842
149.047862 95.961 -158.6040
149.414073 95.961 -158.5232
149.780284 95.961 -158.4419
150.146495 95.961 -158.3602
150.512706 95.962 -158.2782
150.878917 95.962 -158.1959
151.245128 95.963 -158.1134
151.611339 95.963 -158.0309
151.977550 95.964 -157.9483
152.343761 95.964 -157.8657
152.709972 95.965 -157.7832
153.076183 95.965 -157.7009
153.442394 95.966 -157.6189
153.808605 95.966 -157.5371
154.174816 95.966 -157.4555
154.541027 95.967 -157.3740
154.907238 95.967 -157.2924
155.273448 95.967 -157.2108
155.639659 95.966 -157.1288
156.005870 95.966 -157.0464
156.372081 95.965 -156.9636
156.738292 95.965 -156.8805
157.104503 95.964 -156.7971
157.470714 95.964 -156.7135
157.836925 95.964 -156.6298
158.203136 95.963 -156.5462
158.569347 95.963 -156.4626
158.935558 95.964 -156.3793
159.301769 95.964 -156.2965
159.667980 95.965 -156.2142
160.034191 95.965 -156.1328
160.400402 95.966 -156.0524
160.766613 95.967 -155.9731
161.132824 95.967 -155.8950
161.499035 95.968 -155.8180
161.865246 95.969 -155.7421
162.231457 95.969 -155.6670
162.597668 95.970 -155.5921
