* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 20, 25 1:31:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quarks2 FinchPreset R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.517 20.2456
0.368865 55.548 20.1280
0.371538 55.594 19.9541
0.374230 55.652 19.7396
0.376942 55.716 19.4982
0.379673 55.785 19.2397
0.382424 55.856 18.9705
0.385196 55.930 18.6947
0.387987 56.005 18.4147
0.390798 56.080 18.1318
0.393630 56.157 17.8468
0.396483 56.234 17.5601
0.399356 56.311 17.2719
0.402250 56.389 16.9826
0.405165 56.468 16.6921
0.408101 56.547 16.4007
0.411058 56.627 16.1083
0.414037 56.708 15.8152
0.417037 56.789 15.5214
0.420059 56.870 15.2269
0.423103 56.952 14.9319
0.426169 57.035 14.6363
0.429257 57.119 14.3404
0.432368 57.203 14.0441
0.435501 57.287 13.7475
0.438656 57.373 13.4508
0.441835 57.459 13.1538
0.445037 57.545 12.8568
0.448262 57.632 12.5597
0.451510 57.720 12.2625
0.454782 57.808 11.9655
0.458077 57.897 11.6684
0.461397 57.987 11.3715
0.464740 58.077 11.0748
0.468108 58.168 10.7782
0.471500 58.260 10.4818
0.474917 58.352 10.1855
0.478358 58.445 9.8896
0.481825 58.539 9.5938
0.485316 58.633 9.2983
0.488833 58.728 9.0030
0.492375 58.824 8.7079
0.495943 58.920 8.4131
0.499537 59.017 8.1185
0.503157 59.115 7.8241
0.506803 59.214 7.5299
0.510475 59.313 7.2359
0.514175 59.413 6.9420
0.517900 59.514 6.6482
0.521653 59.615 6.3544
0.525434 59.717 6.0607
0.529241 59.820 5.7670
0.533076 59.924 5.4733
0.536939 60.028 5.1794
0.540830 60.133 4.8854
0.544749 60.239 4.5912
0.548696 60.346 4.2967
0.552673 60.453 4.0019
0.556677 60.561 3.7067
0.560711 60.670 3.4110
0.564774 60.780 3.1148
0.568867 60.891 2.8179
0.572989 61.002 2.5204
0.577141 61.114 2.2220
0.581324 61.227 1.9228
0.585536 61.341 1.6227
0.589779 61.456 1.3215
0.594053 61.572 1.0191
0.598358 61.688 0.7156
0.602694 61.805 0.4106
0.607061 61.923 0.1042
0.611460 62.042 -0.2037
0.615891 62.162 -0.5133
0.620354 62.282 -0.8247
0.624849 62.404 -1.1380
0.629377 62.526 -1.4533
0.633938 62.650 -1.7708
0.638532 62.774 -2.0905
0.643159 62.899 -2.4127
0.647819 63.025 -2.7374
0.652514 63.152 -3.0647
0.657242 63.279 -3.3949
0.662005 63.408 -3.7280
0.666802 63.538 -4.0642
0.671634 63.668 -4.4037
0.676501 63.800 -4.7466
0.681403 63.932 -5.0931
0.686341 64.066 -5.4433
0.691314 64.200 -5.7973
0.696324 64.335 -6.1554
0.701370 64.471 -6.5176
0.706452 64.607 -6.8842
0.711571 64.743 -7.2550
0.716728 64.879 -7.6302
0.721921 65.013 -8.0095
0.727153 65.144 -8.3927
0.732422 65.273 -8.7792
0.737729 65.397 -9.1684
0.743075 65.518 -9.5596
0.748460 65.636 -9.9521
0.753883 65.752 -10.3454
0.759346 65.866 -10.7390
0.764849 65.980 -11.1328
0.770391 66.092 -11.5264
0.775974 66.205 -11.9197
0.781597 66.316 -12.3126
0.787261 66.428 -12.7050
0.792966 66.539 -13.0968
0.798712 66.649 -13.4878
0.804500 66.759 -13.8781
0.810329 66.869 -14.2676
0.816201 66.979 -14.6563
0.822116 67.088 -15.0441
0.828073 67.197 -15.4311
0.834074 67.305 -15.8171
0.840118 67.413 -16.2023
0.846206 67.521 -16.5866
0.852338 67.628 -16.9700
0.858514 67.736 -17.3527
0.864735 67.842 -17.7345
0.871001 67.949 -18.1156
0.877313 68.055 -18.4961
0.883670 68.161 -18.8759
0.890074 68.267 -19.2552
0.896524 68.372 -19.6341
0.903020 68.478 -20.0126
0.909564 68.583 -20.3908
0.916155 68.688 -20.7689
0.922794 68.792 -21.1469
0.929481 68.897 -21.5250
0.936216 69.001 -21.9032
0.943000 69.105 -22.2819
0.949834 69.209 -22.6609
0.956717 69.313 -23.0406
0.963649 69.417 -23.4211
0.970632 69.521 -23.8026
0.977666 69.625 -24.1851
0.984750 69.729 -24.5689
0.991886 69.833 -24.9542
0.999074 69.937 -25.3412
1.006314 70.042 -25.7300
1.013606 70.146 -26.1209
1.020951 70.251 -26.5141
1.028349 70.356 -26.9098
1.035801 70.461 -27.3083
1.043307 70.566 -27.7097
1.050867 70.672 -28.1144
1.058482 70.778 -28.5225
1.066152 70.885 -28.9345
1.073878 70.992 -29.3504
1.081660 71.099 -29.7705
1.089498 71.207 -30.1952
1.097393 71.315 -30.6245
1.105345 71.423 -31.0586
1.113355 71.530 -31.4974
1.121423 71.638 -31.9408
1.129549 71.745 -32.3887
1.137734 71.852 -32.8409
1.145979 71.958 -33.2969
1.154283 72.064 -33.7567
1.162647 72.170 -34.2198
1.171072 72.275 -34.6860
1.179558 72.380 -35.1551
1.188106 72.484 -35.6267
1.196715 72.587 -36.1006
1.205387 72.691 -36.5765
1.214122 72.794 -37.0542
1.222920 72.896 -37.5335
1.231782 72.998 -38.0141
1.240708 73.100 -38.4958
1.249699 73.201 -38.9785
1.258754 73.302 -39.4619
1.267876 73.402 -39.9458
1.277063 73.503 -40.4301
1.286318 73.603 -40.9146
1.295639 73.702 -41.3991
1.305027 73.802 -41.8836
1.314484 73.901 -42.3679
1.324009 74.000 -42.8519
1.333604 74.098 -43.3354
1.343268 74.197 -43.8185
1.353002 74.295 -44.3009
1.362806 74.394 -44.7827
1.372681 74.492 -45.2637
1.382628 74.590 -45.7440
1.392647 74.688 -46.2235
1.402739 74.787 -46.7022
1.412904 74.885 -47.1802
1.423142 74.983 -47.6575
1.433455 75.082 -48.1343
1.443843 75.180 -48.6110
1.454305 75.278 -49.0877
1.464844 75.377 -49.5652
1.475459 75.475 -50.0438
1.486150 75.572 -50.5241
1.496920 75.670 -51.0064
1.507767 75.766 -51.4910
1.518693 75.863 -51.9779
1.529698 75.958 -52.4671
1.540783 76.053 -52.9584
1.551948 76.148 -53.4519
1.563194 76.242 -53.9472
1.574521 76.335 -54.4443
1.585931 76.428 -54.9431
1.597423 76.520 -55.4434
1.608999 76.612 -55.9450
1.620658 76.704 -56.4480
1.632402 76.794 -56.9520
1.644232 76.885 -57.4572
1.656146 76.975 -57.9633
1.668147 77.064 -58.4703
1.680235 77.154 -58.9782
1.692411 77.242 -59.4868
1.704675 77.331 -59.9962
1.717028 77.419 -60.5063
1.729470 77.507 -61.0171
1.742003 77.595 -61.5286
1.754626 77.682 -62.0408
1.767341 77.769 -62.5540
1.780147 77.856 -63.0681
1.793047 77.943 -63.5835
1.806040 78.030 -64.1006
1.819128 78.116 -64.6199
1.832310 78.202 -65.1421
1.845587 78.287 -65.6680
1.858961 78.372 -66.1981
1.872432 78.457 -66.7329
1.886001 78.541 -67.2724
1.899667 78.624 -67.8165
1.913433 78.706 -68.3650
1.927299 78.788 -68.9175
1.941265 78.869 -69.4736
1.955332 78.949 -70.0329
1.969501 79.029 -70.5948
1.983773 79.108 -71.1589
1.998148 79.187 -71.7248
2.012627 79.265 -72.2919
2.027212 79.342 -72.8599
2.041902 79.419 -73.4283
2.056698 79.496 -73.9966
2.071602 79.571 -74.5645
2.086614 79.647 -75.1316
2.101734 79.722 -75.6976
2.116964 79.797 -76.2621
2.132304 79.871 -76.8250
2.147756 79.945 -77.3863
2.163320 80.019 -77.9461
2.178996 80.092 -78.5050
2.194786 80.164 -79.0637
2.210690 80.237 -79.6232
2.226710 80.308 -80.1845
2.242845 80.379 -80.7483
2.259098 80.449 -81.3152
2.275468 80.519 -81.8851
2.291957 80.587 -82.4580
2.308566 80.655 -83.0335
2.325295 80.722 -83.6114
2.342145 80.788 -84.1910
2.359117 80.854 -84.7720
2.376212 80.919 -85.3538
2.393431 80.984 -85.9359
2.410775 81.047 -86.5177
2.428244 81.111 -87.0987
2.445840 81.173 -87.6784
2.463564 81.236 -88.2563
2.481416 81.297 -88.8321
2.499397 81.359 -89.4054
2.517509 81.420 -89.9762
2.535752 81.480 -90.5445
2.554127 81.540 -91.1110
2.572635 81.600 -91.6762
2.591277 81.659 -92.2412
2.610055 81.717 -92.8066
2.628968 81.774 -93.3732
2.648019 81.831 -93.9411
2.667208 81.887 -94.5102
2.686535 81.942 -95.0806
2.706003 81.996 -95.6518
2.725612 82.050 -96.2235
2.745363 82.103 -96.7953
2.765257 82.156 -97.3667
2.785295 82.208 -97.9373
2.805478 82.259 -98.5066
2.825808 82.310 -99.0740
2.846285 82.361 -99.6393
2.866910 82.411 -100.2022
2.887685 82.461 -100.7624
2.908611 82.511 -101.3202
2.929688 82.560 -101.8758
2.950917 82.608 -102.4300
2.972301 82.656 -102.9832
2.993839 82.704 -103.5359
3.015534 82.750 -104.0886
3.037386 82.796 -104.6413
3.059396 82.842 -105.1939
3.081565 82.887 -105.7462
3.103896 82.931 -106.2981
3.126388 82.975 -106.8491
3.149043 83.019 -107.3991
3.171862 83.062 -107.9475
3.194847 83.104 -108.4940
3.217998 83.147 -109.0385
3.241317 83.189 -109.5805
3.264805 83.231 -110.1201
3.288463 83.272 -110.6573
3.312293 83.314 -111.1924
3.336295 83.354 -111.7256
3.360471 83.395 -112.2574
3.384822 83.435 -112.7880
3.409350 83.475 -113.3177
3.434056 83.514 -113.8465
3.458940 83.553 -114.3745
3.484005 83.591 -114.9016
3.509252 83.629 -115.4279
3.534681 83.667 -115.9534
3.560295 83.705 -116.4778
3.586094 83.742 -117.0012
3.612081 83.779 -117.5236
3.638255 83.816 -118.0449
3.664620 83.853 -118.5654
3.691175 83.889 -119.0850
3.717923 83.926 -119.6041
3.744864 83.961 -120.1227
3.772001 83.997 -120.6409
3.799335 84.033 -121.1589
3.826866 84.068 -121.6767
3.854597 84.102 -122.1942
3.882529 84.137 -122.7115
3.910664 84.171 -123.2287
3.939002 84.205 -123.7457
3.967546 84.239 -124.2625
3.996296 84.272 -124.7794
4.025255 84.305 -125.2962
4.054423 84.338 -125.8133
4.083804 84.371 -126.3308
4.113396 84.403 -126.8487
4.143204 84.435 -127.3671
4.173227 84.467 -127.8860
4.203468 84.498 -128.4054
4.233928 84.529 -128.9252
4.264609 84.559 -129.4454
4.295512 84.589 -129.9660
4.326639 84.619 -130.4870
4.357992 84.648 -131.0084
4.389572 84.677 -131.5305
4.421380 84.705 -132.0534
4.453419 84.733 -132.5773
4.485691 84.760 -133.1023
4.518196 84.787 -133.6283
4.550936 84.813 -134.1552
4.583914 84.839 -134.6827
4.617131 84.864 -135.2105
4.650589 84.889 -135.7384
4.684289 84.913 -136.2662
4.718233 84.936 -136.7939
4.752424 84.959 -137.3214
4.786862 84.981 -137.8489
4.821549 85.003 -138.3767
4.856488 85.023 -138.9048
4.891680 85.044 -139.4331
4.927127 85.063 -139.9615
4.962831 85.082 -140.4896
4.998794 85.100 -141.0170
5.035017 85.117 -141.5434
5.071503 85.134 -142.0685
5.108253 85.150 -142.5922
5.145270 85.166 -143.1145
5.182555 85.181 -143.6356
5.220110 85.195 -144.1555
5.257937 85.208 -144.6742
5.296038 85.221 -145.1917
5.334415 85.233 -145.7077
5.373071 85.244 -146.2219
5.412006 85.255 -146.7341
5.451224 85.265 -147.2439
5.490725 85.275 -147.7513
5.530514 85.284 -148.2562
5.570590 85.293 -148.7588
5.610957 85.301 -149.2592
5.651616 85.308 -149.7573
5.692570 85.315 -150.2532
5.733821 85.322 -150.7469
5.775370 85.328 -151.2383
5.817221 85.334 -151.7273
5.859375 85.339 -152.2139
5.901834 85.345 -152.6981
5.944602 85.349 -153.1799
5.987679 85.354 -153.6595
6.031068 85.358 -154.1370
6.074771 85.362 -154.6127
6.118792 85.365 -155.0868
6.163131 85.368 -155.5593
6.207792 85.371 -156.0304
6.252776 85.374 -156.5003
6.298086 85.377 -156.9688
