* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2026 4:38:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Roseselsa Ceramics Mk2 D L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 52.160 77.2481
0.368865 52.208 77.0504
0.371538 52.276 76.7671
0.374230 52.352 76.4493
0.376942 52.432 76.1200
0.379673 52.514 75.7874
0.382424 52.596 75.4542
0.385196 52.679 75.1212
0.387987 52.763 74.7887
0.390798 52.847 74.4567
0.393630 52.932 74.1253
0.396483 53.017 73.7946
0.399356 53.103 73.4646
0.402250 53.190 73.1354
0.405165 53.277 72.8068
0.408101 53.365 72.4791
0.411058 53.454 72.1522
0.414037 53.543 71.8262
0.417037 53.633 71.5009
0.420059 53.723 71.1766
0.423103 53.814 70.8531
0.426169 53.906 70.5304
0.429257 53.999 70.2087
0.432368 54.092 69.8878
0.435501 54.186 69.5678
0.438656 54.280 69.2486
0.441835 54.375 68.9303
0.445037 54.471 68.6129
0.448262 54.568 68.2962
0.451510 54.665 67.9803
0.454782 54.763 67.6652
0.458077 54.862 67.3509
0.461397 54.961 67.0373
0.464740 55.061 66.7243
0.468108 55.162 66.4120
0.471500 55.264 66.1003
0.474917 55.366 65.7891
0.478358 55.469 65.4785
0.481825 55.573 65.1683
0.485316 55.677 64.8586
0.488833 55.783 64.5492
0.492375 55.889 64.2401
0.495943 55.996 63.9314
0.499537 56.103 63.6228
0.503157 56.212 63.3143
0.506803 56.321 63.0060
0.510475 56.431 62.6976
0.514175 56.542 62.3892
0.517900 56.653 62.0807
0.521653 56.766 61.7721
0.525434 56.879 61.4632
0.529241 56.993 61.1539
0.533076 57.108 60.8443
0.536939 57.223 60.5343
0.540830 57.340 60.2237
0.544749 57.457 59.9125
0.548696 57.575 59.6006
0.552673 57.695 59.2880
0.556677 57.814 58.9746
0.560711 57.935 58.6602
0.564774 58.057 58.3449
0.568867 58.180 58.0285
0.572989 58.303 57.7110
0.577141 58.427 57.3923
0.581324 58.553 57.0723
0.585536 58.679 56.7510
0.589779 58.806 56.4282
0.594053 58.934 56.1039
0.598358 59.063 55.7780
0.602694 59.193 55.4505
0.607061 59.323 55.1212
0.611460 59.455 54.7901
0.615891 59.588 54.4572
0.620354 59.722 54.1223
0.624849 59.856 53.7853
0.629377 59.992 53.4463
0.633938 60.128 53.1051
0.638532 60.266 52.7616
0.643159 60.405 52.4159
0.647819 60.544 52.0678
0.652514 60.685 51.7172
0.657242 60.826 51.3642
0.662005 60.969 51.0085
0.666802 61.113 50.6503
0.671634 61.257 50.2894
0.676501 61.403 49.9257
0.681403 61.550 49.5592
0.686341 61.698 49.1899
0.691314 61.847 48.8177
0.696324 61.997 48.4425
0.701370 62.148 48.0643
0.706452 62.300 47.6830
0.711571 62.453 47.2987
0.716728 62.608 46.9114
0.721921 62.762 46.5212
0.727153 62.915 46.1289
0.732422 63.065 45.7360
0.737729 63.209 45.3454
0.743075 63.348 44.9600
0.748460 63.487 44.5811
0.753883 63.625 44.2092
0.759346 63.762 43.8441
0.764849 63.900 43.4857
0.770391 64.039 43.1338
0.775974 64.177 42.7879
0.781597 64.315 42.4479
0.787261 64.454 42.1133
0.792966 64.593 41.7840
0.798712 64.732 41.4595
0.804500 64.871 41.1397
0.810329 65.011 40.8241
0.816201 65.150 40.5126
0.822116 65.290 40.2047
0.828073 65.430 39.9001
0.834074 65.570 39.5986
0.840118 65.710 39.2999
0.846206 65.851 39.0037
0.852338 65.991 38.7097
0.858514 66.132 38.4175
0.864735 66.273 38.1269
0.871001 66.414 37.8376
0.877313 66.555 37.5494
0.883670 66.697 37.2619
0.890074 66.838 36.9749
0.896524 66.980 36.6881
0.903020 67.122 36.4012
0.909564 67.265 36.1140
0.916155 67.407 35.8262
0.922794 67.550 35.5375
0.929481 67.693 35.2477
0.936216 67.836 34.9566
0.943000 67.979 34.6638
0.949834 68.123 34.3692
0.956717 68.266 34.0725
0.963649 68.410 33.7735
0.970632 68.555 33.4720
0.977666 68.699 33.1676
0.984750 68.844 32.8602
0.991886 68.989 32.5495
0.999074 69.134 32.2354
1.006314 69.280 31.9176
1.013606 69.426 31.5959
1.020951 69.572 31.2701
1.028349 69.719 30.9400
1.035801 69.866 30.6053
1.043307 70.013 30.2659
1.050867 70.161 29.9216
1.058482 70.309 29.5722
1.066152 70.457 29.2174
1.073878 70.606 28.8572
1.081660 70.755 28.4916
1.089498 70.905 28.1209
1.097393 71.055 27.7461
1.105345 71.205 27.3696
1.113355 71.355 26.9939
1.121423 71.505 26.6204
1.129549 71.655 26.2496
1.137734 71.805 25.8815
1.145979 71.954 25.5161
1.154283 72.103 25.1531
1.162647 72.252 24.7924
1.171072 72.401 24.4338
1.179558 72.549 24.0770
1.188106 72.697 23.7219
1.196715 72.846 23.3682
1.205387 72.994 23.0157
1.214122 73.141 22.6642
1.222920 73.289 22.3135
1.231782 73.436 21.9633
1.240708 73.584 21.6134
1.249699 73.731 21.2636
1.258754 73.878 20.9136
1.267876 74.025 20.5632
1.277063 74.172 20.2122
1.286318 74.319 19.8603
1.295639 74.465 19.5073
1.305027 74.612 19.1530
1.314484 74.759 18.7971
1.324009 74.906 18.4394
1.333604 75.052 18.0796
1.343268 75.199 17.7175
1.353002 75.346 17.3529
1.362806 75.493 16.9855
1.372681 75.640 16.6150
1.382628 75.787 16.2412
1.392647 75.935 15.8640
1.402739 76.083 15.4829
1.412904 76.230 15.0978
1.423142 76.379 14.7085
1.433455 76.527 14.3147
1.443843 76.676 13.9164
1.454305 76.825 13.5138
1.464844 76.974 13.1080
1.475459 77.124 12.7009
1.486150 77.273 12.2944
1.496920 77.421 11.8896
1.507767 77.570 11.4865
1.518693 77.718 11.0851
1.529698 77.865 10.6852
1.540783 78.012 10.2864
1.551948 78.159 9.8884
1.563194 78.306 9.4909
1.574521 78.452 9.0936
1.585931 78.597 8.6961
1.597423 78.743 8.2982
1.608999 78.888 7.8993
1.620658 79.032 7.4993
1.632402 79.177 7.0978
1.644232 79.321 6.6943
1.656146 79.465 6.2886
1.668147 79.609 5.8803
1.680235 79.752 5.4691
1.692411 79.896 5.0545
1.704675 80.039 4.6362
1.717028 80.182 4.2139
1.729470 80.325 3.7871
1.742003 80.467 3.3555
1.754626 80.610 2.9187
1.767341 80.753 2.4764
1.780147 80.896 2.0281
1.793047 81.039 1.5735
1.806040 81.181 1.1124
1.819128 81.324 0.6447
1.832310 81.467 0.1708
1.845587 81.610 -0.3079
1.858961 81.752 -0.7903
1.872432 81.894 -1.2756
1.886001 82.035 -1.7632
1.899667 82.175 -2.2530
1.913433 82.315 -2.7446
1.927299 82.454 -3.2381
1.941265 82.593 -3.7332
1.955332 82.731 -4.2299
1.969501 82.869 -4.7282
1.983773 83.006 -5.2280
1.998148 83.143 -5.7293
2.012627 83.279 -6.2322
2.027212 83.415 -6.7368
2.041902 83.551 -7.2430
2.056698 83.686 -7.7511
2.071602 83.820 -8.2611
2.086614 83.955 -8.7733
2.101734 84.089 -9.2877
2.116964 84.223 -9.8046
2.132304 84.356 -10.3243
2.147756 84.490 -10.8470
2.163320 84.623 -11.3729
2.178996 84.756 -11.9024
2.194786 84.889 -12.4359
2.210690 85.021 -12.9735
2.226710 85.153 -13.5154
2.242845 85.284 -14.0613
2.259098 85.414 -14.6108
2.275468 85.544 -15.1635
2.291957 85.672 -15.7191
2.308566 85.800 -16.2772
2.325295 85.928 -16.8374
2.342145 86.054 -17.3995
2.359117 86.180 -17.9632
2.376212 86.306 -18.5283
2.393431 86.430 -19.0946
2.410775 86.555 -19.6619
2.428244 86.678 -20.2302
2.445840 86.801 -20.7993
2.463564 86.924 -21.3691
2.481416 87.046 -21.9397
2.499397 87.168 -22.5111
2.517509 87.289 -23.0834
2.535752 87.411 -23.6568
2.554127 87.531 -24.2318
2.572635 87.651 -24.8095
2.591277 87.771 -25.3909
2.610055 87.890 -25.9766
2.628968 88.007 -26.5666
2.648019 88.124 -27.1603
2.667208 88.240 -27.7572
2.686535 88.355 -28.3568
2.706003 88.469 -28.9585
2.725612 88.583 -29.5618
2.745363 88.696 -30.1662
2.765257 88.808 -30.7714
2.785295 88.919 -31.3767
2.805478 89.030 -31.9819
2.825808 89.140 -32.5867
2.846285 89.249 -33.1906
2.866910 89.358 -33.7935
2.887685 89.467 -34.3952
2.908611 89.575 -34.9959
2.929688 89.683 -35.5965
2.950917 89.790 -36.1986
2.972301 89.896 -36.8038
2.993839 90.001 -37.4124
3.015534 90.106 -38.0243
3.037386 90.209 -38.6388
3.059396 90.311 -39.2555
3.081565 90.413 -39.8737
3.103896 90.513 -40.4926
3.126388 90.613 -41.1118
3.149043 90.713 -41.7305
3.171862 90.811 -42.3483
3.194847 90.909 -42.9645
3.217998 91.007 -43.5786
3.241317 91.104 -44.1903
3.264805 91.201 -44.7992
3.288463 91.297 -45.4059
3.312293 91.393 -46.0116
3.336295 91.488 -46.6179
3.360471 91.582 -47.2258
3.384822 91.675 -47.8354
3.409350 91.768 -48.4463
3.434056 91.859 -49.0582
3.458940 91.950 -49.6704
3.484005 92.040 -50.2825
3.509252 92.129 -50.8939
3.534681 92.218 -51.5041
3.560295 92.307 -52.1126
3.586094 92.395 -52.7189
3.612081 92.483 -53.3226
3.638255 92.570 -53.9235
3.664620 92.657 -54.5220
3.691175 92.744 -55.1193
3.717923 92.830 -55.7164
3.744864 92.916 -56.3137
3.772001 93.000 -56.9114
3.799335 93.084 -57.5092
3.826866 93.168 -58.1068
3.854597 93.251 -58.7041
3.882529 93.334 -59.3008
3.910664 93.416 -59.8964
3.939002 93.498 -60.4909
3.967546 93.580 -61.0839
3.996296 93.661 -61.6752
4.025255 93.743 -62.2649
4.054423 93.824 -62.8535
4.083804 93.905 -63.4416
4.113396 93.986 -64.0296
4.143204 94.066 -64.6176
4.173227 94.145 -65.2057
4.203468 94.225 -65.7940
4.233928 94.304 -66.3824
4.264609 94.382 -66.9711
4.295512 94.461 -67.5599
4.326639 94.539 -68.1490
4.357992 94.617 -68.7384
4.389572 94.695 -69.3283
4.421380 94.773 -69.9189
4.453419 94.851 -70.5105
4.485691 94.928 -71.1033
4.518196 95.005 -71.6972
4.550936 95.082 -72.2924
4.583914 95.159 -72.8888
4.617131 95.235 -73.4866
4.650589 95.310 -74.0858
4.684289 95.386 -74.6864
4.718233 95.461 -75.2887
4.752424 95.536 -75.8931
4.786862 95.610 -76.4998
4.821549 95.684 -77.1095
4.856488 95.758 -77.7221
4.891680 95.831 -78.3375
4.927127 95.904 -78.9554
4.962831 95.976 -79.5753
4.998794 96.048 -80.1972
5.035017 96.119 -80.8206
5.071503 96.190 -81.4456
5.108253 96.259 -82.0725
5.145270 96.329 -82.7019
5.182555 96.397 -83.3348
5.220110 96.465 -83.9718
5.257937 96.532 -84.6122
5.296038 96.598 -85.2555
5.334415 96.663 -85.9006
5.373071 96.728 -86.5468
5.412006 96.792 -87.1933
5.451224 96.855 -87.8396
5.490725 96.916 -88.4861
5.530514 96.977 -89.1341
5.570590 97.037 -89.7848
5.610957 97.096 -90.4383
5.651616 97.154 -91.0938
5.692570 97.210 -91.7501
5.733821 97.266 -92.4058
5.775370 97.321 -93.0597
5.817221 97.375 -93.7110
5.859375 97.428 -94.3595
5.901834 97.480 -95.0067
5.944602 97.530 -95.6537
5.987679 97.580 -96.3008
6.031068 97.628 -96.9471
6.074771 97.675 -97.5917
6.118792 97.722 -98.2332
6.163131 97.768 -98.8706
6.207792 97.813 -99.5030
6.252776 97.857 -100.1307
6.298086 97.901 -100.7549
6.343725 97.943 -101.3761
6.389694 97.985 -101.9943
6.435996 98.026 -102.6093
6.482634 98.067 -103.2204
6.529610 98.107 -103.8270
6.576926 98.147 -104.4287
6.624585 98.187 -105.0253
6.672590 98.226 -105.6171
6.720942 98.265 -106.2047
6.769645 98.304 -106.7886
6.818700 98.342 -107.3694
