* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2026 4:40:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Roseselsa Ceramics Mk2 D R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.650 65.7030
0.368865 58.691 65.5972
0.371538 58.750 65.4459
0.374230 58.817 65.2767
0.376942 58.887 65.1019
0.379673 58.957 64.9259
0.382424 59.029 64.7501
0.385196 59.101 64.5750
0.387987 59.174 64.4007
0.390798 59.247 64.2272
0.393630 59.320 64.0544
0.396483 59.395 63.8824
0.399356 59.469 63.7111
0.402250 59.545 63.5405
0.405165 59.620 63.3706
0.408101 59.697 63.2014
0.411058 59.774 63.0329
0.414037 59.851 62.8649
0.417037 59.929 62.6975
0.420059 60.008 62.5306
0.423103 60.087 62.3643
0.426169 60.167 62.1984
0.429257 60.247 62.0329
0.432368 60.328 61.8678
0.435501 60.410 61.7031
0.438656 60.492 61.5386
0.441835 60.575 61.3744
0.445037 60.658 61.2103
0.448262 60.742 61.0464
0.451510 60.826 60.8826
0.454782 60.911 60.7188
0.458077 60.997 60.5550
0.461397 61.083 60.3911
0.464740 61.170 60.2271
0.468108 61.258 60.0628
0.471500 61.346 59.8983
0.474917 61.435 59.7334
0.478358 61.525 59.5681
0.481825 61.615 59.4024
0.485316 61.706 59.2361
0.488833 61.797 59.0692
0.492375 61.889 58.9016
0.495943 61.982 58.7333
0.499537 62.076 58.5642
0.503157 62.170 58.3941
0.506803 62.265 58.2231
0.510475 62.360 58.0510
0.514175 62.457 57.8778
0.517900 62.554 57.7034
0.521653 62.651 57.5277
0.525434 62.750 57.3506
0.529241 62.849 57.1721
0.533076 62.948 56.9921
0.536939 63.049 56.8104
0.540830 63.150 56.6271
0.544749 63.252 56.4420
0.548696 63.355 56.2550
0.552673 63.458 56.0661
0.556677 63.563 55.8752
0.560711 63.668 55.6822
0.564774 63.773 55.4870
0.568867 63.880 55.2895
0.572989 63.987 55.0897
0.577141 64.095 54.8874
0.581324 64.204 54.6826
0.585536 64.313 54.4752
0.589779 64.424 54.2651
0.594053 64.535 54.0521
0.598358 64.647 53.8364
0.602694 64.760 53.6176
0.607061 64.874 53.3958
0.611460 64.988 53.1709
0.615891 65.103 52.9428
0.620354 65.219 52.7113
0.624849 65.336 52.4765
0.629377 65.454 52.2382
0.633938 65.573 51.9963
0.638532 65.692 51.7508
0.643159 65.813 51.5016
0.647819 65.934 51.2485
0.652514 66.056 50.9916
0.657242 66.179 50.7306
0.662005 66.303 50.4657
0.666802 66.428 50.1965
0.671634 66.554 49.9231
0.676501 66.680 49.6454
0.681403 66.808 49.3633
0.686341 66.936 49.0768
0.691314 67.066 48.7856
0.696324 67.196 48.4899
0.701370 67.328 48.1894
0.706452 67.460 47.8841
0.711571 67.593 47.5740
0.716728 67.727 47.2591
0.721921 67.861 46.9394
0.727153 67.994 46.6156
0.732422 68.125 46.2889
0.737729 68.250 45.9619
0.743075 68.371 45.6371
0.748460 68.492 45.3157
0.753883 68.612 44.9981
0.759346 68.732 44.6845
0.764849 68.852 44.3745
0.770391 68.972 44.0682
0.775974 69.093 43.7654
0.781597 69.213 43.4657
0.787261 69.334 43.1692
0.792966 69.455 42.8754
0.798712 69.576 42.5844
0.804500 69.697 42.2957
0.810329 69.818 42.0093
0.816201 69.940 41.7250
0.822116 70.061 41.4424
0.828073 70.183 41.1614
0.834074 70.305 40.8818
0.840118 70.427 40.6034
0.846206 70.549 40.3259
0.852338 70.671 40.0492
0.858514 70.794 39.7729
0.864735 70.917 39.4970
0.871001 71.039 39.2211
0.877313 71.162 38.9450
0.883670 71.286 38.6685
0.890074 71.409 38.3915
0.896524 71.533 38.1136
0.903020 71.657 37.8347
0.909564 71.781 37.5545
0.916155 71.905 37.2729
0.922794 72.029 36.9895
0.929481 72.154 36.7042
0.936216 72.279 36.4168
0.943000 72.404 36.1269
0.949834 72.530 35.8346
0.956717 72.655 35.5394
0.963649 72.781 35.2411
0.970632 72.908 34.9397
0.977666 73.034 34.6348
0.984750 73.161 34.3262
0.991886 73.288 34.0137
0.999074 73.416 33.6972
1.006314 73.544 33.3763
1.013606 73.672 33.0508
1.020951 73.801 32.7206
1.028349 73.930 32.3855
1.035801 74.060 32.0452
1.043307 74.190 31.6994
1.050867 74.320 31.3481
1.058482 74.451 30.9909
1.066152 74.583 30.6278
1.073878 74.714 30.2584
1.081660 74.847 29.8828
1.089498 74.980 29.5012
1.097393 75.113 29.1144
1.105345 75.247 28.7244
1.113355 75.381 28.3333
1.121423 75.515 27.9425
1.129549 75.649 27.5523
1.137734 75.783 27.1631
1.145979 75.917 26.7747
1.154283 76.051 26.3871
1.162647 76.186 26.0003
1.171072 76.320 25.6142
1.179558 76.454 25.2286
1.188106 76.588 24.8436
1.196715 76.722 24.4588
1.205387 76.856 24.0744
1.214122 76.990 23.6900
1.222920 77.125 23.3057
1.231782 77.259 22.9212
1.240708 77.393 22.5364
1.249699 77.527 22.1512
1.258754 77.662 21.7654
1.267876 77.796 21.3789
1.277063 77.931 20.9914
1.286318 78.065 20.6029
1.295639 78.200 20.2131
1.305027 78.335 19.8219
1.314484 78.469 19.4291
1.324009 78.604 19.0344
1.333604 78.739 18.6378
1.343268 78.874 18.2389
1.353002 79.010 17.8376
1.362806 79.145 17.4338
1.372681 79.280 17.0271
1.382628 79.416 16.6173
1.392647 79.552 16.2043
1.402739 79.688 15.7879
1.412904 79.824 15.3677
1.423142 79.961 14.9436
1.433455 80.098 14.5154
1.443843 80.235 14.0830
1.454305 80.372 13.6465
1.464844 80.509 13.2066
1.475459 80.647 12.7650
1.486150 80.784 12.3232
1.496920 80.921 11.8819
1.507767 81.058 11.4414
1.518693 81.195 11.0016
1.529698 81.331 10.5624
1.540783 81.468 10.1236
1.551948 81.603 9.6851
1.563194 81.739 9.2465
1.574521 81.875 8.8077
1.585931 82.010 8.3684
1.597423 82.145 7.9284
1.608999 82.280 7.4875
1.620658 82.415 7.0453
1.632402 82.549 6.6016
1.644232 82.684 6.1560
1.656146 82.818 5.7084
1.668147 82.952 5.2585
1.680235 83.086 4.8058
1.692411 83.220 4.3501
1.704675 83.353 3.8911
1.717028 83.487 3.4285
1.729470 83.620 2.9618
1.742003 83.754 2.4908
1.754626 83.887 2.0152
1.767341 84.021 1.5345
1.780147 84.154 1.0484
1.793047 84.288 0.5566
1.806040 84.421 0.0587
1.819128 84.555 -0.4454
1.832310 84.688 -0.9555
1.845587 84.821 -1.4708
1.858961 84.954 -1.9906
1.872432 85.086 -2.5141
1.886001 85.218 -3.0408
1.899667 85.350 -3.5705
1.913433 85.481 -4.1027
1.927299 85.611 -4.6372
1.941265 85.741 -5.1738
1.955332 85.871 -5.7123
1.969501 86.000 -6.2526
1.983773 86.129 -6.7944
1.998148 86.257 -7.3377
2.012627 86.385 -7.8824
2.027212 86.512 -8.4284
2.041902 86.640 -8.9758
2.056698 86.767 -9.5245
2.071602 86.893 -10.0746
2.086614 87.019 -10.6262
2.101734 87.145 -11.1793
2.116964 87.271 -11.7341
2.132304 87.397 -12.2907
2.147756 87.522 -12.8493
2.163320 87.648 -13.4101
2.178996 87.773 -13.9736
2.194786 87.897 -14.5401
2.210690 88.022 -15.1104
2.226710 88.146 -15.6849
2.242845 88.269 -16.2637
2.259098 88.392 -16.8464
2.275468 88.513 -17.4326
2.291957 88.635 -18.0218
2.308566 88.755 -18.6136
2.325295 88.875 -19.2076
2.342145 88.994 -19.8033
2.359117 89.113 -20.4005
2.376212 89.231 -20.9989
2.393431 89.349 -21.5980
2.410775 89.466 -22.1977
2.428244 89.582 -22.7978
2.445840 89.699 -23.3981
2.463564 89.814 -23.9984
2.481416 89.930 -24.5985
2.499397 90.045 -25.1985
2.517509 90.160 -25.7984
2.535752 90.274 -26.3982
2.554127 90.388 -26.9986
2.572635 90.502 -27.6007
2.591277 90.615 -28.2059
2.610055 90.727 -28.8150
2.628968 90.838 -29.4279
2.648019 90.949 -30.0443
2.667208 91.059 -30.6636
2.686535 91.168 -31.2853
2.706003 91.276 -31.9087
2.725612 91.384 -32.5335
2.745363 91.490 -33.1591
2.765257 91.597 -33.7849
2.785295 91.703 -34.4105
2.805478 91.808 -35.0356
2.825808 91.912 -35.6596
2.846285 92.017 -36.2822
2.866910 92.121 -36.9031
2.887685 92.224 -37.5220
2.908611 92.328 -38.1392
2.929688 92.431 -38.7554
2.950917 92.533 -39.3723
2.972301 92.635 -39.9912
2.993839 92.735 -40.6128
3.015534 92.835 -41.2370
3.037386 92.934 -41.8632
3.059396 93.033 -42.4910
3.081565 93.130 -43.1197
3.103896 93.227 -43.7490
3.126388 93.323 -44.3781
3.149043 93.419 -45.0065
3.171862 93.515 -45.6338
3.194847 93.609 -46.2594
3.217998 93.704 -46.8827
3.241317 93.798 -47.5035
3.264805 93.892 -48.1215
3.288463 93.986 -48.7369
3.312293 94.080 -49.3509
3.336295 94.172 -49.9649
3.360471 94.264 -50.5796
3.384822 94.356 -51.1953
3.409350 94.446 -51.8117
3.434056 94.536 -52.4285
3.458940 94.626 -53.0455
3.484005 94.715 -53.6622
3.509252 94.803 -54.2784
3.534681 94.892 -54.8935
3.560295 94.980 -55.5073
3.586094 95.067 -56.1195
3.612081 95.155 -56.7297
3.638255 95.242 -57.3378
3.664620 95.329 -57.9442
3.691175 95.416 -58.5495
3.717923 95.503 -59.1547
3.744864 95.589 -59.7601
3.772001 95.674 -60.3657
3.799335 95.759 -60.9715
3.826866 95.844 -61.5773
3.854597 95.928 -62.1831
3.882529 96.012 -62.7887
3.910664 96.096 -63.3940
3.939002 96.179 -63.9989
3.967546 96.263 -64.6032
3.996296 96.346 -65.2070
4.025255 96.429 -65.8104
4.054423 96.512 -66.4138
4.083804 96.595 -67.0175
4.113396 96.678 -67.6219
4.143204 96.760 -68.2270
4.173227 96.841 -68.8329
4.203468 96.923 -69.4395
4.233928 97.004 -70.0468
4.264609 97.085 -70.6549
4.295512 97.166 -71.2638
4.326639 97.246 -71.8736
4.357992 97.326 -72.4843
4.389572 97.406 -73.0964
4.421380 97.486 -73.7101
4.453419 97.565 -74.3260
4.485691 97.644 -74.9441
4.518196 97.723 -75.5643
4.550936 97.801 -76.1865
4.583914 97.879 -76.8102
4.617131 97.956 -77.4355
4.650589 98.033 -78.0621
4.684289 98.110 -78.6899
4.718233 98.186 -79.3190
4.752424 98.261 -79.9497
4.786862 98.336 -80.5829
4.821549 98.410 -81.2192
4.856488 98.484 -81.8589
4.891680 98.557 -82.5017
4.927127 98.630 -83.1469
4.962831 98.701 -83.7939
4.998794 98.773 -84.4421
5.035017 98.843 -85.0909
5.071503 98.913 -85.7400
5.108253 98.982 -86.3895
5.145270 99.050 -87.0402
5.182555 99.117 -87.6934
5.220110 99.183 -88.3498
5.257937 99.249 -89.0090
5.296038 99.313 -89.6701
5.334415 99.377 -90.3323
5.373071 99.440 -90.9943
5.412006 99.502 -91.6554
5.451224 99.563 -92.3149
5.490725 99.623 -92.9730
5.530514 99.683 -93.6308
5.570590 99.741 -94.2897
5.610957 99.798 -94.9500
5.651616 99.854 -95.6109
5.692570 99.909 -96.2718
5.733821 99.964 -96.9313
5.775370 100.017 -97.5886
5.817221 100.070 -98.2428
5.859375 100.122 -98.8939
5.901834 100.173 -99.5426
5.944602 100.223 -100.1902
5.987679 100.273 -100.8370
6.031068 100.321 -101.4826
6.074771 100.369 -102.1265
6.118792 100.415 -102.7680
6.163131 100.462 -103.4064
6.207792 100.508 -104.0415
6.252776 100.553 -104.6732
6.298086 100.598 -105.3022
6.343725 100.641 -105.9292
6.389694 100.685 -106.5543
6.435996 100.728 -107.1774
6.482634 100.770 -107.7987
6.529610 100.812 -108.4179
6.576926 100.853 -109.0349
6.624585 100.895 -109.6499
6.672590 100.936 -110.2631
6.720942 100.976 -110.8748
6.769645 101.016 -111.4853
6.818700 101.056 -112.0949
