* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2026 4:39:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Roseselsa Ceramics Mk2 R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 57.104 39.1344
0.368865 57.147 39.0977
0.371538 57.207 39.0462
0.374230 57.276 38.9900
0.376942 57.348 38.9337
0.379673 57.421 38.8789
0.382424 57.495 38.8260
0.385196 57.569 38.7752
0.387987 57.644 38.7264
0.390798 57.719 38.6796
0.393630 57.795 38.6348
0.396483 57.872 38.5917
0.399356 57.949 38.5505
0.402250 58.026 38.5110
0.405165 58.104 38.4732
0.408101 58.183 38.4369
0.411058 58.263 38.4022
0.414037 58.342 38.3689
0.417037 58.423 38.3369
0.420059 58.504 38.3062
0.423103 58.586 38.2768
0.426169 58.668 38.2484
0.429257 58.751 38.2211
0.432368 58.834 38.1947
0.435501 58.918 38.1692
0.438656 59.003 38.1444
0.441835 59.088 38.1203
0.445037 59.174 38.0968
0.448262 59.261 38.0738
0.451510 59.348 38.0512
0.454782 59.435 38.0289
0.458077 59.524 38.0068
0.461397 59.613 37.9848
0.464740 59.703 37.9628
0.468108 59.793 37.9408
0.471500 59.884 37.9186
0.474917 59.976 37.8960
0.478358 60.068 37.8731
0.481825 60.161 37.8498
0.485316 60.255 37.8258
0.488833 60.349 37.8012
0.492375 60.444 37.7757
0.495943 60.540 37.7494
0.499537 60.636 37.7221
0.503157 60.733 37.6937
0.506803 60.831 37.6641
0.510475 60.929 37.6332
0.514175 61.029 37.6009
0.517900 61.129 37.5671
0.521653 61.229 37.5317
0.525434 61.331 37.4946
0.529241 61.433 37.4557
0.533076 61.536 37.4149
0.536939 61.639 37.3721
0.540830 61.744 37.3272
0.544749 61.849 37.2801
0.548696 61.955 37.2308
0.552673 62.062 37.1790
0.556677 62.169 37.1247
0.560711 62.277 37.0679
0.564774 62.386 37.0084
0.568867 62.496 36.9461
0.572989 62.607 36.8810
0.577141 62.718 36.8129
0.581324 62.830 36.7418
0.585536 62.943 36.6676
0.589779 63.057 36.5901
0.594053 63.172 36.5094
0.598358 63.287 36.4253
0.602694 63.403 36.3377
0.607061 63.521 36.2467
0.611460 63.639 36.1519
0.615891 63.758 36.0535
0.620354 63.877 35.9514
0.624849 63.998 35.8453
0.629377 64.119 35.7354
0.633938 64.242 35.6215
0.638532 64.365 35.5035
0.643159 64.489 35.3814
0.647819 64.614 35.2552
0.652514 64.740 35.1246
0.657242 64.867 34.9898
0.662005 64.995 34.8506
0.666802 65.123 34.7070
0.671634 65.253 34.5588
0.676501 65.384 34.4062
0.681403 65.515 34.2490
0.686341 65.648 34.0871
0.691314 65.781 33.9205
0.696324 65.915 33.7493
0.701370 66.051 33.5732
0.706452 66.187 33.3924
0.711571 66.324 33.2067
0.716728 66.463 33.0163
0.721921 66.601 32.8213
0.727153 66.739 32.6222
0.732422 66.873 32.4206
0.737729 67.003 32.2190
0.743075 67.130 32.0198
0.748460 67.256 31.8243
0.753883 67.381 31.6328
0.759346 67.506 31.4453
0.764849 67.632 31.2614
0.770391 67.758 31.0811
0.775974 67.884 30.9039
0.781597 68.010 30.7297
0.787261 68.137 30.5581
0.792966 68.264 30.3888
0.798712 68.391 30.2217
0.804500 68.518 30.0564
0.810329 68.646 29.8927
0.816201 68.774 29.7303
0.822116 68.902 29.5689
0.828073 69.030 29.4084
0.834074 69.158 29.2483
0.840118 69.287 29.0886
0.846206 69.416 28.9289
0.852338 69.545 28.7689
0.858514 69.675 28.6085
0.864735 69.805 28.4474
0.871001 69.935 28.2854
0.877313 70.065 28.1222
0.883670 70.195 27.9576
0.890074 70.326 27.7913
0.896524 70.457 27.6232
0.903020 70.588 27.4531
0.909564 70.720 27.2806
0.916155 70.852 27.1057
0.922794 70.984 26.9280
0.929481 71.116 26.7474
0.936216 71.249 26.5636
0.943000 71.382 26.3766
0.949834 71.515 26.1859
0.956717 71.648 25.9916
0.963649 71.782 25.7933
0.970632 71.916 25.5909
0.977666 72.051 25.3842
0.984750 72.186 25.1729
0.991886 72.321 24.9570
0.999074 72.456 24.7363
1.006314 72.592 24.5105
1.013606 72.728 24.2794
1.020951 72.865 24.0430
1.028349 73.002 23.8010
1.035801 73.139 23.5533
1.043307 73.277 23.2996
1.050867 73.415 23.0399
1.058482 73.554 22.7740
1.066152 73.693 22.5017
1.073878 73.832 22.2229
1.081660 73.972 21.9377
1.089498 74.113 21.6464
1.097393 74.253 21.3501
1.105345 74.394 21.0510
1.113355 74.536 20.7517
1.121423 74.677 20.4534
1.129549 74.818 20.1567
1.137734 74.959 19.8616
1.145979 75.100 19.5679
1.154283 75.242 19.2755
1.162647 75.383 18.9843
1.171072 75.524 18.6939
1.179558 75.665 18.4041
1.188106 75.806 18.1148
1.196715 75.947 17.8258
1.205387 76.088 17.5368
1.214122 76.229 17.2477
1.222920 76.371 16.9581
1.231782 76.512 16.6679
1.240708 76.653 16.3769
1.249699 76.794 16.0849
1.258754 76.935 15.7916
1.267876 77.077 15.4967
1.277063 77.218 15.2002
1.286318 77.359 14.9018
1.295639 77.501 14.6012
1.305027 77.642 14.2982
1.314484 77.784 13.9926
1.324009 77.925 13.6843
1.333604 78.067 13.3728
1.343268 78.209 13.0581
1.353002 78.351 12.7399
1.362806 78.493 12.4180
1.372681 78.636 12.0922
1.382628 78.778 11.7621
1.392647 78.921 11.4277
1.402739 79.064 11.0886
1.412904 79.207 10.7447
1.423142 79.350 10.3957
1.433455 79.494 10.0415
1.443843 79.638 9.6820
1.454305 79.782 9.3174
1.464844 79.926 8.9490
1.475459 80.071 8.5785
1.486150 80.215 8.2082
1.496920 80.359 7.8389
1.507767 80.503 7.4708
1.518693 80.646 7.1038
1.529698 80.789 6.7376
1.540783 80.932 6.3720
1.551948 81.075 6.0066
1.563194 81.218 5.6411
1.574521 81.360 5.2751
1.585931 81.502 4.9084
1.597423 81.643 4.5405
1.608999 81.785 4.1712
1.620658 81.926 3.8001
1.632402 82.067 3.4268
1.644232 82.208 3.0510
1.656146 82.349 2.6724
1.668147 82.490 2.2906
1.680235 82.630 1.9052
1.692411 82.771 1.5159
1.704675 82.911 1.1223
1.717028 83.051 0.7241
1.729470 83.191 0.3209
1.742003 83.331 -0.0877
1.754626 83.471 -0.5020
1.767341 83.612 -0.9225
1.780147 83.752 -1.3494
1.793047 83.892 -1.7831
1.806040 84.032 -2.2239
1.819128 84.172 -2.6718
1.832310 84.312 -3.1261
1.845587 84.452 -3.5856
1.858961 84.592 -4.0490
1.872432 84.731 -4.5153
1.886001 84.870 -4.9841
1.899667 85.008 -5.4553
1.913433 85.146 -5.9286
1.927299 85.283 -6.4040
1.941265 85.420 -6.8814
1.955332 85.556 -7.3607
1.969501 85.692 -7.8420
1.983773 85.827 -8.3253
1.998148 85.962 -8.8105
2.012627 86.097 -9.2978
2.027212 86.231 -9.7872
2.041902 86.365 -10.2789
2.056698 86.499 -10.7729
2.071602 86.632 -11.2695
2.086614 86.765 -11.7688
2.101734 86.898 -12.2710
2.116964 87.031 -12.7764
2.132304 87.163 -13.2852
2.147756 87.295 -13.7976
2.163320 87.427 -14.3139
2.178996 87.559 -14.8344
2.194786 87.691 -15.3595
2.210690 87.822 -15.8890
2.226710 87.953 -16.4230
2.242845 88.083 -16.9611
2.259098 88.212 -17.5029
2.275468 88.341 -18.0481
2.291957 88.469 -18.5963
2.308566 88.597 -19.1472
2.325295 88.723 -19.7005
2.342145 88.849 -20.2560
2.359117 88.975 -20.8135
2.376212 89.100 -21.3728
2.393431 89.224 -21.9338
2.410775 89.348 -22.4964
2.428244 89.472 -23.0605
2.445840 89.595 -23.6260
2.463564 89.717 -24.1930
2.481416 89.840 -24.7614
2.499397 89.961 -25.3314
2.517509 90.083 -25.9031
2.535752 90.204 -26.4767
2.554127 90.325 -27.0528
2.572635 90.445 -27.6320
2.591277 90.565 -28.2155
2.610055 90.684 -28.8036
2.628968 90.802 -29.3961
2.648019 90.919 -29.9926
2.667208 91.035 -30.5926
2.686535 91.151 -31.1955
2.706003 91.266 -31.8010
2.725612 91.380 -32.4085
2.745363 91.493 -33.0176
2.765257 91.606 -33.6279
2.785295 91.718 -34.2391
2.805478 91.829 -34.8508
2.825808 91.940 -35.4628
2.846285 92.051 -36.0748
2.866910 92.161 -36.6866
2.887685 92.270 -37.2982
2.908611 92.379 -37.9098
2.929688 92.488 -38.5223
2.950917 92.596 -39.1372
2.972301 92.703 -39.7558
2.993839 92.809 -40.3785
3.015534 92.915 -41.0051
3.037386 93.019 -41.6349
3.059396 93.122 -42.2674
3.081565 93.225 -42.9019
3.103896 93.327 -43.5379
3.126388 93.428 -44.1747
3.149043 93.529 -44.8118
3.171862 93.628 -45.4485
3.194847 93.728 -46.0845
3.217998 93.826 -46.7192
3.241317 93.925 -47.3523
3.264805 94.022 -47.9837
3.288463 94.120 -48.6139
3.312293 94.216 -49.2441
3.336295 94.312 -49.8763
3.360471 94.407 -50.5112
3.384822 94.501 -51.1489
3.409350 94.594 -51.7888
3.434056 94.687 -52.4306
3.458940 94.778 -53.0735
3.484005 94.869 -53.7169
3.509252 94.959 -54.3603
3.534681 95.048 -55.0030
3.560295 95.137 -55.6445
3.586094 95.226 -56.2841
3.612081 95.314 -56.9216
3.638255 95.401 -57.5569
3.664620 95.488 -58.1905
3.691175 95.575 -58.8239
3.717923 95.660 -59.4585
3.744864 95.745 -60.0947
3.772001 95.829 -60.7323
3.799335 95.913 -61.3711
3.826866 95.995 -62.0104
3.854597 96.077 -62.6497
3.882529 96.159 -63.2886
3.910664 96.239 -63.9264
3.939002 96.320 -64.5628
3.967546 96.400 -65.1972
3.996296 96.479 -65.8293
4.025255 96.559 -66.4596
4.054423 96.638 -67.0889
4.083804 96.716 -67.7183
4.113396 96.793 -68.3484
4.143204 96.870 -68.9793
4.173227 96.946 -69.6106
4.203468 97.022 -70.2420
4.233928 97.097 -70.8732
4.264609 97.172 -71.5039
4.295512 97.246 -72.1336
4.326639 97.320 -72.7620
4.357992 97.394 -73.3890
4.389572 97.467 -74.0148
4.421380 97.540 -74.6399
4.453419 97.612 -75.2654
4.485691 97.684 -75.8914
4.518196 97.755 -76.5181
4.550936 97.826 -77.1452
4.583914 97.896 -77.7726
4.617131 97.966 -78.3998
4.650589 98.036 -79.0268
4.684289 98.105 -79.6531
4.718233 98.174 -80.2787
4.752424 98.242 -80.9038
4.786862 98.310 -81.5288
4.821549 98.378 -82.1545
4.856488 98.445 -82.7812
4.891680 98.511 -83.4089
4.927127 98.577 -84.0373
4.962831 98.643 -84.6662
4.998794 98.708 -85.2952
5.035017 98.773 -85.9242
5.071503 98.837 -86.5529
5.108253 98.901 -87.1813
5.145270 98.964 -87.8100
5.182555 99.027 -88.4397
5.220110 99.090 -89.0707
5.257937 99.152 -89.7031
5.296038 99.213 -90.3365
5.334415 99.274 -90.9706
5.373071 99.334 -91.6049
5.412006 99.394 -92.2391
5.451224 99.454 -92.8731
5.490725 99.512 -93.5069
5.530514 99.571 -94.1413
5.570590 99.628 -94.7770
5.610957 99.686 -95.4141
5.651616 99.742 -96.0523
5.692570 99.798 -96.6913
5.733821 99.853 -97.3305
5.775370 99.908 -97.9695
5.817221 99.963 -98.6081
5.859375 100.016 -99.2463
5.901834 100.069 -99.8848
5.944602 100.122 -100.5243
5.987679 100.174 -101.1649
6.031068 100.225 -101.8064
6.074771 100.276 -102.4482
6.118792 100.326 -103.0898
6.163131 100.375 -103.7310
6.207792 100.424 -104.3715
6.252776 100.472 -105.0117
6.298086 100.520 -105.6524
6.343725 100.567 -106.2939
6.389694 100.613 -106.9360
6.435996 100.658 -107.5782
6.482634 100.703 -108.2202
6.529610 100.748 -108.8616
6.576926 100.792 -109.5022
6.624585 100.835 -110.1424
6.672590 100.877 -110.7828
6.720942 100.919 -111.4238
6.769645 100.960 -112.0649
