* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:26:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SGOR Luna 400 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.719 147.4232
0.368865 36.718 147.3610
0.371538 36.718 147.2682
0.374230 36.717 147.1522
0.376942 36.716 147.0196
0.379673 36.715 146.8750
0.382424 36.714 146.7216
0.385196 36.713 146.5613
0.387987 36.712 146.3952
0.390798 36.710 146.2237
0.393630 36.709 146.0473
0.396483 36.708 145.8660
0.399356 36.707 145.6798
0.402250 36.706 145.4888
0.405165 36.705 145.2928
0.408101 36.703 145.0919
0.411058 36.702 144.8859
0.414037 36.701 144.6748
0.417037 36.700 144.4584
0.420059 36.699 144.2368
0.423103 36.697 144.0099
0.426169 36.696 143.7775
0.429257 36.695 143.5396
0.432368 36.694 143.2961
0.435501 36.692 143.0469
0.438656 36.691 142.7920
0.441835 36.690 142.5313
0.445037 36.688 142.2646
0.448262 36.687 141.9920
0.451510 36.686 141.7133
0.454782 36.684 141.4284
0.458077 36.683 141.1373
0.461397 36.682 140.8399
0.464740 36.680 140.5361
0.468108 36.679 140.2258
0.471500 36.678 139.9089
0.474917 36.676 139.5854
0.478358 36.675 139.2552
0.481825 36.673 138.9181
0.485316 36.672 138.5742
0.488833 36.671 138.2233
0.492375 36.669 137.8653
0.495943 36.668 137.5002
0.499537 36.666 137.1280
0.503157 36.665 136.7484
0.506803 36.663 136.3614
0.510475 36.662 135.9671
0.514175 36.660 135.5652
0.517900 36.659 135.1557
0.521653 36.657 134.7385
0.525434 36.656 134.3136
0.529241 36.654 133.8809
0.533076 36.653 133.4403
0.536939 36.651 132.9918
0.540830 36.650 132.5353
0.544749 36.648 132.0707
0.548696 36.646 131.5980
0.552673 36.645 131.1171
0.556677 36.643 130.6279
0.560711 36.641 130.1304
0.564774 36.640 129.6246
0.568867 36.638 129.1104
0.572989 36.636 128.5878
0.577141 36.635 128.0567
0.581324 36.633 127.5170
0.585536 36.631 126.9688
0.589779 36.630 126.4120
0.594053 36.628 125.8466
0.598358 36.626 125.2726
0.602694 36.624 124.6899
0.607061 36.623 124.0985
0.611460 36.621 123.4984
0.615891 36.619 122.8897
0.620354 36.617 122.2722
0.624849 36.615 121.6461
0.629377 36.614 121.0113
0.633938 36.612 120.3678
0.638532 36.610 119.7157
0.643159 36.608 119.0549
0.647819 36.606 118.3855
0.652514 36.604 117.7075
0.657242 36.602 117.0210
0.662005 36.600 116.3260
0.666802 36.598 115.6225
0.671634 36.596 114.9106
0.676501 36.594 114.1903
0.681403 36.593 113.4618
0.686341 36.591 112.7250
0.691314 36.589 111.9800
0.696324 36.587 111.2269
0.701370 36.586 110.4658
0.706452 36.585 109.6966
0.711571 36.585 108.9196
0.716728 36.587 108.1346
0.721921 36.592 107.3417
0.727153 36.601 106.5409
0.732422 36.614 105.7321
0.737729 36.634 104.9154
0.743075 36.660 104.0908
0.748460 36.691 103.2585
0.753883 36.725 102.4186
0.759346 36.764 101.5714
0.764849 36.804 100.7175
0.770391 36.847 99.8570
0.775974 36.893 98.9904
0.781597 36.940 98.1183
0.787261 36.990 97.2410
0.792966 37.041 96.3589
0.798712 37.094 95.4727
0.804500 37.150 94.5826
0.810329 37.207 93.6893
0.816201 37.266 92.7931
0.822116 37.327 91.8946
0.828073 37.390 90.9943
0.834074 37.455 90.0925
0.840118 37.521 89.1898
0.846206 37.590 88.2866
0.852338 37.660 87.3834
0.858514 37.733 86.4806
0.864735 37.807 85.5786
0.871001 37.882 84.6778
0.877313 37.960 83.7786
0.883670 38.039 82.8815
0.890074 38.120 81.9868
0.896524 38.203 81.0947
0.903020 38.287 80.2058
0.909564 38.373 79.3201
0.916155 38.461 78.4382
0.922794 38.550 77.5602
0.929481 38.641 76.6863
0.936216 38.733 75.8169
0.943000 38.826 74.9520
0.949834 38.921 74.0920
0.956717 39.018 73.2370
0.963649 39.115 72.3871
0.970632 39.214 71.5425
0.977666 39.314 70.7032
0.984750 39.415 69.8694
0.991886 39.517 69.0411
0.999074 39.620 68.2185
1.006314 39.725 67.4014
1.013606 39.829 66.5900
1.020951 39.935 65.7843
1.028349 40.042 64.9842
1.035801 40.149 64.1897
1.043307 40.256 63.4009
1.050867 40.364 62.6176
1.058482 40.473 61.8399
1.066152 40.581 61.0678
1.073878 40.691 60.3013
1.081660 40.800 59.5407
1.089498 40.910 58.7862
1.097393 41.021 58.0382
1.105345 41.133 57.2972
1.113355 41.247 56.5639
1.121423 41.362 55.8386
1.129549 41.479 55.1217
1.137734 41.598 54.4132
1.145979 41.719 53.7133
1.154283 41.842 53.0217
1.162647 41.967 52.3384
1.171072 42.094 51.6634
1.179558 42.223 50.9962
1.188106 42.353 50.3369
1.196715 42.486 49.6851
1.205387 42.620 49.0408
1.214122 42.757 48.4036
1.222920 42.894 47.7735
1.231782 43.034 47.1501
1.240708 43.175 46.5334
1.249699 43.317 45.9230
1.258754 43.461 45.3188
1.267876 43.606 44.7205
1.277063 43.753 44.1281
1.286318 43.900 43.5412
1.295639 44.049 42.9597
1.305027 44.199 42.3834
1.314484 44.349 41.8120
1.324009 44.501 41.2455
1.333604 44.653 40.6835
1.343268 44.805 40.1260
1.353002 44.958 39.5727
1.362806 45.112 39.0235
1.372681 45.265 38.4783
1.382628 45.419 37.9367
1.392647 45.573 37.3988
1.402739 45.726 36.8645
1.412904 45.879 36.3335
1.423142 46.032 35.8061
1.433455 46.185 35.2824
1.443843 46.337 34.7627
1.454305 46.488 34.2475
1.464844 46.639 33.7376
1.475459 46.790 33.2340
1.486150 46.941 32.7373
1.496920 47.092 32.2481
1.507767 47.243 31.7665
1.518693 47.394 31.2924
1.529698 47.545 30.8255
1.540783 47.697 30.3652
1.551948 47.849 29.9111
1.563194 48.001 29.4625
1.574521 48.154 29.0188
1.585931 48.307 28.5795
1.597423 48.460 28.1439
1.608999 48.614 27.7114
1.620658 48.768 27.2815
1.632402 48.922 26.8536
1.644232 49.076 26.4271
1.656146 49.231 26.0015
1.668147 49.385 25.5763
1.680235 49.540 25.1509
1.692411 49.696 24.7250
1.704675 49.851 24.2978
1.717028 50.007 23.8692
1.729470 50.163 23.4385
1.742003 50.319 23.0054
1.754626 50.475 22.5695
1.767341 50.632 22.1307
1.780147 50.788 21.6887
1.793047 50.945 21.2436
1.806040 51.102 20.7958
1.819128 51.259 20.3458
1.832310 51.416 19.8947
1.845587 51.573 19.4437
1.858961 51.730 18.9938
1.872432 51.887 18.5458
1.886001 52.044 18.1003
1.899667 52.201 17.6573
1.913433 52.358 17.2168
1.927299 52.515 16.7784
1.941265 52.672 16.3417
1.955332 52.828 15.9064
1.969501 52.985 15.4720
1.983773 53.142 15.0381
1.998148 53.298 14.6040
2.012627 53.455 14.1694
2.027212 53.611 13.7338
2.041902 53.768 13.2966
2.056698 53.925 12.8575
2.071602 54.081 12.4159
2.086614 54.238 11.9714
2.101734 54.394 11.5236
2.116964 54.551 11.0721
2.132304 54.708 10.6166
2.147756 54.865 10.1571
2.163320 55.022 9.6935
2.178996 55.178 9.2263
2.194786 55.335 8.7559
2.210690 55.492 8.2834
2.226710 55.649 7.8096
2.242845 55.805 7.3352
2.259098 55.961 6.8608
2.275468 56.117 6.3864
2.291957 56.273 5.9121
2.308566 56.429 5.4377
2.325295 56.584 4.9628
2.342145 56.739 4.4871
2.359117 56.894 4.0103
2.376212 57.048 3.5319
2.393431 57.203 3.0515
2.410775 57.357 2.5685
2.428244 57.511 2.0827
2.445840 57.664 1.5934
2.463564 57.818 1.1003
2.481416 57.971 0.6030
2.499397 58.124 0.1012
2.517509 58.277 -0.4054
2.535752 58.430 -0.9168
2.554127 58.582 -1.4328
2.572635 58.734 -1.9530
2.591277 58.886 -2.4767
2.610055 59.037 -3.0035
2.628968 59.188 -3.5328
2.648019 59.339 -4.0644
2.667208 59.489 -4.5979
2.686535 59.638 -5.1334
2.706003 59.787 -5.6710
2.725612 59.935 -6.2105
2.745363 60.083 -6.7523
2.765257 60.231 -7.2966
2.785295 60.378 -7.8434
2.805478 60.524 -8.3932
2.825808 60.670 -8.9461
2.846285 60.816 -9.5026
2.866910 60.961 -10.0629
2.887685 61.105 -10.6272
2.908611 61.249 -11.1959
2.929688 61.393 -11.7691
2.950917 61.535 -12.3467
2.972301 61.677 -12.9286
2.993839 61.819 -13.5145
3.015534 61.959 -14.1040
3.037386 62.099 -14.6969
3.059396 62.238 -15.2926
3.081565 62.377 -15.8908
3.103896 62.514 -16.4913
3.126388 62.651 -17.0938
3.149043 62.787 -17.6980
3.171862 62.922 -18.3040
3.194847 63.057 -18.9116
3.217998 63.191 -19.5209
3.241317 63.324 -20.1322
3.264805 63.456 -20.7458
3.288463 63.588 -21.3621
3.312293 63.718 -21.9816
3.336295 63.848 -22.6046
3.360471 63.976 -23.2312
3.384822 64.104 -23.8612
3.409350 64.231 -24.4943
3.434056 64.356 -25.1298
3.458940 64.481 -25.7672
3.484005 64.604 -26.4059
3.509252 64.727 -27.0453
3.534681 64.849 -27.6848
3.560295 64.970 -28.3242
3.586094 65.089 -28.9633
3.612081 65.208 -29.6021
3.638255 65.326 -30.2410
3.664620 65.443 -30.8805
3.691175 65.559 -31.5214
3.717923 65.674 -32.1641
3.744864 65.787 -32.8088
3.772001 65.900 -33.4553
3.799335 66.011 -34.1031
3.826866 66.121 -34.7514
3.854597 66.230 -35.3995
3.882529 66.338 -36.0465
3.910664 66.445 -36.6917
3.939002 66.551 -37.3345
3.967546 66.656 -37.9747
3.996296 66.761 -38.6122
4.025255 66.864 -39.2473
4.054423 66.966 -39.8809
4.083804 67.067 -40.5134
4.113396 67.167 -41.1452
4.143204 67.265 -41.7763
4.173227 67.363 -42.4064
4.203468 67.459 -43.0348
4.233928 67.555 -43.6610
4.264609 67.650 -44.2840
4.295512 67.743 -44.9034
4.326639 67.836 -45.5185
4.357992 67.929 -46.1292
4.389572 68.020 -46.7357
4.421380 68.111 -47.3382
4.453419 68.200 -47.9372
4.485691 68.289 -48.5332
4.518196 68.377 -49.1263
4.550936 68.464 -49.7163
4.583914 68.551 -50.3029
4.617131 68.636 -50.8858
4.650589 68.722 -51.4645
4.684289 68.806 -52.0387
4.718233 68.890 -52.6080
4.752424 68.974 -53.1725
4.786862 69.057 -53.7323
4.821549 69.140 -54.2877
4.856488 69.222 -54.8391
4.891680 69.304 -55.3865
4.927127 69.385 -55.9303
4.962831 69.466 -56.4705
4.998794 69.547 -57.0071
5.035017 69.627 -57.5402
5.071503 69.707 -58.0697
5.108253 69.787 -58.5957
5.145270 69.867 -59.1181
5.182555 69.947 -59.6373
5.220110 70.026 -60.1532
5.257937 70.106 -60.6663
5.296038 70.185 -61.1768
5.334415 70.264 -61.6850
5.373071 70.343 -62.1912
5.412006 70.421 -62.6957
5.451224 70.500 -63.1987
5.490725 70.578 -63.7004
5.530514 70.657 -64.2008
5.570590 70.735 -64.7001
5.610957 70.813 -65.1984
5.651616 70.891 -65.6959
5.692570 70.969 -66.1927
5.733821 71.046 -66.6890
5.775370 71.123 -67.1851
5.817221 71.200 -67.6811
5.859375 71.277 -68.1773
5.901834 71.353 -68.6738
5.944602 71.429 -69.1706
5.987679 71.504 -69.6677
6.031068 71.580 -70.1651
6.074771 71.654 -70.6624
6.118792 71.728 -71.1598
6.163131 71.802 -71.6571
6.207792 71.875 -72.1543
6.252776 71.948 -72.6516
6.298086 72.019 -73.1489
6.343725 72.091 -73.6462
6.389694 72.161 -74.1432
6.435996 72.231 -74.6397
6.482634 72.300 -75.1353
6.529610 72.369 -75.6296
6.576926 72.437 -76.1226
6.624585 72.504 -76.6141
6.672590 72.571 -77.1042
6.720942 72.637 -77.5929
6.769645 72.702 -78.0798
6.818700 72.766 -78.5649
6.868111 72.830 -79.0478
6.917881 72.894 -79.5282
