* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:20:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SGOR Luna R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.113 44.8492
0.368865 42.128 44.8346
0.371538 42.150 44.8130
0.374230 42.177 44.7863
0.376942 42.208 44.7561
0.379673 42.241 44.7238
0.382424 42.275 44.6900
0.385196 42.310 44.6553
0.387987 42.346 44.6199
0.390798 42.382 44.5841
0.393630 42.419 44.5478
0.396483 42.455 44.5112
0.399356 42.493 44.4742
0.402250 42.530 44.4369
0.405165 42.568 44.3993
0.408101 42.606 44.3613
0.411058 42.644 44.3230
0.414037 42.682 44.2843
0.417037 42.721 44.2453
0.420059 42.760 44.2059
0.423103 42.800 44.1661
0.426169 42.839 44.1260
0.429257 42.879 44.0855
0.432368 42.919 44.0446
0.435501 42.960 44.0033
0.438656 43.001 43.9616
0.441835 43.042 43.9195
0.445037 43.083 43.8769
0.448262 43.125 43.8340
0.451510 43.167 43.7906
0.454782 43.209 43.7468
0.458077 43.252 43.7025
0.461397 43.295 43.6577
0.464740 43.338 43.6125
0.468108 43.382 43.5668
0.471500 43.426 43.5206
0.474917 43.470 43.4739
0.478358 43.514 43.4266
0.481825 43.559 43.3789
0.485316 43.604 43.3306
0.488833 43.650 43.2817
0.492375 43.696 43.2323
0.495943 43.742 43.1823
0.499537 43.788 43.1317
0.503157 43.835 43.0804
0.506803 43.882 43.0286
0.510475 43.930 42.9761
0.514175 43.978 42.9229
0.517900 44.026 42.8691
0.521653 44.074 42.8146
0.525434 44.123 42.7593
0.529241 44.172 42.7034
0.533076 44.222 42.6467
0.536939 44.272 42.5892
0.540830 44.322 42.5309
0.544749 44.373 42.4718
0.548696 44.424 42.4118
0.552673 44.476 42.3510
0.556677 44.527 42.2894
0.560711 44.580 42.2268
0.564774 44.632 42.1633
0.568867 44.685 42.0988
0.572989 44.738 42.0333
0.577141 44.792 41.9668
0.581324 44.846 41.8993
0.585536 44.901 41.8307
0.589779 44.956 41.7610
0.594053 45.011 41.6902
0.598358 45.067 41.6181
0.602694 45.123 41.5449
0.607061 45.179 41.4705
0.611460 45.236 41.3947
0.615891 45.293 41.3177
0.620354 45.351 41.2393
0.624849 45.409 41.1594
0.629377 45.468 41.0782
0.633938 45.527 40.9955
0.638532 45.586 40.9112
0.643159 45.646 40.8253
0.647819 45.706 40.7378
0.652514 45.767 40.6487
0.657242 45.828 40.5578
0.662005 45.890 40.4651
0.666802 45.952 40.3706
0.671634 46.015 40.2742
0.676501 46.078 40.1758
0.681403 46.141 40.0753
0.686341 46.205 39.9728
0.691314 46.269 39.8681
0.696324 46.334 39.7611
0.701370 46.399 39.6519
0.706452 46.464 39.5402
0.711571 46.529 39.4261
0.716728 46.593 39.3094
0.721921 46.657 39.1901
0.727153 46.719 39.0680
0.732422 46.779 38.9432
0.737729 46.837 38.8156
0.743075 46.893 38.6851
0.748460 46.946 38.5519
0.753883 46.999 38.4158
0.759346 47.050 38.2769
0.764849 47.100 38.1354
0.770391 47.150 37.9912
0.775974 47.200 37.8443
0.781597 47.249 37.6949
0.787261 47.297 37.5430
0.792966 47.346 37.3887
0.798712 47.394 37.2320
0.804500 47.441 37.0730
0.810329 47.488 36.9118
0.816201 47.535 36.7484
0.822116 47.582 36.5829
0.828073 47.628 36.4153
0.834074 47.674 36.2458
0.840118 47.719 36.0743
0.846206 47.764 35.9010
0.852338 47.809 35.7259
0.858514 47.854 35.5491
0.864735 47.898 35.3706
0.871001 47.942 35.1906
0.877313 47.985 35.0090
0.883670 48.029 34.8260
0.890074 48.072 34.6416
0.896524 48.115 34.4559
0.903020 48.157 34.2690
0.909564 48.199 34.0809
0.916155 48.241 33.8917
0.922794 48.283 33.7014
0.929481 48.325 33.5101
0.936216 48.366 33.3179
0.943000 48.407 33.1249
0.949834 48.449 32.9311
0.956717 48.489 32.7366
0.963649 48.530 32.5414
0.970632 48.571 32.3456
0.977666 48.612 32.1492
0.984750 48.652 31.9524
0.991886 48.693 31.7552
0.999074 48.733 31.5576
1.006314 48.774 31.3596
1.013606 48.814 31.1615
1.020951 48.855 30.9632
1.028349 48.895 30.7647
1.035801 48.936 30.5661
1.043307 48.977 30.3675
1.050867 49.018 30.1688
1.058482 49.059 29.9701
1.066152 49.100 29.7713
1.073878 49.142 29.5724
1.081660 49.184 29.3731
1.089498 49.226 29.1730
1.097393 49.267 28.9718
1.105345 49.309 28.7688
1.113355 49.351 28.5634
1.121423 49.392 28.3553
1.129549 49.433 28.1440
1.137734 49.473 27.9294
1.145979 49.513 27.7114
1.154283 49.553 27.4901
1.162647 49.591 27.2654
1.171072 49.630 27.0376
1.179558 49.668 26.8067
1.188106 49.706 26.5729
1.196715 49.743 26.3364
1.205387 49.780 26.0973
1.214122 49.816 25.8559
1.222920 49.853 25.6122
1.231782 49.888 25.3666
1.240708 49.924 25.1193
1.249699 49.959 24.8704
1.258754 49.995 24.6202
1.267876 50.029 24.3690
1.277063 50.064 24.1170
1.286318 50.099 23.8646
1.295639 50.134 23.6120
1.305027 50.168 23.3596
1.314484 50.203 23.1075
1.324009 50.238 22.8563
1.333604 50.272 22.6062
1.343268 50.307 22.3577
1.353002 50.343 22.1110
1.362806 50.378 21.8666
1.372681 50.414 21.6249
1.382628 50.450 21.3864
1.392647 50.486 21.1513
1.402739 50.523 20.9203
1.412904 50.561 20.6937
1.423142 50.599 20.4718
1.433455 50.637 20.2551
1.443843 50.677 20.0438
1.454305 50.716 19.8379
1.464844 50.756 19.6375
1.475459 50.796 19.4422
1.486150 50.837 19.2518
1.496920 50.877 19.0658
1.507767 50.917 18.8841
1.518693 50.958 18.7061
1.529698 50.998 18.5318
1.540783 51.038 18.3608
1.551948 51.078 18.1929
1.563194 51.118 18.0280
1.574521 51.158 17.8659
1.585931 51.198 17.7063
1.597423 51.238 17.5491
1.608999 51.279 17.3941
1.620658 51.320 17.2412
1.632402 51.362 17.0902
1.644232 51.404 16.9408
1.656146 51.447 16.7930
1.668147 51.490 16.6465
1.680235 51.534 16.5013
1.692411 51.579 16.3571
1.704675 51.625 16.2137
1.717028 51.672 16.0711
1.729470 51.721 15.9291
1.742003 51.770 15.7876
1.754626 51.821 15.6464
1.767341 51.873 15.5057
1.780147 51.928 15.3655
1.793047 51.983 15.2260
1.806040 52.041 15.0877
1.819128 52.100 14.9514
1.832310 52.161 14.8181
1.845587 52.223 14.6888
1.858961 52.287 14.5646
1.872432 52.353 14.4459
1.886001 52.420 14.3328
1.899667 52.489 14.2250
1.913433 52.559 14.1220
1.927299 52.630 14.0229
1.941265 52.703 13.9269
1.955332 52.778 13.8329
1.969501 52.854 13.7400
1.983773 52.931 13.6471
1.998148 53.010 13.5531
2.012627 53.091 13.4571
2.027212 53.174 13.3578
2.041902 53.258 13.2543
2.056698 53.344 13.1455
2.071602 53.431 13.0303
2.086614 53.521 12.9079
2.101734 53.612 12.7774
2.116964 53.706 12.6379
2.132304 53.801 12.4889
2.147756 53.898 12.3304
2.163320 53.997 12.1627
2.178996 54.099 11.9868
2.194786 54.203 11.8044
2.210690 54.309 11.6177
2.226710 54.418 11.4288
2.242845 54.529 11.2391
2.259098 54.644 11.0494
2.275468 54.760 10.8592
2.291957 54.880 10.6679
2.308566 55.001 10.4740
2.325295 55.125 10.2762
2.342145 55.252 10.0729
2.359117 55.380 9.8623
2.376212 55.511 9.6427
2.393431 55.643 9.4126
2.410775 55.777 9.1702
2.428244 55.912 8.9140
2.445840 56.049 8.6425
2.463564 56.187 8.3543
2.481416 56.327 8.0485
2.499397 56.467 7.7242
2.517509 56.608 7.3813
2.535752 56.751 7.0203
2.554127 56.894 6.6426
2.572635 57.038 6.2504
2.591277 57.184 5.8462
2.610055 57.332 5.4321
2.628968 57.481 5.0098
2.648019 57.632 4.5797
2.667208 57.785 4.1419
2.686535 57.939 3.6959
2.706003 58.094 3.2409
2.725612 58.251 2.7760
2.745363 58.409 2.2999
2.765257 58.567 1.8115
2.785295 58.726 1.3096
2.805478 58.886 0.7931
2.825808 59.046 0.2607
2.846285 59.206 -0.2885
2.866910 59.365 -0.8553
2.887685 59.525 -1.4401
2.908611 59.685 -2.0428
2.929688 59.844 -2.6627
2.950917 60.003 -3.2985
2.972301 60.162 -3.9485
2.993839 60.322 -4.6111
3.015534 60.481 -5.2850
3.037386 60.641 -5.9692
3.059396 60.801 -6.6628
3.081565 60.961 -7.3653
3.103896 61.120 -8.0766
3.126388 61.279 -8.7965
3.149043 61.438 -9.5251
3.171862 61.596 -10.2628
3.194847 61.754 -11.0099
3.217998 61.911 -11.7671
3.241317 62.067 -12.5350
3.264805 62.222 -13.3143
3.288463 62.375 -14.1057
3.312293 62.528 -14.9096
3.336295 62.680 -15.7259
3.360471 62.831 -16.5539
3.384822 62.981 -17.3925
3.409350 63.130 -18.2404
3.434056 63.277 -19.0960
3.458940 63.424 -19.9579
3.484005 63.569 -20.8245
3.509252 63.713 -21.6950
3.534681 63.856 -22.5683
3.560295 63.997 -23.4440
3.586094 64.137 -24.3221
3.612081 64.276 -25.2032
3.638255 64.412 -26.0884
3.664620 64.547 -26.9790
3.691175 64.680 -27.8766
3.717923 64.812 -28.7822
3.744864 64.941 -29.6954
3.772001 65.069 -30.6154
3.799335 65.195 -31.5403
3.826866 65.319 -32.4677
3.854597 65.441 -33.3955
3.882529 65.561 -34.3212
3.910664 65.679 -35.2430
3.939002 65.795 -36.1595
3.967546 65.909 -37.0702
3.996296 66.021 -37.9753
4.025255 66.131 -38.8762
4.054423 66.239 -39.7748
4.083804 66.344 -40.6730
4.113396 66.447 -41.5715
4.143204 66.548 -42.4697
4.173227 66.646 -43.3660
4.203468 66.742 -44.2582
4.233928 66.836 -45.1434
4.264609 66.928 -46.0189
4.295512 67.017 -46.8821
4.326639 67.105 -47.7314
4.357992 67.190 -48.5660
4.389572 67.274 -49.3861
4.421380 67.355 -50.1933
4.453419 67.433 -50.9889
4.485691 67.510 -51.7741
4.518196 67.584 -52.5488
4.550936 67.656 -53.3118
4.583914 67.726 -54.0613
4.617131 67.795 -54.7948
4.650589 67.862 -55.5100
4.684289 67.928 -56.2043
4.718233 67.994 -56.8762
4.752424 68.057 -57.5247
4.786862 68.120 -58.1500
4.821549 68.182 -58.7528
4.856488 68.243 -59.3340
4.891680 68.302 -59.8943
4.927127 68.361 -60.4341
4.962831 68.420 -60.9532
4.998794 68.479 -61.4510
5.035017 68.539 -61.9269
5.071503 68.600 -62.3799
5.108253 68.663 -62.8089
5.145270 68.726 -63.2135
5.182555 68.791 -63.5935
5.220110 68.858 -63.9500
5.257937 68.926 -64.2848
5.296038 68.996 -64.6004
5.334415 69.068 -64.8997
5.373071 69.142 -65.1853
5.412006 69.220 -65.4595
5.451224 69.301 -65.7237
5.490725 69.385 -65.9786
5.530514 69.473 -66.2242
5.570590 69.564 -66.4613
5.610957 69.659 -66.6916
5.651616 69.757 -66.9182
5.692570 69.859 -67.1453
5.733821 69.963 -67.3773
5.775370 70.070 -67.6181
5.817221 70.180 -67.8709
5.859375 70.293 -68.1373
5.901834 70.408 -68.4179
5.944602 70.526 -68.7129
5.987679 70.646 -69.0228
6.031068 70.768 -69.3490
6.074771 70.891 -69.6937
6.118792 71.015 -70.0592
6.163131 71.138 -70.4478
6.207792 71.262 -70.8609
6.252776 71.384 -71.2993
6.298086 71.506 -71.7624
6.343725 71.626 -72.2489
6.389694 71.745 -72.7571
6.435996 71.862 -73.2853
6.482634 71.977 -73.8322
6.529610 72.088 -74.3970
6.576926 72.195 -74.9792
6.624585 72.298 -75.5787
6.672590 72.398 -76.1945
6.720942 72.492 -76.8242
6.769645 72.583 -77.4642
6.818700 72.669 -78.1104
6.868111 72.749 -78.7586
6.917881 72.825 -79.4056
6.968010 72.895 -80.0495
