* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:35:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SGOR Luna nb 400 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.022 64.8331
0.368865 36.039 64.7914
0.371538 36.065 64.7295
0.374230 36.096 64.6526
0.376942 36.132 64.5654
0.379673 36.170 64.4712
0.382424 36.210 64.3720
0.385196 36.251 64.2694
0.387987 36.292 64.1641
0.390798 36.334 64.0566
0.393630 36.377 63.9470
0.396483 36.420 63.8356
0.399356 36.463 63.7224
0.402250 36.506 63.6074
0.405165 36.550 63.4908
0.408101 36.594 63.3724
0.411058 36.639 63.2524
0.414037 36.684 63.1307
0.417037 36.729 63.0074
0.420059 36.774 62.8825
0.423103 36.820 62.7560
0.426169 36.866 62.6280
0.429257 36.912 62.4984
0.432368 36.959 62.3672
0.435501 37.006 62.2346
0.438656 37.054 62.1005
0.441835 37.101 61.9649
0.445037 37.150 61.8278
0.448262 37.198 61.6894
0.451510 37.247 61.5495
0.454782 37.296 61.4083
0.458077 37.346 61.2658
0.461397 37.396 61.1218
0.464740 37.446 60.9766
0.468108 37.496 60.8301
0.471500 37.547 60.6824
0.474917 37.599 60.5333
0.478358 37.651 60.3831
0.481825 37.703 60.2317
0.485316 37.755 60.0790
0.488833 37.808 59.9253
0.492375 37.861 59.7703
0.495943 37.915 59.6143
0.499537 37.969 59.4571
0.503157 38.023 59.2988
0.506803 38.078 59.1395
0.510475 38.133 58.9790
0.514175 38.189 58.8176
0.517900 38.245 58.6551
0.521653 38.301 58.4916
0.525434 38.358 58.3270
0.529241 38.416 58.1615
0.533076 38.473 57.9949
0.536939 38.531 57.8274
0.540830 38.590 57.6588
0.544749 38.649 57.4893
0.548696 38.708 57.3188
0.552673 38.768 57.1474
0.556677 38.828 56.9749
0.560711 38.889 56.8015
0.564774 38.950 56.6270
0.568867 39.011 56.4516
0.572989 39.073 56.2752
0.577141 39.136 56.0977
0.581324 39.199 55.9193
0.585536 39.262 55.7398
0.589779 39.326 55.5592
0.594053 39.390 55.3776
0.598358 39.455 55.1949
0.602694 39.520 55.0110
0.607061 39.586 54.8260
0.611460 39.652 54.6399
0.615891 39.718 54.4525
0.620354 39.785 54.2639
0.624849 39.853 54.0740
0.629377 39.921 53.8828
0.633938 39.990 53.6903
0.638532 40.059 53.4963
0.643159 40.128 53.3010
0.647819 40.199 53.1041
0.652514 40.269 52.9056
0.657242 40.340 52.7056
0.662005 40.412 52.5038
0.666802 40.484 52.3003
0.671634 40.557 52.0950
0.676501 40.630 51.8879
0.681403 40.703 51.6787
0.686341 40.778 51.4675
0.691314 40.852 51.2541
0.696324 40.927 51.0385
0.701370 41.003 50.8206
0.706452 41.078 50.6002
0.711571 41.154 50.3772
0.716728 41.229 50.1514
0.721921 41.302 49.9228
0.727153 41.374 49.6911
0.732422 41.443 49.4561
0.737729 41.509 49.2177
0.743075 41.572 48.9758
0.748460 41.633 48.7301
0.753883 41.692 48.4808
0.759346 41.749 48.2279
0.764849 41.806 47.9713
0.770391 41.862 47.7113
0.775974 41.917 47.4479
0.781597 41.972 47.1812
0.787261 42.026 46.9113
0.792966 42.080 46.6383
0.798712 42.133 46.3623
0.804500 42.186 46.0834
0.810329 42.238 45.8018
0.816201 42.290 45.5176
0.822116 42.341 45.2307
0.828073 42.392 44.9415
0.834074 42.442 44.6499
0.840118 42.492 44.3560
0.846206 42.542 44.0601
0.852338 42.590 43.7620
0.858514 42.639 43.4620
0.864735 42.687 43.1602
0.871001 42.734 42.8566
0.877313 42.782 42.5513
0.883670 42.828 42.2444
0.890074 42.875 41.9360
0.896524 42.920 41.6261
0.903020 42.966 41.3149
0.909564 43.011 41.0024
0.916155 43.055 40.6887
0.922794 43.100 40.3738
0.929481 43.144 40.0577
0.936216 43.187 39.7407
0.943000 43.230 39.4226
0.949834 43.273 39.1036
0.956717 43.316 38.7837
0.963649 43.358 38.4629
0.970632 43.400 38.1413
0.977666 43.442 37.8188
0.984750 43.483 37.4956
0.991886 43.525 37.1715
0.999074 43.566 36.8467
1.006314 43.607 36.5212
1.013606 43.647 36.1948
1.020951 43.688 35.8677
1.028349 43.729 35.5398
1.035801 43.769 35.2110
1.043307 43.810 34.8813
1.050867 43.850 34.5507
1.058482 43.891 34.2190
1.066152 43.931 33.8860
1.073878 43.972 33.5514
1.081660 44.013 33.2148
1.089498 44.053 32.8756
1.097393 44.094 32.5329
1.105345 44.134 32.1857
1.113355 44.174 31.8332
1.121423 44.214 31.4746
1.129549 44.253 31.1093
1.137734 44.291 30.7371
1.145979 44.329 30.3578
1.154283 44.367 29.9716
1.162647 44.404 29.5785
1.171072 44.440 29.1787
1.179558 44.476 28.7724
1.188106 44.511 28.3599
1.196715 44.546 27.9413
1.205387 44.580 27.5171
1.214122 44.613 27.0873
1.222920 44.646 26.6524
1.231782 44.678 26.2126
1.240708 44.709 25.7682
1.249699 44.740 25.3196
1.258754 44.770 24.8671
1.267876 44.800 24.4112
1.277063 44.829 23.9521
1.286318 44.857 23.4902
1.295639 44.885 23.0260
1.305027 44.913 22.5599
1.314484 44.939 22.0924
1.324009 44.965 21.6238
1.333604 44.991 21.1546
1.343268 45.015 20.6854
1.353002 45.040 20.2166
1.362806 45.063 19.7488
1.372681 45.087 19.2825
1.382628 45.109 18.8182
1.392647 45.131 18.3564
1.402739 45.153 17.8977
1.412904 45.173 17.4425
1.423142 45.194 16.9910
1.433455 45.214 16.5435
1.443843 45.233 16.0996
1.454305 45.251 15.6587
1.464844 45.269 15.2198
1.475459 45.287 14.7813
1.486150 45.303 14.3416
1.496920 45.319 13.8996
1.507767 45.333 13.4542
1.518693 45.347 13.0051
1.529698 45.360 12.5518
1.540783 45.372 12.0946
1.551948 45.383 11.6334
1.563194 45.393 11.1685
1.574521 45.402 10.7003
1.585931 45.410 10.2289
1.597423 45.417 9.7549
1.608999 45.423 9.2785
1.620658 45.428 8.8002
1.632402 45.432 8.3205
1.644232 45.435 7.8397
1.656146 45.437 7.3585
1.668147 45.437 6.8772
1.680235 45.437 6.3965
1.692411 45.436 5.9170
1.704675 45.433 5.4392
1.717028 45.430 4.9637
1.729470 45.425 4.4912
1.742003 45.419 4.0223
1.754626 45.412 3.5577
1.767341 45.404 3.0979
1.780147 45.395 2.6433
1.793047 45.385 2.1942
1.806040 45.373 1.7505
1.819128 45.360 1.3115
1.832310 45.346 0.8761
1.845587 45.330 0.4429
1.858961 45.313 0.0101
1.872432 45.294 -0.4232
1.886001 45.273 -0.8581
1.899667 45.251 -1.2948
1.913433 45.227 -1.7334
1.927299 45.201 -2.1735
1.941265 45.174 -2.6147
1.955332 45.145 -3.0564
1.969501 45.114 -3.4979
1.983773 45.082 -3.9383
1.998148 45.049 -4.3766
2.012627 45.014 -4.8119
2.027212 44.977 -5.2429
2.041902 44.939 -5.6683
2.056698 44.900 -6.0869
2.071602 44.859 -6.4971
2.086614 44.818 -6.8973
2.101734 44.775 -7.2859
2.116964 44.731 -7.6612
2.132304 44.685 -8.0214
2.147756 44.639 -8.3649
2.163320 44.591 -8.6903
2.178996 44.542 -8.9967
2.194786 44.491 -9.2836
2.210690 44.438 -9.5512
2.226710 44.382 -9.7998
2.242845 44.324 -10.0301
2.259098 44.263 -10.2423
2.275468 44.199 -10.4365
2.291957 44.133 -10.6126
2.308566 44.064 -10.7700
2.325295 43.994 -10.9081
2.342145 43.922 -11.0264
2.359117 43.850 -11.1238
2.376212 43.777 -11.1995
2.393431 43.703 -11.2525
2.410775 43.631 -11.2817
2.428244 43.559 -11.2859
2.445840 43.489 -11.2638
2.463564 43.421 -11.2142
2.481416 43.356 -11.1355
2.499397 43.294 -11.0260
2.517509 43.235 -10.8839
2.535752 43.180 -10.7069
2.554127 43.128 -10.4920
2.572635 43.079 -10.2364
2.591277 43.033 -9.9371
2.610055 42.988 -9.5919
2.628968 42.946 -9.1998
2.648019 42.906 -8.7610
2.667208 42.868 -8.2769
2.686535 42.833 -7.7496
2.706003 42.801 -7.1820
2.725612 42.773 -6.5780
2.745363 42.749 -5.9417
2.765257 42.730 -5.2781
2.785295 42.717 -4.5924
2.805478 42.711 -3.8904
2.825808 42.712 -3.1777
2.846285 42.722 -2.4601
2.866910 42.740 -1.7424
2.887685 42.769 -1.0282
2.908611 42.808 -0.3193
2.929688 42.859 0.3845
2.950917 42.922 1.0850
2.972301 42.996 1.7838
2.993839 43.083 2.4808
3.015534 43.180 3.1737
3.037386 43.289 3.8580
3.059396 43.407 4.5280
3.081565 43.533 5.1773
3.103896 43.668 5.7991
3.126388 43.810 6.3864
3.149043 43.957 6.9331
3.171862 44.109 7.4333
3.194847 44.264 7.8820
3.217998 44.422 8.2753
3.241317 44.583 8.6109
3.264805 44.746 8.8882
3.288463 44.911 9.1085
3.312293 45.079 9.2751
3.336295 45.250 9.3920
3.360471 45.426 9.4629
3.384822 45.606 9.4908
3.409350 45.789 9.4773
3.434056 45.976 9.4236
3.458940 46.166 9.3299
3.484005 46.357 9.1964
3.509252 46.549 9.0229
3.534681 46.741 8.8091
3.560295 46.931 8.5545
3.586094 47.120 8.2588
3.612081 47.306 7.9215
3.638255 47.488 7.5426
3.664620 47.668 7.1225
3.691175 47.845 6.6622
3.717923 48.019 6.1637
3.744864 48.190 5.6297
3.772001 48.359 5.0634
3.799335 48.526 4.4681
3.826866 48.691 3.8474
3.854597 48.854 3.2044
3.882529 49.014 2.5417
3.910664 49.171 1.8616
3.939002 49.325 1.1656
3.967546 49.477 0.4542
3.996296 49.625 -0.2728
4.025255 49.769 -1.0165
4.054423 49.911 -1.7786
4.083804 50.049 -2.5598
4.113396 50.183 -3.3599
4.143204 50.314 -4.1772
4.173227 50.441 -5.0090
4.203468 50.566 -5.8519
4.233928 50.687 -6.7021
4.264609 50.806 -7.5562
4.295512 50.921 -8.4113
4.326639 51.034 -9.2655
4.357992 51.144 -10.1180
4.389572 51.252 -10.9695
4.421380 51.356 -11.8215
4.453419 51.458 -12.6759
4.485691 51.556 -13.5335
4.518196 51.652 -14.3939
4.550936 51.744 -15.2555
4.583914 51.835 -16.1157
4.617131 51.923 -16.9716
4.650589 52.009 -17.8202
4.684289 52.094 -18.6588
4.718233 52.177 -19.4857
4.752424 52.259 -20.3000
4.786862 52.339 -21.1022
4.821549 52.418 -21.8935
4.856488 52.496 -22.6751
4.891680 52.572 -23.4478
4.927127 52.647 -24.2118
4.962831 52.721 -24.9669
4.998794 52.796 -25.7122
5.035017 52.870 -26.4469
5.071503 52.945 -27.1698
5.108253 53.020 -27.8799
5.145270 53.097 -28.5769
5.182555 53.174 -29.2608
5.220110 53.252 -29.9326
5.257937 53.330 -30.5940
5.296038 53.410 -31.2472
5.334415 53.491 -31.8943
5.373071 53.574 -32.5375
5.412006 53.658 -33.1785
5.451224 53.744 -33.8181
5.490725 53.832 -34.4569
5.530514 53.923 -35.0948
5.570590 54.016 -35.7319
5.610957 54.110 -36.3692
5.651616 54.207 -37.0086
5.692570 54.305 -37.6527
5.733821 54.405 -38.3044
5.775370 54.506 -38.9666
5.817221 54.608 -39.6413
5.859375 54.711 -40.3298
5.901834 54.815 -41.0325
5.944602 54.920 -41.7491
5.987679 55.026 -42.4792
6.031068 55.133 -43.2229
6.074771 55.239 -43.9806
6.118792 55.344 -44.7531
6.163131 55.448 -45.5417
6.207792 55.551 -46.3473
6.252776 55.652 -47.1706
6.298086 55.751 -48.0114
6.343725 55.848 -48.8682
6.389694 55.942 -49.7389
6.435996 56.034 -50.6205
6.482634 56.123 -51.5107
6.529610 56.208 -52.4078
6.576926 56.289 -53.3110
6.624585 56.366 -54.2201
6.672590 56.439 -55.1346
6.720942 56.507 -56.0525
6.769645 56.571 -56.9701
6.818700 56.630 -57.8830
6.868111 56.685 -58.7865
6.917881 56.735 -59.6769
