* Measurement data measured by REW V5.31.3
* Source: AUDIO [plughw:1,0], Headset (Headset), 0, volume: 0.791
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 31, 26 2:33:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Samsung GB 3 FE Custom L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.992 142.7226
0.368865 35.002 142.5567
0.371538 35.016 142.3145
0.374230 35.032 142.0360
0.376942 35.049 141.7395
0.379673 35.066 141.4314
0.382424 35.084 141.1137
0.385196 35.101 140.7868
0.387987 35.119 140.4509
0.390798 35.137 140.1057
0.393630 35.155 139.7511
0.396483 35.173 139.3868
0.399356 35.191 139.0128
0.402250 35.210 138.6288
0.405165 35.228 138.2346
0.408101 35.247 137.8300
0.411058 35.266 137.4149
0.414037 35.284 136.9890
0.417037 35.304 136.5522
0.420059 35.323 136.1042
0.423103 35.342 135.6448
0.426169 35.361 135.1739
0.429257 35.381 134.6913
0.432368 35.401 134.1967
0.435501 35.421 133.6899
0.438656 35.441 133.1708
0.441835 35.461 132.6392
0.445037 35.481 132.0948
0.448262 35.502 131.5376
0.451510 35.522 130.9672
0.454782 35.543 130.3836
0.458077 35.564 129.7865
0.461397 35.585 129.1758
0.464740 35.606 128.5514
0.468108 35.628 127.9130
0.471500 35.649 127.2605
0.474917 35.671 126.5938
0.478358 35.693 125.9127
0.481825 35.715 125.2172
0.485316 35.737 124.5072
0.488833 35.759 123.7825
0.492375 35.782 123.0431
0.495943 35.804 122.2889
0.499537 35.827 121.5198
0.503157 35.850 120.7359
0.506803 35.873 119.9372
0.510475 35.897 119.1236
0.514175 35.920 118.2952
0.517900 35.944 117.4521
0.521653 35.968 116.5943
0.525434 35.991 115.7219
0.529241 36.016 114.8351
0.533076 36.040 113.9341
0.536939 36.065 113.0190
0.540830 36.089 112.0900
0.544749 36.114 111.1474
0.548696 36.139 110.1915
0.552673 36.164 109.2225
0.556677 36.190 108.2409
0.560711 36.215 107.2469
0.564774 36.241 106.2409
0.568867 36.267 105.2234
0.572989 36.293 104.1948
0.577141 36.320 103.1557
0.581324 36.346 102.1064
0.585536 36.373 101.0476
0.589779 36.400 99.9798
0.594053 36.427 98.9035
0.598358 36.454 97.8194
0.602694 36.482 96.7281
0.607061 36.510 95.6303
0.611460 36.538 94.5265
0.615891 36.566 93.4174
0.620354 36.594 92.3037
0.624849 36.622 91.1860
0.629377 36.651 90.0652
0.633938 36.680 88.9417
0.638532 36.709 87.8164
0.643159 36.739 86.6899
0.647819 36.768 85.5628
0.652514 36.798 84.4358
0.657242 36.828 83.3096
0.662005 36.858 82.1848
0.666802 36.889 81.0620
0.671634 36.919 79.9417
0.676501 36.950 78.8247
0.681403 36.981 77.7114
0.686341 37.013 76.6023
0.691314 37.044 75.4980
0.696324 37.076 74.3990
0.701370 37.108 73.3056
0.706452 37.141 72.2184
0.711571 37.173 71.1377
0.716728 37.207 70.0639
0.721921 37.242 68.9976
0.727153 37.283 67.9395
0.732422 37.335 66.8912
0.737729 37.406 65.8551
0.743075 37.490 64.8337
0.748460 37.582 63.8286
0.753883 37.679 62.8406
0.759346 37.781 61.8701
0.764849 37.887 60.9175
0.770391 37.996 59.9827
0.775974 38.110 59.0659
0.781597 38.228 58.1671
0.787261 38.350 57.2861
0.792966 38.475 56.4228
0.798712 38.605 55.5770
0.804500 38.738 54.7486
0.810329 38.875 53.9371
0.816201 39.015 53.1424
0.822116 39.159 52.3640
0.828073 39.307 51.6016
0.834074 39.458 50.8548
0.840118 39.612 50.1232
0.846206 39.770 49.4064
0.852338 39.931 48.7039
0.858514 40.095 48.0152
0.864735 40.263 47.3399
0.871001 40.433 46.6776
0.877313 40.606 46.0277
0.883670 40.782 45.3898
0.890074 40.961 44.7635
0.896524 41.142 44.1481
0.903020 41.326 43.5434
0.909564 41.512 42.9487
0.916155 41.700 42.3637
0.922794 41.890 41.7879
0.929481 42.082 41.2209
0.936216 42.275 40.6621
0.943000 42.471 40.1112
0.949834 42.667 39.5677
0.956717 42.865 39.0312
0.963649 43.063 38.5013
0.970632 43.263 37.9776
0.977666 43.463 37.4597
0.984750 43.663 36.9472
0.991886 43.864 36.4397
0.999074 44.064 35.9369
1.006314 44.264 35.4384
1.013606 44.464 34.9438
1.020951 44.663 34.4528
1.028349 44.860 33.9650
1.035801 45.056 33.4802
1.043307 45.250 32.9980
1.050867 45.443 32.5181
1.058482 45.632 32.0401
1.066152 45.820 31.5639
1.073878 46.004 31.0891
1.081660 46.185 30.6157
1.089498 46.362 30.1437
1.097393 46.537 29.6738
1.105345 46.708 29.2078
1.113355 46.879 28.7474
1.121423 47.048 28.2937
1.129549 47.217 27.8468
1.137734 47.386 27.4067
1.145979 47.554 26.9731
1.154283 47.721 26.5457
1.162647 47.888 26.1244
1.171072 48.054 25.7087
1.179558 48.220 25.2985
1.188106 48.386 24.8934
1.196715 48.551 24.4932
1.205387 48.715 24.0975
1.214122 48.879 23.7062
1.222920 49.043 23.3188
1.231782 49.206 22.9353
1.240708 49.369 22.5552
1.249699 49.532 22.1784
1.258754 49.694 21.8045
1.267876 49.856 21.4334
1.277063 50.017 21.0647
1.286318 50.178 20.6982
1.295639 50.339 20.3337
1.305027 50.500 19.9709
1.314484 50.661 19.6096
1.324009 50.821 19.2495
1.333604 50.981 18.8905
1.343268 51.142 18.5322
1.353002 51.302 18.1745
1.362806 51.462 17.8171
1.372681 51.622 17.4598
1.382628 51.782 17.1024
1.392647 51.942 16.7447
1.402739 52.103 16.3865
1.412904 52.264 16.0275
1.423142 52.424 15.6676
1.433455 52.586 15.3066
1.443843 52.747 14.9444
1.454305 52.909 14.5813
1.464844 53.071 14.2182
1.475459 53.233 13.8565
1.486150 53.394 13.4978
1.496920 53.555 13.1427
1.507767 53.714 12.7913
1.518693 53.873 12.4434
1.529698 54.032 12.0985
1.540783 54.189 11.7564
1.551948 54.346 11.4166
1.563194 54.502 11.0789
1.574521 54.658 10.7427
1.585931 54.813 10.4079
1.597423 54.967 10.0740
1.608999 55.121 9.7407
1.620658 55.274 9.4077
1.632402 55.427 9.0746
1.644232 55.579 8.7410
1.656146 55.731 8.4068
1.668147 55.883 8.0715
1.680235 56.034 7.7348
1.692411 56.185 7.3965
1.704675 56.336 7.0562
1.717028 56.486 6.7136
1.729470 56.637 6.3685
1.742003 56.787 6.0205
1.754626 56.938 5.6694
1.767341 57.088 5.3148
1.780147 57.239 4.9566
1.793047 57.390 4.5945
1.806040 57.541 4.2283
1.819128 57.693 3.8582
1.832310 57.845 3.4848
1.845587 57.996 3.1094
1.858961 58.147 2.7333
1.872432 58.297 2.3570
1.886001 58.447 1.9808
1.899667 58.596 1.6048
1.913433 58.744 1.2288
1.927299 58.892 0.8527
1.941265 59.039 0.4766
1.955332 59.186 0.1002
1.969501 59.332 -0.2766
1.983773 59.477 -0.6539
1.998148 59.622 -1.0318
2.012627 59.767 -1.4105
2.027212 59.911 -1.7900
2.041902 60.055 -2.1707
2.056698 60.199 -2.5526
2.071602 60.342 -2.9360
2.086614 60.486 -3.3209
2.101734 60.629 -3.7076
2.116964 60.772 -4.0963
2.132304 60.915 -4.4872
2.147756 61.058 -4.8804
2.163320 61.201 -5.2761
2.178996 61.344 -5.6744
2.194786 61.487 -6.0750
2.210690 61.630 -6.4775
2.226710 61.772 -6.8811
2.242845 61.914 -7.2854
2.259098 62.056 -7.6903
2.275468 62.196 -8.0958
2.291957 62.336 -8.5018
2.308566 62.476 -8.9085
2.325295 62.615 -9.3159
2.342145 62.753 -9.7241
2.359117 62.891 -10.1332
2.376212 63.029 -10.5433
2.393431 63.166 -10.9545
2.410775 63.303 -11.3669
2.428244 63.439 -11.7807
2.445840 63.576 -12.1959
2.463564 63.712 -12.6128
2.481416 63.848 -13.0315
2.499397 63.984 -13.4521
2.517509 64.120 -13.8748
2.535752 64.256 -14.2997
2.554127 64.392 -14.7268
2.572635 64.528 -15.1558
2.591277 64.663 -15.5862
2.610055 64.798 -16.0177
2.628968 64.932 -16.4502
2.648019 65.066 -16.8837
2.667208 65.199 -17.3182
2.686535 65.332 -17.7538
2.706003 65.465 -18.1905
2.725612 65.596 -18.6284
2.745363 65.728 -19.0677
2.765257 65.859 -19.5085
2.785295 65.990 -19.9508
2.805478 66.121 -20.3949
2.825808 66.251 -20.8407
2.846285 66.381 -21.2886
2.866910 66.512 -21.7386
2.887685 66.642 -22.1909
2.908611 66.772 -22.6455
2.929688 66.902 -23.1024
2.950917 67.032 -23.5612
2.972301 67.162 -24.0216
2.993839 67.291 -24.4834
3.015534 67.419 -24.9465
3.037386 67.547 -25.4111
3.059396 67.675 -25.8772
3.081565 67.802 -26.3449
3.103896 67.929 -26.8143
3.126388 68.056 -27.2855
3.149043 68.182 -27.7587
3.171862 68.308 -28.2340
3.194847 68.434 -28.7115
3.217998 68.560 -29.1915
3.241317 68.686 -29.6741
3.264805 68.811 -30.1594
3.288463 68.937 -30.6475
3.312293 69.062 -31.1381
3.336295 69.187 -31.6310
3.360471 69.312 -32.1258
3.384822 69.436 -32.6227
3.409350 69.560 -33.1215
3.434056 69.683 -33.6223
3.458940 69.806 -34.1254
3.484005 69.929 -34.6306
3.509252 70.051 -35.1383
3.534681 70.173 -35.6485
3.560295 70.295 -36.1615
3.586094 70.417 -36.6774
3.612081 70.538 -37.1964
3.638255 70.660 -37.7187
3.664620 70.781 -38.2445
3.691175 70.902 -38.7735
3.717923 71.022 -39.3058
3.744864 71.142 -39.8412
3.772001 71.262 -40.3794
3.799335 71.381 -40.9204
3.826866 71.499 -41.4641
3.854597 71.618 -42.0105
3.882529 71.736 -42.5595
3.910664 71.853 -43.1111
3.939002 71.970 -43.6654
3.967546 72.087 -44.2225
3.996296 72.204 -44.7825
4.025255 72.320 -45.3458
4.054423 72.435 -45.9126
4.083804 72.551 -46.4833
4.113396 72.665 -47.0577
4.143204 72.779 -47.6356
4.173227 72.893 -48.2166
4.203468 73.006 -48.8004
4.233928 73.119 -49.3866
4.264609 73.231 -49.9750
4.295512 73.342 -50.5653
4.326639 73.454 -51.1575
4.357992 73.564 -51.7515
4.389572 73.674 -52.3476
4.421380 73.784 -52.9467
4.453419 73.893 -53.5493
4.485691 74.001 -54.1556
4.518196 74.109 -54.7651
4.550936 74.216 -55.3774
4.583914 74.322 -55.9916
4.617131 74.428 -56.6073
4.650589 74.533 -57.2238
4.684289 74.638 -57.8406
4.718233 74.742 -58.4576
4.752424 74.846 -59.0748
4.786862 74.949 -59.6930
4.821549 75.052 -60.3133
4.856488 75.153 -60.9360
4.891680 75.254 -61.5607
4.927127 75.355 -62.1869
4.962831 75.455 -62.8137
4.998794 75.554 -63.4404
5.035017 75.653 -64.0663
5.071503 75.751 -64.6908
5.108253 75.850 -65.3138
5.145270 75.948 -65.9355
5.182555 76.045 -66.5572
5.220110 76.142 -67.1791
5.257937 76.238 -67.8014
5.296038 76.334 -68.4237
5.334415 76.429 -69.0454
5.373071 76.525 -69.6661
5.412006 76.620 -70.2852
5.451224 76.715 -70.9023
5.490725 76.810 -71.5171
5.530514 76.905 -72.1299
5.570590 77.000 -72.7411
5.610957 77.095 -73.3512
5.651616 77.190 -73.9604
5.692570 77.284 -74.5687
5.733821 77.379 -75.1763
5.775370 77.474 -75.7831
5.817221 77.570 -76.3890
5.859375 77.666 -76.9937
5.901834 77.762 -77.5970
5.944602 77.859 -78.1987
5.987679 77.956 -78.7993
6.031068 78.053 -79.3995
6.074771 78.151 -80.0001
6.118792 78.249 -80.6019
6.163131 78.348 -81.2055
6.207792 78.448 -81.8110
6.252776 78.548 -82.4180
6.298086 78.649 -83.0256
6.343725 78.751 -83.6340
6.389694 78.854 -84.2439
6.435996 78.957 -84.8566
6.482634 79.061 -85.4732
6.529610 79.166 -86.0950
6.576926 79.271 -86.7224
6.624585 79.378 -87.3550
6.672590 79.485 -87.9918
6.720942 79.592 -88.6327
6.769645 79.701 -89.2785
6.818700 79.810 -89.9304
