* Measurement data measured by REW V5.31.3
* Source: AUDIO [plughw:1,0], Headset (Headset), 0, volume: 0.791
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 31, 26 11:36:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Samsung GB 3 FE Custom R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 24.715 86.3701
0.368865 24.770 86.0132
0.371538 24.850 85.5009
0.374230 24.939 84.9249
0.376942 25.033 84.3265
0.379673 25.128 83.7205
0.382424 25.224 83.1121
0.385196 25.321 82.5027
0.387987 25.419 81.8930
0.390798 25.517 81.2834
0.393630 25.616 80.6742
0.396483 25.716 80.0656
0.399356 25.817 79.4578
0.402250 25.918 78.8512
0.405165 26.020 78.2458
0.408101 26.123 77.6420
0.411058 26.226 77.0400
0.414037 26.331 76.4399
0.417037 26.436 75.8420
0.420059 26.541 75.2465
0.423103 26.648 74.6535
0.426169 26.755 74.0632
0.429257 26.863 73.4757
0.432368 26.972 72.8913
0.435501 27.082 72.3100
0.438656 27.192 71.7319
0.441835 27.304 71.1573
0.445037 27.416 70.5862
0.448262 27.529 70.0187
0.451510 27.642 69.4549
0.454782 27.757 68.8948
0.458077 27.872 68.3386
0.461397 27.988 67.7863
0.464740 28.105 67.2380
0.468108 28.223 66.6936
0.471500 28.342 66.1533
0.474917 28.462 65.6170
0.478358 28.582 65.0848
0.481825 28.703 64.5566
0.485316 28.826 64.0326
0.488833 28.949 63.5126
0.492375 29.073 62.9966
0.495943 29.198 62.4847
0.499537 29.323 61.9767
0.503157 29.450 61.4728
0.506803 29.578 60.9728
0.510475 29.706 60.4766
0.514175 29.836 59.9843
0.517900 29.966 59.4958
0.521653 30.097 59.0109
0.525434 30.230 58.5298
0.529241 30.363 58.0522
0.533076 30.497 57.5781
0.536939 30.633 57.1075
0.540830 30.769 56.6402
0.544749 30.906 56.1763
0.548696 31.044 55.7155
0.552673 31.183 55.2579
0.556677 31.323 54.8032
0.560711 31.465 54.3516
0.564774 31.607 53.9028
0.568867 31.750 53.4568
0.572989 31.894 53.0134
0.577141 32.040 52.5727
0.581324 32.186 52.1344
0.585536 32.334 51.6986
0.589779 32.482 51.2651
0.594053 32.632 50.8337
0.598358 32.782 50.4046
0.602694 32.934 49.9775
0.607061 33.087 49.5523
0.611460 33.241 49.1290
0.615891 33.396 48.7075
0.620354 33.553 48.2876
0.624849 33.710 47.8694
0.629377 33.868 47.4526
0.633938 34.028 47.0374
0.638532 34.189 46.6234
0.643159 34.351 46.2107
0.647819 34.514 45.7992
0.652514 34.678 45.3888
0.657242 34.844 44.9795
0.662005 35.011 44.5711
0.666802 35.179 44.1635
0.671634 35.348 43.7568
0.676501 35.518 43.3509
0.681403 35.690 42.9456
0.686341 35.863 42.5409
0.691314 36.037 42.1368
0.696324 36.212 41.7331
0.701370 36.389 41.3299
0.706452 36.567 40.9270
0.711571 36.746 40.5245
0.716728 36.926 40.1224
0.721921 37.106 39.7208
0.727153 37.285 39.3204
0.732422 37.459 38.9226
0.737729 37.624 38.5303
0.743075 37.785 38.1460
0.748460 37.943 37.7708
0.753883 38.101 37.4050
0.759346 38.258 37.0484
0.764849 38.416 36.7007
0.770391 38.573 36.3613
0.775974 38.731 36.0301
0.781597 38.888 35.7064
0.787261 39.046 35.3900
0.792966 39.204 35.0803
0.798712 39.362 34.7771
0.804500 39.519 34.4799
0.810329 39.677 34.1884
0.816201 39.835 33.9022
0.822116 39.993 33.6208
0.828073 40.151 33.3440
0.834074 40.309 33.0714
0.840118 40.468 32.8027
0.846206 40.626 32.5374
0.852338 40.784 32.2753
0.858514 40.942 32.0161
0.864735 41.101 31.7595
0.871001 41.259 31.5050
0.877313 41.417 31.2525
0.883670 41.576 31.0016
0.890074 41.734 30.7521
0.896524 41.893 30.5037
0.903020 42.051 30.2560
0.909564 42.210 30.0089
0.916155 42.369 29.7620
0.922794 42.527 29.5151
0.929481 42.686 29.2680
0.936216 42.845 29.0205
0.943000 43.004 28.7722
0.949834 43.163 28.5229
0.956717 43.323 28.2725
0.963649 43.482 28.0208
0.970632 43.641 27.7674
0.977666 43.801 27.5121
0.984750 43.961 27.2549
0.991886 44.121 26.9955
0.999074 44.281 26.7336
1.006314 44.441 26.4691
1.013606 44.601 26.2018
1.020951 44.762 25.9316
1.028349 44.922 25.6582
1.035801 45.084 25.3815
1.043307 45.245 25.1013
1.050867 45.406 24.8174
1.058482 45.568 24.5297
1.066152 45.730 24.2381
1.073878 45.893 23.9424
1.081660 46.055 23.6426
1.089498 46.218 23.3392
1.097393 46.382 23.0330
1.105345 46.545 22.7263
1.113355 46.707 22.4213
1.121423 46.870 22.1193
1.129549 47.031 21.8205
1.137734 47.192 21.5251
1.145979 47.352 21.2328
1.154283 47.512 20.9434
1.162647 47.671 20.6566
1.171072 47.830 20.3721
1.179558 47.988 20.0898
1.188106 48.145 19.8094
1.196715 48.302 19.5306
1.205387 48.459 19.2532
1.214122 48.614 18.9769
1.222920 48.770 18.7015
1.231782 48.925 18.4268
1.240708 49.079 18.1524
1.249699 49.233 17.8782
1.258754 49.387 17.6040
1.267876 49.540 17.3295
1.277063 49.693 17.0544
1.286318 49.846 16.7786
1.295639 49.999 16.5017
1.305027 50.151 16.2237
1.314484 50.303 15.9442
1.324009 50.455 15.6631
1.333604 50.606 15.3800
1.343268 50.758 15.0949
1.353002 50.910 14.8075
1.362806 51.062 14.5175
1.372681 51.213 14.2247
1.382628 51.365 13.9290
1.392647 51.517 13.6302
1.402739 51.670 13.3279
1.412904 51.823 13.0220
1.423142 51.976 12.7124
1.433455 52.129 12.3988
1.443843 52.283 12.0812
1.454305 52.438 11.7599
1.464844 52.592 11.4357
1.475459 52.747 11.1106
1.486150 52.902 10.7863
1.496920 53.055 10.4636
1.507767 53.209 10.1426
1.518693 53.362 9.8233
1.529698 53.514 9.5052
1.540783 53.665 9.1883
1.551948 53.816 8.8720
1.563194 53.967 8.5562
1.574521 54.117 8.2405
1.585931 54.266 7.9247
1.597423 54.415 7.6083
1.608999 54.564 7.2911
1.620658 54.712 6.9728
1.632402 54.859 6.6531
1.644232 55.007 6.3316
1.656146 55.153 6.0081
1.668147 55.300 5.6823
1.680235 55.446 5.3539
1.692411 55.592 5.0225
1.704675 55.738 4.6879
1.717028 55.884 4.3497
1.729470 56.029 4.0077
1.742003 56.174 3.6616
1.754626 56.320 3.3110
1.767341 56.465 2.9557
1.780147 56.610 2.5954
1.793047 56.755 2.2297
1.806040 56.901 1.8586
1.819128 57.047 1.4821
1.832310 57.192 1.1005
1.845587 57.337 0.7151
1.858961 57.482 0.3269
1.872432 57.626 -0.0633
1.886001 57.769 -0.4553
1.899667 57.912 -0.8489
1.913433 58.054 -1.2440
1.927299 58.195 -1.6404
1.941265 58.336 -2.0382
1.955332 58.476 -2.4373
1.969501 58.616 -2.8378
1.983773 58.755 -3.2395
1.998148 58.893 -3.6426
2.012627 59.031 -4.0471
2.027212 59.168 -4.4530
2.041902 59.305 -4.8604
2.056698 59.442 -5.2695
2.071602 59.578 -5.6802
2.086614 59.714 -6.0928
2.101734 59.849 -6.5073
2.116964 59.985 -6.9239
2.132304 60.120 -7.3428
2.147756 60.255 -7.7641
2.163320 60.389 -8.1881
2.178996 60.524 -8.6150
2.194786 60.658 -9.0448
2.210690 60.792 -9.4779
2.226710 60.926 -9.9140
2.242845 61.058 -10.3530
2.259098 61.190 -10.7947
2.275468 61.321 -11.2387
2.291957 61.451 -11.6849
2.308566 61.581 -12.1329
2.325295 61.710 -12.5825
2.342145 61.838 -13.0335
2.359117 61.965 -13.4858
2.376212 62.092 -13.9392
2.393431 62.218 -14.3935
2.410775 62.343 -14.8486
2.428244 62.468 -15.3044
2.445840 62.593 -15.7608
2.463564 62.717 -16.2178
2.481416 62.841 -16.6754
2.499397 62.964 -17.1335
2.517509 63.087 -17.5921
2.535752 63.210 -18.0514
2.554127 63.333 -18.5118
2.572635 63.455 -18.9737
2.591277 63.576 -19.4382
2.610055 63.697 -19.9055
2.628968 63.816 -20.3755
2.648019 63.935 -20.8480
2.667208 64.053 -21.3226
2.686535 64.170 -21.7989
2.706003 64.287 -22.2766
2.725612 64.402 -22.7553
2.745363 64.517 -23.2346
2.765257 64.631 -23.7142
2.785295 64.745 -24.1939
2.805478 64.858 -24.6733
2.825808 64.971 -25.1522
2.846285 65.083 -25.6303
2.866910 65.195 -26.1075
2.887685 65.307 -26.5835
2.908611 65.418 -27.0585
2.929688 65.529 -27.5331
2.950917 65.640 -28.0082
2.972301 65.749 -28.4848
2.993839 65.858 -28.9632
3.015534 65.966 -29.4433
3.037386 66.073 -29.9249
3.059396 66.179 -30.4074
3.081565 66.284 -30.8906
3.103896 66.389 -31.3740
3.126388 66.493 -31.8572
3.149043 66.597 -32.3398
3.171862 66.700 -32.8216
3.194847 66.803 -33.3020
3.217998 66.906 -33.7807
3.241317 67.008 -34.2576
3.264805 67.110 -34.7323
3.288463 67.211 -35.2052
3.312293 67.313 -35.6768
3.336295 67.414 -36.1481
3.360471 67.514 -36.6198
3.384822 67.613 -37.0917
3.409350 67.711 -37.5640
3.434056 67.809 -38.0362
3.458940 67.907 -38.5083
3.484005 68.004 -38.9799
3.509252 68.100 -39.4508
3.534681 68.196 -39.9207
3.560295 68.292 -40.3894
3.586094 68.388 -40.8566
3.612081 68.484 -41.3221
3.638255 68.579 -41.7859
3.664620 68.674 -42.2480
3.691175 68.770 -42.7089
3.717923 68.864 -43.1692
3.744864 68.958 -43.6289
3.772001 69.052 -44.0883
3.799335 69.146 -44.5474
3.826866 69.238 -45.0061
3.854597 69.331 -45.4643
3.882529 69.424 -45.9222
3.910664 69.516 -46.3795
3.939002 69.608 -46.8363
3.967546 69.700 -47.2925
3.996296 69.792 -47.7481
4.025255 69.884 -48.2031
4.054423 69.977 -48.6575
4.083804 70.068 -49.1114
4.113396 70.160 -49.5651
4.143204 70.252 -50.0185
4.173227 70.343 -50.4719
4.203468 70.434 -50.9255
4.233928 70.525 -51.3794
4.264609 70.616 -51.8337
4.295512 70.706 -52.2887
4.326639 70.797 -52.7443
4.357992 70.888 -53.2009
4.389572 70.978 -53.6584
4.421380 71.069 -54.1168
4.453419 71.160 -54.5761
4.485691 71.250 -55.0363
4.518196 71.341 -55.4974
4.550936 71.431 -55.9595
4.583914 71.521 -56.4227
4.617131 71.611 -56.8871
4.650589 71.700 -57.3528
4.684289 71.790 -57.8200
4.718233 71.880 -58.2888
4.752424 71.969 -58.7594
4.786862 72.058 -59.2320
4.821549 72.147 -59.7065
4.856488 72.236 -60.1831
4.891680 72.325 -60.6616
4.927127 72.414 -61.1417
4.962831 72.502 -61.6235
4.998794 72.590 -62.1067
5.035017 72.678 -62.5912
5.071503 72.765 -63.0771
5.108253 72.852 -63.5644
5.145270 72.939 -64.0534
5.182555 73.026 -64.5446
5.220110 73.112 -65.0380
5.257937 73.198 -65.5335
5.296038 73.284 -66.0306
5.334415 73.369 -66.5291
5.373071 73.454 -67.0284
5.412006 73.539 -67.5282
5.451224 73.623 -68.0283
5.490725 73.707 -68.5287
5.530514 73.791 -69.0299
5.570590 73.875 -69.5324
5.610957 73.958 -70.0362
5.651616 74.040 -70.5410
5.692570 74.122 -71.0465
5.733821 74.204 -71.5521
5.775370 74.286 -72.0574
5.817221 74.368 -72.5620
5.859375 74.449 -73.0659
5.901834 74.531 -73.5693
5.944602 74.612 -74.0726
5.987679 74.693 -74.5759
6.031068 74.773 -75.0794
6.074771 74.854 -75.5828
6.118792 74.934 -76.0860
6.163131 75.015 -76.5889
6.207792 75.095 -77.0912
6.252776 75.176 -77.5928
6.298086 75.257 -78.0938
6.343725 75.338 -78.5944
6.389694 75.419 -79.0950
6.435996 75.500 -79.5961
6.482634 75.581 -80.0981
6.529610 75.663 -80.6014
6.576926 75.745 -81.1060
6.624585 75.827 -81.6117
6.672590 75.910 -82.1182
6.720942 75.993 -82.6257
6.769645 76.076 -83.1348
