* Measurement data measured by REW V5.31.3
* Source: AUDIO [plughw:1,0], Headset (Headset), 0, volume: 0.791
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 31, 26 11:31:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Samsung GB 3 FE Default R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.889 53.7482
0.368865 32.923 53.6962
0.371538 32.973 53.6218
0.374230 33.029 53.5385
0.376942 33.087 53.4521
0.379673 33.146 53.3650
0.382424 33.206 53.2777
0.385196 33.267 53.1906
0.387987 33.328 53.1036
0.390798 33.389 53.0168
0.393630 33.451 52.9301
0.396483 33.513 52.8435
0.399356 33.576 52.7570
0.402250 33.639 52.6707
0.405165 33.703 52.5844
0.408101 33.767 52.4981
0.411058 33.831 52.4119
0.414037 33.896 52.3258
0.417037 33.962 52.2396
0.420059 34.028 52.1534
0.423103 34.094 52.0672
0.426169 34.161 51.9810
0.429257 34.229 51.8946
0.432368 34.296 51.8081
0.435501 34.365 51.7216
0.438656 34.434 51.6348
0.441835 34.503 51.5479
0.445037 34.573 51.4607
0.448262 34.643 51.3733
0.451510 34.714 51.2857
0.454782 34.786 51.1977
0.458077 34.858 51.1094
0.461397 34.930 51.0208
0.464740 35.003 50.9317
0.468108 35.077 50.8422
0.471500 35.151 50.7523
0.474917 35.225 50.6618
0.478358 35.301 50.5709
0.481825 35.376 50.4793
0.485316 35.452 50.3871
0.488833 35.529 50.2943
0.492375 35.607 50.2008
0.495943 35.684 50.1066
0.499537 35.763 50.0116
0.503157 35.842 49.9158
0.506803 35.921 49.8192
0.510475 36.002 49.7217
0.514175 36.082 49.6232
0.517900 36.164 49.5237
0.521653 36.246 49.4233
0.525434 36.328 49.3217
0.529241 36.411 49.2191
0.533076 36.495 49.1153
0.536939 36.579 49.0103
0.540830 36.664 48.9041
0.544749 36.750 48.7965
0.548696 36.836 48.6877
0.552673 36.923 48.5774
0.556677 37.010 48.4657
0.560711 37.098 48.3525
0.564774 37.187 48.2377
0.568867 37.276 48.1214
0.572989 37.366 48.0034
0.577141 37.457 47.8838
0.581324 37.548 47.7624
0.585536 37.640 47.6392
0.589779 37.733 47.5141
0.594053 37.826 47.3872
0.598358 37.920 47.2583
0.602694 38.015 47.1274
0.607061 38.110 46.9944
0.611460 38.206 46.8593
0.615891 38.303 46.7221
0.620354 38.401 46.5826
0.624849 38.499 46.4409
0.629377 38.598 46.2968
0.633938 38.697 46.1503
0.638532 38.797 46.0013
0.643159 38.898 45.8499
0.647819 39.000 45.6959
0.652514 39.103 45.5392
0.657242 39.206 45.3799
0.662005 39.310 45.2178
0.666802 39.415 45.0530
0.671634 39.520 44.8852
0.676501 39.626 44.7145
0.681403 39.734 44.5409
0.686341 39.841 44.3642
0.691314 39.950 44.1844
0.696324 40.059 44.0014
0.701370 40.169 43.8152
0.706452 40.280 43.6257
0.711571 40.392 43.4328
0.716728 40.504 43.2366
0.721921 40.617 43.0371
0.727153 40.729 42.8344
0.732422 40.838 42.6295
0.737729 40.944 42.4235
0.743075 41.046 42.2177
0.748460 41.147 42.0130
0.753883 41.248 41.8095
0.759346 41.349 41.6072
0.764849 41.450 41.4062
0.770391 41.551 41.2062
0.775974 41.652 41.0074
0.781597 41.753 40.8095
0.787261 41.854 40.6124
0.792966 41.956 40.4163
0.798712 42.057 40.2208
0.804500 42.159 40.0259
0.810329 42.260 39.8316
0.816201 42.362 39.6377
0.822116 42.464 39.4441
0.828073 42.566 39.2508
0.834074 42.669 39.0576
0.840118 42.771 38.8646
0.846206 42.873 38.6714
0.852338 42.976 38.4781
0.858514 43.079 38.2846
0.864735 43.182 38.0907
0.871001 43.285 37.8963
0.877313 43.388 37.7014
0.883670 43.492 37.5059
0.890074 43.595 37.3095
0.896524 43.699 37.1124
0.903020 43.803 36.9142
0.909564 43.907 36.7149
0.916155 44.012 36.5145
0.922794 44.116 36.3127
0.929481 44.221 36.1096
0.936216 44.326 35.9049
0.943000 44.432 35.6986
0.949834 44.538 35.4905
0.956717 44.644 35.2807
0.963649 44.750 35.0688
0.970632 44.856 34.8549
0.977666 44.963 34.6388
0.984750 45.071 34.4204
0.991886 45.178 34.1995
0.999074 45.286 33.9762
1.006314 45.395 33.7502
1.013606 45.504 33.5215
1.020951 45.613 33.2899
1.028349 45.723 33.0553
1.035801 45.833 32.8176
1.043307 45.944 32.5767
1.050867 46.055 32.3324
1.058482 46.167 32.0847
1.066152 46.279 31.8335
1.073878 46.392 31.5785
1.081660 46.506 31.3199
1.089498 46.620 31.0577
1.097393 46.735 30.7925
1.105345 46.850 30.5252
1.113355 46.966 30.2571
1.121423 47.082 29.9889
1.129549 47.198 29.7208
1.137734 47.314 29.4529
1.145979 47.430 29.1850
1.154283 47.546 28.9173
1.162647 47.663 28.6496
1.171072 47.780 28.3819
1.179558 47.896 28.1140
1.188106 48.014 27.8459
1.196715 48.131 27.5775
1.205387 48.248 27.3088
1.214122 48.366 27.0397
1.222920 48.483 26.7701
1.231782 48.601 26.4999
1.240708 48.720 26.2290
1.249699 48.838 25.9574
1.258754 48.956 25.6850
1.267876 49.075 25.4117
1.277063 49.194 25.1374
1.286318 49.313 24.8621
1.295639 49.433 24.5856
1.305027 49.552 24.3078
1.314484 49.672 24.0288
1.324009 49.792 23.7483
1.333604 49.912 23.4663
1.343268 50.033 23.1828
1.353002 50.154 22.8976
1.362806 50.275 22.6106
1.372681 50.396 22.3218
1.382628 50.518 22.0310
1.392647 50.640 21.7382
1.402739 50.763 21.4433
1.412904 50.885 21.1462
1.423142 51.009 20.8468
1.433455 51.132 20.5450
1.443843 51.256 20.2409
1.454305 51.380 19.9346
1.464844 51.505 19.6269
1.475459 51.629 19.3190
1.486150 51.754 19.0119
1.496920 51.879 18.7062
1.507767 52.004 18.4020
1.518693 52.129 18.0991
1.529698 52.254 17.7972
1.540783 52.379 17.4961
1.551948 52.505 17.1955
1.563194 52.630 16.8951
1.574521 52.755 16.5947
1.585931 52.881 16.2939
1.597423 53.006 15.9926
1.608999 53.132 15.6904
1.620658 53.257 15.3870
1.632402 53.383 15.0822
1.644232 53.509 14.7757
1.656146 53.635 14.4673
1.668147 53.761 14.1567
1.680235 53.887 13.8435
1.692411 54.013 13.5276
1.704675 54.139 13.2086
1.717028 54.266 12.8864
1.729470 54.392 12.5606
1.742003 54.519 12.2310
1.754626 54.646 11.8973
1.767341 54.773 11.5592
1.780147 54.901 11.2166
1.793047 55.028 10.8692
1.806040 55.156 10.5168
1.819128 55.284 10.1595
1.832310 55.412 9.7980
1.845587 55.540 9.4334
1.858961 55.668 9.0669
1.872432 55.796 8.6990
1.886001 55.924 8.3300
1.899667 56.052 7.9599
1.913433 56.179 7.5888
1.927299 56.307 7.2165
1.941265 56.434 6.8430
1.955332 56.562 6.4682
1.969501 56.689 6.0920
1.983773 56.816 5.7144
1.998148 56.943 5.3351
2.012627 57.070 4.9541
2.027212 57.197 4.5713
2.041902 57.324 4.1865
2.056698 57.451 3.7996
2.071602 57.578 3.4104
2.086614 57.704 3.0187
2.101734 57.831 2.6244
2.116964 57.958 2.2272
2.132304 58.085 1.8271
2.147756 58.212 1.4238
2.163320 58.339 1.0171
2.178996 58.466 0.6070
2.194786 58.593 0.1935
2.210690 58.719 -0.2229
2.226710 58.846 -0.6417
2.242845 58.972 -1.0624
2.259098 59.099 -1.4850
2.275468 59.224 -1.9091
2.291957 59.350 -2.3349
2.308566 59.475 -2.7622
2.325295 59.600 -3.1911
2.342145 59.725 -3.6215
2.359117 59.849 -4.0535
2.376212 59.974 -4.4870
2.393431 60.098 -4.9222
2.410775 60.221 -5.3591
2.428244 60.345 -5.7977
2.445840 60.468 -6.2382
2.463564 60.592 -6.6807
2.481416 60.715 -7.1253
2.499397 60.838 -7.5721
2.517509 60.961 -8.0212
2.535752 61.083 -8.4729
2.554127 61.206 -8.9272
2.572635 61.328 -9.3844
2.591277 61.450 -9.8443
2.610055 61.572 -10.3070
2.628968 61.693 -10.7721
2.648019 61.814 -11.2395
2.667208 61.934 -11.7090
2.686535 62.054 -12.1804
2.706003 62.173 -12.6535
2.725612 62.292 -13.1283
2.745363 62.411 -13.6045
2.765257 62.529 -14.0821
2.785295 62.647 -14.5610
2.805478 62.765 -15.0412
2.825808 62.882 -15.5225
2.846285 62.999 -16.0050
2.866910 63.116 -16.4887
2.887685 63.232 -16.9736
2.908611 63.348 -17.4600
2.929688 63.464 -17.9482
2.950917 63.580 -18.4387
2.972301 63.695 -18.9321
2.993839 63.809 -19.4283
3.015534 63.923 -19.9271
3.037386 64.036 -20.4282
3.059396 64.149 -20.9312
3.081565 64.261 -21.4358
3.103896 64.373 -21.9417
3.126388 64.484 -22.4484
3.149043 64.594 -22.9559
3.171862 64.704 -23.4637
3.194847 64.814 -23.9716
3.217998 64.924 -24.4795
3.241317 65.033 -24.9872
3.264805 65.141 -25.4946
3.288463 65.250 -26.0021
3.312293 65.358 -26.5105
3.336295 65.465 -27.0206
3.360471 65.572 -27.5329
3.384822 65.678 -28.0473
3.409350 65.783 -28.5634
3.434056 65.888 -29.0808
3.458940 65.992 -29.5990
3.484005 66.095 -30.1178
3.509252 66.198 -30.6365
3.534681 66.301 -31.1549
3.560295 66.403 -31.6726
3.586094 66.504 -32.1892
3.612081 66.606 -32.7046
3.638255 66.707 -33.2186
3.664620 66.807 -33.7318
3.691175 66.907 -34.2451
3.717923 67.006 -34.7595
3.744864 67.105 -35.2751
3.772001 67.203 -35.7917
3.799335 67.300 -36.3090
3.826866 67.397 -36.8264
3.854597 67.493 -37.3435
3.882529 67.589 -37.8599
3.910664 67.684 -38.3750
3.939002 67.779 -38.8884
3.967546 67.874 -39.3997
3.996296 67.968 -39.9087
4.025255 68.062 -40.4157
4.054423 68.156 -40.9212
4.083804 68.249 -41.4263
4.113396 68.341 -41.9313
4.143204 68.433 -42.4360
4.173227 68.524 -42.9404
4.203468 68.615 -43.4440
4.233928 68.705 -43.9465
4.264609 68.796 -44.4476
4.295512 68.885 -44.9469
4.326639 68.975 -45.4441
4.357992 69.064 -45.9389
4.389572 69.154 -46.4315
4.421380 69.243 -46.9221
4.453419 69.331 -47.4113
4.485691 69.420 -47.8996
4.518196 69.507 -48.3868
4.550936 69.595 -48.8730
4.583914 69.682 -49.3581
4.617131 69.769 -49.8419
4.650589 69.856 -50.3243
4.684289 69.943 -50.8051
4.718233 70.029 -51.2842
4.752424 70.116 -51.7616
4.786862 70.203 -52.2373
4.821549 70.290 -52.7115
4.856488 70.376 -53.1845
4.891680 70.462 -53.6564
4.927127 70.548 -54.1274
4.962831 70.634 -54.5976
4.998794 70.720 -55.0671
5.035017 70.806 -55.5362
5.071503 70.892 -56.0047
5.108253 70.978 -56.4729
5.145270 71.064 -56.9406
5.182555 71.150 -57.4077
5.220110 71.237 -57.8744
5.257937 71.323 -58.3407
5.296038 71.409 -58.8069
5.334415 71.495 -59.2732
5.373071 71.581 -59.7401
5.412006 71.667 -60.2076
5.451224 71.754 -60.6762
5.490725 71.840 -61.1458
5.530514 71.926 -61.6163
5.570590 72.013 -62.0877
5.610957 72.099 -62.5599
5.651616 72.186 -63.0331
5.692570 72.272 -63.5075
5.733821 72.359 -63.9833
5.775370 72.445 -64.4607
5.817221 72.531 -64.9400
5.859375 72.618 -65.4212
5.901834 72.704 -65.9046
5.944602 72.790 -66.3899
5.987679 72.876 -66.8773
6.031068 72.962 -67.3665
6.074771 73.048 -67.8576
6.118792 73.133 -68.3506
6.163131 73.219 -68.8456
6.207792 73.304 -69.3426
6.252776 73.389 -69.8419
6.298086 73.474 -70.3436
6.343725 73.558 -70.8477
6.389694 73.643 -71.3541
6.435996 73.727 -71.8624
6.482634 73.811 -72.3724
6.529610 73.894 -72.8839
6.576926 73.977 -73.3967
6.624585 74.060 -73.9113
6.672590 74.143 -74.4278
6.720942 74.225 -74.9464
6.769645 74.307 -75.4667
6.818700 74.388 -75.9884
6.868111 74.469 -76.5112
