* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 18, 24 6:26:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony IER-M7 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.720 -163.4388
20.287556 94.722 -163.5272
20.434568 94.726 -163.6532
20.582645 94.730 -163.8048
20.731796 94.735 -163.9710
20.882027 94.741 -164.1438
21.033346 94.749 -164.3172
21.185762 94.757 -164.4875
21.339283 94.768 -164.6526
21.493916 94.781 -164.8116
21.649670 94.796 -164.9647
21.806553 94.814 -165.1134
21.964573 94.834 -165.2598
22.123737 94.856 -165.4067
22.284056 94.879 -165.5572
22.445536 94.902 -165.7142
22.608185 94.924 -165.8796
22.772013 94.944 -166.0546
22.937029 94.961 -166.2390
23.103241 94.973 -166.4310
23.270657 94.981 -166.6281
23.439285 94.983 -166.8267
23.609137 94.981 -167.0229
23.780218 94.974 -167.2134
23.952539 94.964 -167.3956
24.126110 94.951 -167.5683
24.300938 94.938 -167.7321
24.477032 94.925 -167.8889
24.654402 94.914 -168.0419
24.833057 94.907 -168.1950
25.013008 94.902 -168.3519
25.194263 94.901 -168.5157
25.376831 94.903 -168.6880
25.560722 94.907 -168.8691
25.745945 94.914 -169.0573
25.932510 94.921 -169.2498
26.120428 94.930 -169.4433
26.309708 94.938 -169.6340
26.500359 94.946 -169.8192
26.692390 94.953 -169.9969
26.885815 94.960 -170.1667
27.080641 94.966 -170.3294
27.276878 94.971 -170.4867
27.474539 94.975 -170.6410
27.673630 94.979 -170.7950
27.874165 94.982 -170.9509
28.076153 94.984 -171.1103
28.279604 94.986 -171.2743
28.484529 94.987 -171.4430
28.690941 94.989 -171.6161
28.898848 94.991 -171.7930
29.108261 94.994 -171.9725
29.319191 94.997 -172.1537
29.531651 95.001 -172.3354
29.745649 95.006 -172.5165
29.961199 95.011 -172.6959
30.178310 95.016 -172.8727
30.396996 95.022 -173.0461
30.617264 95.027 -173.2159
30.839128 95.032 -173.3822
31.062601 95.036 -173.5453
31.287693 95.040 -173.7061
31.514416 95.043 -173.8657
31.742783 95.046 -174.0250
31.972803 95.048 -174.1847
32.204491 95.049 -174.3453
32.437859 95.050 -174.5068
32.672916 95.051 -174.6694
32.909679 95.051 -174.8330
33.148155 95.051 -174.9978
33.388359 95.050 -175.1640
33.630306 95.050 -175.3321
33.874004 95.049 -175.5023
34.119469 95.048 -175.6748
34.366711 95.047 -175.8492
34.615746 95.046 -176.0250
34.866585 95.045 -176.2012
35.119244 95.044 -176.3767
35.373734 95.044 -176.5504
35.630066 95.044 -176.7213
35.888256 95.045 -176.8887
36.148315 95.046 -177.0521
36.410259 95.048 -177.2115
36.674103 95.050 -177.3676
36.939857 95.053 -177.5216
37.207539 95.056 -177.6754
37.477161 95.059 -177.8312
37.748737 95.062 -177.9911
38.022282 95.063 -178.1565
38.297806 95.064 -178.3276
38.575329 95.063 -178.5033
38.854862 95.060 -178.6813
39.136421 95.057 -178.8593
39.420021 95.053 -179.0351
39.705673 95.048 -179.2075
39.993397 95.044 -179.3762
40.283207 95.041 -179.5416
40.575115 95.037 -179.7039
40.869141 95.033 -179.8628
41.165295 95.029 179.9824
41.463596 95.026 179.8322
41.764057 95.022 179.6864
42.066696 95.018 179.5431
42.371529 95.016 179.3995
42.678570 95.014 179.2521
42.987835 95.013 179.0985
43.299343 95.012 178.9379
43.613110 95.011 178.7713
43.929150 95.010 178.6010
44.247478 95.009 178.4294
44.568115 95.007 178.2577
44.891075 95.005 178.0865
45.216373 95.002 177.9164
45.544029 94.999 177.7482
45.874062 94.995 177.5835
46.206486 94.991 177.4239
46.541317 94.986 177.2693
46.878574 94.983 177.1175
47.218277 94.982 176.9637
47.560440 94.982 176.8027
47.905083 94.982 176.6317
48.252224 94.982 176.4518
48.601879 94.980 176.2676
48.954067 94.977 176.0851
49.308807 94.971 175.9089
49.666119 94.965 175.7399
50.026020 94.958 175.5758
50.388531 94.951 175.4124
50.753666 94.944 175.2473
51.121449 94.937 175.0809
51.491894 94.930 174.9161
51.865025 94.923 174.7565
52.240860 94.917 174.6037
52.619419 94.912 174.4567
53.000721 94.907 174.3129
53.384785 94.902 174.1694
53.771633 94.896 174.0253
54.161285 94.889 173.8809
54.553761 94.880 173.7368
54.949081 94.871 173.5921
55.347263 94.862 173.4442
55.748333 94.852 173.2894
56.152309 94.842 173.1258
56.559212 94.831 172.9540
56.969063 94.818 172.7781
57.381886 94.803 172.6029
57.797699 94.787 172.4313
58.216526 94.772 172.2619
58.638386 94.760 172.0888
59.063305 94.750 171.9050
59.491302 94.744 171.7068
59.922401 94.739 171.4971
60.356625 94.734 171.2851
60.793995 94.728 171.0828
61.234531 94.723 170.9000
61.678261 94.717 170.7407
62.125206 94.713 170.6030
62.575390 94.709 170.4810
63.028835 94.707 170.3667
63.485569 94.704 170.2528
63.945610 94.699 170.1348
64.408989 94.689 170.0128
64.875725 94.675 169.8915
65.345840 94.659 169.7757
65.819366 94.644 169.6678
66.296318 94.633 169.5685
66.776726 94.630 169.4819
67.260620 94.634 169.4187
67.748016 94.645 169.3881
68.238945 94.658 169.3848
68.733429 94.667 169.3859
69.231499 94.665 169.3647
69.733177 94.646 169.3082
70.238495 94.609 169.2187
70.747475 94.563 169.0972
71.260139 94.519 168.9286
71.776520 94.485 168.6911
72.296638 94.464 168.3816
72.820526 94.453 168.0283
73.348213 94.447 167.6754
73.879723 94.442 167.3542
74.415085 94.437 167.0718
74.954330 94.429 166.8191
75.497482 94.418 166.5867
76.044571 94.403 166.3702
76.595619 94.385 166.1683
77.150665 94.367 165.9809
77.709732 94.346 165.8097
78.272850 94.325 165.6561
78.840050 94.304 165.5185
79.411354 94.284 165.3922
79.986801 94.266 165.2730
80.566422 94.251 165.1586
81.150238 94.238 165.0470
81.738289 94.226 164.9339
82.330597 94.214 164.8145
82.927200 94.202 164.6866
83.528122 94.190 164.5508
84.133400 94.178 164.4081
84.743065 94.165 164.2582
85.357147 94.151 164.1019
85.975677 94.135 163.9418
86.598694 94.116 163.7813
87.226227 94.096 163.6212
87.858307 94.075 163.4593
88.494965 94.053 163.2924
89.136238 94.032 163.1195
89.782158 94.011 162.9437
90.432755 93.992 162.7702
91.088066 93.973 162.6047
91.748131 93.957 162.4510
92.412979 93.942 162.3115
93.082642 93.928 162.1856
93.757156 93.913 162.0692
94.436562 93.899 161.9565
95.120888 93.883 161.8448
95.810173 93.865 161.7365
96.504456 93.847 161.6363
97.203766 93.827 161.5466
97.908142 93.806 161.4644
98.617622 93.785 161.3826
99.332245 93.761 161.2955
100.052048 93.735 161.2039
100.777069 93.708 161.1145
101.507339 93.680 161.0331
102.242905 93.653 160.9580
102.983795 93.626 160.8809
103.730057 93.600 160.7910
104.481728 93.575 160.6797
105.238846 93.549 160.5436
106.001450 93.525 160.3856
106.769577 93.503 160.2142
107.543274 93.482 160.0415
108.322578 93.461 159.8817
109.107529 93.439 159.7473
109.898170 93.417 159.6456
110.694534 93.395 159.5754
111.496674 93.373 159.5270
112.304626 93.349 159.4823
113.118431 93.320 159.4204
113.938133 93.288 159.3339
114.763779 93.253 159.2399
115.595406 93.216 159.1652
116.433060 93.179 159.1151
117.276779 93.142 159.0663
118.126617 93.102 158.9930
118.982613 93.064 158.8983
119.844810 93.036 158.8135
120.713257 93.021 158.7663
121.587997 93.020 158.7569
122.469070 93.023 158.7656
123.356529 93.024 158.7737
124.250420 93.024 158.7717
125.150787 93.024 158.7534
126.057678 93.032 158.7105
126.971146 93.049 158.6378
127.891228 93.073 158.5329
128.817978 93.095 158.3920
129.751450 93.109 158.2141
130.691681 93.112 158.0145
131.638733 93.107 157.8270
132.592636 93.100 157.6868
133.553452 93.094 157.6072
134.521240 93.091 157.5735
135.496033 93.091 157.5606
136.477890 93.091 157.5477
137.466858 93.087 157.5158
138.462997 93.075 157.4440
139.466354 93.055 157.3218
140.476990 93.027 157.1588
141.494949 92.995 156.9743
142.520279 92.960 156.7839
143.553040 92.925 156.5967
144.593277 92.892 156.4211
145.641052 92.860 156.2664
146.696426 92.831 156.1349
147.759445 92.802 156.0178
148.830170 92.773 155.9044
149.908661 92.745 155.7916
150.994965 92.718 155.6812
152.089142 92.692 155.5730
153.191238 92.665 155.4670
154.301331 92.639 155.3668
155.419464 92.613 155.2770
156.545700 92.588 155.1998
157.680099 92.563 155.1351
158.822708 92.538 155.0833
159.973602 92.512 155.0462
161.132843 92.487 155.0260
162.300476 92.461 155.0238
163.476578 92.436 155.0388
164.661194 92.413 155.0671
165.854401 92.394 155.1014
167.056244 92.380 155.1328
168.266800 92.371 155.1537
169.486130 92.368 155.1588
170.714294 92.370 155.1433
171.951355 92.378 155.1028
173.197388 92.388 155.0311
174.452454 92.398 154.9224
175.716614 92.408 154.7729
176.989929 92.415 154.5826
178.272476 92.417 154.3558
179.564316 92.415 154.1013
180.865509 92.407 153.8305
182.176132 92.394 153.5551
183.496262 92.376 153.2847
184.825958 92.352 153.0259
186.165283 92.325 152.7820
187.514313 92.294 152.5547
188.873123 92.260 152.3454
190.241776 92.225 152.1552
191.620346 92.189 151.9846
193.008911 92.152 151.8334
194.407532 92.115 151.7014
195.816284 92.079 151.5886
197.235245 92.044 151.4948
198.664490 92.010 151.4187
200.104095 91.978 151.3572
201.554138 91.947 151.3063
203.014679 91.919 151.2619
204.485809 91.894 151.2208
205.967590 91.870 151.1805
207.460114 91.849 151.1386
208.963455 91.829 151.0919
210.477692 91.811 151.0346
212.002899 91.793 150.9610
213.539154 91.776 150.8693
215.086548 91.758 150.7617
216.645157 91.740 150.6412
218.215057 91.720 150.5095
219.796341 91.698 150.3691
221.389069 91.673 150.2255
222.993347 91.647 150.0844
224.609253 91.619 149.9496
226.236862 91.590 149.8231
227.876266 91.560 149.7055
229.527557 91.530 149.5973
231.190811 91.500 149.4979
232.866119 91.470 149.4061
234.553558 91.440 149.3204
236.253235 91.411 149.2395
237.965225 91.383 149.1626
239.689621 91.354 149.0897
241.426514 91.325 149.0211
243.175995 91.297 148.9565
244.938141 91.268 148.8950
246.713058 91.239 148.8353
248.500839 91.211 148.7769
250.301575 91.183 148.7195
252.115356 91.156 148.6626
253.942291 91.129 148.6061
255.782455 91.102 148.5498
257.635956 91.075 148.4937
259.502899 91.048 148.4376
261.383362 91.022 148.3817
263.277466 90.995 148.3266
265.185272 90.970 148.2726
267.106903 90.944 148.2202
269.042480 90.918 148.1689
270.992065 90.893 148.1188
272.955780 90.868 148.0696
274.933716 90.843 148.0212
276.925995 90.818 147.9736
278.932709 90.793 147.9264
280.953979 90.768 147.8792
282.989899 90.743 147.8318
285.040558 90.719 147.7849
287.106079 90.695 147.7389
289.186554 90.671 147.6940
291.282104 90.647 147.6499
293.392853 90.623 147.6061
295.518890 90.600 147.5627
297.660339 90.576 147.5200
299.817322 90.553 147.4783
301.989929 90.529 147.4371
304.178284 90.506 147.3958
306.382477 90.483 147.3539
308.602661 90.460 147.3115
310.838928 90.437 147.2690
313.091400 90.415 147.2258
315.360199 90.392 147.1817
317.645416 90.370 147.1371
319.947205 90.348 147.0927
322.265686 90.325 147.0496
324.600952 90.303 147.0079
326.953156 90.281 146.9673
329.322388 90.259 146.9274
331.708801 90.237 146.8877
334.112488 90.216 146.8478
336.533600 90.194 146.8076
338.972260 90.173 146.7670
341.428589 90.151 146.7260
343.902710 90.130 146.6848
346.394775 90.108 146.6437
348.904907 90.087 146.6026
351.433228 90.065 146.5617
353.979858 90.044 146.5209
356.544952 90.023 146.4805
359.128632 90.003 146.4401
361.731018 89.982 146.3999
364.352264 89.962 146.3597
366.992523 89.941 146.3197
369.651917 89.921 146.2798
372.330566 89.901 146.2399
375.028625 89.881 146.1995
377.746246 89.861 146.1584
380.483551 89.841 146.1167
383.240692 89.821 146.0745
386.017822 89.801 146.0321
388.815063 89.781 145.9899
