* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 18, 24 6:27:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony IER-M7 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.712 -161.0277
20.287556 93.714 -161.1092
20.434568 93.717 -161.2245
20.582645 93.720 -161.3612
20.731796 93.722 -161.5088
20.882027 93.724 -161.6595
21.033346 93.726 -161.8084
21.185762 93.727 -161.9527
21.339283 93.729 -162.0913
21.493916 93.731 -162.2245
21.649670 93.734 -162.3532
21.806553 93.739 -162.4794
21.964573 93.745 -162.6055
22.123737 93.753 -162.7342
22.284056 93.762 -162.8684
22.445536 93.773 -163.0108
22.608185 93.784 -163.1639
22.772013 93.797 -163.3295
22.937029 93.809 -163.5085
23.103241 93.821 -163.7011
23.270657 93.832 -163.9061
23.439285 93.842 -164.1217
23.609137 93.850 -164.3449
23.780218 93.855 -164.5725
23.952539 93.859 -164.8007
24.126110 93.861 -165.0259
24.300938 93.861 -165.2451
24.477032 93.860 -165.4556
24.654402 93.859 -165.6562
24.833057 93.858 -165.8463
25.013008 93.857 -166.0267
25.194263 93.858 -166.1987
25.376831 93.860 -166.3644
25.560722 93.863 -166.5262
25.745945 93.867 -166.6864
25.932510 93.872 -166.8469
26.120428 93.878 -167.0092
26.309708 93.884 -167.1742
26.500359 93.890 -167.3420
26.692390 93.896 -167.5125
26.885815 93.902 -167.6851
27.080641 93.907 -167.8591
27.276878 93.912 -168.0340
27.474539 93.916 -168.2095
27.673630 93.920 -168.3853
27.874165 93.924 -168.5615
28.076153 93.929 -168.7382
28.279604 93.933 -168.9155
28.484529 93.937 -169.0935
28.690941 93.942 -169.2719
28.898848 93.947 -169.4504
29.108261 93.951 -169.6282
29.319191 93.956 -169.8046
29.531651 93.961 -169.9789
29.745649 93.965 -170.1504
29.961199 93.970 -170.3189
30.178310 93.974 -170.4846
30.396996 93.978 -170.6478
30.617264 93.982 -170.8094
30.839128 93.986 -170.9704
31.062601 93.989 -171.1318
31.287693 93.992 -171.2947
31.514416 93.995 -171.4598
31.742783 93.997 -171.6273
31.972803 93.999 -171.7976
32.204491 94.001 -171.9702
32.437859 94.003 -172.1449
32.672916 94.005 -172.3209
32.909679 94.007 -172.4977
33.148155 94.009 -172.6744
33.388359 94.011 -172.8504
33.630306 94.012 -173.0250
33.874004 94.014 -173.1976
34.119469 94.016 -173.3677
34.366711 94.017 -173.5350
34.615746 94.019 -173.6997
34.866585 94.019 -173.8618
35.119244 94.020 -174.0219
35.373734 94.021 -174.1806
35.630066 94.021 -174.3382
35.888256 94.022 -174.4953
36.148315 94.023 -174.6524
36.410259 94.024 -174.8097
36.674103 94.025 -174.9677
36.939857 94.027 -175.1270
37.207539 94.029 -175.2881
37.477161 94.031 -175.4516
37.748737 94.033 -175.6178
38.022282 94.035 -175.7866
38.297806 94.036 -175.9576
38.575329 94.036 -176.1295
38.854862 94.036 -176.3011
39.136421 94.035 -176.4712
39.420021 94.033 -176.6384
39.705673 94.031 -176.8024
39.993397 94.029 -176.9628
40.283207 94.028 -177.1202
40.575115 94.027 -177.2752
40.869141 94.027 -177.4289
41.165295 94.027 -177.5821
41.463596 94.027 -177.7359
41.764057 94.027 -177.8910
42.066696 94.028 -178.0480
42.371529 94.028 -178.2073
42.678570 94.028 -178.3690
42.987835 94.027 -178.5330
43.299343 94.027 -178.6987
43.613110 94.026 -178.8654
43.929150 94.025 -179.0321
44.247478 94.023 -179.1973
44.568115 94.021 -179.3597
44.891075 94.019 -179.5180
45.216373 94.016 -179.6717
45.544029 94.012 -179.8212
45.874062 94.009 -179.9681
46.206486 94.006 179.8849
46.541317 94.003 179.7356
46.878574 94.000 179.5817
47.218277 93.998 179.4224
47.560440 93.996 179.2583
47.905083 93.993 179.0908
48.252224 93.990 178.9217
48.601879 93.987 178.7528
48.954067 93.984 178.5852
49.308807 93.980 178.4190
49.666119 93.977 178.2534
50.026020 93.974 178.0869
50.388531 93.971 177.9178
50.753666 93.969 177.7457
51.121449 93.967 177.5714
51.491894 93.965 177.3977
51.865025 93.961 177.2283
52.240860 93.957 177.0666
52.619419 93.952 176.9140
53.000721 93.946 176.7691
53.384785 93.940 176.6283
53.771633 93.935 176.4871
54.161285 93.929 176.3419
54.553761 93.924 176.1912
54.949081 93.918 176.0353
55.347263 93.913 175.8763
55.748333 93.907 175.7164
56.152309 93.902 175.5574
56.559212 93.896 175.4001
56.969063 93.890 175.2444
57.381886 93.884 175.0898
57.797699 93.878 174.9351
58.216526 93.872 174.7793
58.638386 93.866 174.6220
59.063305 93.859 174.4637
59.491302 93.853 174.3058
59.922401 93.847 174.1504
60.356625 93.841 173.9994
60.793995 93.835 173.8535
61.234531 93.828 173.7115
61.678261 93.821 173.5707
62.125206 93.814 173.4281
62.575390 93.807 173.2812
63.028835 93.801 173.1297
63.485569 93.794 172.9744
63.945610 93.788 172.8174
64.408989 93.782 172.6608
64.875725 93.775 172.5060
65.345840 93.768 172.3533
65.819366 93.760 172.2012
66.296318 93.752 172.0477
66.776726 93.746 171.8931
67.260620 93.740 171.7418
67.748016 93.736 171.6002
68.238945 93.733 171.4708
68.733429 93.727 171.3471
69.231499 93.717 171.2156
69.733177 93.699 171.0659
70.238495 93.672 170.8995
70.747475 93.640 170.7282
71.260139 93.608 170.5644
71.776520 93.584 170.4106
72.296638 93.571 170.2608
72.820526 93.568 170.1093
73.348213 93.571 169.9572
73.879723 93.575 169.8102
74.415085 93.576 169.6707
74.954330 93.574 169.5342
75.497482 93.568 169.3930
76.044571 93.559 169.2411
76.595619 93.548 169.0780
77.150665 93.536 168.9077
77.709732 93.522 168.7359
78.272850 93.509 168.5679
78.840050 93.495 168.4070
79.411354 93.483 168.2536
79.986801 93.470 168.1061
80.566422 93.458 167.9623
81.150238 93.445 167.8206
81.738289 93.432 167.6803
82.330597 93.418 167.5406
82.927200 93.403 167.3996
83.528122 93.388 167.2546
84.133400 93.372 167.1045
84.743065 93.356 166.9503
85.357147 93.339 166.7952
85.975677 93.321 166.6442
86.598694 93.303 166.5023
87.226227 93.286 166.3732
87.858307 93.270 166.2570
88.494965 93.257 166.1482
89.136238 93.244 166.0377
89.782158 93.232 165.9168
90.432755 93.217 165.7820
91.088066 93.200 165.6360
91.748131 93.181 165.4868
92.412979 93.162 165.3450
93.082642 93.142 165.2195
93.757156 93.124 165.1118
94.436562 93.107 165.0158
95.120888 93.091 164.9225
95.810173 93.076 164.8252
96.504456 93.061 164.7202
97.203766 93.048 164.6084
97.908142 93.035 164.4944
98.617622 93.023 164.3836
99.332245 93.011 164.2781
100.052048 92.997 164.1768
100.777069 92.983 164.0786
101.507339 92.968 163.9852
102.242905 92.951 163.9014
102.983795 92.932 163.8335
103.730057 92.914 163.7841
104.481728 92.898 163.7507
105.238846 92.886 163.7267
106.001450 92.881 163.7000
106.769577 92.881 163.6495
107.543274 92.885 163.5523
108.322578 92.889 163.3969
109.107529 92.892 163.1898
109.898170 92.891 162.9481
110.694534 92.885 162.6876
111.496674 92.873 162.4194
112.304626 92.854 162.1538
113.118431 92.827 161.9020
113.938133 92.792 161.6718
114.763779 92.751 161.4593
115.595406 92.706 161.2483
116.433060 92.660 161.0232
117.276779 92.613 160.7860
118.126617 92.565 160.5607
118.982613 92.519 160.3835
119.844810 92.480 160.2851
120.713257 92.451 160.2698
121.587997 92.432 160.3064
122.469070 92.418 160.3430
123.356529 92.406 160.3344
124.250420 92.394 160.2623
125.150787 92.384 160.1369
126.057678 92.381 159.9771
126.971146 92.386 159.7959
127.891228 92.402 159.6055
128.817978 92.429 159.4236
129.751450 92.463 159.2746
130.691681 92.493 159.1949
131.638733 92.510 159.2231
132.592636 92.506 159.3575
133.553452 92.484 159.5327
134.521240 92.456 159.6687
135.496033 92.427 159.7352
136.477890 92.401 159.7466
137.466858 92.379 159.7112
138.462997 92.364 159.6158
139.466354 92.359 159.4683
140.476990 92.358 159.3235
141.494949 92.353 159.2261
142.520279 92.340 159.1648
143.553040 92.320 159.1041
144.593277 92.296 159.0165
145.641052 92.273 158.8882
146.696426 92.251 158.7227
147.759445 92.228 158.5337
148.830170 92.206 158.3401
149.908661 92.183 158.1563
150.994965 92.159 157.9857
152.089142 92.135 157.8267
153.191238 92.110 157.6763
154.301331 92.082 157.5320
155.419464 92.054 157.3958
156.545700 92.023 157.2715
157.680099 91.992 157.1611
158.822708 91.961 157.0636
159.973602 91.929 156.9768
161.132843 91.897 156.8993
162.300476 91.866 156.8317
163.476578 91.834 156.7761
164.661194 91.803 156.7344
165.854401 91.773 156.7068
167.056244 91.744 156.6917
168.266800 91.717 156.6875
169.486130 91.692 156.6956
170.714294 91.671 156.7179
171.951355 91.653 156.7548
173.197388 91.639 156.8052
174.452454 91.628 156.8665
175.716614 91.622 156.9348
176.989929 91.618 157.0033
178.272476 91.618 157.0620
179.564316 91.623 157.0978
180.865509 91.630 157.0982
182.176132 91.641 157.0522
183.496262 91.653 156.9531
184.825958 91.665 156.7981
186.165283 91.673 156.5898
187.514313 91.677 156.3377
188.873123 91.675 156.0576
190.241776 91.667 155.7671
191.620346 91.653 155.4802
193.008911 91.634 155.2072
194.407532 91.611 154.9540
195.816284 91.585 154.7218
197.235245 91.555 154.5083
198.664490 91.524 154.3110
200.104095 91.490 154.1292
201.554138 91.456 153.9640
203.014679 91.421 153.8170
204.485809 91.385 153.6893
205.967590 91.350 153.5829
207.460114 91.315 153.5012
208.963455 91.283 153.4472
210.477692 91.254 153.4214
212.002899 91.229 153.4175
213.539154 91.209 153.4249
215.086548 91.194 153.4312
216.645157 91.185 153.4233
218.215057 91.180 153.3918
219.796341 91.177 153.3329
221.389069 91.172 153.2449
222.993347 91.164 153.1278
224.609253 91.152 152.9850
226.236862 91.136 152.8223
227.876266 91.116 152.6458
229.527557 91.094 152.4620
231.190811 91.070 152.2799
232.866119 91.044 152.1093
234.553558 91.017 151.9573
236.253235 90.989 151.8242
237.965225 90.961 151.7058
239.689621 90.933 151.5977
241.426514 90.906 151.4976
243.175995 90.879 151.4047
244.938141 90.852 151.3177
246.713058 90.826 151.2355
248.500839 90.799 151.1571
250.301575 90.773 151.0825
252.115356 90.747 151.0111
253.942291 90.722 150.9410
255.782455 90.696 150.8705
257.635956 90.671 150.7997
259.502899 90.645 150.7296
261.383362 90.619 150.6604
263.277466 90.594 150.5918
265.185272 90.568 150.5237
267.106903 90.543 150.4569
269.042480 90.518 150.3918
270.992065 90.493 150.3283
272.955780 90.469 150.2659
274.933716 90.444 150.2042
276.925995 90.420 150.1428
278.932709 90.396 150.0823
280.953979 90.371 150.0241
282.989899 90.347 149.9690
285.040558 90.323 149.9160
287.106079 90.300 149.8638
289.186554 90.277 149.8112
291.282104 90.254 149.7581
293.392853 90.232 149.7043
295.518890 90.210 149.6496
297.660339 90.187 149.5941
299.817322 90.164 149.5382
301.989929 90.142 149.4823
304.178284 90.119 149.4269
306.382477 90.097 149.3725
308.602661 90.074 149.3195
310.838928 90.052 149.2679
313.091400 90.029 149.2172
315.360199 90.007 149.1670
317.645416 89.985 149.1169
319.947205 89.963 149.0670
322.265686 89.941 149.0173
324.600952 89.919 148.9678
326.953156 89.898 148.9184
329.322388 89.876 148.8690
331.708801 89.855 148.8194
334.112488 89.834 148.7694
336.533600 89.813 148.7192
338.972260 89.792 148.6693
341.428589 89.771 148.6200
343.902710 89.750 148.5713
346.394775 89.729 148.5230
348.904907 89.709 148.4750
351.433228 89.689 148.4274
353.979858 89.669 148.3801
356.544952 89.648 148.3330
359.128632 89.628 148.2863
361.731018 89.608 148.2399
364.352264 89.589 148.1940
366.992523 89.569 148.1483
369.651917 89.549 148.1024
372.330566 89.530 148.0561
375.028625 89.510 148.0096
377.746246 89.491 147.9629
380.483551 89.472 147.9162
383.240692 89.453 147.8696
386.017822 89.434 147.8234
