* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:04:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB 16K MAX L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.913 -177.9085
0.368865 31.922 -177.8594
0.371538 31.935 -177.7866
0.374230 31.951 -177.6962
0.376942 31.969 -177.5937
0.379673 31.988 -177.4830
0.382424 32.008 -177.3667
0.385196 32.029 -177.2464
0.387987 32.050 -177.1230
0.390798 32.071 -176.9970
0.393630 32.093 -176.8685
0.396483 32.114 -176.7378
0.399356 32.136 -176.6048
0.402250 32.158 -176.4695
0.405165 32.180 -176.3319
0.408101 32.202 -176.1920
0.411058 32.225 -176.0497
0.414037 32.247 -175.9049
0.417037 32.270 -175.7577
0.420059 32.293 -175.6080
0.423103 32.316 -175.4557
0.426169 32.339 -175.3007
0.429257 32.363 -175.1431
0.432368 32.386 -174.9827
0.435501 32.410 -174.8196
0.438656 32.434 -174.6536
0.441835 32.458 -174.4848
0.445037 32.482 -174.3130
0.448262 32.507 -174.1382
0.451510 32.532 -173.9604
0.454782 32.556 -173.7795
0.458077 32.581 -173.5955
0.461397 32.607 -173.4084
0.464740 32.632 -173.2180
0.468108 32.657 -173.0243
0.471500 32.683 -172.8273
0.474917 32.709 -172.6270
0.478358 32.735 -172.4233
0.481825 32.762 -172.2161
0.485316 32.788 -172.0055
0.488833 32.815 -171.7914
0.492375 32.842 -171.5737
0.495943 32.869 -171.3524
0.499537 32.896 -171.1276
0.503157 32.923 -170.8991
0.506803 32.951 -170.6670
0.510475 32.979 -170.4312
0.514175 33.007 -170.1917
0.517900 33.035 -169.9485
0.521653 33.064 -169.7017
0.525434 33.092 -169.4511
0.529241 33.121 -169.1968
0.533076 33.150 -168.9388
0.536939 33.180 -168.6772
0.540830 33.209 -168.4118
0.544749 33.239 -168.1428
0.548696 33.269 -167.8702
0.552673 33.299 -167.5940
0.556677 33.329 -167.3143
0.560711 33.360 -167.0311
0.564774 33.391 -166.7444
0.568867 33.422 -166.4543
0.572989 33.453 -166.1609
0.577141 33.485 -165.8643
0.581324 33.516 -165.5645
0.585536 33.548 -165.2617
0.589779 33.581 -164.9559
0.594053 33.613 -164.6472
0.598358 33.646 -164.3358
0.602694 33.679 -164.0218
0.607061 33.712 -163.7053
0.611460 33.745 -163.3865
0.615891 33.779 -163.0655
0.620354 33.813 -162.7425
0.624849 33.847 -162.4176
0.629377 33.881 -162.0911
0.633938 33.916 -161.7630
0.638532 33.950 -161.4337
0.643159 33.986 -161.1033
0.647819 34.021 -160.7719
0.652514 34.057 -160.4399
0.657242 34.092 -160.1075
0.662005 34.129 -159.7749
0.666802 34.165 -159.4422
0.671634 34.202 -159.1099
0.676501 34.239 -158.7780
0.681403 34.276 -158.4469
0.686341 34.313 -158.1168
0.691314 34.351 -157.7879
0.696324 34.390 -157.4605
0.701370 34.429 -157.1349
0.706452 34.469 -156.8111
0.711571 34.510 -156.4892
0.716728 34.553 -156.1694
0.721921 34.599 -155.8514
0.727153 34.649 -155.5347
0.732422 34.705 -155.2190
0.737729 34.767 -154.9033
0.743075 34.834 -154.5870
0.748460 34.907 -154.2696
0.753883 34.984 -153.9507
0.759346 35.064 -153.6304
0.764849 35.148 -153.3087
0.770391 35.235 -152.9858
0.775974 35.324 -152.6622
0.781597 35.416 -152.3382
0.787261 35.510 -152.0142
0.792966 35.606 -151.6905
0.798712 35.705 -151.3676
0.804500 35.806 -151.0459
0.810329 35.910 -150.7258
0.816201 36.016 -150.4078
0.822116 36.124 -150.0921
0.828073 36.234 -149.7794
0.834074 36.347 -149.4699
0.840118 36.462 -149.1640
0.846206 36.579 -148.8622
0.852338 36.698 -148.5649
0.858514 36.819 -148.2724
0.864735 36.942 -147.9852
0.871001 37.067 -147.7036
0.877313 37.194 -147.4279
0.883670 37.323 -147.1586
0.890074 37.454 -146.8960
0.896524 37.587 -146.6404
0.903020 37.721 -146.3922
0.909564 37.857 -146.1518
0.916155 37.995 -145.9193
0.922794 38.134 -145.6952
0.929481 38.275 -145.4797
0.936216 38.417 -145.2731
0.943000 38.560 -145.0758
0.949834 38.705 -144.8879
0.956717 38.851 -144.7097
0.963649 38.997 -144.5415
0.970632 39.145 -144.3835
0.977666 39.294 -144.2360
0.984750 39.443 -144.0990
0.991886 39.593 -143.9729
0.999074 39.744 -143.8579
1.006314 39.895 -143.7540
1.013606 40.046 -143.6615
1.020951 40.197 -143.5805
1.028349 40.349 -143.5112
1.035801 40.500 -143.4536
1.043307 40.651 -143.4078
1.050867 40.802 -143.3739
1.058482 40.952 -143.3517
1.066152 41.102 -143.3411
1.073878 41.251 -143.3417
1.081660 41.399 -143.3527
1.089498 41.547 -143.3731
1.097393 41.695 -143.4013
1.105345 41.842 -143.4356
1.113355 41.990 -143.4743
1.121423 42.139 -143.5159
1.129549 42.288 -143.5596
1.137734 42.437 -143.6050
1.145979 42.588 -143.6518
1.154283 42.740 -143.7001
1.162647 42.892 -143.7503
1.171072 43.045 -143.8025
1.179558 43.199 -143.8572
1.188106 43.354 -143.9145
1.196715 43.510 -143.9750
1.205387 43.667 -144.0388
1.214122 43.825 -144.1064
1.222920 43.983 -144.1781
1.231782 44.142 -144.2541
1.240708 44.301 -144.3349
1.249699 44.462 -144.4205
1.258754 44.622 -144.5115
1.267876 44.784 -144.6079
1.277063 44.946 -144.7102
1.286318 45.109 -144.8185
1.295639 45.272 -144.9331
1.305027 45.435 -145.0543
1.314484 45.599 -145.1823
1.324009 45.763 -145.3174
1.333604 45.927 -145.4596
1.343268 46.092 -145.6094
1.353002 46.257 -145.7669
1.362806 46.422 -145.9324
1.372681 46.587 -146.1059
1.382628 46.752 -146.2877
1.392647 46.917 -146.4780
1.402739 47.082 -146.6768
1.412904 47.247 -146.8842
1.423142 47.412 -147.1001
1.433455 47.576 -147.3242
1.443843 47.740 -147.5560
1.454305 47.904 -147.7945
1.464844 48.068 -148.0386
1.475459 48.231 -148.2866
1.486150 48.394 -148.5372
1.496920 48.556 -148.7893
1.507767 48.719 -149.0423
1.518693 48.881 -149.2959
1.529698 49.043 -149.5501
1.540783 49.204 -149.8051
1.551948 49.366 -150.0612
1.563194 49.527 -150.3189
1.574521 49.688 -150.5784
1.585931 49.849 -150.8403
1.597423 50.010 -151.1049
1.608999 50.170 -151.3726
1.620658 50.330 -151.6439
1.632402 50.490 -151.9192
1.644232 50.650 -152.1988
1.656146 50.810 -152.4831
1.668147 50.970 -152.7726
1.680235 51.129 -153.0676
1.692411 51.289 -153.3684
1.704675 51.448 -153.6755
1.717028 51.608 -153.9892
1.729470 51.767 -154.3098
1.742003 51.926 -154.6377
1.754626 52.086 -154.9731
1.767341 52.245 -155.3162
1.780147 52.404 -155.6672
1.793047 52.563 -156.0260
1.806040 52.722 -156.3924
1.819128 52.882 -156.7658
1.832310 53.041 -157.1454
1.845587 53.199 -157.5302
1.858961 53.357 -157.9191
1.872432 53.515 -158.3113
1.886001 53.673 -158.7062
1.899667 53.830 -159.1033
1.913433 53.986 -159.5024
1.927299 54.142 -159.9035
1.941265 54.297 -160.3066
1.955332 54.452 -160.7118
1.969501 54.607 -161.1191
1.983773 54.761 -161.5288
1.998148 54.915 -161.9408
2.012627 55.068 -162.3555
2.027212 55.221 -162.7731
2.041902 55.374 -163.1936
2.056698 55.526 -163.6174
2.071602 55.678 -164.0446
2.086614 55.830 -164.4756
2.101734 55.981 -164.9105
2.116964 56.133 -165.3495
2.132304 56.284 -165.7930
2.147756 56.435 -166.2410
2.163320 56.586 -166.6936
2.178996 56.737 -167.1509
2.194786 56.887 -167.6125
2.210690 57.037 -168.0783
2.226710 57.187 -168.5477
2.242845 57.336 -169.0204
2.259098 57.484 -169.4959
2.275468 57.632 -169.9739
2.291957 57.779 -170.4542
2.308566 57.925 -170.9366
2.325295 58.071 -171.4208
2.342145 58.216 -171.9068
2.359117 58.361 -172.3946
2.376212 58.505 -172.8840
2.393431 58.649 -173.3751
2.410775 58.792 -173.8678
2.428244 58.935 -174.3622
2.445840 59.077 -174.8584
2.463564 59.219 -175.3564
2.481416 59.361 -175.8564
2.499397 59.502 -176.3585
2.517509 59.643 -176.8629
2.535752 59.784 -177.3697
2.554127 59.924 -177.8792
2.572635 60.064 -178.3914
2.591277 60.203 -178.9065
2.610055 60.342 -179.4243
2.628968 60.480 -179.9447
2.648019 60.617 179.5324
2.667208 60.753 179.0075
2.686535 60.889 178.4808
2.706003 61.024 177.9526
2.725612 61.158 177.4233
2.745363 61.292 176.8930
2.765257 61.425 176.3620
2.785295 61.558 175.8305
2.805478 61.690 175.2987
2.825808 61.822 174.7667
2.846285 61.953 174.2345
2.866910 62.084 173.7022
2.887685 62.215 173.1696
2.908611 62.345 172.6365
2.929688 62.474 172.1027
2.950917 62.603 171.5677
2.972301 62.732 171.0314
2.993839 62.859 170.4936
3.015534 62.986 169.9543
3.037386 63.112 169.4139
3.059396 63.238 168.8725
3.081565 63.363 168.3305
3.103896 63.487 167.7882
3.126388 63.611 167.2460
3.149043 63.734 166.7042
3.171862 63.856 166.1631
3.194847 63.978 165.6229
3.217998 64.100 165.0838
3.241317 64.221 164.5458
3.264805 64.342 164.0089
3.288463 64.463 163.4728
3.312293 64.583 162.9373
3.336295 64.702 162.4020
3.360471 64.821 161.8667
3.384822 64.940 161.3312
3.409350 65.057 160.7957
3.434056 65.174 160.2602
3.458940 65.291 159.7251
3.484005 65.407 159.1905
3.509252 65.522 158.6567
3.534681 65.637 158.1240
3.560295 65.752 157.5925
3.586094 65.866 157.0625
3.612081 65.980 156.5339
3.638255 66.094 156.0069
3.664620 66.208 155.4811
3.691175 66.321 154.9564
3.717923 66.434 154.4326
3.744864 66.546 153.9096
3.772001 66.658 153.3871
3.799335 66.769 152.8652
3.826866 66.880 152.3440
3.854597 66.990 151.8234
3.882529 67.101 151.3036
3.910664 67.211 150.7845
3.939002 67.320 150.2664
3.967546 67.430 149.7491
3.996296 67.539 149.2327
4.025255 67.648 148.7171
4.054423 67.757 148.2022
4.083804 67.865 147.6879
4.113396 67.974 147.1740
4.143204 68.082 146.6605
4.173227 68.189 146.1473
4.203468 68.296 145.6342
4.233928 68.403 145.1213
4.264609 68.510 144.6084
4.295512 68.616 144.0954
4.326639 68.722 143.5823
4.357992 68.828 143.0688
4.389572 68.934 142.5550
4.421380 69.039 142.0406
4.453419 69.144 141.5258
4.485691 69.249 141.0103
4.518196 69.353 140.4941
4.550936 69.457 139.9774
4.583914 69.560 139.4601
4.617131 69.663 138.9422
4.650589 69.766 138.4236
4.684289 69.868 137.9042
4.718233 69.970 137.3839
4.752424 70.071 136.8625
4.786862 70.172 136.3398
4.821549 70.272 135.8158
4.856488 70.372 135.2905
4.891680 70.471 134.7639
4.927127 70.569 134.2364
4.962831 70.667 133.7082
4.998794 70.764 133.1794
5.035017 70.860 132.6504
5.071503 70.956 132.1210
5.108253 71.050 131.5913
5.145270 71.144 131.0609
5.182555 71.237 130.5298
5.220110 71.330 129.9978
5.257937 71.421 129.4653
5.296038 71.512 128.9327
5.334415 71.601 128.4005
5.373071 71.690 127.8693
5.412006 71.777 127.3394
5.451224 71.864 126.8111
5.490725 71.950 126.2845
5.530514 72.034 125.7592
5.570590 72.118 125.2353
5.610957 72.200 124.7129
5.651616 72.282 124.1923
5.692570 72.362 123.6741
5.733821 72.441 123.1590
5.775370 72.520 122.6476
5.817221 72.597 122.1405
5.859375 72.674 121.6376
5.901834 72.749 121.1391
5.944602 72.824 120.6447
5.987679 72.897 120.1547
6.031068 72.970 119.6692
6.074771 73.041 119.1887
6.118792 73.112 118.7137
6.163131 73.183 118.2448
6.207792 73.252 117.7822
6.252776 73.321 117.3260
6.298086 73.389 116.8762
6.343725 73.457 116.4326
6.389694 73.524 115.9953
6.435996 73.591 115.5642
