* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:00:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB 400 MAX L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.094 -62.6266
0.368865 43.103 -62.7143
0.371538 43.117 -62.8453
0.374230 43.134 -63.0089
0.376942 43.153 -63.1962
0.379673 43.174 -63.4004
0.382424 43.195 -63.6173
0.385196 43.217 -63.8440
0.387987 43.240 -64.0791
0.390798 43.263 -64.3217
0.393630 43.285 -64.5714
0.396483 43.309 -64.8279
0.399356 43.332 -65.0911
0.402250 43.355 -65.3610
0.405165 43.379 -65.6376
0.408101 43.403 -65.9209
0.411058 43.427 -66.2110
0.414037 43.451 -66.5077
0.417037 43.475 -66.8113
0.420059 43.500 -67.1215
0.423103 43.524 -67.4385
0.426169 43.549 -67.7623
0.429257 43.574 -68.0929
0.432368 43.600 -68.4302
0.435501 43.625 -68.7743
0.438656 43.651 -69.1251
0.441835 43.676 -69.4827
0.445037 43.702 -69.8469
0.448262 43.728 -70.2178
0.451510 43.755 -70.5954
0.454782 43.781 -70.9796
0.458077 43.808 -71.3703
0.461397 43.835 -71.7676
0.464740 43.862 -72.1713
0.468108 43.889 -72.5815
0.471500 43.917 -72.9980
0.474917 43.945 -73.4208
0.478358 43.973 -73.8499
0.481825 44.001 -74.2851
0.485316 44.029 -74.7263
0.488833 44.058 -75.1736
0.492375 44.086 -75.6267
0.495943 44.115 -76.0856
0.499537 44.144 -76.5502
0.503157 44.174 -77.0204
0.506803 44.203 -77.4961
0.510475 44.233 -77.9771
0.514175 44.263 -78.4634
0.517900 44.293 -78.9548
0.521653 44.324 -79.4512
0.525434 44.354 -79.9524
0.529241 44.385 -80.4584
0.533076 44.416 -80.9690
0.536939 44.448 -81.4840
0.540830 44.479 -82.0034
0.544749 44.511 -82.5269
0.548696 44.543 -83.0544
0.552673 44.575 -83.5857
0.556677 44.608 -84.1208
0.560711 44.641 -84.6595
0.564774 44.674 -85.2015
0.568867 44.707 -85.7468
0.572989 44.740 -86.2952
0.577141 44.774 -86.8465
0.581324 44.808 -87.4007
0.585536 44.842 -87.9574
0.589779 44.876 -88.5166
0.594053 44.911 -89.0782
0.598358 44.946 -89.6420
0.602694 44.981 -90.2077
0.607061 45.017 -90.7754
0.611460 45.052 -91.3449
0.615891 45.088 -91.9159
0.620354 45.124 -92.4885
0.624849 45.161 -93.0624
0.629377 45.198 -93.6375
0.633938 45.235 -94.2138
0.638532 45.272 -94.7911
0.643159 45.309 -95.3693
0.647819 45.347 -95.9483
0.652514 45.385 -96.5281
0.657242 45.424 -97.1085
0.662005 45.462 -97.6894
0.666802 45.501 -98.2708
0.671634 45.540 -98.8526
0.676501 45.580 -99.4348
0.681403 45.620 -100.0174
0.686341 45.660 -100.6002
0.691314 45.700 -101.1833
0.696324 45.741 -101.7667
0.701370 45.782 -102.3504
0.706452 45.823 -102.9345
0.711571 45.865 -103.5190
0.716728 45.908 -104.1043
0.721921 45.951 -104.6906
0.727153 45.996 -105.2783
0.732422 46.041 -105.8680
0.737729 46.088 -106.4602
0.743075 46.136 -107.0557
0.748460 46.186 -107.6546
0.753883 46.237 -108.2573
0.759346 46.288 -108.8637
0.764849 46.341 -109.4737
0.770391 46.394 -110.0872
0.775974 46.448 -110.7039
0.781597 46.503 -111.3236
0.787261 46.559 -111.9460
0.792966 46.615 -112.5708
0.798712 46.672 -113.1977
0.804500 46.730 -113.8265
0.810329 46.789 -114.4568
0.816201 46.848 -115.0884
0.822116 46.908 -115.7210
0.828073 46.969 -116.3544
0.834074 47.030 -116.9882
0.840118 47.093 -117.6222
0.846206 47.156 -118.2562
0.852338 47.219 -118.8899
0.858514 47.283 -119.5230
0.864735 47.348 -120.1553
0.871001 47.414 -120.7866
0.877313 47.480 -121.4166
0.883670 47.547 -122.0453
0.890074 47.615 -122.6722
0.896524 47.683 -123.2973
0.903020 47.751 -123.9204
0.909564 47.821 -124.5413
0.916155 47.891 -125.1598
0.922794 47.961 -125.7758
0.929481 48.032 -126.3892
0.936216 48.104 -126.9997
0.943000 48.176 -127.6074
0.949834 48.248 -128.2120
0.956717 48.321 -128.8135
0.963649 48.394 -129.4118
0.970632 48.468 -130.0068
0.977666 48.542 -130.5984
0.984750 48.617 -131.1867
0.991886 48.691 -131.7715
0.999074 48.767 -132.3529
1.006314 48.842 -132.9307
1.013606 48.918 -133.5050
1.020951 48.993 -134.0758
1.028349 49.069 -134.6432
1.035801 49.146 -135.2070
1.043307 49.222 -135.7675
1.050867 49.298 -136.3245
1.058482 49.375 -136.8784
1.066152 49.451 -137.4292
1.073878 49.528 -137.9771
1.081660 49.604 -138.5226
1.089498 49.681 -139.0659
1.097393 49.757 -139.6079
1.105345 49.834 -140.1490
1.113355 49.911 -140.6901
1.121423 49.988 -141.2316
1.129549 50.066 -141.7739
1.137734 50.143 -142.3172
1.145979 50.222 -142.8615
1.154283 50.300 -143.4068
1.162647 50.379 -143.9530
1.171072 50.458 -144.5001
1.179558 50.538 -145.0478
1.188106 50.617 -145.5960
1.196715 50.698 -146.1445
1.205387 50.778 -146.6932
1.214122 50.859 -147.2417
1.222920 50.940 -147.7900
1.231782 51.022 -148.3378
1.240708 51.104 -148.8849
1.249699 51.186 -149.4310
1.258754 51.268 -149.9759
1.267876 51.351 -150.5194
1.277063 51.434 -151.0611
1.286318 51.518 -151.6010
1.295639 51.602 -152.1385
1.305027 51.685 -152.6736
1.314484 51.770 -153.2059
1.324009 51.854 -153.7352
1.333604 51.939 -154.2610
1.343268 52.024 -154.7832
1.353002 52.109 -155.3015
1.362806 52.195 -155.8155
1.372681 52.281 -156.3249
1.382628 52.367 -156.8294
1.392647 52.453 -157.3288
1.402739 52.539 -157.8227
1.412904 52.626 -158.3109
1.423142 52.712 -158.7931
1.433455 52.799 -159.2692
1.443843 52.886 -159.7392
1.454305 52.973 -160.2032
1.464844 53.061 -160.6615
1.475459 53.148 -161.1144
1.486150 53.235 -161.5625
1.496920 53.323 -162.0063
1.507767 53.410 -162.4462
1.518693 53.498 -162.8823
1.529698 53.586 -163.3150
1.540783 53.673 -163.7445
1.551948 53.761 -164.1708
1.563194 53.849 -164.5941
1.574521 53.937 -165.0145
1.585931 54.025 -165.4320
1.597423 54.113 -165.8469
1.608999 54.202 -166.2591
1.620658 54.290 -166.6687
1.632402 54.379 -167.0758
1.644232 54.468 -167.4805
1.656146 54.557 -167.8828
1.668147 54.646 -168.2828
1.680235 54.736 -168.6805
1.692411 54.825 -169.0759
1.704675 54.915 -169.4692
1.717028 55.006 -169.8604
1.729470 55.097 -170.2494
1.742003 55.188 -170.6363
1.754626 55.279 -171.0212
1.767341 55.371 -171.4039
1.780147 55.463 -171.7846
1.793047 55.555 -172.1632
1.806040 55.648 -172.5396
1.819128 55.742 -172.9137
1.832310 55.835 -173.2854
1.845587 55.929 -173.6547
1.858961 56.023 -174.0214
1.872432 56.118 -174.3855
1.886001 56.212 -174.7470
1.899667 56.307 -175.1060
1.913433 56.402 -175.4626
1.927299 56.497 -175.8168
1.941265 56.592 -176.1689
1.955332 56.688 -176.5188
1.969501 56.784 -176.8668
1.983773 56.880 -177.2129
1.998148 56.976 -177.5573
2.012627 57.073 -177.9000
2.027212 57.170 -178.2413
2.041902 57.267 -178.5811
2.056698 57.365 -178.9196
2.071602 57.463 -179.2568
2.086614 57.561 -179.5929
2.101734 57.660 -179.9279
2.116964 57.760 179.7381
2.132304 57.859 179.4052
2.147756 57.960 179.0733
2.163320 58.061 178.7427
2.178996 58.162 178.4134
2.194786 58.264 178.0858
2.210690 58.366 177.7601
2.226710 58.469 177.4368
2.242845 58.573 177.1159
2.259098 58.676 176.7975
2.275468 58.781 176.4816
2.291957 58.885 176.1677
2.308566 58.990 175.8557
2.325295 59.096 175.5452
2.342145 59.201 175.2359
2.359117 59.308 174.9274
2.376212 59.414 174.6194
2.393431 59.521 174.3115
2.410775 59.629 174.0032
2.428244 59.736 173.6943
2.445840 59.844 173.3845
2.463564 59.953 173.0733
2.481416 60.062 172.7606
2.499397 60.171 172.4460
2.517509 60.281 172.1297
2.535752 60.391 171.8116
2.554127 60.501 171.4919
2.572635 60.612 171.1711
2.591277 60.723 170.8496
2.610055 60.834 170.5278
2.628968 60.946 170.2060
2.648019 61.059 169.8841
2.667208 61.171 169.5621
2.686535 61.285 169.2398
2.706003 61.398 168.9168
2.725612 61.512 168.5928
2.745363 61.625 168.2675
2.765257 61.740 167.9405
2.785295 61.854 167.6114
2.805478 61.968 167.2798
2.825808 62.083 166.9453
2.846285 62.198 166.6077
2.866910 62.312 166.2666
2.887685 62.427 165.9219
2.908611 62.542 165.5735
2.929688 62.657 165.2214
2.950917 62.772 164.8660
2.972301 62.887 164.5075
2.993839 63.002 164.1462
3.015534 63.117 163.7823
3.037386 63.232 163.4160
3.059396 63.347 163.0475
3.081565 63.462 162.6769
3.103896 63.577 162.3041
3.126388 63.692 161.9292
3.149043 63.807 161.5522
3.171862 63.921 161.1731
3.194847 64.036 160.7917
3.217998 64.150 160.4081
3.241317 64.264 160.0222
3.264805 64.378 159.6337
3.288463 64.491 159.2427
3.312293 64.604 158.8490
3.336295 64.717 158.4526
3.360471 64.830 158.0536
3.384822 64.942 157.6521
3.409350 65.053 157.2483
3.434056 65.165 156.8424
3.458940 65.276 156.4348
3.484005 65.386 156.0255
3.509252 65.497 155.6150
3.534681 65.607 155.2034
3.560295 65.716 154.7907
3.586094 65.825 154.3773
3.612081 65.934 153.9629
3.638255 66.043 153.5476
3.664620 66.151 153.1312
3.691175 66.258 152.7134
3.717923 66.365 152.2941
3.744864 66.471 151.8734
3.772001 66.577 151.4512
3.799335 66.683 151.0279
3.826866 66.788 150.6038
3.854597 66.892 150.1792
3.882529 66.996 149.7546
3.910664 67.100 149.3302
3.939002 67.203 148.9064
3.967546 67.307 148.4833
3.996296 67.409 148.0612
4.025255 67.512 147.6399
4.054423 67.614 147.2193
4.083804 67.716 146.7993
4.113396 67.817 146.3797
4.143204 67.918 145.9603
4.173227 68.019 145.5412
4.203468 68.119 145.1224
4.233928 68.219 144.7039
4.264609 68.319 144.2858
4.295512 68.418 143.8682
4.326639 68.518 143.4512
4.357992 68.617 143.0349
4.389572 68.716 142.6193
4.421380 68.816 142.2043
4.453419 68.915 141.7900
4.485691 69.013 141.3761
4.518196 69.112 140.9625
4.550936 69.211 140.5490
4.583914 69.309 140.1352
4.617131 69.408 139.7209
4.650589 69.506 139.3060
4.684289 69.605 138.8902
4.718233 69.703 138.4734
4.752424 69.801 138.0556
4.786862 69.900 137.6367
4.821549 69.998 137.2169
4.856488 70.097 136.7960
4.891680 70.195 136.3737
4.927127 70.294 135.9500
4.962831 70.392 135.5243
4.998794 70.490 135.0964
5.035017 70.588 134.6659
5.071503 70.686 134.2325
5.108253 70.783 133.7959
5.145270 70.881 133.3560
5.182555 70.978 132.9130
5.220110 71.075 132.4667
5.257937 71.172 132.0172
5.296038 71.268 131.5646
5.334415 71.365 131.1088
5.373071 71.460 130.6498
5.412006 71.555 130.1874
5.451224 71.650 129.7214
5.490725 71.743 129.2517
5.530514 71.837 128.7781
5.570590 71.929 128.3006
5.610957 72.021 127.8195
5.651616 72.112 127.3353
5.692570 72.202 126.8483
5.733821 72.291 126.3590
5.775370 72.379 125.8679
5.817221 72.466 125.3750
5.859375 72.553 124.8804
5.901834 72.638 124.3841
5.944602 72.721 123.8861
5.987679 72.804 123.3867
6.031068 72.886 122.8867
6.074771 72.966 122.3868
6.118792 73.045 121.8879
6.163131 73.123 121.3907
6.207792 73.200 120.8957
6.252776 73.275 120.4029
6.298086 73.349 119.9124
6.343725 73.422 119.4244
6.389694 73.494 118.9395
6.435996 73.565 118.4583
6.482634 73.634 117.9819
6.529610 73.703 117.5109
